,Symbol,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
509,SBH,1.61,0.06,2.41,1.97,1.1,11.33,0.27
510,SC,,,,,,,
511,SCL,,,,,,,
512,SCM,,,,,,,
513,SF,1.48,0.17,6.44,37.89,0.86,3.5,0.02
514,SFL,1.08,-0.22,0.79,7.14,0.32,1.69,0.01
515,SHAK,1.69,-0.03,0.34,10.66,0.92,5.96,0.13
516,SIG,2.56,0.09,8.33,29.35,0.95,5.17,0.15
517,SITE,,,,,,,
518,SJI,0.91,0.05,1.67,17.02,1.0,6.38,0.07
519,SJR,0.58,0.17,1.04,11.87,0.64,3.92,
520,SKLZ,,-0.81,-0.43,1.35,0.58,4.06,0.2
521,SLCA,3.23,-0.0,-0.22,8.54,0.77,4.39,0.11
522,SLF,,,,,,,
523,SLG,1.55,0.81,-0.43,72.48,0.91,6.95,0.12
524,SLQT,,0.14,1.47,4.13,0.69,2.06,0.08
525,SM,,-0.27,3.54,13.48,0.84,2.69,0.07
526,SNA,1.28,0.18,15.03,75.33,0.91,9.78,0.09
527,SNDR,,,,,,,
528,SNOW,,-0.89,-0.17,16.52,0.63,3.97,0.06
529,SNP,1.04,0.04,8.85,631.2,0.03,1.33,
530,SO,0.47,0.14,3.54,26.63,0.61,2.69,0.01
531,SOI,,,,,,,
532,SOL,2.24,0.18,0.32,6.05,0.38,0.98,
533,SPCE,,0,-1.02,1.85,0.26,2.24,0.17
534,SPG,1.52,0.32,5.18,9.71,0.9,6.95,0.06
535,SPIR,,-1.93,-0.24,-1.76,0.33,0.48,
536,SQM,0.85,0.11,2.58,11.21,0.37,1.42,
537,SRE,0.66,0.19,8.43,76.18,0.87,2.22,0.01
538,SRT,1.31,-0.02,0.44,4.69,0.17,5,0.01
539,SSD,,,,,,,
540,STAG,0.91,0.34,0.63,16.58,0.9,2.74,0.02
541,STM,,0.15,2.35,9.33,0.04,4.39,
542,STN,0.77,0.05,2.17,17.24,0.76,1.74,
543,STNG,0.97,-0.36,2.27,35.88,0.5,2.98,0.05
544,STOR,1.26,0.31,1.05,18.87,0.87,4.93,0.03
545,SU,1.96,0.05,2.95,24.3,0.71,1.86,
546,SUM,,,,,,,
547,SUN,1.73,0.04,4.16,9.35,0.23,2.77,0.02
548,SWI,0.91,0.12,1.22,18.81,0.98,7.59,0.13
549,SWN,1.28,-0.35,1.26,-0.03,0.61,2.54,0.07
550,SWX,0.18,0.08,4.5,48.18,0.86,1.76,0.03
551,SXI,,,,,,,
552,T,0.73,0.01,3.2,22.94,0.54,2.52,0.02
553,TAK,1.1,0.13,0.59,1665.55,0.03,2.76,
554,TAP,1.11,-0.06,4.24,59.87,0.92,9.33,0.1
555,TD,0.86,0.37,6.16,51.22,0.58,3.86,
556,TDOC,,-0.44,-1.46,99.91,0.8,8.77,0.13
557,TDS,,,,,,,
558,TEF,1.07,0.22,0.19,4.17,0.01,6.2,
559,TEN,2.53,-0.02,4.52,-0.51,0.73,4.87,0.05
560,TFC,1.28,0.27,4.85,46.62,0.73,2.25,0.01
561,TGI,3.17,-0.12,1.17,-12.82,0.94,5.29,0.07
562,TGNA,1.23,0.19,3.01,10.22,0.92,2.37,0.03
563,TGP,1.14,0.35,2.56,16.94,0.3,0.6,0.01
564,THO,2.24,0.05,13.2,52.77,0.93,5.22,0.09
565,THS,,,,,,,
566,TME,1.09,0.13,0.39,30.98,0.6,3.27,
567,TMHC,1.76,0.07,7.09,30.0,0.98,4.47,0.05
568,TNC,,,,,,,
569,TNK,0.05,-0.48,-0.05,27.52,0.31,2.29,0.03
570,TOL,1.58,0.08,8.93,41.34,0.9,4.85,0.07
571,TPH,1.5,0.11,4.28,19.78,1.0,3.31,0.05
572,TPL,2.28,0.6,45.9,70.56,0.57,5.77,0.04
573,TREX,1.51,0.19,2.44,5.62,0.97,9.16,0.06
574,TRI,,,,,,,
575,TRP,0.74,0.16,3.48,29.13,0.76,7.28,
576,TRQ,1.94,0.41,0.98,49.27,0.37,3.56,0.01
577,TRV,0.77,0.11,12.61,115.75,0.86,3.05,0.02
578,TS,1.95,0.1,1.36,19.46,0.1,4.5,
579,TSE,1.5,0.1,8.35,21.39,0.95,2.9,0.05
580,TSN,0.8,0.05,6.97,45.39,0.84,2.71,0.02
581,TT,1.26,0.1,7,27.11,0.85,1.36,0.01
582,TTM,2.11,-0.03,4.64,721.46,0.08,2.67,
583,TUFN,,,,,,,
584,TV,0.83,0.06,0.35,144.29,0.47,1.05,
585,TWO,1.77,0.87,0.83,6.51,0.65,5.84,0.06
586,TWTR,0.82,-0.04,1.02,8.99,0.81,2.51,0.04
587,TX,1.46,0.2,11.01,43.55,0.21,2.48,
588,UAA,1.32,0.07,0.6,3.94,0.86,2.15,0.06
589,UFS,,,,,,,
590,UHS,1.23,0.09,12.33,76.27,0.97,2.17,0.02
591,UI,1.38,0.32,11.73,0.04,0.07,5.5,0.05
592,UMC,1.01,0.22,0.87,103.75,0.04,3.47,
593,UNM,1.68,0.05,5.3,53.57,0.88,0.99,0.03
594,UPS,1.06,0.07,12,13.76,0.7,2.82,0.01
595,URI,1.97,0.11,25.04,70.37,0.93,2.75,0.03
596,USB,1.11,0.33,4.3,32.22,0.76,1.86,0.01
597,USM,,,,,,,
598,USX,2.26,0.01,0.94,5.56,0.57,10.44,0.05
599,UTL,,,,,,,
600,VALE,0.63,0.31,2.89,41.38,0.26,0.93,
601,VIST,0.38,0.0,1.05,5.98,0.16,0.51,
602,VLTA,,0,-0.42,-6.57,0.15,1.46,
603,VMC,0.61,0.14,6.11,47.43,0.9,2.01,0.02
604,VMW,0.89,0.17,7.45,22.96,0.72,12.46,0.2
605,VNTR,1.87,-0.07,0.36,5.48,0.41,0.75,0.01
606,VOYA,1.43,0.33,6.72,73.72,1.18,12.65,0.15
607,VRS,,,,,,,
608,VSH,1.42,0.08,2.24,11.44,0.99,9.92,0.07
609,VTEX,,-0.26,-0.22,0.32,0.27,2.82,0.01
610,VTR,1.26,0.04,0.45,26.34,0.95,4.28,0.03
611,VVNT,,-0.34,-1.29,-7.81,0.86,5.04,0.04
612,W,3.07,0.02,4.57,-14.89,1.14,13.01,0.27
613,WAT,,,,,,,
614,WBK,,,,,,,
615,WEBR,,0.04,0.63,-755.27,0.55,5.18,0.19
616,WEC,0.21,0.16,4.31,34.34,0.74,2.37,0.01
617,WEX,1.92,-0.2,10.75,40.07,1.03,4.19,0.03
618,WHR,1.81,0.09,25.11,81.38,0.96,10.12,0.12
619,WM,0.82,0.1,5.54,17.47,0.82,2.98,0.01
620,WMS,,,,,,,
621,WPP,1.31,0.04,,18.53,0.04,2.66,
622,WRB,0.83,0.11,4.94,37.08,0.71,2.08,0.01
623,WSM,1.65,0.13,12.79,20.51,0.95,6.58,0.11
624,WSO,,,,,,,
625,WSR,,0.1,0.23,8.49,0.54,1.16,0.02
626,WTI,3.08,-0.18,1.1,-1.83,0.37,2.53,0.1
627,WTTR,2.73,-0.16,0.03,6.32,0.69,2.91,0.02
628,WU,1.01,0.16,2.28,0.7,1.04,7.14,0.11
629,X,2.15,0.07,7.92,21.66,0.7,2.31,0.23
630,XHR,,,,,,,
631,XOM,1.33,-0.06,5.52,37.46,0.53,1.64,0.01
632,XYL,1.06,0.07,3.15,16.88,0.92,5.28,0.03
633,YEXT,,,,,,,
634,YOU,,0.08,-0.53,1.04,0.69,3.29,0.12
635,YUM,1.04,0.21,4.97,-26.67,0.81,2.15,0.01
636,YUMC,0.83,0.1,17.75,15.62,0.9,3.48,0.03
637,ZTO,,,,,,,
638,ZUO,2.1,-0.24,0.02,1.43,0.72,4.5,0.04
639,ACST,1.51,0,-0.35,2.05,0.01,1.74,0.02
640,AKTX,,,,,,,
641,BELFB,1.97,0.05,1.28,15.84,0.74,0.61,
642,CCLP,1.8,-0.22,-0.99,-1.06,0.25,3.91,0.01
643,CPIX,0.24,0.0,0.14,3.21,0.2,4.05,0.01
644,DYAI,,,,,,,
645,EBIX,2.67,0.09,3.65,20.79,0.64,22.17,0.16
646,EVOK,1.12,0,-0.27,0.18,0.13,4.11,0.02
647,FCAP,,,,,,,
648,FLDM,1.54,-0.4,-0.74,1.44,0.9,9.56,0.07
649,GTH,,,,,,,
650,HUGE,,,,,,,
651,JBSS,,,,,,,
652,JCS,0.88,-0.09,0.15,4.63,0.45,1.64,0.15
653,JOUT,,,,,,,
654,MARK,2.98,-0.53,-0.11,-0.15,0.18,7.72,0.11
655,MMAT,,0,,1.31,0.07,1.64,
656,NCSM,,,,,,,
657,NWS,,,,,,,
658,PBTS,0.82,-0.68,,1.59,0.01,0.57,0.06
659,POWL,,,,,,,
660,PSEC,0.93,1.53,0.71,9.8,0.11,4.89,0.03
661,REDU,1.32,-0.05,0.57,8.34,0.13,0.05,
662,RGP,0.98,0.05,1.42,10.02,0.77,1.95,0.01
663,SNGX,1.3,0,-0.46,0.39,0.07,0.26,0.03
664,TLGT,1.62,-1.98,-0.39,-0.63,0.13,0.36,0.02
665,TOPS,-0.11,-0.35,0.62,2.8,0.01,0.81,0.02
666,TRMT,,,,,,,
667,TYME,0.93,0,-0.2,0.56,0.09,3.2,0.02
668,UFPT,,,,,,,
669,WTER,1.99,-0.44,-0.1,0.08,0.08,1.34,0.02
670,AADI,,,,,,,
671,AAPL,1.22,0.25,5.98,3.88,0.59,1.25,0.01
672,AAWW,1.2,0.13,11.21,86.03,1.11,6.93,0.17
673,ABCB,,,,,,,
674,ABCL,,0.51,-0.01,3.49,0.42,2.92,0.1
675,ABEO,1.52,0,-0.6,0.83,0.29,4.06,0.03
676,ABMD,1.35,0.17,5.11,28.81,0.94,4.04,0.02
677,ABNB,,-1.11,0.44,5.48,0.5,3.14,0.05
678,ABOS,,,,,,,
679,ACCD,,-0.57,-2.03,11.06,0.69,6.26,0.06
680,ACET,,,,,,,
681,ACHL,,0,-2.28,7.98,0.51,3.54,
682,ACHV,,,,,,,
683,ACIU,,,,,,,
684,ACIW,,,,,,,
685,ACLS,1.46,0.12,3.03,14.68,0.88,4.56,0.04
686,ACMR,0.62,0.15,1.97,8.3,0.51,4.65,0.12
687,ACOR,0.58,-0.87,-0.96,17.15,0.34,4.13,0.05
688,ACRS,,,,,,,
689,ACRX,0.88,0,0.08,-0.3,0.25,4.98,0.03
690,ACVA,,-0.13,-0.68,3.83,0.9,1.33,0.05
691,ADAG,,,,,,,
692,ADBE,1.03,0.39,14.24,30.28,0.86,1.64,0.01
693,ADGI,,0,-3.61,-25.83,0.49,4.2,0.05
694,ADI,1.17,0.26,7.32,33.31,0.72,1.89,0.02
695,ADIL,0.67,0,-0.73,0.26,0.09,2.16,0.05
696,ADMA,1.26,-1.27,-0.25,0.85,0.34,7.95,0.11
697,ADMS,2.6,-0.67,-0.36,-0.09,0.78,15.57,0.06
698,ADN,,,,,,,
699,ADPT,0.3,-1.28,-1.63,4.93,0.85,7.49,0.04
700,ADSK,1.34,0.33,6.96,6.04,0.92,2,0.01
701,ADTN,,,,,,,
702,ADTX,,0,,0.41,0.11,0.2,0.06
703,ADUS,,,,,,,
704,ADXN,,,,,,,
705,AEMD,0.57,0,0.48,1.62,0.17,0.1,0.03
706,AEP,0.31,0.15,4.97,42.74,0.75,2.18,0.01
707,AERI,0.94,-1.75,-1.75,-0.84,1.09,7.3,0.16
708,AEYE,,,,,,,
709,AFCG,,0.9,2.68,16.66,0.55,1.1,0.01
710,AFMD,2.67,-0.9,-0.55,1.26,0.67,4.59,0.03
711,AFYA,1.32,0.18,1.11,31.8,0.66,4.19,0.01
712,AGEN,1.4,0,-0.77,-1.1,0.5,4.06,0.07
713,AGFS,0.85,-0.25,-0.51,4.72,0.73,5.98,0.01
714,AGFY,,-0.97,-0.65,6.94,0.21,1.1,0.06
715,AGIO,1.56,7.83,-7.21,28.74,1.13,15.11,0.17
716,AGLE,,,,,,,
717,AGNC,1.01,0.94,2.49,17.51,0.54,2.17,0.02
718,AGRX,1.02,0,-0.59,0.27,0.37,0.73,0.01
719,AGTC,2.14,0,-1.37,2.0,0.47,6.52,0.07
720,AGYS,1.48,-0.16,0.92,3.58,0.91,6.44,0.03
721,AHCO,,-0.03,1.38,14.53,0.58,6.57,0.06
722,AIH,,,,,,,
723,AIMC,2.5,0.08,3.89,31.72,1.06,3.08,0.01
724,AIRG,,,,,,,
725,AKAM,0.47,0.18,6.07,27.46,0.95,7.02,0.07
726,AKRO,,,,,,,
727,AKTS,1.39,0,-0.34,2.29,0.49,9.98,0.09
728,AKUS,,0,-2.53,8.03,0.96,25.85,0.11
729,AKYA,,-0.49,-0.84,3.98,0.72,6.23,0.04
730,ALBO,,,,,,,
731,ALCO,,,,,,,
732,ALDX,1.75,0,-1.22,4.03,0.79,6.33,0.08
733,ALEC,1.16,0,-0.97,2.31,0.79,8.76,0.13
734,ALGM,,0.09,0.94,3.46,0.44,3.95,0.06
735,ALGN,1.68,0.2,13.4,42.87,0.87,2.33,0.02
736,ALGS,,0,-3.19,4.42,0.76,6.31,0.1
737,ALGT,,,,,,,
738,ALHC,,-0.12,-0.5,1.82,0.79,7.76,0.03
739,ALIM,,,,,,,
740,ALKT,,,,,,,
741,ALLK,0.77,0,-5.09,10.59,1.0,12.98,0.11
742,ALLO,1.0,0,-2.54,7.2,0.62,1.44,0.05
743,ALLT,,,,,,,
744,ALNA,2.15,0,-0.71,0.21,0.3,2.15,0.02
745,ALNY,1.21,-1.29,-4.06,7.2,0.96,7.19,0.04
746,ALPN,,,,,,,
747,ALRM,,,,,,,
748,ALRN,,,,,,,
749,ALT,1.47,0,-1.79,6.1,0.79,3.21,0.15
750,ALTO,2.94,0.01,0.88,4.23,0.61,6.2,0.17
751,ALTR,,,,,,,
752,ALVR,,0,-2.28,4.91,0.41,10.31,0.13
753,ALXO,,0,-2.37,10.04,0.88,12.4,0.13
754,AMAT,1.43,0.25,7.97,13.36,0.81,1.83,0.01
755,AMBA,1.1,-0.18,1.9,13.73,0.81,1.95,0.04
756,AMD,2.0,0.27,3.28,5.88,0.71,1.66,0.06
757,AMED,0.6,0.11,6.45,26.84,0.91,1.99,0.02
758,AMOT,,,,,,,
759,AMPG,0.7,-0.51,-0.01,3.34,0.09,2.74,0.04
760,AMRK,-0.44,0.02,5.5,32.29,0.43,2.02,0.03
761,AMRN,2.25,0.01,-0.04,1.63,0.34,8.02,
762,AMRS,1.24,-1.19,-0.13,-0.41,0.47,6.78,0.1
763,AMSC,1.07,-0.27,-0.06,4.18,0.62,5.47,0.06
764,AMST,,,,,,,
765,AMSWA,,,,,,,
766,AMTI,,0,-2.69,5.43,0.68,15.04,0.14
767,AMTX,-0.47,-0.32,-1.25,-3.93,0.63,2.37,0.13
768,AMWD,,,,,,,
769,AMYT,,,,,,,
770,AMZN,,0.06,65.69,237.8,0.6,1.6,0.01
771,ANEB,,,,,,,
772,ANGI,1.82,-0.02,-0.22,2.37,0.94,6.04,0.13
773,ANGN,,0,-2.92,2.59,0.18,6.5,0.09
774,ANIX,1.54,0,-0.41,1.22,0.1,6.57,0.02
775,ANNX,,0,-3.47,7.71,1.0,5.19,0.04
776,AOUT,,,,,,,
777,APA,4.78,0.12,4.33,-2.55,0.86,1.11,0.05
778,APDN,1.01,-2.21,-0.99,2.08,0.22,2.19,0.05
779,APEI,,,,,,,
780,APEN,2.23,-0.24,-0.91,0.1,0.49,2.66,0.02
781,API,,-0.27,-0.39,8.05,0.56,14.6,
782,APLS,1.72,-1.83,-6.07,-1.75,0.77,2.16,0.11
783,APLT,,,,,,,
784,APP,,-0.05,0.86,5.37,0.12,3.87,0.05
785,APPH,,0,-0.94,4.72,0.53,8.18,0.16
786,APPS,2.19,0.13,2.17,5.29,0.66,1.22,0.05
787,APR,,0.05,1.77,0.05,1.0,2.9,0.12
788,APTO,1.33,0,-0.87,1.1,0.55,0.96,0.01
789,APTX,,,,,,,
790,APVO,,,,,,,
791,APYX,0.91,-0.37,-0.42,1.67,0.56,8.85,0.01
792,AQMS,1.58,0,-0.14,0.46,0.22,9.39,0.11
793,AQST,3.52,-1.53,-1.41,-1.39,0.4,3.78,0.05
794,ARAV,,,,,,,
795,ARAY,1.85,-0.02,0.13,0.76,0.79,8.67,0.09
796,ARCB,1.63,0.04,7.29,35.17,0.93,3.42,0.07
797,ARCC,,0.9,1.84,18.84,0.31,2.87,0.01
798,ARCE,0.87,-0.01,0.78,36.79,0.99,7.39,0.04
799,ARDS,,,,,,,
800,AREC,-9.8,0,0.02,0.16,0.07,0.97,0.06
801,ARGX,0.81,-0.65,-17.01,57.43,0.56,3.99,
802,ARKO,,,,,,,
803,ARLP,1.68,0.11,2.5,9.2,0.18,1.75,0.01
804,ARNA,0.44,0,-8.72,15.91,0.95,5.22,0.04
805,ARQT,,0,-4.93,8.28,0.91,13.06,0.1
806,ARTL,,,,,,,
807,ARTNA,,,,,,,
808,ARVL,,0,-0.25,1.34,0.11,11.95,0.1
809,ARVN,2.0,0,-2.98,11.9,0.88,6.59,0.06
810,ARWR,1.26,-1.17,-0.48,4.19,0.66,5.34,0.03
811,ASLN,,0,-0.62,0.97,0.4,0.24,
812,ASML,0.95,0.31,19.49,28.2,0.19,0.89,
813,ASND,0.79,0,-9.65,12.76,0.99,11.14,
814,ASO,,0.08,5.51,15.59,0.78,4.48,0.27
815,ASPU,,,,,,,
816,ASRT,1.55,-0.37,-0.2,2.07,0.2,3.65,0.03
817,ASTE,,,,,,,
818,ASTR,,0,-0.67,1.64,0.34,3.83,0.1
819,ASTS,,0,-0.65,1.86,0.28,4.47,
820,ASUR,,,,,,,
821,ASYS,1.4,-0.02,0.67,5.86,0.71,1.78,0.01
822,ATAI,,0,-0.95,3.07,0.27,7.53,0.02
823,ATCX,,,,,,,
824,ATEC,,,,,,,
825,ATER,3.21,-0.76,-0.25,5.44,0.26,0.26,0.19
826,ATEX,,,,,,,
827,ATHA,,0,-2.52,9.41,0.68,3.86,0.03
828,ATHE,1.12,0,,0.9,0.02,2.33,
829,ATHX,-1.53,0,-0.38,0.14,0.23,13.53,0.06
830,ATLC,1.16,0.43,8.9,14.31,0.16,2.34,0.03
831,ATNF,,0,-0.55,0.09,0.07,1.72,0.05
832,ATNI,,,,,,,
833,ATOM,1.53,0,-0.5,1.5,0.32,11.98,0.18
834,ATOS,2.25,0,-0.18,1.14,0.31,4.99,0.17
835,ATRA,2.26,0,-3.37,3.91,1.03,13.9,0.16
836,ATRC,,,,,,,
837,ATRS,1.53,0.38,0.21,0.78,0.5,6.96,0.02
838,ATSG,,,,,,,
839,ATVI,0.62,0.29,4.35,20.94,0.89,1.78,0.02
840,ATXS,1.7,0,,2.9,0.57,0.93,0.03
841,ATY,2.38,0.08,,1.74,0.28,0.34,
842,AUPH,0.36,-2.56,-0.37,2.59,0.46,4.52,0.13
843,AUTL,1.67,0,-1.9,3.9,0.39,3.15,
844,AUTO,,,,,,,
845,AUVI,,-0.95,-0.35,1.52,0.03,0.61,0.01
846,AVAH,,-0.01,0.57,4.07,0.95,4.14,0.05
847,AVDL,1.17,0,-0.86,2.03,0.56,4.18,
848,AVEO,1.19,0,-0.17,1.75,0.5,5.71,0.06
849,AVGO,0.94,0.23,31.06,59.08,0.82,2.7,0.02
850,AVGR,1.75,-1.6,-0.22,0.18,0.12,0.83,0.01
851,AVID,,,,,,,
852,AVIR,,0.2,0.3,7.22,0.7,1.76,0.09
853,AVNW,2.14,0.4,2.53,16.44,0.61,4.41,0.05
854,AVO,,,,,,,
855,AVPT,,-0.24,0.06,-20.22,0.2,4.28,
856,AVRO,1.37,0,-3.11,5.07,0.92,5.59,0.07
857,AVTE,,0,-1.99,-0.09,0.86,5.75,0.09
858,AVTX,,,,,,,
859,AVXL,0.77,0,-0.62,2.09,0.29,6.55,0.07
860,AWH,,,,,,,
861,AXGN,,,,,,,
862,AXLA,1.45,0,-2.09,1.27,0.64,7.13,0.02
863,AXNX,,,,,,,
864,AXON,0.49,-0.09,1.86,16.71,0.78,3.35,0.02
865,AXSM,2.23,0,-3.92,1.9,0.63,3.57,0.17
866,AYLA,,,,,,,
867,AYTU,-0.18,-0.89,-1.07,5.0,0.21,3.98,0.06
868,AZN,0.18,0.13,3.98,5.97,0.15,1.12,
869,AZRX,,,,,,,
870,AZYO,,,,,,,
871,BAND,0.49,-0.08,0.73,17.73,1.06,7.71,0.19
872,BASE,,-0.43,-1.18,4.68,0.74,5.17,0.11
873,BATRA,0.9,-0.34,-0.65,4.99,0.8,7.6,0.06
874,BBCP,,,,,,,
875,BBI,0.36,0,-0.28,0.31,0.18,1.64,0.03
876,BBIO,,,,,,,
877,BBQ,1.97,0.09,1.61,5.62,0.78,0.62,0.0
878,BBSI,,,,,,,
879,BCAB,,,,,,,
880,BCDA,,,,,,,
881,BCEL,-0.03,0,-2.75,5.38,0.92,11.33,0.18
882,BCML,,,,,,,
883,BCOR,,,,,,,
884,BCOV,,0.03,0.42,2.26,0.87,4.63,0.02
885,BCRX,2.58,-2.71,-0.79,-0.59,0.6,7.8,0.12
886,BCYC,-0.42,0,-3.07,5.89,0.58,2.01,
887,BDSI,0.73,0.21,0.41,1.16,0.68,2.37,0.02
888,BDSX,,,,,,,
889,BDTX,,,,,,,
890,BEAM,,0,-3.79,8.69,0.8,7.5,0.13
891,BFRA,,,,,,,
892,BFST,,,,,,,
893,BGFV,2.96,0.09,3.11,11.95,0.59,9.54,0.41
894,BGNE,,,,,,,
895,BHTG,,,,,,,
896,BIDU,1.01,0.37,10.85,657.67,0.6,2.62,
897,BILI,1.28,-0.25,-1.82,66.02,0.49,5.63,
898,BIOC,0.68,-0.04,-1.08,2.05,0.11,1.43,0.03
899,BIOL,1.61,-0.42,-0.08,0.22,0.16,4.02,0.04
900,BIOX,,,,,,,
901,BITF,2.24,-0.26,,1.24,0.1,0.5,
902,BIVI,2.3,0,-5.32,0.23,0.01,4.13,0.06
903,BJRI,2.23,-0.02,2.19,14.4,1.03,6.24,0.11
904,BKYI,,,,,,,
905,BL,0.83,-0.23,0.68,5.77,1.0,12.46,0.1
906,BLDE,,-0.82,-0.62,4.28,0.55,5.87,
907,BLFS,,,,,,,
908,BLI,,-0.7,-0.82,3.46,0.65,2.14,0.12
909,BLMN,2.18,0.03,2.82,1.66,1.12,9.63,0.23
910,BLPH,,,,,,,
911,BLRX,1.45,0,-0.7,1.59,0.16,0.78,
912,BLU,-0.75,0,-0.81,1.49,0.72,1.92,
913,BMEA,,0,-2.7,6.97,0.59,20.9,0.11
914,BMRN,0.55,0.44,0.89,23.14,0.97,9.46,0.08
915,BNGO,1.98,0,-0.25,1.24,0.27,5.45,0.15
916,BNR,,,,,,,
917,BOLT,,0,-2.72,7.96,0.87,15.01,0.2
918,BOMN,0.4,2.28,0.59,17.92,0.7,4.39,0.03
919,BOOM,1.14,0.01,1.18,18.42,1.08,8.88,0.08
920,BOXL,3.63,-0.17,0.04,0.86,0.14,1.86,0.04
921,BPMC,0.65,0.41,-6.26,22.69,1.05,8.43,0.05
922,BPOP,,,,,,,
923,BPRN,,,,,,,
924,BPTH,1.92,0,-1.41,4.28,0.06,1.22,0.01
925,BRAG,0.98,-0.22,,3.42,0.04,8.11,
926,BRCN,,,,,,,
927,BRKS,1.78,0.11,3.04,17.86,0.97,1.78,0.02
928,BRP,,-0.02,1.12,8.26,0.43,2.36,0.03
929,BSET,,,,,,,
930,BSY,,,,,,,
931,BTAI,1.05,0,-4,9.56,0.51,7.49,0.1
932,BTCY,2.02,0,-0.28,-0.27,0.0,0.81,0.0
933,BTRS,,,,,,,
934,BVS,,0.09,0.87,3.45,0.49,5.85,0.05
935,BWAY,,,,,,,
936,BWB,,,,,,,
937,BWFG,,,,,,,
938,BWMN,,,,,,,
939,BWMX,,0.1,3.76,38.87,0.06,1.54,0.0
940,BXRX,,0,-0.49,-0.05,0.11,3.11,0.03
941,BYRN,1.02,-0.04,0.56,2.89,0.15,2.45,0.04
942,BYSI,1.12,0,-0.89,1.41,0.2,4.25,0.2
943,BZ,,-0.65,0.58,124.99,0.15,7.91,
944,BZUN,1.2,0.04,1.26,79.0,0.67,5.65,
945,CAAS,,,,,,,
946,CABA,,0,-2.24,4.06,0.62,8.14,0.06
947,CADL,,,,,,,
948,CAHC,,,,,,,
949,CALA,1.7,0,-0.8,1.12,0.68,3.4,0.04
950,CALT,1.57,0,-0.55,,0.04,2.11,
951,CAMP,,,,,,,
952,CAMT,1.62,0.23,1.6,6.37,0.32,4.73,0.03
953,CAPR,6.46,0,-0.95,1.45,0.1,0.66,0.05
954,CARA,1.13,0.07,-1.51,4.06,0.63,3.96,0.04
955,CARE,,,,,,,
956,CARG,,,,,,,
957,CASH,0.87,0.29,5.5,27.42,0.83,5.64,0.05
958,CASI,0.32,-2.37,-0.22,0.68,0.33,0.87,0.02
959,CATC,,,,,,,
960,CBAN,,,,,,,
961,CBAY,1.19,0,-1.39,1.55,0.78,6.58,0.04
962,CBIO,,,,,,,
963,CBNK,,,,,,,
964,CCB,,,,,,,
965,CCCC,,-2.57,-2.45,8.61,0.67,6.81,0.07
966,CCEP,,,,,,,
967,CCNE,,,,,,,
968,CD,,-0.04,0.08,27.43,0.33,3.06,
969,CDAK,,,,,,,
970,CDK,,,,,,,
971,CDMO,2.24,0.13,0.34,0.73,0.95,9.24,0.1
972,CDNA,,-0.07,0.4,8.95,1.02,7.7,0.11
973,CDNS,1.05,0.23,3.55,9.49,0.88,2.48,0.01
974,CDTX,1.33,-1.13,-1.41,0.32,0.37,2.39,0.01
975,CDXC,1.73,-0.38,-0.1,0.62,0.3,6.13,0.05
976,CDXS,1.34,-0.28,-0.51,2.52,1.0,7.28,0.1
977,CDZI,,,,,,,
978,CECE,,,,,,,
979,CELC,1.56,0,-2.35,2.14,0.45,3.97,0.03
980,CELH,2.05,0.06,0.42,2.51,0.43,2.7,0.04
981,CELU,,,,,,,
982,CENT,,,,,,,
983,CENTA,0.56,0.05,3.06,22.28,0.87,3.52,0.03
984,CENX,2.73,-0.15,3.92,4.11,0.6,2.4,0.09
985,CERE,,0,-1.76,2.3,0.72,7.8,0.09
986,CERN,0.74,0.13,3.58,13.45,0.9,5.27,0.05
987,CERS,1.21,-0.58,-0.33,0.49,0.83,10.78,0.08
988,CERT,,-0.21,0.34,5.46,0.86,1.62,0.03
989,CETX,2.07,-0.06,-0.66,1.59,0.07,0.01,0.0
990,CEVA,,,,,,,
991,CFRX,,,,,,,
992,CG,1.37,0.34,3.63,12.23,0.4,6.44,0.07
993,CGBD,,,,,,,
994,CGEM,,-2.85,-1.98,10.47,0.74,8.49,0.12
995,CGEN,2.32,0,-0.62,1.23,0.46,7.98,0.08
996,CGNT,,0.02,0.95,4.23,0.87,0.4,0.0
997,CGRN,2.46,-0.27,-0.27,1.49,0.19,2.66,0.03
998,CHDN,1.25,0.14,8.81,8.36,0.73,4.29,0.03
999,CHEF,2.32,-0.05,0.79,8.77,0.88,12.32,0.15
1000,CHK,,0.71,8.92,34.84,1.2,6.25,0.2
1001,CHRS,,,,,,,
1002,CHTR,1.05,0.08,29.62,105.22,0.72,8.25,0.08
1003,CHX,3.21,0.0,1.16,8.3,0.98,3.79,0.02
1004,CIDM,1.59,-0.93,-0.07,0.13,0.13,0.38,0.02
1005,CIGI,,,,,,,
1006,CIVB,,,,,,,
1007,CKPT,1.61,0,-0.63,0.69,0.13,2.83,0.03
1008,CLAR,0.89,0.05,1.5,6.83,0.77,3.24,0.02
1009,CLBS,1.04,0,-0.4,1.76,0.28,5.2,0.02
1010,CLBT,,0.1,,0.62,0.31,3.87,
1011,CLDX,3.02,0,-1.73,4.6,0.79,6.11,0.06
1012,CLFD,0.95,0.13,1.58,7.02,0.39,3.13,0.03
1013,CLIR,,,,,,,
1014,CLLS,2.22,-1.72,-2.98,6.07,0.39,11.59,
