,Symbol,Name,Buy,Analyst,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
1308,GLBS,Globus Maritime Limited Common Stock,1,Strong Buy,0.817685,-0.62447,,11.68,0.11978,0.98,0.0273
1309,GLDD,Great Lakes Dredge & Dock Corporation Common Stock,1,Strong Buy,0.726528,0.04899,1.12,5.434,0.85052,5.92,0.0185
1310,GLMD,Galmed Pharmaceuticals Ltd. Ordinary Shares,1,Strong Buy,2.170652,0.0,-1.4,2.111,0.23815,1.26,0.024500001
1311,GLNG,Golar Lng Ltd,1,Strong Buy,0.948913,-0.32574,0.06,11.949,0.7385,2.53,0.0497
1312,GLPI,Gaming and Leisure Properties Inc. Common Stock,1,Strong Buy,1.013646,0.45791,2.36,11.37,0.91125,4.25,0.015700001
1313,GLSI,Greenwich LifeSciences Inc. Common Stock,1,Strong Buy,,0.0,,,0.02145,1.49,0.0336
1314,GLTO,Galecto Inc. Common Stock,1,Strong Buy,,0.0,,,0.6024,1.69,0.0070999996
1315,GLUE,Monte Rosa Therapeutics Inc. Common Stock,1,Strong Buy,,,,,,,
1316,GLYC,GlycoMimetics Inc. Common Stock,1,Strong Buy,2.122959,0.0,-1.32,2.428,0.75491,2.09,0.037100002
1317,GMBL,Esports Entertainment Group Inc. Common Stock,1,Strong Buy,0.930676,-2.46474,-0.17,3.045,0.10108,3.24,0.065
1318,GMDA,Gamida Cell Ltd. Ordinary Shares,1,Strong Buy,1.913775,0.0,-1.5,1.398,0.47604,5.64,0.0373
1319,GMTX,Gemini Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,,0.72244,7.29,0.052699998
1320,GNCA,Genocea Biosciences Inc. Common Stock,1,Strong Buy,,0.0,-0.78,0.032,0.61502,4.33,0.0366
1321,GNLN,Greenlane Holdings Inc. Class A Common Stock,1,Strong Buy,2.56318,-0.10338,-0.19,1.152,0.37566003,6.67,0.17719999
1322,GNPX,Genprex Inc. Common Stock,1,Strong Buy,-0.950179,0.0,0.05,1.066,0.1714,3.76,0.0619
1323,GNSS,Genasys Inc. Common Stock,1,Strong Buy,0.541304,0.23398,,,0.55963004,6.7,0.043
1324,GNTX,Gentex Corporation Common Stock,1,Strong Buy,1.060391,0.24025999,2.33,8.119,0.86162,3.17,0.0168
1325,GOCO,GoHealth Inc. Class A Common Stock,1,Strong Buy,,-0.04829,,,1.3906701,3.41,0.081999995
1326,GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,1,Strong Buy,1.005458,0.10368,-0.15,5.845,0.53696,3.76,0.0145000005
1327,GOOG,Alphabet Inc. Class C Capital Stock,1,Strong Buy,0.998924,0.2857,95.21,342.743,0.68341005,2.25,
1328,GOOGL,Alphabet Inc. Class A Common Stock,1,Strong Buy,0.998924,0.2857,95.09,342.743,0.8043,2.03,0.0098
1329,GOSS,Gossamer Bio Inc. Common Stock,1,Strong Buy,1.222644,0.0,-2.72,4.546,0.82176,28.68,0.1769
1330,GOVX,GeoVax Labs Inc. Common Stock,1,Strong Buy,1.780195,0.0,-1.54,3.258,0.06268,0.65,0.0301
1331,GP,GreenPower Motor Company Inc. Common Shares,1,Strong Buy,3.788398,-0.87897,,,0.37188,5.78,
1332,GPP,Green Plains Partners LP Common Units,1,Strong Buy,0.725121,0.49258,2.25,-0.488,0.23702,14.54,0.0431
1333,GPRE,Green Plains Inc. Common Stock,1,Strong Buy,1.705434,-0.05361,0.98,17.643,1.11111,7.65,0.2131
1334,GRBK,Green Brick Partners Inc. Common Stock,1,Strong Buy,1.283695,0.12409,3.79,13.13,0.87294,2.58,0.0575
1335,GRCL,Gracell Biotechnologies Inc. American Depositary Shares,1,Strong Buy,,0.0,,,0.32629,5.0,
1336,GRIN,Grindrod Shipping Holdings Ltd. Ordinary Shares,1,Strong Buy,1.002801,-0.13894,0.82,11.166,0.26609,0.34,0.0028
1337,GRPH,Graphite Bio Inc. Common Stock,1,Strong Buy,,,,,,,
1338,GRTS,Gritstone bio Inc. Common Stock,1,Strong Buy,0.108636,-1.5714,-2.44,4.052,0.70969003,11.22,0.1376
1339,GRTX,Galera Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,-2.35,-481.109,0.80112,0.24,0.0227
1340,GRUB,Just Eat Takeaway.com N.V. American Depositary Shares,1,Strong Buy,0.26884,-0.07395,1.17,11.4266,0.01822,,
1341,GRWG,GrowGeneration Corp. Common Stock,1,Strong Buy,2.940911,0.054190002,0.71,5.989,0.53091,1.34,0.0418
1342,GSMG,Glory Star New Media Group Holdings Limited Ordinary Share,1,Strong Buy,,0.39584,,,0.00264,0.31,0.0026
1343,GTBP,GT Biopharma Inc. Common Stock,1,Strong Buy,1.568478,0.0,-1.08,1.179,0.19530001,3.62,0.1433
1344,GTEC,Greenland Technologies Holding Corporation Ordinary Shares,1,Strong Buy,,0.10576,,,0.012519999,1.15,0.0182
1345,GTHX,G1 Therapeutics Inc. Common Stock,1,Strong Buy,2.327217,-2.19176,-3.48,4.653,0.73962,6.39,0.1668
1346,GTYH,GTY Technology Holdings Inc. Common Stock,1,Strong Buy,0.134201,-0.89178,-0.5,5.134,0.45286,11.31,0.044699997
1347,GWRS,Global Water Resources Inc. Common Stock,1,Strong Buy,0.587882,0.0648,0.18,1.354,0.35632,3.37,0.0058999998
1348,HAIN,Hain Celestial Group Inc. (The) Common Stock,1,Strong Buy,0.792391,0.01975,1.65,15.061,1.0000399,7.79,0.068
1349,HALO,Halozyme Therapeutics Inc. Common Stock,1,Strong Buy,1.463003,0.49231,2.49,0.472,0.95682997,6.17,0.052800003
1350,HAPP,Happiness Biotech Group Limited Ordinary Shares,1,Strong Buy,,0.011,,2.88,0.01356,1.28,0.0306
1351,HARP,Harpoon Therapeutics Inc. Common Stock,1,Strong Buy,0.786474,0.0,-2.06,3.156,0.88351995,5.14,0.092
1352,HAS,Hasbro Inc. Common Stock,1,Strong Buy,0.987089,0.070650004,5.14,21.223,0.82886004,5.47,0.0325
1353,HBAN,Huntington Bancshares Incorporated Common Stock,1,Strong Buy,1.370108,0.29073,1.41,10.73,0.57995,3.45,0.048699997
1354,HBIO,Harvard Bioscience Inc. Common Stock,1,Strong Buy,1.771122,-0.03763,0.35,1.946,0.73837,3.49,0.0208
1355,HBNC,Horizon Bancorp Inc. Common Stock,1,Strong Buy,1.270575,0.36418998,1.55,15.686,0.5639,2.98,0.0068
1356,HCAT,Health Catalyst Inc Common Stock,1,Strong Buy,0.651937,-0.62307,-0.93,5.663,1.0319899,13.22,0.13430001
1357,HCCI,Heritage-Crystal Clean Inc. Common Stock,1,Strong Buy,1.24211,0.07609,1.47,12.284,0.63699,3.86,0.0225
1358,HCKT,Hackett Group Inc (The). Common Stock,1,Strong Buy,0.720817,0.08197,1.2,4.734,0.7949,4.94,0.015800001
1359,HCM,HUTCHMED (China) Limited American Depositary Shares,1,Strong Buy,0.659064,-0.64052004,-1.04,2.975,0.28916,6.29,
1360,HEAR,Turtle Beach Corporation Common Stock,1,Strong Buy,1.493449,0.107080005,1.68,7.521,0.65269995,5.25,0.12149999
1361,HEES,H&E Equipment Services Inc. Common Stock,1,Strong Buy,2.22489,0.01284,2.2,6.556,0.7364,3.34,0.02
1362,HEPA,Hepion Pharmaceuticals Inc. Common Stock,1,Strong Buy,1.183406,0.0,-1.42,4.201,0.21542,1.1,0.026199998
1363,HGBL,Heritage Global Inc. Common Stock,1,Strong Buy,1.223369,0.3668,0.3,0.867,0.27965,0.05,0.0001
1364,HGEN,Humanigen Inc. Common Stock,1,Strong Buy,-2.365614,0.0,4.11,0.317,0.39163,5.47,0.1983
1365,HIBB,Hibbett Inc. Common Stock,1,Strong Buy,1.831877,0.11054,5.74,23.73,1.05997,6.01,0.2701
1366,HIMX,Himax Technologies Inc. American Depositary Shares,1,Strong Buy,1.890263,0.1834,1.62,3.14,0.2007,3.61,
1367,HITI,High Tide Inc. Common Shares,1,Strong Buy,1.06528,-0.20767,,,0.01189,0.78,
1368,HIVE,Hive Blockchain Technologies Ltd. Common Shares,1,Strong Buy,,,,,,,
1369,HJLI,Hancock Jaffe Laboratories Inc. Common Stock,1,Strong Buy,1.496206,0.0,-1.44,5.055,0.21367,0.32,0.0723
1370,HLMN,Hillman Solutions Corp. Common Stock,1,Strong Buy,,,,,,,
1371,HNRG,Hallador Energy Company Common Stock,1,Strong Buy,1.016304,-0.01589,0.18,6.027,0.30074,1.5,0.0211
1372,HNST,The Honest Company Inc. Common Stock,1,Strong Buy,,-0.0631,,,0.49955,1.82,0.0748
1373,HOFV,Hall of Fame Resort & Entertainment Company Common Stock,1,Strong Buy,,0.0,,,0.14068,1.11,0.0767
1374,HOLI,Hollysys Automation Technologies Ltd. Common Shares (British Virgin Islands),1,Strong Buy,0.981986,0.123380005,1.99,17.851,0.82873,0.59,0.0049
1375,HOLX,Hologic Inc. Common Stock,1,Strong Buy,1.170652,0.35865003,4.14,14.81,0.9743,2.32,0.0383
1376,HOMB,Home BancShares Inc. Common Stock,1,Strong Buy,1.5375,0.43193,1.71,16.018,0.69737,9.33,0.0324
1377,HON,Honeywell International Inc. Common Stock,1,Strong Buy,1.180131,0.14647001,9.09,25.896,0.76698995,3.63,0.0097
1378,HOOK,HOOKIPA Pharma Inc. Common Stock,1,Strong Buy,1.17321,-2.37831,-2.61,4.698,0.65986997,3.63,0.111499995
1379,HOTH,Hoth Therapeutics Inc. Common Stock,1,Strong Buy,1.039631,0.0,-0.59,0.863,0.14592,0.1,0.0082
1380,HOWL,Werewolf Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,,0.58878,2.36,0.044099998
1381,HPK,HighPeak Energy Inc. Common Stock,1,Strong Buy,,-0.34752998,,,0.02328,3.95,0.0513
1382,HQY,HealthEquity Inc. Common Stock,1,Strong Buy,1.361353,0.00098,1.71,22.168,1.02741,6.62,0.0452
1383,HRMY,Harmony Biosciences Holdings Inc. Common Stock,1,Strong Buy,,0.04541,,,0.74786,2.49,0.0356
1384,HROW,Harrow Health Inc. Common Stock,1,Strong Buy,0.907608,0.18605,0.25,1.086,0.5744,6.3,0.086899996
1385,HRTX,Heron Therapeutics Inc. Common Stock,1,Strong Buy,1.380848,-2.7423,-1.03,2.147,0.91616994,16.14,0.2724
1386,HSDT,Helius Medical Technologies Inc. Class A Common Stock (DE),1,Strong Buy,0.842388,0.0,-0.15,5.146,0.26173002,12.32,0.0388
1387,HSKA,Heska Corporation Common Stock,1,Strong Buy,1.679347,-0.03187,0.98,40.821,0.98550004,5.23,0.0446
1388,HSTO,Histogen Inc. Common Stock,1,Strong Buy,,0.0,,,0.06421,0.35,0.0108
1389,HTBK,Heritage Commerce Corp Common Stock,1,Strong Buy,1.236686,0.28467,0.74,9.705,0.71766996,3.63,0.0173
1390,HTBX,Heat Biologics Inc. Common Stock,1,Strong Buy,0.284782,0.0,-1.17,5.462,0.12041,6.47,0.0968
1391,HTGM,HTG Molecular Diagnostics Inc. Common Stock,1,Strong Buy,1.435718,-2.18122,-2.92,1.912,0.37097,3.21,0.040599998
1392,HTHT,Huazhu Group Limited American Depositary Shares,1,Strong Buy,1.579978,-0.02902,1.76,35.569,0.49912998,13.01,
1393,HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,1,Strong Buy,,0.0,,,0.45383,5.39,0.0791
1394,HUBG,Hub Group Inc. Class A Common Stock,1,Strong Buy,1.013043,0.02168,4.19,34.183,0.95129997,2.46,0.0209
1395,HUMA,Humacyte Inc. Common Stock,1,Strong Buy,,,,,,,
1396,HURN,Huron Consulting Group Inc. Common Stock,1,Strong Buy,0.951086,0.02895,2.96,24.667,0.97398,4.35,0.023699999
1397,HUT,Hut 8 Mining Corp. Common Shares,1,Strong Buy,2.378365,0.49273,,,0.12903,0.85,
1398,HWC,Hancock Whitney Corporation Common Stock,1,Strong Buy,1.705786,0.3009,4.28,39.376,0.79259,4.72,0.0186
1399,HYFM,Hydrofarm Holdings Group Inc. Common Stock,1,Strong Buy,,0.0019699999,,,0.25146,1.99,0.0444
1400,HYMC,Hycroft Mining Holding Corporation Class A Common Stock,1,Strong Buy,,-2.0290198,,,0.93046,6.78,3.4213
1401,HYRE,HyreCar Inc. Common Stock,1,Strong Buy,2.872899,-0.68288004,0.45,-0.254,0.59645003,0.68,0.0686
1402,HYZN,Hyzon Motors Inc. Class A Common Stock,1,Strong Buy,,,,,,,
1403,HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,1,Strong Buy,1.100534,0.12805,5.11,18.186,0.90224,4.19,0.0277
1404,IAC,IAC/InterActiveCorp Common Stock,1,Strong Buy,,0.36058998,-0.45,75.037,0.87971,1.65,
1405,IAS,Integral Ad Science Holding Corp. Common Stock,1,Strong Buy,,,,,,,
1406,IBEX,IBEX Limited Common Shares,1,Strong Buy,,-0.0114400005,1.4,4.204,0.24101,2.63,0.0108
1407,IBKR,Interactive Brokers Group Inc. Class A Common Stock,1,Strong Buy,0.653384,0.11322,2.56,16.085,0.85609,4.29,0.026099999
1408,IBRX,ImmunityBio Inc. Common Stock,1,Strong Buy,,0.0,,,0.073070005,11.96,0.1399
1409,IBTX,Independent Bank Group Inc Common Stock,1,Strong Buy,1.9376,0.39363998,5.03,57.72,0.72726995,4.4,0.0228
1410,ICAD,iCAD Inc. Common Stock,1,Strong Buy,1.116266,-0.24443,-0.1,2.039,0.53923,3.23,0.0381
1411,ICCC,ImmuCell Corporation Common Stock,1,Strong Buy,,-0.092250004,-0.11,3.916,0.10189,0.93,0.0019
1412,ICFI,ICF International Inc. Common Stock,1,Strong Buy,0.600652,0.04106,5.11,39.833,0.9406,3.93,0.0149
1413,ICHR,Ichor Holdings Ordinary Shares,1,Strong Buy,2.292919,0.05941,4.12,15.357,0.90529996,3.02,0.0301
1414,ICLK,iClick Interactive Asia Group Limited American Depositary Shares,1,Strong Buy,0.540478,-0.04397,0.35,3.099,0.43365002,1.59,
1415,ICLR,ICON plc Ordinary Shares,1,Strong Buy,0.852173,0.114870004,9.54,36.592,1.06406,10.99,0.123
1416,ICUI,ICU Medical Inc. Common Stock,1,Strong Buy,0.589673,0.07439,7.88,71.761,0.96766996,3.89,0.028399998
1417,ICVX,Icosavax Inc. Common Stock,1,Strong Buy,,,,,,,
1418,IDCC,InterDigital Inc. Common Stock,1,Strong Buy,1.071273,0.13763,1.83,25.096,0.86011004,6.93,0.0616
1419,IDEX,Ideanomics Inc. Common Stock,1,Strong Buy,-0.436413,-1.46287,-0.07,0.989,0.052210003,2.35,0.0952
1420,IDN,Intellicheck Inc. Common Stock,1,Strong Buy,1.891847,-0.0504,0.31,1.184,0.51818,5.11,0.101
1421,IDXX,IDEXX Laboratories Inc. Common Stock,1,Strong Buy,0.885869,0.2359,9.1,8.232,0.87555003,2.66,0.0113
1422,IDYA,IDEAYA Biosciences Inc. Common Stock,1,Strong Buy,1.916918,-0.84490997,-1.62,7.226,0.64779997,6.34,0.0672
1423,IEA,Infrastructure and Energy Alternatives Inc. Common Stock,1,Strong Buy,1.62116,-0.00417,0.89,-4.858,0.68671,5.07,0.11310001
1424,IEP,Icahn Enterprises L.P. Common Stock,1,Strong Buy,0.909239,-0.01095,-0.16,16.715,0.96619004,0.45,0.0064999997
1425,IGMS,IGM Biosciences Inc. Common Stock,1,Strong Buy,,0.0,-1.96,8.354,0.65309995,23.02,0.3677
1426,IHRT,iHeartMedia Inc. Class A Common Stock,1,Strong Buy,2.164544,-0.16271,1.63,7.131,0.88435,2.35,0.029000001
1427,III,Information Services Group Inc. Information Services Group Inc. Common Stock,1,Strong Buy,0.658842,0.0416,0.28,1.952,0.51949,0.48,0.0069
1428,IIIV,i3 Verticals Inc. Class A Common Stock,1,Strong Buy,1.60572,-0.01949,1.24,8.223,0.9438,11.3,0.111999996
1429,IIN,Intricon Corporation Common Stock,1,Strong Buy,1.297282,0.00149,0.78,10.257,0.6877,7.82,0.0374
1430,IINN,Inspira Technologies Oxy B.H.N. Ltd. Ordinary Shares,1,Strong Buy,,0.0,,,,,
1431,IIVI,II-VI Incorporated Common Stock,1,Strong Buy,1.504891,0.08755,3.92,27.458,0.94744,12.82,0.1876
1432,IKNA,Ikena Oncology Inc. Common Stock,1,Strong Buy,,0.0,,,0.82675004,16.69,0.0424
1433,IMAB,I-MAB American Depositary Shares,1,Strong Buy,,0.30526,,,0.38619,3.89,
1434,IMBI,iMedia Brands Inc. Class A Common Stock,1,Strong Buy,1.90163,-0.02043,-0.39,2.774,0.21486999,0.79,0.0041
1435,IMCC,IM Cannabis Corp. Common Shares,1,Strong Buy,,-1.01969,,,0.08931,0.11,
1436,IMCR,Immunocore Holdings plc American Depositary Shares,1,Strong Buy,,-2.80434,,,0.34772,4.21,
1437,IMGO,Imago BioSciences Inc. Common stock,1,Strong Buy,,,,,,,
1438,IMMP,Immutep Limited American Depositary Shares,1,Strong Buy,1.454901,0.0,-0.27,0.94,0.07198,0.98,
1439,IMNM,Immunome Inc. Common Stock,1,Strong Buy,,0.0,,,0.16569,2.36,0.0221
1440,IMPL,Impel NeuroPharma Inc. Common Stock,1,Strong Buy,,0.0,,,0.65463996,3.1,0.0377
1441,IMRX,Immuneering Corporation Class A Common Stock,1,Strong Buy,,,,,,,
1442,IMTX,Immatics N.V. Ordinary Shares,1,Strong Buy,,0.0,,,0.41313,13.35,0.0414
1443,IMUX,Immunic Inc. Common Stock,1,Strong Buy,1.950994,0.0,-3.66,7.501,0.37511003,5.04,0.041100003
1444,IMVT,Immunovant Inc. Common Stock,1,Strong Buy,,0.0,,,0.4157,2.62,0.1295
1445,IMXI,International Money Express Inc. Common Stock,1,Strong Buy,0.473928,0.11432,1.23,2.466,0.79092,3.7,0.0226
1446,INAB,IN8bio Inc. Common Stock,1,Strong Buy,,,,,,,
1447,INBK,First Internet Bancorp Common Stock,1,Strong Buy,0.821506,0.37892,4.64,35.075,0.72609,4.69,0.0089
1448,INBX,Inhibrx Inc. Common Stock,1,Strong Buy,,0.0,,,0.43118998,5.77,0.0347
1449,INCR,Intercure Ltd. Ordinary Shares,1,Strong Buy,,,,,,,
1450,INDB,Independent Bank Corp. Common Stock,1,Strong Buy,0.981501,0.29916,4.85,51.942,0.83218,7.39,0.0539
1451,INDI,indie Semiconductor Inc. Class A Common Stock,1,Strong Buy,,,,,,,
1452,INDT,INDUS Realty Trust Inc. (MD) Common Stock,1,Strong Buy,0.938043,-0.34013999,,,0.50215,3.24,0.0175
1453,INFI,Infinity Pharmaceuticals Inc. Common Stock,1,Strong Buy,2.2875,0.0,-0.6,0.587,0.55959,2.71,0.044899996
1454,INM,InMed Pharmaceuticals Inc. Common Shares,1,Strong Buy,1.430903,0.0,,,0.06342,1.0,
1455,INMB,INmune Bio Inc. Common stock,1,Strong Buy,2.731649,0.0,-1.97,2.875,0.13558,4.8,0.08939999
1456,INMD,InMode Ltd. Ordinary Shares,1,Strong Buy,,0.41196,1.7,5.295,0.55926996,2.91,0.0787
1457,INNV,InnovAge Holding Corp. Common Stock,1,Strong Buy,,-0.06201,0.23,2.421,0.14105,3.23,0.039300002
1458,INSE,Inspired Entertainment Inc. Common Stock,1,Strong Buy,1.472236,-0.29001,-0.17,-4.975,0.86673,19.39,0.303
1459,INSM,Insmed Inc. Common Stock,1,Strong Buy,2.261153,-1.90363,-2.58,1.952,0.95702004,10.86,0.0888
1460,INTA,Intapp Inc. Common Stock,1,Strong Buy,,,,,,,
1461,INTU,Intuit Inc. Common Stock,1,Strong Buy,1.004352,0.23931,10.79,36.408,0.87276,2.05,0.0089
1462,INVE,Identiv Inc. Common Stock,1,Strong Buy,1.811229,-0.04972,0.2,1.893,0.43924,0.48,0.0091
1463,INVO,INVO BioScience Inc. Common Stock,1,Strong Buy,-1.145108,0.0,,,0.15722999,4.88,0.029000001
1464,INVZ,Innoviz Technologies Ltd. Ordinary shares,1,Strong Buy,,0.0,,,0.089540005,5.57,
1465,INZY,Inozyme Pharma Inc. Common Stock,1,Strong Buy,,0.0,,,0.94759005,21.11,0.0548
1466,IOVA,Iovance Biotherapeutics Inc. Common Stock,1,Strong Buy,0.819021,0.0,-2.26,4.336,1.0612301,3.85,0.1749
1467,IPGP,IPG Photonics Corporation Common Stock,1,Strong Buy,1.395477,0.1329,6.71,48.53,0.64961,4.93,0.0418
1468,IPHA,Innate Pharma S.A. ADS,1,Strong Buy,0.107744,-0.9082,0.45,,0.00377,0.4,
1469,IPSC,Century Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,-4.64,0.05284,,
1470,IPW,iPower Inc. Common Stock,1,Strong Buy,,0.05424,,,0.0,,
1471,IPWR,Ideal Power Inc. Common Stock,1,Strong Buy,0.973103,0.0,-0.24,4.69,0.15007,3.21,0.0748
1472,IRIX,IRIDEX Corporation Common Stock,1,Strong Buy,1.277717,-0.17024,-0.23,1.652,0.28370002,3.16,0.0113
1473,IRMD,iRadimed Corporation Common Stock,1,Strong Buy,1.051102,0.1295,0.78,5.123,0.39792,1.62,0.019199999
1474,ISEE,IVERIC bio Inc. Common Stock,1,Strong Buy,1.688235,0.0,-0.86,2.126,0.93509,13.76,0.0583
1475,ISTR,Investar Holding Corporation Common Stock,1,Strong Buy,0.750272,0.23113,2.4,23.787,0.61583,0.43,0.0058
1476,ISUN,iSun Inc. Common Stock,1,Strong Buy,0.720211,-0.09567001,,,0.22278999,5.79,0.0808
1477,ITCI,Intra-Cellular Therapies Inc. Common Stock,1,Strong Buy,1.293706,0.0,-1.99,7.545,0.91789,13.49,0.0923
1478,ITI,Iteris Inc. Common Stock,1,Strong Buy,1.42663,0.08651,0.24,1.895,0.64512,2.35,0.0148
1479,ITOS,iTeos Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,,0.87332,2.7,0.083900005
1480,ITRI,Itron Inc. Common Stock,1,Strong Buy,1.157608,-0.025799999,3.18,26.516,1.01317,5.59,0.0462
1481,IVAC,Intevac Inc. Common Stock,1,Strong Buy,0.961956,-0.044359997,0.31,4.028,0.77089995,4.91,0.0427
1482,IZEA,IZEA Worldwide Inc. Common Stock,1,Strong Buy,2.762272,-0.55921,0.02,0.635,0.02875,0.9,0.0638
1483,JACK,Jack In The Box Inc. Common Stock,1,Strong Buy,1.830554,0.14694001,6.63,-32.933,1.03563,3.21,0.051
1484,JAGX,Jaguar Health Inc. Common Stock,1,Strong Buy,1.332437,0.0,-0.2,0.249,0.19739,1.66,0.0464
1485,JAMF,Jamf Holding Corp. Common Stock,1,Strong Buy,,-0.06047,,,0.88647,6.01,0.0695
1486,JANX,Janux Therapeutics Inc. Common Stock,1,Strong Buy,,,,,,,
1487,JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),1,Strong Buy,1.057219,0.21271999,17.79,65.154,0.98797,9.32,0.107200004
1488,JBLU,JetBlue Airways Corporation Common Stock,1,Strong Buy,1.65778,-0.28027,1.07,11.73,0.81774,1.37,0.0352
1489,JCOM,j2 Global Inc. Common Stock,1,Strong Buy,1.06576,0.15108,10.15,28.657,1.13789,7.7,0.1046
1490,JD,JD.com Inc. American Depositary Shares,1,Strong Buy,0.760326,0.06471,2.42,121.964,0.42067,2.51,
1491,JFIN,Jiayin Group Inc. American Depositary Shares,1,Strong Buy,1.160097,0.22984,1.19,-8.545,0.00666,0.12,
1492,JG,Aurora Mobile Limited American Depositary Shares,1,Strong Buy,1.417236,-0.50761,0.24,2.508,0.19373,0.47,
1493,JOAN,JOANN Inc. Common Stock,1,Strong Buy,,0.08846,,,0.96494,1.54,0.0476
1494,JRSH,Jerash Holdings (US) Inc. Common Stock,1,Strong Buy,0.763277,0.05198,0.68,4.976,0.029719999,0.33,0.0023999999
1495,JRVR,James River Group Holdings Ltd. Common Shares,1,Strong Buy,0.488537,-0.10264,2.47,20.784,1.01255,6.57,0.0315
1496,JYNT,The Joint Corp. Common Stock,1,Strong Buy,1.296745,0.22438,0.47,1.466,0.87174004,7.64,0.0946
1497,KALA,Kala Pharmaceuticals Inc. Common Stock,1,Strong Buy,0.398476,0.0,-0.96,1.721,0.59879,4.88,0.1856
1498,KALV,KalVista Pharmaceuticals Inc. Common Stock,1,Strong Buy,1.965771,0.0,-2.71,3.25,1.04894,11.58,0.083100006
1499,KARO,Karooooo Ltd. Ordinary Shares,1,Strong Buy,,0.13891,,,0.015,2.14,0.0037
1500,KBNT,Kubient Inc. Common Stock,1,Strong Buy,,0.0,,,0.05467,1.82,0.0357
1501,KC,Kingsoft Cloud Holdings Limited American Depositary Shares,1,Strong Buy,,-0.14477,,,0.30536,4.15,
1502,KDNY,Chinook Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,,0.76436996,12.08,0.0713
1503,KDP,Keurig Dr Pepper Inc. Common Stock,1,Strong Buy,0.619667,0.13494,1.75,16.983,0.47721002,4.29,0.0224
1504,KE,Kimball Electronics Inc. Common Stock,1,Strong Buy,1.408152,0.03289,1.86,17.028,0.64169997,6.96,0.02
1505,KELYA,Kelly Services Inc. Class A Common Stock,1,Strong Buy,1.30909,0.02394,2.07,30.628,0.83689004,3.67,0.0175
1506,KERN,Akerna Corp. Common Stock,1,Strong Buy,3.110763,-2.16146,-0.33,1.769,0.22713,2.0,0.133
1507,KIDS,OrthoPediatrics Corp. Common Stock,1,Strong Buy,0.673658,-0.50375,-0.71,11.3,0.77992,13.15,0.16059999
1508,KINS,Kingstone Companies Inc. Common Stock,1,Strong Buy,0.924672,0.018860001,0.6,8.34,0.55584,0.78,0.0013
1509,KIRK,Kirkland's Inc. COMMONSTOCK,1,Strong Buy,1.978609,0.03061,2.1,6.642,0.72007006,4.14,0.15640001
1510,KLAC,KLA Corporation Common Stock,1,Strong Buy,1.217859,0.30039,16.99,20.311,0.93033,2.03,0.0162
1511,KLIC,Kulicke and Soffa Industries Inc. Common Stock,1,Strong Buy,1.220855,0.15662,3.7,13.015,0.92592,1.96,0.0317
1512,KLTR,Kaltura Inc. Common Stock,1,Strong Buy,,,,,,,
1513,KMDA,Kamada Ltd. Ordinary Shares,1,Strong Buy,0.321279,0.117010005,0.13,4.047,0.41264,16.05,0.0313
1514,KNBE,KnowBe4 Inc. Class A Common Stock,1,Strong Buy,,0.00598,,,0.70828,6.07,0.0925
1515,KNSA,Kiniksa Pharmaceuticals Ltd. Class A Common Stock,1,Strong Buy,-0.074154,0.0,-2.36,3.962,0.91972,14.21,0.1522
1516,KNTE,Kinnate Biopharma Inc. Common Stock,1,Strong Buy,,0.0,,,0.87132,14.53,0.0758
1517,KPLT,Katapult Holdings Inc. Common Stock,1,Strong Buy,,0.09458,,,1.03178,,
1518,KRNT,Kornit Digital Ltd. Ordinary Shares,1,Strong Buy,1.832969,0.074039996,1.47,11.518,0.93391,2.97,0.0099
1519,KRNY,Kearny Financial Corp Common Stock,1,Strong Buy,0.799672,0.30617002,0.85,12.982,0.68151003,4.3,0.019299999
1520,KRON,Kronos Bio Inc. Common Stock,1,Strong Buy,,0.0,,,0.6216,15.78,0.111099996
1521,KROS,Keros Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,,0.83308,9.25,0.0654
1522,KRT,Karat Packaging Inc. Common Stock,1,Strong Buy,,0.051620003,,,0.21022,2.41,0.0191
1523,KRTX,Karuna Therapeutics Inc. Common Stock,1,Strong Buy,1.825347,0.0,-2.8,6.942,0.96928,13.28,0.0833
1524,KRUS,Kura Sushi USA Inc. Class A Common Stock,1,Strong Buy,,-0.97749,0.44,7.328,0.33163,6.82,0.066199996
1525,KRYS,Krystal Biotech Inc. Common Stock,1,Strong Buy,1.113646,0.0,-3.33,19.395,0.74924004,11.09,0.0758
1526,KSPN,Kaspien Holdings Inc. Common Stock,1,Strong Buy,0.195108,0.00059,,,0.36616,1.42,0.0162
1527,KTRA,Kintara Therapeutics Inc. Common Stock,1,Strong Buy,1.544378,0.0,,,0.08387999,0.89,0.04
