,Symbol,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
421,OGS,0.43,0.12,4.1,43.13,0.83,4.7,0.02
422,OHI,0.95,0.25,1.8,16.94,0.71,3.21,0.04
423,OI,1.76,0.05,1.92,0.99,0.95,5.76,0.05
424,OII,3.55,-0.08,0.2,5.44,0.92,1.94,0.03
425,OIS,3.97,-0.13,-0.24,11.95,0.93,3.72,0.05
426,OMC,0.94,0.1,6.41,14.93,0.93,10.5,0.07
427,OMI,0.22,0.02,3.28,10.47,0.93,6.94,0.09
428,ORA,0.32,0.1,1.97,32.26,0.87,12.18,0.12
429,ORAN,0.3,0.03,1.26,12.94,0.01,1.27,
430,ORCL,0.8,0.34,5.12,1.86,0.47,3.58,0.02
431,ORI,0.88,0.18,2.27,21.6,0.76,2.96,0.02
432,ORN,0.98,0.03,0.56,5.29,0.76,1.4,0.01
433,OWL,,-0.85,,,0.84,1.34,
434,OXY,2.34,-0.24,-0.44,9.15,0.7,1.7,0.05
435,PAC,0.91,0.27,6.13,434.3,0.18,3.89,
436,PARR,2.64,-0.09,1,4.59,0.95,5.3,0.05
437,PATH,,-0.52,,,0.54,1.73,0.06
438,PB,1.3,0.47,5.45,66.95,0.82,3.12,0.01
439,PBA,1.77,-0.04,1.92,21.84,0.62,2.75,
440,PBH,0.69,0.18,3.42,26.51,1.07,7.72,0.04
441,PBI,2.69,0.0,0.56,0.11,0.69,6.19,0.09
442,PCG,1.38,-0.08,1.12,10.64,0.73,5.55,0.06
443,PEAK,0.67,0.28,,,0.96,2.17,0.02
444,PEB,2.05,-2.15,-0.86,23.03,1.12,12.11,0.16
445,PFE,0.67,0.24,3.46,12.27,0.67,2.62,0.01
446,PFS,1.03,0.35,1.81,21.53,0.64,3.84,0.01
447,PG,0.42,0.19,5.95,18.68,0.65,3.07,0.01
448,PGR,0.47,0.12,5.83,29.64,0.85,4.74,0.02
449,PGTI,1.45,0.05,1.58,8.56,0.92,4.16,0.02
450,PHG,0.68,0.06,2.07,13.11,0.08,1.94,
451,PII,1.88,0.08,10.19,17.29,0.87,6.61,0.08
452,PING,0.97,-0.12,0.3,8.74,0.82,5.34,0.14
453,PINS,1.25,0.07,1.3,3.67,0.79,2.21,0.03
454,PK,2.28,-1.18,0.03,19.9,0.97,5.02,0.07
455,PKI,1.11,0.24,6.17,35.71,0.96,6.92,0.05
456,PKX,1.0,0.06,7.21,145797.12,0.04,1.08,
457,PLNT,1.22,0.06,1.81,-8.52,1.05,5.15,0.06
458,PMT,1.15,0.32,2.15,21.01,0.72,3.6,0.04
459,PNC,1.37,0.33,13.62,118.43,0.84,3.4,0.01
460,PNR,1.14,0.14,3.44,13.2,0.94,4.21,0.03
461,POR,0.37,0.07,2.77,29.86,0.98,2.28,0.02
462,PPL,0.77,-0.16,1.72,15.02,0.66,2.11,0.02
463,PRA,0.37,-0.04,0.5,24.49,0.86,3.77,0.02
464,PRGO,1.17,-0.07,2.86,42.49,0.87,3.15,0.05
465,PRI,1.44,0.17,12.63,47.63,0.92,3.51,0.01
466,PRLB,1.65,0.09,2.25,29.38,0.97,6.08,0.15
467,PRO,1.65,-0.31,-0.46,0.79,1.05,12.97,0.13
468,PSA,0.17,0.48,8.08,27.52,0.81,3.92,0.02
469,PSN,1.12,0.02,2.28,17.55,1.04,8.6,0.13
470,PSX,1.68,-0.02,6.82,41.06,0.71,2.41,0.02
471,PSXP,1.17,0.49,4.16,7.96,0.18,10.56,0.07
472,PUK,1.42,-0.05,3.73,16.07,0.02,1.76,
473,PVH,2.38,0.01,8.42,67.85,0.99,1.84,0.03
474,QGEN,0.21,0.22,2.26,12.48,0.71,4.53,0.02
475,QUOT,0.96,-0.12,-0.01,2.69,0.84,4.8,0.03
476,R,2.0,0.0,6.58,42.32,0.89,2.26,0.03
477,RACE,0.89,0.21,5.73,9.66,0.4,4.9,0.07
478,RBA,1.17,0.13,2.07,9.17,0.91,2.64,0.02
479,RBLX,,-0.27,,,0.8,2.19,0.07
480,RCI,0.34,0.11,3.25,19.95,0.71,7.91,
481,RCL,2.85,0,1.97,36.04,0.68,2.75,0.04
482,REVG,2.56,0.01,1.49,7.71,0.95,1.76,0.03
483,REZI,2.63,0.04,1.98,13.93,0.97,4.22,0.02
484,RF,1.48,0.37,1.97,16.87,0.78,2.49,0.02
485,RFP,3.31,0.1,2.57,14.91,0.89,3.13,0.04
486,RGA,1.22,0.05,13.86,211.19,0.96,1.1,0.01
487,RGS,2.86,-0.41,0,1.38,1.07,17.17,0.29
488,RHI,1.57,0.08,4.54,10.8,0.94,4.23,0.05
489,RHP,1.81,-0.81,0.32,1.93,0.93,3.05,0.04
490,RIO,0.62,0.32,3.39,29.1,0.09,2.84,
491,RL,1.51,0.03,7.4,35.58,0.98,4.41,0.07
492,RLGY,2.81,0.02,2.71,15.41,1.08,5.74,0.13
493,RLI,0.35,0.24,3.18,25.55,0.83,9.71,0.03
494,RM,1.43,0.19,4.38,26.9,0.91,3.16,0.03
495,RMAX,1.51,0.04,2.37,27.83,0.97,6.51,0.04
496,RMD,0.3,0.15,5.5,18.62,0.7,1.59,0.01
497,RMO,,9.24,,,0.28,3.42,0.25
498,ROK,1.38,0.23,9.84,15.65,0.83,6.75,0.03
499,ROL,0.53,0.15,0.69,2.01,0.41,9.55,0.04
500,RPM,0.94,0.08,4.51,11.92,0.79,3.45,0.01
501,RPT,1.67,0.03,-0.18,8.62,0.95,3.81,0.02
502,RRC,2.66,-0.42,1.15,6.99,0.93,5.87,0.18
503,RSG,0.72,0.11,4.22,27.06,0.94,2.17,0.01
504,SAFE,-0.45,0.36,1.77,26.39,0.34,12.8,0.07
505,SAM,0.74,0.05,33.47,84.86,0.89,3.16,0.15
506,SAN,1.74,0.16,0.48,4.76,0.02,3.08,
507,SAND          ,0.91,0.28,0.08,3.2,0.51,3.07,
508,SAP,0.97,0.2,6.23,28.44,0.04,2.55,
509,SBH,1.63,0.04,1.92,0.88,1.1,9.55,0.29
510,SC,1.08,0.43,3.89,20.36,0.2,1.79,0.04
511,SCL,0.71,0.07,7.48,44.51,0.79,3.46,0.02
512,SCM,1.35,0.62,1.14,14.03,0.21,1.81,0.01
513,SF,1.51,0.16,5.48,35.96,0.86,4.98,0.02
514,SFL,1.15,-0.22,0.74,7.0,0.32,1.12,0.01
515,SHAK,1.69,-0.03,0.43,10.59,0.92,5.73,0.11
516,SIG,2.64,0.09,6.44,25.06,0.95,4.87,0.16
517,SITE,1.23,0.06,4.08,18.14,1.07,11.74,0.06
518,SJI,0.86,0.11,1.7,17.23,1.07,3.27,0.09
519,SJR,0.58,0.17,1.04,11.49,0.64,4.63,
520,SKLZ,,-0.59,,,0.51,2.25,0.25
521,SLCA,3.26,-0.0,-0.2,8.17,0.78,6.79,0.09
522,SLF,0.99,0.1,3.95,40.03,0.56,6.46,
523,SLG,1.55,0.32,-0.48,67.61,0.92,8.94,0.15
524,SLQT,,0.17,,,0.7,2.86,0.03
525,SM,6.23,-0.52,0.99,15.42,0.77,3.24,0.14
526,SNA,1.28,0.18,14.05,71.72,0.91,14.55,0.09
527,SNDR,0.95,0.05,1.8,11.83,0.51,5.23,0.04
528,SNOW,,-0.91,-0.52,16.76,0.63,3.63,0.05
529,SNP,1.04,0.04,8.55,630.8,0.03,1.33,
530,SO,0.45,0.14,3.55,26.91,0.61,2.95,0.01
531,SOI,2.02,-0.06,0.31,6.78,0.77,1.54,0.01
532,SOL,2.24,0.18,0.31,6.21,0.38,1,
533,SPCE,,0,,,0.26,1.82,0.15
534,SPG,1.55,0.32,4.92,9.2,0.9,6.46,0.05
535,SPIR,,,,,,,
536,SQM,0.88,0.11,1.71,8.07,0.38,1.19,
537,SRE,0.66,0.35,8.51,74.41,0.85,2.05,0.01
538,SRT,1.32,-0.04,0.42,4.53,0.18,3.98,0.01
539,SSD,1.25,0.16,5.18,23.36,0.91,8.83,0.02
540,STAG,0.9,0.34,0.5,16.59,0.9,9.4,0.06
541,STM,1.28,0.13,1.98,9.49,0.04,4.04,
542,STN,0.76,0.05,1.8,17.37,0.76,3.55,
543,STNG,1.16,-0.02,2.55,36.8,0.47,2.65,0.05
544,STOR,1.23,0.31,1,18.9,0.88,5.37,0.02
545,SU,2.02,0.05,2,23.89,0.71,2.71,
546,SUM,1.27,0.07,1.45,13.73,1.04,7.12,0.05
547,SUN,1.79,0.04,3.93,8.37,0.24,2.82,0.01
548,SWI,0.94,0.12,1.04,9.35,0.98,5.7,0.1
549,SWN,1.49,-0.53,0.96,0.87,0.91,2.57,0.07
550,SWX,0.15,0.08,4.27,47.83,0.85,1.4,0.01
551,SXI,1.25,0.06,4.92,39.45,0.89,1.82,0.01
552,T,0.75,-0.01,3.12,23.18,0.54,3.61,0.02
553,TAK,1.13,0.12,0.83,1482.5,0.03,2.72,
554,TAP,1.13,-0.06,4.23,58.0,0.93,11.26,0.11
555,TD,0.87,0.35,5.1,49.25,0.59,4.1,
556,TDOC,0.22,-0.48,-1.01,102.52,0.79,6.97,0.12
557,TDS,1.19,0.04,1.02,42.35,0.89,3.77,0.04
558,TEF,1.07,0.22,,2.25,0.01,0.62,
559,TEN,2.53,-0.02,4.5,-1.46,0.73,4.92,0.05
560,TFC,1.33,0.25,,,0.74,2.89,0.01
561,TGI,3.26,-0.24,1.15,-12.76,0.91,3.64,0.06
562,TGNA,1.32,0.17,2.94,9.69,0.91,5.27,0.04
563,TGP,1.17,0.34,2.53,16.82,0.3,1.96,0.01
564,THO,2.35,0.05,11.04,49.36,0.93,9.59,0.08
565,THS,0.56,0.01,3.21,33.36,1.12,2.42,0.1
566,TME,1.03,0.13,0.57,31.13,0.59,1.08,
567,TMHC,1.77,0.07,5.59,27.74,0.96,4.15,0.05
568,TNC,1.1,0.05,4.79,22.58,0.94,3.91,0.02
569,TNK,0.28,0.1,0.73,31.98,0.29,2.73,0.06
570,TOL,1.55,0.08,8.32,39.82,0.92,4.8,0.07
571,TPH,1.48,0.11,3.6,18.85,0.99,4.07,0.04
572,TPL,2.23,0.6,43.65,62.55,0.57,11.71,0.04
573,TREX,1.51,0.19,2.42,5.12,0.97,13.93,0.06
574,TRI,0.31,1.12,2.81,29.89,0.26,3.6,
575,TRP,0.76,0.16,2.88,28.11,0.77,4.11,
576,TRQ,1.97,0.41,0.05,47.59,0.37,3.6,0.02
577,TRV,0.77,0.11,12.28,112.4,0.91,4.26,0.02
578,TS,2.0,0.1,0.98,19.12,0.1,4.06,
579,TSE,1.5,0.1,7.76,17.48,0.95,3.11,0.04
580,TSN,0.83,0.05,6.47,43.67,0.84,1.91,0.01
581,TT,1.23,0.1,,,0.84,1.41,0.01
582,TTM,2.23,-0.05,4.64,876.71,0.07,6.77,
583,TUFN,1.56,-0.32,-0.83,1.85,0.5,1.12,0.02
584,TV,0.81,0.08,0.21,132.84,0.49,0.51,
585,TWO,1.82,0.7,0.96,7.37,0.55,1.74,0.09
586,TWTR,0.77,0.09,1.08,9.72,0.8,1.5,0.03
587,TX,1.37,0.2,6.3,39.94,0.2,2.42,
588,UAA,1.32,0.07,0.51,3.87,0.86,2.45,0.06
589,UFS,1.89,-0.05,4.2,41.62,1.01,4.16,0.1
590,UHS,1.2,0.09,12.25,76.83,0.98,3.52,0.03
591,UI,1.38,0.32,6.37,-4.5,0.07,6.37,0.05
592,UMC,1.01,0.19,0.53,100.58,0.04,2.28,
593,UNM,1.71,0.05,5.4,51.77,0.86,2.15,0.02
594,UPS,1.06,0.07,11.55,8.21,0.7,3.24,0.01
595,URI,2.03,0.11,23.89,65.56,0.93,3.25,0.02
596,USB,1.11,0.33,4.37,30.53,0.76,2.55,0.01
597,USM,0.67,0.05,1.93,52,0.29,2.45,0.03
598,USX,2.33,0.02,1.3,5.25,0.56,12.61,0.05
599,UTL,0.61,0.08,2.63,26.8,0.74,3.67,0.01
600,VALE,0.55,0.23,3.93,40.44,0.25,1.72,
601,VIST,0.4,-0.07,0.36,5.87,0.16,0.12,
602,VLTA,,0,,,0.14,2.39,
603,VMC,0.57,0.14,6.06,46.25,0.9,2.55,0.01
604,VMW,0.89,0.17,7.58,21.59,0.72,10.17,0.2
605,VNTR,1.87,-0.07,0.51,5.52,0.33,1.56,0.01
606,VOYA,1.45,0.24,6.64,65.43,1.13,15.43,0.14
607,VRS,2.1,-0.16,0.09,17.79,0.81,4.75,0.02
608,VSH,1.41,0.08,2.2,10.81,0.98,11.54,0.07
609,VTEX,,-0.26,,,0.25,1.57,0.01
610,VTR,1.29,0.04,0.06,26.58,0.94,5.93,0.04
611,VVNT,,-0.34,,,0.86,7.09,0.04
612,W,3.14,0.03,6.61,-14.16,1.09,12.34,0.23
613,WAT,0.8,0.25,10.99,3.73,0.91,5.7,0.03
614,WBK,0.75,0.23,2.04,19.66,0.01,4.33,
615,WEBR,,0.07,,,0.51,0.38,0.06
616,WEC,0.21,0.16,4.29,34.13,0.74,3,0.01
617,WEX,1.94,-0.2,10.7,42.06,1.03,5.16,0.03
618,WHR,1.81,0.09,23.16,67.02,0.95,12.1,0.11
619,WM,0.82,0.1,5.45,17.6,0.82,2.83,0.01
620,WMS,1.4,0.11,4.53,11.45,0.92,2.87,0.02
621,WPP,1.34,-0.25,,19.86,0.04,3.39,
622,WRB,0.84,0.11,4.47,36.16,0.71,3.13,0.01
623,WSM,1.65,0.13,11.41,19.24,0.95,4.84,0.1
624,WSO,0.75,0.06,9.12,42.2,0.98,10.66,0.05
625,WSR,1.44,0.09,0.16,7.8,0.54,1.08,0.02
626,WTI,3.23,-0.18,0.55,-1.47,0.37,4.38,0.11
627,WTTR,2.82,-0.25,-0.07,6.5,0.72,2.44,0.02
628,WU,1.01,0.16,2.29,0.53,1.04,10.01,0.11
629,X,2.15,0.07,3.29,17.16,0.69,2.14,0.16
630,XHR,1.74,-0.44,0.22,13.66,0.85,3.89,0.03
631,XOM,1.42,-0.06,4.49,37.08,0.53,2.23,0.01
632,XYL,1.06,0.07,3.28,16.32,0.92,4.88,0.02
633,YEXT,1.4,-0.23,-0.02,1.75,0.72,8.85,0.07
634,YOU,,0.08,,,0.68,1.9,0.08
635,YUM,1.03,0.21,4.7,-26.55,0.81,3.2,0.01
636,YUMC,0.82,0.1,2.35,15.18,0.89,4.61,0.03
637,ZTO,0.21,0.15,1.17,57.92,0.4,4.6,
638,ZUO,2.16,-0.24,0.02,1.42,0.67,3.81,0.05
639,ACST,1.51,0,-0.35,0.17,0.01,0.89,0.02
640,AKTX,1.24,0,0,0.24,0.2,0.36,
641,BELFB,1.98,0.05,1.15,15.09,0.74,0.36,
642,CCLP,1.48,-0.22,-0.99,-0.81,0.18,2.65,0.01
643,CPIX,0.24,0.0,0.05,3.13,0.2,3.51,0.01
644,DYAI,0.06,0,-0.12,0.93,0.2,0.91,0.06
645,EBIX,2.72,0.09,3.77,20.61,0.64,26.71,0.16
646,EVOK,1.18,0,-0.31,0.24,0.13,1.32,0.02
647,FCAP,-0.01,0.31,,32.52,0.12,17.2,0.02
648,FLDM,1.58,-0.39,-0.49,1.64,0.94,4.47,0.1
649,GTH,,-0.68,,,0.24,1.76,
650,HUGE,1.1,0,,,0.03,3.75,
651,JBSS,0.13,0.07,5.26,20.13,0.97,12.76,0.05
652,JCS,0.88,-0.09,0.15,4.84,0.45,0.21,0.05
653,JOUT,0.93,0.11,8.4,42.21,0.76,2.89,0.02
654,MARK,2.98,-1.18,-0.11,-0.14,0.22,3.39,0.09
655,MMAT,,0,,,0.07,1.03,
656,NCSM,2.08,-0.07,1.4,38.46,0.78,3.93,0.01
657,NWS,1.47,0.04,,13.86,0.38,2.13,0.01
658,PBTS,0.63,-0.37,,0.69,0.0,0.34,0.0
659,POWL,1.28,0.0,1.06,24.66,0.72,5.15,0.03
660,PSEC,0.94,1.53,0.68,8.96,0.11,4.56,0.03
661,REDU,1.21,-0.05,0.65,8.77,0.13,0.19,
662,RGP,1.01,0.04,,,0.77,1.95,0.01
663,SNGX,1.3,0,-0.5,0.43,0.07,0.34,0.04
664,TLGT,1.69,-1.98,-0.39,-0.53,0.13,0.58,0.02
665,TOPS,-0.11,-0.35,-0.01,3.03,0.01,2.92,0.08
666,TRMT,,0.64,0.94,10.9,0.26,0.14,0.0
667,TYME,0.93,0,-0.2,0.59,0.09,2.48,0.02
668,UFPT,0.92,0.08,3.05,24.05,0.83,3.38,0.01
669,WTER,1.99,-0.44,-0.13,0.03,0.08,1.45,0.02
670,AADI,,,,,,,
671,AAPL,1.2,0.25,5.35,4.15,0.59,1.14,0.01
672,AAWW,1.31,0.12,10.48,82.16,1.04,7.02,0.14
673,ABCB,1.34,0.38,4.08,39.7,0.9,4.4,0.04
674,ABCL,,0.51,,,0.48,2.48,0.08
675,ABEO,1.52,0,-0.61,0.95,0.29,5.92,0.03
676,ABMD,1.3,0.17,5.23,29.37,0.93,4.27,0.02
677,ABNB,,-1.58,,,0.45,1.1,0.07
678,ABOS,,0,,,0.57,2.28,0.02
679,ACCD,,-0.44,,,0.69,5.02,0.04
680,ACET,,0,-2.7,7.43,0.67,5.57,0.05
681,ACHL,,0,,,0.47,14.45,
682,ACHV,1.28,0,-3.19,4.89,0.17,1.34,0.03
683,ACIU,0.85,0,-0.09,2.87,0.28,0.24,0.04
684,ACIW,1.13,0.07,1.28,10.14,0.99,4.2,0.02
685,ACLS,1.41,0.12,2.58,14.48,0.88,4.23,0.03
686,ACMR,0.74,0.13,2.52,7.8,0.49,3.48,0.07
687,ACOR,0.58,-0.87,-0.96,21.78,0.34,4.13,0.05
688,ACRS,0.65,0,-1.32,2.16,0.79,3,0.05
689,ACRX,0.96,0,0.09,-0.23,0.35,7.91,0.13
690,ACVA,,-0.13,,,0.9,1.33,0.05
691,ADAG,,0,,,0.17,1.1,
692,ADBE,0.96,0.39,14.03,28.98,0.85,2.95,0.01
693,ADGI,,,,,,,
694,ADI,1.21,0.26,6.96,32.99,0.71,2.22,0.02
695,ADIL,0.6,0,-0.59,0.33,0.09,1.33,0.08
696,ADMA,1.33,-1.56,-0.31,0.91,0.42,5.64,0.12
697,ADMS,2.68,-0.67,-0.28,0.13,0.78,8.11,0.06
698,ADN,,-0.87,,,0.3,12.8,0.11
699,ADPT,0.26,-1.28,-1.64,5.19,0.83,9.17,0.04
700,ADSK,1.34,0.33,6.87,5.13,0.92,1.53,0.01
701,ADTN,1.41,0.03,0.64,7.65,0.94,3.73,0.04
702,ADTX,,0,,,0.08,1.56,0.04
703,ADUS,0.77,0.05,3.93,33.65,1.05,4.92,0.03
704,ADXN,1.46,0,,,0.09,0.58,
705,AEMD,0.57,0,-0.88,0.95,0.17,0.11,0.03
706,AEP,0.31,0.15,4.98,42.01,0.75,2.61,0.01
707,AERI,0.72,-1.75,-1.42,-0.22,1.09,13.71,0.11
708,AEYE,2.18,-0.38,-0.59,2.12,0.15,3.88,0.04
709,AFCG,,0.9,,,0.55,1.1,0.01
710,AFMD,2.65,-0.89,-0.39,0.73,0.68,2.96,0.03
711,AFYA,1.32,0.18,4.11,,0.66,6.1,0.02
712,AGEN,1.4,0,-1.25,-1.04,0.5,5.02,0.09
713,AGFS,0.91,-0.25,-0.52,5.13,0.73,4.54,0.01
714,AGFY,,-0.97,,,0.2,0.69,0.04
715,AGIO,1.66,7.81,-6.41,32.9,1.08,9.59,0.12
716,AGLE,1.59,0,-1.1,2.92,0.93,5.31,0.02
717,AGNC,1.02,0.96,2.43,18.81,0.54,1.91,0.03
718,AGRX,1.02,0,-0.27,0.4,0.37,4.78,0.03
719,AGTC,2.15,0,-1.61,2.27,0.47,6.76,0.1
720,AGYS,1.47,-0.13,0.92,3.35,0.98,6.14,0.03
721,AHCO,,-0.1,,,0.65,3.91,0.05
722,AIH,,-0.17,,,0.03,1.9,
723,AIMC,2.5,0.08,3.71,30.75,1.06,3.08,0.01
724,AIRG,1.23,-0.03,0.71,4.78,0.63,3.39,0.03
725,AKAM,0.45,0.18,5.89,26.13,0.95,8.62,0.07
726,AKRO,0.51,0,-3.49,7.08,0.88,20.17,0.17
727,AKTS,1.37,0,-0.52,2.33,0.47,9.11,0.1
728,AKUS,,0,,,0.96,24.66,0.11
729,AKYA,,-0.52,,,0.45,1.55,0.01
730,ALBO,1.51,0,-5.23,7.71,0.89,5.11,0.13
731,ALCO,0.53,0.48,1.74,29.68,0.44,0.33,0.0
732,ALDX,1.75,0,-1.14,2.65,0.61,6.16,0.09
733,ALEC,1.16,0,-2.56,2.86,0.79,8.76,0.13
734,ALGM,,0.06,,,0.44,3.48,0.04
735,ALGN,1.69,0.16,12.72,42.88,0.88,4.25,0.03
736,ALGS,,0,,,0.75,14.53,0.11
737,ALGT,1.7,0.04,15.41,43.33,0.89,6.8,0.08
738,ALHC,,-0.12,,,0.79,7.76,0.03
739,ALIM,1.66,0.04,-0.33,-5.42,0.37,15.74,0.03
740,ALKT,,-0.42,,,0.41,2.63,0.01
741,ALLK,0.88,0,-5.02,11.52,1.0,13.38,0.16
742,ALLO,1.09,0,-2.57,7.56,0.63,4.48,0.09
743,ALLT,0.62,-0.09,-0.11,3.6,0.77,2.24,0.01
744,ALNA,2.16,0,-1.01,0.41,0.27,0.44,0.02
745,ALNY,1.2,-1.29,-3.73,7.89,0.96,7.28,0.05
746,ALPN,1.72,-1.9,-1.21,2.61,0.55,8.29,0.08
747,ALRM,1.11,0.12,1.92,11.05,0.97,12.12,0.09
748,ALRN,2.72,0,-0.36,0.68,0.39,2.96,0.02
749,ALT,1.29,0,-2.05,6.46,0.65,1.4,0.16
750,ALTO,3.01,0.01,,,0.6,6.08,0.21
751,ALTR,1.5,-0.01,0.57,5.09,1.0,23.73,0.13
752,ALVR,,0,,,0.42,19.73,0.22
753,ALXO,,0,,,0.88,12.4,0.13
754,AMAT,1.44,0.25,7.37,13.12,0.8,1.62,0.01
755,AMBA,1.37,-0.23,1.26,13.54,0.82,3.65,0.05
756,AMD,2.03,0.25,2.7,5.33,0.75,1.77,0.07
757,AMED,0.6,0.11,7.56,24.2,0.91,1.99,0.02
758,AMOT,1.77,0.06,1.49,10.39,0.61,3.29,0.01
759,AMPG,0.7,-0.51,,1.55,0.09,2.78,0.04
760,AMRK,-0.55,0.02,4.11,15.93,0.43,2.02,0.03
761,AMRN,2.25,0.0,0.03,1.61,0.37,9.76,
762,AMRS,1.15,-1.19,-0.13,-1.18,0.47,6.88,0.1
763,AMSC,1.07,-0.27,-0.08,4.22,0.62,5.17,0.07
764,AMST,,0,,,0.02,0.74,0.01
765,AMSWA,0.49,0.07,0.36,3.73,1.15,5.32,0.02
766,AMTI,,0,,,0.64,4.34,0.13
767,AMTX,-0.47,-0.32,-0.31,-8.09,0.63,3.35,0.14
768,AMWD,2.27,0.03,8.69,43.64,0.97,2.15,0.02
769,AMYT,,-0.4,,,0.25,16.64,
770,AMZN,1.16,0.07,72.27,205,0.6,1.63,0.01
771,ANEB,,0,,,0.14,0.71,0.0
772,ANGI,1.98,-0.02,-0.04,2.43,0.96,6.86,0.11
773,ANGN,,0,,,0.18,6.88,0.02
774,ANIX,1.54,0,-0.49,1.2,0.1,3.27,0.02
775,ANNX,,0,,,0.99,9.42,0.04
776,AOUT,,0.07,,,0.69,2.4,0.03
777,APA,4.94,0.12,2.04,-3.33,0.86,1.43,0.04
778,APDN,1.0,-2.21,-0.45,2.49,0.27,0.28,0.08
779,APEI,0.58,0.07,1.66,21.46,0.98,1.32,0.01
780,APEN,2.35,-0.54,-0.61,0.26,0.54,0.35,0.0
781,API,,-0.27,,,0.57,8.81,
782,APLS,1.48,-1.83,-6.04,0.64,0.77,6.09,0.08
783,APLT,1.16,0,-4.77,5.2,0.72,14.61,0.09
784,APP,,-0.08,,,0.01,5.17,0.04
785,APPH,,0,,,0.52,8.52,0.16
786,APPS,2.19,0.13,2.21,1.61,0.66,1.08,0.06
787,APR,,0.05,,,1.0,2,0.06
788,APTO,1.31,0,-0.54,1.23,0.6,4.6,0.03
789,APTX,1.36,0,-0.94,2.31,0.57,3.99,0.01
790,APVO,6.94,0,-5.19,2.36,0.61,1.02,0.02
791,APYX,0.75,-0.47,-0.47,1.86,0.55,9.37,0.02
792,AQMS,1.58,0,-0.03,0.55,0.22,9.53,0.11
793,AQST,3.58,-1.12,-1.28,-1.43,0.46,5.75,0.13
794,ARAV,3.08,0,-1.96,3.38,0.29,3.2,0.05
795,ARAY,1.87,-0.02,0.07,0.84,0.81,23.28,0.11
796,ARCB,1.63,0.04,5.48,33.56,0.93,4.46,0.07
797,ARCC,1.18,1.02,1.77,17.46,0.31,2.19,0.01
798,ARCE,0.87,0.02,1.14,38.22,1.07,4.55,0.04
799,ARDS,0.11,0,-0.85,-0.86,0.14,0.46,0.0
800,AREC,-9.8,0,0.19,-0.25,0.07,1.95,0.04
801,ARGX,0.76,-0.65,-15.58,28.68,0.56,6,
802,ARKO,,0.0,,,0.6,16.15,0.05
803,ARLP,1.85,0.09,0.58,8.56,0.18,2.12,0.01
804,ARNA,0.53,0,-8.19,17.91,0.94,8.11,0.06
805,ARQT,,0,,-13.38,0.89,6.54,0.11
806,ARTL,1.39,0,-0.34,0.58,0.22,3.29,0.07
807,ARTNA,0.05,0.19,2.05,18.32,0.54,7.12,0.01
808,ARVL,,0,,,0.1,4.29,0.06
809,ARVN,2.0,0,-4.2,12.61,0.87,6.59,0.06
810,ARWR,1.24,-1.17,-0.3,4.28,0.66,3.22,0.04
811,ASLN,2.4,0,-0.64,1.58,0.4,3.27,
812,ASML,0.92,0.29,17.96,32.82,0.19,1.32,
813,ASND,0.79,0,-7.52,15.6,0.99,11.14,
814,ASO,,0.08,,,0.99,6.12,0.25
815,ASPU,0.7,-0.14,0.04,2.03,0.58,5.3,0.04
816,ASRT,1.55,-0.37,0.34,2.42,0.2,3.27,0.02
817,ASTE,1.36,0.03,3.36,28.46,0.93,3.1,0.01
818,ASTR,,0,,,0.05,,
819,ASTS,,0,,,0.28,3.32,
820,ASUR,1.16,-0.12,0.2,7.61,0.74,15.25,0.03
821,ASYS,1.4,-0.02,0.82,5.87,0.71,1.48,0.01
822,ATAI,,0,,,0.19,,
823,ATCX,,-0.0,,,0.31,2.19,0.02
824,ATEC,1.8,-0.54,-0.48,1.58,0.49,6.04,0.09
825,ATER,3.21,-0.76,,,0.27,0.12,0.17
826,ATEX,0.44,0,-1.56,12.03,0.96,13.56,0.09
827,ATHA,,0,,,0.71,3.56,0.05
828,ATHE,1.12,0,,1.02,0.02,2.18,
829,ATHX,-1.72,0,-0.09,0.18,0.23,8.38,0.06
830,ATLC,1.08,0.43,,5.27,0.16,1.7,0.02
831,ATNF,,0,,,0.07,5.84,
832,ATNI,0.23,-0.03,-0.97,40.94,0.67,6.37,0.02
833,ATOM,1.51,0,-0.58,1.62,0.31,5.9,0.17
834,ATOS,2.25,0,-0.15,1.15,0.31,3.4,0.18
835,ATRA,2.26,0,-3.41,4.75,1.03,13.9,0.16
836,ATRC,1.06,-0.23,-0.91,8.58,0.99,5.32,0.02
837,ATRS,1.5,0.38,0.26,0.71,0.5,6.29,0.03
838,ATSG,0.59,-0.04,1.79,14.96,0.81,3.82,0.04
839,ATVI,0.59,0.29,4.42,19.73,0.89,1.54,0.02
840,ATXS,,,,,,,
841,ATY,2.27,0.04,,,0.11,,
842,AUPH,0.36,-2.56,-0.55,2.89,0.46,4.39,0.14
843,AUTL,1.67,0,-1.92,5.91,0.39,4.2,
844,AUTO,2.17,-0.02,-0.05,1.28,0.2,2.74,0.02
845,AUVI,,-0.95,,,0.03,0.44,0.01
846,AVAH,,-0.01,,,0.95,4.68,0.04
847,AVDL,1.3,0,-0.16,2.33,0.58,13.35,
848,AVEO,1.17,0,-0.16,2.11,0.44,3.9,0.05
849,AVGO,0.96,0.23,29.97,58.39,0.82,3.71,0.02
