,Recent headlines and conversations for MDT,Polarity
197,"MISSED EPSAND REVENUES , headed to $80s",-0.4499
198,Elon musk shilled me here,0.2336
199,MDT reached a 52 Week low at 80.24,-0.1464
200,"Absent any more negative news the minor weakness looks normal after a big volume up day. And the jury is out until Q3 is reported. I haven't seen downgrades yet. There are some macro issues out there that are probably headwinds like dollar strength, the ACA , nationalized tight EU med budgets and the competitor battery problem at St Jude. Fortunately, MDT is headed in the right direction with the MICRA pacemaker without leads. If I had to have a pacemaker I would want the MDT product. I believe the MDT device can be extracted the way it was placed or left in. Below is what the FDA press release concluded about St Jude. A specific issue that in my view is a drag on MDT for fear that it has a similar issue in the MDT portfolio.""FDA is providing information and recommendations regarding St. Jude Medical’s advisory on ICD and CRT-D batteries that may fail earlier than expected. FDA and St. Jude Medical are alerting patients, patient-caregivers, and physicians to respond immediately to Elective Replacement Indicator (ERI) alerts. Due to problems with these batteries, patients do not have the normal 3-month lead time for device replacement. Some batteries have run out within 24 hours of the patient receiving an ERI alert. St. Jude Medical has initiated a recall and correction of the affected devices.""",0.8829
201,MDT: Great stock for long term growth and appreciation.....regardless of what noise there is out there.,0.9175
202,"MDT has been weak lately - I heard on CNBC that medtech ran up into the JP Morgan conference so there was no doubt some profit taking. Omar sounded good at the conference - he said that MDT was modeling 8% EPS growth which could have prompted profit taking by traders who rode it up from about $112. Further, given the statements from Omar and the CFO during the Q2 earnings rpt. I expect closer to 10% YOY Op EPS growth Q3 & Q4 -- and strength into FY '21 -- due to the pipeline.MDT looks good. The only area that comes to mind that underperformed is Diabetes which traces back to the delay of 670G sensors which gave up MDT's lead in closed loop systems - Diabetes segment revenue was down YOY close to 6% in the US last Q but up about 16% elsewhere. I assume that is why Diabetes has new leadership. I guess Omar gave them an EPS target to be transparent. He didn't say the 8% target was conservative but it should prove to be conservative. Revenue is growing and last Q the YOY ratio of SG&A/Rev was about 34% down from 34.8% Q2 last yr. So .8/34.8 = 2.3% improvement. That's a small % improvement but it is going the right way and that has been a long time coming. So the 80 bp improvement is supposed to improve to 120 bp improvement next Q, from memory, so that would be about a 3.5% improvement YOY. If MDT shows that Q3 it should propel EPS since revenue will be growing during a period of improving margins and that is what you want to see. Some of the COV combo is still snaking its way thru the system following the big refi of the COV debt last yr.",0.9978
203,Down $1.25 as I type on apparently the NIH 20% proposed funding cut in Trump's budget.The market appears to think all health care will be hurt by this. I don't see any negative MDT specific news. Mainly good news about device approvals and gov't funding for Medicare. I'd love to see 670G Medicare funding but that should take a while.,0.8127
204,"MDT Director BUYS 2600 shares at $95.88/share August 23, 2018.Medtronic PLC (NYSE:MDT) Director Richard H. Anderson bought 2,600 shares of Medtronic stock in a transaction dated Thursday, August 23rd. The stock was acquired at an average price of $95.88 per share, with a total value of $249,288.00.",0.9546
205,"What a sad bunch of traders, if I can even call anyone here that...",-0.3373
206,MDT holding the 5% earnings pop brings long term averaging in investors to mind. I did that 1/2015 - 9/2017. If so daily volumes should stay strong along with the bid.,0.8697
207,im waiting so i can buy this cheap i know that in a few yrs mazor will add giant income along with its already great products,0.8932
208,Only way that real estate prices will go up if rents start to go up first. Trust me. I am a license real estate agent.,0.7465
209,"Seems to me MDT's share price after it reports Q4 will in large part based on the success of tamping down C-19 in the US and the rest of the world. Hopefully elective surgery will come back in full force as C-19 goes down into controllable hot spots. If revenues are back on track for May then MDT may get a Mulligan for Q4 C-19 loss. It's going to be a sizable net loss - a cash loss against the apx $11 bil of cash & equivalents MDT had at Q3. So MDT has the balance sheet to withstand Q4 as long as most expected revenue layers back on from current orders. Stryker needs to show the same revenue pick up. I'm hopeful, I'm in a SE state that is opening up in the sunny southern vanguard. Wish us luck.",0.9689
210,Definitely strong growth!,0.8356
211,MDT to buy TRXC for their robotic surgical while still cheap?,0.588
212,"Map of the US and # of cases by state. It looks better to me than the media is portraying -- not that it isn't very bad in parts of Cali, Illinois, Wash St and NYC & area but if people do act in a responsible manner we should get thru this quickly in the heartland as cases resolve...https://www.npr.org/sections/health-shots/2020/03/16/816707182/map-tracking-the-spread-of-the-coronavirus-in-the-u-s",0.8928
213,"Analyst Actions: BMO Lifts Medtronic PT to $94 vs $87, Raises 2018, 2019 Revenue Estimate 11:11 AM ET, 05/26/2017 - MT Newswires11:11 AM EDT, 05/26/2017 (MT Newswires) -- BMO, a brokerage, said it has increased its price target and 2018 and 2019 revenue estimates for Medtronic (MDT), citing better than expected sales in its fiscal Q4 of 2017 and the company's product pipeline. The securities firm said on Friday in a note it increased the 2018 revenue forecast to $31.21 billion, reflecting 4.5% organic growth, from $31.06 billion previously, and its 2019 revenue estimate to $32.77 billion, from $32.60 billion previously. BMO also increased its price target for the stock to $94 from $87 while retaining an outperform rating.BMO left its $4.98 EPS estimate for 2018 and its $5.43 EPS estimate for 2019 unchanged. The new products driving growth include the launch of Medtronic's Resolute Onyx DES, coronary stent anda broadened portfolio for Transcatheter aortic valve replacement surgery with the larger 34mm valve, BMO said. ""MDT's expanded product portfolio across Cardiac & Vascular, Minimally Invasive Therapy, Restorative Therapy, and Diabetes franchises, along with its healthy cash flow, dividend yield, and valuation, make it a compelling investment,"" BMO analyst JoanneÂ K.Â Wuensch said in the note.",0.995
214,"i bought at 74 and foolishly sold at 79, will buy tomorrow in the 80's and hold until 300 +",-0.4234
215,News on Medtronic from Marketwatch. Opinions?https://www.marketwatch.com/press-release/medtronic-evolut-tavr-system-demonstrates-excellent-outcomes-in-study-of-low-risk-patients-with-bicuspid-aortic-stenosis-2020-03-29,0.1565
216,but id love to buy mdt on a dip,0.9411
217,Cramer interviewing CEO of MDT tonight on CNBC,0.5421
218,on the march,0.0034
219,So weak,-0.4404
220,Inverted head and shoulders looks to be forming. Bullish!!,0.2703
221,This stock will has a buy rating at 71.58. Get on this train and watch it run.,0.6619
222,mazor is great,0.6249
223,"It's funny that anyone thinks the lower end of price range is good prior to earnings...think about it on this Thur., which again, is the last trading day of the week. Silly people.",0.6581
224,may go to 89,0.0447
225,"THIS COMPANY WILL BE NUMBER 1 SOON,SO MUCH IN THERE PIPE LINE.",0.1263
226,FDA letter regarding Med Devices. One of them is dominated by a particular device from MDT. Tread lightly here bulls.,0.7473
227,MDT hits new high at $122.15!This seems to happen daily.,0.3018
228,Yes: way oversold. Medical devices stocks will soar again to their all-time highs...,0.8818
229,MDT you can play both ways. Go long with 10000 shares and also short 10000. Then juggle around and make money everyday.,0.6376
230,$MDT Target Raised by SVB Leerink Market Perform USD 123 » USD 129,-0.0284
231,"From the Motley FoolMedtronic warns on resultsFinally, shares of Medtronic finished over 6% lower. The medical device giant gave a presentation at the JPMorgan healthcare conference, in which it gave guidance for earnings over the next couple of years. Despite fiscal 2019 projections that were generally in line with what those following the stock had expected, fiscal 2020 earnings guidance left something to be desired. That disheartened short-term traders, but Medtronic's solid long-term prospects should lead some to believe the stock represents good value at current prices.",0.9655
232,"Come to think of it, we could see the $94.50 bogey on analyst upgrades. There are too many holds on MDT so some should go to buy.",0.54
233,"I'm not joking. I've done it multiple times w/diff. securities and was proven correct via time line. So, say the word. We have a bit more than two hours left until the closing bell for the week and I am not working for anyone here. I am just doing my best to pass along good Karma or whatever you personally choose to call it.",0.928
234,"Have no fear, just gap filling down to $81.00",-0.675
235,That looks better.....,0.0013
236,mazor is great for alot of things,0.6744
237,Bought and sold 5000 sh. for $2330 cap gains.,-0.2652
238,It's time for Omar to GO!!!,-0.3639
239,My dad and my mom always disapprove me get involve in any political involvement and because I lose so much of their money in U.S. stock markets that they don't want me to listen or invest in any stock market involvements. They are getting old and I don't want to make them unhappy anymore. Therefore I decide not to post here on U.S. equity market movements and also any involvement in any politics any more. I just want to be a good son of my dad and mom from now on.,0.1493
240,Medtronic is up 4.96% to 105.10,0.1818
241,big run up!,0.5104
242,a mb azing this will earn 5.20 or better and is selling forless than 19 pe,0.6165
243,what,0.0337
244,"Northwestern Mutual Wealth Management Co. Purchases 5,980 Shares of Medtronic PLC (MDT)Posted by Jared Coughlin on Nov 14th, 2016 // No Comments Medtronic PLC logoNorthwestern Mutual Wealth Management Co. boosted its position in Medtronic PLC (NYSE:MDT) by 5.1% during the second quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 123,450 shares of the medical technology company’s stock after buying an additional 5,980 shares during the period. Northwestern Mutual Wealth Management Co.’s holdings in Medtronic PLC were worth $10,713,000 at the end of the most recent reporting period",0.9915
245,I like the price action here. Thanks guys and gals for helping. Time to reach to new highs. This is a good company to own.,0.8999
246,https://seekingalpha.com/news/3554033-musk-discusses-ventilators-medtronic?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-musk-discusses-ventilators-with-medtronic&utm_campaign=rta-stock-news&utm_content=link-3,0.0
247,"Medtronic target lowered to $117 at Needham8:45 AM ET, 02/04/2019 - Briefing.com. Needham lowers their MDT tgt to $117 from $120. At an investor conference in early January, MDT mgmt provided an update on business trends in F3Q19 and its tax rate expectations for FY20. At that time, MDT noted it had seen some weakness in parts of its CVG business but that it expected this to be offset by strength in its MITG and RTG businesses. MDT reiterated its FY19 organic growth guidance of 5.0-5.5% but indicated it now expects to be in the middle of this range vs. the upper-end as previously expected. Mgmt also indicated that it expected its FY20 tax rate to be 16-17%, which is 100-200 bps higher than its current underlying rate of 15%, and that this could create up to a 250 bps headwind to its FY20 EPS growth. While firm previously published a note with their thoughts on this news, they have now adjusted their model to reflect MDT's updated guidance.",0.9809
248,Analysts covering $MDT expect 15.6% EPS growth  next year:,0.3546
249,this stock should have been 120.,0.2786
250,let's go,-0.0011
251,Why would they give so called information about earnings at a conference like this?,0.8086
252,The market is closed tomorrow. Tell me which way you want this share price to move temporarily so you can jump in or out.,0.5395
253,"Also, regarding Infuse lawsuit, rarely does Appeals Court overturn a lower court's decision: Dec 28 (Reuters) - A federal appeals court on Wednesday revived a lawsuit accusing Medtronic Plc ( MDT ) of defrauding shareholders by covering up negative side effects from its Infuse bone growth product for nearly a decade.The 8th U.S. Circuit Court of Appeals in St. Paul, Minnesota said a lower court judge erred in finding that the plaintiff shareholders sued too late, by waiting more than two years after learning information that could suggest an intent to defraud.",-0.726
254,the anti pharmaceutical rhetoric is t over i don t like it but its reality,-0.206
255,Who are you and what did you to to MDT? I am not used to seeing green!!!!,0.5055
256,https://www.medtronic.com/us-en/about.html,0.0
257,Long way to $115.,0.4361
258,MDT should buy Fitbit.,0.1905
259,"So, all of you are insane?",-0.3635
260,Update: Unfortunately this is no longer a rumor. Replacement Aortic Valves provided by MDT and EW are raising the risk of death in less sick.So why is the stock up as the company ignores these German reports of death from their aortic valves ?,-0.9445
261,I like Medtronic but I think intuitive surgical is a much better and cheaper stock. Any opinions?,0.8518
262,mazor is a major threat to irsg,-0.5648
263,I'll post the trivial observation that closing at $100 is a good omen.,-0.1873
264,I like CVRS for an up and coming medical device company. Remote robotic interventions and much better doctor safety then conventional systems. .,0.9129
265,There is an article on Yahoo news about trying to catch Edwards in TAVR whith an estimate that EW has about 60% of the market and MDT about 30%. I know MDT have said it is gaining share in TAVR. The article then shifts to mitral valves and mentions Abbott's Mitral Clip which it purchased several years ago but no mention of the successful MDT pilot trial of its TMVR nor did it even mention the Apollo Trial which began late October 2017 and is an FDA approved pivotal trial ot test the safety and efficacy of it's TMVR system. It was successfully implanted in 49 of 50 patients in the Pilot Trial. Hopefully the 1200 patient trial will show the MDT TMVR as good as or better than open heart surgery...http://newsroom.medtronic.com/phoenix.zhtml?c=251324&p=irol-newsArticle&ID=2313389,0.9976
266,falling like leaves,0.2263
267,"in Switzerland, there was no elective surgery for 6 to 8 weeks. we just started operating 10 days ago...",-0.1432
268,"The $1.40 drop Monday looked like it was probably due to news about the Mazor Ceo being investigated for insider trading on the news that MDT was going to make it's initial equity investment. It could also have been due in part to the news that the tax bill looked like it would be passed which would make US Corp tax rates 20% compared to 12% for Ireland. The Mazor Ceo's situation is vague but out there. It's at least a distraction and a general negative but could be minor on the impact to the MazorX system. As to the US tax rate going to 20% -- it will help MDT plc because the US subsidiary generates about 55% of revenue. Products like TVAR and mitral valve systems in pivotal trial, 670G and other promising new tech will continue to drive revenue in the US and MDT pays the same taxes as domestic corporations in the US. I believe MDT recently reported about a 17% tax rate which would include US taxes incurred. I did see that US medtech firms pay around 26% effective rate under the max 35% current scheme so medtech may go to the 20% level. So MDT would see a modest reduction. I believe during the last conference call the CFO projected 15% ahead but I don't know if that included a US rate reduction. MDT will still have a tax rate well below 20%. The first year 100% write off of depreciable assets with a 20 yr life or less for 5 years will probably make the investment commitments MDT make to Al Franken to get his support for the Covidien deal done will produce better US cash flow statements. And the 100% first yr drpr may prompt more of it.",0.9908
269,intuitive surgical is already starting to make noise acknowledging Medtronics mazor system,0.0634
270,What's going on why dipping?,0.0685
271,rise and shine,0.2589
272,"Imo this will be $135.00 by sept 2019, i am a long ,",0.4331
273,What is the expected reaction in the stock price when the divestiture of the supplies business to Cardinal is completed?,-0.0849
274,So what's up with MDT investing in Titan medical? Anyone think they will buy Titan? They have put millions in already.,0.7494
275,Nice earnings,0.4802
276,https://seekingalpha.com/news/3562959-medtronic-to-experience-significant-hit-to-fq4-results-due-to-covidminus-19?app=1&ifp=0&utm_medium=email&utm_source=seeking_alpha&mail_subject=pre-market-summary-on-your-portfolio-portfolio&utm_campaign=nl-portfolio&utm_content=link-6,0.0
277,this is a buy but wait u may get it cheaper,0.538
278,https://seekingalpha.com/news/3582283-new-medtronic-insulin-pump-ce-markd?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-new-medtronic-insulin-pump-ce-mark-d&utm_campaign=rta-stock-news&utm_content=link-3,0.0
279,its weak i probably will add some,-0.1738
280,This company is a ship of fools,-0.2417
281,What is going on- in MDT,0.0214
282,"The artificial Pancreas by MDT is a game changer:MiniMed 670G is manufactured by the medical devices company Medtronic. It consists of a glucose monitor and an insulin pump, connected to a catheter inserted under the skin. The pump is governed by a computer algorithm that, based on glucose levels and how carbohydrates a person eats at various times of the day (which has to be entered manually), figures out how much insulin is needed to keep the the glucose level under control.“People who have participated in artificial pancreas clinical trials have not only attained better overall [blood sugar] control, but have experienced the relief of sleeping through the night and waking up in the morning with blood glucose levels within target range,” Aaron Kowalski, chief mission officer for JDRF (formerly the Juvenile Diabetes Research Foundation), told CBS News. A number of such devices are currently under clinical trials and could be available within the next few years.",0.9677
283,Ventilators need I say more,0.0175
284,what is going on here...,0.061
285,Is the new heart implant procedure big news or baked into the price already ?,0.5527
286,"TMDI up 586% YOY at current SP.... Market has gotten smoked which has caused a pullback in this over the past 3 months, but nothing has changed as #TMDI is in the best position since its inception... Licensing and development $40M deal with the LARGEST med device company in the world in #MDT... Flooded with cash... 160+ patents... Single port robot that fits perfectly as organic growth opportunity for MDT Pelvic division... 2 out of 4 milestones completed with 3rd in the imminent future hopefully this month... New site visit education center in research triangle Chapel Hill, NC... MDT corporate sitting on our board... Mazor was purchased after same development agreement was done with MDT.... Next leg up will be biggest breakout yet, and once we get to the $4 threshold, big money will come in... I am extremely bullish on TMDI in 2021... GLTA fellow longs!",0.9972
287,"Medical device major Medtronic plc MDT recently received FDA approval for its set of cardiac rhythm and heart failure devices that offer modern diagnostic imaging services.According to the company, patients with Medtronic’s SureScanMR-conditional pacemakers, implantable cardioverter-defibrillators (ICDs) and cardiac resynchronization therapy-defibrillators (CRT-Ds) would now have access to 3 and 1.5 Tesla (T) magnetic resonance imaging (MRI) scans for any part of the body.We take a note that, MRI is an important imaging technology to detect conditions such as stroke, cancer, Alzheimer`s disease, muscle, bone and joint pain. 3T MRI enables better image quality, better diagnosisand reduced scan durationcompared to 1.5T scans. Around 12–16% of patients with cardiac implanted devices have a condition in which MRI is prescribed every year. However, patients with devices were barred from undergoing MRI scans to avoid a potential interaction between the MRI and the device function.",0.9642
288,Respirators is the key. Going back up. 90 soon,0.1557
289,More orders from China,0.3233
290,Fran can you get us a deal with $MDT or $RHHBY for $2B plz? That’d be great..,0.3316
291,Just got an e-mail from e-certs telling me they are going to with hold 28% of my dividend if I don't have a W-9 on file with my broker. I don't have a broker. Now what?,0.6614
292,I can’t believe this is down this much,-0.1383
293,ROBOTIC SURGERY IS THE BEST PLACE TO PARK MONEY.  TRXC IS A QUADRUPLE PLAY and Others will just steadily increase,0.9523
294,"Med tech has been hit hard. As to MDT, I'm not sure what kind of tariffs would be placed on MDT plc. China is very important to MDT. It's not clear to me why China would put a levy on MDT product even if it's made in the USA. MDT should be better off during US trade tensions and tariffs either way. Although I do not know the extent to which MDT might be exporting product from China to the US.",0.9375
295,Not much time until the last hour of trading for the week.,0.1485
296,"Both Omar & Karen the CFO said they were looking for offsets to new US tax regs that will probably cost MDT about 2% this coming FY 2020 starting 5/1/19. An obvious offset was the refi and higher coupon paydown. This will create higher interest expense in Q4 for the premiums paid to call the debt but lower period interest expense starting Q1 of FY 2020. I have noticed a big pick up of after hours volumes in the stock. MDT has been trading heavily -- usually 500k shares or more -- usually 10%+ of daily volume. It does look like MDT is aggressively buying back its shares pursuant to the recent $6 B earmarked for buybacks. I looked at results for the last buyback authorization of $5 B -- there was a balance of $1.7 B after about 19 months so $3.3 B spent over 19 months or about $175 M per month. We won't find out until earnings are reported in May. Reducing the share count will be effective against increased tax expense but to be most effective share count needs to be reduced at the beginning of a period since the share count used to compute EPS is the weighted average of shares outstanding for the period.Using a $90 share price bogey, when MDT was spending $175 M per month they were buying about 1,944,000 per month. I would not be surprised to see the buyback numbers double during the current Q4.",0.9961
297,Watch what happens gentlemen.,0.2021
298,"Now we know why the head of Diabetes left MDT late last yr. This is going to be expensive...""Medtronic has recalled certain MiniMed 600 Series insulin pumps for delivering incorrect insulin dosing due to a missing or broken retainer ring, which helps lock the insulin cartridge in place in the pump's reservoir compartment, the FDA announcement said. The recall includes about 322,000 devices.""",-0.3779
299,"Dexcom reported very good earnings this am -- revenue up 43% yoy. They have great sensor tech and partners who incorporate their sensors with systems to compete with the 670G. The successor pump should have better sensors and MDT is creating an environment, as if taking a page from Apple's playbook. Although this environment will be open-ended. MDT just lost the head of Diabetes, hope the handoff goes smoothly and the 670G+ rolls out on time.https://www.globenewswire.com/news-release/2019/06/08/1866069/0/en/Medtronic-and-Tidepool-Work-Together-on-Interoperable-Automated-Insulin-Pump-System-for-Diabetes-Management.html",0.9697
300,Well we’ll look at today’s news ,0.3021
301,Thank goodness this is up again today!!,0.8091
302,forget support ~~ i jumped in @82.58.....based on cheap and their advancement in research that will take them closer to a cure for Parkinson's.......their most recent acquisiton will help them get there!!,0.9117
303,"Wait for earning, soon,hoping for another day like this",0.5381
304,Why is dxcm up to $95 when they have just a few products compared to Medtronic ? Dxcm is way overpriced it should be back into the $70,0.4804
305,MDT is up 5.54% to 84.80,0.1818
306,"thomasthomas46 seconds agoI filed an amended tax return for 2015 because I made a mistake in the choice I made on the Certificate of Treatment of Merger Consideration, I chose Dividend. This was a mistake as I was unable to deduct my cost basis. The IRS told me to get a corrected 1099 and they would allow me to deduct my cost basis and cut me a check. I called investor relations and they washed there hands of it and told me to call Wells Fargo. I called Wells Fargo to get a corrected 1099 and was told they could not do that but they never gave me a valid reason why they just said they could not do it. Has anyone else had this issue and were you able to resolve it? I am out over $13,000 just in federal taxes let alone state taxes",0.844
307,i love the mazor purchase,0.73
308,It's 1/15/21 and I haven't received my quarterly dividend...anyone else having the same issue?,0.007
309,"If there are no people viewing the convo section, there is nobody to reply up or down. I have a ton of leverage to move it one way or the other...but only temporarily. Post up and let me know asap as it is getting later in the trading day. I will let u know that I made the move right after I acknowledge your request",0.8307
310,Any ideas on when and if MDT will split?,0.1928
311,Move some from MDT to TNDM,0.2366
312,It makes a lot of sense that MDT wants to buy MZOR. Usually a company purchasing another company tries to drive the price of the stock down before bidding,0.7059
313,Can't find any news about MDT this morning. I figured the weakness this morning of down almost 2% on a 160 pt DOW gain would be due to a PR of something negative or a downgrade. Don't see any news.,-0.4611
314,"mgmt. just not doing enough to sell products in this period of The Virus, a switch to new blood needed, stockshould be $150, not below $100",0.5858
315,"I read that ""inversion"" companies dividends will be taxed at ordinary income rates - if so- thats justice for moving the company overseas for purely tax purposes",0.7595
316,dont be scared chicken little..the sky isnt falling..the ground is raising.,0.398
317,"Average price target $117. What, is there too much good news? Is that it?",0.7126
318,"Found this - does not seem bad Annual J.P. Morgan Healthcare Conference at 12:00 ET (85.81 -2.52) Presentation slide highlights: Confirms FY19 guidance for organic revenue growth of 5-5.5% and adj-EPS of $5.10-5.15 vs $5.13 S&P Capital IQ Consensus Estimate Confirms Q3 organic revenue growth of 4-4.5% Continues to see Forex impacting FY19 revenues by $420-520 mln, neutral to EPS Annual underlying operating margin expansion of 40-50 bps Targeting 80% FCF conversion ratio over next 2 -- 3 years Commenting on 2H19, mentions that due to a 'strong' end to FY18, its best for investors to look at a 2-year stacked growth rate to avoid tough comparisons.. says well within guidance range for 2H19",0.9322
319,Huge news!Medtronic Says Data Show Renal Denervation Lowered Blood Pressure in Patients with Hypertension12:27 PM ET 6/25/20 | Dow Jones,-0.1791
320,"As I think about the value of my investments considering a hike of corporate taxes, the 2015 inversion comes to mind. About 53% of MDT revenue comes from the US. The bulk of employee comp and R&D is in the US. I haven't seen a breakdown of MDT's taxable income in the 160 or so countries it sells to. The inversion is looking good in the rear view mirror as a new tax plan seems high on the new priority list in DC.",0.8606
321,Beach Investment Counsel Inc. PA Boosts Stake in Medtronic PLC ...www.mideasttime.com/beach-investment-counsel-inc-pa...in...mdt/1397590.html59 mins ago - The fund owned 282436 shares of the medical technology company's stock after ... Beach Investment Counsel Inc. PA Boosts Stake in Medtronic,0.9728
322,"1/15/19 ""Medtronic (NYSE:MDT) upgraded to Buy with a $100 (18% upside) price target at BTIG Research. Shares up 1% premarket.""",0.6737
323,got a steal on mazor,-0.4756
324,"Jeez, what is the issue here? This stock should be trading much higher.",0.4648
325,wow.... somebody big hates this stockwhat is it...?????,-0.5301
326,"MDT after the FDA stent review today will start upward quickly after eps, $130-$140 before end of year",0.6419
327,"FWIW Medtronic, Getinge, Hamilton, and GE are all primary suppliers of critical care ventilators in the United States.",0.7373
328,Any truth to the rumor that MDT might be acquiring VRAY? They do have a 10% equity stake and just appointed a former MDT exec to the board....long MDT here.,0.7115
329,"MDT BEATS ON ALL EARNING REPORTS,GREAT NEWS.",0.1036
330,this stock just doesn't want to wake up,0.2689
331,This stock is about to break out ,0.154
332,Good dividend stock. But where’s the growth. Got out with +10%. Going Intuitive surgical (ISRG),0.8034
333,Target price of over $94 per share by 24 analysts:Shares of MDT have been given average recommendation of “Overweight” rating keeping in view the consensus of “24” Analysts. The mean price target for the stock is listed at $94.15. Mean EPS estimate for the Current Quarter is placed at $1.12 and mean EPS forecast for the Current Year is set at $4.66. The company reported Earnings of $1.03 in last Quarter’s while the company declared Earnings of $4.37 in past year. EPS Estimate for Next Fiscal Year is stands at $5.18. Median PE on CY Estimate is noted at 17.76,0.7803
334,https://event.webcasts.com/viewer/event.jsp?ei=1204274&tp_key=6e067abd4d,0.0
335,"Up $1 on low volume. I haven't seen any good news so I guess it's a dearth of sellers. MDT may be attracting some money from pharma given the recent negatives about pushing painkillers. The Puerto Rico problem will be absorbed financially by a $250 mil reserve that should be considered a one time event. It will reduce GAAP net Income and increase the standard published P/E based on GAAP Net Income. The one time event will probably have little and probably no effect on analysts earnings estimates because those are based on Operating EPS instead of GAAP EPS. So the PR selloff should fade. My last two buys were at about $81 and $80, I'm all in looking forward to FYE 19 starting 5/1/18 for several great new products should start to generate revenue: cardiac, 670G and surgical robots. Revenue is going to be shaved a little over $2b from the sale to Cardinal Health but the remaining annual revenue growth rate and overall margins are going to improve. Operating EPS should be on a 10% growth track. So hopefully MDT can slog thru Q3 with a decent outlook for Q4.",0.9813
336,MDT is up 4.90% to 85.06,0.1818
337,Is there a valid reason this med companys stock is getting hammered much worst than other companies?,-0.3789
338,Want alerts on momentum stocks before the run happens? I have the solution…Google “LionStockAlerts” and thank me later.,0.6044
339,Do you all now see MDT?,0.1091
340,"Mazor Robotics (NASDAQ:MZOR) slumps 14% premarket on modestly higher volume in response to an investigation by the Israeli Securities Authority (ISA) into possible insider trading by CEO Ori Hadomi.Specifically, the ISA is probing into an alleged leak of information to close associates about its distribution deal with Medtronic. Authorities searched Mr. Hadomi's home and confiscated his cell phone in May.",0.1597
341,stock has been weak,-0.2848
342,MDT hits a new high at $111.24!,0.3738
343,"The nice price action Tuesday could be two things:MDT +1.1% (upgraded to Buy from Neutral at BofA/Merrill ).Medtronic O-Arm O2 Imaging System Receives FDA 510(k) ClearanceMT Newswires - 6:42 AM ET06:42 AM EST, 01/02/2018 (MT Newswires) -- Medtronic (MDT) has received 510(k) clearance from the U.S. Food and Drug Administration for its O-Arm O2 Imaging System, according to the agency's website. The O-arm O2 Imaging System is a mobile x-ray sys...",0.92
344,Trump need to talk to MDT... not those fools at GM!,-0.3489
345,"There are a handful of analysts covering the stock. Of them, 8 have a “buy”, 0 suggested “sell”, 6 said “hold” and 0 called “underperform” rating for the stock, according to Thomson Reuters data. 11 recommends the stock is “outperforming”. The company has an Average Rating of 1.92 based on analysts tracked by Thomson Reuters.",0.7927
346,If it’s not up into closing then Earning is negative and miss estimate !!,-0.6844
347,Waiting for the tail of the storm to pass -- still high volume weakness. When the momentum players are out the stock should stabilize.,0.4891
348,Senseonics reports earnings and provides strong guidance$SENS $MDT $DXCM $ABT,0.5742
349,Both MDT and GILD are goldmines,0.0715
