,Recent headlines and conversations for SBUX,Polarity
1375,"Earnings per share: 61 cents, adjusted, vs. 55 cents expected Revenue: $6.75 billion vs. $6.93 billion expected",0.352
1376,No doubt in my mind Starbucks will hit $200. I don’t care what anybody says.,-0.0641
1377,C’mon $100 then it’s time to sell and buy back at the dip,0.4344
1378,"Does anyone know how many stores are still open thru the drive thru? Bought a few shares today after seeing the increased massive traffic jams 3 times a day, day after day. It seems people are still going there but now everyone is in the drive thru. If my local store is any indication of thw whole, then today's price will end up being a bargain. Bought some Lowes too, parking lot is always packed!",0.9392
1379,Get ready to pay for those transgender surgeries stock holders https://news.starbucks.com/news/they-are-lifesaving-starbucks-offers-expanded-benefits-for-trans-people,0.5098
1380,"USA banned Huawei, a Chinese company from doing business in USA.China can and will do the same to Starbucks in China.",0.0297
1381,OKAY TO SAY MERRY CHRISTMAS OR MUST WE SAY IT FROM UNDER THE BED IN WHISPER????????????,0.7541
1382,It is too high now.,0.3058
1383,"Split, Split, Split...1 to 3 split, with the extra capital when it's priced at $90/share late next year, open up 20,000 more stores!!!",0.5235
1384,Why is Starbucks up so much,0.2341
1385,Existing partnership since 2002 now being expanded. Explains why this is one of the few green stocks in the US today. Starbucks coffee will be offered in new countries through EMEA stores. Starbucks to license out certain EMEA stores to Mexico's Alsea https://uk.finance.yahoo.com/news/-license-certain-emea-stores-mexicos-alsea-130310493--sector.html,0.8374
1386,DNKN gain % today is 3X that of SBUX,0.5689
1387,The most sheep on one board award,0.6769
1388,The coffee is an amazing product everyone in the world enjoys it SBUX is going to march up into the $90’s by year 2020,0.8472
1389,All I can say is get in while it’s hot,0.2482
1390,What else are they selling besides sugar water?,-0.0378
1391,Why does it always take 10 minutes to get a cup of coffee when there are 3 customers and 6 or 7 Starbucks employees?,0.5588
1392,"To The CEO of Starbucks, I would like to recommend a stock price split for Starbucks. I think a $25 or $30 some dollar price tag seems a lot more attractive to a buyer than a $60 one. How bout it, to spur some buying action for this stock? :) Sincerely,Angela Brightwell, shareholder (would love to have double the shares, see)",0.9791
1393,"TGT sales strong growth, people go out more, that is good news for SBUX,",0.8932
1394,All your short will be,-0.551
1395,They cooked the books!!!,0.2454
1396,Happy day.;-) glad I got some profits,0.8756
1397,Never listen to the Najerian brothers; one week ago at 58 said buy Starbucks; all they do is watch the options trends; they don’t know anything about company fundamentals; I agree it is time for this ceo to exit; we are tired of excuses and mismanagement; all the ceo does is sell his shares high and blames everybody else,0.7113
1398,Best thing at SBUX: Get a free Frappucinno (LARGE ~ Low Sugar) on your birthday! Who else does that?,0.8579
1399,"they are building store every 15 hours in china, and the growth is 10 percent . thats huge.",0.8532
1400,The worst coffee ever. starshits is losing to Dunkin donuts.The coffee machine at shop-rite has better coffee then starshits.And the stock price proves it. ha hahahahah hahah hahahaha.,0.2987
1401,Q2 sell off of the market will be worst than the current one. No one is listening or really cares that earnings will be horrible. Good luck in 2020.,0.1103
1402,Make Starbucks great again.,0.6554
1403,MNK MAKER OF OXYCODONE 30MG BLUES ONLY HOPE TO FIX SHORTAGES PRICE GUAGING,0.5053
1404,Dunkin by me was loaded with soccer players. I heard them say starshits is a rip off. One player said they are closing a starshits by them. Dunkin the future coffee in america. Sorry fonz u loose again dummy.,0.1895
1405,I go to Starbucks to get free ice water.,0.4755
1406,Have the published a list of closing stores? I'm curious if they're 'skid row' stores.,0.4054
1407,Stop buy Starbucks coffee from now ...,-0.0488
1408,$SBUX don't make anything proprietary. Most restaurants everywhere serve coffee and food and they also have tables and chairs WIFI and restrooms.,0.2341
1409,"how good is SBUX coffee???I finished 1 cup 10oz usually takes 5 to 10 minutes, DNKN and others. I finished it usually takes 10 to 30 minutes, sometimes I can't finish it, coke soda 12oz, I finished it usually takes 10 to 30 minutes, sometimes I can't finish it,,",0.7783
1410,starting to build a nice base here at large volume ..we should see 88$ soon,0.7541
1411,Why not take it further....a Safe Zone for illegals?,0.4504
1412,Earnings a lot better than their coffee,0.5584
1413,"They will lose a lot of stores. If the economy goes into deep recession, they will lose many stores as no one will have money to pay for overpriced bitter coffee.",-0.9249
1414,"And to think I’ve been waiting for a real pullback for a long time.... every time I pass near a Starbucks I tell my girlfriend, this is my biggest regret for not investing.",0.6394
1415,what happened at the end of the day today that looks strange,-0.1311
1416,"Taking on huge debt and spending it on propping up share price:::Starbucks Corporation (SBUX) announced today the closing of an underwritten public offering of $500 million of 2.200% senior notes due 2020 and $500 million of 3.750% senior notes due 2047.The company plans to use the net proceeds for general corporate purposes, including repurchases of Starbucks common stock under the company’s ongoing share repurchase program and payment of dividends.",0.901
1417,$99.12 here we come...,-0.0171
1418,"Howard Schultz is the best salesman. every time $SBUX going down, he pumps it up, very skilfully lol What will Starbuck do without him?",0.8777
1419,"It's a Kenneth the Menneth Meltdown...... Multiple posts and multiple usernames this morning, referring to himself as ""we"", idle threats.......Yup, that's when you know that you've got Goat Boy's goat.You can have the board today, Kenneth. Don't forget to erase the stuff (all of it, really) that made you pout.Illiterate DumDum.....................",0.5699
1420,Why does anybody waste their time reading the personal opinions of these nobodies?,-0.3733
1421,"Yep, homeless can now hang at Starbucks and use the loo. This will end well.",0.5896
1422,Canopy GROWTH CGC,0.516
1423,"Starbucks leaders in how to care for employees ,customers , America ,the world. Stay long.",0.7058
1424,"SBUX coffee fresh will leading forever, because SBUX have enough customers, SO SBUX can make fresh coffee, others don't have enough customers to make fresh coffee and they don't have enough money to make fresh coffee too, SO SBUX can eat out coffee market,",0.9132
1425,"too close to 100 to short when a stock gets within 10 of 100 you canbet they will hit 100 , then it will be time to short maybe 102 or 103",-0.6528
1426,"SBUX build bottom successful, the next move up 15percent to match analysts target price $64.85.",0.6634
1427,they're closing 200.000 stores in china - good opportunity to buy,0.7299
1428,"Only China can save Starcucks, the homeless shelter with $6 coffees,",0.7112
1429,"ADVM Adverum, 4 biotech ipo's on for what Is going to be a strong biotech sector showing regardless of a green or red market.A partner of editas that could soon be launched by the same hedge fund likely candidates.",0.8092
1430,Too cheap to buy a $4 crappaichio?,0.475
1431,"I don't get this company. $5 coffee, 20% unemployment, they seem to mix well ?",-0.0874
1432,"Wow $SBUX is really overbuilt. 3 stores in 4 blocks here, Never go to any of them. Make my coffee at home, Costco beans.",0.5325
1433,Starbucks reached an all time high at 103.97,0.3228
1434,Next stop $40.,-0.3031
1435,Isn't that a toxic swamp behind your Troy Drive geezer pad Dums? Did you get a permit from the EPA before you drained it? I bet you used a syphoning hose to drain it. Rest Stop Johnny Punish says that you're pretty good at creating a vacuum with your mouth.,0.9635
1436,"$47 is the 52 week lowsee my post below............................here it is, I copied it3.8% return pretty goodprobably not sustainabledividend 2.24%10 year 3.17%2.24 /3.17 (and going up) * $65 = $46 per share value based on the dividend3.8/5 * 65 = $49.40 value based on earnings relative to a more normal earnings of 5%think recession, money gets tight, sbux not so hot of a long term trade",0.943
1437,"I'm definitely not a fan of the tax plan that was just signed in to law, but the new corporate tax rate of 21% should be of some benefit to SBUX where their tax rate is typically in the low 30 range. That 10% should help earnings, free cash flow, benefiting their already solid balance sheet and likely driving further increases to the dividend. Lots of growth ahead and a lot still to like here. Challenges ahead? Absolutely, but that's to be expected with a company this size. I'm fine being here because for the most part, SBUX does things right. Best of luck SBUX longs...",0.988
1438,DNKN rules.,0.0
1439,"Another decent day for the bears. Crushed the 15 DMA on the second try. The 50 DMA is at $70.75, still quite a way off. If it cracks that look out below, this short will be making money. Tempering the bears was the second day of low volume. To get me excited I would like to see higher than average volume, not lower. For the bulls you are still above Wednesdays close and well above last Monday's, so nothing really to panic about. Most important is the general market backround. The SPX is just two points above the 15 DMA. This line held on 5/6, 5/4, 5/1, 4/21, 4/3, 4/2. The last day it closed below was 4/1 and that was only one day. Since 3/26 the SPX has been above the 15 DMA for all but one day. I believe we are at a near term pivot point. A close below, especially two days on volume and the bears will feed.",0.5132
1440,"The 300 store closures were announced 6 months ago btw. Funny that the news drops stock again. Oh well, just a buy op.",0.7324
1441,"If you can't sit there, a lot of people won't go. $5 coffee is not the same #$%$ coffee and enjoying the place with friends.",0.7447
1442,tomorrow last day of the week to pick this up ...ex dividin date ..should be a good bounce back,0.6965
1443,people bring their own food and camp out and work,0.1838
1444,lol,0.4215
1445,Could be that we’re waiting for a new monthly candle to make the chart look nicer. Expected tomorrow to continue the uptrend unless we see a heavy drop today.,0.3443
1446,Last split in 2015 what do you think are chances this could happen latter this year ??,0.472
1447,"When you see a company like (SBUX ) trading at over 75 X last year earning we all know that the market is the biggest joke in town, clowns, bobbleheads, and jungle bunnies of wall street have to be a little bit more creative, but than again greed doesn't leave you much room, Booyah.",0.699
1448,"Like Beyond Meat is in starbucks, look at plant based BABYF as well.",0.4732
1449,"should settle low 40s, about fair value there",0.673
1450,"Last year two black guys were hanging out in a Starbucks not drinking coffee or purchasing anything to eat. Although not bothering anyone, common sense tells one they probably should purchase something....police are called and the two are arrested without incident. Protests erupt, Starbucks apologizes and closes all stores for a half day to provide ""sensitivity"" training to all employees. However, when police are refused service, Starbucks will attempt to discipline the rogue employee and move in like it's nothing. Anything wrong here Starbucks?",-0.5194
1451,No one will want to eat at a starbucks wearing a face mask.,-0.3746
1452,bought in maybe 2 years ago at 55.91$ lol see where my head was?,0.4189
1453,CEO needs to be run off ! people that use the restroom don't buy any thing need to level and be a shamed of them self,-0.1101
1454,"https://www.reuters.com/article/us-starbucks-arizona-police/starbucks-apologizes-to-police-after-six-officers-were-asked-to-leave-arizona-store-idUSKCN1U20I9?feedType=RSS&feedName=businessNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FbusinessNews+%28Business+News%29""The officers had visited the store on July 4 and had paid for the drinks, before one company employee approached them about a customer not feeling safe because of the police presence...""Starbucks hires people that ask police to leave because a patron didn't feel safe with the police present???? That ""patron"" was either a felon or an illegal, or BOTH.",0.7275
1455,"I used to be a shareholder but will likely never own the stock again. Visited the store in ocean beach California and concluded that Starbucks stores are quickly turning into homeless shelters. I was there for one hour and at least half the people walkin* through the door looked disheveled and purchased nothing. Either just sat down or went to the restroom. Even the workers were giving wary eyes to these people. Can’t even image using the restroom. However, after a venti I had to go and what did I encounter. A dirty homeless man waiting in line. It is truly disgusting. I feared Touching anything in the store fearing disease. What the hell is the executive leadership in thinking? They want Starbucks to be a welcoming place? Well this paying customer will be welcomed at other non Starbucks coffee shops. Truly disgusted.",0.2492
1456,"SBUX now trading higher than DNKN. Natural order of the universe has been restored.This of course does not even take stock splits into consideration. SBUX has been by far, a better investment. However, if you want to take stock advice from a sailor suited sissy boy and his geriatric, oversized motorcycle jacket wearing, Liberace lisping little buddy, then by all means go ahead. The road to financial ruin is littered with their advice.",0.9254
1457,Is this thing going to hit a new 52 week high everyday? Omg...,0.3568
1458,"Pick yourself up and get back in the game Kenny Boy. You're not gonna let those pervs keep you down forever are you? No ma'am you are not. Time to wolf down a bowl of potridge, grab the red hot fire poker and go show them who's boss!",0.3563
1459,Even though I absolutely hate their balance sheet I am holding for now. Last weekend both local Starbucks had lines for the drive through that overflowed out into the road.,0.2737
1460,agree,0.3612
1461,There IS NO bottom.,-0.5213
1462,Feel sorry for people that short this stock wonder how they feel losing money when this market has been doing so well must be tough.,-0.452
1463,Speaking of tangled webs and deception. The little Big Rimster sure wove himself a good one didn't he Kenneth? Yes Siree Bob as you like to say. Those bold claims of doing my wife at my house really came back to bite him in his boat slip didn't it? Oh you bet it did. Just proved that he was either A. a coward or B. a liar or C. Both. I'd say C.,-0.8533
1464,still got another 5-10% rally tomorrow.,0.0063
1465,Stock should be down 4-5% on this poor earnings that doesn’t justify stock price,-0.3777
1466,If some more of these derivative time bombs were to explode and bring downthe whole market how fast would SBUX fall ?,-0.2158
1467,"while you accumulate your Starbucks shares, please also consider buying Merck shares. they are developing the oncology products that will cure the diseases that will arise as a result of caffeine consumption.",0.9243
1468,THIS WILL GO BACK DOWN TO 58 TO 61 . IM not buying the hype.,-0.6501
1469,No ne will miss orporate middle management personnel.,-0.405
1470,WOW THIS STOCK IS ON SALE RN,0.7406
1471,going to short this down to 30 a share,-0.4347
1472,So it is OK to wear BLM shirt but not MAGA hat? Starbucks is out of their minds and this is completely out of hand. The African America community has been sold out by the liberal democrats.....how can they even look in the mirror .....everyday there are so many people killed and wounded in Chicago EVERY DAY and nobody cares!So if BLM what is anybody doing about that? The Democratic mayor could care less....explain that,0.8678
1473,"Closing up all the tea shops they bought, ouch!",-0.5688
1474,I don't understand market too much stealing money from people,-0.5605
1475,Nice!,0.4753
1476,"$SBUX has direct competition in so many ways. The experience is not the only place. I don't think they can expand their business to get them out of this funk. You're going to have to look at the fundamentals and see if the charts are going to support you entry point on this stock. This business now us up against some serious competition. A Starbucks store on a location here then and less that two hundred feet another Starbucks in Kroger's. and one nearly every 1 mile part? They also put themselves in the political cross hairs too. When I'm on the road and in search for a good cup of coffee, I no longer look to Starbucks like I have in the past. McDonald $MDC has some good coffee now. Faster service and on the road. Who wants to line up in those long lines of 10-20 cars for a cup of Starbucks. They use skeleton crews to operate their stores, so you wait inside too and you waste 20-30 minute for a cup of coffee. Starbuck no longer has that appeal. This is my opinion but the it resonates with lots of other people too. $SBUX has some negative sentiment.... to overcome.",0.8277
1477,Everyone knows they would feel a bit strange if 6 armed police officers were standing near you in a store. It's just human nature. But you can't express that feeling because it's politically incorrect.,-0.2697
1478,Did Schultz resign because it was revealed he did a fund raiser for Hillary and is now embarrassed about it?,-0.4324
1479,"Everyone flashing a badge at Dunkins gets free donuts, unless it’s an ICE badge.",0.4506
1480,SOME MEN WATCH BIRDS AND SOME LIKE TO WATCH THIR WIVES IN ACTION,0.6906
1481,"The Starbucks across the street used to have lines at it, now the employees about number the patrons there and a number of vagrants. Rewards program has been chinchy and prices high enough that people are going else where",0.7898
1482,"How can they say that China will affect the company’s profits, yet leave guidance unchanged?? That’s a red flag.",0.5355
1483,"I was buying at 50, sorry not going to buy at 98",0.348
1484,"""Back up the truck and buy Starbucks"".. This is what Johnson proclaimed recently in an interview with Cramer, so imho this signals a bottom. With over 4b in dividends and buybacks, holiday sales, etc.... SB will move northward to $100.",0.81
1485,$DNKN up and $SBUX down on Howard Schultz getting named to Putin advisory board.,0.561
1486,Idk if rally chasers will make it out alive on this one... lol,0.6511
1487,"Well I have to admit it is crazy seeing people going in there and it takes like 10 minutes to get one of those expensive, high-calorie coffee drinks. Bunch of addicts giving Starbucks a ton of money.",0.8259
1488,Trading higher now that investors are realizing that Schulz leaving is the best thing that could happen to Starbucks.,0.747
1489,Reaches 53...I'm out.,0.1979
1490,Company being seen as too liberal right now. Traffic at stores around here gone.,0.109
1491,Hard to leave a coffee company when your last name is “Brewer”,0.061
1492,You're all being fooled. 80% of businesses were open through late March. This quarter ended in mid march,-0.6319
1493,"I love this price action, America has spoken",0.6825
1494,I'm newly to market l plan to buy Starbucks to day,0.347
1495,Team Oat Milk,0.3834
1496,Folders at home or Costco bulk options much better than #BoycottStarbucks burned coffee and save big $$,0.8079
1497,the decline is not over yet.,-0.3301
1498,I will not go to Starbucks with reusable cups that customers return as I do not want to drink out of a cup that many others have used no matter what their cleaning process is as mistakes always happen no matter how unlikely. One mistake for me is too much if I’m the one with the dirty cup. And I refuse to pay extra 6 cents for a hygienic throw away cup that gets recycled (thus not a big environmental issue). This seems like a dumb idea that will hurt sales. I’ll buy coffee elsewhere.,-0.7202
1499,will Starbucks be considered a restaurant and maybe get money from next stimulus? i don't think they need it but wondering if next stimulus being finalized will raise stock price,0.467
1500,"Always down, ha ha ha ha ha",0.8515
1501,All of the Starbucks in central Arkansas were “Temporarily closed”,-0.3083
1502,This stock has become un-investable and will go down quickly from its lofty level.,0.0095
1503,"Hmmmm going below $50 , the froth of SBUX is disappearing fastSELLLLLLLL",-0.5226
1504,"Check out $SHAK earnings per share estimates for 2021 on the yahoo finance app. 90 days ago they were $0.61 per share, putting SHAK share price at about 100X 2021 earnings estimates. Then the EPS est got cut to the current $0.29/share, putting share price at 207X 2021 earnings estimates. Time for SHAK to deliver some magic, since its P/E on 2021 is higher than everyone in the restaurant industry, including the solid performers with much higher operating income, like:$CMG$SBUX$WEN$DRI$DINEBut SHAK is trading in a PE range higher than every restaurant performer. SHAK must be more like $ZM , the obvious winner in the COVID-19 environment. Oh, wait, ZM only trades at at PE of 140X future earnings.... so SHAK must be on another HIGHER level of value since it is at over 200X 2021 earnings. It must be that they sell a very good cheeseburger in their largely NYC-based restaurants... I know there is a reason SHAK is priced up here in the clouds, we'll all figure it out someday.... I doubt it's simply that it's been pumped endlessly by the shameless analysts still calling for a ""hold/maintain"" on this one.",0.9918
1505,90$ then two weeks until 99$!!,-0.2077
1506,VLT is hottest stock of the day..,0.5024
1507,it's about the future not today. starbucks stays starbucks.,0.2264
1508,"50,000 shares bought",0.296
1509,"Congrats to all the Starbucks longs. Paying off nicely. Starbucks sales and earnings beat, shares surge ://finance.yahoo.com/news/starbucks-sales-earnings-beat-shares-surge-201401529.html",0.8977
1510,Down because the nasdaq is down ! Will go up if the market does,-0.4597
1511,$SBUX stock is in a negative cycle that may last. The sales miss and moving out of a growth stage is definitely the basis of today's decline. SBUX leading indicators predicted this turn in advance. https://www.blusignalsystems.com/sbux-leading-indicators/,0.2751
1512,SBUX one year target: $60,0.1247
1513,Consolidating in upper 90s. Just push through 100 and be done with it.,0.075
1514,"At 20 + times earnings in this market it is going down. In China it is the rich man’s coffee shop. 500 M earn less per day than they charge for a cup of coffee and now starting delivery for lazy Chinese people too, come on get real.",0.9277
1515,So can I ask Starbucks to kick out people with low hanging baggy pants?,-0.1862
1516,"Tossed plywood pieces, even run over by traffic, is hard to destroy. Pick it up and keep it for your Grand children. It is Gold.",0.4233
1517,"Here Docta Dums, this one is absolutely perfect for you. It's in your favorite color and it's cylindrical. It's a Bitty gift come true.https://search.yahoo.com/search;_ylt=AwrCxh_AxQxYLykApjhXNyoA;_ylc=X1MDMjc2NjY3OQRfcgMyBGZyA3VoM19maW5hbmNlX3ZlcnQEZ3ByaWQDN1l6YzlVY0hRck9vZHQxNTNGNmpLQQRuX3JzbHQDMARuX3N1Z2cDMARvcmlnaW4Dc2VhcmNoLnlhaG9vLmNvbQRwb3MDMARwcXN0cgMEcHFzdHJsAzAEcXN0cmwDMjgEcXVlcnkDYnJva2VuJTIwc3R1biUyMGd1biUyMGltYWdlcwR0X3N0bXADMTQ3NzIzMTQ1MA--?p=broken+stun+gun+images&fr2=sb-top&fr=uh3_finance_vertHey, TD will release their earnings the first week of November. Is that when the dividend is going to be cut?Please advise. Your sage and accurate predictions have quite a track record.Now, go dig up some cute little cartoon and post five or six of them. They're your new version of the little pink eraser that you used to wield so haughtily, but have recently lost. Won't be long before I've got you ranting about Leroy, goats, Moms, Wives, etc. It really is simply a matter of time. As in the past, you simply won't be able to help yourself.Illiterate DumDum...............",0.879
1518,"There's a laundry list of better stocks to own, long term and short term vs. SBUX. I cannot see how people continue to own something that isn't paying you squat in dividend (<2%), yet you people constantly like to voice how well the company is doing, and how much money they make. The company is run by a bevy of super-socialists and Howard Schultz is their head commie. Management speaks and sells catchphrases, and your $5 coffee drink goes to 90% employee benefits and management salaries. They hire illegals, and management promotes illegal immigration and California socialism. A LOT of better stocks out there for free-enterprise capitalists.",0.9789
1519,Fred. target. 7 p.e. 15.00,-0.0748
1520,EOS launch of the coin,0.1065
1521,"there's only one Nike...here in portland aka left v right battleground USA sbux are empty, mostly due to comp but having half the city hate you doesn't help...dead money",-0.6953
1522,How was the ‘White Bashing’ training?,0.0414
1523,This stock would still be overvalued with a 30 PE.,0.3329
1524,Sbux $30Stores are empty...and will be empty forever at lease 4 years losing moneyGreat day to sell,-0.5756
1525,"Hey, anyone notice that we took out the all-time high this week? That's big deal. Lots of clear air above.",0.9049
1526,Earnings beat by good percentage and sales up even in China which was a concern. The stock had been pummeled mostly by shorts betting for a downturn. Time for a SHORT SQUEEZE!,0.5479
1527,"SBUX stores are very busy, SO SBUX drinks can get a lot of customers from KO and PEP,SO Warren Buffett need buy SBUX to replace his KO, KO sales will continue decline,",0.4209
1528,to dis a cop. i have likely gone to my last,-0.0488
1529,"My Norwegian relatives go to Australia, Thailand or Spain. Don't like the Sbux in the US",-0.5303
1530,"support is at $89, I'll wait until its around there my cost basis is $70..",0.4989
1531,Buy now before earning,0.1736
1532,"I see that little Menneth is back and acting out again. Pretending to be a mobster. One of your favorite fantasies eh Miss Meneth? Too bad you lack certain mobster necessities like being big, tough and capable of holding on to your weapon. Try not to squeal the next time you flee a fight date Menneth.",0.7625
1533,I'm new to the market. Is having overpriced products and lots of China exposure a good thing as we head into recession?,0.2847
1534,Hong Kong accounts for less than 0.9% of overall revenue. There are over 27K stores worldwide. Overreaction much.,0.4235
1535,"Market cap ~$71B, $25B returning to shareholders through FY 2020. The magic 8 ball says go long, stay long unless you are short term trader...",-0.287
1536,schultz is out,0.1486
1537,"WEN is a better buy, you can thank me later...",0.7436
1538,"obviously, the stock is going to $100.",0.1955
1539,insiders are unloading,0.0
1540,"BREAKING NEWS: ""Coronavirus: Starbucks Closes All UK Branches Until Further Notice""You can be 100% that they are closing ALL US stores too, they can NOT do one without the other, they would be sued for their last penny!",0.3458
1541,Can you imagine that attitude you’ll get in twenty years from the lifer barista who’s got a ‘living’ wage and has stayed a barista his whole adult life...sounds like a good Simpson’s character...,0.7907
1542,"their share price of $55-60 is way too high, the way things goes. myself stop going there, and even my wife , a truly star buck fan even stop going too, same ingredient, same or less amount of coffee, but cost more.it should be $40 at most.",0.7193
1543,Starbucks will be $25 soon on capitulation,-0.0598
1544,Ny Dem primary just kicked out top Dem Crowley and voted in 20 yr old Socialist. Hoping Republican can beat her this Fall. Not sure any Reps left in NY,0.6881
1545,"This stock is up every day. No stopping now with same store sales rocketing higher. Keep buying, Mortimer",0.5183
1546,An independent audit of these quarterly earnings results is needed asap. There is no way what was reported is reality. Please trade accordingly.,0.1308
1547,"Well, the shares went up, go figure.",0.7
1548,I bought the dip thanks,0.5795
1549,$DNKN will announce takeover bid of $SBUX on 7/3. Heard it here first.,0.449
1550,Starbucks should accept crypto,0.4275
1551,If the police didn’t come it could have turned into this-,0.07
1552,Forming nice support base right here.,0.775
1553,"SBUX need open one more New store in Brooklyn college New York,because too busy in it's old store, I went to buy SBUX coffee in Brooklyn college in 12:30pm yesterday, the SBUX store was full of people ,I think I have to wait at least 40 minutes, SO I quit buy, the young people SO love SBUX coffee, SO I think SBUX coffee can become HUMAN'S MATE.in New York, all people said SBUX coffee is best coffee, it's a lot more better than anyone. I think SBUX can rise to over $100,some coffee stores sell cat coffee, but too expensive ,only 2oz sell $6.00 , only a little people buy it, some people said they can't sleep after they drunk,",0.9164
1554,China’ Lucky Coffee is loving this,0.787
1555,"even liberals dont like Schultz, he doesnt stand a chance. well great, sbux has a chance to turn green",0.915
1556,"SBUX will turn red before close. Most importantly, this is the most overvalued in S&P500. I won't consider buying it even it is $65. Traders are just crazy chasing momentum stocks. Especially everybody else keep lowering coffee price, I don't how long Starbucks can keep charging $5 coffee without losing customers.",-0.8048
1557,"Cramer really laid into the CEO this morning. Cramer told him just lower your guidance already so the stock can bottom. It looks like the smart money is getting out before that happens. I can see this in the 30's. I don't short, but this one is easy money if you do.",0.8997
1558,"I believe we have farther to fall here before I'm backing up the truck to the loading dock. So much of Starbuck's revenue is based on 2 factors ... The place to get coffee on the way to or at work, and a social gathering place. With COVID-19, more people are working from home which will impact Starbucks revenue and, people are avoiding social gathering until the virus is under control. If it drops to the 60's I'll start loading up because fundamentally it is solid. It is just going to be a short term roller coaster.",0.5972
1559,Looking hazy to me. Closures are not good. Everyday counts...,0.2467
1560,Company is now all about China expansion.,0.6683
1561,"after school students drinking SBUX coffee more than drinking sodas (KO +PEP +others), for thirst: drink SBUX coffee better than drink sodas ,SBUX coffee can save HUMAN'S energy and cleaning mouth smells, SO buy SBUX is better than buy KO,",0.9211
1562,"# of starbucks stores that will be effected by corona virus.China: 3,600Japan: 1,415South Korea: 1,080Taiwan: 430",-0.0654
1563,Howard S. keeps bashing Trump and a LOT of customers are going to start getting coffee somewhere else.....that is certain.,0.3997
1564,high class but got no hard assets wealth or cash is most people poor money management,0.0854
1565,"Just went into SBUX and asked the manager what I could get on the shelf for $100. She said that turnover on all the cups and #$%$ they have there was terrible and they should toss it all and add a few more tables for all the excrement that spends half their day there fooling themselves they are actually productive. I think she is really smart, I offered her a job in my business and she is considering it. I feel like Moses leading the Israelites through the sea.",0.854
1566,"Illegal immigrant kills NFL star on Super Bowl SundayFEBRUARY 5, 2018Indianapolis Colts lineback Edwin Jackson was one of the two men struck and killed by a truck on Super Bowl Sunday — and the suspect is a twice-deported illegal alien.Another American life ended tragically by a criminal that should have never been in our country, outraged fans say.Jackson and another man were killed early Sunday when a suspected drunken driver struck them as they stood outside their car along a highway in Indianapolis, the team and police said.“The loss of life at the hands of illegal immigrant criminals should make all Hoosiers sad and ultimately angry. We must do more to get these dangerous illegal immigrant criminals off of our streets, and guarantee this never happens again by building a wall, ending sanctuary cities, and stopping illegal immigration once and for all,” Indiana Rep. Todd Rokita said in a statement.The Colts said in a statement Sunday that the team is “heartbroken” by Jackson’s death and that the 26-year-old “was loved by all in the Colts organization.”State police identified the victims as Jackson, who grew up in Atlanta, and 54-year-old Jeffrey Monroe, of Avon, Indiana. Police say they were killed when a suspected drunken driver — who is also an illegal alien –struck them as they stood outside their car along Interstate 70 on Indianapolis’ west side.Police said that it’s believed that Monroe was an Uber driver who was transporting Jackson when Jackson became ill. Monroe pulled over to the side of the highway and got out to help Jackson when both were struck by a pickup truck that also hit Monroe’s car, police said.The pickup’s driver, a 37-year-old illegal immigrant named Manuel Orrego-Savala, is a citizen of Guatemala and had been deported twice before. Orrego-Savala was believed to be intoxicated and was driving without a license, police said. He allegedly tried to flee the deadly scene on foot but was quickly captured.“Orrego-Savala is in the United States illegally and has previously been deported on two occasions, in 2007 and again in 2009. State police investigators are working with U.S. Federal Immigration Officials and they have placed a hold on Orrego-Savala,” Sgt. John Perrine said in a statement.The 6-foot, 234-pound Jackson attended Georgia Southern. He was signed by the Arizona Cardinals in May 2015 and released by the team about three months later. Jackson was signed to the Colts in December 2015. He was placed on injured reserve by the Colts last September.The Colts said in their statement that they “admired” Jackson’s “outgoing personality, competitive spirit and hard-working mentality.”“He was well-respected among all with whom he crossed paths, and he will be greatly missed in our locker room and throughout our entire organization,”",0.4936
1567,"Sbux is always packed. Mobile ordering has picked up, drive thrus are long and consistent quality. I say BUY the dip and enjoy profits.",0.9474
1568,Break $80. C’mon!!,-0.3786
1569,SBUX is up 60% in the last 9 1/2 months. SBUX is up 60% in the last 4 years. Both are correct.,0.1886
1570,Dear Anonymous: 9 posts bashing Starbucks as it moves higher within the past hour. An obvious short who is getting hurt by this price rise. Just cover and move on. No one is listening. Muted now!,0.3258
1571,"Update BCCI the Cannibus infused coffee company that I mentioned yesterday is up 53%. SBUX could own this baby for chump change,even I can.",0.5891
1572,I feel a bounce tomorrow due to stimulus package news. Do not catch with your pants down Just what I know off from the history,0.3145
1573,there's nothing that gets my appetite going more than the sour smell of the homeless and the stench of their accumulated power dumps mixed w the smell of burnt coffee,-0.5366
1574,"I love Starbucks coffee. Drink it daily. But, that being said, with all of their stores shutdown to everything but drive thru, they are still priced for a fully open market. Their quarterly numbers are going to be dreadful. I would be a buyer in the $50s, although I have day traded a few times lately.",-0.1653
1575,So do the earnings come out tonight? Won't know how much they've lost until end of trading day?,-0.1574
1576,"Starbucks price held up well today. Despite the drop, I think Starbucks is one of the few companies who was transparent about the effect on business from the virus from the beginning. It looks like the price already reflects this more accurately than other company stock prices where the effects are still unclear.",0.9241
1577,STRONG STRONG STRONG SBUX target $80.00,0.9154
