,Recent headlines and conversations for LOW,Polarity
612,New 5 billion share repurchase plan announced. Time to go higher.,0.8105
613,It's headed to $70. I will add there!,0.2957
614,"David , Lowes is going to be $100 soon, unless there is a split Wait for proceeds from RONA to start coming in",0.3453
615,TOLD U GUYS THIS WILL GO TO 118.25 BY TIME CLOSE,-0.2864
616,"LOW claims will make $6 next year -- not likely. LOW makes $4.80 or less is more likely. Business is at a top, and so is the stock price.",-0.6375
617,As a share holder and shopper at Lowes it is becoming harder and harder to shop at Lowes. The waythey conduct online orders. No customer service in the stores in Dallas TX. Is it time for a Managementshake up.,0.4382
618,"I feel the same way you do, but unfortunately this morning I'm seeing several analysts on television that say this could be the beginning of a down slide down to the 130 to 140 range. Let's sure hope not.",0.2482
619,"How does this company make any money, every time I buy something from them I have to return it because it is junk and doesn't work. We need a HD bad where I live.",-0.5043
620,DSC ........LOW's is buying back shares plus your mops and brooms from aisle 14.,0.7629
621,Biggest loser of the DOW today?,-0.4143
622,Hillary is looking a bit tuckered out lately. Maybe she needs to go into an alcohol rehab program? Can you imagine what it would be like if Hillary was incapacitated and that Kane idiot had to take over as president? That would be gasser friends. ,0.7026
623,Those numbers weren't bad at all. Looks like i nice price to buy in now.,0.8547
624,"to be continued....I ask once more, what has Robert Niblock ever done to make ""our"" company better ???",0.7795
625,strong buy fnd now,0.6024
626,Devalued it’s stock or it’s time to dropping??,-0.149
627,be careful on premarket trading!!!!!mixed results. Up based on the more purchase volume in pre market trading. we will see where this goes once the market opens. not to mention the political climate and the well needed diversions that are needed by some people.,0.8708
628,LOW is a failed business! Just walk into their stores you will see why they have missed the earning the last four quarters! stupid disrespectful staff and IDIOT managers. LOW will ALWAYS GO LOW!,-0.9691
629,"100% of the time the stock is lower after announcement of stake by big fund, they don't announce until after they have accumulated at lower prices and are ready to sell some, sell calls, buy puts. This will go up and down like a seasaw",0.6805
630,Nice comeback,0.5796
631,I warned shorts a day like this was coming but they didn’t listen. Now they are paying the price. $200 will be here soon.,0.4337
632,LOW is down 4.96% to 112.64,-0.5882
633,"What until Q3 with the results of the disastrous 3rd party delivery factor in. Expect Pro business sales to be flat if not down. Contractors can't wait 2, 3 or more days for a delivery. Already fleeing to Depot.",0.5203
634,"Lol, this is way beyon funny. Who is buying at this level",0.852
635,What does everybody think about Hollywood celebrities telling us who to vote for? ,0.5389
636,they sold all retail. looking to get back in. lot of resistance for s+p 2600 so be carefull. Thats been the sell point . watch lows 50 day ma. it hit the 200 ma and it got sold.,-0.2259
637,"Lowe's Accused Of Scanning Millions Of Customers Facesccording to the Cook County Record, two recent class action lawsuits accuse Home Depot and Lowe's of secretly using facial recognition to identify customers as soon as they enter their stores.On Sept. 4, 2019, a group of plaintiffs simultaneously filed virtually identical class action complaints in Cook County Circuit Court in Chicago against Lowe’s and in federal court in Atlanta against Home Depot, accusing the retailers of violating the Illinois state law by “surreptitiously” scanning customers’ faces as they moved about the chains’ stores.According to the Lowe's lawsuit, home improvement stores are secretly using facial recognition to identify everyone.“Lowe’s has augmented its in-store security cameras with software that tracks individuals’ movements throughout the store using a unique scan of face geometry. Put simply, Defendants surreptitiously attempt to collect the faceprint of every person who appears in front of one of their facial-recognition cameras.” (To find out more about Home Depot tracking customers, click here.)https://massprivatei.blogspot.com/2019/09/home-depot-and-lowes-accused-of.html",0.1005
638,Interested in day trading. Right now my portfolio is based long term through EJ. Would like to get into it. Located in NC,0.8488
639,The U has been formed,-0.0157
640,BUYING MORE PUTS INTO THE CLOSE,0.188
641,BUT HE TRICKY HE MIGHT PULL SHIT OUT OF HIS HAT SUDDENLY SQUEEZE US,0.1208
642,"$200 a share officially reached! Time to pop the cork on the champagne longs!!!! Those shorts will only get more merciless beatings as time goes on. Now to close above 200!!! 43 minutes until market close, let's go!!!",0.8452
643,"Of all the retail, I like Lowes this earnings season. They're gaining share on HD and digital sales will likely increase due to COVID19. They've been one of the few open the whole time while people are spending more oer household on home improvement vs groceries & clothes.",0.9213
644,"Good, broke the streak, now it’s time to start another one.",0.3134
645,Just have a question for your experienced option folks. I’m new to options. I bought some $160 calls for this. Jan 15 exp. break even is $163.60. So does this mean I need it to be above that price before Jan 15th? Do I sell before then? This I felt was a good stock and so jumped in. Thanks for any help.,0.9435
646,"After the masive amout of IPO shares have cleared, expect negative outlook to surface. Valuation",-0.2796
647,"Came in with 10,000 shares a couple hours ago. Already down $2k, but I think this is a $160 stock",0.4274
648,"Surprised this hasn?t been shorted more for cooking the books. They do no checks on quality of their products in their stores and work with #$%$ bag ?contarctors? For installation services. When a product you order comes damages several times after it?s been re-ordered, I?d think something is wrong here. What company wants to lose money rebuilding the same product several times?",-0.6477
649,Any whisper numbers yet????,0.5621
650,TGT and Lowes will take over the world....,0.0179
651,I think Lowe's will have a great earnings report like Home Depot. They both announced share buyback programs fairly recently too.,0.9262
652,100K SHSARE COVER HERE IT GOES,-0.1026
653,hardly any posting on this board but lots of posting on HD. are people not so excited about lows?,0.5317
654,"Taxes and infrastructure, sounds good. They have better products than he. undervalued",0.8275
655,With 10 time the ave daily volume authorized as a buy back- you can bet the company is standing strong buying every block that comes avail right here right now. Want to own a stock with little to no downside risk- here you go! Now if the raise the div or an activist pops their head up- LOW pops $20/ real quick like! Buy LOW,0.7949
656,HEY SHORTS!https://www.benzinga.com/stock/low/ratings,0.4196
657,HE DIDNT EVEN COME TO CNBC HE IS STUPID,-0.0999
658,Classic Head and Shoulder pattern. we are at the top of the right shoulder and ready to pull back. Should pull back to $90. not to mention all the same reasons HD missed.,-0.0483
659,what am i missing here,-0.3059
660,anals pump the tops relentlessly,0.5192
661,If they had that many underperforming stores... what took so long. Same with Sam's Club closing 50-60 stores. We all know Home Depot will be here as was as Costco.,0.393
662,I STILL GOT ALOT TO COVER,0.0822
663,DONT KNOW ABOUTU GUYS THIS IS GOOD PRICE TO COVER,0.5602
664,"If lowes be like home trade PE 23.24x 5.49 earning would be at $127.58 Trading and here Lowes did so much better than HD with their Earning. So focus stay the Course and we should be at $125-127 By next few days. WE are trading way below what it should be trading it oversold. Like Cramer said its a BUY,",0.9529
665,Next stop around 200 pps.,-0.4005
666,"new 1 year estimate raised to 175, c'mon! goin up",0.2037
667,how come home Depot in the same sector is going up? it must be facing same challenges right?,0.5277
668,IT WIL MAE IT JUMP DONT PANIC GUYS,-0.2864
669,What's up with this company the chart is black..?,0.4152
670,Don’t sell yet!,0.1272
671,Target price 100,0.0069
672,LOW is down 5.01% to 98.81,-0.5882
673,"Thats brilliant hire a CEO who is failing at his current company to come fix your failing business, buy puts, lol",0.7553
674,"Corp rate change impact-LOW should see a significant impact in 2018 due to the reduction in corp rate they were paying relative to the new rate. Despite the one time incentives they are giving back to employees, I see this as a big win to their bottom line. I'm long LOW as I hope they improve on margins and beat topline and on the bottom as well.",0.9706
675,Marvin will have Lowes stock running neck and neck with HD within two years . Moves are being made to make Lowes much more profitable. Mr. Allison knows the blue print and he's following it.,0.306
676,Joe is in the lead with Kayak falling behind.,0.3678
677,"Dang SF, you need to stay of the crystals. You’re cooked",0.698
678,LOW has just seen the last of the selling. Looks like a potential push higher is in store. google awesomeS-TOCKS - they offer pretty good trade alerrts. you dont have to trade their tickers but it definetly helps you recognize possible patterns for stocks you're trading.,0.8726
679,I funny until 12 Pm stock was stabalizing around $ 98-$99 and than that downgrade came in and baam,0.4786
680,"I been studying Lowe’s for the last two weeks and it has a urge to keep boosting up. I like to post personal opinions instead of article reads like these veterans. Personally, I see it hitting 175 by the end of this year. ",0.8984
681,YES BABY SHORTED THIS BABY,0.7326
682,Was there a silent bidding war for HD supply between Lowes and Home Depot? Home depot buys HD Supply for 9.1B.,0.4711
683,Go Joe Go!!!!!,0.7149
684,CANT BELIEVE HE LET HIS STOCK FALL $8,-0.5649
685,"bought at $103 right after pandemic and sold with a profit but way too early....bought back at $150 and doing well......only regret is not buying more.....this is a no brainer stock.,....should easily hit $200.00+ this year...",0.4766
686,$8 DROP FROM EARLIER HIGH BEST TIME TO COVER HELL YEAH,0.1456
687,Booming...new 52W high next week,0.2663
688,let's get this thing back in the 80':s and get in the race with Home Depot.,0.6651
689,What your your predictions for this stock a month from now?,0.4013
690,Will fall big this week! Worse than Home Depot! Earning miss and extremely high pe!,-0.3872
691,SHORTS ARE COVERING TOO SO THIS WILL GO IN GREEN,0.0597
692,"Forget the politics of why and face the reality of what is— The price of gas has skyrocketed in the past few weeks, I went to $LOW to buy wood and opted to go in a different route due to the unimaginable jump in 2x4 prices, the housing market is sky high, and between Earned Income & stimulus American households will see about $15,000 free cash in their bank accounts pretty soon... when do we start talking about real inflation and recognize the affects this is going to have.",0.8565
693,LOW is up 4.91% to 98.85,-0.2771
694,Profit taking today,0.5362
695,Bought 200 shares at $151. I hope I’m right.Buying more 200 more at $145.Selling around $170.,0.5554
696,It is a very good business opportunity for LOW to play the game after this horrible hurricane,0.3024
697,IT IS SO FUNNY CANT GET ABOVE 119,0.3138
698,How many shareholders voted on annual Proxy Statement to be reelected Board of Directors ?? Does Niblock need actual Lowes long time employees to vote for him? Since corporate and some Ful time employee cuts ???,0.8169
699,Wow what a spike upwards!,0.8259
700,"Poorly managed, and wouldn't touch this one.",0.118
701,DONT PANIC IM MAKING I JUMP BECAUSE IM DOING SHARE COVERING,0.2992
702,"As an employee, I would short the 4th quarter numbers. (after they ciome out) By every measure, we had a blow oiut 4th quarter Given that we were (and are chronically) understaffed, And therein lies Lowes problem. (And they know it) They cannot survive a real estate recession and real estate recessions are predictable. Lowes problem is that they can';t afford employees. In my 9 months there, NONE of the peopel who left were people management wanted to lsoe. (Including me) What they're left with is people with poor health who stay on for the health insurance and 75 year olds. Lowes doesn'gt hire people, they hire bodies. Because they are chronically understaffed they can't train anybody. Going into Christmas, we had to hire 11 people. We ended up with 8, only one of which was worth a #$%$. The rest are just zombies who walk around in a daze. We beat on sales, margins, you name it. But this is as good as it's going to get. As residential rental cools, we won't be shipping 50 refridgetators a day. Contractors won't be walking in and saying ""I need that $1,000 saw now!"" In that environment, when they have to go against Amazon, they'll get roasted. Short Febuary.",0.6768
703,Someone is sitting with 3000 shares to unload at 112. Looks like that is the # they want to run this to before shorting is back down.,0.5771
704,"If they dont blow out the numbers we'll be in the $60s very quickly,,,",0.3564
705,Go look at ROKU and see that Citron covered and Lowes might be CITRON next target,0.3766
706,If they haven’t pushed a short out then than won’t! Careful!! If it hits today’s low sell fast re buy at lower levels,-0.5623
707,Hurricane Maria is next....,0.0993
708,I was looking at this when it dropped 50% last year in March and was one of the best time to get in! Tripled since then. Now I sold puts on this one and if I get shares will run it for the long run!,0.9221
709,"Every time I've been into Lowe's in the last month - it's crowded. Construction has not stopped either -- so the pro side is still going. If the housing industry crashed, the pro side would slow down.",-0.4878
710,"TODAY MAY BE THE LAST DAY TO BUY THE JANUARY 2020 CALLS ON DISCOUNT, AHEAD OF NEXT WEEK’S EARNINGS ",0.4439
711,LOW continues to show me the money! $$$,-0.4936
712,"Merry Christmas, Happy New Year and happy and safe wishes to all, including you Joe!",0.9692
713,Buying opp? Disappointing miss as operating margins an issue #$%$ good. Their 2018 guidance is conservative as hopefully the activist influence will turn things around. Hoping the cc is going well but the premarket bloodbath is in effect-ugh!,0.5811
714,"Going to break through support, $100-$120 in a month",0.1614
715,Sold all my shares. JCP is almos disappearing. So LOW not good future,0.1989
716,too much price disparity between HD and Lowes.,-0.0942
717,"FYI: $104.23(yesterdays closing price), is precisely at LOW 5 yr. blended average P/E ratio of 21.1.",-0.4653
718,"The key number to watch in the earnings is comparable-store sales, and all signs point to a positive uptick for this key metric. Home Depot saw its growth rate double between the first and second quarter as customers made their spring purchases a bit later than usual. Lowe's executives suggested in late May that a similar trend may be applicable to the company, so analysts are expecting a big boost here. $LOW https://www.finstead.com/bite/Lowes-Companies-LOW-stock-forecast-prediction-august-21-2018",0.9564
719,"Very interesting, look at the link. Like HD, LOW's had a flat qtr.-not bad but then you put an inflation factor into the qtr. and you end up a little short. Wall street is certainly burning any negative thinkers, but the reality is the economy is still shrinking, contracting, negative growthing as they say today. Companies are not keeping or even holding up the inflation factor. This will all end bad I believer. Read the numbers for yourself.https://lowes.gcs-web.com/node/22206/pdf",-0.9065
720,"SMART DIP BUYERS ACCUMULATING THE JANUARY/APRIL 2020 CALLS CHEAPER AS LOW PULLS BACK, BUY LOWER TO SELL MUCH HIGHER LATER. ",0.8898
721,Look how many negative reviews. #$%$ service. I've been treated like a sucker at this store too.https://www.yelp.com/biz/lowes-home-improvement-cotati?,-0.7095
722,What happened today?,0.1116
723,The train has left the station choo choo next stop 175....!!!!!!!!!!!!!!!!,0.7565
724,raise store prices to increase divided we will see how that workes out for them,0.5292
725,I should have dumped this dumpster fire yesterday when back in green,-0.5936
726,"Lowe's in Destin FL manager Tiffany Reed she told me when I was bringing back Roses I got on Clarence. Lowe's policy is NO REFUNDS on Clarence items I asked can you show me where that is in Lowe's policy? I waited about a hour and then since it's NOT a LOWE'S policy. She tells me they can't refund because they can't match which Rose bush came out of which bucket. WELL I am the one who knows I have 100 other ROSES I bought here PLUS many many other things Lawnmower, Pressure washer many things. I have also returned ROSES before NO PROBLEM. I think its because I waited and didn't take them in one at a time I had 37 of them. I had the tickets for about 75 rose bushes I have bought. One she LIED to me LOWE'S policy don't take back Clarence items WHAT you should NOT be working for LOWE'S maybe that is the problem with LOWE'S stock people stop shopping there because of #$%$ like that. I mean all the money I spend there and all this over less then 200 bucks. I think if she lies she also steals they go hand in hand. I sure hope headquarters makes things RIGHT because LOWE'S is closer to me then Home Depot and I have a Lowe's credit card. I just can't get over her lying to me and then coming up with some other #$%$==== She needs a new JOB.",0.9638
727,"for me the most company against inflation is HD and Low....they would easily raise sales price to pass the cost to consumers with no problem as consumers have to buy necessity to maintain their home. If the pipe or toilet is leaking, those would have to get repaired or replaced regardless what the price would be",0.2925
728,How would a person go about finding out how many shares are shorted in LOW? Percentage to total shares.,0.5801
729,Retarded drop today.,-0.67
730,Is Lowe’s dependent on COvid?,-0.0165
731,"Back to the triple d's again we go...they must've let go some unproductive DE's, lol...",0.319
732,Do people think $LOW is undervalued when we account for its 31.9% growth?,0.4741
733,Lowes IT people have degrees but look what they created. DSC and I could have done a better job. Did they let their interns take over? This is outrageous !,0.6228
734,"I'm concerned my dividend yield has been falling recently. When I last bought, the yield was >3%! (Same when I bought more HD)....%^O",0.1233
735,doubt it....Lowes wont be in business in two years,-0.3161
736,"Thought the call was interesting. CEO on honeymoon phase. He was very honest about Lowe's lack of execution - was hoping one of the bankers would ask about other brand initiatives outside of paint and tools? Lowe's is offering some new brands that have been embarassing disasters, like Nest, Iris, and Therma Tru. How can LOW simply eliminate 1/2B in cap ex? Was LOW ""wasting"" 1/2B in cap ex? - or what is being sacrificed for picking up this type of found money???? 1/2B is a lot of money.",0.6171
737,"For those of you who don't know (and that appears to be most investors), the Lowes financial quarter ends at the end of July. It's off by one month vs. the calendar.",0.236
738,"Hummm. on May 15., my account is showing LOWS distribution ; some Funds sold $55.964.199 ... or 678.930 shares. Looks like somebody knows something",-0.2846
739,Read all about it!! Read all about it!! coming  Lowe's buy back !! $149 is a very tempting price but not to bust anybody's bubbles$ 130ish is amazing ,0.8599
740,Why is this sinking?,0.0641
741,Wow down over $2 this morning. Looks like $75 is next stop,0.4313
742,Anyone have any idea why low is down 1.7 percent on day when market is up well over a percent? makes no sense,-0.1383
743,Cover Now - 85 in next few hours?,-0.0659
744,"Simple truths. Houston most damage is from flooding. Flooding is not covered by homeowner's insurance. Most in Houston did not have flood insurance. Most will not have funds to rebuild. Florida homeowner insurance has a 20% deductible for wind storm damage. Most in Florida don't have that 20% of homes value to rebuild, repair or replace. You would not believe how many I heard before the storm say my house is paid for, I don't have insurance, I don't have funds for major repairs. Simple facts there isn't billions and billions going to be spent in the next year. It will be 10 years or more for Houston to recover. Years and years for south Florida, the Keys and Marco Island to recover. That is HD and Lowes are down. Don't forget also they may have lost stores in the Keys. Both have stores there in the worst hit areas. $30 million plus per lost store if total loss.",-0.7438
745,Big block seller came in on this. Someone dumping.,-0.4923
746,"Great quarter+Hurricanes & the housing boom equals up, up, up.GLTA",0.8303
747,Lowe's Companies reached an all time high at 142.21,0.3228
748,BUYERS U COULD MAKE PROFIT AS IM COVERING HERE WE GO,0.586
749,IT KEEP PUSHING TO GO HIGHER DAMN IT DONT PEOPLE,0.0097
750,Lows is on the move this support is in place 81.59 oct call are looking good stocks going up,0.7026
751,PEG ratio below 1......home sales and renovation will be strong in 2021! Lowe’s will announce accelerated share buy backs.,0.5539
752,SELL SELL SELL THIS LOSER!!!,-0.5215
753,"Iv been working at 1 of the top performing and scoring stores in the northeast for 2 years. Since Niblocks restructure of the stores we've been nothing but understaffed, mismanaged and employee moral is low do to the uptight and stressful work environment. The delivery department has been contracted out to XPO who routinely decline to make deliveries because they're too far or they just don't feel like doing work. Receiving area is a disaster and is impossible to find orders. 1 employee has to cover 2-3 departments from 6- closing. Lumber area has 1 person covering but needs 2 to operate the equipment. They hire unmotivated kids as seasonals. managers are constantly stressed out as they have a million things to do and no time or supporter to execute actions. Lowes also though it would be a brilliant idea to put spring time items in the middle of nor'easter season so instead of ice salt and shovels we have grass seed and mowers. Lowes is an excellent company and used to treat their people fairly well but the company is a shell of it's former self.",0.8929
754,Had a buy order in at 148.85. Got jumpy and bought half at 149.56 and waiting for the other half if it hits my buy point.,0.5726
755,please keep in mind........this stock so watered down.......its moving ALOT from 36 cent$.......now thats its trading near a dollar.................its really gonna move more than it waz at 36 cent$ or so.......i watched ctic move very fast from 30 plu$ cent$ to 90 ish........... went right back down........then a nice slow move to almost 2 buc$...........we are moving up nice and $low to almost a buc..........u mark my words............once we break and close above a buc.........this could shoot to 1.70........1.80ish in an afternoon..........and violently go back down.......trust me.....i know first hand.......my brother had a lil over 100k of $hares.....i called him up at work around 2012..........i told him to $ell...........he bought most $hares around a quarter........ he got greedy..... the fool had over 176 k$$$$$$........he rode it back down to 33 cent$..........whenever u can make 5 or 6 time$your money.......$ell $ell $ell..........i also watched this $tock go to from 2.50 to almost 10 buc$ in 2 weeks.......i watched it lose 70 %in a day........... u can bet your sweet dupa this week or next.........1.76 is coming.......could luck....,0.912
756,Waiting for $160 before earnings call.,0.2023
757,Market up 450 LOW down. When market turns down how low does LOW go?,-0.8389
758,"IMO if Lowe's gets over 80, it's off to the races with a ex divided date less than a month away.Good luck ",0.6856
759,"this always fades at the end of every day, without fail",-0.5115
760,i own lowes stocks and will always add when the price is right but with all the store closures i believe revenue will fall short. i will be on the sideline for now. good luck to all buying in and holding,0.7387
761,"Did a little research on Lowes supply to try to determine how exposed they are to the China-US trade war. Lowes has 106 suppliers. Most are located United States and the rest come from South Korea, Canada, China, and Taiwan. The #$%$ supplies from China, is mostly garden hose and plastic stuff..they are a poor supplier of anything quality like tools. I would say that Lowes is in a great position to weather the trade war with China...the biggest question is how all of this Trade war drama this will affect consumer confidence and the economy as a whole...but as for Lowes..they are in the best position to soar if the dust settles from the Trade War.",0.8998
762,LOW reached a 52 Week low at 63.59,-0.5277
763,"Honestly, I know I should sell for a small profit but I will hold and kick myself tomorrow morning because it will drop to 73 after good earnings. Then slowly climb to 80 before the next ER.",0.8816
764,https://www.theverge.com/2018/6/18/17477170/zte-ban-senate-vote-reinstate,0.0
765,"funny the big posters this morning are all happy and claim to have shorted 5000 to 20,000 shares this morning, but none rode it from 90 to 120... explain again who made money off this stock please.",0.8964
766,"I feel that there is a good chance of a miss this quarter, especially after Home Depot’s revenue miss......",0.7086
767,IT WAS ON FREE FALL,0.3601
768,"Just bought LOW on the recent HD dip. Looking forward to years and many increasing divs of ownership. By the looks of this board, there's a lot of disgruntled ex-employees and union/OWSer's here. I guess I'll do some mute weeding...",0.589
769,WE BROUGHT THIS DOWN $8 ALMOST DOWN,-0.4086
770,I GOT BURNT LAST TIME DDNT TAKE PROFIT NOT TIS TIME BUDDY,0.461
771,"today you should be looking at ""CYDY""",0.2098
772,IM NO DUMB GET FALL FOR LOWES TRICK,-0.7062
773,CEO IS BUYING BACK TOO I SEE,0.3798
774,We will NEVER do business with Lowe's again. Purchased some flooring with installation. Biggest cluster I have ever experienced. After sharing our horrible experience with others everyone share their horror story with Lowe's. I honestly don't know how they stay in business. We all shop at Home Depot now.,0.7932
775,THATS WHY I SHORT HE IS STUPID,-0.6226
776,HD much better in this space!,0.4936
777,up with little volume. not sure how the stock market works. seems everything is getting inflated,0.679
778,Low- already over bought for months,-0.283
779,Watch for changes in Low upper management. Shaw is going to make changes...,0.0174
780,Just bought in big time your welcome for the pump,0.5981
781,Wish the stocks would split so the young people could buy in like we did and watch them grow fir their retirement,0.8544
782,PEOPLE WHO SOLD TOAY WERE STUPID THEY GOING TO REGRET IT,-0.6984
783,so why is HD's market cap approx 2x of Lowe's? HD has that many more stores and inventory?,-0.5658
784,"What's risky? My LOW shares are up >sixty (%)! In a bit over a year, that's not too shabby, it's clear. Plus four dividends, another on the way, with yearly increases it makes my day!",0.6135
785,Fibonacci technical analysis has this going to 60 with a brief rebound to 67 and then down she goes,0.4223
786,LOW is down 4.91% to 107.73,-0.5882
787,15% of lowes stores are in fl & tx.,0.3217
788,"Back to 105 this summer, 120 EOY.",0.4318
789,TO COVER FOR EVERYTHING THEY GOT,-0.0376
790,Hurricane repairs beginning. Should give quite the boost to Lowe’s. GLTA!,0.7768
791,Wells upgrades Low PPS target 220.,-0.1003
792,"Here we go again. Nate is coming to middle Gulf Coast. Batteries, generators, and plywood flying off shelves.",0.3268
793,You suckers that held are gonna be sorry.,-0.5061
794,JCP doing better without Marvin,0.4373
795,"This may be the last time for a while to buy some of this stock while it's down a little. I think people are bargain hunting today looking to buy some stocks like this that are down a couple percent from where they were last week. And I bet people are about to start pulling out of the overpriced tech stocks, and putting their money someplace safer like here in Lowe's stock. I could see this recovering the rest of this week to close out the week up to around $165. GLTA!",0.9769
796,lows going to 84.00,-0.2066
797,What a quarter...adding to my position.,0.2649
798,nothing to see here please look away nothing but a short squeeze...LOW still getting its lunch money taking from HD,-0.1665
799,"what happened, flat?",-0.0357
800,"I missed buying LOW by 50 cents in 1H09, set a GTC at $19.50, but it only hit $20 a few days later and never looked back. I might now have a chance to get the shares I missed for a similar price.",0.7425
801,"This store in London, Kentucky is a joke. The people that work for them are incompetent. They seem to be Walmart culls or something. They cannot perform the simplest tasks such as tinting paint the right color, contacting a manufacturer on a discontinued item on a half finished project because apparently it's not their problem. If you are doing any heavy loading such as concrete bags or heavy timbers onto a cart, the help will walk right by, look the other way and pretend they don't see you. God forbid you try to pull into the loading area to actually load because that area is usually chock full of vehicles parked from people inside the store shopping. That store is a joke. Not all stores are that bad but the one in London Kentucky needs shutdown. They have a really bad attitude and culture.",-0.4186
802,Buy RAD. You won't regret it.,0.4815
803,"Talking heads are beating up on Lowes and HD, causing stock to fall. People should know the talking heads are nothing but hot air.",0.1873
804,SCARED SINCE THIS WAS UP $8-9 ONLY REASON I M SCARED,-0.4023
805,what happened yesterday down 2 bucks??? money shift out of the sector???,-0.267
806,"Lowes is a short to zero stock. Our store has 6 sales professionals. SIX!!! For the whole store! We have three on the unload team and 3 stocking shelves. In two weeks, two unloaders and 2 stovckers leave. Marvin's em[ployment policies are so moronic, you have to wonder iof he's sane.",-0.7917
807,JUST STAY HERE LISTEN DONT BUY WAIT TILL COMES DOWN,0.2903
808,wow.... $3.5B in total buyback for 2016!!,0.4609
809,"Every time I visit Lowe’s I feel bad to see the stores empty, it’s funny that there are more employees than customers some days, most of them are flirtatious 20-somethings, haha. I wonder if Lowe’s making their money from their online store, but that’s hard to believe where HD’s site is 63rd but Lowe’s site is way behind 124th in ranks. Does Lowe’s makes money elsewhere? I think stock price is overpriced, I would short or wait till somewhere $65-$70 range if they keep up.",0.2124
810,Back to $65 soon. Missed on both the top and bottom numbers. Wow!!,0.5698
811,"No reason to stay Green, Sell Short",-0.6142
812,aaaaaaand there it is. The protypical EOD cliff dive. LOW is weird stock. This happens virtually every. single. day.,-0.7263
813,"Omg, this just got its @#s knocked off!!!",0.3682
814,NOT TAKEING CHANCE GET SHORT SQUEEZED,-0.2321
815,$2000 stimi baby let's go. gonna buy new oven.,0.4335
816,"Im happy with taking a position in Lowe's a few weeks ago, as we move outta tech into re-opening plays i came to the conclusion to start buying some companies that work no matter what and lowes, target, apple were at the top of my list",0.9351
817,tooooo much good talk about LOWs it will bomb on earnings to many long option trades,0.478
818,UPGRADE NEXT ON THIS STOCK AND IT WILL MOVE EVEN HIGHER,0.4907
819,Just added Lowe’s to my kids portfolio today. Bought 10 shares a piece.,0.5771
820,Added more today.. Thanks for the pull back...$$$$,0.5017
821,"Today's market action is a conundrum, I admit. Just look at the one month and year to date charts and sleep well!",0.7434
822,GOING BACK TO 118 119,0.0529
823,"I had 700 shares I bought earlier, and just bought 640 more. Should be a good winter this year and one hell of a year in 2021 for Lowes.",0.2401
824,"None of you investors seem to understand what is coming.There are 30 million people unemployed and that's just the tip of the iceberg. While Lowes is riding high today, that run is almost over. Maybe a month remains.The stock price is too high to sustain in the midst of a depression. Use your money wisely.",0.7088
825,Won’t go lower than 163.50,-0.2423
826,I stopped shopping there. I'm tired of checking myself out and searching for representatives. Home Depot is staffed much better. Done with Lowes.,0.6963
827,Go Joe go!!!!!!,0.7149
828,They Missed the Numbers and they have an idiot coming from JC Penny Ha Ha Ha,0.6504
829,CEO is a loser!!!,-0.5312
830,This is probably why:Sears shares jump 19% at open on Amazon deal to sell Alexa-enabled appliances,0.6748
831,LOW reached a 52 Week low at 90.00,-0.5277
832,"They better blow out earnings. Too many companies have sold off after beating, mostly those that have had a big run post March bottom. And since LOW fits that profile, it could get whacked even if it does well. We’ll see.",0.3947
833,Tell me one thing Niblock has done to makes Lowe's a better company.,0.602
834,"Any of you Coronas buy LOW low? I couldn't resist buying in the mid-90's, that was my last buy point. I don't think the virus sticks to 2x4's, and the home interest rates are heading down....",-0.1779
835,Why is this stock down again today? I see HD up $1.50. I realize the move to $180 got the stock overextended but now we are down $13 from the high last week with a hurricane coming towards New Orleans?,0.7012
836,why take # 2. GO HD,-0.139
837,HE COULD KEEP HSIS COMPANY SHARES UP THERE,0.6674
838,"People's confidence in DIY projects is growing. People shop at Lowes and not mom and pop hardware stores because they can put their hands on items before buying them. Lowes did the right thing by keeping their doors open and providing a familiar shopping experience unlike Home Depot. Spring and Summer is upon us, the busiest season for hardware and garden stores. I think there was sell off right after earnings to take profits, and now we'll see Lowes continue to rise. Shoppers will continue to shop, and profit margins will continue to rise. This is Corona friendly business.",0.9807
839,I don't see where they said buying back 1 billion in shares . can yall confirm ?,0.3884
840,"LOW and HD down because Sears offering Kenmore products on Amazon,",-0.4218
841,"Sorry DE Grinches, Santa rally is coming to a Lowe's near you...",-0.0004
842,ABOUT SHOOT DOWNSIDE IN FEW MINUTE WATCH AND SEE MARK MY WORDS WATCH AND SE,-0.3609
843,LOOKS NEGATIVE U IDIOT ON YOUR REPORTING DATE YOUR SHARE DOWN DUMMIE,-0.718
844,"woah, what just happend?",0.1404
845,"@$170, LOW is just at the Graham formula 5yr. blended P/E avg. of 19.4. Below it's own historical 5yr. avg. P/E21. At the best analysts est. of 8% gain in FY21, to $2.51... EOY2021 Graham avg. price is $182.. LOW actual avg. P/E price is $197.",0.9216
846,Lowe's Companies reached a 52 Week low at 90.00,-0.1464
847,"I bought this stock during that huge correction. I cannot understand why I didn't buy substantially more.Glad I, at least, have a position. At the time it was the 'buy' of the year for me.",0.2798
848,Buying more,0.2731
849,Little frustrated. Not much moving.,-0.1651
