,Recent headlines and conversations for PAYC,Polarity
355,Golden opportunity to add to your positions on PAYC. Be greedy when Mr. Market is fearful.,0.2312
356,"Full year guidance is up, but march is at midpoint and it sold off lol sounds like few confused folks",0.6458
357,"19% gain? holy moly, looks like shorts got their nutzos handed over to them...lol",0.6999
358,Paycom Software is down 5.73% to 321.54,-0.2752
359,What’s with the very low volumes lately ?,-0.059
360,PAYC is up 9.97% to 222.78,0.1818
361,Nice beat,0.5588
362,PAYC is down 16.05% to 190.25,-0.2462
363,I own twlo and they beat but not moving up- weird day The market did great but none of my stocks did of course I have Microsoft Apple Amazon- lol they sucked today ￼,0.946
364,"solid company, fair valued but should easily grow past a $200 valuation.",0.7968
365,It's crazy that a company like this is so under-valued.,0.1039
366,I am buying more,0.2731
367,Paycom Software is down 5.44% to 358.30,-0.2752
368,Where are all the longs on this board? Any longs with good data? We have broken past 300+ like I was clamoring about. Would love to have intelligent conversations about this company but haven't had any interest in discussion.,0.4866
369,HATERS ABOUND on Wall Street!!,-0.6259
370,easy money,0.4479
371,PAYC is down 4.90% to 277.64,-0.2462
372,PAYC is down 4.90% to 201.70,-0.2462
373,"$400 in 2022, that's what I'm shooting for.",-0.4336
374,GO PAYC GO!!!,-0.2227
375,$PAYC Upgraded by Jefferies Hold » Buy USD 470,-0.1634
376,Paycom Software is up 5.12% to 324.75,0.1509
377,Buying opportunity!!!,0.698
378,Hope it doesn't crash. Opps,0.6359
379,No idea - I came to the conversations to see if anyone else had any information...quite a heart punch. Good for my covered calls however...,0.5478
380,PAYC is down -4.94% to 101.92,-0.2462
381,Same trend as DBX I'm selling my position to short this puppy...Fool me once....,0.0486
382,PAYC is down 8.56% to 176.31,-0.2462
383,PE Ratio of about 90 tells you why it's headed south!,-0.4876
384,No movement?,-0.2036
385,PAYC is up 5.40% to $122.79,0.1818
386,I made a video about Paycom Software ($PAYC)Check it on YouTube: https://www.youtube.com/watch?v=-AoNO9LgAcg,0.0762
387,"Wow, another stock I own that beat earnings and tanks; go figure. Thanks Wall Street, you SUCK!",0.8548
388,"Nice earnings ""beat"".....",0.4802
389,overbought = pullback,0.2709
390,Paycom Software reached an all time high at 448.58,0.2951
391,Any buying at all is being met with selling pressure. Horrible two days to say the least. I’m holding but regretting I didn’t sell yesterday when it was dropping. Did the earnings leak?,-0.6975
392,$PAYC Maintains Piper Sandler Overweight USD 465 » USD 417 2Target Lowered by KeyBanc Overweight USD 500 » USD 475 Target Lowered by Needham & Company LLC Buy USD 490 » USD 420 Target Lowered by Mizuho Securities In-Line » Neutral USD 400 » USD 360,-0.9472
393,time to take profits!,0.5084
394,https://www.cnbc.com/2020/01/22/paycom-software-joins-sp-500-replacing-centene.html,0.0
395,Coming back off after hours drop. I can see green in a few days once people read the numbers. My opinion??,0.2044
396,250k back god bless me,0.6277
397,"I am no expert by any means, but I have heard that after a lengthy run up, sometimes institutions, fund managers, etc.. take advantage of the increased liquidity that occurs after an earnings report release to make adjustments and sell portions of their holdings. I have seen good stocks retreat after a good report and generally assume this is the cause, particularly when they rebound quickly. Who knows, food for thought. In any case, I still see PAYC hitting new highs. Looks like a good buy below its 50-day MA.",0.9839
398,Absolute tank of a stock. Shrugs off down market days like it’s its job. Hop on board the money train if you aren’t already.,0.7178
399,$15 bucks just 4 years ago. Never even heard of the company. This seems awfully shady. Buyout target by Workday or Salesforce perhaps? How many G dmn HR and Payroll companies do we need? Bizarre,-0.7554
400,"This stock is selling at bargain prices, folks, Excellent entry price.",0.7818
401,Strange reaction to the seeming non-event news today. Wonder what is really behind the big drop today???,-0.2796
402,"Follow the 3 day selling rule. Tomorrow may be time to get in, We will see if she bounces.",0.4806
403,Going back up?,0.24
404,"Seems to have a Software theme to this decline, COUP is trading similarly for no apparent reason",-0.629
405,Where did everybody go? Is PAYC buy?,0.3782
406,The company no one has ever heard of... this all seems so rigged it's unbelievable. is there a better performing stock anywhere? I'd like to see it.,0.6487
407,Paycom Software reached an all time high at 374.35,0.2951
408,It reports in line revenue and earning and CEO seems very positive for the future. I'd not pay much attention to the after-hour actions.,0.6708
409,got there much sooner than i thought!!,0.4297
410,$100 by year end. flushed all the toxins last week. here we go. low float. two big event in next few weeks. presentations etc. one to own!!,0.5733
411,big boys are loading up for the long term,0.6161
412,PAYC reached a new All Time High at 143.50,0.3954
413,"I've made some really good money on this stock since April when I got it at $190 and change. I am somewhat leery as this is up 36+% in the last month. 28 years of buying and selling stock has proven out that what goes up DOES come down sooner or later. Much as I would like to jump back in, I am cautious. APPL and MSFT may be a better place until a pull back - Thoughts?",0.9626
414,PAYC is breaking out! GO PAYC GO!!!,-0.62
415,Rally caps on,-0.0652
416,Can't beat trading off of fake headlines.,-0.6159
417,light guidance though...,0.1846
418,Nice move to a brand new high at 246 (at least intra-day anyway.),0.6679
419,Is this going to drop ever again?,-0.2041
420,just bought more,0.1074
421,Rising bottoms to $ 228.00!!!,0.6619
422,PAYC reached an all time high at 295.29,0.3228
423,"CEO Chad Richison sees the COVID-19 crisis as an opportunity to gain market share.""Even though the month of March was impacted by declining revenues from our current client base due to the effects of COVID-19, we continue to see strong addition of new clients,"" Richison said in Paycom's first-quarter earnings call. ""The pandemic is exposing seams created by the disparate systems and that is creating a higher demand for the Paycom single database solution.""",0.9487
424,Paycom Software is down 6.39% to 265.86,-0.2752
425,Nose bleed price FVE 189 PER MORNING SRAR,-0.1017
426,"Great CC. At the end CEO said: ""When did they start and what's been the movement since? And I believe that's the most relative number to us. And so we've seen stabilization. I am hopeful that that stabilization continues. We feel good about third quarter. That's why we've gone ahead and returned to guidance here in the third quarter. And then we'll see what happens subsequent to that. But thus far for the last three months, our numbers have been stabilized as far as the negative impact on our current clients unemployment trends.""",0.2294
427,"PAYC back on January 29 and said that it could reach the $375 area. That price target was been reached and exceeded, and next we may be stopping short of the Point",-0.4377
428,PAYC reached an all time high at 319.74,0.3228
429,All talk about holding $300 then holding $290....How about holding the bag!,0.8147
430,Nice beat on earnings,0.617
431,Bought 100 shares,0.296
432,PAYC reached a new All Time High at 149.82,0.3954
433,Why the reversal,-0.1102
434,Stay strong,0.5139
435,lost 200k,-0.3182
436,"Wow, 5 year chart looks like what has NFLX has done over the same period. Never imagined this would get to 150 that quickly. Shorts who bet against this name have been taken to the woodshed.",0.8031
437,Massively overvalued wake up u will never repeat what u got last year $pcty $payc,0.0957
438,Paycom Software reached an all time high at 389.84,0.2951
439,PAYC is down 9.24% to 208.04,-0.2462
440,370’first stopPull up a chart the trend broke,0.2004
441,PAYC is down 4.93% to 195.87,-0.2462
442,Why is this dropping like a rock?,0.7346
443,nice pop this morning,0.5142
444,"Why this up, payrolls down revenues down lol",0.2146
445,Hold on because this stock is going to pop after earnings are released on 7/30.,0.3427
446,YEWWWWW,0.0
447,what's bac thinking lol,0.4487
448,Eps expected :. 77 reported : .86 What’s going in,-0.4125
449,Very solid report today!,0.4263
450,"Well, this is not anything like last earnings report reaction.",0.6973
451,"FYI, PAYC dropped about 31 percent from last October until it bottomed at around 111 by the end of December, 2018.",0.137
452,The shorts are losing their shorts :-),0.0753
453,"I'm new here, can someone suggest the reasons for this high valuation? I know the company has grown fast in the last years but Jesus that is high price to pay.",0.566
454,isn't earnings call at 5 ET?,-0.3269
455,PAYC reached a new All Time High at 129.37,0.3954
456,YTD down $128 sh....,0.1774
457,cha ching,0.0
458,When off course hits the message board you know there will be movement lol,0.6703
459,Repurchase is a great idea..... no one else will BUY this ,0.8366
460,PAYC is down 4.91% to 199.87,-0.2462
461,PAYC is up 8.54% to 194.21,0.1818
462,OKLAHOMA CITY (AP) _ Paycom Software Inc. (PAYC) on Tuesday reported fourth-quarter earnings of $12.9 million,0.4011
463,"Shorts like to lean on the lofty PE ratio as a reason to bet against this name. They don't take into account that this company is turning a profit and is net income positive, their gross profit margins are greater than 85 percent, their debt is low and they have infinitely more net cash than they have debt. And finally, they are free cash flow positive and the free cash flow is 3 times the debt. Bottom line, they can pay down all their debt and still have plenty of cash left over. And finally, they have a competitive advantage in the way their software is revolutionizing the workplace. These are cheap prices compared to where it has traded. I predict 500 and above are in the company's future. There is very little to dislike here.",0.9541
464,"Short Squeeze?Short QuoteEnter Symbol: Paycom Software Inc$ 127.35Short Interest (Shares Short)6,431,800Short Interest Ratio (Days To Cover)12.0Short Percent of Float13.20 %Short % Increase / Decrease-5 %Short Interest (Shares Short) - Prior6,799,600Shares Float48,729,700Trading Volume - Today3,132,548Trading Volume - Average537,600Trading Volume - Today vs. Average582.69%% Owned by Insiders% Owned by InstitutionsEarnings Per SharePE RatioMarket Cap.$ 7,376,361,056% From 52-Wk High-0.47%% From 52-Wk Low% From 200-Day MA17.01%% From 50-Day MA6.62%SectorIndustryExchangeNYRecord Date2018-JulB",0.9137
465,This baby is treading water.Doesn’t look encouraging.,0.6401
466,Hopefully this is it!,0.4791
467,this looks set to take off,0.178
468,PCOM will rebound. I just added more shares at that price of $299￼,0.5486
469,PAYC reached an all time high at 192.56,0.3228
470,PAYC is down 5.32% to 267.24,-0.2462
471,Holding above the $300 level this morning premarket. IMO this is a good sign for a move back up.,0.9209
472,Paycom Software is down 5.32% to 267.24,-0.2752
473,"The fact that revenue was up at all is staggering considering they're focused on hr solutions for small businesses when half of small businesses were shuttered. Not saying buy more, but selling here is stupid. They have shockingly loyal customers and will be around for a long time.",0.5133
474,This will be 300 within 60 days,-0.0427
475,Buying this pullback for sure,0.6808
476,UP $7 already this morning. Almost to $298.! Here comes $300,0.4728
477,Whats the status on the stock buyback? Are they done or is there still a few mil left?,0.7423
478,PAYC reached a 52 Week low at 171.31,-0.1464
479,Paycom 20th anniversary this year.,0.0267
480,PAYC reached a new All Time High at 99.47,0.3954
481,Down ah to $360/sh what happened?,0.0323
482,Great report and it's hammered to death after hours. Buying opportunity once the shakeout is complete,0.465
483,PAYC reached a new All Time High at 100.98,0.3954
484,Here comes $ 227.00!!!,-0.262
485,we are due for a breakout today,0.7249
486,I would be a buyer again at the $120 level.,0.1617
487,Come on 99,0.0541
488,Any idea what’s happening here,-0.03
489,PAYC is up 8.31% to $170.00,0.1818
490,why is this getting wrecked in a green market?,0.0465
491,PAYC is down 5.18% to 198.33,-0.2462
492,I’m getting nervous- if earnings and guidance are no good then it could get much worse,-0.4461
493,PAYC reached an all time high at 304.32,0.3228
494,Down about $5 on an up market day? any thoughts?,0.163
495,easily,0.34
496,"Covid reseting stocks to 0, actually id rather get it rather than watch this",0.6783
497,Paycom Software is up 6.44% to 371.15,0.1509
498,Oppenheimer ups price target on PAYC to $120.,0.1242
499,There is no explanation for this run up in price. It makes no sense. This will be $150 in a year.,-0.2353
500,Earning is just so so.,0.0977
501,This has to be the reason for the PAYC take down today - competition...only reason that makes sense...https://finance.yahoo.com/news/bull-day-paylocity-pcty-100010116.html,-0.2011
502,PAYC reached a new All Time High at 141.84,0.3954
503,Im po tent,-0.4408
504,"PAYC reported good 1st qtr results. However, they are unable to give forward guidance because of Corona. They did say earnings going forward would be hurt by decrease in client count. So the stock is getting hit in after hours. 224 at this moment.",0.2056
505,"Anyone have a clue as to what is going on? Down 7 out of the last 10 days with no news that I am aware of. Volume has been low, which provides a small degree of comfort.",-0.0923
506,flushing out the weak hands,-0.3354
507,PAYC is down -5.01% to 82.27,-0.2462
508,$114.14 is next level down to support. I would not even consider buying until then.,0.6482
509,PAYC would be a marvelous buy at $180 (10% annual return over the next 10 years). $209 is not a bad point if you consider that.,0.5308
510,Go PAYC Go!!!,-0.2227
511,"PAYC is consolidating. Once the ""profit-takers"" finish selling, this stock will continue to climb!!!",0.5268
512,PAYC reached a new All Time High at 147.26,0.3954
513,Consider buying here folks...you'll be happy you did...IMO,0.7314
514,"2 days of downs, time to get back up!",0.346
515,"Folks, next support level $115, then $98, then $88. You never know it could get really bad really quick in this market as the conditions deteriorate.",-0.0317
516,time to buy more!,0.22
517,Paycom is one of the only software stocks I like because they can actually make money.,0.6129
518,really?,0.0
519,Oversold on guidance. Wouldn't surprise me to see $325 range within a couple of weeks. Been long. Staying long.,0.6764
520,Will anyone BUY this ?!?,0.3998
521,this report after hrs sucks,-0.2535
522,PAYC a strong buy,0.5887
523,Buy the dip folks this is going out to take out 500 after the end of the year profits have been taken,0.725
524,So like 3-20$ day to day swings pretty common on this stock?,0.8125
525,WOW..pray they beat..or this could get ugly..,0.0748
526,"VERY OVERBOUGHT HERE, sell and buy back at 50! In other words, great short.",0.5716
527,Loaded the boat today. Long term this goes back to 500. I love disruptive companies such as PAYC...they are changing the way the workplace operates. More people to returning to the office upon economic reopening is another plus.,0.8586
528,"Looks like if it holds here it’ll go to 250. Low was 210ish, high was 230. Just need it to hold here, rebound, and break the 230 mark",0.3377
529,Paycom Software is down 5.09% to 377.20,-0.2752
530,"PAYC has increased revenue by more than 40% annually over the past four years, and 38% in the past 12 months It’s hard to argue that a stock trading at more than 78 times its past 12 months’ earnings is a screaming bargain.",0.1495
531,"PAYC Technical indicators are looking bullish. Fundamental growth and profitability are looking strong, according to stockFA.",0.8325
532,Pushing the share price down is a good thing long term. More people will buy on the dip and hold for longer.,0.8274
533,PAYC reached a new All Time High at 116.76,0.3954
534,PAYC is up 4.96% to 318.33,0.1818
535,Here comes $ 240.00. Look at PAYC rally!!!,-0.4019
536,PAYC is down 9.36% to 242.66,-0.2462
537,PAYC reached a new All Time High at 159.38,0.3954
538,PAYC is down 4.97% to 237.22,-0.2462
539,Numbers look good. Should be a nice up day,0.7648
540,KeyBanc raises price target to $127 ,0.0023
541,$106 today 107 wed. 108 thur. 109 fri. u get my drift. they have aggrwssive buyback plan and the float is oh so tiny! possibly $110 this week if trend continues and market positive,0.9129
542,"These guys keep taking accounts from ADP and Paychex. They are crushing the competition with their all in one solution. This is the future folks, all right here at PAYC. Their retention rate is 90%. This will be over $100 per share within 1 year. Buy and hold, buy and hold.",0.7139
543,PAYC reached an all time high at 337.00,0.3228
544,in 5 mins,-0.0397
545,"Paycom Software Price Target Announced at $365.00/Share by StifelOctober 02, 202005:59 AM ETPublished October 02, 2020 05:59 AM Eastern TimeDow Jones Newswires",-0.0265
546,PAYC will close at $ 315.00 today!!!,-0.301
547,utterly spectacular recovery.,0.484
548,Virus impact on small business really concerns me.,0.1557
