,Recent headlines and conversations for NFLX,Polarity
1374,Dead cat bounce.,-0.6399
1375,"Bohemian Rhapsody, dead pool, Glass. AVATAR 2-5(COMING) This is Disney content. They bought 21st century fox to put a strong hold on content. Then you got bird box....",0.3807
1376,Stock split ??,0.3992
1377,"You can’t talk about the entertainment industry without bringing up streaming service Netflix (NASDAQ:NFLX).Historically NFLX stock has been an expensive play, but a worthwhile investment because the firm’s position at the top of the streaming space looked very solid. However, recently Netflix has seen a major pullback as investors started to worry about rising competition.In just two months, NFLX stock has seen its share price fall nearly 20% after the company’s second-quarter results underwhelmed the market. To be sure, Netflix isn’t flying as high as it once was, but the firm’s commitment to creating quality content is likely to keep the service from succumbing to the increasing competition in the streaming space. Plus, although NFLX is nearing saturation in the U.S., the firm still has a huge growth opportunity in India, where its content has been well-received so far. So, while the Q2 results were admittedly disappointing, this pullback in NFLX stock makes for a buying opportunity.",0.9958
1378, The 7 Best Defense Stocks To Buy Right Now  Check out https://youtu.be/ZED8lT1VC_Y,0.7964
1379,UPGRADED TO 410!!!! DING DING DING,0.7612
1380,"it was under 307 on may 3its may 1613 days, including two weekends (4 days)so 9 trading days 307 (less) to 329.723.8 points aboutmaybe the peak was a lower low, so we go to 300 the 100 dma?",-0.4917
1381,$370.00 on the HORIZON !!,0.3385
1382,I think the country and Trumps base has had about enough of this. You want a country divided you got it!!!,0.8215
1383,Seeing how Disney has run since it announced streaming focus what do you guys think about att for a trade as it switches over to streaming with times Warner. I know att is kind of a dinosaur but I could see it moving up maybe 15-25% on hype related to this news.,0.5088
1384,"Just bought another 300 shares, this will climb the rest of the week forsure",0.8483
1385,don't let big get your cheap shares---hold it or buy more:I see NFLX hit $1000 in 3 month!,0.3565
1386,"Wells Fargo-- makes ""SMART"" investment in NETFLIX--Wells Fargo & Company MN grew its position in Netflix by 22.5% during the 4th quarter. Wells Fargo & Company MN now owns 1,934,754 shares of the Internet television network’s stock worth $371,396,000 after purchasing an additional 354,801 shares during the period.",0.9042
1387,Netflix has reached escape velocity. 1 billion subscribers is in the cards.,0.1762
1388,And....,0.0
1389,"One of the best stocks to buy right now, queens gambit show is gonna drive profits to way better than expected. Very bullish with price target at 680",0.9349
1390,$381.60 8000 shares going through now,0.306
1391,https://deadline.com/2019/08/reese-witherspoon-pyros-netflix-simon-kinberg-thomas-pierce-science-fiction-film-with-simon-kinberg-1202667061/,0.0
1392,"Stock market bubble? The democrats will be destroying our economy, way of live and our stock market. Georgia voters? Please get out there and vote republican for the senate seats, this is our last stand against the country destroying democrats and the people will be able to help keep them in check from doing extensive damage. I'm ashamed to say I'm a democrat.",-0.7976
1393,scared money dont make no money. Z,-0.5325
1394,down 20% tomorrow,-0.2398
1395,"HAHAHA this will crash, they dont keep enough new shows and movies to sustain increases",0.5662
1396,Stock being hyped because of the Oscars. We'll see what happens on Monday.,0.1901
1397,"I don't know what is a better investment, Nflx or a checking account ",0.5784
1398,"... How many times recently have you seen it down in pre, only for it to completely turn around later that day... easy for someone to manipulate the pre with a bunch of selling... the seller or sellers made 11 yesterday... use a little of that to cause a little panic.",0.3531
1399,"I cancelled NetflixThere is no cost to cancel. You can always start it back up in the future. That's what will happen, but revenue and earnings will drop because of itWSJ survey30% of netflix users will cancel to try the new streaming companiesweekend paper, check page 1 (or B1) and B6",-0.5538
1400,good entry point.,0.468
1401,nflx must has a lot of customers and a lot profit these times because almost all europe has quarantined last weeks. So i think earnings will beat the expectations.,0.5038
1402,"Netflix current technicals. OBV good across all time frames from 5-minute thru the dailies. RSI not overcooked. Oh yeah, my buy stop hit a few minutes ago @ 533.70",0.7834
1403,Target appears at 400 from today’s breakout provided volume exceed 7 mil,0.8443
1404,"Someone is working hard to keep our Netflix down . Alas , she will rise today . Too many subs to ignore .",-0.519
1405,5 more percent today :),0.5843
1406,Green today? What a crazy stock. You gotta love it. Daytraders dream. Long are in for a scare now and then but.. haha,0.8466
1407,Peter Dowling adding to his position.We should see $575 very soon.,0.0073
1408,Surprised that Netflix didn’t take a huge hit today because of Disney and is actually green why?? More competition the better? Someone please explain.....,0.8671
1409,netflix production in japan and taiwan and many asian countries are incredible.. that's where the growth is,0.4295
1410,"Love the three dollar run up at the open, and then they open up the trap door.",0.5849
1411,"This is up almost 90 points in two weeks. Well done longs, that is incredible. Only in America! Belongs to be trading near $240-250 max but hey in due time....VA",0.6529
1412,"Not even up to 1B paying subscriber base yet, it’s mind boggling to think of fast the adoption is. NFLX is almost a must and will be a must in every house hold. Monster Buy",0.5991
1413,"OK, it's down 3 days in a row. Down $36 or 9.1% based on the lower sub growth. Right now, it's hard to imagine this ever going up again. You can picture another big down day tomorrow, with traders wanting to get out of their positions before the weekend. There is new competition coming, negative cash flow that's ongoing, and a bloated PE that's hard to justify. On the other hand, I've thought that same way many times in the past, and somehow this thing always turns around and powers to new highs. This is the most loved stock I've ever experienced and I'm betting it turns around and eventually gets back to $400. I know that sounds crazy right here and some day this has to turn down and return to a ""normal"" PE. But I'm betting this has one more run up before that happens. I admit I may be wrong but I have history on my side.",0.5729
1414,"Well, it went up roughly $80.00 on good subscription news, and lost $50.00 of that, on NO news. Granted the market is down, but ROKU seems to be doing just fine, up over $10.00",0.6666
1415,Bullish engulfing pattern AND a strong move off the 50% retracement level? Ooooo...shorts better cover while you can.,0.8781
1416,I bought them at 369 and I am long term holder. This is going down every single day. Any thoughts why?,0.2545
1417,$275.00 fair value...Fiona,0.3182
1418,lets hope Monday is a good day and the rest of the week is great.,0.9389
1419,tomorrow will jump up. let see. 427+,0.413
1420,shorts will take it in the draws.,-0.0423
1421,$NFLX $FB $WIMI hopefully we go strong in the morning...,0.7087
1422,"every year this happens - everybody hates NFLX and then when it drops to below 260; people back up to truck to a run to 360+. it is all gibberish about the other streaming stuff; NFLX thrives on its own content and competition from other services will have no impact on the growth of NFLX. people are not going to give up or take dis, hulu, etc. over NFLX. they will simply be additions to NFLX. This stock is about to be a screaming buy opportunity very very soon.",0.8834
1423,Any bets on NFLX being up over $600 tomorrow?,0.1379
1424,"If it's not a day to sell, I don't knock what it is",0.1033
1425,"No more subscriber growth, hence they have to raise price. Lots of other companies moving into this space. Netflix = next AOL",0.7029
1426,Who would have thought that Netflix would lose subscribers aftter paying $$ millions to the Obama's with the following special documentaries coming out: 1) How to become President from only being a community organizer 2) How I learned to hate America and the military and love Fidel Castro 3) Just give socialism a chance 4) How to keep your present medical plan 5) How to double or triple the U.S. deficit 6) How to keep your present doctor 7) Why Michelle and I don't care about BLM (because we're filthy rich now and wouldn't live in Chicago if you paid millions more to us). These are just some of the upcoming special documentaries coming up on Netflix. Join up now to make sure can stream these fascinating insights into the Obama legacy.,0.9866
1427,"If everyone pulls their content from Netflix and you were left with only Netflix originals, they would only have 37% of the streaming time they have now. How can investors think that Netflix originals will keep this stock afloat? It makes absolutely no sense. Netflix needs borrowed content to survive, and the best borrowed content is leaving. Period.",0.7742
1428,"Trump, Economic Adviser Resigning.Tomorrow Market will Sell, Sell, SellThen... You Buy, Buy, Buy",0.3074
1429,Barely makes targets and stock goes up 10%. Talk about delusions!Next qtr's numbers are being goosed by the increased prices but for how long!,0.8154
1430,waiting to load up at 300,0.426
1431,The greatest stock comeback in history right here. Unshortable.,0.7463
1432,What do I do tomorrow morning ??? I will BUY more !! Thanks for cheap shares. LONG TERM HOLDER.,0.8992
1433,How do you know if your a SHORT Johnson?? You bet against World Class Companies!! Congrats SHORTS!! Wrong Again!!!,-0.646
1434,"A hugely over-priced stock...and the fact that they're considering share buy-backs is insane!....they're barely cash flow positive as it is....they should be doing the exact opposite, SELLING shares at these lofty prices and using the money to fight off increasing competition.....the outdated ""maximizing shareholder value"" mantra comes a cropper eventually, just look at GE and Boeing.",0.6887
1435,CIIC GSAT & CCIV calls right awayFWDG,-0.0125
1436,NFLX is pure gamble.,0.0287
1437,"BioHarvest Sciences Inc. Announces a Major Breakthrough in the Growth of Cannabis TRICHOMES across Multiple Strains in Liquid Media17 patents filed to date, 11 patents granted in 5 different jurisdictions",0.369
1438,Honestly what’s so great about Netflix? Most of there content you can find online for free or on demand. And they haven’t really had many new reuses of late. I only keep it due to Stranger Things and 2 other titles.,0.9314
1439,$132B Market Cap. PE 200+ and they have to finance $1.5B debt? Red flags all over the place. When a company like this is operating a light speed and cannot pay off debt from over inflated stock valuation - run and run fast.,-0.2018
1440,360.00 and 400.00 after earning report this week,0.1767
1441,"Once Apple and Disney get there act together in NFLX's space, NFLX has to move down to the $185.00 range. Its just common sense. The quesiton is when?",0.481
1442,I predict a near identical daily chart today as compared to yesterday. Flat to down by EOD.,-0.1943
1443,Isn't it amazing how buyers show up all at once?,-0.2521
1444, we are closing at 375 today. Gj ppl with strong hearts,0.7356
1445,Hoping 392 by Friday,0.4794
1446,shorts won the earnings guessing game. congrats.,0.8363
1447,"Sold my small position, are better stocks in place to make money",0.6158
1448,LOOK AT NFLX GO!!!,-0.2891
1449,360 tomorrow ?,0.0024
1450,"NFLX has no moat! Really? $13 billion in original content and 122 Emmy nominations will be put together by a Walmart! Really, Disney is going to Mickey Mouse a challenge? Comcast - ever dealt with their customer service! The only true challenge is Amazon but it is too distracted and holds a fraction of viewership. NFLX is light years ahead of any competition and it simply needs to execute - in Reed Hasting’s astute leadership, NFLX will continue to flourish.",0.6114
1451,How do you buy after close?,0.1062
1452,Today was a good day to start buying some Puts. On a positive note Bord Box was a pretty good movie. Happy New Year yall,0.9642
1453,"What kind of rigged #$%$ is this They Missed and just have Free subscriptions Latest Earnings Missed Consensus (Q4 ending 12/2020) Next Earnings AnnouncementQ4 Non-GAAP earningsAnnounced January 19, 2021 $1.19 Q4 Consensusof 39 analysts $1.39 Difference fromconsensus -16.64% Q1 Earningswill announce (Unconfirmed) April 19, 2021",0.2244
1454,Buyers are back.,0.0576
1455,You should never sell on fear. Always stay positive closing 325.00 today. More green to come to a movie near you,0.4774
1456,"BREAKOUT WATCH for the breakout above 222.36, no resistance in area just above.Type: Continuation breakout from single resistance.Target: 235, 6.7%",0.9596
1457,"I really don’t understand the many of you haters obsession with the Obama’s. Here is a stellar example of the American dream and strong family values, unlike our present Commander in Chief.",0.6719
1458,I wouldn’t be surprised if it gaps up $5-$10 tomorrow.,0.4164
1459,Netflix has captured the melennials and once they start going to work so does their Netflix subscription. That’s 78 million folks!,0.3241
1460,Ozark is coming,0.0537
1461,When will the next squeeze come in? It should be soon,0.1207
1462,Single biggest indicator that Netflix will hit it out of the park on Monday is their Q2 guidance for 6.2 million subscriber adds. The previous high for a Q2 guide was 3.2 million. They really didn't need to guide that high unless subscriber adds were going through the roof.,0.5849
1463,Recently sold all my Netflix shares because this stock can correct all the way to 150; this period reminds me of 1999 where stocks like Cisco and sun Microsystems disappeared and investors lost 90 percent of their money,0.4613
1464,we gonna copy Amazon tomorrow.,0.4364
1465,SHORTS DESTROYED. ,-0.4355
1466,Perfect buy point,0.6162
1467,Here is my attempt to interpret CEO message saying next 100M from India. Is he trying to say Development phase countries like India? If so does that mean all developed market not much growth left and so Next 100M subscriber will mostly come from developing country. If so Netflix sure headed for temporary slowdown on subscriber growth for sure. There is no way developing countries can afford $10/year subscriptions and so no way those 100M can come in next 4-5 year. it will take way longer like 15 year.,0.9255
1468,If a big buyer steps in tomorrow shorts might lose 10% in 2 days :O,-0.6042
1469,"MANIPULATEDI guess you just go long when they turn on the BOTSRIMM was manipulated like this. Went to 148 or whatever, then down to $3 or whatever it was. You get my point.They turned on BOTS and the excuse is, the market sold off, so it was a buying opportunity. They make shorts cover, they get retail to buy, ....It's manipulated. It just went from 283 to 301. That's 8.3 Billion dollars in market cap with no news, nothing. They made 0.58 billion in one year. 14.3 ratio. Wall Street made 14.3 times as much today off trading NFLX than NFLX made in a year. That's how I see it. I think the folks at the SEC needs to be thrown in a dumpster and replaced by someone that wants to act like the Securities Exchange Commission. The big trading firms get to see your bids and asks before they are posted. Why? I emailed them. ""It's not their responsibility"". I know they get to see the bids and asks before the exchange posts them. I was told by a programmer about that. And I see it when I put in a bid or ask. ""Someone"" jumps in front of my trade. Bullsheet, let them get in line. They can jump behind my bid or ask. They call it ""high frequency trading"". I would like to see a $100 billion lawsuit, taking back some of the money they stole, which is probably a lot more than that. It's like the Government is helping them steal. It has been going on since 1999 at least. That's a lot of money to stolen.just my opinion, check the data yourself",0.9782
1470,"We need a $10.00 up day, today!",0.384
1471,"NFLX 2010-2018 compared to Cisco 1992-2000. But this time it is different, right?http://oi68.tinypic.com/j8d3sk.jpg",0.0131
1472,"welcome to the party. Your a bit late, but its time to get this party started.",0.7576
1473,"Bought 250 shares in the morning open, gaining quite a bit already, hoping to see $400 back this week.",0.8013
1474,Where are the analysts with their $500 price targets today???,0.3111
1475,"The way they switch the algos is just unreal, The correlations are changed to capture liquidity on both sides, someone is printing money off of the put buyers...",0.2129
1476,ouch,-0.5371
1477,"NFLX was up 40,000% since 2002.IQ is up 100% since it’s IPO March 29, 2018 as a spin-off of the Internet search engine Baidu.Move to IQ.",0.8224
1478,"RED LIGHT HOLLAND CSE.TRIP, thank me later",0.3795
1479,I sell short today,-0.3774
1480,I’m ALL IN! Good luck all!,0.5724
1481,"How come Netflix is down? Their earnings will be great due CV situation. Every family on the planet is now Netflix & chillin. Millions of kids watching Netflix becouse their school is closed. Companies like Tesla will loose, there is literally nobody buying Tesla car. Market is losing due panic, but after CV panic end forever there will be great earnings for Netflix and really bad for Tesla. I took them only as example. Don’t invest in stocks that will crash after their earnings.$TSLA$NFLX",0.0685
1482,"This stick has been a joke for years, not even worth $100. Disney would never pay more than $50 a share in an acquisition, and even that's a lot now that it isn't growing. They should wait for $20 a share",0.812
1483,Drops like a rock despite being more popular in the UK. Even families that have no money to go on vacation due to the market crash are likely to keep their Netflix subscription than even cable...,0.7849
1484,A lot of time I feel like I am all powerful and only I can save the market.How? I simply sell my shares. And stock is guaranteed to instantly go up after that.,0.9198
1485,going to 300 tommorow,-0.1241
1486,"Bottom here, never will you see this price again",-0.1088
1487,After earnings report yesterday they already got around 40.000 new paying members!,0.3582
1488,Will Netflix or HBO ($T) get more subscribers next quarter? Thumbs UP for Net Flix and Thumbs down for HBO......While I like NetFlix I actually believe that HBO will outperform on basis of their direct to streaming content strategy........,0.3955
1489,Netflix rules Jump on folks,0.2572
1490,"If NFLX goes below $300.00Opportunity to Buy, Buy, Buy",0.1984
1491,"With so many of their programs trans-homosexual themed, not many can relate. Not interested.",0.6547
1492,it the same trading pattern every quarter which usually take a few days to truly pop. should be over 600 by mid week next week. just watch.,0.6991
1493,3 million shares in 45 minutes. That is heavy volume,0.1898
1494,It is hard to believe that someone is still buying WORTHLESS $NFLX Netflix shares in this MEGA BUBBLE!,-0.5516
1495,glad did not sell my 1100 shares b4 earning,0.6973
1496,Anyone else hate this new Yahoo format. Whoever made this decision should be fired. Awful.,-0.8102
1497,"revenue greew 32.4% from Dec 2016 to Dec 2017the forward PE is 75; half of that is 37.5I feel the forward PE (which may be fairy tale) is two times too high for a 32% revenue growth rateAnd that ignores some important points:interest rates are going uptariffs will put pressure in NFLX trying to grow in the worldthe balance sheet; see the net assetts running out of controlgrowth slowscompetition is real and more of itgrowth tends to normalizerevenue growth will sloworiginal content is great, but the long term debt has grown in a major waythe stock price (manipulated, it seems to me) helps them look good. But what if it were trading at a more fair value like $130 per share or maybe a quarter of where it is, under $80then the market cap would be around $32B and their debt would ratio would be substantially more as a percentage. I'm saying the debt doesn't look as bad as it really is, since the price has been pushed to the moon. Time for a major correction in NFLXMaybe AMZN will join it.OF the FANGs, I feel Apple and NVDA are not so high in terms of their PEs.",0.98
1498,Did you guys find odd that Eric Sheridan was the only analyst asking questions during the EQ after his staged upgrade a week ago?,-0.1597
1499,Red Monday too...count on it.,-0.2324
1500,You guys were right! 280! ,0.2109
1501,I’m buying more more MORE I LOVE NETFLIX,0.7925
1502,Apple not buying....I know there has been speculation they might.,0.5336
1503,Thankful the markets are closed. Happy Thanksgiving everyone :),0.8862
1504,Hi traders I own 10 shares at 332 should I hold king or take profit,0.6846
1505,Fed Raises Interest Rates and Signals Additional Increase in 2018... Sell,0.6194
1506,I wish i had bought this stock back in jan,0.6364
1507,I love Netflix never had a problem with them.,0.4195
1508,Every time we clear 370 massive selling comes in. Have to take out the seller and close over 375. I wouldn’t be surprise if we make another run today and/or tomorrow.,0.7658
1509,Still no buying offers at $450.00.,0.0101
1510,"Haven’t been this high in two and half months. Let’s rally into the earnings. Not making a prediction, but the momentum that this stock is capable of, wouldn’t be surprised if it’s over $400 again going into the report",0.8205
1511,"NETFLIX MISSES ON EARNINGS: REV IS DOWN 40% , EPS IS DOWN 80%!",-0.4783
1512,Sell side analysts are forecasting this company will generate $5 billion in free cash flow by 2023. It will never happen.,0.3336
1513,Why in the hell they have Just PUMPED $NFLX BUBBLE by $10 Per share in 7 seconds???How the hell is that possible????,-0.8892
1514,"An article will appear in 2028 July 15th on CNBC, it would say - do you know how much you would have made, had you invested 2000 $ in nflx 10 years ago?. And the article will conclude that you would have made 100k",0.821
1515,"if it turns green today, that will be a big plus.",0.5306
1516,"Would be nice to see NFLX punch pass the 52 week high. I’m liking my ‘NAN’ stocks (NVDA, AMZN, NFLX) a lot. Long term buy and hold, true legacy stocks.",0.9321
1517,The negative ripple effects from NFLX to my healthy tech positions Rob Arnott is predicting seems unfair to us real investors,-0.8173
1518,netflix has a stockpile of cash in hand they cannot lose. if they see a decrease in income they can reduce the number of shows they produce and save millions. the big funds manipulate this stock with news but long run it's gonna be a great stock. if there's no minus in front if eps it's a winner,0.9719
1519,"I think today I have been convinced that we are going back to 350. This is just a slow drip at this point. All of us in above 400 will have the problem of people selling when they make a good profit. This have us locked in for while. I don't think I will hold through another ER report again, not worth the risk.",0.9127
1520,Amazing day- where all others are deep red or flat NFLX gains ~4%,0.5454
1521,My tech portfolio hasn’t suffered like this since 2008 crash.,-0.3534
1522,Going up due to more lockdowns being initiated around the world. Netflix is the King.,0.044
1523,Thumbs up who thinks this stock will skyrocket after earnings!,0.7531
1524,Netflix's 'Dark Crystal' series adds Sigourney Weaver and more big nameshttps://www.engadget.com/2019/06/26/netflix-dark-crystal-prequel-series-sigourney-weaver-lena-headey-age-of-resistance/,-0.4156
1525,Why are we crashing,0.0694
1526,Nice to see this finally having a decent day. Hopefully Amazon will be next. I did sell some more nflx because I just don’t trust the market right now. Will keep a core position.,0.9249
1527,Bought a few shares in AH yesterday at 345 and change. Just sold for 379 and change. Not a bad percentage gain for an 18 hour hold (I'm here to tell ya)!!!,0.7562
1528,"Shorts are in big trouble tomorrow, 52 week high by Friday. $537 now.",0.1171
1529,volume is shot. largest open contracts again point to 550 strike for friday. VIX is poking it's head out. Exit now and enter back in 1-2 weeks later and catch the bounce look for as close to 500 but 520's might also be decent entry,0.578
1530,Today’s note from Goldman Sachs should provide a boost today. Would be nice to finally see $390+,0.7647
1531,Holy had to triple check,0.3354
1532,this is gonna drop imo,-0.2238
1533,Lol. UBS.,0.4215
1534,https://smallcapsdaily.com/lobe-sciences-a-hidden-gem-in-the-psychedelics-research-space/,0.0
1535,Was a fake pump premarket and that squeezed shorts. No one is buying at these levels. Need to go to 500 to make it attractive.,0.2775
1536,"going back to 2015, this is what Netflix has done the day AFTER it goes up at least 6%Total, PCT AND LOWJan 22 2015 2.74 4.68% -0.64April 17 2015 1.36 1.69% -0.58July 17 2015 -1.04 -0.90% -1.57Aug 5 2015 2.56 2.11% 1.56Aug 27 2015 7.53 6.84% 2.89Aug 28 2015 -0.03 -0.03% -1.78Oct 9 2015 -1.60 -1.39% -2.49Nov 17 2015 5.75 5.16% 0.35Jan 7 2016 -3.12 -2.65% -5.39Feb 18 2016 -4.27 -4.51% -4.45Oct 19 2016 3.08 2.59% -0.79July 19 2017 0.26 0.14% -1.85Jan 24 2018 11.01 4.40% -0.98March 27 2018 -19.66 -6.14% -23.35April 18 2018 -1.54 -0.46% -4.96Nov 29 2018 6.10 2.16% -7.15Dec 27 2018 1.90 0.75% -13.57",0.2699
1537,https://finance.yahoo.com/news/netflix-q4-earnings-2020-171259535.html?.tsrc=fin-notif,0.0
1538,Boston Wealth said sell NFLX on Disneys Breathtaking report,0.8025
1539,"This company is in so much trouble. They badly need a new CEO. The current guy has no clue how to run a company when there is actual competition. Netflix has been making the service and shows worse while hiking the prices. It's like they've taken a page right out of big cable cos playbook. And how is that working for them? I figured Netflix would start losing US subscribers, but I didn't think it would happen immediately.And after a disastrous quarter, the CEO blames analysts for bad projections? So it is good to be losing US subscribers? Face it, the CEO is doing absolutely everything wrong. He wanted to be the new cable tv and a one-stop shop for everyone. People don't want that? Until the competition got going, everything was easy for Netflix. The CEO couldn't do anything wrong if he tried. Now it is clear, he has no clue and has to go immediately.",-0.9139
1540,Folks it’s only 3 percent relax,0.5866
1541,I sold couple 340 call yesterday (I have order at 2.5 and gone out and find out later yesterday that it was executed).I think this is inflated stock and clearly used by manipulator. Yesterday move is proof. sudden 4% gain for no reason. I think eventually this will go very bad way as no fundamental justify such valuation.,0.7471
1542,"Covid ain't gone hang tight, no volume in after hours might not even be a drop those are all neat numbers missed per share but still great numbers q3 is where it's playing for 600+",0.8462
1543,"Be honest, who bought NFLX @ $593?",0.5366
1544,Bring on the upgrades!,0.0768
1545,Like I said yesterday...expect more selling.,0.3368
1546,"In at 387.00 for 15 shares and a quick trade. Have a sell at 415. Not a lot, but no one got poor taking profits.",0.143
1547,Mission accomplished..,0.0016
1548,"Remember last quarter they lowered the guidance... So,, this quarter is less pressure... They can easily beat estimates... BUY NOW",0.7481
1549,"Netflix is going to hit 550 by the end of the day, wait for the massive surge of dip buyers today.",0.564
1550,"Dropping fast, oh wait no it isn’t, lol Sorry Shorts",0.233
1551,NFLX great company. we will be seeing $360 soon.,0.6253
1552,"Netflix after the close, heading to $400 by weeks end",-0.1745
1553,RBC says NFLX will double and the stock takes a tumble. OMG hahahaha,-0.0124
1554,so are they posting at 12:05 or after the bell? Yahoo says 12:05 and an article on e trade says after the bell.,0.3443
1555,"""So much value here. $NFLX is $540 with 240b market cap.CIDM is below $2 with less than 300m market cap. I don't think $NFLX is even close to 1000 times better than $CIDM. Highly undervalued! Do your down DD and get in ASAP. Easy 10x"" -Stockwits post",0.6458
1556,nflx is the only stock that makes me feeling confidence to hold long term short. its incomes are not cover expenses for contents,0.6876
1557,wow was up 7 bucks next second down 7,0.5658
1558,Been a long day....,0.447
1559,"""SMASHES EARNINGS""",0.0824
1560,COVERED CALL LADY - BOT 100 SHARES at 305 + change. Sold call expires Fri. Got in 1400 + change right into my account. Love it! Don'care if it goes up or down - that's the nature of momentum stocks. Take money when u can,0.9087
1561,"""No good deed goes unpunished."" NFLX asks dormant accounts if they still want to subscribe and stock takes a haircut. Of course at current valuations, it doesn't take much to spark a drop in price.",0.2746
1562,"Shorts have taken this stock to 410+ last year, this year the pattern is repeating",0.2033
1563,Going to test 350$ tomorrow for sure!,0.2816
1564,Nobody is going to cancel there Netflix. Only source of entertainment at home. It will be the LAST thing people drop. Skip 1-2 meals over the whole month or cancel my Netflix? Hmmmm. And who could afford to sign up for Disney and keep their Netflix account. Wow a while $16 a month. Those people must be rich LOL GO NFLX,0.9419
1565,With all the suspense over subscriber growth heading into the ER we know it's by far the most important thing for Netflix. Then it also has to be the most important thing for Netflix's competitors. Netflix competitors don't have that much subscriber growth. So if Netflix adds 1 or 2 million more subscribers than expected then it makes sense the stock can gap up 10-20% and trade at a new all time high price to sales ratio because there are no competitors that are doing the same.,0.9187
1566,Stiflel announced price target 390. Analyst said - Comcast is a very well-run company but face is ongoing challenges in a rapidly changing video landscape. Netflix on the other hand is also a well-run company but without the burden of a legacy business to protect. ￼,0.6777
1567,This market wants to rip 12% higher...... Netflix will lead the charge.,0.3177
1568,This Thursday Netflix is expected to report subscribers grew 25% for a 3rd year in row.,0.163
1569,Another over priced turd to short into the dirt.,-0.8241
1570,"Netflix has huge upside, I won't be surprised if it closes over 450 by the end of next week.",0.3263
1571,"So, it's just as likely NFLX reports a blowout quarter that gives one more boost to the share price going into the 2019. It all depends on their guidance, and how open they plan to be. Apple got hit in January when they guided down but the stock has since recovered 80% from the pre-announcement price (155 vs 158). So, maybe NFLX thinks they can guide people to the punch bowl for a bit longer before the reality sets in.",0.8398
1572,MM won't let it go higher today because of calls sold. Next week it goes higher again and calls will be sold for end of week. 520-530 possible next week.,0.5572
1573,Glad I cancelled my account ...,0.2277
1574,paying at most 50 pe...for a company that will find out how much more it can raise prices...while growing subs....yeehaw. Z,0.4995
1575,most risk to short,-0.6456
1576,I got those $420 and $430 calls for super cheap... TY SHORTS ,0.8692
1577,they try to keep it down for options?,-0.001
1578,Analysts have the earnings estimate set too high for a beat. This is going to be similar to Costco’s earnings with an outrageously “unbeatable” earnings.I like to stay bullish but will play PUTS on this one.,0.833
1579,Like watching a ball stop mid-air; what’s next?,0.1237
1580,Only question now is does this run into the close. Why not. Finish 210.75. Next week hits 220 and 230 before ER. If that is good it's 250 by end of January.,0.766
1581,"NFLX WILL DROP BIG BY THE END OF DAY. Quiet selling going on, high volume is telling it, but No ""anals"" want to discusing about it.NFLX is falling today because comcast just conform that they are dropping bidding for Fox asset. https://finance.yahoo.com/m/ac951e65-52bf-39be-a7b9-c2f642c5035d/%5B%24%24%5D-comcast-drops-bid-for.html",0.7676
1582,https://www.barrons.com/articles/3-reasons-netflix-stock-can-still-grow-a-lot-according-to-goldman-sachs-1538497554?refsec=technology,0.0
1583,You knew that when this stock was holding strong on down market days that it could explode higher with up markets. Such is the case. Love that NLFX hanged tough on down markets.,0.9392
1584,"Up 10 , 15, or 20 after the bell?",0.0857
1585,We are up almost as much as $NFLX,0.2861
1586,"Here is CISCO earning result in 2000. Remember Cisco is very successful company but in 2000 it reach more than half trillion valuation. if you look into earning and growth, it seems nothing can stop Cisco. All know what happen afterward. Chart are very similar and so this might peak for netflix.https://s2.q4cdn.com/230918913/files/doc_financials/annual/2000/is2000_081604.xls",0.7809
1587,"Hey all you pessimists out there: nothing goes straight up and long term investors in nflx will do well indeed.A good business model, innovative team and good leadership will prevail despite the increased competition. Remember that nflx has evolved from a mail order business into a streaming behemoth? That should give you pessimists some pause and stop the selling nonsense and frenzy. Also, one quarter does not a trend maje.",0.9702
1588,OH BABY ITS SHOWTIME,0.2709
1589,Fundamentals and technicals lining up. First target 700 early next year and then 1000 by year end. After disrupting film and TV industry they won’t wallow in their glory. They will finish the job and take over. Perfect rounding bottom on the 6 month chart.,0.8203
1590,"Using Day Trader Josh's swing trading system, the 328.00 support on daily chart ( low on 7/31/18), its holding above here for 9 days. One of Josh's rules for an established swing level requires a 10 day hold above/below a support/Resistance, this means that going LONG here above 328 is very risky for SWINGS. Especially when market is at all-time highs and due for sharp NATURAL pullback. Investors dont worry, just hold...but swing traders, wait for 228 to break (or come close, below 330) before getting back in this beast. Now, if NFLX does NOT go back down, then we will just wait for higher resistance swing levels, and start our shorts again for quick 5-10 pullbacks. Again, we DO NOT guess direction, we instead wait patiently on sidelines till price comes to us. Way less stress and we ALWAYS get a damn good entry with this strategy. But there is far more to Day Trader Josh's strategy then what I just mapped out here. But at least you get the framework. Essentially, we are counter-trend trading, for quick (1 to 5 day) profits off the reversals in price. Although, in key situations (like earnings) we get far more then 10 points on NFLX, both LONG&SHORT.",0.9893
1591,"Down 25% since it's high, time to buy?",0.1968
1592,don't worry it's headed for 250 just after the split,0.485
1593,Still good value at $1000 a subscriber- I remember cable companies trading at $4000 in the 90s. Early days of Streaming.,0.5583
1594,soros made 2 Billion shorting this,0.0102
1595,OTM complaint public notice 21/01/2021 2nd log entry,-0.4073
1596,How is $NFLX related to Nvidia?,-0.0339
