,Recent headlines and conversations for CI,Polarity
233,"OK, who let the air out of the balloon?",0.5319
234,Caught the wave Friday and again today .,-0.262
235,Opened positions today near the low. Expect a small bounce tomorrow,-0.0361
236,double top... don't look good technically especially if yhe whole market takes a dump,-0.2735
237,How will Kamala Harris pick affect CI and UNH...?,0.1705
238,"I can only smile, not ones twice a drop in a glory day",0.6663
239,broke support... not good,0.0742
240,This should be up a LOT more than it is - and I’m not sure why it is fading as day goes along.,0.2345
241,"170... haven't seen that in a few weeks. negative news today. earnings in 3 weeks, hope it's institution in the know early buys",0.2416
242,Well. this is certainly a revolting development.,0.5949
243,And again !! ,0.2025
244,why did this stock drop so hard today?,-0.051
245,"If CI gets a multiple comparable to UNH, ANTM, HUM, stock price is over $230.",0.1609
246,"I have an unrivaled disdain for Zacks, but did find something interesting in their release this morning: “CIGNA intends to serve 50% of Medicare eligibles by 2025”.This would be through their ever expanding Medicare Advantage Med D initiatives.Incredible opportunity to boost revenue",0.9159
247,"JUST HOLD YOUR BREATHE, this stock will hit 175-178 by tomorrow when ANTM reports earnings tomorrow morning. On Oct 31, 6:00 am. CI will light up July 4th , FIREWORK. I see 185-195.",0.7777
248,"Good job, Cordani! Keep it up......",0.5769
249,Tanking huge this morning - why???,-0.315
250,"For whatever reason this went down below 200 after earnings before fighting its way back up. The earnings were good. then on bloody friday it only loses .55 cents.. Im in and the selloff on fear about Amazon, Berkshire and Chase looking into healthcare is overblown. This will be back to 220+ where it was in less than 2 weeks..",-0.1946
251,"Cigna is one of the 10th most hated companies in America. Still think it’s a good investment? =========""[T]he most evil corporation on earth""?That might be a *tad* hyperbolic.America's Most Hated Companies (USA Today, 2/1/18)1) Equifax2) Fox Ent.3) NFL4) Univ. of Phoenix5) EA6) Foxconn7) Sprint8) Vice Media9) Spirit Airlines10) Cigna11) Wells Fargo12) Trump Org.",-0.6516
252,"JESUS! Even if Warren is up in the polls, no way they do it without private carriers...this makes no sense.",-0.2247
253,Fools selling when this can go to $220 easily. Hold on longs,-0.1344
254,dis we see the low at 160?,-0.2697
255,And yet it falls again........nothing short of a ,-0.4813
256,"When this stops dropping, I’m going to back up the truck!",0.5094
257,No end to embarrassing when it comes to this pathetic company. CEO is a joke and the Board is weak. Joke of Wall Street !!,-0.7379
258,Trump admin plan to force healthcare professionals and insurers to disclose contracted rates. Insurance companies’ stocks go up? Seems counterintuitive but the money manager obviously like it lol,0.8011
259,What the hey happened in the last half hour of trading—-?,0.2051
260,Cigna’s results and guidance were better than Humana’s ( which were arguably great too) but we’ve yet to see these two stocks react fully to the guidance .,0.6731
261,Boy Howdy!,0.3589
262,its about the pbm its a criminal enterprise,-0.4384
263,Nice move up today !! This stock is still greatly undervalued !!,0.8081
264,"Just buy undervalue stock like CI. It is not smart to buy high valuation stock at this environment, and CI is the best candidate because ESPX will lift CI higher next week.",0.9659
265,"@cigna is forcing its customers to go through via Delarosa when they file claims hoping they will eventually give up. I had several conversations with representatives and they told me it’s the policy of the company. No wonder @cigna is one of most hated companies by both customers and employees and doomed to go down, just like Comcast",-0.5989
266,"Go baby, go!",0.3147
267,And the fall continues.,-0.2286
268,"Decent set of results, easily beating estimates",0.1242
269,"Amazon entering into the PBM space is causing this knee-jerk price reversal. If you read the fine print, CIGNA is administering the “pharmacist available 24/7” part of the program, and should snap back green once someone realizes this",0.6543
270,Buy WTW IS GOING UP,0.4566
271,Who's buying now.,0.2963
272,"Man upside of 15%, 200 target... Easy money. Buy Buy Buy",0.7825
273,Bernie blabbering as usual,0.1688
274,Pathetic DOG continues !!!!,-0.604
275,180 by the end of week,-0.008
276,Carl wants CI investors to stop their long term growth plans for the combing of CI and ESRX so that he might take a short term gain on his newly acquired CI holding. This is really pathetic.,0.6203
277,Who thinks Cigna $CI is fair value right now? https://simplywall.st/NYSE:CI/cigna,0.5987
278,"And just like that, for no particular reason, the company was worth 30% less than it was on Monday.",0.3895
279,It is trading at only 12 times estimated 2018 earningsIt can run up to $200 per share in the next few months I am buyer,0.6157
280,Had to get in at this level. Can’t see much more of a downside with the latest earnings report as well as the P/E ratio.,0.3557
281,Dow up 400 pts. This dog DOWN again. No end to pathetic !!!!,-0.8311
282,Cigna has now backfilled Monday’s gap up - consolidated base - ready to run again !!,0.8737
283,Free fall...wheres the bottom? RSI is 19!,0.7342
284,"Just found out Oscar Health, who Cigna just tied up with, just raised 225m. Total dumb move not buying them before.",0.6138
285,"Medicare for all????? Who is gonna pay for it? No one, and that is why it is toast. Back to $200 soon",-0.7105
286,CI reached a new All Time High at 220.31,0.3954
287,No China here...and no acts of Congress either! Where you at??,-0.4724
288,CI is trading on its own and don't followed the overall markets because it is in oversold condition.,0.1692
289,Hang on and add more if you can afford. Only reason for this drop is fear. Nothing company related.,0.1314
290,next stop 170+,-0.3031
291,It just recovered most of its losses from last week non-sense drop!,-0.5184
292,looks like breaking out !,0.3343
293,Accidentally deleted my post of last night while re reading it . Egg on face time . Will see what CC sounds like .,0.2777
294,Well this is the only hmo that’s breaking out. Weird since this stock isn’t anything special,0.6738
295,"Stuck between 170 and 220 for past 3 years, ridiculous",-0.4786
296,"First time user in this web site. Did the Cigna and Express Scripts merger payout to existing ESI shareholders? The IRS reported a 1099-B from Cigna with income. But, I don't know any ESI stock. Thanks!",0.827
297,So 20K shares this morning takes the sp down $3.00What’s that about?,0.0932
298,No end to the disgrace when it comes to this pathetic company. CEO and Board should be in a prison cell. The CEO should be shown the door immediately for the massive amount of shareholder destruction!!,-0.9158
299,"Ok , the bottom is is. Up from here.",0.2742
300,Down 4 points on 74K shares... that makes sense—not.,-0.2155
301,Will buy back on a bad day! Glta,-0.1574
302,"Mostly the machine works today, this is the reason CI is down 5 %, health care sector is dumped with the tech. Buy I still believe that health care sector is the best, get impact from the virus very little.We will see how low CI can go this week. I believe it is set up work by some hedge funds that want to buy CI at discount price.",0.9441
303,"Unbelievable for CI this morning, It can not move up over 200, even though its peers going up like crazy. UNH, ANTM, and HUM keep going up even though the index is down. I will not let go if CI don't touch 205.",0.7053
304,the waiting is the hardest part https://finance.yahoo.com/news/ruling-anthem-cigna-merger-won-213000768.html,-0.0067
305,"Thanks all the market makers today to pull down CI over 1.70 points this morning, let me make some bucks.",0.4838
306,"Beware of the LTD LIfe Insurance transaction with New York Life. Its small but they need the cash for stock repurchase. I am a seasoned executive of 20 plus years. After 2 years of LTD coverage by Cigna for brain trauma from a vehicle accident, my claim was denied in December 2019. My claim has documents from top neurologists, Neuro Ophthalmologists, A Cigna ordered IME in 2019 that fully supported my claim. SSA assessment fully supporting my claim. A brain MRI measuring the damage. A claim manager systematically removed all medical documents through multiple fraudulent activities. Then stated that Cigna didn't understand my condition so I am denied. (can't make this stuff up) I sent a letter to the ethics team and to the CEO. I received a response that they would investigate and get back to me by Feb. 10th. Didn't happen. I have been working on the appeal and have worked through 1200 pages of documents. What I found: Dr. Teitel found no impairments of cognition, sight, hearing. This Cigna Doctor had a Neuro Ophthalmology report showing visual processing damage from the Mayo Clinic in his hands. The date of the document: December 2019. My case is valued at approximately $1.5 million if I don't recover. The denial: December 2019. The assessed value for the transaction with New York Life: December 2019. The implications could be huge. I am just one claimant. How many other high value claims were denied using various methods that are at best, not aligned with Insurance Law and the Regulatory Settlement? The way my file was handled makes Jeffrey Skilling look like a good honest businessman. I cannot say if there is debt hidden for the upcoming transaction, I will say that statistically, if I am the only claimant of high value that was denied using an evaluation by a clerk of my medical records, it would be an anomaly that will rank in the top 10 all time. I know most here are looking to buy or sell Cigna stock and hopefully watch the stock price climb. I wish you the best. I use United Health Care for all other medical. They operate with integrity, have never attempted to fraudulently deny a procedure, and never overcharge. UHC crushes Cigna in revenue, profit and flow through. Cigna is no threat to them. My projection is that Cigna will collapse without leaders who value integrity. A solid audit of Cigna's projections, debt, processes, etc has the possibility of bringing the company to its knees at any time. My stock purchase money would go to United Health Care. Without question, better leaders, better support team, better training. They have the power to eliminate Cigna or buy them for 1 times revenues after Cigna leadership destroys value. like New York Life just did with the LTD group. One final note: In the last two months Cigna has made the World News for fraudulent or questionable decisions. Making the world news once in a 10 year run for this type of activity is bad. Two stories in two weeks regarding Cigna should be enough to scare any investor away. If there are other LTD claimants out there with similar stories, please share with potential investors.",0.9995
307,Who would want to owner of an insurance co. That covers a single payers system. All risk and little upside. Our government will attempt to screw up health insurance once again.,0.1817
308,Trade the Amazon Healthcare overreaction and play the reversal. https://medium.com/@easystreetfinance/trade-the-amazon-healthcare-overreaction-522c4f576c8e,0.5453
309,"Just few weeks ago CI was trading in $134+We should get back to $145 levels, there is lot of demand for the shares, don't sell at these ridiculous levels folks.Sentiment: Ultra Strong Buy",0.7572
310,"The short term chart looks favorable for CI. It is triangle, around 200+, which I think it should hit the bull eyes by earnings report date. The great part of CI is great growth rate for the next three years with low PE around 10. Health care and biopharma. sector are the only two sector that has bright future. So i think CI is the best candidate, low PE, best growth rate even better than UNH. ROE is among the best. I think CI is the low risk bet in the health care sector.",0.9922
311,"A quick sanity check on the “Medicare for All” overhang and why it’s overdone Industry Overview Equity | 01 March 2019 10 reasons why MFA has little chance of passing On Tuesday, Congress released a “Medicare for All” proposal that would completely replace the current managed care model by moving everyone to the traditional Medicare program. Although this has hurt multiples for the managed care sector, we essentially see this as an issue of headline risk with very little chance of implementation. We do expect Democrats to work towards coverage expansion, but a more likely scenario is shoring up the ACA (a clear positive for healthcare). Although we have been highlighting headline risk as the biggest risk for Managed Care Organizations (MCOs) this year, in our view valuations are overly discounting a very low likelihood event (CI is trading at 8.5x 2021 guide). Below we highlight 10 points on the “Medicare for All” (MFA) bill and why we see little chance of the bill being passed in the next 5 years. 1. There are 107 co-sponsors of this bill, underscoring the importance of the issue. However, this is below the 124 people who co-sponsored a similar bill last year. 2. There are few details on how this would work and no details on how it will be funded. Cost has sunk every such provision in the past and we think is likely the biggest roadblock this time. 3. The current Medicare program is expected to go bankrupt in 7 years. This program would cover more things than Medicare – vision, dental, hearing, LT care, have no premiums, copays or deductible and all providers will be in-network. 4. We estimate paying hospitals Medicare rates would bankrupt the industry. The Center for American Progress estimates that hospitals need to be paid 20% more than the Medicare rate and doctors need to be paid 10% more to make those businesses viable – which would make it even more difficult to finance. 5. Few (if any) industries are likely to support this proposal – beyond eliminating MCOs, it would eliminate all for-profit HC providers (hospitals, nursing homes, etc) and Medicare would negotiate drug pricing. We expect significant lobbying against this bill. 6. Simplistic view is that Dems say we don’t need managed care. Factual evidence indicates the government can’t manage utilization and MCOs must play a role. 7. Medicaid MCOs manage 51% of Medicaid spending (vs 26% 10 yrs ago) and save states 10-15% and improve quality. Dem and Republican states have moved to MCOs. 8. Medicare Advantage (MA) covers 35% of seniors (up from 25% 10 yrs ago despite rate cuts) as it is able to provide better benefits than Medicare for the same price. 9. The stars have to align. We think Dems would need to win the Presidency and the Senate (likely a large majority) to pass the bill. The President would need to make “Medicare for All” the key initiative for the agenda. 10. But even that is no guarantee - Trump failed to repeal the ACA despite controlling the House (large majority) and the Senate (52 seats). Obama almost failed to pass the Affordable Care Act (ACA) (a much less aggressive plan) despite controlling the House (large majority) and the Senate (60 seats). What gets the group working? Beats and raises We forecast average annual EPS growth of 14% across the large cap MCOs over the next 3 years, and we see upside for all of them. We expect strong Q1 beats and raises, positive tone at Investor Days and regulatory clarity in May on the rebate rule (likely including a delayed implementation) which should help multiples. CI (top pick), trades at only 8.5x 2021 guidance, despite what we see as multiple levers to drive upside. United States HC Facilities and Managed Care Kevin Fischbeck, CFA Research Analyst MLPF&S +1 646 855 5948 kevin.fischbeck@baml.com Joanna Gajuk Research Analyst MLPF&S +1 646 855 3961 joanna.gajuk@baml.com Catherine Anderson Research Analyst MLPF&S +1 646 855 4345 catherine.h.anderson@baml.com Bradley Bowers Research Analyst MLPF&S +1 646 855 4854 bbowers@baml.com Adam Ron Research Analyst MLPF&S +1 646 743 2020 adam.ron@baml.com Timestamp: 01 March 2019 12:09AM ESTW 2 Health Care Facilities & Managed Care | 01 March 2019 Price objective basis & risk CIGNA Corp (CI; B-1-7; $174.44) Our $258 PO is based on 15.8x our 2019 EPS estimate and represents a premium to its five-year average of 14x which we view as appropriate given our outlook for an improving core business. Risks to our PO are: deal integration risks, issues in the disability and life business, the company seeing higher than expected cost trend, and the potential impact of future regulatory changes. Analyst Certification I, Kevin Fischbeck, CFA, hereby certify that the views expressed in this research report accurately reflect my personal views about the subject securities and issuers. I also certify that no part of my compensation was, is, or will be,",0.9985
312,"Has any of these talking heads and bloggers really looked at the deal with ExpressScripts? It's not that bad, I think folks are concentrating on the debt - which is actually ""book debt"" and is not owed real money (yet). I think folks have forgotten that Trump had a meeting with these guys last spring. ""Nothing"" came out of that meeting, but shortly thereafter you began to see a flurry of M&A deals, and companies repositioning under a new model. Don't kid yourself folks - last year they got a glimpse of what is coming, and they are all switching to the new model. I suspect that Gaul was divided into three parts, and Cigna is grabbing the third piece. And it will probably be good. Cigna is certainly a bit later to the party, but not the last one. Once the new health care stuff is revealed by the administration, folks will see how smart a move this was - not only for Cigna, but UHC, Amazon, etc.",0.9816
313,Great short squeeze article here about CI https://news.squeezereport.com/short-squeeze/cigna-corporation-nyse-ci-short-squeeze/,0.5782
314,"If the ANTM + CI deal goes through, Cigna will be trading around $190+, an easy $50 gain per share.",0.836
315,Last thought on CI today: Their earnings are up 8% ttm and there's about 5% less shares in existence than there were a year ago. Mid-February last year their shares were going for around $220. I feel good about where Cigna is right now and my investment.,0.8827
316,glad I sold the other day @195. I will buy back if it breaks below $180. Bought last time when it crashed to $172.This is a good company but at this time it is going to get attacked by both sides. Probably starting tonight with the stat of the union speech. Let it drop then jump back in after all the noise goes away like it always does.,0.047
317,"shh don't say anything, they will bring it lower",-0.4555
318,pop monday,0.0698
319,"Wow simply amazing. Very strong earnings beat, raises outlook and the stock getting creamed. There must be some underlying bad news which I have not heard of at all.",0.9034
320,This stock is tanking as if it is going bankrupt! Hard to watch!,-0.7363
321,What am I missing? To me this earnings report was great and the only reason it is dropping is because it barely missed analysts' predictions. $11.45 net income before reporting the buybacks is a great quarter and almost half the year's earnings. I see this as nothing but a positive but I'm here to listen to opposing perspectives.,0.8743
322,Cigna moving higher into new territory . Looking strong .,0.7715
323,Praying for 180.00 so I can wash my hands of this DOG !!,0.6445
324,Cigna is joining the woke mob. They will come back to destroy this company whose only principle is to enrich itself. Sell the stock before Bernie and AOC nationalize this scam.,-0.7319
325,Good buy because UNH is still up there.,0.6877
326,Rah Rah Rah !!! Go Cigna Go !!Still room To run To $230’s range,0.4933
327,"Unconsious Bias ? Inclusive ? Hey Cigna, look at your management. Its 8 white guys, one black, and 1 white woman, and 1 black. Women are over 50% of the country. There are twice as many Latinos as Blacks. DOn't lecture people about bias when your management has 3 out of 11 non white non males, and no Latinos. YOU START WITH THE BOARD AND MANAGEMENT, THEN YOU GET YOUR EMPLOYEES IN LINE.",0.9206
328,"I have to give them the hand for the market makers that can control the price of CI this morning, because I don't believe that CI will go down to toilet like this in the first 20 minutes. The one that should go down this morning should be AAPL which will have bad earnings for this quarter and next quarter.",-0.0563
329,thank you Carl,0.5594
330,Cramer says its a buy at these levels. So do you Buy ,0.4162
331,I love to buy CI when it is in deep red.,0.5066
332,Congrats Longs ! You deserved this !,0.6567
333,I believe this is the bottom now. Just needs one good push up to break through 167.60 and it will start to retrace it’s losses.,-0.002
334,CI reached a 52 Week low at 140.35,-0.1464
335,Cigna is down 4.95% to 190.99,-0.2462
336,Such a disappointment,-0.4612
337,Cigna is down 5.00% to 203.45,-0.2462
338,Go baby go !!,0.377
339,I wonder if Express Scripts is even worth $6B. LMAO!!!! Bunch of imbeciles.,0.5422
340,The are playing and dancing to the limbo song---how low can you go! To low for the investors.,-0.5206
341,Wow! I didnt think CI would be affected by this (http://webstock.today),0.648
342,Floor?,-0.0123
343,Do you think this thing is done selling? Showing us a buy signal now on CI? if you guys have questions you should ask awesomeSTO-CKS. They often respond to my emails which is helpful.,0.6325
344,Told you folks $185 by thanksgiving. This is my most confident recent long purchase. Flawless financials. And WARREN doesn’t have a CHANCE.,0.9528
345,i got in and looking for a 180+ breakput within the next week. march 22,0.0197
346,This dog continues its downward track....... praying for $180 so I can wash my hands of this horrid company !,-0.5092
347,Hello,0.0093
348,Cigna is down 6.14% to 175.74,-0.2462
349,"Wow, that bounce did not take long....keep it going and pull ESRX with CI",0.6987
350,When the company gets TOO BIG IT MUST FALL -,0.1526
351,I told you 2 days ago,0.0875
352,AOC hates this company....until she is gone Cigna it's in  tank,-0.5668
353,"Mark this post. If you buy CI today you will be very handsomely rewarded. This is truly a over kill. There is noway Medicare for all is going to pass then all these insurance stocks will run. This is truly blood in the streets for these stocks. All had good earnings and good forward guidance. I am not saying it will start a run in the next week, but if you buy this today and put it away in a IRA you make better than 50% in the next couple years.",0.9667
354,"Time to buy CI when it is red. Just keep an eye on earnings report of UNH on Jan 15, if UNH has positive report as usual, UNH will lead the whole health care sector up. Then you can double down on CI.",0.9523
355,Entered at 158 a month ago; should have sold at 185; pathetic stock,-0.3643
356,why the sell off?,0.1175
357,Board and CEO remains silent as the stock craters.,0.5542
358,Looks like resistance @ 165 now.,0.3575
359,"Higher highs and higher lows, bottoming phase",0.4202
360,CI is down -6.15% to 182.31,-0.2462
361,"CI should go up to 177 this morning, which makes me confuse that how they can manage the buy ticket from 177. The volume is huge, let's see a few more hours.",0.6222
362,CI would have had an $11 EPS the previous quarter if not for the buybacks. The next quarter their predicted to report an $4.50 EPS. Cigna has not stopped making money this quarter. One thing they did stop was the buybacks. Sooooo.....,-0.0304
363,Cigna is up 4.94% to 183.47,0.1818
364,"cant stay green for one day, this is ridiculous",-0.1613
365,"Let me tell you the call 185 option July 19, is worth $ .75, What is going on?",0.5375
366,"Each CI share would be worth at least $180 after the merger, so buying now will fetch you a gain of at least $45 to $50 per share.",0.8714
367,"CI is very cheap and undervalue, Express Script and Medco that CI bought it last year are the biggest PBM in the US. PE is under 10 with dividends, I don't know why CI is so cheap. Is that possible that some one may make a move to consolidate by buying CI.",0.9562
368,Nothing like owning stock in a company trading at 52 week lows........ and it’s still falling. PATHETIC !!!!!!!,-0.4108
369,Screaming buy as it dips to $196 and change once again.,-0.0675
370,"Near support level, time to go UP again",0.7988
371,"Lower lows, lower highs, outperforms the market on down days and under performs the market on up days.Heads should be rolling.",-0.7628
372,Interesting little spike this morning....,0.493
373,"Hey Jeff Saik, y’all out there?",0.3478
374,Warren doesn’t have a CHANCE of winning. Ridiculous price here.,0.6457
375,$180.00 by Nov.,-0.0281
376,Waiting on a day where this hold is not EMBARRASSING !!!!,-0.6097
377,"@Chewdog : I think you once said - what a difference a week makes . Boy doesn’t it ! Looking at the other two big players that I watch ( Humana & United Health ) to gain some context - the sector now appears to be moving higher -together - with 2 of the 3 hitting fresh 52 week highs for the week , Humana trailing by only a small handful of points .Cigna has reached my initial target of $260 however fundamentals have turned more positive as well as the overall market .Guessing here that the entire sector moves 10% higher in the short term if the market stays green . That puts Cigna at $280-$290 . My revised target price is $300-$320 . Cigna has more ground to cover than the other two I watch as it’s stock price has been depressed . Could Cigna do a stock split ? A thought . The last one was in 2007 . But splits aren’t as popular now with BOD’s . I do think it would help the stock price if one were declared - but let’s not hold our breath waiting for it .Given the above .... I purchased a tranche of Cigna $262.50 calls before the close on Friday . It’s a simple gamble on Cigna as well as the rest of the group - moving 5-10% higher in the short term .",0.9907
378,A Screaming buy .,-0.2685
379,This is the worst stock to own that has great earnings. UNREAL!,0.5494
380,TJ you done broke the spell...,-0.3738
381,donde estoy los dividendos?,-0.1267
382,The market makers put the birth control on CI. How the premarket 177 cut down to 172 in less than hour and half.,-0.3294
383,"Best buy among the health care providers, I love to buy CI today because I know it will have the best earnings among the peers. It is help by Express Script.",0.9717
384,back in the green. Let's go!,0.1164
385,How can ci go up and down so much in one day? wow! is every thing corrupt.,0.6031
386,So frustrating,-0.4404
387,CI is up 4.90% to 191.91,0.1818
388,Bounced off the low so I’m hopeful,0.3015
389,Jump in while the train moving slower.,0.5347
390,Cigna is up 5.73% to 192.00,0.1818
391,When will people realize that employer provider insurance is better than government involvement?,0.5572
392,Now Cigna deal will go through easily as Aetna terminated Humana acquisition merger deal. With Cigna and Anthem merger we will still have 4 health care providers.,0.7767
393,they're going to be sorry they bought that pbm,-0.0324
394,Everything else being equal - this presently has a current PE of around 9 . That’s low making this cheap by way of earnings .,-0.0931
395,Health care employees are getting infected. What is going on?,0.1476
396,Cigna is up 4.91% to 175.17,0.1818
397,Green or red today?,-0.1401
398,"Embarrassing, CEO should be kicked to the curb !!",-0.2873
399,Calm before the storm?,0.4441
400,Well here we are . Again . Will this break out to new 52 week highs tomorrow or crash like a meteor ? Or not move at all on ER . Very hard to tell with this stocks ER history and with the market currently shrugging off some blockbuster results with a yawn .,0.9156
401,Cigna is down 5.06% to 187.76,-0.2462
402,I said $185 by EOY only 1 month ago! Might have to revise that upward. I’m back to even and ready for MORE GREEN. Drop was all driven by Warren and socialism fear. Now the street is realizing she has NO SHOT against our prez. #KAGA,0.6355
403,I'm getting dizzy,-0.2263
404,"CI is still undervalue at this price. Net earnings for this year is around $16 and up. ESPX helps CI big time for PBM, It is the biggest PBM in the world. Let's see when CI starts to cut the debt down next year after putting ESPX in line and run EXPX in the medical advantage. CI puts money in CHINA too which i believe it should work great for the next two years. I invest to see instant success not HOPE.",0.9788
405,when will shorts start covering in at 170 and can't even average out anymore fml,-0.1241
406,Up 5 bucks on 19K shares—-this is looking good going into earnings,0.6181
407,talking,0.2533
408,Ci partnering with Veterans Administration.,0.0477
409,CI is down 6.14% to 175.74,-0.2462
410,where are the short sellers on this stock!,-0.339
411,Cigna is no less evil than Modesto or Comcast. The CEO knows everyone is checking if he’s buying and generating an hype.,-0.7782
412,"I think if it drops enough,it’s going to be one of the best buying opportunities ever. This is just an opportunity.",0.9217
413,"Unbelievable for me that CI drops like a rock in the morning. At this moment, health care sector is the best sector and undervalue. Holy cow that CI has EXPX just last year and revenue will double this quarter can be trashed like this. I will keep buying UNH, CI, and CNC when they are in deep red.",0.9753
414,CI can easily afford to increase the quarterly dividend from $0.01 to $0.40.,0.7163
415,"Icahn didn’t want the merger to go through so Cigna would get bought out by Amazon and his share in Amazon would increase. Cigna is now likely too difficult to buy out so Amazon is building ground up with Pill Pack and other vertical integrations into healthcare. Cigna will drive more revenue with Express Scripts but they could have bought it for less with more patience. Cordani panicked because he didn’t want to be the next healthcare giant CEO bought out. Swedish was going to can him immediately if the Anthem merger went through, and he wasn’t waiting for another CEO to take his lunch.",0.9724
416,Is it time to buy now?,0.1819
417,this stock,0.2115
418,"I add some more of call Nov1, call 175, because I have confidence that CI will beat the estimate. I guess Jay Powell will cut the rate in order to hold the business to keep cranking.",0.837
419,Earnings due out on 2/6 will blow the top off this thing.IMO $220 is not out of the question,0.4343
420,here comes the tank... never fails this thing as zero momentum.,-0.449
421,"This would be funny if it wasn't so sad. First, CI is a pretty well company, look at the chart's history. Pretty steady rise. You may think Cordani is a fool and arrogant, but the chart speaks for itself. Prolly the same guys that call Trump a fool too. I don't care, he getting results. The nay-sayers say the stock price dropped because they announced the ESRX deal. Now they're saying it drops because the deal is going to be reviewed and may be shot down. You can't have it both ways! Whose the fool here?The reality is the ESRX deal is a must going forward. It's the new model. Yes, CI is late to the game - but the deal is not that bad. It can be good even. Cordani doesn't just throw a deal now - this deal has been studied, analyzed, and the numbers ran every which way. In the end, not Cordani, but the board wants to move forward after looking at the risk/reward. I don't think EVERYBODY on the board, all the accountants, lawyers, etc. are stupid. They know some we don't - prolly a lot. And remember they had private meetings with the WH that nobody knws what was said or agreed to. You have to believe they know something that makes this deal attractive.That being said, for whatevbThe nayserW",0.7775
422,>Bernie Sanders is boiling mad over health care insurance companies that he wants to eliminate as just another middlemen cost.,0.1804
423,"Don't let the market makers scare you, CI should be a big winner by Aug 1.",0.3422
424,Can I get a yeee-ha! Worth the wait!,0.4618
425,The shorts are running for the exit. Tomorrow morning by 6:30 am. CI will open the champagne for every body. I see CI over 195 because the LONGs particularly LEON WILL SQUEEZE THE SHORTS early in the morning.,0.0938
426,It’s was only going down because of technicals vs result. A reversal up is going to happen soon.,-0.1602
427,$66.00 off the 52 week high. Pathetic.... embarrassing !!,-0.2633
428,"Market makers on this stock suck big dooky, Talk about manipulation. wow",0.4605
429,Cigna just needs the market to nudge up 10-20-% to be back in the $220’s . The Company is doing everything right,0.2596
430,Folks you are looking at a gift here. Do not pass it up!,0.6623
431,Wow...thanks for the gift today. I'm jumping in tomorrow after market reacts to the 8:30 jobs report. Only one price target cut from what I could tell. From $228 to $210 at CFRA. Great one year upside from here.,0.9012
432,Healthcare is still struggling imo,0.0171
433,Anyone have an explanation for this?,0.0289
434,"this is stupid, just pathetic",-0.7645
435,"Rather than #$%$ and moaning, One should recognize a buying opportunity or an adding shares opportunity when it arises. Right here right now.",0.8744
436,"Some big boys bought over 1 million shares at the close, pushing the price up over 2 points.",0.4909
437,$5 swing range today. A savvy day trader could have made 6-7% on CI today.,0.2549
438,Who sold @ $186? It's a $200 stock....,0.0363
439,"If Joe Biden wins and I hope and pray he gets no where near the White House, managed care firms will benefit. I own Cigna , but in my wildest dreams never would vote for the demented man in the basement, so I guess I will be a winner when Trump wins and offset any loss in Cigna by being grateful Americans were smart enough to not elect this pitiful basement dweller who hides out because he makes so many gaffes and even liberal reporters with canned questions and ear plugs with messages cannot help him.",0.9813
440,Somebody knows something!,0.1249
441,Wow what a joke. Manipulation ar its best.,0.8497
442,"if it hits the pre-market high in regular trading today, I will sell half my position and pocket a nice chunk of change at $10 a share. Will cover half of my new boat. :)",0.9067
443,looks like breaking out,0.2691
444,"Why do they even bother with a dividend... really, one fith of one tenth of a point... I got in this from ESRX, did well on that, but a profit margin of less than 2%...",0.733
445,Well not today,0.3803
446,"To any former ESRX shareholders: have you received your funds and new CI shares yet? If so, when did you receive the. Thanks.",0.7502
447,TEVA rebounding from 52wk low today. Breaking into 14’s now! Get in while you can!,0.2658
448,"Watch CI to go up over 180 tomorrow morning because of the earnings beat the estimate. I don't need to be Einstein, CI gets help with the tax rate reduction, and help from ESPX to bring the revenue and windfall profit in. CI will be the health care stock that is cheap in ESP and revenue growth double.",0.9622
449,"It really gets me how this is such a big deal for Cigna and ESRX. but the media is saying ""What it means for Amazon. I am sick of hearing Amazon crammed down the throats of people every single day. Amazon is a cancer.",-0.6179
450,Warren and Sanders are going after the health insurance profits.,0.4895
451,2020 PE range of 8 to 9 . Cheap .,0.4882
452,The ER and guidance is outstanding . As a business Cigna is running on all cylinders . Forward PE is around 7x earnings . Fully valued this should be well over $200 no question about it . Buy & hold a good bet here .Trading it is much tougher .,0.9484
453,"Cigna needs a plan to consolidate resources with Express Scripts. Unfortunately, the two companies still operate as independent entities. Until this happens the stock price with continue to flounder.",0.737
454,This “CI” stinks.,-0.2291
455,"could it be, finally a rebound... will it be sustained? I hope so. this is easily worth 180",0.7461
456,"Why is CI so undervalued comparing to UNH, HUM or ANTM?",0.028
457,CI is down 7.66% to 131.21,-0.2462
458,At $208 a forward PE of 10.4 and a dividend yield of 1.92% .,0.4565
459,I am almost gonna trade stocks without options. This is plain manipulation of options,-0.3062
460,Thank the Dems and Bernie Sanders. Think managed care is on hold till this shakes out. If Dems nominate a radical liberal then it gets ugly IMO.,0.6195
461,this is dead meat,-0.6695
462,TO THE NON-BELIEVERS. CI will hit 180 and beyond on the Oct 31. ESPX has really great year which makes CI look like the great stock of the year in health care sector.,0.9204
463,Kill this deal,-0.6362
464,this thing is trading like a dog with fleas... US market is pretty f-ked up only FAANGs and EV makers go up these days... every value rally dies in 2 trading days max.,0.8614
465,Please exercise great caution with Cigna as it has dropped under the range it’s traded in for over a month . Operationally it’s going great but the stock is not following suit .,0.7702
466,CI is down -5.57% to 211.43,-0.2462
