,Recent headlines and conversations for GRUB,Polarity
827,Uber got lots to lose if they accept Grubhubs terms which they already refused! I’m pretty sure this deal gonna fall apart pretty soon!,0.7319
828,2 For 1 Stock Split?,0.3326
829,well i think i was right. its testing yesterdays lows.question is how low will this go?any upgrades?,-0.1569
830,GRUB reached a 52 Week low at 31.02,-0.1464
831,"There is too much competition now, if you are holding this Sell and make money somewhere else don’t wait till earning GRUB",0.6829
832,The deal is coming out today,0.3509
833,Who doesn’t have much money in the market and is excited for a recession to snag some great deals on companies! :D,0.8852
834,I'm done. I've stuck by this stock for way too long. I'll take the loss but at least I'll stop the bleeding. Maybe get back in when it hits 20.,-0.2293
835,"I love GRUB, enug said here",0.6155
836,Should this not be trading around $70.00 plus this morning.,0.5077
837,I see. Chanos is short. Who cares. He obviously loved using CNBC to capitalize on the sheep. His money has been made thanks to the mindless folk that follow after seeing him on TV.,0.8546
838,"Wow, over $51 now. Must be drinking some pretty potent stuff to be buying GRUB at that level...",0.8585
839,"i knew that this mornings biased review of food-delivery stocks in the new york rag - the one lamenting the down side of uber eats and such, but erroneously singling out grub - that grub would be down. manipulated for sure. tells me big money is against grub. a lot of worried money out there. not mine though. long. -----thoughts?",0.1757
840,"Leaked info, timing seems a bit suspect with the Uber deal stalling. I doubt either of these will be a stock offer like Uber, most likely cash. If so, Grub will accept less, maybe $50/share given market conditions. It's a buyers market.",0.2425
841,Could of made some quick money on the dip,0.3704
842,GrubHub is up 5.26% to 77.40,0.1818
843,GRUB reached a new All Time High at 77.52,0.3954
844,GRUB is down 33.57% to 38.79,-0.2462
845,pizza hut .....,0.0157
846,Squeeze squeeze squeeze,0.3728
847,"$dash (DoorDash) is up $25 billion this week. Or more than 3 whole Grubhub’s. $GRUB has better profit margins, same sales, and doesn’t steal drivers’ tips.",0.6057
848,Why is this stock down 10 points in 2 days?,-0.0314
849,I don’t own any stock from Grubhub I m a restaurant ownerI just cancelled their service due to they are lack of customer service skill,-0.112
850,"The all time low is yesterday, but I think it is still not the all time low. I think GRUB will eventually is single digit stock.",-0.3236
851,My guess is desperate hedge fund managers who were angry not seeing the pop on 1st Qtr earnings report are spreading false rumor.,-0.0024
852,Naked shorts are terrified today. Announcement pending,-0.4516
853,"25% of GRUB's float (1/4 of 60 Million shares) is short. I expect a sustained steady upswing over the next month or so, market conditions permitting of course.",0.0522
854,I use grubhub three times a day. I am shocked they missed earnings,-0.4075
855,Some additional thoughts:1) RSI looks great. Accumulation from the big hands has started. This could turn into a significant momo stock over the next few months as the Analysts and Shorts (see below) need to adjust. 2) The Analysts are usually behind the curve on a major opportunity. Their modeling is not factoring in the huge upside GRUB is experiencing currently. They're having a blowout Q1 and earnings have big upside based on the current estimates. 3) Notice those slimy shorts have started covering. The short interest is still significant and they're going to try and cover. Perfect storm over the next month.,0.9855
856,Get the word out and bankrupt this idiot bully and his little company. GrubHub is the next Gawker.,-0.8111
857,DASH is 10x bigger in anyway than GrubHub or any delivery company. let's see how the stock will be ;) Dash gonna dominate as always this market.,0.7566
858,it's very clear this is a bad deal for GH shareholders. would have skyrocketed by now. it's over. you've been had!,-0.1667
859,"Looks like this is not going to move much in the AH session. No Conference Call. So we wait until tomorrow for the very likely price collapse into at least the middle $60's. Now I will research and choose my next Pure Earnings Short Sell play, after I Cover GRUB tomorrow afternoon.",0.6622
860,Buyout may happen on $125,0.2076
861,"Jim, you so right. I jumped ship and road the DKNG stock. Bought at 30, but then bought more at 40. I’m back in on GRUB I think it’s happening soon. 72 is the price UBER pays.",0.4179
862,Key levels to watch.50.00 - Minor support52.30 - Major support/resistance (depending on open)55.00 - Minor resistance56.40 - Major resistance57.80 - Minor resistance59.02 - Major resistance,-0.445
863,We will go under $30 shortly - sell ASAP,-0.1755
864,Sektor purposely does not use Grub because your commercial is so stupid and annoying.terrible musicterrible artist character workgrub needs a whole new board if they greenlighted that commercialtbio for covid specific varient vaccines and applications.Sektor,-0.0364
865,Edith just want to congratulate the longs. Yeah!,0.7455
866,Time for a name change GrubHub. The CEO just killed it.,-0.3956
867,If you want a margin buyout. Fitbit is waiting on a buyout from google with 10-15% bonus.,0.7666
868,maloney!! bchange your name to baloney!! have you ALWAYS been this STUPID???,-0.6
869,WOW ! I Told The Baggies.....20's !SELLLLLLLLLLLL !,0.7467
870,institutions thanks the sheep. they upgrade today so that sheeps would buy while the butchers sell. DoorDash is the number 1 in food delivery. next earnings of Grubhub will be another 50% haircut in pps. by that time only the sheeps are holding the bag.,0.8856
871,"It would go down big, boys. Be careful!",0.1593
872,"Yes, i think you are right, this turd is going down the toilet, starting to die. It is going nowhere, while the market has made tremendous strides forward. The Grub has turned the corner is is statring down. I do not know if it is a slow ride or a long ride down, but it does not look good. Too many things working against Grub, Competition, poor management, bad news, dumb comments by management and the natural turn of events and competition. Oh, did i forget, boycotts are not a good thing to bring upon oneself",-0.8368
873,"I used to use GurbHub, but now its an inflated plate cost, PLUSn a minimum of $5.99 delviery fee, PLUS a tip! A $ 8.99 burger is now $13.99, plus the tdelviery and gratuty. Guess what, NO MORE DELIVERY! Most are willing to pay a delviery charge or the inflated menu price, but GH is out of control and they get nothing!",0.9631
874,short here pullback imminent,-0.2315
875,"grub, What's the point of selling yourself to just eat takeaway? no synergy at all, and potentially be dragged down by just eat takeaway European operations. Maloney baffles shareholders, who probably will reject the dumb deal",-0.8555
876,GrubHub is down 5.16% to 59.47,-0.2462
877,"Should be 48-52 by year end. Then, the short covering rally begins.",-0.548
878,GRUB reached a new All Time High at 105.82,0.3954
879,"So, you snag some AH 45S-OH MY",0.7212
880,"Grossly overvalued for a company that’s losing money, soon it’ll go back to 30s, fair value is 22",-0.0783
881,Darn... tomorrow is going to be a trainwreck thanks to the our government not being able to move forward with a new healthcare bill... SO much for the trump rally... its not going to help poor GRUB and a host of others that ran up to fast. 10 out of 11 S&P sectors closed lower....,0.8437
882,MNK GOING ALL OVER THE PLACE,-0.1495
883,its buy time,0.1805
884,Might be one of the dumbest CEO's in history. Boycott will be spreading to the businesses that work with stubhub as well.,-0.4426
885,GrubHub partner Yum Brands shut down in China. The company said in a press release that it has closed more than 30% of its restaurants in China due to the coronavirus outbreak and same-store sales were down 40% to 50% during the Lunar New Year. Yum China may also experience operating losses for the first quarter of 2020 as a result of the coronavirus outbreak.,0.6211
886,Could find floor in RAD today,0.056
887,SHORT SQUEEZE,-0.3894
888,"i've never muted someone before, but this jouwles bendajo is just to stupid and obnoxious not to mute. how do i do it?",-0.674
889,"The Air b&b of the restaurants and grocery, why it’s not $75 already?",0.2421
890,The liquidity of Grubhub is very low outside of market hours. Make your decision to buy or sell after the market has opened. Ideally after the conference call. Good luck to all.,0.884
891,Looks like investors in GRUB aren't that hungry. Sending their shares back!! Down yuuuge,-0.2726
892,Hod was $102 and appears to be closing in on it. Smart money has been buying everything available. Not sure if some group tried Shorting or it’s just managers rebalancing risks. Either way I don’t see a boiler room group here which is good.,0.8408
893,all shorts look at the June 19 calls. if u not say there isnt a deal. big players know best. insane amount of options at 85 strike. losers,0.1588
894,We will reach that 140+ this year,-0.0072
895,"Wow $6 calls now in play, should $GRUB some $NOK",0.7783
896,NOT GOING OVER 61 NO SHORT SQUEEZE,-0.6999
897,"08-18-2020 === Online ordering and food-delivery company Grubhub ($GRUB) reported its second-quarter 2020 results on July 30, highlighting SPECTACULAR GROSS FOOD SALES for partner restaurants, EXPLOSIVE GROWTH IN DINERS and ""Daily Average Grubs,"" and other positive, coronavirus-driven metrics. But ITS BALLOONING REVENUES LED IN THE END TO EIGHT-FIGURE QUARTERLY NET LOSSES. If Grubhub CAN'T ACHIEVE A NET PROFIT EVEN WITH COVID-19'S TREMENDOUS DELIVERY SALES BOOST, can it turn profitable once it merges with Just Eat Takeaway ($TKAYY)?ON THE SURFACE, some of Grubhub's most recent quarterly results look outstanding, as people dined at home to avoid coronavirus infection. According to its Q2 2020 release, the delivery company's gross food sales metric blazed upward 59% year over year, reaching $2.3 billion and leaving Q2 2019's gross food sales of $1.5 billion in the rearview mirror. REVENUE WAS UP 41% TO $459.3 MILLION, ACTIVE DINERS ROSE 35% TO 27.5 MILLION PEOPLE.After totaling up the costs, however, it becomes apparent that MAKING A RECORD NUMBER OF DELIVERIES APPEARS TO BE A LOSING PROPOSITION under Grubhub's current model. Total COSTS AND EXPENSES rose 60% year over year, STRONGLY OUTPACING REVENUE GROWTH. Rather than earning net income of $0.03 on each order placed through its platform as in Q2 2019, the company lost $0.77 per order.Similar to Grubhub's situation, the COVID-19 pandemic added rocket fuel to Just Eat Takeaway's sales and revenue. According to its Aug. 12 press release on half-year 2020 results, the respiratory virus propelled Just Eat's ORDERS FOR THE PERIOD UPWARD BY 32% YEAR OVER YEAR, reaching 257 million orders.REVENUES PREDICTABLY TRACKED HIGHER IN SYNC WITH MORE ORDERS, JUMPING 44% YEAR OVER YEAR for the period ending June 30, reaching 1.03 billion euros ($1.2 billion) compared to 2019's 715 million euros ($849 million). The COST OF SALES ROSE FASTER, INCREASING 64%; GROWTH IN STAFF COSTS AND OPERATING EXPENSES, among others, led to a 156 million euros ($185 million) total comprehensive loss in 2020, compared to a 28 million euro ($33.2 million) loss during 2019's first half.A PERIOD OF LIGHTNING-FAST DELIVERY GROWTH LED TO A 464% INCREASE IN LOSSES FOR JUST EAT. In its notes to the tabulated revenues and expenses, JUST EAT CONFIRMS REPEATEDLY THAT ITS DELIVERY SUCCESS DROVE ITS PROFITABILITY FAR INTO NEGATIVE TERRITORY. It says its runaway COST OF SALES ""was primarily driven by continued expansion of our delivery service offering"" and notes the 31% JUMP IN STAFF COSTS, a separate expense category from cost of sales.Both companies appear to OPERATE IN A SIMILAR WAY: THE MORE DELIVERIES THEY MAKE AND THE BIGGER THEIR UP-FRONT REVENUES, THE MORE THEY END UP LOSING DURING THE QUARTER BECAUSE OF DELIVERY EXPENSES OUTSTRIPPING THOSE SAME REVENUES. A situation of explosive growth in restaurant deliveries, which seems as though it would create a paradise of profit for big delivery companies, instead DEEPENS THEIR LOSSES. The food delivery industry is also notorious for aggressive promotional activity.Simply tossing Just Eat Takeaway and Grubhub into the same mixing bowl via a merger seems unlikely to cook up significantly different results at this point. Both continue pursuing the SAME BUSINESS MODEL, and merely joining forces as one business entity won't change the basic recipe.While some ANALYSTS or commentators SPECULATE on ways the pair could boost their bottom line into positive territory... neither company has hinted at taking such measures, which remain SPECULATIVE AND UNPROVEN ANYWAY.[Investors] may want to avoid both based on their loss-generating strategies. ===Exactly the same goes for Uber Eats and its merger partner Postmates, and we'll soon find out the same about Doordash ($DOORD) - it's a race to the bottom, not to the green bottom line. The more they sell the more money they lose. Of course, the more money they lose, the higher Price Targets the ""analysts"" give them.Notice how many MONEY-LOSING COMPANIES are filing for IPO or SPAC (Special Purpose Acquision Company) and/or gobbling piles of ""cheap"" debt while the financial system is choking on ""free"" liquidity just waiting to be put to use somewhere?$UBER $GRUB $DOORD $SHAK $TSLA",0.9993
898,i think we just saw day high 36.75,0.4615
899,might be all shorts covering in after hours,0.0226
900,Accumulating more this morning. Such a no brainer. Would not be surprised to see it close in the green.,0.1977
901,What is the all stock deal? What price?,0.4524
902,Longs are scared,-0.4404
903,We would be extremely lucky if we close above $60,0.6576
904,"I know that today feels like a gut punch. But there is this sliver of hope. Since GRUB first went over $90/share on Feb 14 of this year, it has never dipped below $90/share for more than 3 days (and that was during October). If the stock keeps in line with history coupled with the NASDAQ having a positive week next week, then we should see GRUB at or above $90/share by close of trading day, next week Wednesday (Nov 14). Also given the rally in the NASDAQ this past week, there is likely a lot of profit taking happening today at week-end,",0.9755
905,"We got YOUR message Baloney, NOW YOU will get OURS! Bye bye...",0.2309
906,"Let me get this straight, when GRUB was making 15 cents a quarter in 2017, it traded a range of 25 to 40, now that's it's lost an average of 5 cents a quarter it's trading at 52. Perfectly sane, perfectly logical. LOL. This market is so full of Robinhood traders we have to be headed for a crash.",0.9294
907,Check his September tweet referencing Trump supporters as unintelligent. As an employee I'd feel intimidated. The email he sent was just icing on the cake.,-0.2494
908,What will be the offer price? ....,0.2092
909,Did you miss the bottom?,-0.2941
910,"So by the time you tip the driver you are paying twice the price for cold food? Great business model, please trade accordingly.",0.7689
911,Bad deal for both. Glad uber didn’t boy,0.3262
912,GRUB STILL HAS ROOM TO GROW!!!,0.3564
913,"Realistically, there are no buyers for this company. There are no strategics with synergies and the financials are dreadful so there is no way for a financial buyer to lever up the balance sheet.",-0.7153
914,I will never use this service.,-0.0075
915,The reporters should be held responsible to everyone that sold under $58.,0.3646
916,Maloney has handled this company like an amateur. Disgraceful. Was caught flat-footed and wasn’t prepared to fight for market share. The lawsuits are warranted.,0.2052
917,I AM GETTING BURNED SO HARD HERE,-0.3768
918,Even BYND is bouncing back and this is still falling,-0.0302
919,still in bull market,-0.0357
920,SHORTS ARE COVERING !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.4986
921,GRUB reached a new All Time High at 109.80,0.3954
922,Going to the 50 level,0.29
923,Kaching$$,0.0
924,$58 to $40 wowza!!,-0.1536
925,WTRH is valued at 1x revenuesGRUB is valued at 4x revunesSeemis WTRH has more upside than GRUB.,0.8022
926,could amzn buy grub?,0.1313
927,What just happened,0.1404
928,75 HERE WE COME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.3036
929,stock market makes no sense. that is all,-0.233
930,grub 33 bucks wow wow wow buy for fun price wow,0.9656
931,"Just out 3 mins ago ...The deal gives Grubhub shares an implied value of $75.15, implying a total equity value of $7.3 billion on a fully diluted basis. Shares of Grubhub spiked more than 7% during after hours trading.https://www.cnbc.com/2020/06/10/grubhub-to-merge-with-european-delivery-company-just-eat-takeawaycom.html",0.857
932,Waiting on the 8:00 AM Conference Call and happy to see that our Bloated Baby is continuing the downward trend it started in the AH session last evening. Trading at $48.26 right now and I continue to expect GRUB to have a bad day as traders and investors realize the ER report was actually not good when you look at the actual share price valuation. This should be well below $45 and I am optimistic the market will push this down today. Planning to stay Short until late afternoon and then do my next Pure Earnings play. Lots of choices so lots of research to do.,0.9339
933,$ 50.00 after earnings,0.0227
934,"Oh Man, so lucky, added to WTRH calls today, will go bonkers and soar monday! Nice Trade 4 me.IGT DKNG SPCE WTRH PRTY........ I stay in the hottest! Party City store earnings next week, just a heads up.",0.9409
935,"puts locked in, its gonna tank so hard I cant wait",-0.5401
936,"Matt, not a good look what you being so “woken” and suffering from TDS since day 1. “Matt Maloney has written to the White House and other government officials in support of a relief package.”",0.7606
937,"Ever since I got the Grubhub app last year, I have gained 47 pounds! Don't be like me!",0.3072
938,"GRUB mentioned, and it explains why they will continue to lose money:.",-0.3931
939,lol yall couldnt find a better investment?,0.8091
940,Put me down as one who will never ever use Grubhub again. Asshat of a CEO should be fired.,-0.291
941,SOCK PUPPET !!!!,0.0
942,After market deal will get done ,-0.0481
943,Good time to think about WHTR,0.5057
944,Should have just take whatever or this is not gona end good,0.6195
945,"I don't quite understand why Uber, the vastly superior service, would want to buy this inferior service. The model can easily be duplicated and has been proven with Doordash, Bitesquad, etc. I don't know a single person who uses Grubhub. Seems like a total waste for Uber.",0.7514
946,"Quote Kurfco : ""when I saw that GRUB had gotten into delivery themselves, that told me they were already encountering push back from their customers"" Love it ! I would only note this : ...Restaurants will be more then happy to deliver with additional profit ! BUT grub WANTS SOME 26 % MARK UP for middleman's task. Wrong order = 10 off next order ???+ driver+ pick up time + packaging + customer service + gas + car usage + ++++++++++++++++c'mon..........this is nothing else but 99 cents APP to be used by urban area (NYC) elevator delivery from Italian deli.Good food is delivered cold and bad food is expensive to deliver ?!?!",0.9283
947,don't panic and sell since I don't see anything negative.,0.6582
948,"Which moron is buying this garbage p/e is compared to amazon bahahaha, only idiot like Benjo would buy this garbage",-0.2813
949,"Has anyone never seen a GRUB TV commercial anyplace other that CNBC? The company is clearly playing itself up with retail investors in an attempt to gain name recognition with such a ridiculous strategy. In the DMV (DC, Maryland, Northern Virginia), very very few people have heard of GRUB and those that have, have seen its commercials on CNBC.",0.9283
950,My 20 naked shorts looking pretty,0.5736
951,"=== 07-20-2020 Third of NYC small businesses may never reopen. Accommodation, food service and retail jobs are particularly vulnerable, the 67-page study found.A third of the city's 230,000 small business may never reopen, according to a grim new report by The Partnership for New York City.Most small businesses have less than three months worth of cash reserves. ""That means that funds to restart, PAY BACK RENT and buy inventory are exhausted, leaving tens of thousands of entrepreneurs at risk. Business owners face HIGH RENTS, REGULATORY BURDENS and TAXES.""""COVID-19 has changed the value proposition, since PREVIOUS ADVANTAGES SUCH AS FOOT TRAFFIC AND EASY ACCESS TO THE OFFICES OF CLIENTS AND POTENTIAL CUSTOMERS HAVE DIMINISHED. On the contrary, over the past decade, political forces have created a much more expensive and litigious environment for business that is no longer sustainable for those whose margins were narrow before the pandemic,"" report said.City has 18 percent unemployment rate, although there's a shortage of skilled workers in areas like accounting and business development. 54 percent of city jobs CAN BE DONE REMOTELY with some NYC companies no longer requiring new hires to live in state. Raising taxes for the wealthy could push the city's highest earners — who account for 40 percent of the state's tax revenue — to move elsewhere. ===---=== 07-20-2020 Mortgage payments may be a challenge as $600 unemployment bump nears expiration. More than half of mortgage borrowers experienced INCOME LOSS DUE TO THE PANDEMIC. Forty percent of mortgage borrowers said either themselves or someone in their household has been receiving unemployment benefits. The $600 unemployment bump has helped buoy many households' financial situations throughout the pandemic. In fact, studies have shown BENEFITS FOR 68 PERCENT OF WORKERS WOULD EXCEED EARNINGS.However, facing income loss, Americans said they would be most willing to default on their mortgage payments as a means to make ends meet than other debt payments. Meanwhile, millions of Americans continue to file NEW UNEMPLOYMENT CLAIMS each week. ""To avoid a SIGNIFICANT DECLINE IN CONSUMER SPENDING once the $600 bonus expires, either the economy will have to create a lot of jobs very quickly or we need more fiscal support.""Unless the government intends to spend several hundred billion dollars to further support personal income, the ability for people out of work to support themselves has disappeared for millions of workers. There is an illusion that an 11% unemployment rate is a victory after the 14.7% one in April. The fact is that 10% unemployment was the worst monthly level of the Great Recession. The economy was in horrible shape even when the number was 8%. So, if the current level remains over 8%, the economy is in a shambles.The END OF GOVERNMENT SUPPORT IS NOT THE WORST PROBLEM. If confirmed COVID-19 cases continue to rise by as much as 70,000 a day, the crisis will shutter much of the economy for a second time. Some epidemiologists believe another wave of cases will start in October. It will be, by many accounts, worse than the first one, given a widespread and often undetected COVID-19 infected population throughout the country.The stock markets cannot rise much more under these levels of pressure. The pullback in the early part of this year took the Dow Jones industrial average from 28,000 to 19,000 in a matter of weeks. If Apple, Amazon, Alphabet / Google, Facebook and Microsoft had not held their ground, compared to the market as a whole, the drop would have been much worse. ===$SHAK $GRUB $UBER",-0.9738
952,When is the deal closing?,-0.1271
953,Look what happened to AMC B.S.take over rumor.,0.5691
954,"Oct 25 $59 Calls Sweep near the bid. Hence, the price spike. Expect positive news.",0.7173
955,worth $20,0.2263
956,It’s never a one day event!,0.4304
957,GRUB definition - The larva of an insect.,-0.0279
958,"Get out of this stock as fast as you can. Major boycott underway. CEO opened his liberal mouth, customers are fleeing.",0.2864
959,Catching this stock is like chasing a young dog without a leash ! Not fun god luck ,0.9234
960,Massive stop losses place between 58 and 60 . Cheap UBER is offering 64/share LOL,0.3048
961,deal or no deal,-0.1023
962,Drivers make more $ staying home safe on unemployment compared to working and possibly contracting the deadly Wuhan virus.,0.6748
963,this CEO and starbuck's wants to deliver coffee in Alepo ?,0.1276
964,Investigation into the buyout coming,-0.0889
965,Grub supposed to report before market open on 10/29/19...The reason for reporting early is they have norhing good to say tomorrow and to avoid embarrassment from analysts.,0.139
966,just eats will be up 10 on the news to 110 us dollars equal 73.81 grub,0.2425
967,Puts for this company. Losing market share & EPS is low.,-0.2916
968,Shorts pushing hard today; won't last.,0.0932
969,"Remember that Grubhub is anti President Trump. I am a technical trader so when I looked at this company and thought a bounce should be coming I did my homework. I think in 2021 the stock will be under $15. Those dastardly Trump supporters just keep canceling their accounts at an alarming rate. I just picked up 2 puts $70 01152021. Nervous, but confident.",0.7889
970,what idiot is buying up here.. pullback to 95 EOD,-0.0104
971,"I was close to Wall Street went to rent a room , they asked did I want a sleeping room or a jumping room ! Reminded me of the Great Depression when people was jumping out of windows from the 25 th floor",0.6036
972,it gonna run up into the close...,0.3631
973,"IF you SHORTed GRUB, Better cover fast. Evaluation is $100 / share",0.7317
974,Of course they’ll put a counter offer on the table maybe 42,0.1817
975,"GRUB 'LL CRASH TODAY.....Uber Rejects GrubHub’s All-Stock Proposal – ReportSmarterAnalyst support@smarteranalyst.com (Ben Mahaney)SmarterAnalystMay 13, 2020Uber ( UBER) has rejected an all-stock proposal to buy food delivery company Grubhub ( GRUB) for 2.15 Uber shares per share of Grubhub, reports CNBC’s David Faber.According to Faber, the two companies have been in discussions about a deal for about a year, but have so far failed to agree on a price.“We remain squarely focused on delivering shareholder value,” Grubhub wrote in a statement to CNBC. “As we have consistently said, consolidation could make sense in our industry, and, like any responsible company, we are always looking at value-enhancing opportunities. That said, we remain confident in our current strategy and our recent initiatives to support restaurants in this challenging environment.”Meanwhile Uber wrote: “We are constantly looking at ways to provide more value to our customers, across all of the businesses we operate.” The company added: “We have shown ourselves to be disciplined with capital and we do not respond to speculative M&A premiums.”According to Bloomberg, an agreement could be reached as early as this month. The news sent Grubhub shares surging 38%, before closing Tuesday’s trading 29% higher.Overall, Wall Street analysts have a bullish outlook on Uber stock with 26 Buys, 2 Holds and 1 Sell- giving UBER its Strong Buy consensus. The $39.59 average price target indicates 22% upside potential lies ahead. Shares are currently trading up 9% on a year-to-date basis. (See Uber stock analysis on TipRanks).“Clearly this would be an aggressive move by Uber to take out a major competitor on the Uber Eats front and further consolidate its market position, especially as the COVID-19 pandemic continues to shift more of a focus to deliveries vs. ride sharing in the near-term,” Wedbush analyst Ygal Arounian wrote in a report to investors on May 12.He also added that he “wouldn’t rule out a bidding war with DoorDash.”",0.9981
976,Overvalued?,-0.25
977,Grub was bleeding cash before the virus and will bleed afterwards. Flawed business model. Half the restaurants that GRUB preys upon will be gone.,-0.4634
978,Chanos starting to cover? Look for shorts to start covering in earnest once GRUB crosses back above $60; then it runs to $75 very quickly.,0.7117
979,GRUB continues to collapse. No buyers stepping in. Everyone realizes this is extremely dangerous to the long side. My plan is simply to try to ride my baby down as low as she can go. But since I am not crazy I will put a Buy Cover order in at $40.00. :-),0.5607
980,NPSNY to buy GRUB?!! Can anyone confirm?!,0.4336
981,"something very wrong here boys and girls...big money would be all over this if it was a good deal, driving this up to the amount declared. I WAS long, but now took a short position, because I feel this is some kind of a trap....Should be an interesting day tomorrow thats for sure....",0.7767
982,Will buy again if it hits 70,0.1046
983,"What has changed since the bogus Wall Street Journal article, which Grub CEO says is false. Nothing has changed. Cramer used to bash this stock...too much competition, venture capitalists funding competition, no margins. So I can't figure why the stock isn't back down in 40s.",0.5885
984,"GRUB so desperate running ads every 2 minutes, I want it all/ is a LaughIf you are in a stock making new lows while techs are hitting a high, you would be a fool holding onBelow 50 after earnings",0.3837
985,Its going over 75$ for sure today,0.3274
986,count another family out of ever using your services..you are a true american disgrace. GO TRUMP,-0.0897
987,Nice drop. Haha,0.5719
988,What's so great about doordash? How is it better than grub?,0.8329
989,tanking all the way to support level mid 30s. DoorDash is the new leader in this field.,0.3989
990,On the edge of a precipice ...,-0.0498
991,Even with a large short position this can't rally. Not a good sign,-0.4036
992,"The merger will make them the biggest in the world outside China, it will be the biggest instant on demand e-commerce, you will be able to buy anything from any store, they already add Pharmacy, Grocery, Gifts shop anyone want to Grub a Cub?",0.8984
993,Deal made,0.1072
994,Let it close 76-80,0.0488
995,"Lets just boycott the stock and products. Grubhub aka, Generation: cupcake, Snowflake, crybaby",-0.2194
996,This would have to be the dumbest purchase in the history of Wall Street. Grub is dead in the water with nothing worth the taking. Just let it die off and take its market share. (Or take the idiotic cheering of Cramer at face value and toss billions of dollars down the drain just to make a headline/bid for instant gratification renewed relevance.),-0.5916
997,I wouldn't buy this stock at $10,0.1178
998,Short GRUB. Drive this company out of business.,-0.1004
999,I haven’t bought any today. This is starting to get my attention. Next move is near. Maybe I’ll just buy 100,0.615
1000,bringmethat.com,0.0
1001,"Trump supporters, This CEO is a Trump HATER. He TRASHED YOU !!! for wanting a better economy. DO NOT SUPPORT THIS TRUMP HATING PIG OF PIGS",0.527
1002,Does GrubHub have a partnership with Groupon?,0.5857
1003,grub getting slaughtered sorry for all who lost,-0.3612
1004,glad I bought 32.40 and 31.74 pre market. I'm out now selling up to 35.,0.7309
1005,https://finance.yahoo.com/news/apos-why-hold-grubhub-stock-150203030.html,0.0
1006,P/e of 800 what a joke,0.2872
1007,Just voted with my wallet and deleted their app. Bye.,0.3141
1008,have fun trying to get out now shorts. ,0.6587
1009,"117 PE, LOLOLOL. WHY................. OVER PRICED!!!",-0.2638
1010,$GRUB is my favorite short. Just because I think it's hilarious that people think a company built around delivering KFC is worth 60 times earnings.,0.654
1011,what time are earnings,0.1356
1012,"The Deal That IS Never Happening.. read this board...day after day after day ""deal will happen today"" You idiots are going to be so far underwater when this drops from no deal it will be a thing to see!.lololololol!!!",0.5154
1013,SORRY - what I meant to say is : When is conf call ?,0.02
1014,"Question for the team........""Who doesn't think this market is over bought?"" So many money losing debt ridden companies, $w $plnt $lvs $wing $dri $grub $uber $pzza $vac $z $spy",-0.7751
1015,GRUB is up 5.92% to 68.53,0.1818
1016,"Remember this: the former CEO of Uber went on to open ""Dark Kitchens."" Dara is a srewd businessman.",-0.2954
1017,over reaction will be down 5-10% by open,-0.4868
1018,"If you are up a lot, take the profit. Don't be too greedy.No one ever went broke taking profit.",0.7242
1019,"Barclay's suggest GRUB, if bought by UBER, will wil be worth well over $50, maybe even $80, hold it on, baby, ... in fact, if UBER buys GRUB, both will save costs ... and both shares will be substantially up ..; who knows, UBER pay $60? $80 unlikely given the recent wework, and new IPO poor performance",0.8452
1020,"Hello, i can put $77.00 to better use in this market. How about 5 G stocks or solid Pharma. cos ??",0.807
1021,IQ preparing to explode like Grub at $40,0.674
1022,"Countdown the days to the {Door Dash IPO}2morrow finally the waitr annual investor virtual conference.Around mid day, up, up, and away for wtrh.WTRH june and july calls.",0.5866
1023,"With a PE of only 1,142 this stock is a steal at this price.",0.142
1024,all you haters shoulda bought yesterday afternoon instead of hating. You could have sold and with 12 percent gains and then kept hating!!,-0.6751
1025,nice pin action in AH,0.7233
1026,looks like 52 weeks high on Friday. this is crazy it must go down soon,0.112
1027,garbage ....,-0.0998
1028,The CEO of this failed company ensured me that I will never use Grubhub,-0.3322
1029,"After reading the disgusting and divisive email written by their CEO, I will proudly boycott this service and tell my friends and family to do the same.",0.4759
1030,I am not trying to marry GRUB. Down from my buy in at the open 78$ what should I do sell take a loss or wait after 1pm fed Powell speaks? ugg,-0.3995
1031,"I remain puzzled by any enthusiasm for an acquisition of this sad asset by Uber. I can't guess whether if deal is made, Uber's value will decline sharply or moderately. What I think is a mathematical certainty is that, while Uber may replace some of the revenue lost in the rides segment, their losses will increase substantially. There is no way to make the food delivery business, done by humans, profitable. Kalanick has the only possible solution: own ghost kitchens to produce the food without any typical restaurant overhead. Remaining is the dangerous political and existential problem of the classification and compensation of workers.",0.4798
1032,STRONG SELL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.6671
1033,"Looking for a rally into the close, especially the last five minutes of the trading day, as the quants kick in and start buying.",0.1713
1034,BAD NEWS....GRUB could plummet back to $48 or lower by the end of today....,-0.8378
1035,"Maloney should have just called his employees and customers, ""Deplorables."" Hillary used that term to stratify half of the country and look how well that worked for her employment situation.",0.4929
1036,"Some info I found.Roth upgrades GrubHub (NYSE:GRUB) from Neutral to Buy and raises the target by $3 to $95, a 15% upside.More action: Bank of America Merrill Lynch also steps off the sidelines to a Buy rating.",0.5635
