,Recent headlines and conversations for CMCSA,Polarity
646,Go for it Mike,0.2068
647,MSNBC CORRUPT NEWS AND A DISGRACE!! JOY AND JOE TWO ANTI PRESIDENT ANTI LAW WHO ARE NOT OBJECTIVE ABOUT THE NEWS. OUR FINE PRESIDENT IS BEING CHEATED. CHECKOUT SIDNEY POWELL ON LOU DOBBS FOR ONE!!,0.3802
648,CMCSA is down -4.90% to 37.64,-0.2462
649,$CMCSA Comcast Corp. Q4 Earnings rise on Trump tax bill. Check Highlights #TaxReform #consumer #stocks #StockMarket #broadband #comcast #DishNetwork #DirectTV http://alph.st/b2cc7ef9,0.0585
650,"unfortunately the lesser of 2 evils capitalism is already dead, money printing , record debt and 0% rates here to stay after 40 years of both sides getting us here",-0.8742
651,CMCSA is down 4.92% to 39.03,-0.2462
652,"In a perfect world, the NFL should have called the refs working the Eagles Seahawks game, and barred Clowney from playing until Carson Wentz was cleared to play. Clowney targeted Wentz's head with his helmet, and concussed him. And no penalty. And for some reason, we don't see the hit till way after the play. But when Carson is calling a play in the huddle, the cameraman and producer in the truck, zoom in on Carson's face, and allows the world to see what Carson is saying, and giving away the play. Its not an opinion. Its a fact.",0.9264
653,"Dump said he wouldn't take a salary? WRONG! No proof that he didn't. He probably used the money to buy some stuff from Ivankas trash clothing line, then claims that sales are up.",0.2693
654,"Larry Kudlow: Trudeau “Stabbed Us In The Back… Jake, it was a betrayal….”by liberal Trudeau. White House economic adviser Larry Kudlow said Sunday that Canadian Prime Minister Justin Trudeau “stabbed” the U.S. “in the back” when he announced his nation will impose retaliatory tariffs against America.",-0.7698
655,I am buying now 36 and,0.3176
656,"The production houses should go together and make their own streaming devices, joint venture. They’re giving up billions giving control to Roku and Amazon. It can’t be more than a $10 device.$CMCSA $T $DIS $VIAC",0.899
657,Pay me $150 Million and this stock might just Jump up.,0.6284
658,"Ivanka Trump Berated, Harassed By two Gay Men On JetBlue Flight until the jerks where kicked off the plane.Photo of Kaitlan CollinsKAITLAN COLLINSEntertainment Editor11:38 AM 12/22/2016Read more: http://dailycaller.com/2016/12/22/ivanka-trump-berated-harassed-by-man-on-jetblue-flight/#ixzz4Tbj3ZGIL",-0.71
659,Sooooo ignored and undervalued. Its a cash machine! Should be 45!,-0.3589
660,You just can't fix stupid bias hate filled liberals like gay Rachel Maddow totally wrong on election results like all the bias fake news was. Ha! Ha! Trump won you liberal losers. https://www.youtube.com/watch?v=Ut0TaegQ-kw,0.6585
661,CMCSA reached a new All Time High at 43.35,0.3954
662,"The Stephanie Abrahams talks about the drama created by people who didn't like the term ""bomb cyclone"". Yet Steph, your fellow co-workers, your producers, and probably you had some input for this seldom seen weather pattern. Don't give us the false tears, and apologies, when you and the Weather Channel are purposely creating drama by bringing drama to the channel every day. You should feel sorry. And the idea of educating people about the term isn't going to help anything. Just rename it.",0.3117
663,Draft dodger in chief has no business sending troops anywhere. Leave that to the generals. Sore footed cowards like Trump should stick to cowering like a baby.,-0.18
664,I get a bullish price objective of $74. FYI,0.5413
665,Looking good today..,0.4404
666,"I have just started nibbling this stock on dips based on a Barrons article last weekend... Of note,“Comcast is undervalued by almost $100 billion,” says Matthew Harrigan, an analyst with Buckingham Research Group in New York. That $100 billion estimate—based on his sum-of-the-parts analysis—translates into more than $20 a share. He has a Buy rating on the stock and a $55 price target, one of the highest on Wall Street. (The shares closed on Thursday at $34.17.)I nibbled at 34.11, was regretting it almost instantly and then nibbled today at 32.95... Are most the people here bulls? it appears that way. I also watch Century Link and own quite a bit of that due to its current valuation... In the midst of difficulty finding value in today's markets I see these two companies quite interesting.....thoughts?",0.9573
667,"Joe, still with us?",0.6306
668,Dave this is a forum for discussing Comcast not your political rants. Create your own page if you want to keep going over the edge.,0.1855
669,Nice upgrade today!  https://www.marketwatch.com/story/comcast-stock-heads-higher-after-upgrade-2020-02-04,0.6095
670,Raise the dividend and we can move up!,0.6024
671,markets have crashed no surprise,-0.0118
672,My buy tomorrow,0.1714
673,Concast is getting its marching order from China. Trying to tank the economy so Trump loses the election. Don't think it will work,-0.1948
674,Governments are printing record amounts of money to keep asset bubbles afloat.e,0.5948
675,"Good to see the PA Auditor General looking into the states waiver program. He wants to see if a legislator or lobbyist helped. he should also look into any campaign contributions. Pennsylvania reeks of corruption. Many openings in PA now are due to Wolf opening his plumbing business, and everyone complained, and later he relented and let others open. That's what the left does. They talk about being here for the poor, but end up enriching themselves. https://www.msn.com/en-us/news/politics/pa-auditor-general-provides-update-on-audit-of-states-business-waiver-program/ar-BB1463zD?ocid=spartanntp",0.5147
676,IMGI has awakened,0.0
677,"If Comcast lose this bid, I will wait for next jump, and I will sell all the Comcast stock. They have no future",-0.1345
678,"Comcast should be running public awareness commercials for the virus.Like telling parents they shouldn't be having any parties for their kids for a while.Like telling parents they shouldn't be letting their kids play with the neighbors kids for a while.Your kids are transmitting the virus. if you want it to end, keep your family In a self quarantine for a while.Having your kids home from school doesn't help anything, if your kids are running around with friends right now.",0.936
679,Don’t open a position in CMCSA until you hear what (http://Rightpicker.com) has to say about it. These guys give amazing insights like no other service.,0.8164
680,$40 around the corner..,-0.1334
681,"Hey Brian Roberts, how do you feel about your fellow diverse elite using an ethnic slur to describe the US/Mexico rift ?Today, Michael Bloomberg, among richest men in the world, approved the use of the term ""Mexican standoff"" to describe a temporary disagreement. Brian, your Comcast carries all of bloombergs hate filled agenda. Maybe you also think lowly of our friends and neighbors to the south.",0.7847
682,I predict the market will close in the red..,-0.2585
683,"Speaking of Tom, we have Tom Wolf now attending the Far Left Democracy Alliance in California. Why do Pennsylvania Taxpayers pay for his travel and lodging when he's meeting with people like George Soros who promotes violence against Police officers. He has an anti opiod commercial, yet someone should ask him why Penna still funds movies that promote drug use, and why State funded Universities like Penn State still play rap songs that glorify drug use at football games. If the guy had a shred of decency, he'd tell the PSU board, who also don't seem to have a problem with drug themed music, every time they play a drug themed song at any PSU event, they get docked 100,000 from State contributions. Do ya think that would stop it ?",0.9724
684, Shame on ABC News and little liberal bias democrat George Stephanopoulos. George why are you such a bias Democrat hypocrite? Where is your outrage for accused rapist and groping pervert Bill Clinton? Your such a little hypocrite man. Your liberal bias Fake News on ABC daily is a joke just like your a joke. Somebody is going to wipe that smirk off your face some day. Get right with God because he comes like a thief in the night and demands your soul when you least expect it. God bless America and President Trump who your Fake Bias ABC News Network unfairly attacks daily. PS: George how many $Thousands$ did you donate to Clinton Crime Family? Shame on you a classic democrat hypocrite.,-0.9284
685,All time high...love this stock!,0.2797
686,This could be an ugly day!!!!,-0.6558
687,"Peacock buys the American broadcast rights to the WWE today, including offering PPV for free (included) to all Peacock subscribers. WWE has a huge fan base. This is big. The Punky Brewster sequel will help too.",0.9114
688,NBC and MSNBC are too political and liptard. Please don't watch those two station.,0.4409
689,"According to Yahoo CMCSA reports Jan 23. I can’t wait. Since ceasing the buy back, I think the balance sheet will look very good. Hopefully the Sky addition will be clear and bode well for at least a near term spike.",0.9476
690," SOS Warming  NBC, MSNBC, ABC, CBS, CNN, 85% of their news is fake news. And less and less people are watching their liberal fake news.",0.0736
691,Most likely will close down in the red..,-0.455
692,"For almost a day now, comcast has been broadcasting the BBC channel without sound. And today, they show Roman Holiday, with Gregory Peck, on the multiplex channel, in Italian.Someone at comcast is costing the company, and its shareholders and advertisers, so serious disrespect and financial loss.",-0.102
693,Lol,0.4215
694,"Hmmmm.... I hope their ER is good on 1/23/20 Thursday morning. Tomorrow and Wednesday will be interesting to see if we get a good lift ahead of ER, then some nice support after...?",0.9722
695,Going to go red soon..,-0.2496
696,Now we can count our chickens..,0.1571
697,Both parties have blown out the deficits and government spending prepare accordingly search the facts and you will realize the media is playing the American people for fools,0.2367
698,Comcast should be $100+ stock conservatively!,0.4605
699,"The Flyers have run yet another goalie into the ground. Elliot starts every game for 2 months, and finally Neuvirth gets a start.And Barkann asks Bill Clement ""if hes tired"", and Clement say ""I know he wants to play every game"", even though he knows Brovosky, and a host of other goalies over the years have gotten tired, injured, and lost confidence, playing in these endless streaks of games.",0.6467
700,Reality called loser troll Dave and his multiple personalities......he hung up.,-0.5153
701,Dave Wasserman of Cook Political Report,-0.2207
702,"Universal Love. The mantra from the left. Backed by Verizon, comcast, ge, FB, google and others. I can't wait till universal love comes to philly, and they burn the town, like they did in Portland. and up goes comcast and Verizon headquarters. and no insurance company reimbursement, since the town wont have the police or fire dept stop it. yep, its a really a god idea to turn the country into Venezuela. and shareholders of these companies are helping to fund it.",0.9261
703,"Well, well, well. Congratulations Andy Reid. You Finally won it. Of course, you could have won it 15 years ago, except the officials didn't call roughing the quarterback when Brueski drove McNabbs upper body into the ground well after a pass, and they did call roughing when an eagles lineman barely touched Brady. The first missed call ended a drive, and concussed McNabb, the other play gave Brady 4 more chances to score. oh well. You got hosed 15 years ago, so it must be real sweet right now.",0.9752
704,MSNBC Gay Rachel Maddow is a Bias flaming liberal. Does anyone still watch her besides gays and low I.Q. Folks?,-0.1432
705,See if butter beer cost 25/ cents and we sell it for 7 dollars well,0.4043
706,"When you get your water bill, you get charged for how much water you used, not how much water could have flowed into your house.When you get your electric bill, you get charged for how much electricity you used, not how much electricity could have entered your house.So why can Comcast bill us for every channel, when we can only watch one at a time, and for only a few hours a day ?",0.6577
707,"I thought this company had changed. Worst, by far, customer service ever.",-0.62
708,"Trump isn't questioning aiding democratic states. he's asking why the Federal Government should bail out states that were insolvent years before the virus. Why states that give gov't workers premium pay and premium pensions for their votes, while private employees now only get 401ks. He questions why a State that gives free education, free welfare, free healthcare, and a free DONotGoToJail pass to people who shouldn't even be here, why they should get rewarded for not taking care of their own citizens, and spending their money wisely. If you voted left for your governor, why not call him/her, and thank them squandering your tax money. And then look in the mirror, and ask why you thought the wealth of the country was unlimited.",0.9886
709,"How about MSNBC, not wanting a conservative White male, Sean Spicer, to be on Dancing with the Stars.How hateful is MSNBC. How Hateful is Comcast for allowing the hatred of MSNBC. What of Universal Love. Yet you remain invested, and help enable their hatred. Why not invest in a company that doesn't promote hate.",-0.5417
710,"Ahh, the Emmys. Another in the long list of shows honoring Hollywood. Apparently their motto is ""Love yourself.""I can't see anyone getting an award. Modern TV is hateful and biased. For years Hollywood has been pushing one bad idea after another on us. Look how many ""stars"" never made it to 50, living their lifestyle, which they try to push on all of us.Yes, TV was good years ago Nothing like watching a western channel, or game show channel. Today, they are clueless and keep shows like the Big Bang on way too many years. And 2 Broke gilrs made me want to hurl, hearing what they are saying in front of youngsters. The emmys. Like the rest of Hollywood, over rated, and hurtful, and out of touch with most americans.",0.9759
711,Mike's here,-0.0452
712,Comcast's balance sheet is worse than Frontier's. I wasn't expecting that,-0.5738
713,"Been holding this stock for 5 years even got a 2:1 split my average share price is $31 all while paying me a dividend. However , if this hits $58-$60 this year I will sell 3/4 of my shares most likely. Great companyAnd They’re more than just cable tv provider which a lot of people think.",0.9521
714,What stock should i buy ,0.3883
715,Buy AMC Networks already. A perfect fit. Fold all AMC content into Peacock Plus the company itself is cheap,0.9445
716,"It""s time for CMCSA to rain in the lying NBC News!! Either clean house, or the company""s reputation will in the toilet with the rest of the Liers!!!",0.498
717,"NBC Lester Holt proves how bias liberal media is once again. Here are five examples below to prove my point which happened in the debates.Tax returns. Holt never asked Clinton about her e-mail scandal, about Benghazi, or about the Clinton Foundation and its dubious dealings. But he did ask Trump about his tax returns, arguing — not asking — that there might be questionable information in them that the American public deserved to hear.Birther conspiracy theory. Holt never asked Clinton about her past record of racist statements, including her “super-predator” remarks as First Lady, or her explicit appeal to “white Americans” in her 2008 primary campaign against Obama. Yet he asked Trump about the Birther conspiracy theory and cast it as racist.Stop-and-frisk. After an exchange between the candidates over the policy of “stop-and-frisk,” Holt interjected to bolster Clinton’s point by stating, erroneously, that stop-and-frisk had ended in New York because it had been declared unconstitutional by a court. Trump countered, correctly, that the new mayor had canceled the policy before the litigation was over.""A presidential look.” Towards the end of the debate, Holt asked Trump about what he meant by saying Hillary Clinton did not have “a presidential look.” He did so after noting that Clinton had become “the first woman” to be nominated for president by a major political party, thus setting Trump up as a sexist. As Trump answered, Holt interrupted him, then gave Clinton a chance to respond with her talking points about Trump’s past comments on women. Iraq War. The question of whether Trump supported the Iraq War or not has been widely debated. What is beyond doubt is that Hillary Clinton voted for it. Holt only represented one side of the debate about Trump, and never asked Clinton about her own vote.In addition, the audience repeatedly interjected — almost always in Clinton’s favor — and Holt did not stop them, though it was against the rules. He only stopped the audience when there were cheers for Trump calling for Clinton’s emails. More bias Holt and NBC in the tank for lying dishonest incompetent Hillary Clinton. Trump gets my vote come November. Now you see why NBC and MSNBC ratings keep tanking as folks tune the bias liberal media out.",-0.9849
718,I cannot understand how you make any money. You send me a opostcard with a $400 offer to convert to infinity. Then I call the number to order the product and I get recording after recording about them not recognizing my phone number (i am not a customer) then after I hit O 20 times i get a person who cannot speak English in MX. IK am trying to sign up for your service. Marketing and sales 101 is that you put a phone number on your ad with someone answering who can sell your product. Your AD campaign is a complete waste of your money and my time and I am not signing up with you as this would just be an example as to how you would treat me as a customer. so quite sending me post cards and wasting my time.,0.9184
719,"Fake News won't tell you!!!BE WARNED LEFTIST THAT IRAN BAD DEAL WILL SOON BE REVEALED.ONE BIG FRAUD.....THAT'S WHY FLYNN WAS TARGETED....YOU KNOW FLYNN, WHO IS A REGISTERED DEMOCRAT, WHO USE TO WORK FOR OBAMA TILL HE WANTED TO BE AGGRESSIVE TOWARDS RADICAL ISLAM.http://dailycaller.com/2017/02/14/report-obama-allies-worked-behind-scenes-to-discredit-flynn-save-iran-deal/Obama does look a devil in photo",-0.2905
720,wow targeting 40$,0.5859
721,"Over eleven billion,close to twelve last year , plus I like the people at Comcast and universal",0.5755
722,Mike over $41 after hours I can stay retired,0.0547
723,Woo! Let's see this back over 40 again!,0.5793
724,bravo,0.0
725,I think they did a good job . Fact checking this dictator in a White House.... This is a good stock....,0.7672
726,"By the way. Why in the world, should a US investor in comcast, care one iota about China devaluing.if anything, all the modems comcast gets from China will be cheaper, and comcast profits will soar.",0.9218
727,"Every day, my Comcast homepage, which I have to use to access my email, has pictures of Movie Stars in their bikinis. I thought Roberts was a progressive, and respectful of women. Apparently he mouths one idea, and practices another.",0.7312
728,Comcast continues to ruthlessly cheat its clients I suppose it will continue to be a profitable company as much as I hate them.,-0.4862
729,My bill 2 months ago for comcast internet was 79.95. They raised it to 82.70 last month and to 96.95 this month. I called and they dropped it back to 79.95 for a year if you agree to use it for a year. That should buy enough time for 5g internet to get rolled out and I can cut comcast out of my life for good. If they are jacking your rates monthly also call and save money. Give the worse company in America less money every month by a simple 10-15 minute call. Comcast can go #%$^ themselves!,0.8928
730, CNN = One Big Lying Fake News Network and former FBI director Comey exposed what liars work at CNN and the New York Times. Shame on you.,-0.5315
731,Mike really happy Pfizer turned green I am on a run.,0.7602
732,both parties suck and the media on both sides is all propaganda prepare accordingly you can not believe either side,0.1478
733,"Breaking News ,,, Rachel MadCow ,, just uncovered the scocking news that Coronavirus is a Russian Asset aimed at electing Bernie,,,Is everyone here still for for ''open borders'?",0.2266
734,Does anybody know if CMCSA has a plan for when cord is cut??,0.1393
735,Well I am staying and I will make money off butter beer and sell movie tickets,0.4473
736,open your eyes people propaganda running amok on both sides,-0.0594
737,"Remember when Hillary said Blacks need to be taught to heel (she said it in 1996) ?Well she taught them. We haven't heard a peep out of Black lives matters, and won't, till the voting is done.",0.4599
738,CMCSA reached a 52 Week high at 40.35,0.3561
739,"I see an ad by Chevrolet on this Comcast conversation page.Apparently Chevrolet has nothing against Comcast taking hundreds of millionsout of Brazil while covering the Olympics.Day after day Comcast runs stories about all the suffering in the world, yet when they enter one of thesesuffering places, its only to make money off the Olympics.Since the Olympics are partially paid for with tax dollars, that means Comcast is soaking taxpayers, like they are soaking the people who live in Philly, and who must pay the real estate taxes Comcast doesn't, on their corporate headquarters.",0.3524
740,no party can fix the debt and deficits prepare accordingly the media on both sides is a waste of time,-0.5827
741,So news said it would be bad but an upward trend is still happening ???? Gota love the stock market,0.9344
742,"See ya ""Stevie"".",0.0129
743,MSNBC clown show lying Brian Williams and gay Rachel Maddow watch the video and you will agree unless your brain dead. https://m.youtube.com/watch?v=2oZpTzTL9cU,-0.5495
744,"Richard stop talking about stock valuations, just look at the real price right now $33.60",0.2455
745,Both parties suck debt went up more under Trump then Obama nobody will fix it have a plan more stimulus just means bigger problems.,-0.6182
746,"Fantastic news !!!I just cut the cord.It feels absolutely brilliant to save $200 to $300 per month for services, 98% of which I never wanted.It's like graduating college again.People, you've got to try it. Make the call. You deserve this!",0.9549
747,"@Ron, I choose to get all of my entertainment and communications from Comcast. I watch college football, pro football, NFL RedZone, Curse of Oak Island on History, CNBC, Bloomberg, C-SPAN, HBO, etc. Plus I get my 250 Mbps broadband which comes with security so I don't have to pay extra plus I have xFinity Mobile. It's only $13 per month compared to the previous $65 Vz bill. It's all paid by credit card, ez peezy lemon squeezy. That's why I own this stock because it is a great investment and when COVID is behind us, it will only go up from here.",0.9865
748,CMCSA reached an all time high at 48.22,0.3228
749,(Kpiff) any thoughts,0.0267
750,MSNBC wins cable news weekly ratings for the first time ever! Great job Rachel Maddow!!!,0.8766
751,"Do you think these people would have the sense to do the smart TV thing, heck no, no gray matter only green greed.",-0.1845
752,Mike am I dreaming?,0.1902
753,So far the sky is falling again..,0.4695
754,needs to trade above 200 day and a positive stock market,0.7893
755,"There is little separation of families at the border. In fact, 83% of the children arriving are unaccompanied.No one mentions the families that are separated when someone who shouldn't be here takes the life of a son or daughter.",0.7558
756,"Over 1,000 people went to the Reading Regional Airport, to see Mike Pence today. When Joe Biden goes to an event, they paint crop circles in fields, and have about 4 reporters covering the non existent crowd. At one event, they showed Joe waving, but it turned out he was waving to no one. The Inquirer covered the event, and of course put their own spin on everything. They were horrified that some people at the rallies don't wear masks. Wonder why the Inquirer wasn't horrified when Governor Wolf sent thousands of covid patients to deliberately infect nursing homes. It is a fact that over half of Pa's covid deaths have occurred in nursing homes. And the Inquirer says nothing. Perhaps even endorsed that plan that Cuomo and Wolf came up with.",0.7786
757,Don't think the market will last that long today 20 per cent down won't take long,0.7067
758,Buy and hold,0.153
759,Boycott BAD media,-0.6997
760,The idiots on CNBC keep saying this downturn has been orderly? What is orderly about 500 point drops and most stocks are down 50%? Am I missing something?,0.4538
761,"It looks like the Wall St pundits were wrong. For the most part, they were all calling for share prices in the mid 70's at the end of last quarter. Here we are coming up on the next quarters earnings call against a back drop of a favorable market and good company news and the stock is languishing at 67....",0.8485
762,HEY HOLLYWOODERS...you've LOST over 50% of your fan base....just keep on bashing TRUMP and we'll have ANOTHER LANDSLIDE in 2020 !! What a pack of FOOLS with absolutely zero respect...!!,0.5165
763,"CNN likes to claim they are the “facts first” network.Their hosts routinely attack Fox News as fake news and smear President Trump 24 hours a day, 7- days a week.But the tables were turned when CNN President Jeff Zucker made one shocking confession that could destroy the network he admits he is a liberal bias Trump Hater because President Trump has more money, power and hair than he has.",-0.1475
764,My wife and I put the dog in the car and took a ride to a nursery and we noticed not that many people on the road. If people are staying in this virus should pass that much quicker and things get back to normal. No confirmed cases in my area this is a good thing. Everyone stay safe,0.9307
765,"I wanted to watch the NFC championship game today. But the announcer spoke Spanish. On whtm, Fox from Harrisburg.I turned the game off. Thanks a lot comcast. just what are we paying you for ?by the way, during flyers game sand sixers games, the scores aren't even on the screen. Those broadcasts are the only one I can't see the scores. Of course, the way the flyers are, maybe its better we don't know the score. I think comcast should reimburse our cable bill for the 3 1 /2 hours. And i'm sending a letter to the NFL telling them what comcast did. maybe it wasn't comcast, maybe it was a disgruntled technician. Don't tell us their name. I want to knock their lights out.",0.9752
766,"Yesterday, on the weather channel, comcast had a commercial/ad telling people the US officially left the Paris Climate Accord. The ad told people the Accord was an innocent agreement, to help the environment.What it neglected to tell people, and what many people who watch comcast news sources don't know, is that the Paris agreement curtailed the US in energy and manufacturing, while leaving many other countries to continue to despoil the earth. This is why every kw of electricity generated in China, pollutes the world twice as much as every kw in the US. This is why the Paris Accord wasn't created for the environment, it was created to help China take jobs, millions of them, and money, Trillions of it from the US. Anyone saying the accord was created to help the planet is either naive or a liar.",0.7965
767,"As a major Holiday approaches, think about how things would be if Thanksgiving was eliminated. No way, you say ? Well Wake up. With a globalist government, our small population of only 360 million would not keep any holidays. Now China would keep all of theirs, considering they get a billion votes in the new world order. Under Obama, we couldn't say merry Christmas. Think about what you are supporting, before you goosestep to the left. .",0.9558
768,Going up or down after ER?,0.4163
769,I think a buyout would be around $45/share maybe higher!,0.4422
770,CoNcast is the enemy of the people no doubt after seeing their fake town hall with political hacks as moderators and correspondents. I hope 5G will make them obsolete. because of their monopoly in South Jersey I have to use their crapfinity internet service.,-0.9467
771,Ouch! And we were doing so well too...almost at 40...now this reversal...,-0.2768
772,Comcast stock price is down 7% - anybody know why,0.1075
773,"CNBC is, increasingly out of control. Everyday, the number of hosts and reporters that are ""editorialists"" increases. The hatred for the Presicent is over the top. They clearly seek out guests who agree with their mindset to aid in their editiroailizing. It has gone from a premier business reporting enterprise in the 1990's to a leftist group that seems to in theory hate the engine of our capitalist country. If they succeed in their goal to change things up I guess they dont realize they will be the fitst ones in the gulags.",0.9277
774,LOL! at CNN the liberal Fake News networks. Ratings are in the toilet flush.Remember CNN - Donna Brazil giving dishonest Hillary debate questions in advance.https://m.youtube.com/watch?v=GsPawjyl4wE,-0.1315
775,"Hey concast, your stock is sinking and viewers leaving, you gonna blame trump for that too?",0.1693
776,Concast again shows that they are the most corrupt and immoral company on the face of the earth,-0.691
777,Great Day.,0.6455
778,So Comcast and their business partners in China still want to open their new theme park in 2021 i don’t think it’s a good idea,0.7471
779,"valueDIS and CMCSA and NFLX all at the same Market Caps?Dis pe 14CMCSA pE 6.7NFLX no earnings if you read the article from SA, Is netflix UninvestibleDis earnings $8.9 billionCMCSA earnings $22 billionNFLX zero?Worse thing is anyone can copy what NFLX did. Very simple business, buy some servers and memory or use Amazon's or Msfts systems. Buy the movies. Post it.Now try to copy what Comcast has done. The provide the internet. Not so easy. And they and DIS and others (Amazon) are doing streaming.NFLX is way way overpriced on hype and manipulation (my opinion).",0.8892
780,CMCSA about to double ? video at STOCKTRADEVIDEO (Google them),0.3203
781,Does anyone have any insight as to why the stock is rising today? possible reasons: 1) the stock is undervalued? 2) Info about the sky deal has leaked? 3) stock is just following the market? 4) something else?,0.9283
782,many stocks could be down tomorrow.need a good report...,0.233
783,peacock should be nice,0.4684
784,"Remember when Omarosa gave an emotional tribute to Mr. Trump and his family as she talked in an RNC speech. How they treated her like family, and helped her, and gave her every chance to succeed. When her book is done, she'll have to thank him one more time, for helping to sell her book. She should be eternally grateful. I bet she'll call him one day, and apologize, after she realizes what shes done, and he'll probably help her yet again. Cause the guy is here for all of us, not just certain people who feel they are special or entitled. Remember when he gave that beauty contestant a 2nd chance and Rosie Odonnel got all indignant, and forgot that the left is for giving people 2nd chances.",0.9915
785,So happy to have bought this stock even though I hate Comcast.,0.2801
786,"It there any news for the drop today? Not really a big drop, just curios since it's the only red on my portfolio today...",0.1075
787,Fox News #1 for a reason. Excellence is never an accident. Fair and balanced. Not Fake News.https://m.youtube.com/watch?v=8JDgMTgK_B4,0.2071
788,roku is a better choice,0.5478
789,buy now comcast offer bid offer buy out Frontier Communications Corporation,0.7481
790,CNN - NBC - ABC- CBS - MSNBC all full of hate filled bias liberal loons. Example: CNN Anthony Bourdain threaten President Trump. CNN liberal Anthony Bourdain said on Facebook he would poison  President Trumps soup. I guess he needs a visit from US Secret ️Service. Shame on Anthony Bourdain you just broke US laws by threatening the President. Shows the evil and hate in democrats who are sore losers.,-0.9596
791,Lets see what Comcast Does next. Fox is valued at $85 billion enterprise value.Good Luck to the highest bidder,0.877
792,"The winner of the distinguished award ?Most hated company in America? year after year in the recent decade, a truly EVIL company. I see poetic justice that George Soros is an investor. I disconnect from it after they lied to me too many times and now they send me solicitation mail to return to them. AT&T internet has its issues but at least I?m not spending 4 hours on the phone each time a bill in received just to hear the #$%$ of their employees in Atlanta.",0.3324
793,Comcast has peacock in the US and Sky in Europe why not incorporate peacock with sky and launch it in Europe since Sky is the biggest media/entertainment and pay-TV company in Europe,0.9065
794,the big picture is a much bigger problem no party will fix it,-0.3764
795,Comcast is the most corrupted and disloyal corp,-0.3969
796,fake news stock,-0.2345
797,"The House passed a $15 minimum wage bill. Now before you think its bad, think about how much of your taxes goes to pay low income workers rent, heat, phone and electric bills, and food. Yeah, you might have to pay more for some things, but with a higher minimum wage, instead of millions of low paid workers getting federal assistance from your pay check, they will actually be paying taxes. Your taxes will go down big time. And with a higher minimum wage, companies that exploit workers, like comcast, will no longer have the desire for an open border.",0.2935
798,I wouldn't own this stock out of principle...,0.278
799,I would short this stock! MSNBC is an example of their investment strategy--so far out of touch with Americans! Listening to young uniformed left wing Harvard junior professors is not where its at!,0.4858
800,well said Stevie!,0.3382
801,"When Chavez of venezuela died, many on the left praised him. To people like Jimmy Carter, and thousands of other socialists, Chavez was a hero. So today, a lying sack on CNN compares Mr. Trump to Chavez. Apparently the left doesn't remember what they mouthed before, and apparently they rewrite history every day. He's not trying to control the press. He's trying to get them to give the American people the truth, instead of blatant biased lies.",0.7223
802,new stream,0.1832
803,"They need to forget FOX and move on. It's like going after a BLONDIE, HIGH MAINTENANCE.Find another company, there are a lot of companies out there worthy.",0.8175
804,"Lol Trump just branded Comcast as Concast, Trump is the best. Just like fake news CNN stuck now will Con cast",0.8152
805,So much for Hillary Separation Anxiety. That didn't even last a day.The entire world knows we are better off without her. And only those people who hate us wanted her to win.Including our own newspapers. Cancel your newspaper subscription. Tell them you don't appreciate traitors.,-0.3056
806,CMCSA reported big increase in capx which I would think would be very bullish for ARRS.,0.5883
807,"The sum of the parts much greater than the whole.John Malone, would be a great CEO for Comcast.",0.8336
808,"Comcast had run all these blm commercials, making people think they gave a rip about them.they don't. comcast helps bring in millions of people to take away their low paying jobs.and in Wisconsin, the DEMOCRATIC party is trying to keep Kanye Wests name off the ballot. Apparently he filed the paperwork 14 seconds late. Liberals aren't for blacks. They are for using them.https://www.forbes.com/sites/jackbrewster/2020/08/12/report-jared-kushner-met-with-kanye-west-last-week",0.5358
809,"Just out of curiosity yesterday, I watched Mad Money on CNBC. And of course I realized nothing much has changed in the 6 years since I stopped. Cramer is there quoting Gartman on oil. Saying Gartman says if oil breaks this lower level, it could keep going down. And if it breaks this upper level, it could keep going up. I have to tell you, that is sound advice. The price of oil could go down, or it could go up.",-0.1047
810,"Like watching paint dry. When the markets green this things red, when the markets red this stock's green!",-0.2151
811,"Today, at 6 pm, Sundance is showing Goldfinger. Like for the last week, there are numerous audio lapses.I just wanted comcast to know, that I reported this to Sprint, the primary advertiser at this hour.I recommended to Sprint that they consider asking for their TV ad money to be refunded.I will be more than willing to testify in court. Sprint should find out who else pays for sundance or comast ads, and consider a class action lawsuit.",0.9446
812,"With debt piled up for acquisition, it is bad. beary bad...More expensive than TZ or T",-0.4313
813,Customer service is horrific. Haven't been able to talk to a real person at Comcast for over a month.,-0.7411
814,Why Nobody short CMCSA today?Some news said something about CMCSA clients users name and password security leak.,-0.1211
815,Who will be outed as the first Russian cell? Trump…Flynn…Sessions…Kushner…or the field! You make the choice!!,0.4766
816,"How about comcast shamelessly raising rates, while millions are still unemployed from the virus.How about gov wolf, killing hundreds of thousands of waitress and bartender jobs, by proclaiming no alcohol sales without a meal. what in the world does a meal have to do with the virus. this slug needs to be impeached.",-0.6802
817,"Our comcast homepage has a ""story"" about Tim Kaine saying Trump maybe have broken the law with a tweet.Many believe Kaine already broke the law by inciting violence and promoting riots with his ""take it to the streets"" call for violence. Fortunately, the only person who listened to Kaine was his son, a card carrying member of Antifa, who is now a felon for doing what his dad told him. Comcast has the gall to run a story by this guy who promoted violence on others. What happened to Universal Love.",-0.5725
