,Recent headlines and conversations for PG,Polarity
417,PG is a monster,0.3194
418,"WE NEED A 2-1 SPLIT,,,,COME ON BABY'S,,, GIVE US A 2-1",0.4169
419,"it seems the ad is directed more towards females than males...maybe women buy these products for men in which case the ad will be successful regarding that consumer...for the rest of it, it seems a thumbs down .. a preachy propaganda message I think turns men off...with some exceptions most men are quietly non verbal, straight forward and direct, whether this is genetically based is undecided... studies have been done with raising children attempting to prove whether male personality characteristics are learned rather than innate, maybe the creators of this commercial have not paid attention....",0.9339
420,can't believe I sold target at $130 to buy this loser.,-0.4166
421,"GET OUT NOW!! Staples and Utilities are so overvalued....when people sell these, VIX will hit 30....NO fear now!",0.4207
422,"From a $70 base, looking like a $140 top in 2019. Overpriced but now a DJIA momentum play. Long since 1991...Thousands in dividends so far and now some really nice capital gains. It's about the Benjamins.",0.9549
423,will break 94 today and on to 102 by dec,-0.1977
424,Thoughts on the derailment of EPC/Harry's deal? Probably mean's Gillette's deal for Billie isn't going to go through either. I think this is a good spot for Gillette in the long run. Start-ups will struggle to find buyers and will actually need to run as a profitable business instead of selling at a lose to gain share and hope to be bought by the big players in the market.,0.9435
425,"WE NEED CHANGE, Bring it. Our Board Sucks",-0.3831
426,Idk what’s happening but I’m all in on PG calls for 1/29. Let’s go! ,-0.1165
427,"This #$%$ kills everyone to move a penny up and its so easy to drop 10%.l just hate PG and as soon as getting (brokoen) even, l have already gone.thumbs down for this trash PG.",-0.6093
428,"Nice day for P&G, maybe they are out of hibernation.",0.7293
429,"From Morningstar:Investment ThesisErin Lash, CFA, Sector Director, 25 April 2018Following Procter & Gamble's multiyear effort to cullaround 100 brands from its mix (leaving it with 65 brands),we think the firm is now poised to benefit from anenhanced focus on its highest-return opportunities. Whilegrooming and baby care (around one third of sales in theaggregate) continue to languish, we think theimprovement chalked up in its beauty (nearly one fifth ofsales) and fabric care (one third of sales) segments (uplow to midsingle digits) showcases the first fruits of P&G’sefforts to rationalize its mix. And while improvement hasyet to prove broad-based, we expect the firm’s continuedinvestments behind core brands will lead to increasingconsolidated sales growth and support its brandintangible asset.In our view, despite slimming down, we still think P&Gwill carry clout with retailers, maintaining its scale edge.The 65 brands it maintains in its portfolio include 21 thatgenerate $1 billion-$10 billion in annual sales and another11 that account for $500 million-$1 billion in sales eachyear. We believe that by supplying products acrossmultiple categories (such as fabric care, baby care,feminine care, and grooming among others), trustedmanufacturers like P&G are critical to retailers looking todrive traffic, both into physical stores and on e-commerceplatforms.Further, we don’t believe P&G is anchored to acceleratingtop-line improvement at any cost, and surmise that effortsto drive efficiencies (targeting $10 billion, a high-teenspercentage of costs) are prudent--aimed at reducingoverhead, lowering material costs, and increasingmanufacturing and marketing productivity. And whileinflationary and promotional pressures are unlikely tosubside near term (in line with commentary expressed byother consumer product manufacturers), we think itsstringent focus on costs stand to modestly boost grossmargins (up 100 basis points to 51% by fiscal 2027) longerterm, while also fueling research and development(including improved packaging) and marketing. In thisvein, we forecast the firm will allocate 3% of sales forR&D and 11% of sales for marketing each year over th",0.9971
430,"If we can't get our goods from the Chinese, who do you think well be buying them from?...... P&G",0.6495
431,"Business and politics don't mix, but they don't get it.",-0.0788
432,Goldman upgrade because it's got room to run and it can serve as a landing pad in the event of a downturn. Next quarterly numbers might drive a spike up/down depending on the direction vs expectations. Seems like a spot for traders to play.,0.7058
433,"$30 Million Buyout with $PACV stock 4 Million Shares owned and sold for just 15 cents equals $600,000 profit",0.8287
434,Pineville LA New job openings for $PG driving HYDROGEN Forklifts for $PGDated 6-14-2018Guess the SOLUTION has been foundTime to LOAD,0.6042
435,PG is up 4.93% to 113.85,0.1818
436,My utilities keep going up leaving us less money to spend,0.3839
437,"The problem with this company is everyone on the BOD and SM is looting this company with options. The big mutual funds owners....State Street, Blackrock, Fidelity, and Vanguard hide behind the 20% rule to avoid having to do anything. AS long as they are fed the corporate buzzwords, they are voting for the present BOD and SM! Another year of disappointment!",0.8702
438,You've permanently linked Gillette with manhating feminist SJW's. It will be really easy to see your brand and instantly avoid it. You sell an overpriced commodity.,0.3285
439,Finally seeing PG move up as the dollar drops.,0.2664
440,Higher gasoline = less money to buy other stuff.,0.3706
441,"i hope PG is working on the next generation of diapers (renewable dna recognition flavored), just announcing good numbers is not enough anymore.",0.8566
442,If I buy shares this week will I receive dividend’s on them in Feb?,0.4043
443,Whoever created the Tide Pod Challenge must have been a short seller haha,0.1877
444,125+ tomorrow.,0.0024
445,Trump has buddies who own coal mines ... he promised coal miners that they would go back to work.McConnell is from Kentucky ... but now coal miner paychecks are bouncing. What's going on?https://finance.yahoo.com/news/paychecks-bounced-workers-face-uncertainty-060018579.html,0.669
446,Got more today at 134.75,0.0716
447,"Well, at least it's doing better than the DOW right now. Good luck!",0.8844
448,What a comeback.,0.2698
449,is stock split in the cards,0.276
450,Big time profit taking throughout the afternoon.,0.6259
451,Looks like the 2:30-3:00pm crowd have awakened again :),0.6687
452,Will PG be selling any cannibus infused products?,-0.0854
453,"Many years ago I got rid of my Capital One card because Alec Baldwin is/was a POS. I doubt they noticed because I was broke back then. Now I spend 150 K a year on my personal AMEX card and God knows how much business my company transacts via non Capital One cards. United screwed me ten years ago when I was flying back from burying my dad down in NZ. I told them I would never fly again with them or any affiliate and nor would any of my employees on business. Last year my employees had over 600 flights and 90 % of those were on Delta. Now when I head back down there it is Delato to Hawaii and Hawaiian Airlines to NZ. Inconvenient? Yep. When I couldn't stomach ESPN any more I got rid of my sports package and went completely online for my baseball/football fix. When HBO went completely leftward I got rid of all my premium channels, not just HBO, and now just subscribe again during GOT seasons. When Netflix hired Susan Rice I canceled within an hour of the announcement. Two hours ago I was speaking with the other co-founder and the upshot is we told the facilities people that they needed to replace all Dawn, Charmin and Bounty on our campuses. I have a beard and just go to a barber when I need trimming etc. so I doubt I have used a Gillette product in my 25 years in the US but I don't care. Hollywood is about to go #$%$ up because it is a leftist echo chamber. Nike got smoked with its woke garbage and P&G in another couple of quarters will be trading in the low 60's. Actions have consequences.",0.0586
454,"Procter & Gamble's stock has split eleven times since it went public in 1890. PG Split HistoryRef# Year Per-share Price Split Ratio (after split) 1 1920 $722.00 5:1 $144.40 2 1929 $449.00 5:1 $89.80 3 1950 $88.00 1.5:1 $58.66 4 1956 $99.50 2:1 $49.75 5 1961 $152.14 2:1 $76.07 6 5/19/1970 $102.44 2:1 $51.22 7 2/22/1983 $105.75 2:1 $52.88 8 11/20/1989 $129.19 2:1 $64.60 9 6/15/1992 $104.33 2:1 $52.16 10 9/22/1997 $149.38 2:1 $74.69 11 6/21/2004 $110.19 2:1 $55.50*Source: Cincinnati Enquirer, Feb. 23, 1997",0.5165
455,"P&G has about 20% sale in China. If US vs China gets worse, P&G's sale there may be at risk as well.",0.4095
456,PG markets to housewives whose job is to spend her husband's money. The same marketing tricks don't work Gillette razors because men are spending their own money.,0.0455
457,PG has beat earnings consistently and achieved record revenue in the face of covid. Yet it is down? What the h?!,0.6874
458,Bought at $129 and $128...I just can’t help myself,0.5704
459,"PE for PG seems a bit high, considering the low revenue and profit growth. PE below 20 is more reasonable. Back to $90.",0.7836
460,My grandmother worked for P&G and started me off with 30 shares in 1979. I reinvested all the dividends and with all the stock splits and adding here and there and hopefully one more stock split I'll be really happy.,0.9241
461,Screw crooked lying corrupt Trump.,-0.7049
462,unbelievingly huge after hours trading volume over tens of thousands all at $77.79.,0.3547
463,Hopefully all the retartds sold now and we can bounce.,0.4638
464,When will Trump go to prison?,-0.5525
465,"ALSO, MRK, VZ, KO and PG have been the SAFETY trade last month....watch what happens when money flows into OTHER stocks for year end rally!!!!!!!!!",0.8573
466,Anyone listening DB conference Presentation by John mueller,0.4842
467,Read it and weep or reap lol.,-0.1073
468,Bought at $122,-0.0068
469,"Since October 12th...PG is down I(barely) six DAYS...nothing goes up FOREVER, ESPECIALLY WHEN THE WORLD ECONOMIES ARE TANKING!!!!!!!",-0.569
470,This constant new 52 week lows stuff is getting old.,0.209
471,Wonder how much longer and lower the BOD will let this stock fall before they actually do something? Current management has lost all credibility.,0.4736
472,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble.[3] It specializes in a wide range of personal health/consumer health, and personal care and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included foods, snacks, and beverages.[4] P&G is incorporated in Ohio.[5]",0.9774
473,"Once you understand that Skeletor, aka Nelly Peltz, and his band of criminals spent a mind-numbing amount of money to get on the board it all makes perfect sense. Just a little profit-taking going on. These people DON'T lose money...EVER!",0.7958
474,"Stifel just downgraded PG from Buy to Hold...That's exactly what I am doing - bought more in the last 2 weeks including yesterday, now I am holding, exactly what mama said ... hahahah",0.7635
475,"After 2% drops, PG continues moving 140.",0.3182
476,Garbage sell out...https://finance.yahoo.com/news/unilever-buy-toothpaste-brands-p-094801216.html,-0.0296
477,100 shares just picked up. Take advantage when the market gives free opportunity to make money.,0.8925
478,buyer under 100.00,-0.2747
479,just pure junk. Announce a buyback. get this over 90. Shouldn't be selling off this hard on these results,0.1673
480,Why PG share price is not increasing with this valuation ? .,0.4629
481,Market is using PG to prop up the DOW -- this will not end pretty.,-0.0836
482,"After one month drop, I am betting that P&G will turn around here to retry $140-145 during the coming Feb - March. Relatively, it is a cheaper share than most DJ stocks.",0.0377
483,Going to $140.00,-0.0046
484,Now a bargain!,0.2947
485,https://www.fool.com/investing/2019/12/02/3-top-stocks-to-recession-proof-your-portfolio.aspxI strongly agree!!,0.6351
486,insane volume open at 88 tomorrow,-0.3322
487,"Hypothetically, let's say someone has held PG, since 1972.PG did very well, but of late, it has stalled and this has led the hypothetical ""investor"" to become quite bearish on PG. (And dare I say quite emotional as well! It's human nature to become emotional when an outsized position has been underperforming for so long...we're talking about BIG! money, and a large missed opportunity.)Yes, hindsight is just that, but had this investor sold her PG shares ten years ago, paid state and federal cap gains and invested the remainder into VTSAX, her position in VTSAX would be valued GREATER than had she, as she HAS (hypothetically, of course), held onto PG!This ""investor is vehemently opposed to paying taxes.Again, this ""investor"" is BEARISH on PG.She has plans to gift PG shares to her offspring and their offspring. Most would agree, particularly re grandchildren, that it would make economic sense to gift $15,000 worth of PG ANNUALLY to them NOW. But she should not stop there. The ""investor"", since she is BEARISH on PG, should recommend her grandchildren SELL PG immediately and pay the very modest % cap gains tax and reinvest the proceeds into a ""better"" equity, ETF, or fund.One question remains: will she do the right (economically) thing?",0.911
488,What would Peltz think of the Gillette ad?,0.1391
489,Wells Fargo upgrades to $115 from $91. No bad. Not bad at all.,-0.7845
490,They stopped selling their inexpensive razor and now their bleeding. After that I bought an electric.,-0.3628
491,"Oversold & overstretched , tech chars indicate that may dip a bit before swinging back.. As someone mentioned earlier in this thread sell OTM calls if u have to but hold on..",0.1458
492,Predict a dividend increase announcement this week.Expect an 8% increase.,0.6726
493,What a great week. Amazon for the td and PG for the extra point!,0.74
494,"the should throw the management and board of directors of this company in a washing machine with a bunch of blue staining clothes TIDE PUDS, BUNCH OF IDIOTS RUNNING THIS COMPANY",0.7233
495,My gift to this board today. LVXI Huge 2 day buy volume. Deal with Amtrak and first euro,0.826
496,"Does this sound like a person with any intelligence?So he patiently waited, and now America has ramped up its testing and the president has boasted about how amazing his administration has been at testing, while also pointing out how testing is dumb (probably Obama’s idea) and causes more people to get the virus: “Don’t forget, we have more cases than anybody in the world. But why? Because we do more testing. When you test, you have a case. When you test, you find something is wrong with people. If we didn’t do any testing, we would have very few cases.”",0.7759
497,Yup. A few Millennials are buying some hipster soaps from internet adds. But the majority of the younger generation still wants the brands they grew up with. Very comforting in these days when you can at least take a bath with something you know.,0.9018
498,"Read the preamble of the P&G fiscal 2018 3q report. At least they know where they stand and what needs to be done. That's a start, if they don't pig-out. Can't dwell in glory daze any longer. Come on PG - snap out of it!",0.1198
499,get woke go broke!!,-0.5179
500,Very good price for shopping.,0.7223
501,After great quarter why is stock slurping on weenie?,0.7151
502,"Took my options off today...wanting for the bounce to put back on....Aug 16th, $60 PUTS....for those wanting specifics. I have made over $10k last month trading them.",0.2464
503,Hanging tough!,-0.3831
504,smooth sailing down,0.335
505,Looking to add tomorrow at 60,0.2107
506,stop deleting my post about corporate taxes,-0.3522
507,Lots of insider selling in the past couple of weeks could be dropping the price.,0.125
508,Looks like a new 52 week low is a certainty,0.4403
509,Amazon has pressure on PG too.,-0.0604
510,Another all time high close!!!,0.4117
511,Chart looks to be breaking down. Are we headed to $115?,-0.3096
512,"Tilray $TLRY deals with Novartis and InBev HELP Canopy $CGC by validating the legal marijuana industry and its legs in both pharmaceutical and consumer ingestibles. At the same time, Canopy has much bigger beverage deal with Constellation $STZ and if you think Pfizer $PFE Merck $MKR $BMY $LLY $PG $RGNX $EMHTF aren't talking to Canopy, Aurora and Organigram you are crazy. $ACB $OGRMF",0.9034
513,Worked here for 27 years and big news coming out soon expect stocks to go up at least 6.5% tomorrow,0.4859
514,Won’t be here to long take profits move on,0.7276
515,"I'm long on this position, but man, it hurts to see it go down daily. it's my biggest loser so far ",-0.8102
516,HAHAHAHA YES BABY GO SHORT IT,0.4244
517,PG is about to hit the buy point.,0.0982
518,"A break-up at the top trend line at $114.20 will firstly indicate a stronger raising rate. Given the current short-term trend, the stock is expected to rise 7.01% during the next 3 months and, with 90% probability hold a price between $113.28 and $122.21 at the end of this period.",0.7933
519,"Does this sell off on a trade deal with China? People have been piling into PG as a safe play, what happens when they don’t need a safe play anymore?",0.9332
520,150 by 2020,0.0141
521,buy chance?,0.3654
522,"Will PG go back to $71 or better yet $67 if T yield hits 4.5%, I think it is a possibility.",0.4591
523,Anyone that thinks that P&G is not the best investment ever should look at the maximum time available on this site - nothing but a straight line upward for 30 years! With dividends that grow every year.,0.8857
524,"""Boys will be boys""For an example, Google ""North End fight parade""The best part? The media and the general public have been pretty unanimous in their assessment of these ""boys"" being boys: They were idiots.""the men were taunting each other over who was tougher.""""“It was the dumbest thing. They were all Patriots fans. It was just macho intoxication,” Beatt told the Herald. “I heard a lot of people yelling and screaming and saying, ‘You’re fake tough.’""",0.5136
525,"I will still use my PG products I already bought and paid for, but after their use is up, I will not rebuy.Boys will be boys eh PG?Shorts will be shorts.ask nike how their social justice advertising worked out for them.GOOD LUCK LOL",0.9646
526,What process was used to seat Mr Jimenez? I own many shares of The company & wonder what this move is leading to...?,0.7846
527,"LET'S GET A SPLIT,,,,WE LOVE A SPLIT,,,, I WANT A SPLIT-OH BABY,,,JUST SPLIT,,,I WANT MORE SHARES,,,I LOVE OWNING LOTS OF SHARES,,,,BLOCKS OF STOCK-",0.8941
528,Let me refresh my statement. The CEO should be on his knees apologizing and BEGGING us to keep buying their trash. Is that PG enough for you Yahoo?,0.7157
529,"The first good quarterly report in years and the CEO and his minions get a 25% pay raise, I'm sure they don't want Peltz on the board or anyone else who would hold them accountable.",0.8212
530,"The *ONLY* problem with PG is its share price. Like Apple, many day traders have started trading it. This is why when Big Tech is up, MSFT and AAPL are generally up higher than AMZN and TSLA. Traders would rather use $30K on a $130 stock than using it on a $3K stock. Unfortunately, this creates short term volitility. This is the onyl downside to PG.Other than that, if you are a long term holder, PG is the safest investment on the market. Always has been and always will be. Guaranteed 5-10%/year. That may not look great, especially over the past year...but all bubbles burst. It's only a matter of time. And when it does, all these traders will lose most of what they will have made. PG, though, will still stand tall.Oh, one last thing. The Citi price cut dragged down the price from $139 to $131. Guess what? Their PT is still $150, and that's on the low side of the spectrum. I'm not worried about PG at all. 100% of my money is in PG (around $40K), and it's for the long haul. I put aside $500-1,000/month and put it into PG every month. Why? People would say this is risky. It isn't. PG is the only company that cannot be overtaken, at least within the next 30-50 years. Their distribution network is too strong. Their partnerships are too strong. Their moat is just too big. My family made millions (literally) on PG alone. I am following in their footsteps.",0.9851
531,At 97.06 this PM. A good jobs report.,0.7246
532,Sometimes when I open my portfolio and see the overall value I just giggle....because I can.,0.5795
533,We've had to switch to generics due to high cost of living.,0.3299
534,"I am glad the ego ridden Peltz lost. Now he can go haunt another house. I like my Tide and I don't want it changed or sold off or anything else. If he thinks he knows how to run a business, let him send in his ideas.",0.6365
535,"before we point fingers to anybody. we have to realize the nature of PG business is out datedlet's do a a survey here.1) How many of us on this blog is under $352) How many of us use internet shoppings more than once a week3) How many of us have an Amazon Primer membership account in their household3) How many of us enjoys spending time doing their daily grocery shopping or prefer those heavy things comes right to your front door.PG shopping model and nature is all stores bricks and mortar retail, it out of people's lifestyle now. all those who had the most disposable income are under 35 or high income seniors. None of those groups would enjoy lifting 2or 3 litters of heavy Tide home. Tide washing detergents, shampoos, big chunky and bulky hard to carry toilet papers, etc, etc are the same if they comes from Amazon free delivery to the door or I have to drive to the store and pick them up dispite of my super busy schedule. Why bother going to get them in the stores in person. As my son always say, order from Amazon, save the gas and save the world from air pollution.",0.993
536,Still undervalued LOL.,0.5718
537,The 13F reports come out by Monday (apprx)Has Warren Buffet changed his PG holdings and will he have commentary about consumer staples in general?,0.4304
538,I don't want to use a product that makes me feel bad about myself. Watched the ad and it does just that. Why would a business want to do such a thing to its main customer group?,-0.0847
539,On The Rise should see 135 by next week,0.0814
540,Where is Nelson P?,-0.0046
541,So now P&G has acquired a LAUNDRY business. It has facilities to clean clothing in 4 cities. WOW. That's a biggie. I guess it is part of Nelson Peltz's concept of local businesses. Next up: local soda fountains. Gross insanity.,0.6707
542,Just say NO to $PG,-0.3533
543,STAY DOWN DAMN IT DONT BUY SHORT PEOPLE,-0.6914
544,LOL at least the corporation will make tons of money selling toilet paper and facial tissue to the people who were screaming “Buy !” when it dropped below $140. They need a large supply of both items right now...,-0.2224
545,this board now SUCKS..........................,0.1939
546,I forgot only macho men buy Gillette products - who knew? Won’t have any effect on earnings because mainly women buy their products not men -,0.5812
547,two words charmin ultra,0.2842
548,Yeah this doesn't seem to be holding at the recent monthly lows. Probably best to get out for now and buy it after it stops dipping and starts moving upwards again. Strong fundamentals do support a hold. But Such a fall for such a non-volatile company on a green day. Something is going on.,0.9036
549,"With PG trading near its 52 week high, and only a few points from its all time high, it's not surprising sno has not been posting lately. I'm wondering if sno has been taking advantage of this level to lighten its position.I'm also curious, since it professes to be very knowledgeable about PG, whether it will participate in the COTY exchange.",0.9312
550,argh... they should have missed the quarter like Netflix,0.1948
551,Is this an example of what the putz can do foe P & G?,-0.4182
552,We’re still probing for a bottom Today’s price action is bearish,-0.7119
553,I nailed it on my call of 86 after earnings,-0.2306
554,Running out of steam - pretty obvious this is going to pullback some,0.7571
555,Volume is very LOW...not a good sign.,0.6427
556,Nervous sellers gone - back up. It’s just that simple .,0.0205
557,112 by monday,-0.0086
558,Total Debt (mrq) 35.3B ?,-0.277
559,This ad is one serious albatross P&G won't be shaking off soon.,0.296
560,Breakout underway!127 by Monday.,0.6943
561,Hahaha... The weak arms of the soy boys can't hold this stock up much longer,-0.1085
562,SHORT XLP and PG............absurdly over valued and over bought!!!!!!!!!,-0.5848
563,"It’s worth $1,300 per share because the revenues / EPS and cash flow are 10x because of Covid world wide pandemic. The time to buy is now before everyone piles in.",0.6562
564,"Look like PUMP BEFORE DUMP, earnings coming",0.2756
565,Why is PG SP seeing large swings of 10c or more within a few minutes,-0.1682
566,Can we see a ALL TIME HIGH?,0.4347
567,P&G Insiders selling at a good time. I hope nobody is using their 17.89% APR Credit Card to purchase common goods. The whole Market is up on a borrowed Dime.,0.9032
568,"Cramer says watch for 1-2pm when margin calls will hit stocks like PG, KO and MCD....because they will have to be sold!!!!!!!!!",0.6324
569,New CEO and BOD time.,0.726
570,Happy World Water Day!Nice to see PG is involved with providing clean water to some of those in need.,0.7913
571,"Great to see this stock being appreciated again by Wall Street. Great products, huge revenue, nice dividend. Has everything an investor should value.",0.9683
572,"TP, NyQuil, and other items made by PG are sold out of almost every store in the country. Earnings is going to be exceptionally good this quarter...",0.4319
573,Good earnings beat and nobody is selling before dividend next week,0.6951
574,Another Day and Another new LOW ! Death by a thousand cuts. Thanks for nothing B.O.D.,-0.6209
575,Elderly investors rejoice today.,0.4946
576,Faked out again. So now I hope the long term thing works (moan).,0.7665
577,Millennials favorite on Cnbc,0.5912
578,You just got to have a lot of P&G. Quality. Period.,0.2939
579,Why is this down when there's a peace dividend on the table and a potentially new market for PG to enter?,0.4946
580,Begun the boycott has...,-0.3315
581,why can't Peter be mute. he's so freaky.,-0.3811
582,Prudential recently picked 800k more shares of PG according to recent ult-agg filing with 7 million shares total,0.7821
583,Wow!!! What a day. I am glad I didn't give up.,0.8108
584,Boycott ALL PG products. Idiots at this company pandering to the whacked left.,-0.4754
585,PG trying to act cool.I can be cool too!No longer buying any of their products.,0.6799
586,Got my buy orders set at $135!,0.3488
587,"What I heard in t.v. is that Mr. Wonderful from Shark tank, wanted Peltz in the board and it was mentioned that Mr. Wonderful had a lot of shares of PG. Only time will tell if he is good for the company.",0.9111
588,how many down days in a row?,-0.2733
589,except the company wants to go solar,0.4095
590,BOYCOTT Gilette and PG!!!!,-0.6256
591,The future is pretty clear! Management gives themselves a 25% raise while they mismanaged the company. Time to reconsider investments.,0.8212
592,IS it Time for the CEO and the top brass to go into sunset,0.4442
593,"Santa Claus rally starts in two days, hope it,s beneficial to all.",0.6065
594,The vote is a perfect time to let PG know if you think they should stop advertising during NFL games!,0.8765
595,still way cheaper than COST...,0.2393
596,Nice beat today.Should see a decent bump up.,0.7171
597,Seems like the 1 yr. price target has been lowered. I guess when insiders start selling it doesn't look all to promising for the company. For now. They still have to sell of a few businesses to grow. Looks like Peltz can't win that one for us.,0.7041
598,"If PG is intent on eliminating toxic masculinity they need to immediately drop several products. Old Spice represents to old way of thinking. A woman sits around waiting for her man to return...toxic. Mr Clean they has a muscle bound bald guy that isn’t very open minded. Commercial represent a strong guy bringing women cleaning power so they can do “women’s work”....toxic. Braun, even the word is bound in masculinity....toxic. Finally Gillette which has been a sponsor of NASCAR and the Gillette young guns where boys will be boys as collect female admirers....toxic. Come on PG, stand behind what you are preaching and eliminate these toxic brands. Also don’t you think it’s time to eliminate the good ole boy network in the board room and through the management ranks.",0.9175
599,https://twitter.com/VivaLaAmes,0.0
600,Question.....How does one email PG investor relations to voice their displeasure with management?,0.6441
601,$85 by next friday after a good earnings report,0.5994
602,"Another day, another P&G high..",0.1505
603,PG is heading to $100.,-0.0046
604,Should be close to turning the corner on this thing.,0.0585
605,This add is a PR disaster. https://www.youtube.com/watch?v=mj8VpuLSkHYGillette has been made a laughing stock by a bunch of man haters.,0.2698
606,"PG fellow shareholders should President Trump have US Justice Department arrest billionaire convicted felon George Soros for inciting riots and paying for thug who riot in major cities across the US. The paid Soros thugs did $100,000 plus in damages at Berkley College two weeks ago. The lawlessness angry liberals need to stop and stop now. Soon they will get their heads cracked open if they keep it up and start filling up our jails.http://www.independentsentinel.com/soros-behind-56-groups-running-womens-march that left trash everywhere and trashy nasty signs",-0.84
607,Steamrolling to 90!,-0.0798
608,"With oil and oil based products at record lows, manufacturing companies like P&G will benefit from lower raw material costs, corona virus or not, folks are still using toilet paper and toothpaste along with other necessary products. Wonder how many of the AOC followers would want to go back to cleaning cotton diapers out in the toilet instead of landfilling disposable diapers?",0.6468
609,l just wonder #$%$ are managers / ceo doing in PG??? every F day is tanking !!! l am so regretful of buying this #$%$ @ $140every day gives a F new low,-0.791
610,Buying 1 call wasn’t enough at all. Well 115$ for 900$ is a good trade,0.7653
611,There is no such thing as a sure bet but PG comes very close. Safer than a bond and dividends are growing.,0.6766
612,Unstoppable power...,-0.2023
613,Stone cold,-0.1088
614,"How can they Keep saying buying back stock is a return to the shareholders? (Supposed to make remaining outstanding shares worth more). Hey Jon and David, it is not working!!!!",0.9351
615,Good job to those who made a quick flip on this. Time to get out now. One percent growth p/e should be 14. Thanks happy new year,0.9426
616,"Prediction. Earnings are good, and PG is over 130 v. soon...",0.3975
617,Trading at about a PE of 24 based on 2019 average est of $4.44 (2018 EPS was 4.22). A 24 PE ratio for 5.2% of EPS growth is outrageous.Kel,0.8587
618,"P & G is Rockin', again!",0.1061
619,EVERY Republican and Democrat must watch this video ~https://www.msnbc.com/morning-joe/watch/biden-campaign-out-with-new-ad-on-trump-s-virus-response-82286149660,-0.3226
620,Buybacks coming,0.0537
621,should i sell this pig?,-0.1209
622,Down on less than 200k shares premarket - just nervous short term holders running.,-0.3978
623,"UNfortunately, the sharp Chines yuan to US dollars devaluation will hit all US companies doing business in China. The yuan has sharply devalued by 6-7%, and will continue to an wide expectation 10-14% by the year end. P&G's top and bottom lines will be hit as all other US companies and Chinese companies with ADR stocks in the US. Sell all these companies before too late.",-0.8177
624,WOW watch this baby tank :) :) :),0.9286
625,"The following is from a comment on a PG S.A. post--while ""ironic"" is perhaps the most misused word, the following is ironic!""The Cincinnati Business Courier today (Oct. 23) ran a story with this headline: ""P&G's new ad campaign urges women not to fear change"". The story was about marketing for the company's Herbal Essences shampoo.""Bears repeating, but this time PG's management and board should listen:do ""not fear change"".",0.2925
626,c'mon man,0.3481
627,Buy buy buy,0.3739
628,AP- Budget deficit running 41.8% above last year. Is the USA Trump's next bankruptcy?,0.0232
629,White men still makeup a large part of the US population. This was a stupid decision by Gillette and P & G for allowing it.,0.0869
630,Pg is grossly overvalued. It is growing revenues at less than 3% and earnings at 6-7% and selling at 19.8x 2020 earnings. Give it a generous two x growth rate of 15 on 2020 eps of $4.80 a share an d you get $72 a share....,0.8167
631,Melt up continues - no chance for bad news until next qtr report - that means clear sailing and back to 85 in next month,0.5744
632,The one-week chart makes no sense,-0.2455
633,finally this pig is moving up,0.3809
634,TOLD YOU IT WOULD GO GREEN AT CLOSE>>>DAM IM GOOD,0.6429
635,buy some puts on PG. These stocks are the last to fall but they will.,-0.038
636,"THANKS strong jobs....PG is over valued, over bought and going DOWN!!!!!!!!! LOO...PE in the mid 20's........from $70 to $114 in 1 year!! Central bnaks cannot inflate assets forever and the crash will be EPIC!!!!!",0.7195
637,WE DON'T NEED NO STINKING TRADE WAR!,-0.0826
638,"C’mon, you can break that resistance!",-0.2545
639,Hello hello hello Please please buy p g as much as possible tell your friends and family to buy buy as much as possible it will go 160 in next few months- my research,0.8949
640,"Have not posted lately so here it goes As a family we have had PG since 72, big deal who cares but we have not bought a share since 2009, WHY because PG has been run by MORONS and still is and counting 14 Years that is right PG has been the worst stock on the dow, and still keeps on Lafhly,McDonald, and now taylor not to say the BOD has been the worst but just look they do not enough have the Cahonids to resign just keep stealing from shareholders beyond some of the most cutless people ever beyond the worst possible. Save your dividend buy other stocks forget proctor nobody has bought 1 share since 2009 and we have had PG all our like i hope you get it,Wooglin will tell you a story i am telling you not to buy pg because it is as usual DOG OF THE DOW AGAIN 14 years and running",0.964
641,"mr. peltz, u tried your best, try next time. mr. peltz keep up in your business and stay busy.",0.8234
642,"So, who deleted my short message? Short, short, short, short, short until it hurts them in their shorts.",-0.9679
643,"I always think highly of advice from ""Anonymous"" ..... NOT",0.3606
644,why is this going up all of a sudden I'm happy but I'm trying to understand,0.5386
645,"With the drop over the last 3 weeks, low entry point, shift in trend up over the last week, and recognition that this is a safe haven stock paying a good dividend in a recently volatile market, I think we will see some analysts considering a switch from ""Hold"" to ""Buy"" in the coming weeks.PG may see a boost.",0.7809
646,"I for one am sure glad Peltz is on the board, doing a lot of good, NOT !",0.8958
647,There;s going to be a big run back to PG when this market realizes it's priced in the tarriffs help about 3 times already,0.6854
648,"I am thinking PG will reduce some high priced , underperforming headcount and start to merge and realign business units as first steps. You don’t get that bad overnight - time to realign incentives for managers to stop acting like civil service jobs",-0.1394
649,"wish I had my vote back, I sure would vote for Peltz",0.8361
650,"I swapped out of my Dec. 21 PUTS to the JAN. 4th...the $94 puts were only 25 cents more for the extra 2 weeks+......made no sense, but I'll take that extra time and HOPE this does not break out above $95.",0.8971
