,Recent headlines and conversations for PEP,Polarity
379,How high this can go,0.2774
380,Last chance before all the gaps till 140 are filled lollllll shorts gonna burn hard,0.208
381,No more Pepsi products at my house. I speak with my wallet.,-0.0307
382,Get in the weed,-0.0441
383,Drinking Pepsi on a ride with SPCE. This will one day happen for sure.,0.6862
384,When will pepsi enter into the cbd market,-0.1258
385,DUMPER --THINK --thousands will loose their JOBS ---DUMP the NFL--go to the AMerican SIDE,-0.7675
386,She has done a great job for Pepsi but really overstepped her bounds talking politics. She must apologize.,0.8228
387,I have to say. . . I hope I get another buying opportunity.,0.7996
388,Great numbers!Old and new Business lines.,0.7037
389,$98.00 is a 20% correction from the high.I'm betting it goes even lower. $92-92.75--the latter being a 4% yield should represent an invest-able bottom.,-0.5431
390,PepsiCo market cap is larger than coke now,-0.3665
391,What a great company whose products are affordable to practically everyone on the planet.,0.6931
392,What is wrong with PEP? We went from testing resistance at $139 to a plunge below $136 while the market has performed well. Any thoughts why PEP is getting sold aggressively?,-0.7596
393,any news on the Sweetmyx agreement extension?,0.5769
394,Fire her now!,-0.3797
395,I told you all a month ago to sell this overpriced junk and buy deep value with double the dividend....Altria. no one listened and this is what happened.,0.4735
396,Pepsi should really look into buying Vita Coconut water. SOON!,0.4351
397,"The snack and sugar industries are one of the main cause of diabetes, which effects millions in America. Pepsi ingredients: CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, SUGAR, PHOSPHORIC ACID, CAFFEINE, CITRIC ACID, NATURAL FLAVOR. So essentially, sugar water.",0.7326
398,good news coming out? a .79% jump today.,0.7458
399,"sure they raised the dividend, but it's going to $116 so what does it matter?",0.3638
400,"I am up by $250 Million since March 2020 thanks to the US Government and the Stock PUMPING Festival in the US that has started in March 2020! NOBODY Needs to work anymore! JUST BUY the US Stocks to get 300-400% RISK-FREE RETURN in a few weeks! THE US STOCK MARKET is a FREE MONEY ATM! BUY STOCKS AND GET QUICK RICH! Everyone will be a BILLIONAIRE! Even Janitors will have at least $50 Million in their Broker Accounts! EVERYBODY IS ALL IN! THERE IS NO RISK OF LOSING MONEY! 2-3% DAILY CAPITAL GAINS is a NEW RISK-FREE RATE OF RETURN Guaranteed by FED!Buy the US Stocks at these INSANE LEVELS TO GET QUICK RICH! Nobody cares about Absurd Valuations!EU, Russia, China, Turkey, India vow to create alternative reserve currency to ditch the US dollar, as the US Government continues to Print unlimited Dollars to PUMP the US Stock Prices artificially! DESPITE Tanking Corporate Revenues, ABSURD Valuations, Record Corporate Loss, Record high Corporate and National Debt, Record Stock Dilutions, Collapsing Economy, Pandemic, Upcoming and Ongoing wars, Political polarization, limited real resources, intensive competition drying growth opportunities, the US Government continues to PUMP the US Stock BUBBLE artificially! Everyone knows that the US Stock Market is a Fraudulent system! It will COLLAPSE BIG TIME very soon!The US Government is PUMPING Oil Prices artificially, DESPITE Shrinking Demand and Exponentially rising supply! Oil price went up from $1.00 to $60.00 in no time FOR NO REASON, thanks to FED. Soon, Oil will be USELESS and WORTHLESS, but the US Market Makers are seeing commodities as PUMP and DUMP Schemes!!!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $XPEV",0.6518
401,Lets answer the question everyone wants to know. Is a Cheeto a chip?,0.1566
402,Why is PepsiCo down today? Can someone please explain it to me? The markets on fire and I thought it would’ve been a good day after it’s earnings report.,0.6318
403,"This site should be for adults to discuss PEP and related issues. We have at least one juvenile on here, Scott, who is pretending to be an adult.",0.4047
404,"If the bear continues to rampage, fund managers will abandon pop stocks and run for safety for wealth preservation. Pepsi may not have the growth of an invisible coin, but as restaurants, theaters and parks reopen and need drinks to serve their customers, they KNOW who they can count on.",0.7589
405,"I'm up >30% in < one year in PEP, plus the dividends. One of the better moves I made in my retirement port was selling most KO I had for years, which has been in a price rut with a lame decreasing DGR, at a near high $46.x(not far from where it is now), when PEP was falling in price, and bought at near 52 week low. Much superior company with no sector change.",0.915
406,PEP to buy into LK???,0.2564
407,What the hell who sold,-0.6585
408,way overvalued sell,-0.1943
409,PEP is up 6.04% to 111.53,0.1818
410,STZ moving up on Cannabis options,0.5224
411,Pepsi should jump because Coke just lost a lot of investors.,0.2343
412,you think the market watch lie that they raised the div 7% helped today? they did but it was a year ago.,0.1435
413,how about those Quaker Oats...boring= money,0.1581
414,Ty Pepsi!!! My only blue chipper paying out!!!,0.6743
415,Fast Money analyst says SELL PEP and Staples...I agree....short them to death....they are over bought and over valued!!!!!!!!!,0.411
416,"A few GAVE so MUCH --YOU give LITTLE-----VETS were DISRESPECTED , not given HELP--to you take their -----SOUL------You are a HARD man ---go step on a child ,you FLAG haters -- SPONSORS are in bed with the flag HATERS ----- FREEDOM-----FREEDOM-- dump my post ??",-0.889
417,I think Indra would fit in well at Grubhub,0.5749
418,"US VETS will march on PEP head - Quarters --leg missing -plastic leg -No foot --Blind with service dog , Don't support the FLAG haters--Don't DISRESPECT my flag -----Don't support the flag haters - Thousands will loose their JOBS --",-0.9075
419,"""Sell in May and go away"" (see, it's possible to post without CAPS)This ""advice"" would have been terrible to have followed for 2017, 2018 & 2020. The market was pretty much flat summer of 2019. Maybe this is the year to ""sell in May...""?",0.2066
420,PEP increased their Div by 5% why does Yahoo have n/a,0.4321
421,Pepsi buy NBEV and get it over with already....,0.1191
422,anyone know why coke n Pepsi down on positive market?,0.5793
423,"Why Micron Keeps Falling No Matter What.Why Micron Technology, Inc. Stock Lost 13.9% in September[Motley Fool]Keith Noonan, The Motley Fool,Motley Fool•October 10, 2018What happenedMicron Technology (NASDAQ: MU) stock fell 13.9% in September, according to data provided by S&P Global Market Intelligence.Shares declined due to comments from management indicating that pricing for NAND memory had fallen in the quarter and bearish coverage from analysts. MU ChartMU ChartMU data by YCharts.Micron's chief financial officer, David Zinser, said at a conference held by Citigroup on Sept. 6 that overall prices for NAND memory (which has been the core of the company's growth) had fallen last quarter. Morgan Stanley analyst Shawn Kim published a research note the the same day outlining a bearish outlook for the memory-chip market, and the combination of these developments prompted steep sell-offs for Micron and other chip stocks.Three Micron NAND chips.Three Micron NAND chips.Image source: Micron Technologies. So whatStrong demand and pricing for memory chips have driven impressive sales and earnings gains for Micron over the last several years. However, the product category tends to be cyclical, so it's not surprising that indications that the NAND market is weakening would result in a decline for the company's stock.Micron reported third-quarter results on Sept. 20. Sales and earnings both came in ahead of the market's expectations, but a deflated outlook for memory prices meant that the stock didn't get much of a bounce from the otherwise impressive results. Revenue climbed 38% to reach $8.44 billion, beating the average analyst revenue estimate by $190 million. Non-GAAP net income rose 75% year over year, coming in at $3.53 per share and exceeding the average analyst estimate for per-share earnings of $3.34. Now whatMicron stock has continued falling in October, with shares trading down roughly 8.1% as of this writing.MU ChartMU ChartMU data by YCharts.Shares now trade at roughly four times this year's expected earnings, which might look very cheap in light of the company's growth lately, but the cyclical nature of Micron's industry makes it difficult to chart the stock's future performance by looking at recent and near-term earnings performance. NAND pricing appears to be on track to continue falling, and the possibility that DRAM chips (Micron's other key product category) will lose pricing power means that the company's earnings could drop precipitously.",0.9706
424,thinking this should beat tomorrow,0.3146
425,"Pepsi, its time to buy VIVO and put CBD in your bottles. Take out lot's of the Sugar (which is bad for you).",-0.2996
426,Actually the best part of owning Pepsi is the snack business. Think about it!! With more States legalizing not only Medical but recreational marijuana people love to snack. Pepsi if you think of it that way is a good sound financial investment. Coke doesn't even compare.,0.9786
427,will this ever hit a new 52 week high?? It has come within 0.3 cents away today and cant break out,0.5292
428,"FWIW, since 10/1/06, the day Nooyi became PEP's president and CEO:Total Return:PEP 150%S&P500 Consumer Index 198%S&P 500 173%",0.4518
429,this stocks going anywhere,-0.0694
430,to all those that love the pot stockswait till all the lawyers get done with it it will be worth 0,0.7256
431,Good day to start a position.,0.6137
432,"In my opinion, the longer the FDA drags its heels on providing clarity on CBD infusion/edibles, the better it is for $KGKG. Why? Because when the FDA eventually does its job, then many other companies will saturate the market with CBD infused drink products and will make it much more difficult for KGKG to distinguish itself from the pack. When $PEP, $KO, $NBEV, etc al, have products with a hemp leaf in the product design the novelty of KGKG products will be seriously threatened. What is one of the reasons why this company having exponential growth right now? Yes, its tastes fine, but they are marketing their product with a big ol hemp leaf right on the can. That is cool, trendy and the big boys are NOT doing it to my knowledge. So, while the FDA delays, $KGKG will have its chance to spread everywhere, its a good thing.",0.9894
433,"Small China acquisition...On the lighter side; I enjoyed reading about a Mountain Dew brand ambassador (and his ""compensation""):https://finance.yahoo.com/m/b3e07e79-ebd3-37a2-b47c-279bb1381719/this-ceo-loves-mountain-dew.html",0.7832
434,"Weak company.. no wonder why all other packaged food brands have performed well in covid except for this bs. They always make poor mgmt decisions. Overpaying for rockstar energy drinks, hiring more fulltime permanent staff to meet temporary demand spike, changing aunt jemima name and logo, entering in Mac and cheese business with a high chemical product that doesn’t fit consumer trend.",0.8333
435,PEP reached an all time high at 125.25,0.3228
436,When do we get earnings? I thought they were due January 9.,0.2319
437,And you know what happens when you sell. Simply profit taking today which there is nothing wrong with. Long term holder and will continue to do so. I never worry about day to day with this company.,0.6695
438,I'm curious what is everyone's take on Cramer now?,0.4353
439,"Yeah, barely increasing revenues and we will see just how strong those earnings are now without the tax cuts....this thing is in slooowdown mode sure enough.",0.8096
440,Long weekend. Hope u took profits before the close. :),0.8986
441,Brand Portfolio still has a lot of runway!! Thinking of adding Pepsi to my holdings,0.4219
442,Want to know about the investing in Pepsi cola company stock?,0.3795
443,"I don't understand why they don't make a ""healthy"" soda. I take 100% grape juice and make a mix of 25% juice to 75% carbonated water. Still tastes sweet and doesn't have all that refined sugar or chemicals.",0.5638
444,"I would like to see Pepsico takeover/buy Kellogg's. They could merge the cereals with Quaker Oats and team up Tropicana/Dole Juices for the Breakfast crowd. They could expand Keebler's & Kellogg's snacks into Frito-Lay. The cookies could be a separate, new division. Remember back in early 80's they attempted to acquire NABISCO for their snacks and cookie lines.",0.9453
445,"LOL, PEP is not a stock for daytraders. PEP is a GREAT stock for Longs who want to build wealth, and collect the great dividends. Look at the historical chart for PEP! GLTA!",0.9738
446,PepsiCo great products but not a good stock lately. Much better opportunities for same or less price. I’ll still continue buying their products.,0.967
447,"I see Pepsi is introducing another energy drink, I don’t know why Pepsi don’t buy Monster out from under Cokes little interest.",0.835
448,"It is said that Vaxart, Inc. saw a big move last session, as its shares escalated approximately 8% on the day amid huge volumes. It could have been a good catch from them. Why don't you have more potential? Build a reasonable comeback here: http://psce.pw/LowFloatNasdaqStocksMustSeePicks",0.878
449,"No stimulus, sell Pepsi, this market is dumber than dirt",-0.7191
450,Will they buy BYND?,0.0882
451,PEP reached an all time high at 133.62,0.3228
452,you think theres any interest for pepsi and NBEV partnering,0.6668
453,Have a Coke and a smile. I purposely have skipped over buying both Pepsi & Kellogs products the last 2 times I went to the grocery store. I've always liked Coke better anyway.,0.9197
454,"Declining volume and declining buyers in key segments have been weighing on sales and profitability, and are increasingly going to hold back the stock price of PEP.",0.0646
455,Morgan Stanley raises Price Target on Pep from $123 to $127,0.316
456,I guess I am old fashion when it comes to someone's compensation and what someone is really worth to a company !!! That someone gets a 13 percent raise after they are already receiving 0ver 14 million dollars plus incentives is completely nuts in my view.,0.8933
457,KO sun off it's bottling co. and that has been very profitable for it's shareholders. Maybe PEP should consider doing the same thing. KO bottling is worth over $200/sh. and every share holder got shares of that co.,0.8402
458,sugar kills people ! Tax all sugary drinks !,-0.6889
459,How in the hell does a poison as this fluid is can the share price be so high. The public is blind.,-0.8161
460,"I rarely engage the mute feature, but just did; any guesses?",0.4653
461,"How does this company survive, all they sell is garbage foods...",0.0894
462,Last time three for one,0.1793
463,Will Pepsi be all right?,-0.1152
464,Sold my coke I am now a Pep man. Woke will make you chock.,0.3098
465,"Pepsi CBD line up let’s go, AURORA got the goods cheapest manufacturing cost of. The business....",0.5162
466,"Lets rename the board meetings like they did for Aunt Jemima syrup. Instead of the pepsico board, they can rename it to the quarterly Dufus convention to more accurately define their function in a more politically correct way. Pathetic",0.4054
467,Pepsi overpaid on the rockstar acquisition. And they overreacted with the hiring for covid lockdown. Decision was made based on initial panic buying which subsided to a more normal volume now,-0.082
468,VETS gave their LIFE --YOU give little -----DONT buy -any PEP product -no chips---No sugar water-------,0.2909
469,Get woke go broke.,-0.4139
470,etf. will start to load this always a slow month upside with coke coat tail along,0.4677
471,Way to many idiots out there !!Ms. Nooyi its nice to see you stayed on through thick and thin. Now its time for that 3 for 1 stock split.,0.8154
472,"The high quality defensive names are out of favor for the moment, great opportunity for long term investors to pickup stocks such as Pep.",0.9514
473,That’s how you do it. Way to go Pepsico!,0.1705
474,"Pepsi sales ended March 31 ,2019 was $12.884 Billion .A 2.56% increase year over year.",0.2093
475,Sure glad there is no chip shortage here !!!,0.6317
476,"I think enough has been said regarding PEP 's CEO, so let's talk about a split of shares to make it a lot easier for the little investor to get on board with a decent amount of shares. By the way PEP is up over .50 today and I think it will keep on going up.",0.9362
477,nooyi rise above . stay on board. dont go politcal look out for your share holders which happen to be edge funds that hold multi millon dollar share holders we made this mistake before election take path of least restin we are moving forward nicely first buy 24.OO,0.8987
478,"I warned everyone two weeks ago to beware of the Najarian clown who said giddyup to Pepsi. great long term buy, but pain for the next month.",-0.202
479,sorry they caved into the PC crowd,-0.3331
480,Why doesn't Pepsi buy Monster. They should've a long time ago.,0.2568
481,IF IT GOES BELOW $108.00 THEN GET READY FOR IT TO BE $95.00,0.69
482,It has been 23 Years -roughly since Pepsi last split. I'd say is about darn time it did it again.!,0.4537
483,"Let's start to discuss something that is meaningful, and not just psychological.I'm referring to an ECONOMIC benefit.PEP will be announcing its next Q div in a couple weeks, on or around May 2.While in the past two years, the dividend was increased ~7%, the powers that be are suggesting a much bigger increase this go round--perhaps due to ""tax reform"" and or an improving earnings picture.Current average estimate for next dividend: 0.93, from 0.805, or a 15.5% increase.Dividends put money in one's pocket (or into additional shares). REAL MONEY. Dividends are exciting, for obvious reasons.Splits? They have already been recently covered LOL (I'm NEUTRAL re splits, but I'll take a div increase any day).Of course, estimates are just that. See what happens.Have a delightful day!",0.9665
484,"Tech stocks, crypto are overly expensive right now and inflation is a concern in this environment which makes it unappealing to hold cash. Consistent value plays like Pepsi are the way to go in these times.",0.3679
485,"Wiping out the history of one product, and polluting the earth with another.Great work",0.3922
486,Seriously? Heinz could afford a Pepsi buyout?????????? How?,-0.2522
487,"Instead of Anheuser Busch Inbev NV (NYSE: BUD), Cramer would rather buy PepsiCo, Inc. (NASDAQ: PEP).",0.3488
488,I bet Ramon is happy at today's price.,0.6291
489,A split is long over due and now would be a good time for it!!!,0.8217
490,"Zeev Goldansky:I had heard of that other stock before Bigbadwolfe promoted it on PEP's board (and others). Fun to look at, and if someone likes to trade it may be a good pick, but after a quick review of its ""fundamentals"" and its ""management"" it failed my basic DD test.Bigbad and I cross paths on a few boards. Its M.O. is to offer ""golly gee"" type posts while promoting his stocks. It appears it has a pretty poor track record. Since some may check its promoted stocks, and I was having a slow day, I wrote my post. (I once sold stocks that sold for less than a buck professionally). Not a fan of one person being in control. As far as PEP and CBD, I don't see it happening for some time.Cheers.",0.9887
491,"1% of NFL haters boycott PEP, -NO GROWTH---NO GROWTH , if sells drop 1 % the stock drops $1.00--next Q2 the sales drop , the stock drops $5.00----No GROWTH the stock is DEAD money----",-0.6698
492,Why is down so my from 119 to 99 what is going on ??,-0.1356
493,http://fortune.com/2018/08/15/roundup-in-cheerios-weed-killer/,0.0
494,"I suggest putting Al ""the extortionist"" sharpton and Jessie ""the adulterer"" jackson on the syrup bottles in place of Aunt Jemima.",0.5435
495,"Brutal. Didn't think it would happen that fast.Originally bought PEP at $78.78 a few years back. Sold it at slightly over $120 earlier this year with the thought of buying it back lower, but didn't think it would be in this neck of the woods.At this point, I'm not interested until it gets back below $100.",-0.4824
496,Don’t forget to scan your snack and drink barcodes on PepCoin to get cash back on PayPal!,0.1936
497,"The chart says we're turning up, which makes sense. We're reopening.",0.2593
498,Great job on earnings. Been with you since 86.,0.568
499,"Bad core EPS growth and a weak 4% sales growth. Yet, delusional PEP investors think that is great, haha. 120 is about Fair Value with these type of numbers...",0.861
500,What’s up with earning?,0.2217
501,"Isn't it great that ""SNOW"" posts on this board (only to pull a ""this message will self destruct...). She must think we don't read her posts, since today's nugget is very similar to her other (delted) posts. She ""won't chase"" and you know what? She may never be long PEP!But go ahead SNOW, keep doing what you do: post, delete and not be long; in other words: ""wash, rinse & repeat"".How's that working out for you?",0.9139
502,"With all we know about Michael Jackson, sleeping with children, Pepsi puts his image on their soda cans.It makes sense. This is a major goal of progressives. Children.",0.67
503,Wooglin should know what to do!!,0.2924
504,"Pepsi needs to revitalize their beverage line. Use some of their excess cash to buy a healthy beverage line and market it properly. They probably need a new CEO, the Lady's Doritos idea was ""Flat"" to say the least.",0.8407
505,All Pepsi has to do for another stock price growth spurt is to announce that they are entering the Cannabis infused beverage and snack markets where legal.,0.799
506,Short selling should be outlawed lol it #$%$ hurts retail investors,-0.5495
507,Great earnings report! They showed organic sales growth which is great and important! The beverage business also did fantastic! The stock will be going much higher!,0.9689
508,"Pep used to be a great company to own. What happened? Two factors:1. The eliminated the buy back program. No buy back in 20212. Yields are moving higher making them more competitive against bond type stocks like PEP.Overall, it is extremely disappointing that Mgmt eliminated the buy back when we needed most.",0.8504
509,"Caught the divvy! I bought those 40 shares the other day when dipped to $129 range and caught the upswing a little, made few dollars. Rebought back in today the same 40, little higher CSA but I'll stop playing with now. $129-$133 is a great price for Pepsi. This is 5k ish I don't have any issues keeping + building my position as I intended. A lot would be great and it where I'm setting my goal for. I got little over 100 of  and that's my baby , PEP is a great hedge/2k Ravens defense so 60 more to go and I'll be pretty pleased. PeP Long!",0.9934
510,"Our office was going through about 5 cases of Pepsi products a week. Not as big a fan of Mr Pibb as was Dr. Pepper, but we switched to Coke products because we are afraid of Pepsi.",0.821
511,"TSN, IVR, PEP2021 Big bets-Dividends-Growth",0.1166
512,"What is going to move PEP stock is earnings. Sales of soft drinks has been on the downside for a few years, as soda is not healthy to drink due to caffeine, sugar, and other chemicals. PEP has to diversify more. Quaker needs to come out with new products, and PEP may have to acquire more competitors to go forward. I don't know if they can do it organically.",0.8284
513,Very quiet here. Agree with Tiamat.... chips and pop will be a staple for home bound survivors.,0.7688
514,"The people who are selling shares of this stock are an example of how inexplicably moronic many of these day traders are.Go ahead and sell though, I'm going to keep buying.",0.2244
515,I told anyone who would listen here to sell Pepsi and buy cash cow Altria for a forward p/e of 9 ( now 10) and a yield over 7.5 percent with better margins and growth than Pepsi. Hate to say sorry you didn't listen,0.694
516,I’m so shocked for the past three days PepsiCo stock keeps sliding down. Why ? It’s a solid company. I just don’t get it.,0.0393
517,if trading212 allows this stock to buy unlimited then its going to be bearish.. (im not shorting) i am willing to buy however i know their strategy(trading212),0.5559
518,Need to great more consumer pull ( take product off shelves ) ramp it up advertise,0.8731
519,Pepsi just bought Rockstar Beverage for near $4B with the high fructose water selling for $10 to $20 per gallon! Oil now selling for $3 per 42 gallons!!!! Sugar water at at $420 to $840 per 42 gallons vs. oil at $3 per 42 gallons.,0.6622
520,sell this turd and buy real dividends and growth with Altria.,0.2473
521,The FDA as stated Soda is the number one cause of diabetes so now you want to give the hispanics and minorities diabetes do you own diabetes drugs,0.9434
522,"wow pepsi taste like sour grapes, what a loser, going to drink something else",0.4262
523,BOYCOTT AMAZON. IT IS JUST A MATTER OF TIME TILL AMAZON TAKES OVER WHOLE PAYCHECK AND THEY WILL BE DOING THEIR OWN BRANDS AND FRITOS AND LAYS WILL SUFFER. BOYCOTT THEM. THEY WILL PROBABLY COME OUT WITH THEIR OWN BEVERAGE.,-0.3765
524,"someone needs to submit a shareholder proposal to split the stock, this fashion of never splitting is a bunch of #$%$",0.6993
525,"Today I watched the Philadelphia Veterans Parade, instead of the Eagles Broncos game. I could care less about Malcom jenkins, the eagles and pro football, and pepsi for sponsoring them.",0.7595
526,"A quick look at the charts... Sell the dividend, buy the dip appears to be in order.",0.6541
527,Anyone have a price target for today?,0.1186
528,"FWIW:Subject line in my in box 9/25/20:""Tell Pepsi & Coke: Stop Maniacally Marketing Sugary Drinks!""From: CSPI""Dear “Maniacal.” That’s how Pepsi described its own plan to aggressively push soda on college students in a secret industry marketing document that CSPI recently uncovered.Coke and Pepsi pay millions of dollars each year to buy “pouring rights” that allow them to bombard students with soda marketing. Through pouring rights contracts, beverage companies place soda ads all over campus, make sure sugary drinks are readily available in every campus store and dining hall, and require student athletes to market company products to their fans by using beverage-branded equipment, water bottles, and cups (even when they’re just drinking water).In a presentation to University of New Mexico in 2018, Pepsi admitted to being “maniacally focused” on driving up soda sales, despite increasing demand for healthier options and decreasing popularity of soda.Students deserve a healthy environment to live and learn, without the manipulative marketing of soda companies. Join us in Tweeting at Coke and Pepsi to stop their maniacal marketing of sugary drinks to college students!""Followed by a large ""CLICK TO TWEET""",0.9787
529,Has anyone discussed the short term impact of limited fans in seats at live games and therefore limited PEP product being sold? I’m long but trying to understand the impact here,-0.3848
530,them layoffs tho,-0.3738
531,Boom Zoom to the Moon!,0.2501
532,"Just cracked a can of ☆WiLD CheRRy PePsi☆ Since it's on the house, Pepsi's for EVERYBODY!!! Ex Dividend tomorrow so make sure you grab shares After Hours to get that juicy $1.0225 per share  Pepsi LONNNNG!",0.9112
533,With the market up over $400.00 how can PEP be going down with all the good news that is coming out with PEP???,0.6591
534,SICK!!!!!!!,0.0
535,Would love to get into PepsiCo but it’s gotta drop back down first.,-0.2418
536,"There are many serious mutual funds and institutions in the $REEDAmy positive news may move it substantially. $KO or $PEP should swallow it, $5 would be reasonable price acquisition.",0.8759
537,timber best buying time but how low it go before market turn around,-0.2535
538,4 red days in a row leading into a good earnings report ? Perfect dip buy for long value investors. Also a good Call option Play if the Options were liquid. I might grab one up though.,0.9758
539,Nfl football now on fox!!!!,0.6593
540,"Technically, still in problem territory.https://www.stockconsultant.com/consultnow/qc2_advanced.cgi?symbol=PEP",-0.4975
541,$MNST or $PEP at today's valuations? To me it seems like Monster is a better buy given it's growth prospects.,0.8997
542,3x price to sales; there are better investments out there.,0.6785
543,"As Belushi once said, ""Cheburgr, Cheburgr, Petsi Petsi..no Coke, Petsi""",0.3346
544,crazy market up 1000 down 1500. every day. sell high buy low.,-0.2331
545,It looks like this stock had a run up to its high prior earnings and continues to retreat lower daily despite great results. Looking for an entry point with this one as downward pressure continues.,0.9005
546,I have sell order in for my Pepsi stocks.. I will boycott products and don't want to be part of the biggest supporter of NFL..,0.393
547,Last day to get in on the free dividend lolllll shorties suck,0.2121
548,$170 stock ...easily,0.1899
549,I really don’t understand this. They did great being it that people stayed home. And now with market uncertainty this stock goes down. It makes no sense erasing almost all of yesterday’s gains,0.697
550,Get your Pepsi cold with ice cause here comes NFL FOOTBALL!!!!!ON CBS!!!!,0.6023
551,This market hates staples and Pep. Everyone wants cyclicals now. PepLooks like dead money at best. Great quality company but it is out of favor.,0.8131
552,Pep getting hit hard. Back to $125 soon,-0.0673
553,Did they raise the dividend again?,0.3793
554,"i am boycotting and shorting PEPSI, this has gone to far",-0.2962
555,Let’s face it this is about color of your skin and political correctness. Ithis is like jack in the box changing their name to Monterey Jack. A disaster. Fire whoever thought of removing an iconic brand name for a moron rebranding. Pathetic,-0.8868
556,Is there anything in the pipeline to replace Aunt Jemima products and brand ? I hate to see go.,0.3358
557,"Even Cramer is down on Pepsi, is that a good sign?",0.4345
558,Was just in here to ck out before buying some Pep. I was shocked and sicken to read the post from a person called “HANDSOME”- that was so so Racist! Was even more sadden to see not anyone called this low life Human piece of  out! Wow! Finding this more and more on these postings in others too! If you read something that is offensive-please Report It! Don’t let people use these boards to spread their Hatred! Not holding Pep responsible for THE IDIOT. Yet! They should watch their boards better!. We all hv a responsibility to report this Hatred! ,-0.8314
559,"Hello - I am a new long-term investor from the UK and have PEP in my portfolio. I am interested to know what your thoughts are regarding why the value has dropped by about 20% recently. Is it just the market correcting an over valuation, or have Pepsico made some decisions which have prompted investors to scarper? As I am in it for the long term, I am tempted to double my holding as it seems to be paying a good dividend.",0.9517
560,"I should have sold--I wanted to sell ----i thought things would get better --- MBL are burning flags in MO. ---the left is showing more hate for the flag - the Sponsors are MORE at risk ---read all the news---the hate , the public , the ---mothers ----the public has more power than the President , the public has turned on the NFL-----",-0.2488
561,Great graphic I found on today's PepsiCo earnings http://alph.st/b81273c9,0.6732
562,Testing ,-0.0438
563,Pepsi raised dividend 7%,0.1352
564,Conagra's Log Cabin brand syrup sales will go way up when the consumer can't find Aunt Jemima and will instead grab the other brand with the familiar packaging. The packing for pearl milling looks like a private label brand now. What a joke going woke........,0.777
565,Tempted to put in trailing stop loss before earnings,-0.4731
566,"Rumor,via a video that KO is about to enter the Canadian infused CBD drink market. Also they have commissioned a child safety top for their cans. Also a KO executive to become COO at ACB a leading Canadian Cannabis company.",0.8321
567,Get ready for massive sell off after close of today,0.3899
568,How can there be such a difference in closing yesterday and opening today. I watch after hour trading but it’s not actually trading until market opens...can anybody answer?,0.4222
569,This cheap stock might not be cheap for much longer. Ive been keeping an eye on CLIS for a while now. This Fantasy Sports play is going to change the whole dynamic of the game...In a good way. Start your DD,0.9689
570,Pep in the step today..,-0.167
571,http://stateofthenation2012.com/?p=39508,0.0
572,"""Analyst Lauren Lieberman upgraded PepsiCo (PEP) to Overweight from Equal Weight on Monday, while reiterating a target of $151 for the stock price.""",-0.1222
573,I’m getting tired of this stagnation. I wish they would raise their dividend more!,0.2193
574,More PEP in the step today !,-0.164
575,that went flat fast.,-0.1116
576,is this a good entry or wait?,0.5801
577,"PEP in consumer staples relatively has a low PE, therefore, I think it's a better value. Its recent quarter ER is also impressive in current economic climate. Sold some puts today to acquire shares.",0.9473
578,This stock will go to $150 if COVID flares up again,0.3407
579,https://www.youtube.com/watch?v=7eNIwVFx-nM&t=8s Full Earnings Call for anyone who missed it,0.3211
580,"Frontline tomorrow night: ""Plastic Wars""If you haven't seen this yet, after you view it you'll have a very different take on ""recycling"".",0.0629
581,PEP reached a 52 Week low at 112.00,-0.1464
582,"I downed a Mt. Dew, then took a look at MZOR....BOOM !",-0.1815
583,"""Pepsi. The Choice of a New Generation""",0.2188
584,"Pep to 142!! Hey guys can you please support this channel https://www.youtube.com/watch?v=1Bmbu72FGbc&t=12s he works really hard and it would mean a lot if you could watch the video comment, like or even subscribe :)PEP TO THE MOON !!",0.905
585,"Great stock for buy and hold. The 20k dividend every year is very nice. Full reinvestment, and when I retire in 5 years, between the Pep and 3m dividend, I can live comfortably and never have to touch the principal, and leave that for my kids. There is something to be said for dividend kings.",0.9499
586,"Pep will go up till earning july 10th. Falling knife if they miss,l hope not. Everybody stealling customer's",0.3475
587,SELL SELL SELL.....#boycottpepsi gaining traction. CEO to be fired.,0.5105
