,Recent headlines and conversations for WMT,Polarity
786,HOME DEPOT IS A GREAT PLACE TO WORK AND THEY ALSO LOOKING 4 HELP.,0.8588
787,Is the most people crossing our southern border in TWENTY YEARS considered a CRISIS?,-0.7139
788,"Glassfecal 3/19/18 DOW 24,610Enjoying the markets? You can't say I didn't warn you. But you ain't seen nothin yet.-And if you don't know what to do with you money in the meantime, I wouldn't go anywhere near bonds. I would suggest opening an account with Vanguard and invest in their CD's. Here's what they are paying on CD's right now. 1 year - 2.05%2 year - 2.55%3 year - 2.75%5 year - 2.90% Way too faulkin funny!",0.5032
789,Only 266K jobs added in April. 1M expected. A 75% MISS???,-0.3831
790,why the sudden drop Lee,-0.2871
791,"Great entry point here.. I loaded up on April $135 calls, very small premiums..",0.6978
792,"Target, WMT, HD. The consumer is back.",-0.0256
793,Enjoy the haircut. 138 EOD,0.0892
794,Andrew Brown had 10 kids and custody of none. None of them have his last name either.,-0.0855
795,"The way Tik Tok has integrated e-commerce and advertising capabilities in other markets is a clear benefit to creators and users in those markets,” the retailer said in a statement. “We believe a potential relationship with Tik Tok US in partnership with Microsoft could add this key functionality and provide Walmart with an important way for us to reach and serve omnichannel customers as well as grow our third-party marketplace and advertising businesses. We are confident that a Walmart and Microsoft partnership would meet both the expectations of US Tik Tok users while satisfying the concerns of US government regulators.",0.9843
796,"BABA reports before the bell tomorrow in case anyone is following that. I don't have a lot of it, but when I get enough cash in my Roth I buy another share or two. Up to 116 now.",0.9031
797,John is absolutely lying (clearly scared dems will be caught cheating). The UV lights are equivalent to how $100 bills are scanned to check if legit. The ballot paper is uniquely identifiable so it allows them to check for fake ballots.,-0.8572
798,"YALE ENDOWMENT, 31.2 BILLION, THEY ALSO HAVE WALMART STOCK, WHAT A SURPRISE,",0.9007
799,WHEN I WORKED @ HOME DEPOT AND WALMART TOOK ADVANTAGE OF EVERY WAY I COULD MAKE MONEY INVESTING.,0.689
800,WAL-MART STOCK @ $119.33 AFTER HOURS. GUESS THE STREET THINKS WAL-MART WILL BEAT ON EARNINGS TUESDAY.,0.7509
801,"Drat, she has the tapes.https://www.dailykos.com/stories/2018/8/13/1787866/--It-s-going-to-be-a-tough-couple-of-weeks-in-the-White-House-as-Omarosa-starts-playing-Trump-tapes",0.2122
802,"John asks: are all cult albino people Bernie Madoffs?The man behind a $50 billion Ponzi scheme that has roiled Wall Street and shaken up the nonprofit world was also a long-time contributor to Democrats, the nonpartisan Center for Responsive Politics has found. Bernard Madoff was arrested last Thursday and charged with operating a fraudulent money-management business with which he advised investors, hedge funds and institutions, including charitable foundations. Madoff made a fortune, and he played politics with some of that money. In total, he and his wife, Ruth, donated to federal candidates, parties and committees since 1991, with Democrats getting 88 percent of that.",0.8803
803,"Strong future for WMT not reflected in stock price lately, but holding long.",0.8928
804,perfect spot to add to your short-- this moved right into the under carriage of the upper B Bands-- I shorted again this morning-- see you'll at sub 100,0.4097
805,"If and when the capital gains tax goes up, people need to invest for long term and NOT TRADE.",0.8087
806,What about $CRRFY . Absolutely insane pricing for one of the largest retail stores in the WORLD at $3.39.... none of that makes any sense,-0.5096
807,"Now that we know that solar is the cheapest form of energy in US history, so are worried about waste. Solar panels are primarily made up of glass, plastic and aluminum all of which are readily recycled.",0.7848
808,"When you collect sales tax, you get to keep certain percent for collecting it. So, Amazon, Walmart will start collect sales tax for their third party sellers and it will give them a little more income. Ebay will need to come up with a plan. Some items on Ebay are new items and that is run like a business. Other items are from someone cleaning out and selling some antique items, clothes they don't want, etc, which probably shouldn't be taxed. They will need to declare on each listing whether sales tax applies. I know I have bought hot tub chemicals and filters on ebay and not paid sales tax.",0.9244
809,Why is Joe trying to pay for Infrastructure? He should adopt the GOP’s Tax Cut and spend fiscal Policy. People love it.,0.8136
810,How did we ever get so many people in our country that hate our country so much that they want to tear down everything about our country.The only viable solution to deal with this undesirable minority is to either get them out of our country by any means necessary or get them into prison where they all belong.,-0.0717
811,EXCLUSIVE: Asian father with baby attacked at SF grocery store,0.7482
812,"I SAID THIS BEFORE, MADE $ 26,000 IN LIKE 3 HOURS BETTING MONTICELLO HARNESS RACING.",0.7565
813,"PAC 12 HAS 4 TEAMS IN THE ROUND OF 16, OREGON, OREGON STATE, UCLA, USC .",-0.561
814,It appears the stimulus bill is good for the stock market. Of course the republicans are furious that it might help the lower and middle classes.,0.032
815,Sweden’s Volvo to begin producing the first cars with fossil-free steel this year.,0.1456
816,Remember when you guys were crying about the price of avocados when DT closed the southern border? Seems pretty petty compared to the MASSIVE INFLATION across the board we are seeing now huh? LOL,0.4815
817,"If a policeman tells you to do something, PLEASE....",0.1944
818,Great buying opportunity on today's dip to grab some WMT in my opinion! I just picked some up. Good luck all!,0.962
819,Penynostoc is now down on his last three shorts. He said he was shorting if it stayed above 141 and it did. He is only down a few cents on the last short but he does have borrowing cost to short. I don't know how much that is. He doesn't mind paying the dividend either.,-0.3868
820,"What Is Corporate Tax? A corporate tax is a tax on the profits of a corporation. The taxes are paid on a company's taxable income, which includes revenue minus cost of goods sold (COGS), general and administrative (G&A) expenses, selling and marketing, research and development, depreciation, and other operating costs. Investopedia...... So, corporations then pay a tax based on that profit. and often theywill pay a dividend & the dividend is not a 'cost' to a company, "" it is a distribution from profits to stakeholders for providing capital."" ditto for taxes which are in reality also a "".. not a cost to a company. It is a distribution out of profits. That puts tax in the same category as a dividend - it is a return to the stakeholders in the enterprise. This reflects the fact that companies do not make profit merely by using investors' capital. They also use the societies in which they operate, whether that is the physical infrastructure provided by the state, the people the state has educated, or the legal infrastructure that allows companies to protect their property rights. Tax is the return due on this investment by society from which companies benefit."" Richard Murphy, economist & professor",0.9695
821,"Go clean up your own backyard before you talk to me about mine.Chicago shootings: 30 shot, 3 fatally, in weekend violence across citySun-Times Media Wire Monday, March 29, 2021 8:36AM",-0.2835
822,"Jeebus WMT is getting sold off like no tomorrow. Makes no sense. What are you going to do, buy bonds for 1.5% or hold cash for negative returns, or buy over bought tech stocks? No, you are going to buy value dividend yielding stocks. Especially when they are being discounted like this",0.1782
823,"No deputies will be charged in ‘justified’ shooting death of Andrew Brown Jr., DA saysBY KATE MURPHY, MARTHA QUILLIN, AND JOSH SHAFFERMAY 18, 2021 11:06 AM, UPDATED 14 MINUTES AGO",-0.6121
824,Musk promises a next generation Model 3 under $30k. That’s a game changer,0.6922
825,Drivers love their Tesla’s.,0.6369
826,"B$den is far from perfect, but at least its not DJT. He destroyed the GOP and is responsible for losing the the House of Representatives and the Senate.",-0.7267
827,"YES SIR RE BOB, PENYSTOC KNOWS HOW TO PICK EM, SHORTED TARGET YESTERDAY WENT UP $ 12 AND UP ANOTHER $3 TODAY.",0.9365
828,"Coming soon to a grocery store forced to pay $15 an hour near you!!! GO AMAZON! lolLondon (CNN Business)There's something unusual about Amazon's first physical store outside the United States: No waiting to pay.The e-commerce giant opened a convenience grocery store in London on Thursday that offers ""just walk out"" shopping — meaning customers don't scan items or pay for them in store.Instead, customers scan a QR code using the Amazon app when they arrive, bag the items they want to purchase, and leave.",0.9044
829,"GOP doesn't want people in DC to have 2 senators just like Wyoming., for instance.Wyoming has fewer people, and they have lower avg income, btw, than the citizens of D.C.GOP knows they are just not competitive, & just plain phony to be OK with taxation without representation for the citizens of DC.",0.6882
830,"At least WMT is up today so even if the numbers aren't what the market wants tomorrow, we now have more to give back than we did yesterday. Cross your fingers. I did my part by ordering several items on line that they did not have in the store this quarter. When I look at my credit card bill, most every charge is WMT. There were a few Ebay.",0.7562
831,"@ SHEP , HOPE YOUR GRANDSON MAKE IT 2 THE BIGS , INSANE MONEY BEING PAID OUT.",0.2345
832,"today HD reported on damage from Trump tariffs as have others...."" Home Depot, said in an earnings release that the company was reducing sales guidance in part to account for “potential impacts to the U.S. consumer arising from recently announced tariffs.” . J.C. Penny said last week that the company is expecting a financial hit from the next wave of China tariffs, which will tax clothing and other retail products. A Kohl’s executive said the retailer had experienced unspecified damage from the first waves of China tariffs and expected additional pain from the upcoming batches.""",-0.4096
833,"Ohhh wait M Gaetz is now endorsing Venmo with the tag line. ""I use it for all my minor purchases"" Now that's solid gold hunor",0.1357
834,"Entire market down today, not just WMT. Hang in there longs.",0.2345
835,"Well, I’m outta here for a while. Protest to attend. Hopefully some free stuff.",0.8507
836,"hows the border these days? dont ask harris, she hasnt been!",0.4562
837,must be a slow day no one went to count cars in the parking lot-- can you imagine someone at Goldman doing research on a company using parking lots -- Citadel is cracking every time they read those things -- best short in the DOW right here right now,0.5731
838,"Nearly half of the homicide victims in 2020 were people of color, many of them from Portland’s historically Black neighborhoods, according to city statistics even though they make up just 6% of the population.",0.3307
839,"GOOD NEWS: WALMART BOUGHT RAKUTEN STOCKS Rakuten jump 20% after stake sale to Walmart, TencentShares of Japanese tech giant Rakuten jumped 20% on Monday after it announced plans to raise $2.2 billion in a bid to better compete with its U.S. rivals.Rakuten said in Friday it will issue new shares to Japan Post, Tencent and Walmart.Hiroshi Mikitani, Rakuten’s founder, chairman and chief executive, told CNBC that his company is “growing very fast — even at this size — and we need more capital for the growth.”",0.9578
840,Masks Off....Crisis over....Markets soar!,0.426
841,Most poIice departments in big blue cities are operating with 30% less officers than they need and the results are showing up in the increase in kiIIings. Keep up the great work dems!,0.8581
842,"SHEP. HERE...................... If you search for Brandon Maxwell's designs, you will see some beautiful clothes with lots of style.",0.7633
843,counting cars in the parking lot or the technicals-- they can't both be right -- it's one or the other,0.2518
844,Why is Joe turning COVID positive illegals loose in,0.7436
845,Elon Musk is going to Crush the Crypto Currency Markets with his recent announcements regarding Tesla and Bitcoin,0.4445
846,"caitlyn jenner is running for CA gov. finally, someone will be in charge who has some some",0.5058
847,"Joe Biden has received over $900,000 from the University of Pennsylvania. Biden is supposed to be a professor there. China has donated millions to the University. “National Legal and Policy Center (NLPC), a nonprofit public interest organization, filed a complaint with the Department of Education requesting that it conduct a full investigation into the University of Pennsylvania’s failure to disclose the source of millions of dollars of donations from China since 2013 to the university and its Biden Center for Diplomacy and Global Engagement as required by law.Since 2017 alone, when the Biden Center opened and after Joe Biden announced he was running for President in April 2018, the university received over $70 million from China, of which $22 million were listed as “Anonymous.” Federal law requires the disclosure of the source of all donations over $250,000. The complaint also requests referral to the Department of Justice to file an enforcement action seeking compliance and to recoup all the costs of the investigation.”",0.9823
848,On the Road to $145,-0.0234
849,"MORTGAGEIs Walmart gunning for the mortgage industry? Experts say yesExperts Holden Lewis, Greg McBride and Jill Gonzalez share their thoughts on Walmart's foray into fintech and what it could mean for the mortgage industry",0.8368
850,The problem wasn't he had both hands on the steering wheel. The problem was he had one foot on the gas.,-0.6697
851,Cancel culture is now demanding that the game monopoly make changes in their game.Parts of their game are being perceived as being racist.,-0.808
852,"Voter ID Requirements are a Solution in Search of a Problem In-person fraud is vanishingly rare. A recent study found that, since 2000, there were only 31 credible allegations of voter impersonation – the only type of fraud that photo IDs could prevent – during a period of time in which over 1 billion ballots were cast.",-0.5097
853,"top Republican endorsed the ouster of Liz from the party’s leadership team, Her removal means that kissing the 'ring' of former president Donald is a requirement to hold power in the GOP.",0.9255
854,longs keep yelling buy the chart is screaming sell,0.0529
855,Did you notice that $wmt is closer to $100 than $200 yet?,0.1014
856,You can’t put another car in parking lot or shopper in store and price goes down $10 ! Who sold is giving another buy a great entry point,0.8308
857,The only way to keep up with inflation is to have dividend paying stocks. Companies can raise the dividends and many have since January. Interest in a bank doesn't pay you to even have money in the bank. Owning dividend paying stocks is the way to go.,0.7808
858,"Another mass shooting. (CNN)Five people were shot, two fatally, during a gathering early Saturday on the South Side of Chicago, police said. Victims were 21 and 26 years old.",-0.9212
859,"PENYSTOC IS WORRIED, NOT US WALMART LONGS.",0.0222
860,Plaque marking the first Icelandic glacier lost to global warming to be unveiled in Augusthttps://www.icelandreview.com/news/first-glacier-lost-to-climate-change-to-be-memorialised/,-0.3183
861,The corrupt labor unions do not accept the results of the AMZN workers voting to reject them.,-0.4658
862,Senator Sander proposed a bill to tax America corporations @ 35%. Why in the world should the government be able to tax corporations that much for taking no risk and doing little work? The government is bloated and inefficient like an over-weighted referee who can't run or see well and makes a lot of wrong calls!,-0.8441
863,I would think that stocks with the biggest profits will be the ones to drop the most as they are sold.,0.3613
864,IN WEST PALM BEACH COMPANIES HAVING A HARD TIME 2 FILL JOB OPENINGS.,0.2628
865,"Good read: Yahoo FinanceThese companies are jacking up prices because of exploding inflationBrian Sozzi·Editor-at-LargeWed, May 12, 2021, 2:58 PM",0.7992
866,We need oil to drop to 50 to remain bullish. Its a massive tax on consumers here $spy $aapl $amzn $wmt $xle $xom oil is wayyyyyy too high here,-0.4151
867,I guess wonderslob doesn't wish to discuss why Walgreen said to heII with San Francisco.,-0.1364
868,where are all the shorts at?,0.0364
869,WOW! 10 people are reading the WMT board today!,0.793
870,LOOKS LIKE PENYSTOC GOT RAN OVER BY THE WALMART EXPRESS.,0.5038
871,Kudos to Liz Cheney fighting for our democracy and what is the RIGHT thing to do as opposed to all the other spineless ones worried about their own political aspirations. Shout out to Kinzinger too.,0.4883
872,"I am ready for the first rate increase. We need to cool off the economy. If you look around, everything is going up. There are hiring signs everywhere. We have a bunch of food trucks around town that have picnic tables set up and they are doing a fantastic business. People are getting out and doing things now. Dillards said clothing is really selling. Dillards was up $23 on Friday. People have money and don't mind paying higher prices, but if the feds don't quiet this, it will get worse. I won't buy stocks now till after the stepped up basis comes up and hopefully it won't get taken away. I also won't buy until the rates rise some. I plan to give my kids cash from dividends because if the stepped up basis goes away, there is no need for me to invest anymore.",0.8542
873,This is exactly the kind of thing that happens when a weakling is is office. Accountable my 4$$!!!,0.406
874,"I agree, Q1 401K statements will look great. Should create a wealth Effect tail wind, combined with the Stimulus money that should be very positive for the consumer. The Recovery will be Rapid and Robust",0.9547
875,It is time to stop demonizing immigration with racism.America is built on immigration. Literally. Cheers!,0.2974
876,Jimmy Carter just restated what the entire American intelligence community has been saying over the last two years,0.3725
877,"depending on the overall market, I'll buyback at 136 to 138 ... charts show some pullback before resuming its march up to 144 to fill the gap",0.6794
878,Motley Fool says If you owned an ETF that tracked the S & P 500 since 1980 your annual return would be 11% inclusive of dividends and if you reinvested those you would have doubled your money in less than 7 years.,0.6582
879,"so, the USA had about 4000 migrant children in custody for the month of Jan. 2021.for most of 2018 and 2019 the USA had over 13,000 migrant children in custody.google UC Data – FY2019",0.4874
880,"I haven't seen any results from Dixville Notch, New Hampshire yet. They are one of the three small towns in New Hampshire where they go to vote at midnight and quickly have their results. I don't know, maybe they just do that in presidential elections. Doesn't mean anything but always fun to watch.",0.9126
881,One thing you can't argue with: the markets love what happened on Jan 6,0.8386
882,Yahoo being sold to Apollo Group by Verizon. The first thing the new owners need to do is close these message boards because they've become a joke and nothing but a playground for the people who hate this country and democracy because that's all they have left in life now that their leader has been banished.,0.4479
883,"Are felonies bad?According to federal law, crimes involving counterfeit currency are felonies; they carry a maximum sentence of 20 years in prison, as well as a fine.",-0.8678
884,"fritz i missed Tucker, who was his guest tonight?? i know you tuned in.",-0.3399
885,"if they cared about our democracy,they would be making it easier to vote,not harder. Their voter suppression laws are anti-American.",0.4067
886,"Plus, we longs get a dividend in about 3 weeks.",0.5337
887,"WMT is AMZN on steroids Walmart to be bigger, Better Shoppers still love Brick & Mortar Stores. WMT might even outpace AMZN on-line shopping TOO.approximately 300 million customer visits each week to Walmart stores throughout the world.It's easier for Walmart to emulate Amazon, than Amazon to be like Walmart. There are 4,756 Walmart stores in the US. On a global scale, Walmart has a total number of 11,501 stores. Last year brought a considerable increase in Walmart’s online sales. daily foot traffic, in 2020, an estimated average of 37 million people. In the Amazon vs. Walmart revenue battle, the latter wins without a doubt. AND, Walmart Annual Dividend/Yield$2.20/1.66%. Amazon 0.00/0.00%AND, Last but not LeastWalmart Invests in Cruise, the All-Electric Self-Driving CompanyWalmart proves success with Delivery Robots.We began working with Cruise in November of last year developing a delivery pilot in Scottsdale, Arizona. We’ve been impressed with Cruise’s differentiated business model, unique technology and unmatched driverless testing. We also value our shared commitment to a zero emissions future.",0.9965
888,ASCE say USA needs to invest $2.59 trillion over 10-years on USA infrastructure.Joe's plan does about that. gop senate countered with a low ball plan of about 20% of that figure America's engineers say we need.,0.6769
889,I wonder if Penynostoc is getting frustrated?,-0.5046
890,"SHEP. HERE..................... I guess the $15 minimum wage thing is taking WMT down. However, raising the minimum wage is not a zero sum game. It means the items WMT sells will be going up too. When the new stimulus comes out, WMT will get at least 10% of that because WMT gets 10% of the retail dollars spent in the country.",0.2918
891,"Report with three dots to the right, RWR. Inappropriate and spamming posts non-stop in violation of posting policies.",-0.7718
892,no photo or name of the shooter released. you know what that means,0.0398
893,SHEP . HERE................... With interest rates ticking up banks and insurance should be in a portfolio. Banks make more when rates go up and insurance companies make more on their holdings.,0.7397
894,"Self described: “I want to be clear that this was not a protest group,” Chris Davis, Portland’s assistant police chief, said. “This was a group of people who have come to believe that they are entitled to damage other people’s property, threaten community members and assault police officers.”Police said the rioters were the same group they have come up against throughout the past nine months: the “self-described anarchist left”",-0.3413
895,Now they are talking about borrowing and spending even trillions more for an infrastructure bill that we can't pay for without disgracefully once again stiffing our children and grandchildren with the bill ofpaying for it. Its disgusting and despicable what these politicians are doing obligating future generations of Americans to pay for the reckless borrowing and over spending they are doing today.,-0.4133
896,"False.There is no language in HR-1 that ""bans"" voter identification lawsNews week fact check debunking the pub lie that H.R.1 is a "" ban on voter ID nationwide""",-0.5346
897,Now that the Covid Crisis is over you’ll see fully booked hotels.,-0.6677
898,"SHEP. HERE...................................... We got through with the absentee ballots and got home early. Using an assembly line process, it doesn't take long. One person opens the ballot, another takes it out of the sealed envelope, and others flatten it out and someone feeds it into the machine that counts it. It is great to see WMT up nicely.",0.8312
899,"Look at the volume. WMT is spending some of the $20,000,000,000 buying back cheap shares.",0.7137
900,"PROBLEM WITH WALMART SALES. Yes they jumped 20% last month but now traffic in stores is rapidly declining as everyone stocked up. Sections of stores are being closed as ""non essential"" depriving Walmart of higher margin sales.",0.0241
901,"I’m shocked! SHOCKED I TELL YOU!!!Earlier in the hearing at the Pasquotank County Courthouse, District Attorney Andrew Womble said that body camera footage showed that Brown's car made contact with deputies twice as he backed out of the driveway of his home in Elizabeth City, N.C. on April 21",0.6713
902,"is trump the new Hoover? Hoover was advised by his Treasury sec Andrew Mellon “Liquidate labor, liquidate stocks, liquidate the farmers, liquidate real estate..(basically ruin everone)..one of Hoover's most disasterous ideas was TARIFFS, which crashed US exports & American farmers were the hardest hit.....",-0.8501
903,Will low income families spend on Amazon? Or locally?,-0.2146
904,SHEP. HERE............................ I just got back from WMT and it was busy for the middle of the day.,0.3624
905,"https://m.dailykos.com/stories/2016/10/6/1578544/-The-Untold-Story-of-Trump-Model-Management-A-Daily-Kos-Exclusive-Part-1?fbclid=IwAR0Y_tMDwj8N8FnBNdE0dVUCFg-7e_zZ4Hk_DsRf-mTyUv_03NwbWf-LgVEWe All Knew About the Trafficking""-The Untold Story of Trump Model Management If it is sleazy Donald's involved",0.2688
906,mares must have gone to the same bidness skool as fritz,-0.0081
907,"DAY-UM!!!CNN averaged 3.1 million primetime viewers from Dec. 28 through Jan 20, but it plummeted to 1.6 million from Inauguration Day to the present for a drop of 49%. When it comes to the key demo, CNN lost a staggering 58% of its viewers during the same time frames.",0.3459
908,This board is 90% politics and 10% about the stock. Go to a political board. This is for investors.,0.4495
909,"There is an article on the web about a child who burned a lab's face and there was a 10k reward posted and the boy confessed. He is under age and can't be charged under Mississippi law, but I swear if my child did that, I think I could honestly do away with him. Any child who can harm an animal is very likely to harm an adult later in life. There is something wrong with a person who tortures. The misery that poor dog endured is beyond belief. If I were the owner, I would be suing the parents for non parenting.",-0.7801
910,"Big brother authoritarians want to meddle with your family planning.They don't like vaccinations either, or science.Or democracy. ntm ... U.S. the only industrialized country without paid family medical leave...",0.6059
911,Flat market today.,-0.0096
912,"I mean I'm glad Shopify/$SHOP are partners with $WMT but who on earth would choose to invest in Walmart over Shopify in 2021? Facebook, Instagram, Pinterest, Google, Apple, ""WALMART"" are ALL partners with Shopify because they couldn't do what Shopify does. Shopify IS the future of ecommerce moving forward. After the recent Google partnership just wait till Google embedded Shopify into Youtube where you can buy things about the video you're watching without leaving the page.Walmart= old newsShopify = The obvious future.",0.9647
913,"With $300 being given per child starting in July, you have to know where a big percent of that money is going-----WMT.",0.6583
914,The Republicans know how to make money and the Democrats plan to take most of it away and give it to those that can't figure out how to live life.,0.3492
915,"Tell me one more time why Joe is sending them billion$?New Delhi (CNN)While hospitals plead for life-saving oxygen and Covid-19 patients die in their thousands, India's Prime Minister Narendra Modi is pushing ahead with a $1.8 billion parliamentary revamp -- including a new home for the country's leader.",0.5524
916,Someone give me ONE good reason why I shouldn't be able to compete in women's sports.,0.5917
917,"Maxine Waters representative of California was in Minneapolis and staying through Monday inciting violence and looting. Guess it’s Democrat privilege.U.S. Rep. Maxine Waters, D-Calif., showed up at an anti-police brutality protest in Brooklyn Center, Minnesota, on Saturday evening, saying demonstrators needed to ""stay on the street,"" demanding justice until police reform becomes a reality.""I’m going to fight with all of the people who stand for justice,"" Waters told reporters shortly before an 11 p.m. curfew. ""We’ve got to get justice in this country and we cannot allow these killings to continue.""",0.2002
918,"110/share and will stabilize, it is what it is with the rate sky rocketing even with retain and what they sell...but won't go under for sure like some others",0.888
919,Business InsiderMore than 120 retired generals and admirals wrote to JB suggesting he wasn't legitimately elected and questioning his mental health,0.5643
920,"22,500,000 is the number of deaths that is acceptable to fritz.",0.3603
921,"SHEP. HERE.,,,,,,,,,,,,,,,,,,, Ray Dalio initiated new buys in WMT and PG. PG pays a great dividend and their products are some of the most needed. I don't usually buy the rocket stocks. I buy the ones that I use and that millions of people use and that pay good dividends. We have owned PG for years (400 shares). The dividend was paid today. For some reason our brokerage shows it today and it becomes available on Monday. ABT, ABBV and some other one paid today and they are also great div. payers.",0.9693
922,"SHEP. HERE......................... Nice day for WMT. I did make a brief stop at wmt for one item. Everyone knows that is absolutely impossible to buy just ONE ITEM. So, I did buy a new T shirt,too.",0.8694
923,"Zoetis is buying something today. ZTS is one to own but I don't own it. It was spun off not too long ago and it does pay a div. and has raised it, but it isn't very high. Animals are a big thing in the US.",0.7945
924,"April 12, 2018Tackling Montana’s Workforce Shortage Montana Business Quarterly",-0.2818
925,"SHEP. HERE.................................... GREEN is such a pretty color. When WMT falls like it has the last two weeks, I use the ostrich approach to investing. I stick my head in the sand and I don't look at my account. I doubt I will open it until after the next dividend is paid which will be about April 4. WMT does well in the spring--- Easter/plants/graduation/Mother's Day.",0.6225
926,Walmart baby !!!!,0.6448
927,"""We are all too familiar with the stories of welfare mothers driving luxury cars and leading lifestyles that mirror the rich and famous,"" Senator JB 1988",0.5722
928,"Anthony and M1, DJT lost and yet you both still subscribe to all his lies and falsehoods and come here to share them. Move on and live in the real world instead of the alternate one in your heads.",-0.2757
929,Joe's failure on getting people back to work is good news for WalMart.,0.3809
930,"H.R. 1 - The For the People Act. H.R. 1 is a sweeping package of pro-democracy and anticorruption reforms to put power back in the hands of the American people by ending the dominance of big money in politics; making it easier, not harder, to vote see: Inside the Koch-Backed Effort to BLOCK the Largest Election-Reform Bill in Half a Century.........(the billionaires hate democracy & want to continue to BUY congress)",0.5982
931,"SHEP. HERE....... Food for thought. In case you haven't thought of this, when WMT buys back shares and takes them out of the market, the Waltons need to sell shares to keep their percent from getting too big. The Waltons own about 51% and I doubt they want it bigger.",0.8005
932,Will never sell this stock till the day that I die and even then you have to pry the stock certificate from my cold dead hands! There’s so many green days ahead!,-0.8
933,Oh boy our master investor clone shep is pack giving advice. Maybe he tell us all about his wonderful stock picks. Last check he was hovering around a negative 60% return.,0.8548
934,I am thinking positive while it is true it is going sub 100 perhaps my 86 target is a little too low-- it stops at 98,0.3893
935,Gaetz asked Donny for a preemptive pardon before he left office. Obviously he knew he was going to be in big trouble.,0.5441
936,Stores closing to raise money for investment,0.3001
937,"Will higher interest rates, higher unemployment and runaway inflation derail the economy?",-0.3184
938,I've said it before. Get to know your neighbors. If joe and the Ho try to bring communism to this country you will know exactly who to keep an eye on...,0.9301
939,im sick of working for a living. pepino where do i apply for welfare and unemployment? maybe i can get $60 an hour total.,-0.4297
940,IF I KEEP HOLDING ON TO WALMART SOMEDAY SOON WILL HAVE 1 MILLION IN THE STOCK.,0.7469
941,"HAD MY FIRST COVID SHOT TODAY MODERNA , SECOND SHOT WILL BE MAY 24TH.",0.3099
942,"speaking of cancel culture:""Our Supreme Court and our courts didn't have the courage to overturn elections"" -- DJTor...... Mike Lindell Calls For Martial Law To Be Declared",0.2687
943,Yahoo deleting posts again or Kingstupid/clone shep?,0.149
944,We can not allow our reckless and irresponsible politicians to continue to borrow and spend vast amounts of money that we don't have and can no longer afford to borrow as if there is no limit a sto how high our national debt can go.Because there is a limit that will cause bond rates and interest rates to spike higher possibly even causing the value of the US dollar to plummet in value.We can not allow our reckless and irresponsible politicians to do that to our country and all American citizens .,-0.7508
945,"'G.O.P. is the same as it ever was: It’s for tax cuts that favor corporations and the wealthy, against anything that might improve the lives of ordinary workers.'",0.6178
946,"I look at taxes in a much different way. We need to tax each child being born. When a woman goes to the hospital, she needs to be prepared to pay for the child she is about to have. Now, those who are responsible parents, will have anticipated this and have the money ready to pay. You can see how this will work out. I posted something similar earlier and Yahoo censored it.",0.9399
947,Facts on market timing. Obviously some here don't make much money in the stock markethttps://www.fidelity.com/bin-public/060_www_fidelity_com/documents/dont-miss-best-days.pdf,0.1821
948,after hoursLee,-0.06
949,"is the completion real , is it better , it must be .....Wally World had 2% increase , with vaccines drawing customers in the store ..........................Target's stores. Comparable sales surged 22.9%",0.3766
950,Senate confirms Merrick Garland as attorney general,0.6457
951,"Well no wonder. Joe is paying everyone to stay home! NO MORE STIMULUS!!!April jobs report: Payrolls rose by 266,000, sharply missing estimates of 1,000,000, as unemployment rate increased to 6.1%",0.3615
952,"Penynostoc, must not really go to a trading desk. He has posted almost non stop all morning. I was out digging holes to plant azaleas and came in to have lunch. To listen to Penynostoc, you would think institutions were really selling but the volume is normal and WMT is slowly coming back. It is only down .69 right now. If you listen to Penynostoc, you will be very sorry. He has only been wrong 20 months so far. But he doesn't give up.",0.1273
953,"colonial pipeline has a history of ""gross negligence"" for oil spills...Obviously they were lax on cyber security...""there are basic steps that could have been taken to prevent the crisis that’s unfolding now."" "" Companies are regularly failing to practice even basic security hygiene, which leaves critical infrastructure open to attack. Good security hygiene can include relatively simple things like requiring multi-factor authentication, having response plans ready, and keeping backup systems in place. With Colonial Pipeline, failing to keep its network segmented — so that bad actors can’t easily hop from one piece of the system to the next — was a big problem that shows a lack of cyber hygiene, according to Reiner. Colonial’s IT system was attacked, but that was connected to the company’s operating system, so it shut that down, too. """,-0.6078
954,"The majority of the victims of homicide in Chicago are young, black menBlack, not hispanic (580)Not known (114)Hispanic (68)White, not hispanic (40)Asian (2)Black, hispanic (1)",-0.0522
955,"Let's get to the Facts. The Consumer is changing, very slowly, but changing how they shop. Walmart is where Amazon Buyers are going, Online and in store, they are taking share.",0.9119
956,Tight little three week base. Good sign that it finished the day green. Maybe a little more volume then a breakout to about $151.00 plus.,0.9532
957,"who is this ""THEY"" maxine refers to? hmmmmmmm................... she might be a",0.3272
958,"as with the texas failure to REQUIRE electric & gas utes to WINTERIZE... which caused greatharm to citizens..... and which is part and parcel of gop deregulation..... The colonial pipelineshutdown is the result, NO DOUBT, of the failure of this private company to implement cyber security and the SAME lack of regulation that would REQUIRE them to meet the best standards for cyber security.",-0.7795
959,"HOME DEPOT WILL SET A NEW 52 WEEK HIGH TODAY,",0.8368
960,"I'm in the same party as GreenE!"" Joe",0.7719
