,Recent headlines and conversations for HD,Polarity
346,I just want to thank swamp denizens Cohen and Manafort for that lovely opportunity to load up at 198.52 during yesterday post market panic.,0.8631
347,Let’s all pray to the table saw it takes one more hit so we can buy.,0.5615
348,Stop the madness!!!,-0.7216
349,I would buy the building materials suppliers stock as they also has recorded sales. They are on sales in Canada with distribution to the States - CWX.TO and GDL.TO are the to picks with growing sales and profit margin on a secular trend.,0.7396
350,Short it.,-0.4807
351,This should pop to $300-$330 from earnings,0.3001
352,Strong leading indicator of COVID-driven decline/recovery = blank-sailing data. Container carriers “blank” (cancel) sailings ahead of time if bookings are too weak. Blank-sailing trends signal demand trends a month or more into the future. Here’s new in-depth American Shipper Q&A on blank sailings with Sea-Intelligence CEO Alan Murphy: $AMZN $HD $WMT $TGT $BBY https://www.freightwaves.com/news/qa-inside-the-early-warning-system-of-global-trade,0.7288
353,"Existing home sales at 8 month high. This means new homeowners go to Home Depot to get paint, maintenance supplies, and repair items. Spring is the busiest season for HD.https://www.nar.realtor/topics/existing-home-sales",0.775
354,"Analyst Actions: Stifel Nicolaus Lifts Home Depot's Price Target to $260 From $220, Reiterates Buy RatingBY MT Newswires— 8:58 AM ET 05/20/20",0.5396
355,This looks like all the $ is going to the same people that got it during the Great Recession,0.5834
356,Atlanta home depot hours of business 6am 6pm. it will effect future earnings. if your are share holder you need to know. your busines will close early. fyi,0.668
357,I have been pounding the table looking for a good place to park this cash and I finally found a website that send out income producing plays once a week. If you are like me and are interested in strong dividend plays just go to the-stockdork .,0.9615
358,Hopefully a split this week!,0.5874
359,Why is red?,-0.2062
360,ISM manufacturing shows drop as does construction spending...hmmmmmmmmmhttp://www.foxbusiness.com/features/2017/05/01/ism-manufacturing-index-slides-to-54-8-in-april.html,-0.6455
361,SANP solid small and ready to move up Long and Stong.. Very good small works..,0.8896
362,Time for a management shakeout! Second reduced guidance call in a month is not acceptable!,0.4695
363,DO YOU SEE MORE BUYING THESE DIPS BEFORE LUNCH.....HD and AABB Gold-backed Cryptocurrency ???,0.8023
364,"there are lot of broken house and buildings need repair, the gardens need landscaping, American people need vacation house, HD sales is half way, HD have huge room to rise, HD can reach $250 per share in short-term.",0.2348
365,"Looks like HD is back to pre-Amazon levels. One junk appliance brand selling online isn't going to make a dent in HD. Housing prices are way up, the economy is good, people are remodeling instead of selling, and investors/flippers are rampant. Everyone is buying shovels for this housing gold rush at HD!",0.7998
366,Thanks for the dividend HD. Show me the money!,0.5638
367,Common sense if HD can increase its dividend 32% in a weak quarter.,0.0575
368,"i thought this was interestingi, you may recall HD reported 3.7% same store sales but below WS est of 4.3%. Checkout LOW's report this morning as their comp or same store sales much less than HD's:06:24 AM EST, 02/27/2019 (MT Newswires) -- Lowe's Companies ( LOW) , a home improvement retailer, reported fiscal Q4 adjusted earnings of $0.80 per share, up from $0.74 in the same period a year ago and topping the estimate of $0.79 from analysts polled by Capital IQ.For the quarter ended Feb. 1 total revenue of $15.65 billion was up from $15.49 billion in the same period a year ago and missed the Street projection of $15.75 billion. Comparable sales increased 1.7% for the quarter, vs. analyst estimates of a 2% increase.Lowe's ( LOW) ) said it expects fiscal 2019 EPS in the range of $6.00 to $6.10, in line with the Street estimate of $6.04. The company expects full year revenue to increase by 2% from $71.31 billion in 2018. The guidance implies a range of $72.74 billion, vs. the Street estimate of $72.70 billion.",0.9878
369,What the heck is going on?,0.0311
370,"I now realize no matter what you say to R, he will continue posting and replying many times over... he has now over 12700 posts. I have now muted him and the world is a much nicer place!",0.7857
371,"Here comes $ 235.00!!! UP, UP, AND AWAY!!!",0.7133
372,"At some point investors who seek companies with actual earnings look like geniuses once all the hype over an imaginary coin and the companies with no earnings to speak of have faded. Long after the get rich quick seekers and delusional dreamers leave, you won't find many prodigies; just long term investors checking earnings.",0.7996
373,Stock is up 63 percent in one year Sales up 18 percent Buy Buy Buy,0.8111
374,What happen why the big drop?,-0.107
375,"Bottom line is there is a huge amount of stuff Home Depot sells that can be sold online.And forget the we have to see it first fairy tale.A power saw,a drill . Lots of expensive items can be discounted online.And the discounts will be large.",0.7784
376,close stores?,-0.0726
377,"Rip off pri...my Son and i did a double wide door torsion spring the other day. There are wayne-dalton doors out there everywhere. The doors are lower priced and are decent. Half of them a torsion spring up above and the other have have a mickey mouse setup. A long tube with two small long springs on the inside of the tube. The customer had the mm setup, so we changed them out to a regular torsion spring change. He had two bids. One for 400 bucks and the other for 500 bucks. The 2nd rip off artist was going to change out the small broken spring on one side, which makes no sense because the other spring would have broken soon after. That rip-off pri.. wanted 500 bucks.A friend of the customer gave him our name and we took out that goofy setup and put in two torsion springs and everything that went with it for 200 bucks.People that scr.. people are going to get scre... in the end.No doubt about it....",0.9856
378,it's 3 hours before opening and looks like Home Depot pre-market is up $3 what's up with that,0.7632
379,Evil Home Despot strikes again.,-0.6682
380,Moving quickly off the lows,0.1593
381,I guess we will have to wait until @ Feb 23 to find out about the dividend increase an additional buy back. It is going to be a rough 6 weeks while we wait and the trend is down due Mgmt mistakes. Hard to understand the constant buying and selling of HD Supply or hiking wages during a high unemployment environment. Anyhow as a result of these actions the stock has moved from $290 to around $265. Very sad for shareholders.,0.7416
382,POTN buy buy buy..,0.2595
383,I buy pile of HD today... HD is great long term company. period..... always has been.,0.8552
384,Ian Christopher Hiller’s quote “Tank Home Depot on target bubble”,0.302
385,"$160 here we come! No way Amazon can compete. People do not buy plumbing parts or house repair items on Amazon, especially when they need the item now.",0.5032
386,"Cramer has a 50% chance of being right on a stock. If it fails, he just says not all his ideas work out. Is he a fortune yeller?",0.5011
387,Phil McCrackin uses illegal h 2 0 back workers.,-0.523
388,Just reached 52 week high,0.4442
389,"Got another example yesterday of corruption in our government, when the Wall Street Journal reported that Virginia Gov. Terry McAuliffe’s political action committee donated nearly $500,000 to the election campaign of Dr. Jill McCabe--the wife of an FBI official who helped oversee the investigation into Hillary Clinton’s use of a private email server while secretary of state, It just goes on and on with the corruption in this election. Sadly today, being politically correct ""trumps"" corruption, fraud and lying with many, especially for those under 40.Here's another example of the hypocrisy of the Press, the Neoliberals and the Democrats. Bubba Clinton stating in 1996 that Americans are rightfully disturbed by the illegal number of Aliens. Why hasn't the Press called this out?FYI, the reason Hillary wants open borders is that aliens typically vote Democratic.https://www.youtube.com/watch?v=N5PK-SK0h9o",-0.9033
390,Real Estate market here in North New Jersey is still very good despite reducing the SALT deductions and the Home Depot is always packed! The fear mongurers in the media are trying to scare us into a recession in an attempt to drive Trumps numbers down.,0.7161
391,"I measured a house in south Denver today. The lady is 90 years old. Her husband passed. She needs to move.The Home Depot put in a bid for $4000 for uninteresting, polyester carpet. 107 square yards.Preying on the weak. We will put in a nice 40 oz nylon for $2500.Disgusting. Absolutely pathetic to rip off the elderly. Especially since it won't be installed correctly and if anything goes wrong, the customer is screwed. They will be forced to pay up front and will be given the runaround for exactly one year until the warranty expires. This is how The Depot does business. It does not mess around. It rips you off up front and at the back end, also.A complete, cradle to grave ripoff.",-0.94
392,"New Q&A with IHS Markit transportation economist RE: how coronavirus impacts US container imports, consumer demand, etc., including rebound signals to look for and long-term implications for global supply chains and risk premiums. $INFO $TGT $AMZN $HD $WMT https://www.freightwaves.com/news/qa-top-economist-on-pandemic-pain-lasting-fallout",0.0565
393,"Home Depot's buying back $4,000,000,000 worth of stock! They've been doing this for the past how many years?",0.779
394,OMG it's hilarious watching the newbs get pummeled. Breathtaking.,0.5998
395,"So if their next Q1 report shows the sustained levels of the increased earnings, revenue and sales where do we see this going? The digital sales increase is not being given any credit, which was up 86% YoY. I think Home Depot can continue to adapt to the changing world and sustain this level.",0.9172
396,"American Woodmark Corporation 81.40 -12.15 (-12.99%)This can't be good news for HD can it ?American Woodmark Corporation manufactures and distributes kitchen cabinets and vanities for the remodeling and home construction markets in the United States. The company offers framed stock cabinets in approximately 514 various cabinet lines, which include 85 door designs in a range of painted and stained finishes on maple, cherry, and oak, as well as engineered fronts under the Duraform mark name. It offers cabinets in various sizes, and construction and decorative options for a range of design layouts; and turnkey installation services to its direct builder customers through a network of seven service centers. The company sells its products under the American Woodmark, Simply Woodmark, Timberlake, Shenandoah Cabinetry, Shenandoah Value Series, and Waypoint Living Spaces brand names. It markets its products primarily through home centers, builders, and independent dealers and distributors. American Woodmark Corporation was founded in 1980 and is headquartered in Winchester, Virginia.",0.9719
397,What’s up folks taking profits,0.5981
398,"wrong way people! no matter, this is a buy dip and then we go up through 240$ on our way to a cool quarter-thousand$...Long Strong Deep",0.5557
399,I don't understand Home Depot stock. Over the past 10 years they even seemed to be recession proof they made it through hard markets real estate slowing down but this year they seem to be udoing terribly. They always seemed to outperform. What the hell happened..,-0.9125
400,I love home Depot. their entire goods are from China how come this stock didn't tank,0.8925
401,let's get some big money in to get stock back up,0.5481
402,article in money mag says downward trend signifies fall in stock market,0.2571
403,"In current market conditions, I don’t feel like beating earning is enough to lift the stock. Good earning can quickly turning into selling",0.5712
404,Luis..Do like us ...go chase your own fish..!,0.553
405,I bought and sold during there report . wow was that stupid .,0.3772
406,what a day :p,0.4028
407,Come on break another 52 week high today.,0.2081
408,I DON'T WNT TO PUT DOEN YOUR COMPETITION BUT AS OF JANUARY 2 2018 I LEFT LOWES AND STARTED ALL MY BUSINESS WITH HOME DEPOT. I ALWAYS GET A CLERK TO HELP ME AITHOUT ASKING FOR ONE AS THEY HAVE PROFESSIONAL,0.9837
409,"AMZN can deliver the appliance but who's going to install it? HD owns the building materials market w/ Lowes, and they can cut ties w/ contractors installing for AMZN and leave them out of their discounts and other bid oppties. AMZN can get leftovers, HD is a great buy at this level guys",0.9538
410,HD about to shed some massive percentage points............... you watch... I give it 8 weeks max and you will say omg. It's toast!,-0.5472
411,How much of HD inventory comes from Mex or China,0.2773
412,way more people die of common flu. The press and Dem's want selloff to hurt Trump 2020. imo,-0.815
413,There were more home depot sales people then customer inside the home depot fathers days!!! ? they were chatting each other.. I never seen home depot like this before..woow..latest price movement are just bunch of article pump.. I think they load up when price going down now it is pump time..lol,0.9322
414,Been on yahoo since the 90’s w.e that means and hasn’t made much if any difference,0.2169
415,"If you're a fan of Mnuchin, McConnell, Kudlow...any of the merry go round of morons this administration parades out there...be careful. We have had enough. The gig is up and your days are numbered.",0.7467
416,Bought some more shares today. I feel DIS and a few others are weighing on the dow and this is an opportunity to pick up some shares of HD before it rises above 190 soon.,0.9112
417,Will HD stores remain open during hurricane Irma and force their employees to report for work or will they show some shred of common sense and tell their employees to evacuate if they want to or are ordered to?,-0.0588
418,HD reached a 52 Week low at 180.15,-0.1464
419,"I love HD and have owned the stock for some time. But hope they fix some of their supply and stocking issues. Also problem with lumber. I understand that lumber is expensive with all the demand right now, but I'm tired of picking thru banana shaped 2x4's to find wood suitable to build shelves....",0.6213
420,hurricane will increase demand,0.2129
421,"There was an article about Costco recently and mentioned that they had high security in stores in the way of cameras, watchdog employees and checkpoints at the doors. Why doesn’t HD do this if theft is the problem for lowering profits? Seems like an easy fix.",0.8849
422,this is a mess....,0.0229
423,"If you are a true LONG in The Home Oh Depot, you must admit that you support the relentless, brazen use of illegals and the shameless purchasing of imported, Chinese Junk.I will not judge you if you admit that, ""you shamelessly support the use of obviously illegal aliens to install products,"" and, that you wantonly support, ""buying anything and everything from China if it saves the company even one billionth of a penny.""If you are an honest person, you know these things to be true. If you are a Home Oh Depot Long, you blame all of this on Obama and dream about your next boat, regardless of the damage it does to America. Mark it, cowards.",0.9838
424,I like building materials supplier CWX.TO. It is much cheaper at 12 times P/E than HD and Lowe. Q1 result EBDIT rose over 200 percent comparing to last year.,0.781
425,Lots of dreamer in HD stocks right now.,-0.1966
426,It is not correct.,0.0258
427,"BlackRock , Vanguard and others plus insiders are hard at work",0.4819
428,"Again, my feeling is that its gearing up for a split around earnings,at which time the pps will be closer to $400",0.2685
429,"tropical storm in Gulf, soon to be upgraded to Hurricane. Oil and Hardware stocks are getting a big bump today and for the week.",0.3418
430,market sell off is to sway mid terms to help the socialists.,0.4825
431,Is this going to keep going down even after the ER?,0.3515
432,HD is in a win win situation housing market strong HD. people staying home more remodeling again HD.,0.925
433,"Interesting that the hurricane season will boost HD sales, and yet the stock is getting downward pressure.",0.4802
434,The giant is waking spring is here. Glad I got in a couple of weeks ago with earnings around the corner let see if we can get to 200 next week.,0.7138
435,not worried will come back and go. looking for continued growth this is just a pause,0.273
436,I’m pretty bearish on this earning and the 225 P 2/28 looks like a good deal. What do you guys think,0.6302
437,"Told you Wall Streets rich clients were selling and for you to SELL, SELL,SELL LOL,LOL,LOL that's what makes me the greatest of all time. LOL,LOL,LOL reading the real street signs. Just wait HD is going to get slaughtered . Down $20, Then down $50 then down $100 and Wall Street will tell you to sell LOL,LOL So their rich clients can buy LOL,LOL,LOL",0.9203
438,Looks like 2018 is going to be a choppy ride in the market,0.5841
439,When will the split This stock? Looking for 3/1 or 4/1..,0.2878
440,Don't support your local Home depot,-0.2433
441,Up 1%? Give me a break,-0.0434
442,I'm out! I am tired of buying inferior Chinese #$%$ from someone who supports Lyin' Donnie. MAGA my #$%$ Money over country.,0.2932
443,spring is here most at home with lots on their to do list,0.7248
444,"Where is @bullfight2020? You had such a big mouth earlier. Got pretty quiet now, huh, genius? Where is the stock now? Lmfao. I told you, you should aim trade until you understand how the market works before you lose what little money you have...punk! ",0.9254
445,You can load a truck today for 20% upside in six months.HD ER is outstanding: both top line and bottom line are worthy much higher stock prices.,0.962
446,WTH happened today,-0.5898
447,"AMZN will enter HD business soon,.. anything AMZN in will be destroyed....",-0.1558
448,Home Depot is up 4.93% to 220.84,0.4181
449,Gonna test $191 again. Any down market is gonna drag this stock down quickly,-0.5061
450,215 by the end of the year.. eat that,-0.0144
451,185 should be a good buy point,0.5398
452,"BTW take away all the illegals and Home Depot sales fall by 30%, where do you think the materials the illegals are using to fix your house come from?",0.3249
453,HD full speed ahead!!!,0.4083
454,"Has it been 18 years since the last stock split? I am new to this, but why not to get penny-ante ds's like me in?",0.7178
455,"no buildings, no construction. no innovation earnng may fall big",-0.4587
456,I bought 20 270 8/21 puts. This price is way too high. See you guys in the morning,0.387
457,HD ever going to see above $199 again ? IF so when ?,0.5948
458,hey we are still up over 60+ per share in the last 6 months no worries we will come back,-0.0639
459,If u look at my posts last week ud see I was telling everyone about the charts and that HD would pop back up to 280 area. Happy to see that it’s making it’s way back up.,0.7811
460,"Home Depot should be sued for stealing from their customers!Bought a quart of Polyurethane and noticed a $.35 charge for ""recycling fee"".But I brought them nothing for them to recycle for me. The empty can will go to my local trash facility and Home depot don't pay them for my disposal. I pay my town and they pay the facility where it is handled from there. Home Depot stole my money.",0.6571
461,I hope management is buying back stock hand over fist.,0.8857
462,Aren't we due for a dividend hike?,-0.1154
463,HD and building materials like CWX.TO can continue to grow very well.,0.7187
464,Some stocks I buy on technical research and some I buy because of what I see. Home Depot is always crazy busy. Rain or shine. scamdemic or booming economy. It is just selling product like crazy. I am long on this stock,0.9076
465,Talked with my brother-in-law last night who took a part time job at HD 3 weeks ago after retiring from CAT. He told me his store has done over $1M every week since March 1st here in Jacksonville. This might be the smallest store in the city here too!!,0.4139
466,Drop to $200 by October?,-0.2647
467,This stock isn’t going anywhere too soon. Three steps forward two back.,0.2398
468,10/1/19 ALL TIME HIGH!,0.4538
469,ULTA now valued higherHD should be ashamed,0.0402
470,La-Z-Boy Incorporated (LZB) 25.35 -5.95 (-19.01%),0.0
471,we all have a lot pain coming thanks to trump,-0.0459
472,Right at the 200 dma......with vol drying up we may have bottomed.,0.5669
473,Should be seeing a stock split soon,0.3786
474,shorts covering?,0.084
475,esus F9023490HG CRHIST!!!!!!!!!!!!!!!!!!!! WHY THE MASSIVE DROP SINCE THE OPEN??????????????????,-0.7582
476,"The bots are running the show today, good time to buy the pullback, similar to what happened to NVDA...",0.7427
477,Sell sell sell!,0.2761
478,"listen all...long time investor here HOWEVER short time day trader and HD is in fact a huge buy,However us daytraders and ""Robinhood"" account holders are totally manipulating ALL STOCKS and its unfortunate that you real deal long term ""investors"" have to suffer...However 1 thing is infact true....there is a BOAT LOAD of money to be made in this volatile market.So guys please just go with the flow...If u cant beat them JOIN THEM",0.2489
479,The entire South East has to be rebuilt. That will support HD next 2 years,-0.41
480,https://www.youtube.com/watch?v=Q2F8QuANsME. only 4$,0.108
481,"up >30% in < 8 months since first buy, plus 3 divs and another coming soon. That's a ~42%APG..not too shabby at all!..",0.7111
482,ha! we are going to 240$ today. this orange menace is unstoppable!,-0.4186
483,way over bought swan dive coming soon....,-0.5857
484,this is BS...it should be sky rocketing right now.,0.5836
485, <--My Dad (He's a tough dude!),-0.2064
486,I see JP Morgan is tanking after being up big and Goldman Sachs is down big !this indicates those in the know getting out of this bubble market..Most of Trumps Cabinet members are from Goldman so is it wise to go against what they are doing ?Do you think you know more than them and should remain in this bubble market or should you lock in fabulous gains while there is still someone out there to buy your overpriced shares ?,0.9393
487,wonder if the analysts friends sold short in last few days. hummmm.,-0.0585
488,"As per Jim Cramer: ""Jim Cramer: I Think Home Depot Is Uniquely 'Non-Amazonable'"".",0.5577
489,what is the reason some posters bash the stock?,0.3255
490,"B OYCOTTING AMAZON, yet? Then keep on losing on HD, because you are part of the problem.",-0.2825
491,"All I can say is the stores are packed ahead of the winter storm about to hit East Coast! Totally out of snow shovels, etc. Big win-win for HD. Buying today!",0.8162
492,My two worse performing stocks in my portfolio are Home Depot and Amazon! Baffling isn't it?,0.1634
493,Bank of America raised its PT to $360,-0.2518
494,"Boom sold in premarket for $198, I will buy back around $190 on Friday",0.292
495,5-10% rally after earnings.,-0.0699
496,"Strong support zone at 191.83. I am holding my shares and a few calls. As long as it holds the support next few days, we’d be solid. I’m still surprised how ER is strong and they announced shares buyback yet the price is still down.",0.9796
497,GNPX my other winner.,0.6839
498,Historically HD has done well around thanksgiving. let's see if it holds up!,0.4907
499,I don't know where the stock is going but if it goes below $250 I'm going to back up the truck.,0.6303
500,KHC another stock that R pumps!!!! what will be down more today HD or KHC? LMAO,0.7832
501,Guaranteed by year end lower then 140,-0.3431
502,ITT: A lot of people that don't know very much about stocks and own 2 shares of HD but want to own 4.,0.48
503,"Just dumped my position in HD!! I did not like the Vicious out of the Blue correction in the stock the prior 2 days after just receiving a big upgrade!! Could be shenanigans associated with options expiration, but did not like the big gap down yesterday on higher volume!! Plenty of time to rebuy if Market corrects 10-15%.",0.8128
504,At this rate the dividend will double in 3yrs or less.,0.3334
505,208ish before shorts take over,0.0117
506,How many stores will be closed within 6 - 12 months? There is no vaccine anytime soon and the infection rate is doubling every 10 - 14 days. This is going to be painful for a very long time as people will not resume anything close to normal life again for at least 10 years or longer.,0.6924
507,Yesterday I went by HD. I observed that the aisle where they have dust masks was empty. The associate said they were sold out because of the virus feats. I am not sure the dust masks will protect against virus. any opinions Thor thoughts?,0.7796
508,"So, you HD longs have supported hiring illegals to install flooring for decades. Any idea how long you can keep this smokescreen going? Oh, don't bother with the waah factor. I run into the Julios and Juans every day. It's all illegal all the time. How long can you keep it up?",0.9248
509,"Thank You!!!! I have been waiting to get in with HD!!! I put on an initial buy today, and will wait and Hope to get in lower in a few days.",0.7703
510,Why would anyone buy this stock after revelations the founder is a huge Trump supporter?,0.7762
511,"I love HD but here's some constructive criticism. Let's hope that employee raises translate into better service and a better stock price. How about adding back more 'on the floor' employees and training them better? I regularly get questions from frustrated customers while in the store....When you do get help it seems there are too many employees that know less about their products and DIY stuff than I do. I lie to the checkout cashiers when asked ""Did you find everything?"" because I don't think they really care that much and I don't want to turn my checkout into a gripe session. With all that, I'm still long....",0.9801
512,So how do the homebuilders do well and have good numbers yet HD have bad numbers and HD has the bonus of hurrricane rebuilding,0.6483
513,Home Depot will miss tomorrow they are losing market share to Lowe’s sorry to burst your bubbles..lol,-0.207
514,I just added a few shares. I am a holder of HD for 10+ years. love it.,0.7742
515,"I'm up >20% in < 4 months since buy, plus two divs. Not too shabby.. works for me!",0.6916
516,HD is getting hammered everyday!,-0.0967
517,Until the election results are corrected the market will continue to slide. The people are speaking up and had enough!,-0.6307
518,Time to SELL HD,0.2657
519,Love HD but this has gone straight up since $250. It almost has to pull back from here right lol,0.9064
520,"HD needs to get in the game....they need distribution centers. When I go to order something on line from HD it takes about ten days to get to the store or my house. I go to Amazon for the same item and I get it on my front porch the next day. HD is a loser company other than it's big box. IT COULD MAKE SO MUCH MORE !!!!!! Get a new board! Guess where I order my goods??? BTW, both TGT and WMT figured it out and is giving AMZN a run.",0.9458
521,this is so overbought it's hilarious people can't pay there mortgage but longs think sales are crazy hahahaha look at the pro desk next time you go it's empty hd makes there money of contractor's not grandma buying a can of spray paint,-0.1697
522,All our utilities are up. We have to cut back.. No flowers this spring from HD...,0.0206
523,"If HD was considered a STRONG BUY before this catastrophic disaster, it is definately more so now. Amazon has nothing on HD, especially now. Think they will have a postal truck deliver 2×4s and plywood to your door in an hour? not likely.",0.3437
524,"They are on the verge of a class action for bogus delivery dates for items sold on their website. Literally tens of thousands of misleading ""have it tomorrow"" claims when it is clear that such is impossible. HD is trying to be an Amazon with its ""one company"" unfortunately its only talk from the top. Time to sell.",0.7922
525,"loving the feel of the trade and consistent vol today, options ratios and OI are supportive and sustainable...and here are yet more reasons to be in HD...They take care of their own.https://www.fool.com/investing/2020/06/17/heres-the-defining-characteristic-of-home-depots-s.aspx",0.9056
526,"This is from last year, but relevant to the tariff threat increase this week:Home Depot, the state’s largest company, expects the current round of tariffs to add nearly $300 million to the cost of what it sells, but views the amount as “manageable.”In an interview after the Atlanta-based company announced a surprisingly robust set of results for the most recent quarter, Chief Financial Officer Carol Tome said the company remains uncertain about the ultimate impact of the tariff battle begun by the Trump administration in recent months.“There’s a lot of the tariff talk that we don’t understand yet,” she told the Atlanta Journal-Constitution in an interview.However, the tariffs imposed thus far are raising the costs of items the company sells, from laundry machines to anything containing steel or aluminum.“But tariffs will add less than $300 million to the sales of those things,” Tome said. “Out of $100 billion in sales, so that is a manageable number.”Home Depot, the state’s largest company, expects the current round of tariffs to add nearly $300 million to the cost of what it sells, but views the amount as “manageable.”In an interview after the Atlanta-based company announced a surprisingly robust set of results for the most recent quarter, Chief Financial Officer Carol Tome said the company remains uncertain about the ultimate impact of the tariff battle begun by the Trump administration in recent months.“There’s a lot of the tariff talk that we don’t understand yet,” she told the Atlanta Journal-Constitution in an interview.However, the tariffs imposed thus far are raising the costs of items the company sells, from laundry machines to anything containing steel or aluminum.“But tariffs will add less than $300 million to the sales of those things,” Tome said. “Out of $100 billion in sales, so that is a manageable number.”",0.9304
527,"If we had a HD across the road from Lowe's, Lowes would go out of business...Believe it!",0.3165
528,notes on taking profits coming. watch...,0.5377
529,What reason for the lack of upward pop today?,0.1741
530,CHECKOUT BOARD DUNCE R POSTS WHERE HE SAID 100 TIMES HE SOLD EVERYTHING AND WENT TO CASH!! HE MISSED A 23% MOVE IN BBBY!!!!!!! HD TO 250 BEST OF BREED.,0.887
531,By my math I say we hit around 215 years end.,0.183
532,Wow Lowes really closing in on Home Depot.￼,0.619
533,I'm a carpenter.....definitely not slowing down. tons of union work going on.,-0.5709
534,LOL HD STOCK PPS WILL STABLIZE SOON IMO. STOCK JUST HIT ALL TIME HIGHS. THIS IS A MINOR CORRECTION. EXPECTING AT LEAST A 10% DIVIDEND INCREASE GOING FORWARD. LOWES WILL NEVER BE ANOTHER HD PERIOD. LIKE SAYING YOU WILL BUY MORE PEPSI THEN COKE.,0.9608
535,Looks like $205 next,0.3544
536,"Why do you clear posts that are a) from shareholders b) well within the guidelines and are c) truthful?Here it is again...A relative bought a lawn tractor at the Gainesville, GA the other day. It was brand new for $2600. They delivered a used floor model that still had the floor model sign and the sale price of $1400 on it. The delivery guys could have cared less when it wouldn’t start because the battery was dead. Local management was impossible to reach by phone. Corporate could have cared less. They gave him a $300 store gift card.The GA Attorney General’s office of Consumer Protection opens Monday. I’m sure their specialists will find this one interesting. Craig, you need to personally resolve this one and fast.Anyone have the phone number for 60 minutes?BTW – erasing this message without the author’s permission will have serious repercussions.",0.988
537,"Hurricane going to miss mainland, guess they are missing out on tons of plywood sales. LOL!",0.5743
538,You can buy this every morning and sell it at 3:30PM everyday.,0.3229
539,I sold my shares in this company. I will only use LOWE'S for my purchases. As a veteran I am sick and tired of these companies who condemn hard working Americans for the WOKE movement and cancelled culture.The Georgia situation is the final straw for me. I WANT FAIR AND HONEST ELECTIONS.,0.4852
540,Note to investor relations. Stop reporting the same day as Walmart. They are a drag on the sector,0.079
541,wanting to be with conscience while taking something away from people who earn a living from Home Depot business,0.7052
542,Working It back down,-0.2016
543,"Unfortunately, HD will head below $100 in the next two months. No industry is immune.",-0.4846
544,All time high!,0.3048
545,I thought the market was supposed to be surging today???,0.1528
546,How do we report a data problem in Yahoo finance.Missing data at:https://finance.yahoo.com/quote/HD/options?p=HD&.tsrc=fin-srch&date=1550188800&straddle=trueThat HD Feb 15 options chain.,-0.1327
547,I'm about to buy more if this insanity continues.,-0.4276
548,Close over 239.70...please. Next stop 250!,-0.4972
549,"they will get a bump from people spending to do ""honey do"" list then once that dries up i would watch out.",0.7807
550,Lying Obama / Hillary and democrats did mass coverup. Liberal lying press gave corrupt Obama a free pass.https://reclaimourrepublic.wordpress.com/2017/02/16/video-new-docs-mb-obama-hillary-knew-benghazi-attack-not-caused-by-protests/,-0.7016
551,Certainly HD will be affected by tariff too,0.1763
552,up up and awayyyyyy,0.3744
553,here comes $200,-0.0452
554,"Come on HD, announce a split already!!!",0.6226
555,"HD continues to deliver. Comfortable beta of 1.06, consistent volume at new highs. Pricing is still in line with an overall market PE at 27. Call OI and time value premiums point to positive expectations Q4 & beyond. Exceptional management foresight demonstrated by their commitment of $US 1.3 billion to expand supply chain facilities; especially prescient in the shadow of a long C19 winter inside and China trade instability.",0.9672
556,Just waiting for them to announce a split,0.4774
557,Hey..... Artie Blank owns the Falcons.... hes vocal in his support of his black playersIs he aware of all the horrors that the Black Power saluteTheir players are using is associated with....Lets start with beating women to death.... sometimes they eFed up and beat the women to within an inch of death.... but its safe to say the smarter the woman.... the more severe beating she tookBut hey.... the NFL is against domestic violenceGreat job NFL ownersShould we go on to the association with black nationalism.... how about the anti police stance and the many shootouts with (targeted white) police that the Panthers Initiated? How about the black on black murderous shootouts with rival organizations.... Something for the NFL and its black athletes to be proud ofBut what the hey.... IF a white guy extendes his arm hes a naz....All of this is historical fact.... a lil knowledge is a dangerous thing... and those who forget the past are condemned to repeat it.... but I must be a racist for knowing these historical facts and to be very concerned by it,-0.4258
558,Lowe’s is up and hasn’t really done a thing different,0.1572
559,The biggest waste of time and money on any construction job is contractor leaving job going to buy/order materials. HD is attacking this issue and is a huge area of expansion for profits. Uber eats meet Uber contractor!,0.535
560,"I am not long HD but if I was I would be selling here....this is literally insane it is up on the year,....people have no idea how bad the economy is going to be...Great Depression stuff",-0.9353
561,when they close over $250...then off to 300! USA Trump 2020 imo,0.2875
562,yawn...mess with the bull get the horns. Big Joe always keeps his promises. See you down below,0.6835
563,Doing a brisk business in NJ and PA .. Lots of paint for home bound folks and here comes garden time.,0.648
564,"Heating your small house with wood....can be a challenge at times. Normally a smart guy would have two or three cords of Maple, Fir or Alder stacked neatly against the fence in July to have time to dry out. This year there was only one and finding dry wood is hard to do in November. Then you run into a guy up the street that has 11 cords of bone dry fir in his back yard and cut in 12"" lengths. The price isn't 80 bucks a cord anymore, but beggars can't be choosers. The price is less than 200 bucks a cord, but looking at 3 cords of beautiful fir gives you a warm, fuzzy feeling. Always thank GOD for small and large favors. If HE had nothing to do with it, what are you losing??",0.982
565,Why down?,-0.2037
566,"dAy Traders are having a field day with HD today.. They bought at the open @ $173 and already have sold @ $174 and now are buying back in @$173.20.. I suspect the Day Traders will again sell around $ 174.25 and then do it all over again.. LoL! Day traders will make money today, but will be crying by the end of the day when they make that last sell too soon.",-0.3794
