,Recent headlines and conversations for ADBE,Polarity
593,TRUMP ENRICHES MORE LIBERALS WHO OWN THIS STOCK. ADBE up almost 3% after hours on news ADBE is forecasting higher earnings due to TRUMP'S TAX CUT. And so it goes on and on and on and on>>>>>>>>>>>>>>>>>>>,0.558
594,Adobe is a safe heaven,0.7252
595,Cramer is so full of s... He told viewers Adobe was going to have a blow out quarter. This guy should be in prison with Trump.,0.3813
596,ADBE has value at all!,0.3788
597,Already fading no muppets left to buy tech herei,-0.5206
598,It will take us many years to recover from the damage the Obama admin did.,-0.6061
599,I heard some chartist yesterday on CNBC said AMD could reach $85 in 18 months from now according to the chart.,0.6031
600,$ADBE Reiterated by Guggenheim Securities Hold,0.3045
601,"Guys relax,The only reason this dropped 0.4% was because of a 5% sell-off in tesla and 1.5% sell off in apple",-0.1363
602,All these bulls will be crying to their mommies when they realize that growth is not infinite. Name one time in the history of the world where economic growth was infinite,0.4647
603,Why on earth is this dropping over 4%,-0.0066
604,"Same share price as in August, just like most FAANG stocks. $30-40 up day coming soon. Way over sold.",0.7249
605,Checking EBITDA history and thinking about adding more.,0.0819
606,Oh yeah ? What happened now,0.3422
607,"I am up by $250 Million since March 2020 thanks to the US Government and the Stock PUMPING Festival in the US that has started in March 2020! NOBODY Needs to work anymore! JUST BUY the US Stocks to get 300-400% RISK-FREE RETURN in a few weeks! THE US STOCK MARKET is a FREE MONEY ATM! BUY STOCKS AND GET QUICK RICH! Everyone will be a BILLIONAIRE! Even Janitors will have at least $50 Million in their Broker Accounts! EVERYBODY IS ALL IN! THERE IS NO RISK OF LOSING MONEY! 2-3% DAILY CAPITAL GAINS is a NEW RISK-FREE RATE OF RETURN Guaranteed by FED!Buy the US Stocks at these INSANE LEVELS TO GET QUICK RICH! Nobody cares about Absurd Valuations!EU, Russia, China, Turkey, India vow to create alternative reserve currency to ditch the US dollar, as the US Government continues to Print unlimited Dollars to PUMP the US Stock Prices artificially! DESPITE Tanking Corporate Revenues, ABSURD Valuations, Record Corporate Loss, Record high Corporate and National Debt, Record Stock Dilutions, Collapsing Economy, Pandemic, Upcoming and Ongoing wars, Political polarization, limited real resources, intensive competition drying growth opportunities, the US Government continues to PUMP the US Stock BUBBLE artificially! Everyone knows that the US Stock Market is a Fraudulent system! It will COLLAPSE BIG TIME very soon!The US Government is PUMPING Oil Prices artificially, DESPITE Shrinking Demand and Exponentially rising supply! Oil price went up from $1.00 to $60.00 in no time FOR NO REASON, thanks to FED. Soon, Oil will be USELESS and WORTHLESS, but the US Market Makers are seeing commodities as PUMP and DUMP Schemes!!!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $XPEV",0.6518
608,ADBE is down to $ 286.73!!!,-0.4329
609,$480 after earnings tomorrow,0.025
610,"With the introduction of Adobe Fresco and now Photoshop Camera Apps, Adobe is starting to look a lot like a Trillion Dollar Market Cap Stock!!! Could easily see a billion downloads of these apps in 36 months, and the potential to mint money will be endless!",0.59
611,Easily 200 by xmas,0.7052
612,"At the last moment i bought 100 contracts, weekly $130 calls. I paid $2900 (28cents). It will be interesting if I can make money or will expired worthless. Fun day tomorrow. For the best I hope to see ADBE in $135 range.",0.8569
613,Wondering if I should unload my shares before earnings or hold. What y’all think after reading the latest article on yahoo regarding $100 billion company...,0.5754
614,up up up,0.4943
615,ADBE is rocking!!! Here comes $ 525.00!!! GO ADBE GO!!!,-0.5883
616,ccs reboot tomorrow may 1st......,0.0527
617,Spammers are so annoying ,-0.6486
618,hedge fund had a large ptt position...guess i will have to follow,-0.1282
619,Forward PE of 30? Is this some kind of joke or is this being manipulated?,0.3861
620,$148 tomorrow.,0.0024
621,"Hovering at 178 now, thoughts on tomorrow after opening bell? Up then down? Up? Down? Use the thumbs or reply thanks. Should go up in my opinion",0.7626
622,Adobe keep going higher but Many of it's customer are struggling and forced to cut cost. Question is how much of their services are essential and not targeted for cost cut.Sure their eCommerce is biggest beneficier but They already seen very high growth and going forward it just make much harder to compare.,-0.7268
623,They beat on everythingGood guidance,0.2943
624,I plan to buy more ADBE at $ 260.00.,0.3273
625,It’s tomorrow morning at 8am December 10,0.0146
626,"With more quarterly earnings like this going forward, those institutional investors will be running back to ADBE.",0.6604
627,"Not bad today, nasdaq dropped 140 points, yet adbe dropped only $1.",-0.6864
628,"New lows like I said , Merry Christmas and happy holidays, I hope my posts helped you out!",0.9529
629,Down 8% in 2 days. More bearish than overall market!,-0.7605
630,"This company is going nowhere as long as it keeps promoting countless relatives and friends from India on management positions. Start cutting useless headcount. Go to eCommerce Engineering org and start cutting randomly - it will not affect the performance. All those Gaurav Jains, Deepaks, etc , etc. Do it now or shareholders will force you to do. I am Neutral/Bearish on this stock. ADBE has lost its steam and permanently stagnates.",0.8486
631,"For Navjot and others talking about wanting dividends. I have owned ADBE for ever. I don't have any brokerage accounts opened on screen right now, so I can't give exact date, but ADBE USED TO GIVE DIVIDENDS. I think it was 2016 or 2017 when they cut dividends, and put the money back into company and NOW they are worth far more, the share price is WAY up, and the company is not a stock I feel I need to watch. I consider it one of my core stocks. If I get a chance, I will look up dividend rate and when they stopped. That info should be readily available.",0.97
632,ADBE is up 4.93% to $250.19,0.1818
633,Like ADBE and buying AMRN for a buyout,0.6436
634,ADBE officially in BEAR territory: Sell the pops!,-0.5265
635,"Already did. Didn't catch the bottom, tho.",0.0911
636,Stay away from this laggard ADBE==garbage!ADBE problem is lacking innovation in sofware; It's been using ADBE softwares for two decades///,-0.3525
637,Adobe is still under is 50DMA and 200 DMA.. not good in a bear market rally.,0.0572
638,last earning was a beat but drop 5%....,-0.2905
639,"Joe Terranova mention today on CNBC, WRT sale of Adobe.This guy is a dumb as a sack of nails.",0.6532
640,For god sakes the stock is fine,0.5615
641,"Target $380!ADBE traded on rev 25% growth, now that it actually grew by only 14%, you should sell the heck all the way down to $400!",0.5963
642,Adobe is down 5.08% to 447.19,-0.2744
643,This needs a healthy pullback to test the support looks like a bloody day lets see where she goes .,0.7681
644,Adobe is up 9.78% to 312.88,0.1518
645,Looks like Costco in here. Good performance equals a massive train wreck.,0.4856
646,"Over the past 10 days, analysts across the board have raised their price targets on this stock to an over all average in the high 420's with some extrapolating out into the 470s. I personally feel as though these numbers are low. Kind of like those who called for TSLA to go to 500 when it was trading in the 400's. Its over 1000 now and still climbing. Is it any wonder ADBE us up 10.00 this morning after the Fed announcement? ADBE doesn't just cater to individual artists, it is overwhelmingly the defacto standard with the entire S&P 500 crowd too. 420 by Friday",0.9004
647,I see that people are buying this thing up a week ahead but I don’t believe it. Damn what a mistake.,-0.6228
648,Any chance this thing recovers to 225+?,0.3159
649,"Adobe software is universally used by all creatives. They have, in all practical terms, a monopoly on design software. Apple secured a new subscriber base for Adobe by dropping support for 32-bit applications, ensuring that anyone still using old Adobe software will have to convert to a subscription service. Adobe is locked in for profit, and they keep innovating.",0.9194
650,"Huge Debt, earning going bad, billion shares in market. ADBE is a bubble",-0.5527
651,This stock is too undervalued!!! $550 is fair!,0.6668
652,ADBE=== trash of garbage!,-0.3541
653,No one ever got hurt buying ADBE!,-0.4454
654,riding this short into earnings might beat but im banking on lower guidance. stocks are selling off with solid earnings. -220 ONE TME,0.6349
655,"Please plow more of your $ into adobe, thank u need it up over $425",0.6104
656,Look at ADBE rock!!!,0.6163
657,This is a great company buying the dip and holding. Software Tech will move to the forefront when 5g takes hold. Faster moving data speeds are nothing without SOFTWARE,0.8878
658,"Almost all tech stocks have reached absurd valuations and no matter how well they do in their business, they are ripe for a 10-20% drop. Adobe maybe the first case in point.",0.2775
659,"please forgive me for shorting in to the fabulous earnings but it's already a winner. I shorted today at 16:08 NY time and got off 500 shares between 182 and 183. The question is do I cover here at 177, or are we heading lower in the am?",0.6666
660,Get ready for a big bounce!!! ADBE is rallying!!! GO ADBE GO!!!,0.4226
661,Adobe Q3 EPS of $0.75 beat by $0.02. Revenues of $1.46B were up 19.7% beating by $10M $ADBE,-0.1352
662,ADBE reached a new All Time High at 254.42,0.3954
663,ADBE is down 4.95% to 254.44,-0.2462
664,ADBE is up 9.78% to 312.88,0.1818
665,"Seems like a pretty safe place to put money if you ask me, which nobody is so I guess I'll just sit here and continue minding my own business.",0.9038
666,uS market full manipulation,0.0843
667,Great now the kiss of death from scammer Cramer....all aboard next stop $220,0.2768
668,US stock market is INSANELY OVERVALUED and OVERBOUGHT! Most OVERVALUED and OVERBOUGHT BUBBLES are: $AMD $NVDA $SQ $SHOP $AMZN $NFLX $TWTR $FB $SNAP $AAPL $NKE $CRM $ADBE $BABA $PYPL,-0.5312
669,Market is green and earnings in a week. Keep adding this will hit 200 soon,0.1635
670,"Playing games with ADJ. EPS, this use to be called accounting Fraud.",-0.6029
671,Wow thrash stock,0.6756
672,"Take profits before Robinhood attack at 9, do it or cry after 9",-0.5134
673,"These earnings are worth $1.49 according to after market, hahaha",0.674
674,"Sell longs and take short position, adbe is a bubble",-0.4021
675,"I am thinking split... would open this great company to the ""everyday"" person to take part in the growth that will come.",0.781
676,"every loser tech company is going into the cloud now. AMD, BABA, IBM.etc. going to have too many players. plus there is Apple, Amazon, and Google too.",0.3
677,And no dividend,-0.1471
678,Adobe will hit $510 next week!!!,-0.316
679,back to $256,0.0529
680,Whopping $1 up AH for beating expectations. Imagine what would have happened if it missed.,0.0379
681,"Shorts no need to worry tomorrow, if you look at the last two earnings, history will repeat itself. GLTA!!",-0.4248
682,Adding to my position,0.2343
683,"Oracle tanked big time so shall ADBE, sell short",-0.3325
684,Can’t hold. Take profits,0.4436
685,This slight pull back % wise is needed to continue the solid uptrend. No need to panic longs!,0.4834
686,September 13 is earnings are we down on a leak of poor earnings?,-0.6849
687,down on high volume ??????,0.3988
688,Is 320.00 per share do-able by tomorrows close? Most assuredly! Just look where we came from - not even CLOSE to a 50% standard retracement until around 320 (and I expect this level to be pierced rather handily as ADBE is one of the FEW STOCKS that will actually benefit LONG TERM due to the lessons learned during this pandemic. CLOUD BASED COLLABORATIVE ENTERPRISE is what this company is ALL ABOUT!,0.9472
689,It's difficult to make a case this is worth $300. $468 is gross overvaluation.,-0.4436
690,GO ADBE GO!!!,-0.2227
691,The big banks are giving this an average PT of ~$200. Follow the big money $$$,0.4326
692,"Yeah, no crash here! Adobe is a fortress.",-0.5087
693,Buy zogenix It will rocket to moon next month,0.4925
694,FLUSH FLUSH FLUSH!!How many more knuckleheads will they be able to roust from their nests? haha,-0.2824
695,I am loving the after hour action- yeh ha,0.7439
696,Adbe sees %20 yoy growth Reaffirms,0.5127
697,Doesn’t bode well I guess. What do you guys think?,0.5258
698,"Earning date shows 3/23 now. Little concerned with Oracle miss. Of course, ORCL was at a 52 week high and we are not even close. Hopefully, ADBE pulls a Microsoft like beat.",0.724
699,NDACU Nightdragon this is a new cyber security spac whose Partners include Adobe. Just went on the market today for 10 bucks.,0.7337
700,"I see Zacks has ranked ADBE a 3???? wow....if this company is merely a hold and not a buy, i really dont know what they are looking for? I think its a great buy on ANY weakness.",0.8371
701,Tanking (,-0.5216
702,Yahoo deleted my post but allow stupid spammer posts ,-0.7912
703,"time to buy, buy, buy!",0.4431
704,The earnings conference invite login will not go active. Hoping to attend at 5pm EST.,0.9219
705,Do you think it will drop down 5% tomorrow or more?,-0.437
706,we'll see a quick correction on this one. buy low while you still can,0.1942
707,ADBE is down 5.08% to 354.01,-0.2462
708,"Adobe needs to add a meatless Photoshop version, would go to 10,000!",0.2546
709,why is this going down? im listening to the live conference call and its very bullish with further unrealised gains from subscriptions and new enterprise products down the line for further organic growth,0.849
710,"Earnings report looks good, very good, but NOT a blowout on any of the metrics. Good thing this baby was not over-valued going in. I am sticking with her, I think she has very good upside potential still for tomorrow, to $320+",0.9773
711,Time to short this again!,-0.49
712,This will crash after earnings just like every other tech stocks.,0.1808
713,"BackNewsRefreshEnter name or symbolBRIEF-ADOBE REPORTS QUARTERLY RESULTSLESS THAN 1 MINUTE AGO BY • Article 1 Article 2 Article 3 Article 4 Article 5 Article 6 Article 7 Article 8 Article 9 Article 10Dec 13 (Reuters) - Adobe Inc:* ADOBE REPORTS RECORD QUARTERLY AND ANNUAL REVENUE* Q4 REVENUE $2.46 BILLION VERSUS REFINITIV IBES ESTIMATE OF $2.43 BILLION* COMPANY RAISES REVENUE AND ARR TARGETS FOR FISCAL YEAR 2019* QTRLY GAAP EPS EXCLUDING. MARKETO $1.48* SEES ADOBE TOTAL FISCAL YEAR 2019 REVENUE OF ABOUT $11.150 BILLION* QTRLY ADJUSTED EARNINGS PER SHARE $1.90 EXCLUDING. MARKETO* SEES 2019 GAAP EARNINGS PER SHARE ABOUT $5.54* SEES 2019 NON-GAAP EARNINGS PER SHARE ABOUT $7.75* SEES ABOUT 34 PERCENT YEAR-OVER-YEAR GROWTH IN 2019 DIGITAL EXPERIENCE SEGMENT REVENUE* SEES ABOUT 20 PERCENT GROWTH IN 2019 DIGITAL MEDIA SEGMENT REVENUE* QTRLY NET NEW DIGITAL MEDIA ANNUALIZED RECURRING REVENUE EXCLUDING. MARKETO $430 MILLION* SEES ADOBE TOTAL Q1 FISCAL YEAR 2019 REVENUE OF ABOUT $2.540 BILLION* SEES Q1 GAAP EARNINGS PER SHARE OF ABOUT $1.14, NON-GAAP EARNINGS PER SHARE OF ABOUT $1.60* Q1 EARNINGS PER SHARE VIEW $1.88, REVENUE VIEW $2.52 BILLION -- REFINITIV IBES DATA* FY2019 EARNINGS PER SHARE VIEW $7.98, REVENUE VIEW $10.80 BILLION -- REFINITIV IBES DATA* SEES ADOBE TOTAL FISCAL YEAR 2019 REVENUE INCLUDING MARKETO ABOUT $11.150 BILLION* Q4 EARNINGS PER SHARE VIEW $1.88 -- REFINITIV IBES DATA* QTRLY TOTAL REVENUE EXCLUDING. MARKETO $2.44 BILLION* SEES 2019 DIGITAL MEDIA ANNUALIZED RECURRING REVENUE INCLUDING MARKETO ABOUT $1.450 BILLION OF NET NEW ARR Source text for Eikon: Further company coverage:",0.9986
714,ADBE will open under $200 tomorrow,-0.2156
715,this company is over $500 stock,0.1619
716,ADBE chart has rising bottoms today!!! This is a bullish sign!!! GO ADBE GO!!!,0.7751
717,ADBE added to S&P100! Big lift Monday!,0.4223
718,Think it will move up tomorrow morning at open since it shows -7 premarket,0.2136
719,Adobe reached an all time high at 395.24,0.2959
720,"Things have settled down. Expect another spasm in the afternoon, but I think it closes around $177.50. Would like to see it take out $180.00, but the current action says no.",0.324
721,End of day tomorrow after earning it will go $350 easily.,0.207
722,"Glad to see the positive guidance. I expected excellent earnings, and they beat expectations by over 25%. Good news all around. My overall takeaway is that Adobe seems more interested in expansion than innovation right now. I guess that makes sense. There's probably more more profit potential in applying what they already do to untapped markets. As a user, I'm always interested what's next, but I can see this being good for the stock. Good job, Adobe.",0.9769
723,Going back to $50,0.0529
724,Bubbye Eddie.,0.2857
725,ADBE to $ 327 by today's close!!!,-0.2781
726,"i m long since 96 but the 49 peg ratio concerns me, anyone care to comment on why i should hold this stock with little growth relative to PE and stock price?",0.9536
727,"Cramer said buy adobe, EVERYONE SELL",0.5595
728,"Last week, this stock saw a 50 point UP day only to watch it get wiped out over the next 3 days. Once again, as the market appears to be turning (and tomorrows option expiration looming) there is no reason to believe we won't see a repeat of that kind of (short squeeze-coronavirus-play) massive jerk to the upside. Hold onto your shares people! The Adobe Creative Cloud Suite of Tools is the GLOBAL GO TO for work at home graphic artists, editors, marketing and metrics; all things internet. Do NOT let this opportunity pass you by!",0.9437
729,Only %11 growth in revenue yet has 65PE ratio price is not justifiable and risky. Also there are so many new free apps to disturb Adobe’s business model. I would only think buying Adobe at 26-27 PE,0.7522
730,"For all those asking about the sell off after a strong quarter...Adobe as a company is in great shape and the numbers they put up are fantastic. The problem lies with the valuation. ADBE trades at 16.5 revenue. That is pretty darn high. You could say that they are “priced for perfection”. However, I have found that it’s often better to pay a hefty premium to own stock of a great company, rather than looking for cheap shares of a trash company (think BBBY, GME, HRB, etc.)ADBE will be fine",0.9817
731,"I've had several stocks that beat on all, like this...and went negative, and then positive during earnings call. Which hasn't happened yet. They beat all figures, this thing may take off upwards still tonight",0.8427
732,Market analysts are reporting the smartest Wall Street people/fund managers are buying ADOBE - big time!!! Check it out... You'll hear much more about this in the coming week...,0.8667
733,Here comes $ 360.00!!! GO ADBE GO!!!,-0.5883
734,Do we have technicians here? When is the best time to buy? Tx,0.8328
735,Is AH $3.95 real or fake news ?,-0.0252
736,Purchased 1500 shares @ 140.95 just before close! Oh yeah baby ,0.71
737,Only in this market stocks go down on good ER smfh,0.6798
738,Undervalued BUY MORE!!!,0.4818
739,When are earnings? Any intelligent intelligent responses to what the Market's reaction will be to its earnings? Thanks in advance,0.8794
740,Its gonna bounce of the 50 day,0.0691
741,Are we ever going to get $180? Lol,0.4652
742,Hi baggies,0.0084
743,Yessssss baby beat beat beat:)'),0.5605
744,why is this losing $$$$$$ ????? down 10 % this week??????????? WHY,-0.5098
745,"No innovation, no growth. No dividends. No interest from investors. I am OK to have this stock as a part of my ETF portfolio, but to have the stock in my portfolio - no way. I was lucky to unload half of my ADBE portfolio when it was at it's 500s. Hedge funds are dumping tech anyway, prepare for long stagnation of the stock.",0.7948
746,lets go boy...,-0.0011
747,Lunch time power hour,0.6691
748,Coming back nice,0.4992
749,"This stock is freaking out at the $260 mark, which it was at the beginning of trading day. Soon enough, ADBE. Soon enough.",-0.0323
750,Snap up 12.50% yesterday and still up 0.80% today......up 100% in just 3 mths......but the bargain stock and go for big rebound.....avoid Microsoft and PayPal overpriced,0.7644
751,Check out Cramer's conversation tonight with Adobe's Pres/CEO. You can expect a major rebound tomorrow. It was very informative.,0.5779
752,"you will all regret this tommorow when it corrects upwards.There's absolutely no reason for this decline, it's just investors getting scared",-0.8679
753,255 puts win,0.5859
754,"I have no clue as to what this investor meeting is going to be about, but I SUSPECT that ADBE is going to announce an ENHANCED ""WORK FROM HOME"" platform. Just my intuition here folks so please do your own due diligence!",0.9565
755,this always sells off no matter how big a beet then it runs up,0.1065
756,Holy S....Adobe doubled this yr....ffs i need to look around the investing landscape,-0.1286
757,Adbe will pop on monday and aft earnings to 550$!!!,0.32
758,"While hundreds of native American workers were laid off by Adobe, Adobe was busy hiring hundreds of cheap foreign indian workers . Adobe is one of the biggest culprits in the destruction of white collar jobs in USA. Hardly surprising given the CEO is a fellow Indian. This is the most egregious H-1B visa application that I have found so far. This application has been certified for FIFTY ""INFORMATION TECHNOLOGY SPECIALISTs"" working for Adobe Systems in Lehi Utah for a wage of $23,462 per year, less than $12/hour",0.9524
759,Let us go boys today.,0.1872
760,"Did you you buy more shrs 6/27, like I told you to? I borrowed $5000 from credit card, sold Mac comp. Bought more shrs. Loan cost me 11% APR... ADBE makes me 70% ROI. Do the math. I hope you are telling ALL the people you know about the safest and smartest investment poss. in ADBE. We will be at $675 in 2 yrs. Bank on it, and you are welcome... again.",0.9614
761,I missed the train. What is the news that makes ADBE dropped over 3 points this morning. Whoever knows please tell me. I try to get what is going on but I can't find any substance.,0.0149
762,"I warned you guy for this crash, covered my 523 AH short at 481",-0.5786
763,"futures bottom limit ""halted futures"" $SAVE $UAL $BA $HUD $CDLR $ADBE $EEM $ULTA $OSTK",-0.4778
764,"Close to breaking the previous low, once that happens let the panic selling ensue, down to 150 real quick.",-0.8238
765,Looks like option traders are will be manipulating the price to cash in on idiots who buy options.,0.1641
766,https://seekingalpha.com/article/4181248-will-adobe-pop-earnings,0.0
767,DO NOT BUY ANYTHING IN THIS BUBBLE! US Equity prices HAVE PEAKED! US indexes will FALL by 80%! $AMD $NVDA $SQ $SHOP $AMZN $AAPL $MU $FB $BABA $TWTR $TSLA $NFLX $ROKU $NKE $PFE $PYPL $CAT $IBM $MMM $INTC $TXN $PYPL $CSCO $TWLO $CRM $ADBE $SNAP $MSFT $GOOG $MCD $MA $T $V $BAC $DB $JPM $GS $GM $F,0.383
768,Why has this been so trash for 6 months...,-0.1198
769,Finally people start to realize $AMZN $MSFT $ADBE are undervalued,0.2807
770,gonna tank today lol,0.1288
771,"Very nice price action for ADBE throughout this AH session, IMO. Sure, it would be nice to see a big pop to $320+, but we have consistently good bids, the price has easily stayed Green the entire time... I think this bodes very well for tomorrow, more so than if we had big spikes and dips as sometimes happens in the AH session. A spike to $320+, followed by a dip to $300, would have me more nervous about tomorrow, even if the stock came back up. She be looking good this whole session! And, in case you missed it, five star Morgan Stanley analyst Keith Weiss raised his price target on this Baby from $340 to $410, just 3 days ago, on December 9th. :-)",0.9935
772,Stock price currently says it all.....BLOWOUT EARNINGS.,0.4297
773,"A 13% raise above previous target for both Q1/18, and Year 2018. The impact on the stock price is significant. Analysts covering the stock will most likely revise price target. The stock, in my opinion should rise about the same percentage in the coming weeks. Great News. Best to all",0.9398
774,"ADBE has been consolidating for a while now. It's due for a great break out and run up. Solid financials, growth, and management. Fantastic long term play.",0.9642
775,rosie oddonnell said sell.....,0.0
776,"What a wild ride in after hours. Bought 1000 at 276.03, saw it go down 3 1/2 points before rebounding to 278.28 where I humbly put in my limit order for 278.15. Actually had a chance to but back in at 175 but got too greedy with my limit price. but not years from me.",0.5237
777,pure manipulation 470 -> 450 ???,-0.4324
778,https://finance.yahoo.com/news/why-canopy-growth-stock-best-150336608.html,0.0
779,Not if the market is up,0.2178
780,"I tried to buy the $425 put to no avail, you longs simply Panicked and plunged the Stock from 427",-0.2784
781,"Up to 185 shares, started buying at 105. I see this at 400-500 in the next couple years.",0.562
782,it's all manipulated.... whole day neither call not puts could earn.... 300 Spartans kind of strength by MM to make all losers ...,0.3449
783,"With Microsoft $MSFT, Adobe $ADBE, SAP $SAP, Apple $APPL......As Our Partners We Are Going To Be Ubiquitous! We Are Going To EXPLODE ON To Every Screen In The World! We Have The Next Thing In Social Communications and Social Selling! Pretty Soon Everyone Will Be TAGGing All Their Videos. Can't Wait For The iOS and Android Apps! Any Day Now!",0.8284
784,"no one knows why the stock has dropped. Without any dividends, it's hard to hold. They are becoming the Apple of the stock world. They get lower and it takes 18 months to crawl back up.",0.3168
785,Looks like earnings might be bad or forward guidance will be bad stock keep dropping even thought we have 3 upgrades in last 2 days?,-0.5055
786,"Man, will we ever see one green day?",0.2809
787,I warned u to get out vaccines and therapeutics r here,-0.1461
788,When's the 5 -1 stock split happening?,0.3106
789,ADBE ready to break out over 350 and run with other momentum plays that are hitting new year highs,0.6639
790,What a great company this is...,0.6737
791,IF TRUMP WOULD SHUT UP ADBE WOULD BE AT 350 TODAY!!!!!,0.5827
792,"This thing is so overvalued , 15 x sells , wow .",0.4596
793,Bought 10k position today,0.2758
794,Time to buy,0.1484
795,Non-gaaap earnings were a PENNY SHORT!,-0.4173
796,This is a great company!! This will be green by close..,0.7153
797,Adobe was a huge industry leader and stock performer BEFORE Covid. Many thanks to those who foolishly sold. I happily bought.,0.9292
798,Your welcomeLol,0.0
799,Most recent data reveal Fund Managers have increased their ownership in Adobe stock by 6%. That's a nice jump up!,0.873
800,Earnings within 6 day what should we do? So don’t waste time to buy within time. Dear friends are you agree or not??,0.8505
801,"Great company, but way too expensive and overbought at these levels. Cloud computing stocks have the possibility of becoming a crowded trade.",0.439
802,we will touch 350 today!!!,-0.3495
803,"Wow, came back after 2 years, still below 300.",0.4805
804,"Clearly, I don't own enough ADBE......haha!",0.3799
805,"Beaten earnings, AH +0.39%",0.0597
806,Dropping back to 240 after fed minutes in the afternoon all indexes will close down tmrw,-0.3214
807,"Salesforce, workday, Amazon, alibaba makes more sense here than this junk",-0.3309
808,lol this isn’t going to end well,0.589
809,I’m so sick of all these stocks. AMZN NFLX NVDA ADBE etc. Just sit and spin. Pathetic.,-0.4519
810,Good week ahead.,0.3392
811,ADBE is going down guys... make sure you put your stop loss in. I bet it will be down 10 points on opening bell,-0.5997
812,ADBE==NFLX==garbage!,0.0
813,Why did the stock raise all of sudden? ER is December 1st.,0.7051
814,Whats up with all the trolls on here ?,0.18
815,Moderna vaccine resultsComing careful paying up for overvalued tech and charts at highs like on $adbe $crwd $okta $shop,0.8511
816,Come on atleast $185,0.0188
817,Love it..... but no volume :(,-0.444
818,this is what happen when instead of investing in new technologies and ideas you invest in huuuge buy backs.Adbe brought nothing new on the market except photoshop ! on the looong run it will head to lower 200,0.413
819,Cramer will make you rich !!!,0.6978
820,"Glad I grabbed those calls on the pull back,thanks dummies who are chasing this up. You are making BIG JOE RICH! Even richer once I grab those 300 puts",0.9715
821,ADBE==garbage software stock just like ORCL!,0.5906
822,260 is coming !rolling all the way down,-0.6624
823,NVDA Crm aap AMZN. All down more than 20%. You fools don’t learn,-0.4439
824,PT Raised to $142 from $122 at Pacific Crest,-0.2087
825,any thoughts on close today. I'd say $182-183. if great guidance perhaps $195+ tomorrow,0.681
826,"Good stuff - Adobe said it expects 2018 GAAP earnings of about $4.72 a share, and adjusted 2018 earnings of $6.20 a share, compared with a previous guidance of about $4.40 a share and about $5.50 a share.",0.9156
827,"How sweet is this stock! Sold off my profits a couple of weeks ago but kept the shares I bought first. A great CEO, who's also heads the Board. So nice and under the radar.",0.9733
828,wow how high can this one go,0.7707
829,"UT OH! Volume finally increased toward the daily average, but - it was to the sell side... Caution (for sure)…",-0.3741
830,they say theyr doing buyback but ceo and executive selling bunch of shares how ironic..,0.6416
831,"Well, i was close, I estimated open at $250.",0.1304
832,ADBE 'll back to below $284.00 tomorrow ...,0.1297
833,"I thought when this stock was punching hard against 500, it was gonna pop and fly to 530-550 neighborhood. Then, it reported earnings, which blew away expectation on the beat/raise, then it's been falling apart ever since. I am holding 40 shares, and will wait it out. But I have no idea why this stock lost its juice.",0.2355
834,i have a sell at 320,0.0776
835,@jason lol!!!! From going to explode to buy the dip.Longs this morning. Lol,0.8346
836,ADBE: possible 300$ after ER,0.4399
837,why are we crashing? I thought we had good earnings,0.5396
838,"great job, down 5 $ already",0.5444
839,TSLA hit over 1000.ADBE will hit 600,-0.2259
840,DAB DAB DAB,0.0
841,Tommorow I predict 2 percent increase!!! Let’s go boys enjoy the ride to 300!!,0.838
842,What time is the earning?,0.0285
843,Why is adbe so trash ,-0.1985
844,Adobe Inc is still one of the 5 ALL-TIME HIGH MEGA CAPS STOCKS THAT ARE STILL STRONG BUYhttp://walledstreet.com/5-all-time-high-mega-caps-stocks-that-are-still-strong-buy/,0.9229
845,ADBE is rocking!!! GO ADBE GO!!!,-0.5636
846,strong manipulation not sure why,0.5787
