,Recent headlines and conversations for KHC,Polarity
1026,MAKING KETCHUP REQUIRES SPECIALIZED SCIENTIST. IT IS A VERY PROPRIETARY BUSINESS...... NOBODY CAN MAKE KETCHUP BUT THIS COMPANY..... NEXT DIVIDEND CUT COMING SOON....,-0.1961
1027,still a good stock. Who knows how much is the brand? Focus on dividend rate.,0.7557
1028,"I will be up early Monday with a nice cup of coffee ️ at 6:00am and if Buffet says anything positive, I will loading up with another 5,000 shares. Will hold to $45. Buffet’s average is around $54 - $58. This is a no brainer for a fast pop.",0.914
1029,Another Day....Another 52 Week low........Just Taking Longer and Longer to.....'KETCHUP'LOL,0.1719
1030,"The question you have to ask yourself now is do you wait till Aug 20th (holders record date) to get the div on Sept 13th, or will the share price be lower by 8/20 to wipe out your dividend? # of shares I have x $0.40/share dividend tells me the risk of the price dropping more than the dividend received is a big risk. I'm outta here.",0.6289
1031,"Buffett's talk will drive this up, quite a bit on Monday...Hold it and watch the momentum take it Monday morning.",0.5376
1032,Very bullish it has such a high yield,0.534
1033,They blamed Cosby!!!,-0.5873
1034,"WITH THE NEWS THAT CAME OUT FRIDAY.....THERE CAN ONLY BE ONE REASON KHC HAS GONE UP, AND THATS BUFFETT. WISE UP !!!!!",0.9781
1035,Insider buying gives me much comfort here with KHC.,0.6357
1036,YOOOOOOOOOOOOO JUST OUGHT 30 mORE SHARES!!!!!,0.3602
1037,Is it too late to buy this for the 6% divy today?,0.4749
1038,Adding listen to Aug 8 update and like what I heard. BTW The dividend will be maintained. 5.4% while we wait.,0.7595
1039,Going back up. Needs to sthick,0.2357
1040,"Every time I decide to look at the comments section for KHC I see the same junk from ....drum roll please ----""Legendary Trader"" - once again indicating we will be below $30 VERY SOON! He provided us his great prognostication of KHC being below $30 by this Friday - anybody want a side bet Once again also posting junk that the credit rating was downgraded (pas tense) when in fact it is only being evaluated for downgrade because they have not filed the 10K not for any other reason. Do you people actually think anybody pays attention to your up or down comment dribble? That's rhetorical please.",0.8995
1041,This is a pure value stock but i think under the present circumstances the div should be cut strongly. Bringing down the debt At a fast rythm would calm down the rating agencies and introducing new products would guarantee the future. Not forgetting that from a shareholder perspective reimbursing the debt or paying dividends have almost the same effect on value,0.7507
1042,This stock was $97 at one time. I don't expect this will ever get back to 1/2 of this amount.,0.4427
1043,"Warren Buffett has sold his shares at the end of January, sad for little guys like us, still long",0.7458
1044,up 20% tomorrow big earning day,0.3254
1045,How much per share Buffett is averaging here?,0.6028
1046,time for 40s?,0.0305
1047,"I'm a KHC shareholder, full disclosure. My question is: Why is Wall Street so concerned about debt when it's covered by a 5:1 profit/debt interest ratio? I understand, that in the long term, debt can add price to a product (debt transferred to consumer price) which can eat away at marketshare... but KHC profit has a huge coverage on debt interest. On top of that, the last 3 years it's bit hitting about 3B in after tax cash... that's a lot of cash for a 33B market cap company.",0.8706
1048,"I ve been invested in khc for 1.5 year, with lots of ups and downs. Bought a big chunk in the low 20’s that make me break even at around 31 (taking the divy into account). Hope to see it pop with the ER in order to finally sell for a nice profit. Based on fundamentals and the brand portfolio it is not worth more than 40 imho.",0.9451
1049,$31 today. $55 soon!Guarantee!,0.2235
1050,"For 1Q and 2Q, beat on EPS but slight miss on revenues. New CEO needs more time - he has been on the job for over one month.",0.7188
1051,Don't plan on selling this for many many years to come. Lock me into a good dividend please!,0.6647
1052,Good investment right here...not much down side risk. Buy Buy Buy.,0.5443
1053,Seems way overdone. Staples safety area. But it’s a hedge fund name. Staples is where you want to be here,0.4638
1054,looking to add a food based company to my ira for long hold. khc or bgs are both near all time lows but have very good brands and pay solid div. can someone tell me why they have been dropping so bad? And would now be a good time to get in for a long haul? I currently have energy and tech holdings just trying to stay diversified and still a noob. thanks for any info,0.9815
1055,add on weakness and wait..this will have positive outcome..too many ways to fix this..buy more on dividend cut,0.2727
1056,With increase Covid cases more people will continue to stock food at home.They will reach $36-$38 by year end earnings.,0.426
1057,I hope no one slaps tariffs on mac n' cheese or mustard and ketchup. haha pork yes but not oscar meyer weiners.,0.6775
1058,WOW almost 30% cheaper YTD. Yield is like an electric utility ! 4.5% .....,0.8886
1059,Sold my position in Premarket. Time to get out with a small gain and add some shares of CELG to my Portfolio.,0.8864
1060,Top Bullish Charts for April 2021  https://chart-analysis.tools/Bullish-Charts,0.3856
1061,Nice close!,0.4234
1062,"Lagging the Broader market today. Not surprising. Irrational panic buying is over. Took a walk through the local Wal-Mart this morning. The center aisles were slam full again for the most part. People seemed to be more interested in the fresh meats and dairy products. Things still lagging seemed to be paper products (nearly empty) and cleaners/sanitizers (about half empty). KHC has no stake in either of those areas.KHC can attempt to ride this Corona horse, but it ultimately isn't going to get it to the finish line.",0.1388
1063,This stock has a ball and chain attached to it's foot.. CAMMAN.. MOVEE!!,0.4252
1064,"Buffett in today’s letter to shareholders: “Our advice? Focus on operating earnings, paying little attention to gains or losses of any variety. My saying that in no way diminishes the importance of our investments to Berkshire. Over time, Charlie (Munger—vice chairman of Berkshire) and I expect them to deliver substantial gains, albeit with highly irregular timing.""",0.5845
1065,How many times we have to mute these doomsday paid posters to go away for good?,-0.2035
1066,"LOL i look at some of the greatest companies on the planet amzn, aapl, msft, googl then i come back to this negative growth, HUUUUGE MOUNTAIN of DEBT, untested ceo/management, a 90 yr old investor with silly 3g management that failed to recognize the problems of the merger beforehand and they're selling POISON. just awful.i saw that ketchup label with buffet and munger driving the wienermobile and i said to myself ""would i really want those 2 driving anywhere?"" no, no i wouldn't want them on the streets and they need to get rid of that silly ""walt disney"" prop car. and i wouldn't want them making investing decisions. this isn't 1980 folks, its 2020 and the market doesn't forgive multi BILLION dollar mistakes.",-0.911
1067,Watch out down below,-0.1406
1068,I like ketchup. Kids love Mac n cheese.,0.8216
1069,Well they are saying tomorrow and well they have to as its the last day to report without more SEC interaction. Funny this is listing 0.759 earning and thats much higher than the .60-.62 most places are expecting.https://markets.businessinsider.com/news/stocks/kraft_heinz-q2-quarterly-earnings-preview-1028394070,0.899
1070,"I think with Jorge Paulo Lemann worried about his reputation/legacy he will be back. If anyone has read his biography , he won’t let his reputation go down in smoke. For these guys that means more than all the money in the world. He can’t embarrass himself in front on me Buffet. It will be a slow climb back but I am confident we are back in business.",0.6458
1071,Took a loss! Gl.,0.0
1072,lots of institutions buying for dividend record datw,0.496
1073,"looking forward to earning. its on the calendar. gotta set some money on side. looking for monster short that day. not buying puts, going to see what happens and follow the trend.",0.5859
1074,This coming Thursday 31.50 +,0.0764
1075,"what a fantastic earnings report. way to go Kraft. Dividend is good, keep it coming.",0.8673
1076,"So much for all the ""Holding $34 line"" theorists. Need to hear from the $33 people now.....",0.5422
1077,Is this a buy now???,0.3074
1078,"Great Value Tomato Ketchup, 64 ozAverage rating:4.6out of5stars, based on261reviews$1.60$0.03 / ozHeinz Tomato Ketchup, 64 oz BottleAverage rating:4.8out of5stars, based on166reviewsHeinz$4.22Was $4.78$0.07 / ozwake up nobody in their right mind is paying $4+ for ketchup when they can get something thats good enough for close to $1.50. its just high fructose sugar!!!!",0.9485
1079,Easy buy . Hold for long !,0.7698
1080,KHC reached an all time low at 24.03,-0.1847
1081,"Last CC was an epic fail. One of the worst I've ever heard. Buffet raves about the talent pool at 3G, but the market seems to disagree.",-0.5678
1082,Fair estimate is 45. Load,0.5826
1083,If the new CEO is smart and cares about his bonus they should release both quarters tomorrow with strong guidance about the brands,0.9473
1084,"After 3 years of none growth, maybe waning revenue? But keep the shareholders happy with divs and buybacks, then a return to growth? And I'll never sell. I'll be like Buffet and Coke, eating Mac and cheese at 82 like Buff drinks coke now lol",0.9836
1085,"Taking a Long Time for this stock to ""KETCHUP'HEE HEE HEE",0.6285
1086,"@R. Book value doesn't mean anything. Only real value is the ""market cap""(number of shares times price). Yea if KHC went bankrupt it is worth zero. There is never any actual value to ""goodwill"", except in tax calculations. A value in a company is the earnings, which at 5 billion a year, and a PE of say 16 is 80 billion, much more than current market cap of KHC.",0.714
1087,chris is time for your afternoon nap,-0.0003
1088,CPB is up on news about being bought by KHC and this is down.,0.1855
1089,Close above $35.59 with volume takes out previous high and sets up close of the gap to mid 40s,0.6862
1090,"I'm not an expert, but here are my thoughts on KraftHeinz: Current market cap is 35B, and with roughly 4B in post tax earnings (last 2 years) I think it's in good territory for investment. The question is: will this trend of migration to healthy alternatives continue, and if so, will KHC continue to earn what it's earning over the next 10 years? My 2nd thought is this company has a lot of debt, but it's coverage ratio appears to be 5.5/1 - roughly 6B in profit per 1B in interest expense. That doesn't scare me too much. Lastly, one of the negatives is it appears to have a ton of intangible net worth, and as we've seen, this is not dependable or accurate. However, I still believe KHC has a lot of very strong brands with sellable value. All in all, I believe this to be a good business that I have no problem holding for the next 10 years.",0.9879
1091,A 30% drop in a day would make sense if their ketchup killed or sickened people or was tainted with bacteria and millions of bottles had to be recalled. I don't know much abt their sec subpoena but it cannot be as messy as the wells Fargo fake accounts or the BP oil spill pi r PCG northern CA fires,-0.8453
1092,what rag will try to cut us down this time...barons...wsj...bloombrg....washpost.....or one of the top off analyst...gs...Ms....so many choices....hhmmm,-0.0998
1093,"At this point I assume this stock is a lost cause. Invested at 72, will probably need to wait another few years to see if *maybe* this stock can climb out of the deep deep hole it has got itself in. Management has brought this company to a dead end. They missed the boat of the healthy eating and organic movement. Hopefully they can re-invent themselves from within or through aquisition but that would require a management overhaul. Good luck to everybody.",0.9144
1094,I am looking where it's written that Warren bought more shares... Any link would be very appreciated please.,0.7851
1095,Just watch it go below $26 in the next 25 minutes. The time now is 10:05 EST.,0.6311
1096,https://www.google.com/amp/s/www.forbes.com/sites/paultalbot/2020/02/04/fresh-leadership-and-fresh-brand-focus-at-kraft-heinz/amp/,0.0
1097,"I sold my 5500 shares today at a loss. Management is not to be trusted. When the fundamentals change, as it has here, I sell and move on. I rarely sell long term holdings but I see lots of challenges here for KHC. There are other better choices I believe and you always have to consider what you have today and where will it do the best as far as an investment. I never allow myself to"" rear view mirror"" invest. I consider what I have today and if fundementals change or management mis manages Im out. Good luck to those holding on. It could be some time to come back...I moves on with this one...",0.9936
1098,"don't get caught trying to buy a dip-there is no dip-,buy back at 28to29, keep your profits , it had its run.",0.5848
1099,All the automatic sell orders are almost done. Here’s come the squeeze,0.2587
1100,.60 cut in dividend would save the company 728M/year and leave the dividend rate a 3.27%. Would you all take the cut if money promised to pay down debt?,0.0907
1101,ads and more ads thats all they have ppl. ill enjoy their entertainment but when i go to walmart ill pass right by their goods and buy the similar great value brand at 1/2 price or better.,0.9521
1102,With Nelson Peltz becoming strategic advisor to cannibus company ACB I fully expect KHC to get into the infused food business. It will definitely boost the companie’s share price and business.,0.8353
1103,Mac and cheese.,0.2448
1104,"The negativity in the media about KHC is excessive. This is a healthy phase of cleaning house and re-inventing itself. KHC is a global food giant with access and infrastructure. I find the stock cheap, 5% dividend attractive, debt is shrinking, income will stabilize... Potential for growth!",0.8494
1105,$54 right around the corner ,-0.1902
1106,Seneca has tanked right along with KHC and has a PE of 1/2 of Kraft's but they do not pay a dividend. You get nothing while you wait. KHC cut their dividend to 40 cents but hope they don't suspend it like Ford and numerous others. Banks may be next to cut.,0.9015
1107,The lower it goes the better chance Buffet takes it private.,0.481
1108,Buy buy buy,0.3739
1109,"Hi guys, did 3G capital sell all of its stake in Kraft Heinz? Yahoo shows me Vanguard after Berkshire as the second biggest shareholder",0.5453
1110,Put in buy of 6000 shares at $26.60. Need to stop the fall,-0.1385
1111,"Everything is OK...I just put some Heinz catsup on my french fries , today.",-0.3194
1112,KHC WILL GO TO $40 BY YR END,-0.438
1113,"Looking good, I see strength in the movement.",0.741
1114,"This is an important moment for khc holders, negative news keep on popping up and wallstreet try to beat the stock price to scare you and make you sell. Just dont sell. Everything will be fine.",0.4754
1115,chart looks better everyday...25 was the bottom,0.3855
1116,Am I correct? Still a 4.5% dividend,0.1464
1117,"There are a lot of things don’t make sense here. Does a successful business need a fake tweet to pump up SP right before the ER? The more lies, the faster failure. Under 25 on Tuesday.",-0.4882
1118,"http://ir.kraftheinzcompany.com/static-files/5c487620-353e-4961-8ca0-2c3b22086224Slide 9Impairment, good will done So the future is upFact",0.4144
1119,they cut the divi ....sec .... falling earnings and revenue ... they need to fire the CEO and a bunch of other high level execs ... Warren Buffett will probably ramp up the pressure,0.8805
1120,Why this one so down...?Is it good price for someone for fresh entry ?,0.8293
1121,"20 Wall Street analysts have issued ratings and price targets for Kraft Heinz in the last 12 months. Their average twelve-month price target is $34.21, suggesting that the stock has a possible upside of 9.29%. The high price target for KHC is $60.00 and the low price target for KHC is $25.00. There are currently 4 sell ratings, 15 hold ratings and 1 buy rating for the stock, resulting in a consensus rating of ""Hold",0.7252
1122,"The worst has yet to come. Do not catch a falling knife. Now is the time to sell to protect your investment and wait until the sky improves. KHC needs to take decisive actions: time to prepare by cutting the dividend, layoff workers, and reduce debts. It will take time for KHC to turn around or may be longer beyond your control. Just do it before too late.I do not like all the late hypes and Hedge Funds involvement.",0.7558
1123,50+ by end of week 100 by end of year bout time this starts moving like it should can’t wait to loftoff heintz is easily best ketchaup around and it’s not even close imagine trying to eat any other kind u mite as well call it a life at that point,0.9652
1124,This is getting very frustrating,-0.4236
1125,bought at 29.5 and sold today at 27.40 for 7% loss. moving on and not looking back.....,0.2521
1126,"""While lower than in recent years, dividends are significant and demonstrate Kraft Heinz's ability to generate cash flow in the future"" Berkshire Hathaway to the SEC, 24th July 2019",0.5959
1127,I just bought 200 shares at the close $68.6.......this it at lows.....why does chart only go back to 2015?,0.5404
1128,"My stake in KHC is big enough now I already averaged down, if I didn’t yet it would be today without thinking twice. We’re going to the 30s no matter what the shorties can say",0.1659
1129,options for feb . expire on Friday . Good time to buy while they are fighting to keep the price below 27.50 .,0.4847
1130,This will go back into the 90s . Question is when .,-0.2416
1131,Funny how all of these downgrades come after the fact.These analyst's are geniuses.,0.1616
1132,"AMY....CLEARLY YOU ARE A NAIVE MILLENNIAL. WISE UP, MOST ARE NOT INTERESTED IN YOUR VERSION OF HEALTHY EATING. PEOPLE ARE LIVING LONGER THAN EVER.....AND THEY ALL HAVE EATEN KHC PRODUCTS. KRAFT WILL TWEAK SOME PRODUCT LINES...NO DOUBT. BUT TO SUGGEST NO ONE LIKES THEIR PRODUCTS. HOW DO THEY HAVE 25 BILLION IN REVENUE EVERY YEAR. 5TH LARGEST FOOD COMPANY ON THE PLANET. ACT LIKE YOU KNOW SOMETHING !!!! PLUS.......BUFFETT CAN PAY OFF THE DEBT WITH CASH....CORRECT, HE NEEDS NO FINANCING. YOU SIMPLY ARE VERY NAIVE ABOUT BUSINESS, AS MOST MILLENNIALS ARE !!!!",0.982
1133,Don’t know if I even trust buying into. It has been on the downside for over 5 years now. Consumers have too many other choices that are available to them.,0.6364
1134,KHC forum filled with the Lonely Hearts share owners; about all. get a hobby.,-0.0094
1135,$55 Soon Guarantee!!,0.3794
1136,"After earnings come out, we should see $43 a share. Watch and learn.",0.7061
1137,"just came back from picking up some Great Value brand goodies, just say no for overpriced KHC brands kids. reading some posts here and there is very little management can say to sway bears on this stock. if you're looking for KHC to improve sales when they haven't done anything, i don't know what to tell you. it's just another quarter for them to say if your dividend is safe, thats how bad it is.",0.9576
1138,"something really nasty in the cupboard with khc. folks want that yield and that 28 BILLION DEBT. WHAT FOOD COMPANY has debt anywhere near this? K? nope, cag? nope. what company again? 28 billion dollars in debt!! that's a lot of mac and cheese! glad i don't have put that trash through my arteries.",-0.8345
1139,div record date 11/15. payout dec of course. div going forward and div adjustment should be exected soon.,0.6709
1140,https://www.bizjournals.com/pittsburgh/news/2019/06/26/what-kraft-heinz-is-paying-new-ceo.htmlHe’s investing $20M of his own money too...,0.1609
1141,now only if KHC can hold 35,0.1702
1142,Big Gap from 33 to 45. No reason not to see if that gap can be filled before closing out call options,-0.086
1143,"Here we go down again, we need a miracle to get stock back to $65+",0.6088
1144,"@UrMoney... We're going to end up today, at nearly double volume. It doesn't matter what's going on in the sector if KHC has a surprise up its sleeve.It makes me happy when you're unhappy. --Just saying.",0.8338
1145,This stock is going into lower 20's.,-0.097
1146,http://theeconomiccollapseblog.com/archives/is-the-federal-reserve-actually-trying-to-cause-a-stock-market-crash,0.0
1147,Price of debt still going down. KHC operating cashflow continues up. This company is a beast and will be here forever!,0.1926
1148,Ketchup shortage happening right now!!!!,-0.4967
1149,if they lower interest rate it be time to refinance yes or no,0.4171
1150,Another 52 week high...where are all the loser doom and groomers urmoney webr and many more..suddenly quiet after daily bashing for months,-0.5894
1151,May be they should get rid of Oscar meyer and sell it to pay down debt! That will push the stock to 50’s!!!!,-0.6224
1152,Bofais going from neutral to buy it raised the price from 32 to 37 .Benzinga this morning,0.4386
1153,I'm all in,-0.0603
1154,I love the Wall Street full out CON jobs and no one ever goes to jail. Analysts down grade knowing and tellyou to sell all the time knowing their Wall Street firm or the other firms they are working with are buying. Make is an out right CON job for financial gain. Even better is the whisper number CON. Company says they will make 61-68 cents but the whisper number is 71 cents WOW the company missed by 3 cents. LOL not really they made the up end range they gave of 68 cents. What a great CON job that one is for Wall Street. You want them to beat the whisper number is 61 cents the company reports 63 cent WOW they beat by 2 cents but is was at the low in of the companies range . Best Wall Street CON there is the whisper number.,0.9969
1155,Healthy eating a fad. Future is all about heavily processed foods. Strong buy.,0.8325
1156,Accumulation is done. Financial audits are done and signed off. It is up to Kraft to release them at any moment.They have until 9/11 to do release it.$55 or above soon!,0.8344
1157,Wonder how many people bought this just because Warren bought it. haha.,0.6254
1158,Bullish,0.1972
1159,Highest daily high in about 1 month!,0.483
1160,Berkshire Hathaway may be secretly adding shares...,0.0561
1161,"Lets see, Wall Streets AI computers have pushed KHC down more than they should have. KHC has put all the bad news in one Q and all the bad news is now out. KHC cut the dividend and the stock has dropped to the point it's now paying you twice the 10 year. NO BRAINER must start buying shares . Why they still make lots of money and they are paying you twice the 10 year. Watch and learn. KHC will be going higher from here over time and you will get paid 5% on your investment as KHC grinds back higher",0.5851
1162,I take back my last comment now. Dividend slashed to 0.40. Sketchy.$30 share price puts it back at 5%.,0.5247
1163,Can someone please tell me the ex date for KHC?,0.503
1164,Devour Foods a KHC brand of frozen dinners is being featured in the Deadpool 2 movie which is set to open this week.Should turbo charge their sales to record levels and beyond to a whole 'nutha level.Especially if the dinners are good.,0.7265
1165,Look it's down 4.20. That's because you'd have to be high to buy it above 50.,0.3856
1166,"One of those I'm ""all in"" time",0.2407
1167,"Good momentum going into earnings. A good call should add $2-$3 to stock price, at which point I may unload my 2021 calls if I see anything compelling.",0.8561
1168,well at least they said something,0.3577
1169,"Vaccine Time to sell KHC no more food needed for home once we have a Vaccine . No more Kraft needed . LOL,LOL,LOL",0.906
1170,WOW with all the KHC bashing for sure you would have never believed that revenue for Q4 2018 was up .07% . So where is the big fall off in sales if the revenue was up for Q4 2018. Boy you got bash and buy by Cramer LOL Cramer was bashing so MS was buying LOL,0.9702
1171,"Jumped in today with a small stake, only 200 shares. I've been watching for awhile, but wanted another pullback to where I could get a 6% yield on the current div. In at $26.60, pretty happy and believe the long term prospects are good, providing one can stomach the short term frustrations.",0.9622
1172,Sooo who’s buying!?,-0.1129
1173,You people are lucky. The only shareholder that will be left is Buffet. But if he sells....look out belowwwwwe,0.6431
1174,"Stifel Maintains Hold on Kraft Heinz, Raises Price Target to $33",0.2563
1175,"Anwar, it will be a very long time before we see 90. SNAP OUT OF IT.",0.4915
1176,Khc sales volume will be down.. margin will be down... Asset write down... div cut...,0.4501
1177,How you guys liking that dividend now? You are only down 2 and a half years worth of them since they announced they were not cutting it. Ohh and you also got cut to junk credit rating by keeping it. An 8 year old running a lemonade knows they cant pay their friends before paying for the lemons and cups and signs.,0.7475
1178,Chart looks like it’s going to $60’s next 12-18 months,0.4695
1179,let's mute urmoney and have intelligent discussion board.,0.5489
1180,"Hello longs! I’d like to discuss something more meaningful than bashing Buffet and consumer goods, like most posts on here.First, I am long here as well, with an average price of $55, yes back in October or so, I thought I was getting a deal considering this had traded at 80-90 less than a year prior and all the news was that it was tunrmjng itself around. With such a huge brand name, a Buffet stock, a 4.5% yield at the time, and the fact that a quarter of the grocery store space is KHC products, I thought I was ‘safe’ in the turbulent correction at the end of 2018. I read a ton of negative posts, nothing positive really, even comparisons to GE, which are still bogus. However a possible scenario keeps coming back to mind. This is already half owned by Berkshire and 3G, has anyone considered a takeover for the other half? If so, figuring out a premium or right price would murder any longs on here, since I am most certain many have bought at even higher prices than I have. I understand 2019 will be a 0 growth year here, somehwat complemented by a lowered dividend with the only positive being deleveraging. The thought of a buyout at these prices tho, terrifies me, as it would be substantially under purchase price. Thoughts? Let’s keep bashing off.",0.9869
1181,even More call volume today. is something up? breakout to where? all institution and server trade.,0.8245
1182,"Investing in stocks is a long term endeavor. Looking for an uptic after a couple of months is gambling, not investing. A lot of gamblers in this market. KHC is a long term hold. Soros sold to focus on Lyft which is costing him billions !!!",0.8351
1183,HAS DIVIDEND BEEN PAID ?,0.1352
1184,"Comparing GE and KHC... khc got much more safer business compare with ge..in addition, ...ge was in downtrend for last 2 years, from dec 2016 (around) and bottomed in december... kraft was ATH in feb 2017. now we are feb 2019. so basically the same, before drop on friday, khc paid around 5.2% yield, with that drop, and dicrease in dividends, khc also paid around 5.2% yield.Smart money buying, panic boys selling.and yeah, of WB will try to sell his shares, he will try to push this stock higher, like with some rumors etc... or atleast they can manipulate last er with stock gaining atleast 10%...WB sells hight, he dont sell low.",0.9644
1185,"Big move higher on Monday for KHC, Why dividend reinvestment your running out of time to get your KHC shares so cheap, There could be as much as 15-16 millions shares purchased on Monday just from the dividend reinvestment. How Easy do the math 1.22 billion shares times .40 cents + about 488 million dollars plus about 25 million shares that were shorted times .40 cents = 9.8 million so 496 million dollars can buy 15.5 million shares at todays price the power of dividend reinvestment WOW a 15.5 million share buyer on Monday. The power of compounding you money making money",0.9925
1186,"Good news. The Board of Directors of The Kraft Heinz Company (NASDAQ:KHC) today declared a regular quarterly dividend of $0.40 per share of common stock payable on June 14, 2019, to stockholders of record as of May 31, 2019.",0.893
1187,Another new 52w high today..KHC itching for 40..plus great div,0.7672
1188,$KHC Good stock for a covered call strategy.,0.5664
1189,They make $6 billion. 1.2 billion shares. $5 per share earnings. $1.60 dividend. What is the the p/e? low What else do you want? Usually Buffet gets a great deal at the expense of others. This time is your chance to get the deal.But not from Buffet. From others. Buffet says he is not selling nor is he buying. We are all just collecting the dividends and hoping for the stock to rise so that we feel better about our investment.,0.9802
1190,"Oct. 31, the day of reckoning. Beat, meet, or miss?",-0.0822
1191,GE is rebounding strongly and paint the same picture for KHC. they were oversold for a transient event.,0.4479
1192,"Eventually the market will establish the right price for KHC shares , before WB takes it private .",0.4074
1193,down 25k in this... dont know what to do... wait or take a lose..,0.0113
1194,"Time to buy. I've been saying to buy at $48 for over 6 months. Well, this is close enough for me. I own a small amt. of KHC right now but will add a bunch more on Monday and will average down IF it goes down more. This is the time to get into KHC. The Dividend is great and it appears to be safe. Their sales are awesome and I believe their revenue will go up due to new products I'm expecting them to bring to market. I also believe they will find a way to decrease their huge debt. They may look at adding more rev. by acquiring a smaller co. Who knows? The divi. alone is worth buying this at this level. KHC at $48, or a little higher is worth an investment.",0.9903
1195,"All they gotta do is get the debt under control, then it’s off to the races, and raising dividend ",-0.2314
1196,Zacks upgrades KHC from Sell to Hold dated 1/30. don't discount this move thinking you know better.,0.5927
1197,Surge because of unsubstantiated rumor saying buffet is preparing to tender an offer with 3g for the rest of the KHC shares he doesn’t own for $36.50. DO NOT fall for this. No chance it is true. Why would he. He can buy for $29 on the open market.,0.9573
1198,"BOYS...MANY OF YOU MAKE GREAT POINTS. KHC BUSINESS WILL HAVE JUMPED DUE TO THE VIRUS. NEXT EARNINGS CALL WILL BE SWEET. BUT I EXPECT SHORTLY FOR BUFFETT TO MAKE A MOVE. THE MAN IS SITTING ON 128 BILLION IN CASH. HE MOST LIKELY IS SITTING PRETTIER THAN ANYONE ELSE. BUFFETT LOVES TO TAKE ADVANTAGE OF SITUATIONS LIKE THIS. HE WILL STEP IN AND BUY SOMETHING SOON. I BELIEVE DUE TO HIS 26% OWNERSHIP IN KHC ITS A REAL POSSIBILITY THAT HE TAKES KHC PRIVATE. WITH A PURCHASE HE IMMEDIATELY REDUCES THEIR COST OF DOING BUSINESS, PLUS UNDER PRIVATE OWNERSHIP A BUSINESS CAN MOVE MUCH FASTER AND EFFICIENTLY....AND THATS WHAT BUFFETT LIKES THE MOST. LOOK...BUFFETT IS GOING TO TAKE ADVANTAGE OF SOMETHING SOON AND KHC MAY BE AS GOOD AS ANY. PEOPLE ARE GOING TO EAT NO MATTER WHAT THE ECONOMY OR VIRUS DOES !!!!!",0.9989
1199,Hehe I was right about the 2 quarters released together. Excellent news,0.625
1200,i punched all the data into my XE200 stock analyzer.. and it shows KHC closing at 65 by years end.,-0.0653
1201,"AH up 95 cents, is this a hoax or real?",0.2579
1202,"SELL ALL US Stocks in this TULIP MANIA BUBBLE! A HEAVY CORRECTION IS IMMINENT! The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3700.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!The US Government is PUMPING Oil Prices artificially, DESPITE Shrinking Demand and Exponentially rising supply! Oil price went up from $1.00 to $60.00 in no time FOR NO REASON, thanks to FED. Soon, Oil will be USELESS and WORTHLESS, but the US Market Makers are seeing commodities as PUMP and DUMP Schemes!!!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QShttps://www.businessinsider.com/national-debt-problem-of-free-money-stimulus-checks-covid-relief-2021-1?r=DE&IR=T",-0.9952
1203,Takeover is coming.,0.3611
1204,"sell at 33.32 -- take the profits to the bank this afternoon ,, yeah Baby !!",0.8086
1205,Look at those profit margins of the past...! This is insanely good. I think this can be a gigantic turnaround!,0.77
1206,"Great news, the former successful CFO returns to the company and replace the poorly performed 3G capital young chap. Experience does count",0.8676
1207,Heinzi really looking strong here...,0.5106
