,Recent headlines and conversations for PCG,Polarity
1159,"If PG&E finalize a deal over the weekend and announce it on Monday, I think we will catch another wave. Enjoy your weekend everyone :)",0.8012
1160,What will happen to the stock when the fire victim fund lock down ends 9/1?,-0.6003
1161,"Love the business relationship with Tesla. This is an excerpt from an Oct 7th article.""Beyond their capability to store and release excess energy as needed by the grid, the Tesla Megapacks are also expected to provide about $100 million worth of savings to PG&E over the project’s expected 20-year lifespan. Interestingly enough, Tesla’s deal with PG&E also includes the possibility of the battery being expanded to as large as 1.1 GWh in the future. As noted by Tesla, such a scale would be enough to power every home in San Fransisco for 6 hours.""",0.9631
1162,"I don’t understand this. Even with all the items on the table (dilution, debt, etc), this should still be higher than it is right now. Long time bull here, beginning to lose the will to hold.",-0.0634
1163,"Purchased 5,780 shares yesterday at the low, holding on till this baby goes past $25",0.6162
1164,"If you're shorting this, I will pray for you.",0.3345
1165,"PG&E may be responsible for the fire. It happens in electrical carrier lines. The responsibility for the WILDFIRE lies 100% with the state and the policies of not allowing proscribed burns to avert wildfires. And yes, the two are different.",0.5688
1166,daily gap closed pre market,-0.1517
1167,“Pcg -The companies shares have a high probability of being canceled.”,0.3989
1168,market cap 16 billion 19 billion in damage already,-0.7544
1169,"I believe this stock will make people rich, that is, lawyers. And hard working, honest employees with 401K's will sadly see BK to mean dumpster diving at Burger King.",0.3844
1170,I guess this stays at 8.00 until they actually file because so many are hopeful this is fake news or a hoax but I think its a hoax for this to be up on such a day the Dow is down triple digits.,0.5263
1171,I don’t no much about bankruptcy work. I have some thousands share Pg&e stock. If Pg&e bankruptcy all my shares will be gone? In my situation now what should I do? Any advice I am appreciated holiday season coming but I don’t feel good at all. Many thanks you,0.919
1172,See David Tepper has purchased tons of PCG stock this past quarter. That is probably one reason for the nice climb we've seen.,0.7974
1173,great info wv,0.7363
1174,Well it pretty plain that our stock (PCG) is a long term play. Make no mistake I am in it for the long term. I have and still work for a utility for 41 years. I have invested a lot in this stock. It's my hope the Board Of Directors will do everything they can to see that the stockholders are in thoughts. The CEO salary should be tied to the stock price.,0.9471
1175,"Proposed SB378 bill is a overeaction by legislators and can not be optimal response to regulate utilities. It is founded in a wrong premises that utilities are deliberately doing shutting off power to maximize profit, which is outright wrong. CA legislators are putting customers at risk from fire hazzard under unusual environmental condition. It is like forcing pilot to fly under hazardous condition. The bill will be ultimately revoked by the court if it ever becomes law . Time will tell.",0.4087
1176,"Bought 200 more shares, probably last chance under 10",0.448
1177,Thank you for the cheap shares!,0.7717
1178,"Like I said before, sadly lower highs and lower lows. Hope this trend reverses after 2 years of losing money on to this stock while everyone else have more than doubled their money investing on other stocks.",0.3368
1179,Nice.,0.4215
1180,Newsom is doing nothing but ratcheting his jaw. Takover is almost impossible at this point,-0.3165
1181,People are obviously waiting for the vote count to be released.,0.3923
1182,"NEWS THEY HAVE ONLY 15 days from Filing THEN THE MANIPULATION ENDS READ THE Investopedia BK excerpt ""... Under Chapter 11, corporations are allowed to continue business operations, but the bankruptcy court retains control over significant business decisions. Corporations may also continue to trade company bonds and stocks throughout the bankruptcy process but are required to report the filing with the Securities and Exchange Commission within 15 days. Once Chapter 11 bankruptcy is filed, the federal court appoints one or more committees that are tasked with representing and working with creditors and shareholders of the corporation to develop a fair reorganization. The corporation, along with committee members, creates a reorganization plan that must be confirmed by the bankruptcy court and agreed upon by all creditors, bondholders and stockholders...""",0.9791
1183,Buying Opportunity for a strategic company going forward.......,0.7287
1184,Is there a specific deadline for CPUC to render their approval or is the timing of the decision at their discretion?,0.7913
1185,"Another day, another rise!",0.1909
1186,18 overnight 18 overnight yeah,0.075
1187,"Good article. Thanks for posting. I agree,it is too late for the Mayor's proposals to take the company public. If they would have come in early in the game. PCG will be a public entity at the end of Bankruptcy. They all came in with their Plan after PCG shut the Power off last year. I would not give the Bondholders any stock in the reorganized company, after all the obstacles they threw on the present management to steal the company. I am waiting for the Judge to rule on the make-whole their bonds appeal and turn down they're all-cash offer for the fire victims.",0.9097
1188,Wow! What a day!!!,0.7409
1189,Hedge Funds Bailing Before Warren's Request for SEC Investigation and Indictment based on Search warrants served is finally takin effect,0.3277
1190,Added to my short position at 14.64 small,-0.2617
1191,So you have to ask yourself what has changed since yesterday ? ANSWER! NOTHING! this is hedge funds shorting the stock and then buying up weak handed Cheap shares. Rinse and Repeat.,0.9176
1192,"When there is something significant news about to come, this stock tend to go down. There is no reason to panic. I see significant residual value for current shareholders.",0.2635
1193,"PG&E is reportedly worth 85B in assets alone. Let that sink in for a moment before making claims of this being only a 4B dollar company.Minus all debt and expenses, let's say 30B market cap on the conservative side. That's 6x from here. Not sure why people expect this to go to 5 bucks. Very puzzling!",-0.492
1194,Can someone help me out here .... I am new to investing. (Pot stocks in the last year) but why would anyone buy into a company that is declaring bankruptcy?,0.4057
1195,Never fall in love with a stock folks. It won't love you back. Tried to warn ya'll. I know I warned my Twitter followers.,0.7944
1196,Buy buy buy,0.3739
1197,"I feel like this stock is just going to fly under the radar going up 10, 15 cents a couple of days, down 5 or 10 cents some others and repeat that over and over until it's back around $20 in 12-18 months. Great buy if you have patience and the stomach for the risk of the leftists that run California and ultimately want a government takeover of all utilities. To me that's a MUCH bigger risk than fires at this point.",0.8958
1198,"5 days ago, I mentioned resisitance around 9.60........today we see the 50day ma moving thru the 200ma on hourly chart.......has not happened in a good while. Plenty of strong bullish divergence with various indicators vs price action........this stock goes higher.",0.9124
1199,PG&E: Confirmation Hearing Set for May 27First one to post info gets a free jolt of electricity.,0.8144
1200,"Man the optics from PG&E are as bad as you can get. The state legislators are #$%$, the governor is #$%$, CPUC is going to be outed and a new board put in place. THE PROBATIONARY judge is #$%$ and wanted a huge maintenace program to be initiated along with those penalties which could mount to over $100 billion. Already on the hook for up to 30-70 billion from past fires with no guarantee of no future fires!!!! Potentinally asking for a 5 fold rate hike increase which would make utilities bill in the area of $800 a month. 16 million customers would riot. The crasiest part is since the BK the share price rallied and i have to believe both longs And shorts are scratching theirs heads. What happens here is anyones guess but this will be a stunner to everyone if this company will be in business in a few years. Many are asking for the company to be broken up. Ill ride my short for now and with earnings coming up which wont really reflect recent filings aNd penalties the share price good spike but the bottom line is my monies are in and on the short. One day share holders will wake up to a monstor drop thats my prediction. Glta",0.9011
1201,"Everyone who bought the weekly...1,2,3,4,5,6,7,8,9,10 puts Are gonna be pan handling in a few days.",-0.4264
1202,"Bankruptcy assured, After reading more about the situation I am certain the company has no other choicePurely as a business decision. Furthermore I see no political appetite for a messy bailout that does nothingto prevent this from happening again. I'd short or buy puts before the end of the day...Definitely wouldnot sleep well holding shares over the weekend.....Just another free opinion...",0.6778
1203,"This is just general market movement. While it seems like a big reaction, this stock has moved 25% or more in a single day, in both directions. We are less than an hour into the trading session and I agree with WestVirginia that this will move towards flat or going positive by the end of the session. I bought some more shares today on the drop.",0.9205
1204,Don't people in CA have fire insurance? Should come with every mortgage. Why aren't we talking about insurance companies taking claims?????Not to mention FEMA,-0.5603
1205,If the PUC votes against the plan then this state will be have more than just a pandemic on it's hands.,0.1272
1206,$8.25 today will be great !,0.657
1207,Today's volume will be closer to 40 Million than 30. Expecting a flurry of activity near close. I won't be surprised if we close between 12.90 -13.,0.1688
1208,Common 20.00!,0.1821
1209,"Could this be the reason PCG did not pop with the CPUC approval last week and why it won't pop much with Montali's upcoming approval on Tuesday, June 2 ? “PG&E (NYSE:PCG) may offer and sell up to $25.675B securities in a mixed shelf offering.”https://seekingalpha.com/news/3578818-pg-and-e-files-for-25_68b-mixed-shelf",0.9435
1210,Here's a $25 Billion + mistake made in court PGE attorney acknowledged that the Camp fire is caused by their equipment failure - $25 Billion AND 86 Human Casualties: $860 Million + Per their own Attorneys' comments in court where he stated they did not file bankruptcy to escape our responsibility for the fire your honor <<< NAIL IN COFFIN RIGHT THERE!,0.7701
1211,Can’t wait for the CPUC to come out with their approval of the plan.,0.7326
1212,"BofA bullish on PG&E following wildfire mitigation planFeb. 10, 2021 3:57 PMPG&E Corporation (PCG)By: Carl Surran, SA News EditorPG&E (PCG +2.7%) shares have continued to lag the utility peer group, but Bank of America's Julien Dumoulin-Smith thinks that dynamic could change once a handful of overhangs are removed, as he reiterates his Buy rating and $14 price target.",0.9314
1213,Newsom is demanding more under the table currency. Once he's happy with the amount he'll change his tune.,0.388
1214,"PCGQ=.03 That's when I cover, Short at $25 and change.Longs deserve what they got, I told them when it was above $26 Shorts will tank this to zero.bankruptcy, guardianship / eminent domain by state of California and the shareholders will get wiped out that's the order.",0.1875
1215,"$PCG #PGE February 11, 2019 - BlackRock Inc. has filed an SC 13G/A form disclosing ownership of 13,156,094 shares of PG&E Corp. #NYSE: $PCG This represents 2.5% ownership. Previous filing January 29, 2018, BlackRock Inc. had 47,308,488 shares, a decrease of -72.19%https://t.co/9BxCqMW0lk https://t.co/LWJpuai3MT",0.7183
1216,"David Tepper , PCG is one of his largest holdings. I wonder what he knows!!! I'm in at 10.50, will sell at 21.00",0.4966
1217,"And at these words, with head bowed PGE took a deep breath, turned the lights off and gently head for the door, in pace requiscat..",0.1677
1218,No shares to short anymore without paying fees. They are now hard to borrow.,-0.6536
1219,"Div cut is serious. The whole point of owning utility shares is the div. Look at KMI. They their div and share price went from $30 to $12. PGE made a move that’s even worse no divs, zero, zilch, nada. Let that sink in and know that there is more pain to come especially next year when the fire investigations finish up and blame is assigned.",-0.8926
1220,Man this thing likes to rocket in the morning! Its clockwork,0.6754
1221,Huge pop soon,0.3947
1222,"Seeing this many shorts posts only verifies PG&E as a huge winner for longs. Keep these comments coming shorts, making me smile!",0.8891
1223,Could you imagine being CPUC and trying to spend every dollar and waking moment trying to bring down this company?,0.0187
1224,"Perhaps more than in any other industry the share price to book value (P/B) is an important measure of financial worth. Currently, PCG is trading BELOW book value!!! The book value of PCG, based on shareholder equity of $22,863 million and total shares outstanding after the re-organization of 2,153 billion, is 10.62. These numbers are taken from the recently filed SEC prospectus. (See http://archive.fast-edgar.com/20200630/A822Q22DZZ2ROJZ222ZC2ZYRA8NCOZ22N22G). The P/B for Edison International (EIX) is 1.49. The P/B for Public Service Electric and Gas (PEG) is 1.59. For PPL it is 1.59. And for the Southern Companies (SO) it is 1.94.So put your thinking caps on: Is PCG overvalued or undervalued?",0.979
1225,https://finance.yahoo.com/news/top-ranked-value-stocks-buy-125412767.html,0.0
1226,Very good sign of what is happening today Market coming back but PCG is NOT,0.6426
1227,Think May 21st is CPUC confirmation of the BK exit plan follow by final official counts from victim's vote and lastly Judge's final approval of the plan if all goes well. CPUC already know what majority of the victim's group wants base on the preliminary results. We are going to have a good month this month.,0.9444
1228,Dennis. Nikola with no revenue is up 300%. This is going to be out of bankruptcy with revenues intact al be it with a lot of debt and some stock dilution. We are on a safe path here.,0.5503
1229,So did anyone happen to hear what pcg attorney give as the absolute dead line for bk confirmation for the judge. Was busy today so I wasn’t able to listen in on it.,0.7503
1230,"Only 500 million shares left and they will close this to common, better get them before they are bought by hedge funds in a scheme. This stock will double by January",0.7916
1231,One thing to remember.... PGE is THEEE electric utility in its area. It will survive long term.,0.4051
1232,"Garnet Research’s Robert Howard argues that Warren Buffett should save the day: He tried to buy bankrupt Texas utility Oncor Electric Delivery in 2017, and swooped in when Constellation Energy Group was feeling the liquidity pinch in 2008.Black-swan events like that might seem like a Hail Mary for PG&E at this point, but presumably holding out hope for a long shot is why only one analyst has a Sell call on the stock at this point, with the rest of the sell side still clinging to Hold ratings, according to FactSet.",0.989
1233,"What's concerning is the up to $12 billion equity financing from the backstop. They said $6.75 billion from stock, and $6.75 from cash, yet, it's going to be financed from up to $12 billion in which the backstop group agrees to buy ""New HoldCo"" shares. I'm no legal expert but something sounds fishy. The SEC filings are complicated to read to be honest. I think this is scaring people. Plus chart looks like a head and shoulders, with the shoulders forming...., meaning about to tank and test $11s again. If $11 support falls, it'll head down to the low $10s like I previously predicted. We shall see.",0.9022
1234,Well the State can start buying 1st thing in the morning when the market opens. Go for it.,0.5659
1235,Looking like 18+ today.,0.4223
1236,Is this the big drop back to single digits? Interesting.,0.265
1237,They are really exiting bankruptcy now. What a major move for that. $20 soon.,-0.1235
1238,I want to point out to all of my Bulls/Longs out there. DO NOT SELL your shares there is market manipulation right now and when you take a look at the recent article posting about hedge funds dumping this the article was dated as of March 31. I want to point out we have come along way from then especially PCG in exiting bankruptcy. DO NOT SELL this stock is going to soar once they exit if you can HOLD until after June 30 worst case.,0.9081
1239,"The reason Stock market dropped because of people are panic or concern of the virus reported by the bias News media. Did the News media report yearly how many patients die in the United State in 2019? and the Stock market have no affected to it because no one was panic about it. According to preliminary estimates from the (CDC) Centers for Disease Control. So far, 6 days a ago,16,000 people have died and 280,000 people have been hospitalized in the U.S. during the 2019-2020 flu season. Also in June, 2019, the CDC reported 42.9 million people got sick during the 2018-2019 flu season in the U.S., 647,000 people were hospitalized and 61,200 died. That's fairly on par with a typical season, and well below the CDC's 2017-2018 estimates of 48.8 million illnesses, 959,000 hospitalizations and 79,400 deaths. Hold on tight to all your investment, the market will turn-around as away! Good luck to all!",-0.9182
1240,"So ladies and gentlemen, How do we feel the vote will go and what the price point each share should be once the exit of bankruptcy?",0.3624
1241,"Buy up all the shares, load the BOD with your cronies, reinstate the dividend and sell your shares off the price pop that will eventually come off all of the ""good news"". That seems like what they are trying to do.",0.9552
1242," KA- BOOM! Don't say I didn't warn youProsecutors: Fires may mean PG&E violated criminal sentenceAssociated PressAssociated PressDecember 31, 2018, 11:43 AM PSTSAN FRANCISCO (AP) -- Federal prosecutors say a California utility's role in igniting wildfires last year could allow a judge to find that it violated terms of its criminal conviction in a deadly gas pipeline explosion.In a court filing Monday, the U.S. attorney's office in San Francisco cited investigations by state officials that blamed Pacific Gas & Electric power lines for some of the fires in October 2017. Investigators also said they found evidence PG&E violated state law.Prosecutors say a judge could use those facts to determine that the utility violated conditions of its probation in a conviction stemming from an explosion of one of its natural gas lines in 2010. The blast in the San Francisco Bay Area killed eight people.",-0.635
1243,"This is just my assumption, but all this is happening due to the 3.25 billion fund. The terms is that they will buy in at current stock price at a discount on the day of approval. I'm suspecting that means they'll drive the price down to get more shares from the 3.25 billion (why pay 10.5 per share when you can pay 8.75). They'll make it low enough that they can get more shares at the same time high enough that it won't trigger backstop or #$%$ off other heavy weights investors. Once the deal is done, anything that holds this stock down should be gone and we should see a nice gap up and a steady upward trend. I hope the judge will approve the plan officially today to seal the day and not drag this into another week. The bond fund raising is already done and completed so most debts and dilutions are already built in at this point.",0.9941
1244,I exited my position for now for a small profit. Will check again tomorrow.Still heart goes to families who lost loved ones,0.8487
1245,I only see green candle sticks!!,0.2445
1246,PGE missed $21M interest payment but CEO got her millions,0.5069
1247,"The market doesn't seem to realize this is not the old PCG. They are very vigilant in executing PSPS and the chances they are going to start any fires are very remote. I am expecting them to break into 10's very soon, maybe even this afternoon.",0.3992
1248,"Ah, the Gloria Swanson smiley face pattern.",0.2779
1249,Why did that person wait till after hours to sell 12 million + worth of shares ?,0.6321
1250,Isn’t it today that they’re coming out of bankruptcy?,0.0264
1251,Remember only 7am on west coast.,0.5387
1252,"Sooooooooo, after being homeless and remodeling two houses. Now after three years of hell, we have landed in a very nice house to weather what ever comes. We have been here a week, and I have spent most of that time making the new place as fire safe as I can. In the process I discovered a very heavy tree limb leaning on my power drop. PGandE did a amazing job coming right out and making it safe. All I had to do was clean up. This was fine with me, I was all set up for that. But, I don't have the skills, or knowedge for the line stuff. This really helps me. I hate them so much, but actions like this make me closer to forgiveness. It is going to be a long road for them, but this kind of real commitment will make it happen.",0.9648
1253,I keep adding more and more. Imagine a dream where A regulated Monopoly in a monster state/region supplying absolutely essential electricity/gas trading at the same price it was in 1979. Oh wait this is right now. Soros & Ex-Goldman sachs partner run hedge funds and others are making $100 MILLION++ dollar bets on this. Think 20 years how happy your family and relatives will be collecting huge dividends from millions of people electricity bills.,0.9281
1254,Wheres jennifer?,0.0
1255,"Soooo Newsom says, if PGandE doesn't reorganize in a timely manner, he will do it for them. CEO counters with, we can't get it done by June. Why is this stock not zero? Are you guys wishing on a star?",0.69
1256,the reason it is going up is due to the appt of the mediator by the bk judge. the judges order was that both sides sit down and come up with a mediated solution for both parties. this gives the common shares greater potential for some recovery and less risk of a total loss. thus the shares are rising.,0.9552
1257,"Interesting that lots of shorts suddenly appearing today. By lots, I wonder if it's the same guy with multiple accounts just talking to himself and making it look like there's a lot of people. Anyways, shorts know once resistance at $12 breaks, this puppy is going to skyrocket like it did from the $8s resistances to almost $11. As one admitted the other day, he's under water. I bet a lot of late bandwagoners tried to short when it was on or around $5 and are regretting it now.",0.8523
1258,My feeling was right!! It did hit 18.. next target 30!!!,0.3407
1259,"Dumas indicates that the fire victims committee is okay with supporting the PG&E plan because they trust that the @californiapuc review, with input from Gov Newsom, will get the blueprint to a point where it complies a/ AB1054 and can be confirmed",0.6822
1260,Hmmmm... That's puzzling. The price dropped right out the gate and is finishing green... didn't see that one coming. $11 tickets to the $20 show. Shaking out people before Christmas. Getting in long and strong.,0.8155
1261,the volumes of up are bigger than the volumes of down... hmmmm promising,0.4311
1262,I can't wait for PCG to skyrocket past the $40s. Let's get this show on the road and go beyond the moon!,0.7124
1263,Market flat today,-0.0096
1264,$2.1B fine is only $3.96 per share.,0.6007
1265,Blue Mountain and Citadel with Warren Buffet all liftjng the shares price so they can sell their bonds and buy cheap puts,0.7756
1266,"This is my thought why pps is going up. Probably, Elliott and Blue Mountain might have decided to purchase all shares with the money, $5B, to dominate the management. And they can control the company in the way what they want.",0.6733
1267,PCG has been added to the iShares Global Clean Energy ETF by Blackrock.,0.4047
1268,"PG&E went through bankruptcy in 2001 and their stock went from under $7 all the way to $70 eventually. This is a no brainer hold at these levels. They simply passed the costs to customers back in 2001. No other utility is willing to buy PG&E and own up to the risks. Hedge funds are the only ones and California doesn't want that, so they're practically begging Warren Buffett to buy PG&E. If there are no real bidders, they either let PG&E continue business by increasing costs to customers, or they have to bail it out. Rolling blackouts will lead to riots and politicians KNOW this. Rain is coming in less than 2 weeks. By Thanksgiving, I expect to see $10-$20 on the stock price. A judge forced previous bankruptcy victims into mediation, which means LESS cost to PG&E because he knows PG&E can't just black out. With the new fires barely causing any damage, we'll see double digits soon. Last night, they said the burn line hit the old Tubbs burn, which was the deadliest fire in California history before the Camp fire one in Paradise, CA. And the Tubbs fire only cost $1.3 billion, with over 5,500+ structures burned. Mathematically, with only 200+ structures burned and 30% containment and no winds (with major roads on either side of the fire to help transport firefighters in and out of the area of battle - MAJOR advantage), with 400 structures burned, the math works out to $50-$100 million or so. That's why I went all in under $4. I had no fear because I did my homework, unlike the bashers here. Math is real guys, it's not fake news.",-0.9644
1269,Bottom line if and when PG&E actually does go through with their plans on bk the stock will immediately drop so far and fast it will make your heads spin b/c all institutions that own the shares have to sell as they are no longer investment grade securities the stock will then be delisted from the NYSE and into the OTC within a couple of days there it will trade as a worthless security for about 18 months. Seen it happen many times. Bankruptcies are never good.,0.7151
1270,going green by 10 am,0.0547
1271,"Serious question. Because of the bankruptcy filing, aren't the current shares of the company worthless? Once the company emerges from bankruptcy they issue new shares of stock. Thanks",-0.4345
1272,"pcg should just shut off the power to it's entire network until the state rethinks it's life's choices... the deal was agreed to by the victims, they made changes, good ones, and I gather sent the wrong donuts. anyone's know where to buy left-wing crullers",0.8126
1273,Is there any problem in California that the state is not trying blame on PCG?,-0.5084
1274,"Wait there's more HORRIFIC NEWS; LIVE, in court PGE's own lawyer says there's THOUSANDS MORE CLAIMS 2 b FILED w/ $23b to $150b liability 13:13 EST ( Wednesday Jan 30 ) The judge invites PG&E counsel Stephen Karotkin, of Weil Gotshal & Manges, to the stand.where he stated the above factsPGE attorney 13:15 EST; Thursday Attorney, Karotkin:“Thank you for scheduling the hearing today, we appreciate being here on this expedited schedule. … The debtors’ decision to seek relief under Chapter 11 followed a comprehensive review of a variety of factors. …. As a consequence of the catastrophic wildfires that occurred in Northern California in 2017 and 2018, the debtors faced a multitude of pending claims, and literally thousands yet to be filed. “ and at what cost is this liability?How about $23b to $150.OUCH. THATS NOTNINCLUDING THE Judges sanctions for breaking their probation",0.9836
1275,Looks like PG&E responsible for 2 other fires that started last weekend...The Bethel Island and Oakley fires -- in the San Francisco Bay Area -- started in an area where the company (PG&E) left the power on.https://www.foxnews.com/us/pge-to-blame-for-two-more-fires-in-northern-california-fire-officials,0.7389
1276,"So I did some of my own research on this instead of just listening to all the crazy talk on here and this is what I conclude. All of you shorts hoping it goes to zero, you will be disappointing, at least until every thing is settled, and I mean everything, even the bankruptcy, and that will be a while, several months. Here is the truth, if there truly is a 75% chance of zero and only 25% chance of somewhere between $20 and $25 that puts the price target somewhere between $5 and $6.25 a share (25% of $20 = $5.00; to 25% of $25 = $6.25), not zero and that is assuming there truly is only a 25% likelihood that the PG&E bankruptcy plan or something similar gets approved which would give the shareholders about $20 to $25 per share in the end. The bondholder's plan would give shareholders essentially zero. The court did not say they are accepting the bondholders plan completely and totally rejecting PG&E's plan. In my opinion, I bet in the end the answer lies somewhere in between zero and the $25 to $26 range, maybe somewhere in the $10 to $15 range, maybe only $5 to $10 range, no one knows yet, but I personally do not think the end result will be zero to the shareholders, not in this case. Also, I can say with near certainty that unless and until we know what bankruptcy plan will be approved and what the shareholder will ultimately get out of it, on the 25% chance that the stock could be worth $20 to $25 in the end it will most definitely not go to zero. Think about it, if you could buy a raffle ticket that had a 25% chance of winning somewhere between $20 and $25, wouldn't that be worth something? Wouldn't you think a rational person would pay about $5 to $6.25 for it? They would, because that is what it is worth. So stop it with all the doom and gloom, there is still some value here. The fire will be put out, it will blow over, it's bad, but so far (cross finger, pray) no body has died yet.",0.9794
1277,He wants to introduce a rule which means the state can takeover PGE. Why introduce this is he can do it already? Because he cant. Hit the easy money button,0.8022
1278,Today's morning hearing at 1.00 p.m.eST is dropped but the afternoon session at 4.30 EST is still on.,0.8265
1279,"So it sounds like confirmations is going to happen, just depends on when. The judge doesn’t even want to use up too much time on people for the plan. Instead he’s mainly listening to people against the plan n see what they want happen for the plan to work. And I think all parties supporting the plan (including those who wants some language changes). Think people are starting to feel the urgency of getting this plan approve so they can get into the wild fire fund ASAP. I’m a bit concern n confused about hedge funds selling off pcg after bk is confirmed. They make it sounds like it’ll be immediate which doesn’t make any sense to me. Why hold the stock this long even when it was up pass $17 only to sell ASAP when it’s around $12 now. They could have easily exited at $17, would have made more sense if it goes up pass $20 before they sell",0.9716
1280,"WOW: The Future of a Bankrupt PG&E May Be a BreakupDavid R BakerSan Francisco to explore buying chunk of troubled utilityMunicipal takeovers could create service disparitiesPG&E Bankruptcy Filing Isn't a Surprise, Stanford's Wara SaysPG&E Corp.’s looming bankruptcy could lead to an unprecedented spectacle -- a major American power company being taken over by the state or broken up for city governments to run.More often, it works the other way. Local governments have a long history of selling off municipal utilities, switching them from the public sector to the private. Witness the ongoing efforts to privatize Puerto Rico’s troubled power authority.But with PG&E planning to file for bankruptcy this month -- the result of mounting wildfire liabilities that could reach $30 billion -- a government takeover has become a real possibility. In fact, the future of the power giant that has long reigned over a broad swath of California could very well involve a complete dismantling of its system and a takeover by multiple municipalities.PG&E’s own hometown of San Francisco has signaled interest in buying some of the company’s assets. The city’s utilities commission said Tuesday that Mayor London Breed asked it to study the possibility.The commission, which pipes water from the Sierra Nevada mountains to the city and runs its own hydroelectric dams, has had a testy relationship with PG&E. Seizing the company’s local assets has, for years, been a lodestar goal of the city’s political left.“I think, as a city, this is an unparalleled opportunity to move to energy independence, to independence from Pacific Gas and Electric,” Aaron Peskin, a member of the San Francisco board of supervisors, said at a hearing related to the matter Tuesday.More to follow",0.9921
1281,Will load up when it's 5,0.3963
1282,"anyone understand how ""accumulated depreciation"" of 23b can be an asset ? if shareholder equity 19.5b (2017 fin stmt) is that mostly depreciation ? serious question so KNOWLEDGEABLE answer pls",0.1632
1283,Let’s see $15 by Friday go PCG,0.0783
1284,If watching this stock all day doesn't shake your confidence in stocks nothing will. The trust is gone from 8.00 years ago for me. I play b/c I'm bored but if someone was trying to make a living trading they'd for sure lose every time. It's just set up that way.,0.8198
1285,"Isn't it great when they compare to prior year, also a year when the maintenance wasn't performed. There is no base line to judge profitability because they haven't had a year where proper maintenance was completed.",0.1189
1286,4 billions vs at least 30 billion in liabilities. Makes sense. lol,0.0383
1287,"The details just came out in court: FEMA has agreed to subordinate all its claims to fire victims, and CA state agencies have withdrawn all of their claims",-0.2271
1288,Sen Jerry Hill is going after the PG&E retirements now.,-0.3308
1289,"READ ANOTHER ENCOURAGEMENT FOR LONG BAGHOLDERS- YIKESS&P cuts rating on PG&E unit in third such cut this monthJanuary 16, 2019, 4:49 PM PSTReutersFILE PHOTO: PG&E crew work on power lines to repair damage caused by the Camp Fire in Paradise, California, U.S. November 21, 2018. REUTERS/Elijah NouvelageFILE PHOTO: PG&E crew work on power lines to repair damage caused by the Camp Fire in Paradise,FILE PHOTO: PG&E crew work on power lines to repair damage caused by the Camp Fire in Paradise, California, U.S. November 21, 2018. REUTERS/Elijah Nouvelage(Reuters) - S&P cut its rating on PG&E Corp's (PCG.N) Pacific Gas & Electric Co unit on Wednesday, making it the third such cut this month, after the unit missed interest payments on its 2040 senior notes.The credit rating agency downgraded the unit's rating to 'D' from 'CC' after Pacific Gas and Electric failed to make the $21.6 million interest payment due on Tuesday, as the company planned to seek Chapter 11 bankruptcy protection.The latest cut comes two days after both Fitch and S&P downgraded PG&E and its Pacific Power & Gas Co unit in the face of massive claims stemming from deadly wildfires.PG&E, which provides electricity and natural gas to 16 million customers in northern and central California, faces widespread litigation, government investigations and liabilities that could potentially exceed $30 billion because of the fires.The most recent fire last November killed at least 86 people in the deadliest and most destructive blaze in California history.San Francisco-based PG&E is working on lining up roughly $5.5 billion in so-called debtor-in-possession financing to help operations during bankruptcy proceedings.(Reporting by Aakash Jagadeesh Babu in Bengaluru; Editing by Tom Brown and Peter Cooney)",0.903
1290,up over 5% after hours. Shorts going to get fried tomorrow $30+ coming,0.1674
1291,When computer trading starts selling off this will come down faster then a ton of bricks.,-0.302
1292,Back to $40 tomorrow.,0.0553
1293,"GD. Here we go again. This stock is almost exciting as watching my grass grow. Please someone put me out of my misery. I'm at -30% loss on my position and have held on hoping for a small pot of gold at the end of the rainbow for about a year. PCG has done everything right, taken the right steps but this stock really sucks. Is this stock going to stay in infinite ""teeter-totter"" until after I die? Geeeez!!",-0.5856
1294,almost everything is red but this POS company is green,0.0868
1295,People moving back to Cali. Flipping light switches and charging EVs. This will be good to go to 20s in a few more months. Nevermind the lawsuit noise.. pcg also has a well centered SJW ceo that will change the public perception of the company,0.8004
1296,"Anybody who has the timeline of events the remainder of the week and next week, please post",0.3808
1297,"Short.Pcg, See, it ain't that hard to tell some truth! It must had hurt with the ""but...ya!""Jeff h, current common shareholders could face a massive dilution of their shares that could put significant downward pressure on the current stock price. There is a ""could"", it didn't say ""will"". We will see on July 23. Those who do have money on PCG should mark your calendar for July 23 when this motion is heard. The stock COULD go way up if court reject this.",0.7076
1298,"Currently, all money is going in to big tech. The value of this company is higher than what it is now, and in the long run, much higher. Eventually, the big tech bubble will burst. None of those companies are worth where they are priced right now. Money will flow back to beaten down sectors and this stock will be fine. Over the short term, close your eyes. Who knows where we will land.",0.5029
1299,Just to set the record straight I’m in long with cost average below $8. If I see the opportunity to make 2-3% daily on flipping this stock I buy and sell. Usually this works out well except the other day when we saw $13+ I sold way to soon but am not greedy. You can’t always be in the green with any stock. You can’t be scared and sell off. If you’re worried about your investment don’t invest in the stock market. I’ve been playing for many years with past profits.,0.952
1300,Today is going to be good! Good job longs!,0.7744
1301,"Mr Buffett.. tell me again how you know when the market has reached a top? Well son.. when a co files for bankruptcy and its share price rises, thatz a good sign",0.8664
