,Recent headlines and conversations for BIIB,Polarity
297,Leak causing price to drop in after-hours?,-0.5195
298,Joe Biden to be the speaker for BiGen.,0.5473
299,Take a look at the news TROV just released.Heading to $200 from .35,0.5562
300,So why the rise? oversold? wish news was coming,0.591
301,"AMRN could double to $40 pretty quickly $AMZN will deliver Vascepa’s to your door, $NVS $PFE $ABBV $BIIB very cheap",0.6617
302,Buffet betting BIIB's Aducanumab will get approved.,0.4548
303,$223 should be the low....3 day rule before you buy.....but lots of lawsuits coming.,0.3757
304,Great when they hit but unfortunately most don't. Under $200 may be a good entry,0.6359
305,U cant buy BIIB! so they are buying SAVA,0.2895
306,https://s3.amazonaws.com/public-inspection.federalregister.gov/2020-21448.pdf,0.0
307,Biogen will find more new drugs just a matter of time. History has shown that they’re very well run company. I hope that their AD drug will work so it can help and save many lives.,0.9384
308,Why is the stock dropping like a rock?,0.7778
309,"when is this going to go back up?? I've owned it so long, I rarely check it's price. because I am not worried about this stock going away. I was a little disappointed I didn't take advantage when it was over 300. coulda pulled some nice profits , but I guess when you are long, you ride out the dips.",0.9467
310,"SAVA; Cassava Sciences only competitor is Biogen $BIIB who have failed badly with their AD treatment RE-attempted failed attempt and attempt AGAIN that they even agreed was futile a year ago.. This article shows their desperation, it is just corporate propaganda via yahoo FOR Biogen... https://finance.yahoo.com/news/biogen-11-billion-boom-erases-194803513.html Biogen, a $47B market cap corp is trying to influence all investors; retail and institutional as well. Don’t believe their lies. Their AD treatment just doesn’t even work! Some Big $ Is trying to deceive investors into buying their DOA AD disorder attempt to the FDA. They are trying to turn their lemon into lemonade...",-0.8301
311,Time to buy BIIB calls?,0.1484
312,"...Biogen (NASDAQ:BIIB) is reportedly about to announce that chief commercial officer Michel Vounatsos will be its next CEO according to Reuters. Mr. Vounatsos is a newcomer to the company, joining the firm in March after a 20-year career at Merck",0.5497
313,I'm hoping this gets back to $350 again soon,0.4972
314,holding real steady -- can't get any better than that. A jewel in waiting.,0.7174
315,auph ready to break out,0.2649
316,Management better pull a rabbit out of the hat or they should clean house immediately,0.8064
317,"The real question is was it personal, like rift with ceo and or a personally selfish move better incentives at alxn?Grass greener at alxn, OR did he not like what he was seeing at BIIB? . who gets his job, inside or outside the company? slammed themselves.",0.8147
318,No briefing document? FDA analyst usually releases this 2 days before Adcom.,0.445
319,no dividend for this fake company???? going to bankruptcy!!!! losers!!!,-0.8804
320,"added to my position at the close, this market is running scared, manipulated bs",-0.5031
321,why the jump so fast ? crazy .. from 250-350 in 3 months with no news,-0.2646
322,"A few more days of pain folks. Black Friday and black Monday? Dow is heading back to January 20th, 2017 19,827 the day Trump was Inaugurated President. That's the level to to start buying SPXL, LABU and stocks like BIIB, CRSP, NVDA, VMW etc...",0.4073
323,"Why are no Analysts defending Biogen free fall, just three months ago all raise Price Target and now all are muted",0.5891
324,"another failure for BIIB in dementia drug development---they have been helping Anavex (AVXL) develop their drug A-273-this drug is showing promise in a myriad of neurologic conditions (AZ, Parkinson's, Rett syndrome)--I have little doubt they will ""buy them out"" within the next year",0.5969
325,Every tick up in the morning gets sold off. What's with that?,-0.059
326,"Some reasons why I think BIIB is a great bet and worthy to throw some money at:#1. Cash-flow positive company.#2. Good short-term liquidities.#3. Can easily service its debt through operating income.#4. Currently undervalued stock according to a conservative DCF analysis.#5. Warren Buffet also bought some BIIB earlier this year.#6. Good growth potential in the untapped Alzheimer’s disease market. I think the bar for aducanumab approval is set relatively low, as no treatment exists right now and the disease burden is huge.",0.9857
327,BIIB should move in symphony with Shire today and tomorrow.,0.2442
328,No reason for this to be down other than shorts,-0.2204
329,nice!,0.4753
330,"Too bad but under the democrats' plan of medicare for all, BIIB can't charge what the market could Bear!",-0.628
331,trial discontinued in march due to failure but brought back to life Frankenstein style. don't waste big money on aduca readout. lotto puts and lotto calls only. that premium on itm will tank tomorrow,0.3412
332,Congrats all True Longs!! BestDave,0.772
333,https://finance.yahoo.com/news/national-institutes-health-nih-announces-113000104.html,0.0
334,FN CROOKS WERE SHORTING THIS ALL FN DAY SO FN OBVIOUSWHERE IS THE SEC,0.0658
335,Will BIIB purchase AXSM? AXSM just received approval from the FDA for one of their drugs and they have a great pipeline.They might have 2 or 3 new approved drugs by early next year.,0.9536
336,It was mixed as I feared. The panel voted that one trial could not be considered without the results of the earlier (failed) trial. Eight members voted they must be considered together. One member voted the successful trial can stand on its own and two were undecided. More #$%$,0.9629
337,Biocept and Prognos Enter Into Partnership to Apply Artificial Intelligence in Order to Help Pharmaceutical and Life Sciences Companies Optimize Commercialization of Biomarker-Targeted Therapies in Oncology https://finance.yahoo.com/news/biocept-prognos-enter-partnership-apply-130500332.html,0.9385
338,Join (http://sharelabs.xyz) right now...they just sent me a tip a few days ago that is already up 19% for me.,0.5473
339,"the #$%$ who wrote the article why biib is down for a month, go shove you dog up your butt",0.4256
340,NVS reports 10/22. Watch sales # of Zolgensma ++++,0.1625
341,Application will be delayed. GET OUT!,0.5336
342,"All the ""experts"" went to neutral/underperform last few months! This a potential blockbuster drug and our Target 2 years out is $1500-1600. We're all in here!",0.7971
343,BIIB reached a 52 Week low at 230.07,-0.1464
344,"Like BMRN but think AMRN buyouts coming first, Like $ACAD and $BIIB",0.6922
345,"this is definitely a biotech thing. i am down on regn, biib, and amgn (which is the only red stock in the dow) and dow is soaring!!!",0.5393
346,SELL IT ALL. ... TODAY,0.4582
347,"I wasn't able to join the FDA webcast ""Meeting room full""...was anyone here able to join? how is it going so far?",0.5054
348,I can smell $280!! sell your shares!!,0.5121
349,biib >> LNTH,-0.1834
350,Earnings likely continued disappointment 222-245 near term,-0.4126
351,"AMRN could explode anytime now $JNJ $AMGN $PFE $NVS $GILD $BIIB , a partnership with $AZN for Europe maybe",0.807
352,IBD reports BIIB and SAGE are working on some psycho drugs. Check it out.,0.5436
353,Now we will move higher... Don't worry kids and don't sell it. Boolean,0.3139
354,"This is an amazing fact that BIIB shares outstanding in Jan 2019 was 200m and then in the recent Q2 2020 report was under 160m shares. That's over a 20% reduction in the share outstanding.In Jan 2019, the price was $337 and revenue much smaller, now income/rev is much higher and over 20% fewer shares.",0.9519
355,Biogen's Future is Tied to Aducanumab...Read this thoroughly:https://seekingalpha.com/article/4355504-biogens-statistical-gymnastics-and-pr-maneuvering-will-likely-turn-aducanumab-straw-mega,0.0869
356,"The new CEO is really ""cleaning house"". Nice savings ($$$) to BIIB's payroll because of Fräulein Alpna Seth leaving to join previous CEO, Georgie. BIIB's partnership with Samsung Biologics is their successful path. No need for BIIB to keep paying Alpna Seth.Good riddance to Fräulein Alpna Seth, says I.......................she has milked Biogen long enough!!",0.9381
357,"Did Biogen duped the investors on Eisai data? The stock price drop and comments from analyst suggest, yes. My personal experience is that phase 2 is key to establishing efficacy of drug. BIogen has failed to establish that. 30% success is a failure data. Given the fact that Biogen has targeted vast portion of its money on Alzheimer and no big news is expected until 2020, this is a commodity stock based on revenue and eps from shipping drugs for 1-2 years.",0.5335
358,terrible that we still don't have any treatments for a horrible disease. too bad.,-0.7899
359,They had some interesting insights about BIIB on http://tradenow.xyz. Definitely made me think twice about the company.,0.7648
360,"Please welcome to dumb and dumber funds. Sell good PE stocks to cover technology stocks because they think US/China will have a deal in technology. Technology stock price all time high, all tradewar means lower for other stocks but while funds waiting for a deal between US/China on technology. Laugh out loud",0.9403
361,"I get that they will lose revenue due to tecfidera but wow, this is by far one of the most undervalued and underrated stocks in the market imo!",0.8151
362,if u have not heard of green valley pharmaceuticals they just got approval for their elz drug that will go on sale in china before the end of dec.this yr.this small co.beats out biib and others biib stock will keep falling because no one is sure if their drug works or gets to market.$275 next stop.,0.8796
363,Biib the loser. Only game in town on Monday is Sava. That's the winner..,-0.4901
364,Lol so many bull pumped from the low today to short at some ridiculous level. This goes to 280 in a matter of days :(,-0.594
365,"up 6% after hours, is this for real?",0.1401
366,Don’t worry. It will go up,-0.3569
367,"By Friday, hoping too see $400!",0.5514
368,Nice AH... tomorrow will be a good day for us.!,0.709
369,Today AXSM also reported another positive news on one of their clinical trials.,0.8614
370,"So behind the market, the market is up so much, this puppy needs to jump not lie down.",-0.0967
371,Snake oil! FDA will reject. You don’t want to give false hope,0.3417
372,They just faded $15 in the past 5 minutes.,0.1514
373,Is this a good time to buy or wait for more blood?,0.5294
374,Stick with Cramer,0.0565
375,My post from last night forecasting $230 looks spot on.,-0.1586
376,"go sidewey fer awhile? consolidate, and then anuther surge? jus wondering",0.7233
377,"jumping tomorrow, all aboard",0.0074
378,Just found $SNSS on a patent with $BIIB (Biogen) dated June 19 2020 updated July 24... speculation I know but do we have an acquisition here?,0.7153
379,I'm surprised that BIIB is up by only 1%. I guess the market was already expecting this?,0.5996
380,So glad I dumped this in the 340s last year.,0.0021
381,looking good,0.4404
382,Biogen is up 12.06% to 311.14,0.1818
383,FDA rigged. See AMRN and judge Du decision. Crooked,0.5073
384,All I am doing here is saying I can't believe what has happened. OMG cannot imagine how low this will go.,-0.2517
385,This drop is way overdone. Last year the stock was already beaten down from it then high of $394 when the results were disappointing. Now another big drop now because they discontinued a disappointing study??,-0.8809
386,Does BIIB has treatment ?,0.253
387,"Some analysts struck a note of caution, though. Geoffrey Porges of Leerink Partners noted that Eisai researchers created their own novel ""endpoint,"" or primary outcome, to determine whether the BAN2401 study was successful, rather than using a more common metric for Alzheimer's trials.We do not feel that Biogen, Eisai or the whole amyloid field deserves much credit for this disclosure,"" Porges wrote. ""There is very little detail about other more validated cognitive measures in the joint press release and we find no reason to believe this either proves or disproves the amyloid hypothesis or has any impact on the likelihood that aducanumab will succeed in its ongoing Phase 3 trial",0.9733
388,"$PFE Viagra could help men to live LONGER: Blue pill prolongs life and prevents heart attacks in males with coronary artery disease, study finds $biib $celg $jnj $ibb",0.8502
389,I thought this has earnings...,-0.0072
390,shorts make good profits today :),0.8615
391,but does every reaction warrant an equal but opposite reaction?,-0.4031
392,What happened to Biogen?https://www.nbcboston.com/on-air/as-seen-on/ex-biogen-worker-under-investigation/2094379/,0.0291
393,Unhalt already,0.0852
394,Somewhat seeing a flight to dividend stocks today.,0.1497
395,Even with company buybacks this is tanking.... BIIB is dead and will be dead for a long time.,-0.749
396,"No volume, no price action. yawn",-0.3356
397,Off Topic: HPPI wrapping up phase 2b cancer therapy. Very safe and effective. Chump change next to BIIB but will explode this year on imminent regulatory approval,0.9415
398,"Of course, Biogen will file law suits because it the vote was rigged! Maybe tie it to the GOPs lawsuit.",0.4459
399,And remember if panel votes against all the money will pour into SAVA.AZ PRIZE is big .We have the minerals,0.7728
400,No volume even after excellent ER?,0.7256
401,What a crock! What SEC??? Unfrickenbelievable!,0.5028
402,"Similar to Inovio's covid vaccine candidate, approval for this potential treatment may also be more about FDA reputation and BP politics, than it is helping those of us who are desperate for help..:(",0.9482
403,"profit taking has kicked in; can we remain green today. ananomous hasnt forecast further upsurge nor correction? alwey like to hear opinion, even if me no agree sometimes???",0.752
404,"The Bernstein downgrade last week was pessimistic about the MS patent ruling which should be any day now. So, maybe this caused the drop this morning...people are nervous about the decision. On the same note, Bernstein was optimistic aducanumab would get apprioval - which would result in a $1000+ stock IMO.",0.8965
405,"Markets resilience encouraging and makes the case for holding value stocks such as AMD. Other stocks like $INTC or $MU were also up slightly but they are having very different conversations in their board rooms, unfortunately. Real estate at MU may make divestiture appealing. INTC hit my blind spot and suffered nominal losses in early May.$SNAP jumps up and remains an exciting 2019 play. Innovation strong and potential suitors are in the ether. $TSLA admittedly is a high speculative play and occasional buy on the dips is advised. Speculative. Friends in $TVIX took another beating yesterday and remains a casino. @Soso and @Raybans have been hit hard and it pains me to see. @Tracey honey also.$BIIB pipeline encouraging and a favorite pick of my followers. 1st quarter 2020 will be the time to revisit and hopefully enjoy this value company's performance.Don't let the trade noise distract you from smart investments. Don't panic. Don't sell. Good luck to all.For me, I am very pleased with where we are at and were me and my little d will be at lunch today. A Jimmy John's Italian and tall soda in the early afternoon.Ring a Ding Ding!!",0.9931
406,hahahahaha. this could hit 10 dollars next week. LOL,0.5668
407,"BAN2401 vs. AducanumabHow about using some common sense here folks. Now that Eisai's BAN2401 could very well make an Alzheimer’s drug gene (aka ApoE ε4) dependent, where does that leave Biogen's Aducanumab ?? I think Biogen is trying to show Eisai's recent success supports their own theory about Aducanumab (non-gene specific), while Eisai is supporting the conclusion of this recent (10/17) Scientific American article more.Now don't get me wrong, I have been a long and strong Biogen shareholder since before they merged with IDEC, so I wish Biogen all the success in the world!!However at this point I am a wee bit skeptical. JMHOSaltynachohttps://www.scientificamerican.com/article/could-the-ldquo-alzheimer-rsquo-s-gene-rdquo-finally-become-a-drug-target/",0.9884
408,"Standby folks, I just found out that 23 employees at Biogen have been tested positive for the Coronavirus . This will have a big bad downturn on the stock.",0.2872
409,No fade yet after all. Helps that the nasdaq is up 1.24%,0.0735
410,We’re almost back to where we were before the ER. Nice recovery BIIB!,0.8057
411,I say we open at 280.,-0.0334
412,Tecfidera is the drug at question. Sounds to me like liver function simply needs to be closely monitored by those patients who are susceptible to liver damage. Shorts must've circulated this story!,0.8515
413,Resuming at 7:10 am,-0.0068
414,biib to cure cancer. boom 500 monday.,-0.0084
415,roche receives an upgrade. their drimug caused a death. go figure,-0.3479
416,Ms patent ruled against BIIB,0.3443
417,BIIB is extremely undervalued,0.0
418,Little down on very low volume. I think the volume will be under 1 million today.,-0.1494
419,BIIB has reduced its share count by 20% over the past two years and is about to reduce shares by another 10% with the 5 billion dollar buy back(announced today) on a 42 billion dollar market cap.,0.1067
420,why is the stock getting hammered,0.214
421,"Thestreet article says the sell off was an overreaction and nothing points to internal issues. Obviously we aren't going up +8 tommorow, but feels like a one day event to me.",0.7653
422,"Alzheimer's disease is just a symptom of aging. Similar to all age related diseases, NAD+ depletion is the root cause of all age related diseases.",0.0085
423,Classic pump and dumpFDA in the middle,-0.1654
424,Hahahaha  Degenerate Gamblers got hammered.. live and learn.,0.4907
425,"Looks like BIIB is going the wrong way today, or is it the right way? Which way is it gonna go???",-0.3896
426,Surprised those recent results didn't kick the stock down 10%+.,0.0281
427,outperforming again today. I have a good feeling about Biogen.,0.7254
428,"I was long this stock from 2013 to 2015 when it spiked up in a frenzy on alzheimers data being presented at a European conference, it was nonsense I knew but even CNBC was actually cheerleading it that day it closed 475.98, up 10% on the day. I thought it would hold some of that so I didn't sell then and it proceeded to lose that gain in two days. Bad sign. I held to earnings and they were a disappointment and I was lucky to sell my position around 425. Those were their best days as far as I'm concerned. After biotech flamed out in 2015 I wouldn't recommend the sector to anybody except for short term traders or if those lucky to catch a momentum ride like NEKTAR. To much hoping involved and very much headline driven. Remember, Hillary Clinton/Martin Shkreli torpedoed all of biopharma in September 2015 and non of those high flyers like Regeneron, Gilead, Biogen, etc. have since recovered. Biogen buying a company is the same thing they were saying about Gilead back then. Hopium",0.9821
429,"Anavex Life Sciences is hovering around $3/share. Forget about the beta amyloid boat, jump ship, and ride on the mitochondrial homeostasis and sigma receptor train! Cheap ticket for a ride with results.",0.866
430,The hedgies are having fun with this one!,0.6778
431,What on retardnation happened to BIIB? BIIB post earnings beat by $2+ dollars and stock drop like sht. Starbucks post loss for earnings but stock rises $4????? What on retardnation????,0.676
432,"startinng to come back; is it possible complete reverse? if so, 400 heres we come. rollercoaster is exciting, to say the least already.",0.5568
433,"As I replied to sandi (which message she deleted), although price may drop further, no question this year’s trend will be higher. Company has strong financials; and regarding imminent pipeline drugs, extremely positive company comments can be heard on the Biogen website: Stifel CNS Day. Their Ban2401 AD treatment, now in phase 3 trials, may receive early approval. This company is poised for a 50% pop! ... regardless of aducanumab.",0.9791
434,Wow...this just became a $100 billion company.,0.1481
435,Meg Terrell.... A few things on Biogen:-Still more votes to go from panel today.-Stock currently halted.-FDA is set to decide on whether to approve the drug by March. It doesn’t have to follow guidance of this outside advisory panel.-Many expect FDA will approve the drug regardless of vote.,0.9233
436,"Hoping for $500 Monday, Alzheimer’s drugs are a big deal in medicine",0.6492
437,The question is can BIIB hold on to a gain as Sarepta has shown it's been able to do.,0.5763
438,"Biogen Alzheimer's Drug Headed For Unfavorable Vote, Says An Analyst's Mock Panel",0.3723
439,Will this fall below 200 today?,-0.4075
440,I could see this blowing through 400 easy,0.4436
441,what is the timing for Biogen to submit to the FDA for approval on aducanumab and what is a guess and to how long after that the FDA will respond ?,0.9289
442,"This stock must be tough to stomach with its volatility, imo. There must be a battle raging between shorties and longs, lol. Just saying. Glad i cant afford to buy it. Even its options are dangerous, lol.",-0.2506
443,BIIB SPIKE $20 in AH only on Yahoo. I don’t see that in CNBC and TDAMERICA. We find out tomorrow morning.,0.841
444,Hey $nvs $pfe $sny $rhhby $biib get your bids in now. $srpt is not going to pull back. How about we wrap this up by next Tuesday? Thanks in advance.,0.8223
445,"(SNPX) MCap $9 millon -Shares Out 5 M / ALZHEIMER PHASE 2b Gem =LIFETIME OPP RALLYYYYYYYYYYYY(SNPX) MCap $9 million trading at Cash --ALZHEIMER Phase 2b ONGOING with Data coming soon ($10+ BILLION Mkt) --Shares Out 5 Million / NEW listed stock =MEGA PICK OF THE CENTURY a potential 3000% Gem or even morehttps://www.synaptogen.com/wp-content/uploads/2018/12/Pipeline-Dec-2018-2.png""Previously completed Phase 2 study (NTRP101-202) showed Bryostatin-1 was well tolerated and showed early signals of cognitive benefit, including improvement of 5.0 points in SIB score compared to baseline in moderately severe cohort in the non-Namenda group. Second pilot trial (NTRP101-203) using the same treatment protocol showed a similar SIB improvement compared to baseline in moderately severe cohort.""",0.9862
446,"Does anyone have a time, when Biogen is going to bring the Alzheimer’s drug to the FDA??",0.7114
447,I don't think the liver warning is a big deal. Overdone bs as usual!,-0.4044
448,"just trying to make it look good. ""plaque"" has been found to be present in healthy brains as well. time and again that has been a dead end for those following that line. You can buy 10 shares of biogen on this hopeful news and pay 3440 plus, or you can buy 1000 of avxl starting their ph. 3 this month for 3440. risk is the same for both, reward is much greater elsewhere. Not pumping avxl, just saying that big pharmas aren't the only ones out there who have shown some type of effect at this stage.",0.9736
449,above 500 by summer,0.3157
450,Amazing news coming out at noon.,0.7429
451,price target cut.. joke,0.3019
452,SGMO is the next to get bought,-0.0173
453,"As previously announced, the BAN2401 Phase 2b clinical study results will be presented in an oral session at the 2018 Alzheimer's Association International Conference (AAIC) on July 25, 2018 at 3:30 p.m. CDT in Chicago, IL, as part of Session DT-01: ""Recent Developments in Therapeutics"" (2:00 p.m. to 4:00 p.m. CDT).",0.8264
454,This new CFO may be a breath of fresh air and it appears he is not afraid of doing a few good acquisitions.,0.8337
455,Anyone using a stop limit and at what number?,-0.2353
456,Talk about catching a falling knife...,0.0506
457,meeting must be a yawn.,-0.0141
458,"It it wasn't for the general ""risk off"" in equities today, BIIB would be on course for $235/share. I am still heartened that BIIB is down by less than a percent while the NASDAQ is down 1.42%. Still the day is young.",0.2645
459,"BIIB conducted two identical P3 studies for aducanumab: Engage and Emerge. Engage failed and Emerge passed. Both studies had low and high dose and the high dose was increased during the studies in both studies. BIIB's argument is that patients in the Emerge study saw higher doses for longer than in Engage. This difference caused Engage to fail. If so, why did the low dose cohort in Engage do better than the high dose cohort? This anomaly was not seen in Emerge. In sum, there are many questions in these studies that are larger than the simple ""higher for longer"" explanation given by BIIB.",0.8543
460,"WFC upgraded to OVERWEIGHT, $390!",-0.5489
461,Analyst urge caution on this news. I agree AVXL is having better results and in more testing models. Caregivers and patients have requested to stay on medicine TWICE now over 2 years. Stabilty and improvement !,0.8137
462,"TIME TO SHORT........ REMEMBER, HOGS GET SLAUGHTERED PEOPLE.",0.0885
463,Buying the dip,0.4503
464,"Don't know why they increases the number of patients, It is possible that the initial results of ongoing phase 3 show the trend but not strong enough. Give the recent moves of the company taking on the drug, I don't think the trial failed but enough concern has raised",-0.0794
465,Advice when you don't want it...….I suffered through this with BMY and Apple...…...just hold and stop watching. It will come back.,0.2659
466,"FINALLY FOUND THE NEWS: BIIB discussed the Alzheimer's trial at Leerink conference. They are adding 510 patients due to ""increased variability"". This led to bashing by Adam Fuerstein.",0.9336
467,Maybe it's a BUY BUY BUY,0.7433
468,"AMRN, Goldman’s price target estimate is now $170 sky rocketing, buyouts rumors getting hot again $GILD $NVS $PFE $AZN $BIIB $ABBV $GSK who’s the lucky BP",0.7944
469,Yay I own 50 shares at an average of $260/share .Where did you see that news I haven’t seen it on Seeking Alpha or Yahoo finance and I thought it was expected out tomorrow?,0.8719
470,I hope nobody here got squeezed out when the stock sold off so badly. I really do think an announcement is coming and those in the know have been manipulating the stock price. glta,0.5919
471,Trading down an entire $4,-0.1153
472,The fda biased report screwed all of you. And media hyped it.,-0.0413
473,You lucky $##_<&_%%%% good luck,0.8402
474,Sell off starts and falling,-0.0375
475,Should of bought,0.0518
476,"I can't believe they are giving us another prime opportunity to short again. Short here are $290, and add more shorts for every $5 they pump this.",0.1504
477,"I'm going to just stick to the small cap biotechs like $AVEO, from now on. Multiple buyout rumors, a drug that actually works, and oversold from the $3 level to the $0.60ish level. Way more upside potential, even if $BIIB manages to recover. I was hoping for a dead cat bounce on $BIIB, but it doesn't look like it's going to happen. At least not today. Maybe they need to cremate the cat first then put it in a rubber ball or something. WOW! What a day!",0.9609
478,Oversold,0.047
479,How come this company has a PE ratio of 16 ? while Celg has a PE of 40+.,0.5615
480,This is a huge 1 day move for this stock. In the past spikes the usual gain is 10% and this looks like it might hold 17+%. The real test comes Monday.,0.8688
481,Check out SAVA ..... you won’t regret ir,0.3547
482,Pre market will reach 400 soon!!,0.2759
483,"Dow 21,000. How long til 22,000 is the operational question. Looking like biogen 300 soonish. Thangs are looking rosey. Sorry mister shorty. ",0.2628
484,"So happy I didn't sell and held on. Hopefully, this is the beginning of a rally that will take this stock to a new 52 week high. $350/share before year end.",0.828
485,"now the earnings leaked. its,selling off hard",-0.3077
486,"A 30% slowing of cognitive decline using the well established ADAS-COG scale is much better efficacy than any analyst expected.A question was raised about the ApoE4 genotype distribution between the placebo and high dose BAN2401 groups, and maybe that's what's got a few analysts scratching their heads.",-0.1445
487,"I have set my first buy order at $216. I will buy in 5-10 installments, 50 shares at a time...",0.7113
488,"This is important and great news... will begin to track north..New data demonstrated that early and sustained treatment with Spinraza for up to 4.8 years enabled unprecedented survival in infants genetically diagnosed with SMA. Patients continued to maintain and make progressive gains in motor function compared to the natural course of the disease, with 96% now able to walk with assistance. The NURTURE study was recently extended to evaluate the longer-term efficacy and safety of Spinraza in patients up to 8 years of age.",0.973
489,"NO OF COURSE BIOGEN CAN'T HOLD A GAPPER OF OVER 50 DOLLARS A SHARE, BET ACCORDINGLY.DTIL VIVO PRVB HRTX ALLK PSNL FPRX SGMO GOSS ELOX INFI TORC TYME",-0.3524
490,I'm back in @ 150 range...,0.018
491,"About a week ago, I had a post ""Make a note today, $400 or so a share in November"".",0.4975
492,Still I think this premarket 259 is a steal. Not terribly impressed with their revenues down 25% year over year but looking at the half full glass scenario the Spinraza sales weren't bad and perhaps they will pull a rabbit out of the bag yet.,0.6483
493,SAVA + BIIB = Happiness for everyone. Make the deal BIIB!,0.6912
494,This drug firm never makes people any money!Sell any rally!,0.749
495,BIIB & TGTX...... Adding.,0.0
496,like if you are a moron and didn't follow the 3 day rulle,-0.0773
497,"look at the chart linear accumulation, I bet from the buyback be executed by formula. hope to see $260 Friday",0.8505
498,BIIB is up 16.28% to 347.45,0.1818
499,Sell sell sell its dead money,-0.5152
500,Today may be an excellent opportunity to load load up on $AMD and $SNAP if we get a 3% drop or more. Dr. Su and Evan have organizations running well for future growth and profitability. Cool on $INTC as recent confidence shaken. $MU may never recover if they lose anticipated 5-8% this week. $TSLA is just a speculative hold for me.$TVIX may find a bounce this week but I remain hands off. Pleased with $BIIB position and may load up more if dips to 238. This is going to be a great week from me and my little d. Costco for slice and soda for 3.58!Ring a Ding Ding!!,0.9846
501,not greed... im out!,0.4137
502,Hey POWELL should come in now and backstop our loss as well.....he did it everywhere else right,0.0469
503,"Time to buy MDVN, pharma take out coming",0.6106
504,I don't know where the stock will trade tomorrow or the day after. What I do know is the buyback will prevent any further price depreciation. Nicely done by mngt. 240-250 not unreasonable in the next 30 days.,0.5942
505,Why the whupping today? Opened down $4. Don't see any news.,-0.2363
506,Not buying!! I think 250-240 is a better more fitting price. Buying here is very risky.,0.7446
507,dt stock is great buy 100,0.7831
508,"CEO bought 3,100 shares at $241.31 worth ~ $750K.",0.6022
509,Extremely interesting research published on Monday: https://www.nature.com/articles/s41591-019-0611-3. Commentary on NYTimes about the research and implications: https://www.yahoo.com/news/why-didnt-she-alzheimers-answer-200846677.htmlThe implications of this research is that disruption of APOE interactions with heparin proteoglycans can delay the onset of Alzheimer's. The GreenValley drug is basically a competing proteoglycan sulfate that might be able to disrupt the interaction between APOE4 and HSPG. The could be some basis for the GreenValley drug.The study also firmly establishes that amyloid deposit has nothing to do with AD. It is highly unlikely that Biogen drug will work.,0.8628
510,Alzeimer's news soon?,0.108
511,MASSIVE sell-off Mondy will set this back to 210s.,-0.2533
512,tyler...It very well may be that you're irretrievably stupid,-0.268
513,"Sold at 344 yesterday, if it pulls back to mid 200s or there are positive results I'll maybe take a position.Goodluck all.",0.699
514,boy would i love to see one of those random spikes a few days after earnings,0.8736
515,BIIB is up 6.58% to 301.94,0.1818
516,explain to me how the stock is down after that earnings report? I just don't get it.,0.2101
517,Apparently investors and scientist at their presentation on Aducanumab liked what Biogen had to say. I read through the presentation and I'm not going to pretend like I know what this all means. https://seekingalpha.com/article/4374170-biogen-biib-presents-medical-and-scientific-conference-presentations-slideshow,0.7982
518,$BIIB is up 12% premarket!! something big is about to happen!!!,0.5898
519,Is it a good buy at $220 ?,0.5311
520,".....03:12 PM EDT, 06/21/2017 (MT Newswires) -- Shares of Biogen (BIIB) climbed more than 4% and peers also advanced intraday after a draft of an executive order on drug prices showed President Trump appears to give the pharmaceutical industry much of what it has asked for -- and no guarantee that costs to consumers will drop, according to a report from New York Times.",0.876
521,Must take a look at the 4 best vaccines stocks are MRNA and BNTX PFE AZN guys!,0.8576
522,"""Biogen Cut to Neutral From Outperform by Baird"" This will keep us red all day. If we get back to -1% that will be a moral victory.",0.4534
523,"This is the most overbought stock in the entire market. The RSI is over 82. The hope is they submit new info to the FDA in early 2020. IF this were to be approved, it would be at the end of the 2020 or 2021. That's a huge if, given the history of this drug.",0.9668
524,Short better cover,-0.1315
525,Sitting right below the 200 dma. Coiled spring,0.5446
526,"BAN2401 trial and accumulated Aducanumab data advanced the thesis that amyloid hypothesis is valid. This hypothesis is succinctly defined as shown below by a Nature report. This hypothesis contends that increases in the amyloid-β 42 (Aβ42) protein trigger a cascade of events in the brain that lead to Alzheimer's disease. Under this hypothesis, individual Aβ42 monomers aggregate into damaging oligomers and fibrils in or near Aβ42 plaques. Aβ aggregates cause certain inflammatory responses. Through unknown mechanisms, these events lead to the aggregation, phosphorylation and propagation of tau, a protein that is associated with microtubules (pink and purple) and is the main constituent of harmful tangles. Affected neurons and synapses become dysfunctional and can die, leading to additional inflammatory responses. The progressive dysfunction, degeneration and loss of affected neurons and synapses is associated with cognitive decline, other symptoms of Alzheimer's disease and increasing disability. Sevigny et al.2 report that the Aβ-binding antibody aducanumab binds to, promotes removal and blocks accumulation of fibrils and oligomers. [NATURE, v. 537, p36, 2016]",0.2581
527,"Futures are up, cover Pre Market while you can",0.5121
528,240 is within reach,0.0429
529,nobody wants this junk now. earnings leaked.,-0.5019
530,REGN has made a nice move off its earlier lows. Was an excellent entry this morning,0.764
531,Brainstorm cell therapeutics. The next big promise regarding Als. Ms and Alzheimer. Check out bcli.,0.64
532,Good ol Shep has lost over 2 5 million dollars in 2 days.. do you give up yet?,0.3649
533,"shoot these journalists and,shorts.",-0.332
534,Is somebody kicking the tires again??!?,-0.2494
535,earnings leaked . we're down more than others. there goes 290,-0.3205
536,this thing is going to crash,-0.364
