,Recent headlines and conversations for MMM,Polarity
627,Should've dumped this toxic waste in 1/2019 when it was $259.00 a share. 3M got greedy too much in the mix. Live and learn!!!!!!!!,-0.922
628,I told you its going down today so it did.,-0.056
629,Possibly going to test the 120 levels again,-0.1602
630,MMM stuck in nowhere land. Only reason to hold is dividend. Could get tariff zapped by China.,0.0782
631,Let's wait until next year!See you!,0.2981
632,MMM reached a 52 Week low at 152.42,-0.1464
633,"Bought a few more shares this am, limit right near open @ 157.5. One things for sure, you will always hear the worst rumors, news , doom&gloom about any company when it's near a 52 week low. 60+ years of increasing divs, -AA financial rated, at >double the T-bill yield- I can wait and reinvest divs, no problem. Even if there's lower FY19 earnings, P/E is the lowest in at least 5 years",-0.7067
634,"Terrible earnings one after another, $IBM $AMD $CAT $MMM $TXN $AMZN $NFLX $SQ $ROKU $TWTR $SNAP $QCOM $AAPL $EBAY and many others. But the funny thing is that stock prices keep going up.",0.8202
635,"3M, go ahead and just sell your products abroad. I don't think there's a single American who'll feel good about buying your products anymore. You're now in the same perception category as Citgo.",0.7646
636,All MFG signs contracts with distribution channels and during an emergency TERMS & CONDITIONS must and can be modified. 3M has a friggin LEGAL TEAM that was too damn lazy to do their job. Combined with INCOMPETENT EXECUTIVES NOT PROVIDING OVERSIGHT FOR THEIR MULTI MILLION DOLLAR COMPENSATION PACKAGES.,-0.4911
637,https://www.investopedia.com/articles/markets/022015/how-3m-makes-its-money.asp?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral&yptr=yahoo,0.0
638,it should have never gone up. stupid shorts got scared and covered early. this company is garbage,-0.622
639,Dropped 22% ... so far,-0.1491
640,Earning the rest of the year will be great. Analyst are pulling it down right now. I'm buying on this dip for the long run.,0.9383
641,Chart shows $200 is great support!,0.8272
642,Just need this pos to stay around 150 til earnings,0.1525
643,3m is reporting earnings tomorrow. Unfortunately all the so called experts and analysts are giving 3m a hold and sell rating. Let's hope they're wrong so they can eat their words with a lot of ghost peppers.,0.1243
644,Do NOT support 3M anymore !!!!,0.7126
645,Dirty practices getting exposed. Good job Navarro!,-0.139
646,the reason for their uptick containment is because of their huge ' long tail ' Environmental Liability exposure. They have many billions of possible Liability claims and costs over their head,-0.1531
647,MMM = hyped,0.0
648,Any news on divy? I'm not seeing anything.,0.6354
649,Cramer bought some today for action alerts plus,0.5825
650,When will the bleeding stop?,-0.4398
651,did you see this second straight months of declining orders and last months adjusted lower so this months drop was more than reported.MMM pe ?hmmmmhttps://finance.yahoo.com/news/u-core-capital-goods-orders-131236787.html,-0.3515
652,Have you guys seen the videos of the people who have seizures immediately after getting the shot? Makes you wonder what is wrong with the politicians and employers who strongly encourage people to get the shot.,0.6524
653,"Asleep at the Wheel Trump is responsible for the recession and nearing 100,000 deaths as for 2 months he did nothing, refused WHO testing, US testing failed, then he messed up the testing supply chain. Now he says testing and vaccines are not needed, and the CV will just go away. What a deluded moron is True;!!!",-0.5208
654,3M got caught being a bad corporate citizen with profits before Americans,-0.2506
655,"Long term problem for medical division, a lot more competition now. For example, Honeywell making face masks now scaling up production in 6 weeks..Bone head 3M management should of seen need based on incoming orders and scaled up protecting market share.",0.7213
656,"If I was a part of their leadership team, I would be downright embarrassed.",0.3808
657,This will rock you.....https://www.usnews.com/news/articles/2017-06-16/housing-starts-drop-for-third-straight-month,0.4923
658,"Comparing this CC to the one I listened to for GE, it's night and day. Not only are the results a million times better, the team is incredibly credible, well prepared and well spoken.",0.9319
659,The CEO is un American.,0.1662
660,Going back to sub 150 .,-0.3121
661,Bust of a stock in 2018. New CEO has his hands full as the former left quite a mess to clean up in my opinion.,0.6919
662,People are selling this to buy less expensive commodities stocks like APT to 2x-3x their money,0.4467
663,"Decades ago, MMM offered a gift box at Xmas time at a nominal charge. Over time, the products became low end and the price went up. Seems they stopped it altogether a few years ago.",0.7007
664,Buy now or wait? Thoughts?,0.3423
665,lower and beat might help next quarter. Or they could miss again and shares could go below 100,0.4125
666,"People on this board have said MMM is not going to make any profit from the masks because they are going to give it away or charge very little to make money off it. I damn hope so. I would hope in times of crisis like this companies are more worried about saving lives and preventing spread of the virus. At the end of the day, if this continues, there won't be any customers to order any of the mmm products and everyone will be screwed.",0.8171
667,Life in the new America. Better think twice or three times before you vote for more government:https://www.instagram.com/tv/CATIaipAWKr/?igshid=1ctqxk3ako16t,0.7376
668,The stock is going to crash.,-0.2569
669,The view outside 3M headquarters.,0.0138
670,"3M is finished. The CEO, Executives, Board require jail time, the company will be effectively bankrupt once the civil fines are assessed.",-0.0196
671,Trump 2020 to all you frightened weaklings,-0.6307
672,Prepare for major head count reductions!,-0.1979
673,If you are getting sick and tired of donating your money to the markets daily you really need to check out this FREE service. They send out a pick a week or so and the picks have been awesome. Just go to the-stock*dork. .,0.8057
674,Just heard that the President is going to a 3M facility in the next day or two. That has to help this stock,0.6146
675,"invest for the long term, 3M yesterday, today, tomorrow average in and build wealth.",0.8191
676,"CV in America has gone from the Fat Guy saying it was a hoax to being the highest number of cases on the Planet. Like a miracle, it will just disappear. 15 cases today, zero tomorrow, etc. Then you wonder why the US lags SK, China, Singapore. The buck stops at the Oval Office.",0.9475
677,"At 170-173 area it is a buy. Definitely a buy. Even at 175 it was not really overdone. This thing goes to 200 sometime early next year. It has not participated at all, in the strong upside in other stocks. Why they would wack it back down from 175, I don't know.",0.8653
678,Question to long term holders of MMM. I recently bought MMM for dividends ...got tired of tech stocks volatility.What are you folks going to sell/hold MMM with the trade war traffis?,-0.6363
679,"It was this price 4 yrs ago, smh. -13.5% earnings yoy, less than 2% revenue growth over the last five years, really what is to get excited about here? I don't see it at all....",0.6123
680,"MM's having fun with MMM, isn't that ironic. they just took out all 190 stops. boy, do they control it...",0.7489
681,"Four hundred thousand more votes were cast for President in Minnesota in 2020 when compared to 2016. To put this in perspective, that number of people is approximately the same as the total population of the city of Minneapolis. Now, where did all these additional registered voters come from?",0.5761
682,"Hahah, awful sales. All the goofs that bought this because of the masks, you didn't think this one through. MMM will always under perform, a bum stock.",-0.6937
683,Where are the people who help us when the government wont...Rise up..,0.3771
684,"260 to 195 in three months.This is like buying a ticket on the TITANIC.IS MMM's management shorting their own shares?Is that legal??MMM is doing a fine job of imitating GE, another stock train wreak.Time to start firing a few overpaid BODs and MMM management.",0.78
685,Is it too late to get into $MMM ? https://simplywall.st/NYSE:MMM/3m,-0.2015
686,Surprise MMM not lover with Trade wars and currency issues. Currency to have negative effects. Hopefully 3M has some currency expertise....they need to buy options...,0.3393
687,HEPA,0.0
688,Well this stinks. I thought we beat so why are we red,0.0733
689,Home depot 150.66-3.60 (-2.33%)hmmmmmmmm,0.2655
690,185 and I think I will start to nibble.,0.1897
691,Looks like you have that guy from Tombstone that likes to stand there and bleed.,0.6733
692,Still think our economic troubles stem from the plandemic and not from the Federal Reserve and its debt based currency? The incipient economic destruction is the reason:Ian Bremmer: % of 18-to-29-year-olds in US living with a parent1920 42%1930 43%1940 48%1950 35%1960 29%1970 31%1980 32%1990 36%2000 38%2010 44%2020 52% (this is WAY too many)2022 ??,-0.8972
693,258 to 200 ... big haircut,-0.1524
694,Read the writing on the wall. 3M is the next GE. Ground water liabilities - say no more. And people are worried the government going after big tech.,-0.6578
695,"floor should be 183, id buy there",0.6672
696,"$PVH is a winner now since europe and us is opening everyday . $FANG, $PLAY has more upside and holding long $MMM $T for dividends.. GLA",0.943
697,averaged down on it ......,-0.2088
698,What does mmm make besides m&ms,0.0624
699,dimo Minn Governor gives all state employees 2% raise. gives new meaning to welfare state. oh and state has got 2 billion deficit ÷ having blown raining day fund.,0.1194
700,No wonder our kids get such a poor education. The teachers are stupid. Just look at all the school districts that have closed due to adverse vaccine events:https://search.yahoo.com/search?p=school+district+closes+due+to+vaccine&fr=yfp-hrmob&fr2=p%3Afp%2Cm%3Asb&.tsrc=yfp-hrmob&fp=1&toggle=1&cop=mss&ei=UTF-8I guess one goal of the covid hoax is to get rid of fools.,-0.7275
701,MMM has 80 manufacturing plants in the USA across more that half our States. Even if they have to ship some machines back and sterilize them they will be getting some new huge contracts and producing plenty more masks and other protective medical equipment here to help fill the demand.,0.9286
702,All the money being poured into the economy ain't good. I see a depression comming. America the nnew Venezuela.,-0.1264
703,What happened in 2005 when the Fed lowered the Federal Funds Rate to 1% for 6 months?Answer the greatest housing bubble ever. Now what happens when the Fed lowered rates to 0% in 2009 for six years? And then again in 2020?Answer: a greater housing bubble and the greatest bond and stock market bubbles ever. Enter covid 19 to take the blame. Yeah baby.,0.8182
704,"wow, they only made 8.1 billion instead of 8.5 . - doesn't warrant the decline! The markets are being manipulated!",0.704
705,"In the liberal state of California they already have a law in the books that has empowered judges to jail mothers who refuse to vaccinate their children. And the judges, unconstitutional as it would seem to be, at both the state and Federal level, have taken that power and sentenced mothers to jail in the Land of Fruits and Nuts. In 1986 the Feds prevented the plaintiffs bar from protecting the child; now the liberals are seeking to prevent the mother from protecting her own child. They’ve succeeded in California and at least 3 other states. Bills have been introduced in many other states, including Minnesota, by the democrats to stop the mother from protecting her own child from the dangers of vaccination. The manufactured covid 19 crisis is providing further impetus to get these bills introduced and passed by the liberals. Did you know that the flu vaccine is loaded with mercury, yet pediatricians and OBGYNs routinely recommend the shot to pregnant mothers? The pregnant mother would have to be crazy to not want a shot containing mercury for her child, particularly when recommended by these highly skilled professionals. Right?And can you believe that the Federal government has the audacity to pay out billions in damages to parents for vaccine injured kIds. These parents must simply be greedy because after all, vaccines must be safe. Right? After all they are approved by the Federal government, albeit with much less testing than drugs.",0.9669
706,25% drop tomorrow,-0.2711
707,I think the Real reason MMM is in cross hairs is our President needs a SCAPEGOAT as that buck never stops at Pennsylvania Avenue.,-0.4219
708,good thing I bought 2 weeks ago when it was at 150. 3m will turn this weakness around in the coming quarters/ years. I started a small position at 150 and I'm looking to add more in the future at about the same level or lower not worried at all about this blue chip incrediblely diversified company,0.4067
709,sure a lot of dummies here,0.2714
710,"In Massachusetts, the government has made the annual flu shot compulsory for k-12 students. The government has made it so even though the shot is loaded with the well known neurotoxin, mercury, and even though the shot has many terrible side effects, as outlined on the medicinal insert. In Minnesota the Democrats regularly introduce legislation that has a broader compulsory vaccine mandate. Yet >1/3 of the persons there vote Democrat. Lots of dummies up there that’s 4 sure.",0.8659
711,"Oh wow, it is the same price it was two years ago. Silly dividend stocks.",0.6962
712,Let’s go GREEN again!,0.3181
713,worlwide masks and PPE stocks have depleted and are in immediate need for use or to create the stockpile. why isn't this stock moving up?,-0.2068
714,Technical analysis bottom at around 135$.,-0.3442
715,3M reached a 52 Week high at 181.43,0.3561
716,mafias !,0.0
717,The Georgia Secretary of State is corrupt beyond repair. He used the same firm to conduct a voting audit as the one used to certify the machines pre election. Raffenspenger is corrupt beyond repair.,0.7385
718,Ge warns on industrial  demand tanking huge GE - General Currency in USD9.09-0.80 (-8.09%)<—— yikes As of 12:37PM EST. Market open.,0.111
719,"Our hospital of several thousand beds normally is stocked high with 3m protective equipment. It's almost all gone. Not many people have been using them yet, expect for flu. But they have all disappeared. Maybe employee theft, or for redeployment, I don't know. I wonder how many other large hospitals are in he same situation. 3m will need to massively increase production.",0.713
720,"Folks 3M is not GE, omg.",0.0366
721,the world needs all the mask that 3m can produce,-0.0158
722,Everybody are buying masks and Trump is promoting this company.I don’t understand why the stock price is going down instead of up.Any insights from experts?,0.7668
723,"Now, price is at 52 weeks low of $148. Is it a good entry point?",0.3285
724,"I bought at 10:30 @167.84 wish I had more powder, blue chip.",0.5275
725,Down 61 points in 61 trading days.Could MMM's management be SHORTING their own stock?,0.2409
726,"Endless dropping, buy more lose more. let it fall...",0.0197
727,"Oh look, it went down 2.5% only to go up 4.3% on basically no news today. Shows you what a joke this market is. Yay, keep going up and I will be getting out. This thing is a bum stock.",0.5596
728,6% dividend raise. What a great long term dividend plus growth investment.,0.9487
729,MMM is undervaluedThe fair value is $186,0.5719
730,whats the change,-0.0284
731,Randy Hundley. You should run for office. It’s clear you are qualified to run a government because you know a lot!,0.8214
732,This can go to $ 189 in 2 weeks,-0.0
733,"Big boys say, we suckered them to short and now its time to clean the shorts out",-0.1586
734,3M=profit before America,0.0034
735,Fastenall tanking for secnd day to new 52 week lows on huge warning for next quarterBad new for overpriced industrials...https://www.barrons.com/articles/fastenal-stock-sinks-as-earnings-signal-no-relief-for-struggling-industrials-51579268296$UTX $HD $CAT,-0.4723
736,"3M is currently being sued by 140,000 veterans right now for making defective ear plugs. Records just released by court order shows that after modifying the ear plugs they never even tested them before selling them to the military. Also, revealed by the court order show the sales of the defective ear plugs made up 5% of U.S. revenue and 20% of the operating income. 3M simply put their greed above the safety of our Armed Forces! Now myself and thousands of other have to suffer a lifetime so 3M could increase their revenue.https://www.stripes.com/news/veterans/judge-unseals-hundreds-of-pages-of-documents-in-veterans-lawsuit-against-3m-over-earplugs-1.627827",0.7458
737,Their executive team is not increasing shareholder value. Isn’t this a major part of their job?,0.6748
738,should SEC find out the malicious $190 seller?,0.215
739,Time to be greedy as many are fearful.,-0.6482
740,"SELL ALL US STOCKS AT THESE INSANE VALUATIONS, PEAKED PRICES!More FAKE recovery hopes and Money Printing TO PUMP The Stock Prices to new record prices! NOBODY CARES ABOUT ABSURD VALUATIONS, and COLLAPSING ECONOMY!The US Government is Printing Money and PUMPING the Stock prices Artificially, despite Collapsing Economy, Spreading Pandemic Coronavirus, Huge Corporate Loss, Skyrocketing Corporate and National Debt, Skyrocketing Unemployment, Parabolically rising inflation, Absurd stock Valuation, and the Cold War between the US and the Rest of the World.US Stocks must be DOWN by 90% from their current ABSURD levels.Look at the US Stock Valuation Multiples!!! Check out P/S, P/B, P/E, P/CF, D/E and other Ratios. US Stock Market is a COMPLETE SCAM! You see how easily they are PUMPING the Stock prices on FAKE Speculations, but they don't let the stock prices to go down on TERRIBLE DATA and FACTS!Even BANKRUPT Boeing, Cruise and Airline stocks are getting PUMPED like crazy!It is all about PUMPING the US Stock prices and quick and Free Capital Gains!American made Coronavirus was a tool to make quick and massive Capital gains in the US Stock Casino!I am up $50 Million today alone! Valuations are INSANE!NO NEED TO WORK! Only fools would work, while there is a FREE MONEY GIVEAWAY in the US Stock Market!Ignore COLLAPSING ECONOMY! It is all about Quick and FREE CAPITAL Gains through Artificial Stock PUMPING!Sell your home, furniture and food, buy random stocks in the US Stock Market and you will be a BILLIONAIRE in a few days!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP",0.9792
741,Buy American! Apt! Sell this Communist stock!,0.5435
742,Y'all are screwed lol,-0.1027
743,Don’t wear a mask. This guy explains how they’re pulling the wool over many persons’ eyes. It isn’t “just a mask”:https://m.youtube.com/watch?feature=youtu.be&v=u-RPhT-BIT8,-0.0427
744,Sherwin williams missed (SHW)hm,-0.296
745,"I was going to buy but find it odd this isn’t higher, why ?",0.0304
746,Great Performance report,0.7385
747,last time to buy)soon it will break 210$),-0.3457
748,Downgraded with lowered $176 price target.,-0.3156
749,"I hope they go out of business, they have been fleecing american for years with their over price products.",0.6076
750,Mmm is one #$%$ stock... the company has lousy mgt for years!,-0.5003
751,MMM: GE,0.0
752,"Just pathetic. I had suggested to Investor Relations that the stock be split when it was $260. Now , what does a long term investor have? Nothing. The dividend is too low in relation the treasuries. They need to raise the dividend to give a 4% yield. Management needs to take a pay cut. A moron could run the Company into the ground. Even a liberal might want to make some profits!!",0.8101
753,Back to $200 this summer. Patience,0.1742
754,"N95 mask and ventilators will bode well long term with low PE and nice Dividend. DONT sell, too late. Hold on for the ride. If new and u have cash to play with, ok to nibble on the way down. Dont go all in cuz we could see $100. Solid company though. Good luck to all and stay safe and healthy!",0.9818
755,"Mike Roman CEO, on CNBC, sees a strong Q3. The charts look like the bottom has hit. Up we go!",0.8694
756,HD 149.55 -4.71 still falling....most other retailers are selling off hardsee dks sporting goods coachexpressfoot lockerauto zoneo'reillyadvanced auto parts down 18%urban outfittersfinssh linedsw shoesetc etc,0.2527
757,"I did warn about 3M. Now you see? US will support All American $APT they don't have the capacity of 3M but they don't have the valuation or the ultra wide product range either. Everything $APT makes is sold like hot cakes, unlike $MMM they don't have to worry about the consumer market in general being down.",0.8635
758,"If CAT finished in the green after that lousy report, MMM MIGHT be okay regardless, lol.",0.4818
759,Can’t go wrong here. A pop possible due to mask orders and if not a relatively cheap value stock anyway,0.6182
760,3M having its worst day since the 1987 Stock market crash,-0.6894
761,Why a sudden drop? Oh well buy some more.,0.2703
762,"I see it’s real cold if there in Minnesota. Been that way since the beginning of the month. But don’t fret, you’ve got Amy Klobuchar to save you from global warming. He ha. She either is a liar selling you a bag of goods or is nuts for spouting off such nonsense. Of course, she also could be a combination of two. You see CO2 is only 0.03% by volume in the atmosphere, and temperature is a number representative of the sum of the kinetic energies of the molecules found in the system. When you have a chance, please write your US Senator and ask her how a molecule that represents a tiny fraction of the atmosphere can make a meaningful contribution to the sum of the total kinetic energy of the atmosphere. You might also want to ask her how CO2 can be “a green house gas” when it is the heaviest molecule in the atmosphere residing at the Earth’s surface. Oh ya poor liberals up der in da woods of the nord country. You just can’t figure out when ya bin bamboozeled.",0.9848
763,taker down,-0.133
764,You can bet 3M executives are busy shredding documents. The FBI needs to raid the offices now and secure the books,0.7512
765,"Start positions in MMM at $200 and will add more position if it drops to below $200, it is a great company and it's for long term hold.",0.8393
766,Time to catch the falling knife in 3M.,-0.4481
767,191.44 - in but 198 out,0.2437
768,"Hi, I am new to this board but have been a long time stockholder of 3M. I added to my position today. I’ve been waiting a long time to buy more stock and I believe today was the day. I may not have picked the absolute bottom but the dividend should act as a buoy. ￼",0.9724
769,Durable goods orders FELL unexpectedly..No Wonder GE warned ..,-0.3161
770,"MMM: GEDemocrat run MINN: Democrat run GEGE tanks down 30%.............MMM tanks down 30%.MINN's solution: fine MMM 800 million, and import 3 hundred thousand Salamis into MINN/ST. Paul.Insane...........Just insane.",0.0066
771,SANP will be the Largest Mining Pool the World has ever known... Buy now. 0003 cents... put in 10 Bucs and sit on it... wait 2 weeks buy a car with house money...,0.6415
772,NIO is a growth monster MMM is a dividend king,0.6535
773,https://www.marketbeat.com/stocks/NYSE/MMM/institutional-ownership/,0.0
774,"anybody know what affiliation 3M product has to GNBT in Miramar, Fla. ? It must have something to do with their peptides and their vaccine formulations cocktails? any chemists here to explain?",0.8266
775,MMM reached a 52 Week low at 121.45,-0.1464
776,"I wonder if 3M will strongly encourage its workforce to get “vaccinated” for covid:“Thousands of people have been unable to work or perform daily activities, or required care from a healthcare professional, after getting the new COVID-19 vaccine, according to new data from the Centers for Disease Control and Prevention (CDC).”Many corporations strongly encourage their employees to get the flu shot every year even though its effectiveness if any is limited, there are numerous side effects, and you can’t sue the manufacturer if you get injured. Mercury is added to a widely used version of the shot.",0.9622
777,duct tape can't pay the bills no more of the bloated salesfaces,-0.5471
778,SELL-OFF IS COMINGGGGG......,-0.1734
779,"Yep, it's still a BUM stock. MMM is totally pointless to own.",-0.4377
780,"Bought some calls on friday, with other beaten down stocks but it seems the market is not done with the selling. Its too bad.",-0.6781
781,Bounced off 200 weekly ma. Pull the trigger time and buy.,0.2119
782,Just looked at the 2 year chart. With head and shoulders negative pattern stock could hit 170 and change eventually. I'm going to wait to see how far down she goes. I'll buy more around 181 or 182 (if it get there). Love the company and the dividend. Stock will be down 26% from the top if it opens right here (Bear Market).,0.1459
783,MMM is giving 2. 6% as dividend I am getting 2. 45% as interest on my CD 1 year maturity is it good to put money in this stock or get a CD,0.7222
784,3M is soooooo shady. A company that knowingly polluted drinking water is capable of anything. How does anyone trust anything they say or do? Hope the DOJ gives them what they deserve.,0.7107
785,"Put a set of good headphones on executives ears. Play rock and roll for 2 hours. Loud!'A joint lawsuit filed by the government and by a competitor of 3M, the manufacturer of the earplugs, alleged 3M was aware prior to selling the earplugs to the military that testing procedures and fitting instructions were unlawfully manipulated. It also claimed they sold the plugs from 2003 to 2015 ""without disclosing the design defect.""'",-0.0998
786,"Gulf Tango Victor “.” O are geeThree letters. The letters g, t, and v. Then a period. Then the short for organization. Child six and sacrifices and drugs. Now you can see how the Chinese owned them.",-0.3456
787,3M selling face masks to foreign countries before selling to the United States. They putting the US at the back of the line. Not making the US a priority. Foreign countries showing up with cash and they are selling to them before the US. Screw 3M.,0.7418
788,"Starett is tanking ! (SCX)The L.S. Starrett Company manufactures and sells industrial, professional, and consumer measuring and cutting tools and related products in North America, Brazil, China, and the United Kingdom. Its products include precision tools, electronic gages, gage blocks, optical vision and laser measuring equipment, custom engineered granite solutions, tape measures, levels, chalk products, squares, band saw blades, hole saws, hacksaw blades, jig saw blades, and reciprocating saw blades, as well as M1 lubricant and precision ground flat stock products. The companys measuring tool products comprise micrometers, vernier calipers, height gages, depth gages, dial indicators, steel rules, and combination squares, as well as offers custom, non-contact, and in-process gaging products, such as optical, vision, and laser measurement systems; and force measurement and material test equipment. In addition, it provides hand tools for measuring, marking, and layout activities to building trades. The company primarily distributes its precision hand tools, and saw and construction products through distributors and resellers. It serves metalworking, aerospace, medical, and automotive industries; marine and farm equipment shops, and do-it-yourselfers, as well as tradesmen, such as builders, carpenters, plumbers, and electricians. The company was founded in 1880 and is headquartered in Athol, Massachusetts.",0.9901
789,"Sold @ 133.02 pre marketGiven recent low trading prices and this PR nightmare coming up, I will take the small loss and run!",0.5703
790,I think after earnings this stock will be at 130 Maybe a bit below that,0.1034
791,What just happened,0.1404
792,"I have been watching this stock for a buy in, not now, I stay away from companies that do not serve the American people in time of need. I have made it a “rule” not to buy Diversity Stocks at all costs, to volatile in a bad way..",-0.3426
793,more mask production !!!,0.375
794,"Ok, out of this lame stock. Going nowhere fast...can't believe hack dividend investors are still peddling this thing.",0.0421
795,What's next after the clocks? The pictures?,-0.1892
796,"Trump supporters, have you taken your daily injection of disinfectants yet???",0.5156
797,"Wow, what a beat down! Dropped over $30 a share in a week. Believe it outpaced the Dow drop? Understand some drop was to be expected but never thought we would see the decline so aggressive and fast.",-0.3882
798,"im an indian citizen and living in canada, how can i trade in us stock market?",0.559
799,"Great example of how much manipulation is possible, even with good news...",0.6749
800,Should the CEO resign???,-0.2315
801,"Anybody else noticing a trend with all these CEO's leaving Trumps panel? 3 days after the incident, they pull out? They don't believe in America. They don't want to create jobs and help the working class of America. Their actions have created more enemies of the 1%. It may take a few more years for people to realize it, but the CEO's of American corporations will be our nations #1 enemy...I'll just kick back and watch.",0.7362
802,"Apparently 3M management thought it was more important to serve their globalist masters, and export badly needed N95 masks, instead of making all of them available for the US. Well, if they serve the world agenda, then when 3M management gets ill, and there aren't enough US doctors and nurses, then 3M management should seek treatment from WHO doctors, and see how they do. Its a shame that will all the deaths and hospital staffing shortages, that the President had to grab 3M by the throat to knock some sense into them. Perhaps the President should look into confiscating any profits from masks being shipped overseas, and use it to help pay for the treatment of doctors and nurses, who may not have gotten sick if all the masks stayed here. No doubt 3M would benefit from the loss of retired workers to the virus, so they wouldn't have to pay their pensions anymore. .",0.7219
803,"The company is not currently under contract to produce the masks and is preparing to respond to the government's request, 3M spokeswoman Jennifer Ehrlich said.",-0.3852
804,When will 3m increase the dividend,0.376
805,"If 3M is sending critical medical over seas,the executives and board members should be prosecuted.",-0.085
806,"Pumping out masks at record production, Asia alone , 100's of millions alone ! $$$",0.1973
807,"Timmy Waltz has been living off the labor of the citizens of Minnesota his whole life. He’s never worked outside government. And with his multiple pensions and lifetime benefits, he’ll continue to support himself and his family members by taking assistance from productive Minnesota workers.And how does he repay these Minnesota workers responsible for his easy lifestyle? He puts them out of work through his grand proclamations, as though he were a king. The callous arrogance of Timmy Waltz is exceeded only by the emptiness of his head.",0.9068
808,does the trade war with china effects this stock?,-0.1914
809,Holy!! The pre-Market!,-0.2351
810,3M products are exorbitantly expensive.,-0.04
811,"Decade? How mucj longer? 'Hundreds of military veterans are expected to file lawsuits against the manufacturing company 3M, claiming it knowingly sold defective earplugs. These complaints come after the Justice Department settled a lawsuit with the company in July over allegations the company defrauded the government by selling earplugs with ""dangerous design defects"" to the military for ""more than a decade.""'",-0.9322
812,They make really good respirator masks..,0.4948
813,"Election bombshell!Dominion software deleted over 2.7 million votes nationwide, and it switched over 500,000 votes from Trump to Biden!Minnesota used Dominion software. Any wonder Biden “won” MN. So what are you Minnesotans going to do about it?",-0.3841
814,A,0.0
815,Why is 3M red on the bounce?,-0.177
816,The hospital I work at is running low on 3m masks and equipment. And it is large. Servicing a million person city.,0.67
817,This fraud company will get the beat down for ripping off the USA.,-0.4289
818,"Every time trump threatens additional tariffs on China, those US companies that have strong international presence suffer. 3M down over $3 at opening. Suspect its their China presence that is pushing this stock down even lower.",-0.3327
819,This is my only stock in the GREEN.. O thank heave for 3M..... saved my rear....,0.7699
820,"Just on CNBC, they had a statement from 3-M blaming the US mask shortage on their distributors. This is a bunch of BS from the CEO. Who is in charge of that company ??? Throw that CEO out, he is a wimp and a disgrace and the shareholders should vote him out now.",0.5044
821,My question is why the stock price not going up if they are making money ??,0.3556
822,https://youtu.be/5_qtymajgSU,0.0
823,"""The COVID-19 pandemic has advanced the pace of change and disrupted end markets around the world, increasing the need for companies to adapt faster,"" Chief Executive Officer Mike Roman said.Did the CEO say anything about all the debt 3M was taking in while the company was buying back $100s of millions per quarter in stock to increase earnings per share?Did he say anything about how we’ve yet to see any study that shows (1) that the “virus” is in fact the cause of respiratory illness; (2) that the “virus” has been proven to be contagious; and (3) that there is in fact a significant increase in total deaths per capita as a result of the virus?I didn’t get a chance to listen to the call.",0.9114
824,3M CEO incompetence rears his ugly head.,-0.7422
825,"As a long-term shareholder, my biggest concern isn't the groundwater lawsuits.My biggest concern is that 3M stumbled so badly during what was/is a perfect storm for stocks.Strong economy-low interest rates-tax reform.",0.5453
826,I smell the sweet fear of braindead trumpers! Time to start buying :),0.598
827,"Buy,Buy,Buy",0.0
828,BOYS....YOU NEED TO WISE UP. NO MAYOR OR GOVERNOR SHOULD ALLOW BURNING AND LOOTING FOR ANY REASON. SEND IN THE MILITARY AND PUT AN END TO THE NONSENSE !!!!,-0.6467
829,Who else makes masks like this?,0.4073
830,3M's dental division should overtake the lions share of orthodontics and restorative treatments in due time. $ALGN,0.5754
