,Recent headlines and conversations for MCD,Polarity
618,"buybacks via debtnot too sharpFrom 2014 to 2016, McDonald's executives spent a whopping $20.5 billion on buybacks. During the same period, the company earned just under $14 billion in net income, meaning buybacks represented 146% of McDonald's total income.Apr 27, 2017McDonald's: Burgers, Fries And Stock Buybacks - Forbeshttps://www.forbes.com/sites/aalsin/2017/.../mcdonalds-burgers-fries-and-stock-buyback...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;",0.3956
619,"During the Obama years, the Democrat Party lost 12 governorships, 900 state legislature seats, 69 House seats and 13 Senate seats.",-0.1776
620,"Great earnings, hopefully it doesn’t get weighed down by rest of market",0.8926
621,Beyond meat is great idea. Just an observation. You guys are slow to act. No bun options took 5 years. Why not a 50% less calorie meat option?,0.4199
622,Junk food store MCD should be banned from doing biz in US imho,-0.6368
623,"Based on the concept of Value Investing MCD, under valued.",0.5461
624,MCD can just buy out BYND and create a separate branch,0.7312
625,"buy mcd stock, this is a good one, make sure to read all the news and check the data on yahoo finance, they have alot of good information on mcd stock on yahoo finance, great site to check all of the fundamental data and market data on MCD - https://prwire.pro/2019/01/06/mcdonalds-corp-mcd-technical-analysis/",0.9686
626,Don’t be afraid of mocdonalds; it won’t go down because it offers convenience and VALUE,0.5014
627,"Can the quality of the food stay high . I think not. Payback to the management and worthless underwater stock options,",0.1694
628,"WoW! I dont eat at MCD very often.... like the fillet of fish and cup of coffee ""just because coffee its a buck"" I know the crowds love the MCD as the lines are long..... BUT they should be sued for food that probably kills you.... tried the new chicken sandwich ordered the spicy got plain it absolutely sucked bread with two pickles no sauce and not crispy? Packaging not as good as chick filet... I've only been to that joint twice but hands down killed it! Not a stock owner but would never buy a company that kills people.... lol",0.2105
629,thanks for your ridiculous advice it shows how you have no idea of the danger of how much you can lose but you will learn the hard way my friend .This stock has just experienced what happens when the 770 million share float starts to exit all at once when it has been supported by under 4M per day.It is now playing catch up with the 22% gap opened up to the DOW since October .The end result is likely to be MCD's largest one day plunge in its history,0.9374
630,mcdonalds stock doin as well as the quality of their food. Garbage!!,0.5367
631,"McD's is up as much as the utes today- when the market is falling, the divs keep calling.If the market totally collapsed, you would see Warren Buffett in McD's next morning having a $1 coffee...",0.4777
632,"MCD sells high calorie meals with gian sodas which in turn leads their customers to bad health, very bad healthin that sense MCD kills peopledon't eat thereor at WENor Burger King",-0.8712
633,Hope mcd uses US memory companies,0.3759
634,I told you guys don’t bet against McDonald’s ; this is a 200 dollar stock,-0.0183
635,30 Million Americans out of jobs! More Americans have lost jobs in last 100 days than in the entire Great Depression. Stocks are going up. Why? Manipulation by big funds. When the market falls retail investors be left with significant losses. SELL SELL SELL,0.503
636,RED EVERYDAY OH MY GOD,0.0417
637,"sold today, be back in another month",0.1942
638,"MCD had higher sales 7 years ago than in recent years, excluding covid 2020. This is a major brand fading from relevance.",-0.0679
639,"McDonald's giant debt load is weighing heavily on the balance sheet, bringing shareholders equity to a deficit of over $6.2 billion. With a little over $800 million in cash, the company most certainly cannot pay it off either.",-0.4284
640,"MCD is the Woolworth, GE, and Sears of fast food.",-0.0611
641,Great company but I’ll wait to add closer to the lows in the $120-125 area & 4% yield.,0.4568
642,McDonald's is down 4.91% to 190.05,-0.2462
643,I love all the people that eat McDonald’s. Keep eating that fast food makes my pocket fat.,0.7936
644,This is what McDonald's get when I order a large fry and they serve medium fries in a large cup. They steal . God giveth and God taketh away . Inaccurate scales is a detestable thing to the LORD. Proverbs.,0.2442
645,Like I predicted no effect on the stock ; this is not chipotle; this is the premier food company and this stock will reach 200,0.6861
646,"MCD is a bet on consumer discretionary. As the vaccine is distributed, expect people to adorn themselves with official badges claiming their immune and therefore, eligible to go to restaurants and resume life. In so doing, that will subdue the doubters and gradually this pandemic will become a thing of the past. I am using 90 delta LEAPS to trade this ticker.",0.5135
647,"NOTHING in markets entertains me more than shorts, who were recently beating me, getting run over. NOTHING in markets is more satisfying.",0.8327
648,Poor performance lately,-0.212
649,"https://www.verdictfoodservice.com/news/mcdonalds-singapore-covid-19/It is all McDonald's fault.Singapore had only a few hundreds of cases in the first wave of Covid 19 hitting the island nation. So they reopened the restaurants including 35 McDonald's. Then on April 14th, one worker shown Covid 19 symptom. Because McDonald's rotated workers in 35 stores, they tested the workers in the six stores he worked recently. In the first test, they found three workers having Covid 19. In the second and third test in the next few days, the number increased to 5 and 7. Even Singapore is great on source tracing to contain the first wave, they are unable to contain the second wave. From 4/14 to 5/14, the infection cases have increased to 29,000 in the one short month. Singapore becomes the worst Asian nation hit by Covid 19. It is all started one McDonald's worker. I wonder if anyone in Singapore wants to sue McDonald's.",-0.8948
650,"national debt out of controlno one talking about itno one dealing with itdebt goes up up up, never paid downdebt is 21 trillioninterest $600BGDP around $30 trillionincome less than a tenth, say $3 trillion to be generous, that's the income of the country$600B is 20 percent of the countries income, rough numberdefense is $600 B of the countries income also, and two times too high at least, shut down the 70 US militiary bases around the world for starterscut spending by 5% per year, period and continuecreate an amendment (the Perot Amendment) to have a balanced budget and to reduce the debt to zero",0.7624
651,I thought the report was goo,0.0942
652,"summaryhow long can they spend their entire earnings on buybackshow long can they borrow money to pay out dividends3% more stores per year is 3% growth, what is the PE? PE = 27, so based on that, the price is 9 times too high.seems they are trying very hard, with help from the pumping to raise the price up up up, why?$15B (check, it might be closer to 16) in new liabilities in 3 years, about $5 B per yearpoint is, why take on debt to do buybacks and hand out dividends, when they obviously can not afford toWendy's said things are getting tight!I came up with $148 based on the dividendand around the same based on earningsbut, earnings looks better by a factor of about 2 due to the buybacks, as those shares are taken out of the float (check)so, $70 per shareWall Street pumping is one thingWhen a company spends their entire earnings on buybacks and ends up owing $5 billion (or 6) more in one year, things are getting dumb, or crooked, in my opinion.Things don't look right.Run the business, not the share price. Do it right and the share price will take care of itself in a good way.",0.9924
653,Nice dividend raise. Great compounder.,0.8505
654,MCD worth $203.00,0.2263
655,"Anyone know the particulars on the dividend and how it works for shareholders? What I mean is it paid out to everyone who holds shares through 11/30, or do you have to hold longer? I am long and intend to stay that way, but was just curious. Thanks and let's keep this sucker rolling",0.4713
656,"I was in a Mickey D's a few weeks ago buying my coffee, and the cashier was telling me that the store is attempting to have all ordering done through those touch screen kiosks. Don't know about you but that sounds like chaos to me, definitely a deterrent to those trying to get in and out. This is another opportunity much like ""self checkout"" that gets so far under my skin and causes me to want to shout out.. someone come ring me up because I don't work here! I refuse. Just the ramblings of someone who has had enough of being put to work at large stores.",0.9428
657,"I posted this a while back the PE went up from this time.......article here in yahoo news mcd said they earned I think $1.76 after itemsthey earnings $1.72buyback was 4.4B which is 3.4% of the market capmultiply 1.72 x (1-.034) = $1.66$1.66 nowwas $1.47 a year agolooks like 13% real growthbut the PE is 26.And interest rates are going up and that will make it more difficult to for the debt which is $29.5Band labor is moving up to $15 slowly but surelytaxes helped them, but perhaps they pushed income into this year to get a better tax rate, I don't know that, though.accounting tricksfresh beef will help them, but cost more. I don't think it was implemented in the last income quarter or only partiallynow look at a 3 year chart13% might not be real, its incomerevenue fell, blamed on franchisingdec 2016 to dec 2017 income up 10.8%too many fast food restaurants fighting for the same piece of pie, growth is considerably slower than the PE suggestsTry comparing the dividend to the 10 year fed note -> based on that I think the value is around $143.",0.8362
658,Does anyone know what the expectations are for April?,0.0755
659,210 by Tuesday anyone,0.0239
660,3 steps forward 2 back.,0.0805
661,#mcd Price to book 149 debt per share $130 buffet buys at a PB of 1.50,0.0483
662,stupid with brokers on line fixing commission at zero. All this to pump and dump stocks daily.I see massive daily swings here. Mcd at 208 a share is so stupid period. Whole stock market is so over priced period. This is the biggest pyramid scheme ever invented.,-0.6941
663,MCD is up 8.67% to 148.99,0.1818
664,$2 drop!!!!! What's going on with this ?,0.371
665,"MCD is far more dangerous than AAPL here is why If MCD was valued on a price to sales similar to AAPL it would just $83 not $175On the same basis of AAPL's PE it would be $100Which stock would you buy ?the one with great design teams and billions in cash or a stock that has $40 debt for each share purchased ?That just shows that when the public is herded into buying MCD as a safe by some foolish analyststhe ""safe"" stock becomes so overvalued it is the one DOW stock that when the herd stampedes the stockcould be bottomless",0.9599
666,MCD BOARD---VOTe them OUT------VOTE the BOARD OUT ---VOTE your stock---VOTE out the BOARD----------------THe BOARD destroyed this company------VOTE THEM OUT___save JOBS ------,0.5071
667,"I would love a chocolate pudding pie from $MCD.......would be great. My office is virtual but I send a $20 card home to everyone so they get lunch or coffee from the drive thru. My two amorous CSR’s have moved in together, I know they like the cherry pies.",0.9649
668,"one year low 147two year low 127too much run up, went to 191191/147 = 1.30, 30% 191/127 = 1.50, 50%went too high for the growth ratedebt up a billion in one year, too much debt for the coming recession",0.302
669,McDonald's HQ has deeper pocket. But eventually most of their restaurants will be closed like everyone else. The vaccine won't be out in 10 years like AIDS vaccine. It takes decades to make and the first patch is not safe even. People won't take vaccine for years. They will be administered only to soldiers.,0.9886
670,who is selling at these silly prices? Major manipulation going on .............BUY BUY BUY.............................ENJOY THE WEEKEND!!!!!!!!!!!!!!!!!!!!!!!!,-0.4402
671,I know that owning $MCD has made my portfolio quite fetching for young ladies all over town. I get so much action I can hardly find time to go get my Filet o Fish,0.4323
672,"When we hit $230, I shall celebrate with a McFlurry!",0.6496
673,"Speaking of vaccines and eating out, can you imagine if they could figure out to put a COVID-19 vaccine in a Big Mac. MCD through the roof !?!?!",0.9256
674,"Guy Adami just recommended MCD into earnings on fast money. For once that guy will be right, ",0.5016
675,it trades thin so they take it up to the moon (manipulation I feel) and they get to sell their shares to the index funds (your 401k)my beliefeasy peasydump dump dump the shares at the top use the bots to take it uprip everybody offlater it falls to 140 or whatever,0.6686
676,Anonymous keeps posting nonsense; every he fact is McDonald’s will hit 190,-0.3186
677,"MCD is up 9.73% YTD, had a few bumps, will take off like a bottle rocket in 2020. Now that normal people have tried fake meat, they know it looks and taste like @#$& and beyond.",0.8299
678,"Breakfast and fresh BEEF, and $1 fountain drink. I am loving it!",0.7518
679,#FakeFood. https://drive.google.com/file/d/1EgkcXlrqDdetTZOJjL91P9jTHQoXUMXC/view?usp=sharing,0.0
680,When is ER for this stock?,0.648
681,Steady eddy all the way up to $175,0.6075
682,uh oh... did their bun toasters break lol,-0.066
683,"Fellow McDonald's shareholders should President Trump have US Justice Department arrest billionaire convicted felon George Soros for inciting riots and paying for thug who riot in major cities across the US. The paid Soros thugs did $100,000 plus in damages at Berkley College two weeks ago. The lawlessness angry liberals need to stop and stop now. Soon they will get their heads cracked open if they keep it up and start filling up our jails.http://www.independentsentinel.com/soros-behind-56-groups-running-womens-march that left trash everywhere and trashy nasty signs",-0.84
684,Looks like McDonalds CEO got fired for getting himself a “happy meal”.,-0.0585
685,I now eat 2 McChickens for lunch and 2 more for dinner to keep me regular. Dumping like a Chinese steel producer.,0.4786
686,ADP report this morning on Bloombergless hiring,0.2301
687,"new ceo steve esterbrook in march 2015i think still ceosince then, the liabilities have increased almost $16BI'm sure its not easy being the ceo of mcdonalds, but on the face of it, that is pretty dismal3% store number growth per year, would point to 3% growth overall, but I think they increased same store sales, not sure, and maybe it was inflationhere on yahoo finance their financials are NOT IMPRESSIVEof course, I haven't studied it like the analysts have, but what about the massive buybacks, why, trying to push the shares up",0.983
688,"MCD many many years ago, at $42 if my memory serves me well, done very well long term.",0.7118
689,Why is MCD dropping when the reports are looking good and they just announced that they are opening 1000 new stores???,0.6969
690,MCD is a safe haven where the smart money goes to hide. Thats why its down on an up day. The fact that is up $30 in the last 5 months suggests the smart money knows we're headed for a recession.,0.7417
691,"Well, we went up and closed green. Far from $6 up in premkt but ok for now. GL",0.8596
692,is there a SPLIT on the way?,0.4044
693,Time for MCD to come up with a new menu. Getting tired of eating that grilled chicken sandwich for over a year.,-0.0755
694,MCD DIVIDENDS paid in good times and bad times. STAY LONG,0.5809
695,I am sorry meant to say 190,-0.0639
696,"sell all your sharesshort in pieces in case it bounces, using stopsadd if it goes your way",0.1428
697,"If they missed badly, like double-digit percentages, then I would be concerned. Otherwise, it was an acceptable report that has created a buy opportunity.",0.5812
698,McD is finished,0.0
699,Great buying opportunity,0.8401
700,"Buy MCD low here, you’ll be glad later",0.4051
701,Time to go long,0.4574
702,MCD in the toilet again,-0.2629
703,"McDonald's quarter pounder for $5.99Hyper-inflation, or a just a massive rip-off?Even when buy one get one free(?), it's waaaaaay overpriced.This is a boring, bland patty, not a Chef Ramsey burger!",0.4979
704,Going all fresh will drive price way up! It is coming soon.,0.6467
705,The most optimistic evaluation i can make for McD is 180 USD. A new bubble is being created.,0.2257
706,"Mcdonalds is garbage. Everytime I eat it, i get the runs. I dont know how people can eat that garbage all the time.",0.0975
707,This is crazy market,-0.3365
708,Took the covid comeback gain. Might come back when things start looking better. Good luck to all,0.9303
709,"Looks like a short to me, take a look the weekly chart. This thing is going to 165.",-0.0639
710,"Market is up over 200 points and MCD is down $1.80, how come???",-0.264
711,The smartest guys on Wall Street are selected to be CEO. Their brains got them there. Why do they listen to their little head?,0.791
712,Miss - $1.82,-0.1531
713,$45B in debt? Isn't it about time to short this bloated pig?,-0.8915
714,Dont be afraid. My modigliani analysis is indicating 255,0.3157
715,"$1.82 x 4 = $7.28 per year$7.28/ $187 per share = > 3.9% per sharebut sales is falling (fell anyway)debt up more than $1.5 billion see the balance sheet right here on yahoo finance mcd financials balance sheetquarterlyannual4% growth and PE 28, that's the biggest issuethe dividend is a cash dividend, not raising the dividend overalldividend at 2.53%, 10 treasury yield 2.73% (will go to over 3%)2.53/2.73 * 187 = $173when it hits 4%2.53/3.0 *187 = $143 per share",0.8585
716,"$200+ per share around the bend, the drive through queues are ridiculous!",-0.1727
717,"No rush to buy, not far from red lineStay short when they are pumping to lure longs",-0.637
718,MCD is down 4.91% to 190.05,-0.2462
719,what a great company; should have had its stock 50 or so years ago.,0.7646
720,"Too pricy, peaked!!",0.1886
721,"last time it got this high, it fell to the low $140's, check a one year chartmoving average $164100 day moving average around $160",0.627
722,Ill have a big mac and a large fry to go. Thanks.,0.3762
723,how low do you think this would go ?,-0.0789
724,Held above a long term technical level of 190; next stop 200,0.6599
725,"Trump, Navarro, Ludlow, trade knowledge in a tea cup",0.6128
726,"I bought $10K worth of MCD, now it’s nearly $45K. I also had the dividend payouts for awhile, and now reinventing the divs again. I flipped burgers at MCD when I turned 16. It was a good experience.",0.7046
727,this better be green today!,0.581
728,"As I?ve been saying, the mgt is absolutely terrible! They do not know what they?re doing-constantly changing the menu n not giving people what they want...the biggest bull mkt in history and this #$%$ company missed out on it all!",-0.2978
729,"must not be ""toasting their buns"" enough. lol",0.4606
730,Love me a Big Mac. I think I'll buy more after this drops further.,0.7934
731,Mcdonalds needs to run monopoly or something again. Daddy needs this stock to fly,0.3894
732,"Most items on $1 $2 $3 Dollar Menu are gone. The only remaining items are coffee ($1 and $2), small fries and two cheeseburgers for $3. The $1 $2 $3 Dollar Menu is a failure. Easterbrook has to go.",-0.4664
733,Why the big drop today over $3.00 ???,-0.2948
734,Distancing regular customers by cooking meatless hamburgers on the same grill as the meat burgers is a bad idea. There are people that used to be regular customers who will not go to Burger King for this reason. The trade off is not worth it. Please trade accordingly.,-0.0308
735,I am surprised by the miss but most global stores are walk in and probably hit profits most,0.5048
736,dont be a bagholder!!!,-0.4074
737,"With just about all it's cashflow covering it's debt from buybacks , this garbage stock will fall like a hot potato and the executives will laugh all the way to the bank.",0.506
738,Stuart Varney just said the Mcd looking into some in restaurant dining again!What gives?,0.2818
739,and she went down down down in a burning ring of fire the earnings hit from the virus fallout could last another quarter,-0.5442
740,accumulating before big drop,-0.1398
741,Continues to act awful!,-0.3729
742,"EVERYTHING GOING BAD FOR MCD. Hi Beef prices due to shortages, franchises unable to stay in business and requesting Corporate help, breakfast sales (a huge driver) are tanking, workers working while sick with Covid now! Expect 150s soon and fast if not 130s. This stock is falling faster than my cholesterol once I stopped eating there",-0.8331
743,My new modigliani advanced technical analysis is indicating McDonald’s to 250 maybe 270,0.4429
744,"guys this is now trading below its 200day, it's falling out of its trend line and not participating in the rally, to me this is a sign of a sell. if it doesn't go back up its 200day by close today, and doesn't look like it's gonna, I'm going to sell and take a loss.",-0.02
745,This year McD surreptitiously increased prices on many Value Menu items by up to 20% and yet revenues are down 30% 2nd qtr! Drive thru can't be the sole sustainer. Results won't improve until covid is resolved.,0.7532
746,experts are coming out.. cannot guess the timing of market drop .. yet still yapping about why the market keep going up,0.0871
747,MCD will survive but sales will cut in half. THe damage will be there. .,-0.8094
748,I always like to buy the filet of fish. I put the fish on a plate and use the buns as toilet paper cause they stick to the roof of your mouth,0.4808
749,I could have bought MCD for $113 about 2 years ago just before all day breakfast. I kicking myself everyday,0.6073
750,Another round of $200 pre-market purchases. I remain skeptical.,-0.4228
751,Time for a split so some more saps come aboard.,0.3226
752,Suitable entry point: between 167.5 and 172.5. https://www.investopedia.com/news/hungry-fast-food-stocks/?partner=YahooSA&yptr=yahoo,0.0713
753,"Officially MCD beat the estimate by 12 cents. But CNBC immediately pointed out this includes 7 cents by foreign currency exchange rate improvement, so CNBC said MCD beat by 5 cents. Then later in the conference call, someone found out McDonald's chose the lower than expected interest rate for Q1. The benefits for 8 cents. I am telling you the CEO is a snake oil salesman. He knows that McDonald's has to beat this quarter. He pulled all the stops to make it happen. But unofficially it missed by 3 cents.",0.9853
754,"#mcd correction MCD PB 156 Debt $26B , Debt per share $30 Real value of stock $1.47 Stock under $100 soon",-0.1343
755,Mcd down from $238.18 high.,0.0567
756,"Not sure why HABT dropped today. Earnings were OK. Same store sales increased much more than $JACK, which rallied (supposedly b/c of same-store sales when compared to $MCD). Still long on $HABT, but it is starting to look like it will take a while for others to perceive the value.",0.9004
757,AOC Wants Fast Food Banned in Queens NY!,-0.4336
758,MCD should be in more Walmarts.,0.0257
759,Piper downgrades the stock today ...will most likely break $200 near term...,-0.0112
760,"This news of a parasitic outbreak is worth ignoring. Sure, the stock might take a hit next week, but it's not going to stop people from going to McDonald's. The contamination was only found in salads. How many people buy salads at McDonald's? And this was only found at locations in the midwest. This isn't a Chipotle-esque situation.",0.582
761,bought Mcdo 20 years ago and never sell till this day and never will :),0.5511
762,negative growth and a PE of 25and check teh total liabilities and net tangible assets over time,0.4573
763,Finger licking good!!! https://www.zerohedge.com/news/2018-12-03/not-lovin-it-researchers-find-feces-every-mcdonalds-touchscreen-tested,0.6197
764,do you see it splitting?,0.1119
765,Perhaps a short-term pull back is more likely before the next rally on MCD? google awesomestoc-ks - they offer pretty good trade alerrts. you dont have to trade their tickers but it definetly helps you recognize possible patterns for stocks you're trading.,0.8644
766,Price predictions??,0.1722
767,"If MCD takes bynd products, then this will push both companies up.",0.0925
768,KEEP YOUR ARMS AND FEET IN THE WAVE POOL CHILDREN AND JUMP WHEN IT COMES,0.212
769,"Regarding MCD millionaire shareholder investment strategy - buy on dip, reinvest Divs, repeat...",0.5918
770,BUY BUY BUY!!! Will be back to the mid 150's by end of week!,0.7734
771,MCD PE is about two times too high. Buybacks seem to be manipulation. It all ends bad.,-0.352
772,lines around building or chicken sandwich...buy,0.3689
773,148.65 52 week low212.2 52 week highup 43% in a year seems extreme for slow growth restaurant stock that couldn't make it above 190 for most of the year,-0.0628
774,"with the PE at 28....................my notes from beforethe tax break is over................................................My last data showed growth at 7.3% (two years income growth/2)maybe not so accurate?long term debt grew by 7.3% from Dec 31 2015 to Dec 31 2016long term debt grew by 14.1% from Dec 31 2016 to Dec 31 2017So earnings went up by 7.3%, but so did debt the first year and twice that the second year.Instead of buying back stocks, they should be paying off the debt, getting ready for the recession that economists are predicting will come the first or second quarter of 2019 (or so, or whenever). The repurchase was $4.4B. Total long term debt is $29.5BTotal liabilities is $37.11 B up from $33.2 B one year before, a 11.7% rise.",0.613
775,"Ron, Ronald Ronnie,Ronas",-0.0726
776,"$5.00 yearly dividend? Oh Yeah. I think I'll go out and get me a 10 piece Chicken Mc Nugget, Large Fries, and a Vanilla Shake.",0.4991
777,look at the total liabilites and net tangible assets over the last 3 yearsnot goodstock was trading at $110 about a year ago,0.4945
778,"Lordy, is today the day we hit $150? Surely sometime this week..Free fish sandwhich for the closest guess..",0.5089
779,"You just lost another customer.It's probably been about 6 months since I bought breakfast @ MCD'sI ordered the breakfast platter & brought it home to eat. The scrambled eggs are about 1/2 of what I got in the past, the sausage was smaller, & the milk I ordered was only 1/2 pint & at $1.19 plus the MINNY-SODA tax of 8.00% = $1.28 which equals $20.56 per gallon.Goodbye & good luck",0.9365
780,Is MCD still a buy here??,0.2195
781,BAM however Ronald will be ok give it time,0.6642
782,MCD LOOKS LIKE IT WANT TO GO BACK TO $200s soon ,0.5794
783,"MCD stock falling off a cliff during normal times would be bad enough; when stock market is setting all time records is an outrage! And just after Covid vaccine has been found is CRIMINAL! Bernie Madoff, you amateur, you...........",-0.2261
784,I’ll take the McWoke with a supersized Coke.,0.226
785,May 3 2021 $238.18,0.0504
786,Would probably be higher if the ice cream machine wasn't down.,0.6417
787,Gonna buy if it goes below $206,-0.0531
788,"the price is too high, way too highthe dividend is 2.33the 10 year is 2,4672.33/2.467 * 199.10 at the moment = > $188but even then the debt is an issueand recession is an issueand interest rates will turn, maybe related to tradeso, $188 is high",0.3498
789,"they probably don't want to own mcd going into a recession, so they take it up to dump itand they have a lot of debt, unnecessary and the interest rates are up there, see my other postsI have support at178172which is well above the 50 dma of 168and the 100 dma of 164",0.6101
790,"once vaccine is available and confidence restored, people and their kids are going to STORM into McD. One happy meal and the addiction kicks on all over again. Its the all American craving. Buy! Buy! Buy!",0.9701
791,"Check out the balance sheet,the current book value Per Share is (-2.47). What does it mean?Does it mean MCD should bankrupt now?",0.4871
792,Double head,0.1727
793,There bringing it down only to run up after earnings.,0.3627
794,"Fast food drive-thru, the person orders in front of you has COVID-19, the virus can stay suspended in air for a time, You come along and order, now you sucked in the virus.--Lenny",-0.1613
795,This morning MCD was up for no reason.,-0.0914
796,"$170 by Thanksgiving?I posted this 2 months ago: ""Lordy... dare we say, $160+ before Labor Day? Actually, we could top $170 with a great next quarter and div hike. Regardless, the div hike will happen.""Of course we hit $160 right before LD. Third quarter will beat estimates, McD's will introduce better, cheaper SBUX spanking espressos/lattes/capos,and pumpkin spice drinks. If timed right with the dividend hike announcement (I predict $1/share), we will see $170. Read and heed...and thank me later.",0.9174
797,"#$%$ McDonalds. As an AMERICAN BORN IN THIS COUNTRY, I will never spend another penny at your establishment. ILLEGAL IS ILLEGAL. You support criminals.",-0.7985
798,"PE 54 without buybacks,",0.2373
799,MCD food is unmitigated #$%$..over priced dog food ...only the obese and stupid poor eat there.......,-0.737
800,My cousin manages 4 Mc Donalds in the Philippines and now worth over 3 million dollars. Not bad for a former waiter on a cruise line ship.,0.7445
801,America is in deep trouble when MCD stock goes up! Ask any American farmer from a red state ~,-0.2994
802,Hopefully my chance to get back it!,0.6617
803,The best stock ever !,0.7416
804,I get the feeling they’re earnings are going to come in higher than expected. Every time I go into McDonald’s it’s packed. They also are using more automated orders and cutting out employees.,0.5279
805,Pricey here. 25x earnings is too much for Mcd. Lower this goes,-0.1868
806,I haven't had a big mac or any of this trashy food in 12+ years. I hope Grimace and Ronald get the virus and die,-0.2598
807,Are Happy Meal toys good for the oceans?,0.7528
808,antibiotic news over and overpump and dumpway too much liabilitygrowing out of control,0.2684
809,I told you MCD was about to get schwifty. My 175 CALLs expiring Friday are about to get real schwifty.,0.2658
810,$187.55 &going up.,0.1862
811,Then why is it down,-0.2278
812,MCD reports earnings before open tomorrow hope to see a nice pop.,0.7335
813,if they get McDonald's #mcd then this will goto the moon.,0.0484
814,"CEO must have been reading this board. Locally McDonald's no longer advertises the $1 $2 $3 Dollar Menu. They go back the promotion 2 for $4 deal. Good job, Steve. Nobody likes $1 $2 $3 Dollar Menu.",0.7508
815,McDonald's is up 5.18% to 178.94,0.1818
816,The MCD app is great. Lots of good coupons.,0.7882
817,Will test 52 week low $147 this week. Too many people wants to buy calls cheap.,0.1618
818,"Who sold at day low $153.86? It just flashed out of my screen. When I typed my order, it was back to $164.",0.5005
819,"I might add a few shares if we drop to 200. I like the rock-solid yearly increasing div, decent yield, but MCD has been cheap with the DGR lately... I still have >50% gain since my last buy during the Covid-crash..",0.9179
820,Watch for the FAST DROP to 180. Breakfast Sales are really hurt at MCD just like Taco Bell. No drive Through or mobile makes up for that. Stock will melt faster than their soft serve,-0.3316
821,BAWAHAHAAAAAAAAAAA...TIMBERRRRRRRRRR,0.0
822,"GREAT SHORT her eat $184...straight up...time to retrace at least $5, if not more!!!!!!!!!",0.4839
823,$MCD Does the new chicken sandwich have feathers like the one at Burger King?,0.6063
824,Cops should be allowed to Police McDonalds. 24/7.,0.0607
825,What’s going on after hours with McD????,0.2543
826,Never pass up MCD down 3%...I'm lovin it!,0.3638
827,So the CEO was fired for banging a employee? She was over 18. What’s the problemo?,-0.4449
828,"MCD been going up since 1960s, a great American business. I was in Sweden, and McDonalds was packed. I hear they have McDonalds all over Asia as well.",0.8488
829,I am loving my Micky Ds.,0.618
830,"And with the not frozen quarter pounder, which is very good, earnings will be very positive $$$$$",0.7826
831,JUST BUY STOCKS BUY BUY BUY......EVERYTHING IS GOING TO BE OK.....BUY AND STOP THE DOWNWARD SLIDE...PLEASE BUY,0.0872
832,"They can make the best plant based burger for 1 cent. I will not support a company that kills 100 Trillion Animals, 100 Trillion bags on my street. 100 Trillion Straws in the Ocean #IMNOTLOVINIT #FakeFood.",0.6461
833,"Market did OK today, vaccine should be a HUGE boost, so why the selloff?",0.9359
834,#REALFOOD https://www.heyvburger.com/,0.0
835,What’s the odds that it winds up in the red at closing bell?,-0.4481
836,"Sold yesterday, just concerned about strike and hurricanes, and the fact that the share price can't seem to get out of the range it's been stuck in. Maybe get back in later.",0.3285
837,Onwards to 190 plus. The march is underway.,0.3735
838,"Russia , China and Iran are running a huge scare campaign to tell people US economy is collapsing and the stock market will collapse. Nothing further from the truth",-0.0397
839,Thanks shorties - have a great day and weekend.,0.83
840,Going to break out to all time highs soon. Don't underestimate the power of the mobile apps growth to earnings,0.2445
841,$MCD Owns the coffee world. Love the McChicken. Cherry pies too. Go looooooooong for huge profits,0.8581
842,"It appears that in China and Hong Kong, people are using McD's for their new home. It's not just a trend in America.http://www.foxnews.com/food-drink/2018/08/06/number-hong-kong-mcdonalds-mcrefugees-sleeping-in-restaurants-has-skyrocketed.htmlFurther sign that the so called ECONOMY is nothing more than accounting tricks. The money printing is not working, it never has and it will hurt more than you thought.",0.3793
843,Buy it right here in the $155's.,0.0298
844,Need this back to 210+ come on .. Go buy some Happy meals people!!,0.7796
845,"not bad for today, see if this can hold tomorrow",-0.4081
846,Go cry somewhere else shorts no one told u to place puts,-0.4832
847,"$21050 dma 213, so $210 seems like it might happen or is likely once things turn downOn the long side, bond yields are low low low.But, who wants to hang around for a 2% dividend (half a percent per quarter), while the stock corrects 5%? Or even a lot more, when you look at the high and low for the year or two years.http://bigcharts.marketwatch.com/advchart/frames/frames.asp?show=&insttype=Stock&symb=mcd&x=53&y=10&time=9&startdate=1%2F4%2F1999&enddate=6%2F2%2F2019&freq=1&compidx=aaaaa%3A0&comptemptext=&comp=none&ma=3&maval=50&uf=0&lf=1&lf2=2&lf3=4&type=4&style=320&size=4&timeFrameToggle=false&compareToToggle=false&indicatorsToggle=false&chartStyleToggle=false&state=11",0.6326
848,Cramer just said maybe time to pick up some Micket Ds,0.6188
849,This thing needs to come down to a 3% yield before it become a buy.,-0.0204
850,MCD calls taste good rn,0.3713
851,"Lines at MCD always pack more than ever. I asked customers, they said it's cheaper to eat at McDonald's than cooking at home. Make sense, with inflation groceries cost more lately than eating McChicken for $1. Especially american become lazy watching Netflix and ordering MCD . I think MCD eps/revenues surpassed Q4 especially no body cooks in holiday Oct-Dec holidays. Expect 300 in this Q. I will buy at the opening tomorrow",0.8685
852,220 after earnings...easy money,-0.0496
