,Recent headlines and conversations for MA,Polarity
782,270 in 5 weeks,-0.0397
783,Patience is the prudent MA & V investor’s greatest ally!!*** Go long to stay strong  and keep on keeping on!,0.9225
784,Why drop so much?Let break 324 resistance,-0.4695
785,I bought some this morning at 305 and not it’s close at 297 :/,-0.2141
786,Hello to my stalker fans on Yahoo. Miss ya.,0.057
787,"It is difficult to stay completely composed right now, my average by in is 328.",-0.2245
788,ml ml.n,-0.0459
789,MA hitting $140 after ER,0.2528
790,https://www.wsj.com/articles/transaction-growth-lifts-mastercard-revenue-profit-1540903666?mod=yahoo_hs&yptr=yahoo,0.0
791,China Index closed 2.3% higher. Green tomorrow boys and girls!$MSFT $GNPX $MA $CCI $RTN,0.1774
792,MA is acting bullish on a day the markets are down. GO MA GO!!!,-0.7486
793,The market is down 200. MA is up a buck and a half. You can't keep a good stock down.,-0.5612
794,crazy mood swings every day. great chance to day trade your way to a fortune.,0.5902
795,I was right on - stock traded so suspicious coming into earnings. I should have shorted MA lol looking for $290 but may buy some more now,0.5696
796,Go MA! ,-0.3233
797,Hold onto your MA to enjoy HUGE gains over the next month!!!,0.8348
798,this is happening at the same time we were expecting a pull back ... coming up,0.4039
799,What are your thoughts about MA? Does it reach $310 or slide to $270ish first? Thanks for any input.,-0.1395
800,"Visa feels more energetic, running faster then MasterCard.",0.4498
801,I'm tempted to buy some puts and wait for a tweet. lol,0.6381
802,$350+ by end of this week! You heard it here first. This fin tech stock isAbout to takeOff!! Good luck to all the peopleWho kept there shares. May the longs be with you!!,0.9336
803,Nice bit - EPS 1.80 !,0.4756
804,What a beast.,0.5111
805,MA is down 4.91% to 256.23,-0.4608
806,Worst day since march means buy,-0.5089
807,Institutional selling has MA down 6% to a long term buy. Rotation and repositioning should be over computerized trading will kick in soon,0.1476
808,"Worth $368B! Sure, keep buying the hypes, peak",0.6808
809,"MA and V are less than halfway towards recapturing their full, pre Q4 earnings trading levels, so; there is ample runway for this rally to run its bullish course!",0.7264
810,"As soon as I saw the very steady 5 year chart, I knew I wanted to ride this train.",0.8195
811,does increase in the interest rates affect MasterCard,0.6522
812,"Paypal crushed it and volume was up. Bottom is in for MA, upwards from here.",0.1262
813,Another all time high!,0.3501
814,This is a total market juggling act by the big investment houses. Up 500 yesterday down 500 today. Who do they think they are kidding?,0.7337
815,"I remember last time it gave earnings a couple days before the ceo sold 36million shares, they wait and then sell",0.5336
816,$MA Maintains Barclays Overweight USD 380 » USD 402 Maintains Morgan Stanley Overweight USD 412 » USD 418,-0.8709
817,Will pop up +20 today!,0.3285
818,"This is a golden buying opportunity to buy Mastercard on sale today. When the market sinks, it takes all stock down with it. Before you know it, Mastercard will be up near $230 per share, especially as we approach it earnings date which is Oct. 30.If you have extra money, buy Mastercard at this low price, you will be handsomely reward in the very near future.",0.968
819,330 resistanceMA has to break it before heading higher.,-0.0509
820,"I own Visa and MA. You know what? I have plenty of time and these are so good investments that I am hoping that they tank so that I can buy more. Like a time machine, only this time I have more cash.",0.8405
821,"Clients are always right; markets, correct.",0.022
822,strange ...,-0.2023
823,This stock doesn't know any other direction but up!,0.3518
824,1 year to complete all approvals.,-0.1921
825,Almost impossible to hold price of MA down.,-0.5776
826,MA will rally through their 2nd quarter earnings. GO MA GO!!!,-0.7759
827,Nice MA bargain hunting price into the close!,0.4173
828,"The global economy is schedule to rebound very strongly from current levels, so; MA & V are great buys at current trading levels because they will be key beneficiaries and key to most financial consumer actions!",0.811
829,MA is looking bullish! I expect that their 4th quarter sales and earnings will be phenomenal when they report!!,0.5791
830,"End of the year profit taking, rebalancing.",0.4458
831,MA is still extremely overvalued even after the sell off. Those getting excited over dead cat bounces are fools.,-0.8409
832,The last hour will see a strong run up.....get on board.,0.6618
833,Relax. Sooner or later will be there,0.6251
834,MasterCard is overvalued.,-0.25
835,falling star,-0.4058
836,Time to test it's low again. There will be no V recovery.,-0.4508
837,Great idea,0.6194
838,"ER very soon, Visa is set for 7/28 and MA usually follows soon after. MA has been trying to break through $310 resistance for a while and seems to fail back to under $300..........if we can hold $310 this time and break out to $315-$320 by EOW, will be a good sign for approaching old high hit in March around $346.",0.4003
839,Just have to hold tight and wait! Every single company is being affected with this virus and it#$%$ every mart of the market. Hold and sit tight. Will all rebound. Will drop another $20 I?m sure but buy on the dips and load up. This company is going anywhere just because a virus. This is what happens every time health issue comes into play! Go long and you?ll never even remember this event occurred!!,0.9802
840,Volume up today clearing out profit takers then we're ready for the next leg up.,0.9242
841,"is it man or machine, or both.",0.1314
842,"U.S. retail sales climbed 4.6% in February, according to data from Mastercard's SpendingPulse tool, after adjusting for the fact that 2020 was a leap year. Without seasonal adjustments, the total retail sales increase would have been 1%. Grocery spending rose 12.4% on a year-over-year basis for the month of February,",0.2046
843,The pandemic coronavirus is coming from Europe to America. The stock market will collapse 100%. You will see!,-0.4799
844,Huge double top,0.6503
845,Yea over $$200 dollars tomorrow,-0.0027
846,"What the heck, is #45 doing?",0.0038
847,"Mastercard’s sales growth is a negative 9% for the current quarter, only explanation why it's down",-0.3829
848,is not only the virus... p\e 40... c'mon,0.4232
849,gets affected drastically by negative market conditions ...but just jumps a few dollars ..on positive reports,-0.2991
850,Disagree with reaction for pandemic it was good,0.084
851,The mm will take this under $330 by Friday,0.1071
852,"MasterCard has a partnership with Grab, the fastest growing company in Southeast Asia which has a population more than double the USA. MasterCard continues to be the best placed Fintech for growth outside the USA which is where the growth potential is for Fintechs. Fantastic stock to own. Onto $300 amigos.",0.9848
853,MA will best on both the top and bottom lines!! What a heck of a earnings!! You heard it here first.,0.6966
854,Huge resistance on the way to $300,0.2884
855,"21% dividend increase, 8 billion share repurchase!  Happy holidays from Mastercard! ",0.9366
856,Fantastic ER. Well done Ajay! Amazing how a behemoth like MA can continue to grow like this. Interested to hear the CC and breaking out its International growth particularly in India.,0.975
857,This economy is as hot as never before. Believe it!,0.1747
858,"When JPMorgan Chase said this week that travel spending had dried up, it got Jeff Cantwell thinking. The Guggenheim analyst realized that travel-related revenue comprised a third of Mastercard’s top line last year—so he downgraded the payments company stock on Thursday to Neutral.“We think Covid-19 is a ‘paradigm changing event’ for payments,” Cantwell wrote, “particularly for cross-border.”Before the pandemic arrived, the company’s stock had been a powerhouse, quadrupling over the past five years to near $350. In early trading Thursday, the shares (ticker: MA) were down 0.6% at $255.60. The S&P 500 was up 0.2%.In a Tuesday conference call, JPMorgan (JPM) said its customers’ debit and credit-card transactions at restaurants had plunged 60%, while travel spending had nearly disappeared. That bodes poorly for Mastercard, Cantwell said in his note. Cross-border spending brought in a big chunk of Mastercard revenue and a bigger piece of profit, because of additional fees generated by international charges.",0.8771
859,Going to be a 3%+ down day.,-0.1995
860,I think MA is due for a pullback. What are your thoughts? google aawesomestocks - they offer pretty good trade alerrts. you dont have to trade their tickers but it definetly helps you recognize possible patterns for stocks you're trading.,0.8712
861,$5 away from ATH! Look'in Good!,0.8821
862,BUY STONKZ,0.1332
863,Mastercard & Visa should be a part of everyone’s portfolio,0.2205
864,now if we can only get the Chinese to allow MA and V to operate in China as they agreed to in 2012 with the world trade organization,0.587
865,"the bottom is 35-36 times earnings, mastercard has never broke below that valuation. it was ran up as a safe haven from china , 44-45 times earnings. healthy correction 18% eps growth = roughly 36 times earnings, fair value $268.40 (12/31/19)",0.869
866,Yes bring her down down down. MA 200.00,-0.5045
867,Going to retest $330,-0.0908
868,What's up with starting up and then sinking an hour into trading?,0.4811
869,"There is a direct correlation with affirm being up 20% and MasterCard, Visa, Green Dot, (traditional creditors) etc being down! People will not stop using credit cards to use solely affirm, money will return here shortly after the hype dies, this is a buying opportunity",0.6889
870,Visa and MasterCard are ESSENTIAL for everyday life.,0.2282
871,Should go up starting now,0.2647
872,Soon as the market gets enough confidence to come up 500 points. Someone is pulling the trigger to knock it down to minus 1000 again. Three days in a row. This is not how the market works.,0.7005
873,up 7000% since IPO,0.4724
874,V reports tomorrow ditto results.,0.3306
875,The market is not an investment vehicle anymore. It's more like a casino. Yesterday they were all selling. But today looks like they are all buying. zpre market up 600 plus.,0.9372
876,"OK. Lets take a poll, does MA cross over and close above $345 tomorrow (Friday) and get back to $360 next week. Or does MA trend back to lower end of channel?THUMBS UP............if YES and the momentum is with us and will continue to test new highsTHUMBS DOWN....if NO and we do not break out at this time and remain in a channel $315--$365I voted first.....THUMB UP",0.6731
877,MA is one of those stocks you know is going to go up finally but today it seems like it just can't stop going down. It could easily close at 370 or 380 no way to predict.,0.8567
878,MA is looking bullish!!!,-0.2786
879,Very choppy trading for MA — as investors await FED head announcement and news conference!*** Nice buy point for a potential rally into the closing  bell!,0.1553
880,"Will we break $400 in 2020? My bet is yes, with some rockiness along the way.",0.2775
881,BIG BOYS ARE COMING TO PICK CHERRY NOW. INDEX WIPES OUT THE LOSS THIS MORNING.,0.0095
882,"Excuse me MA, are you going to pop  today ? Please help ",0.6391
883,Too cheap here. Buying more.,0.5442
884,"Whats wrong with this, holiday buying is up 5% so MA and V are down..",0.1964
885,LOOK AT MA RALLY!!!,-0.425
886,If you missed yesterday’s opportunity... today is the day!,-0.1779
887,Like I said that pullback was a gift. Early Xmas present. We can now resume our assault on $300. Carry on. :)),0.9
888,ma is going to $200 Next week! you people will see.,-0.1113
889,"... Additionally, B Of A downgraded Air, Food, Water, The Internet, and Sex, claiming: ""The Markets are flooded with these commodities, demand is flat, and we see no further upside"". This downgrade would be the craziest call for maybe the last 50 years... but crazy like a fox! EVERYONE knows that earns. are going to blow-out. Biggest 4th qtr. on record. Start buying NOW!!. Don't bother waiting for price to break and surpass previous highs. The bad news isn't pushing the Mkts down anymore. Profess. Siegel at Wharton said the bottom is in, and he is right! We are up from here, and its about time! ;)",0.8098
890,"A few months ago I warned everyone on this board that MA was extremely overvalued. Yes, it is a great company, but great companies don't make great investments when they are overvalued. I owned MA for eight consecutive years before selling earlier this year when I locked in an eight bagger. Yes, I made eight times my money by buying MA when it was undervalued and selling it when it became overvalued. Those jumping on the bandwagon this year were overpaying. No asset deserves an unlimited valuation.",0.9426
891,Strong finish for MA!!!,0.4091
892,I'm predicting $242 after earnings with a slow and steady rise thereafter.,0.1726
893,"MA reports earnings in the pre-Market — before the opening bell!- It would be prudent to consider nibbling, or adding before earnings because MA might catapult to well over $400 in the pre-Market, and perhaps never look back at sub $400 level!- Just a few points to ponder as we close in on the final 2 hours of trading.",0.4659
894,"This award winning equity analyst has been a long term BULL for $SQ rather than $V or $MA, this is what he's saying now:https://www.twst.com/news/brett-huff-stevens-inc-makes-30-annual-returns-investors-took-advice-buying-now/",0.8492
895,DO NOT BUY ANYTHING IN THIS BUBBLE! US Equity prices HAVE PEAKED! US indexes will FALL by 80%! $AMD $NVDA $SQ $SHOP $AMZN $AAPL $MU $FB $BABA $TWTR $TSLA $NFLX $ROKU $NKE $PFE $PYPL $CAT $IBM $MMM $INTC $TXN $PYPL $CSCO $TWLO $CRM $ADBE $SNAP $MSFT $GOOG $MCD $MA $T $V $BAC $DB $JPM $GS $GM $F,0.383
896,I heard about MA the other day on (http://Multistockalerts.com). It’s looking like an interesting play.,0.7704
897,PLEASE,0.3182
898,Bearish reversal?,-0.7385
899,Story just keeps getting better ^,0.6037
900,"MasterCard price target raised to $400 from $350 at Wells FargoWells Fargo analyst Donald Fandetti raised the firm's price target on MasterCard to $400 from $350 and keeps an Overweight rating on the shares. The analyst believes the hand off of the baton to the U.S. consumer from forbearance/stimulus nation will be relatively smooth. He also expects significant pent up travel and entertainment demand to drive spend in the U.S. in mid-to-late 2021 and global travel late 2021/early 2022. This set-up makes the card issuer shares more attractive near-term and the networks slow grinders then better H2 stocks, Fandetti contends.",0.8957
901,Geez...what's wrong with this stock today? All the financials are going up and this has been falling.,-0.152
902,..it peaks 10 - 20 dollars once every 3 months..stays there for three days...and then drops 40 dollars,0.1918
903,"If MA cannot brake 335, short it",0.1989
904,It drives me nuts to see the stock (and V) get crushed for no reason I can find. Is the business model in trouble or is this a buying opportunity?,-0.5527
905,If u sold today please stop trading,0.2013
906,"The issue...imo, people are selling MA to free up cash for stocks like Apple, Tesla etc etc etc. I get it. why hang out in a stock (MA) that has not dome much for several months when other stocks are flying. I am fortunate enough to own MA as well as the other two mentioned. Loving this MA card dip and adding.",0.9761
907,not selling. keeping it for 20 years,0.0377
908,"Tomorrow wait for the index drops three digits and get in to pick up cherry again. Little Kim did it again with the short range missile. WS will be panic again for the fourth week in a row. Pentagon knew since Saturday, and Trump did not say any thing, so it is non issue again, unless the market makers want to stir some action.",-0.4574
909,Long now or REGRET.,-0.1353
910,MA is killing it this week!!,-0.7741
911,"Terrible day for the whole markets, let’s stay positive with tomorrow’s record earning. I don’t see a reason why such a stock continue to underperform. Soon to bounce back.",0.4227
912,"Hey mastercard, do you know how much business you are losing because of Microsoft. On an almost daily basis, Microsoft is loading unwanted, junk apps on our computers. And while this happens, we can't go to amazon, or any net site, and buy anything. WHy don't you tell Microsoft how they are hurting your business, before we all take our computers, and our credit cards, and flush them down the toilet. Microsoft is the worst source of malware on the planet.",-0.8235
913,"The ""profit takers"" sold already! Those that held MA stock will be rewarded ""big"" by next week!!! GO MA GO!!!",0.6124
914,I've owned MA since IPO and I've never seen this stock go down this much. Normally one or two days being down and then it bounces back but this has been like 7 straight days of decline,0.5407
915,Solid.,0.1531
916,GO AMZN GO!!! Big earnings next week!!!,-0.4111
917,"Read this link , it makes a lot of sense out of this . I've been through the same thing with CRUS and MUhttps://www.lightspeed.com/active-trading-blog/traders-buy-rumor-sell-news/",0.3852
918,MVP! MVP!MASTERCARDVISAPAYPAL,0.0
919,on line sales doing much better than last year through black Friday load up on V and MA,0.6463
920,why is this dropping like a brick in a swimming pool?,0.3619
921,"ECPG (Encore Capital Group) has a P/E of 4.5, Fwd P/E of 3.45. The market cap is $1B, but the EV is over $4B. It's been making money, it's projected to make over $2/share when it reports on Feb 24th. Why is the short interest 11%? What am I missing with this stock (other than it doesn't pay a dividend)? $ECPG $JPM $GS $WFC $BAC $COF $DFS $V $MA $USB",-0.7449
922,Time to buy,0.1484
923,"Thanks to dementia Joe, we have gone from energy independent to now having gas shortages. Inflation is looming, and the markets are crashing. I can’t believe anyone actually voted for this clown.",0.8622
924,Stay home and spend. Get that MasterCard out and order on Amazon. :)),0.8514
925,MA MA Mia :),-0.308
926,"If they didn’t cut forecast, this would be up 6.00.",-0.0085
927,"40 cent per share dividend per quarter. I am long MA, but seriously have to ask, why even bother with such a poor dividend. MA should just hold the money for future growth.",0.0963
928,"Tons and tons of liquidity has been added to the economy by the fed and Congress, the government would almost have to fail before this stock would fail and at that point no one would be thinking much about money.",-0.8655
929,"anyone know what is going on? ma and v are two of the most stable stocks, but they're getting crushed this year",-0.4024
930,"MA & V remain on sale just days before Qtr earnings release next week.- Q4 is historically the dynamic duo’s top revenue and profit Qtr — given the fact of higher consumer spending and higher seasonal travel during Halloween , Thanksgiving and the holiday season!*** It’s time to buy into these discount level prices for significant gains going forward!",0.9706
931,what's going on here,-0.0179
932,"Good time to buy. Looking at the chart, we are under our 50 day simple moving average, with RSI of 43 which shows this is oversold. Good luck all!",0.9498
933,If you love $MA just like I do I created a video over on YouTube showing you the exact moments to buy with the highest returns and the least amount of risk.I can’t post a link so just search for my channel “Daniel Bragg” video titles “Don’t buy MasterCard stock until you watch this video....”Let me know what you think!!,0.9645
934,Profit taking today. Relax!,0.7685
935,70% ROE? Now that’s something you don’t see everyday..,0.6888
936,We will be taking out the old high soon. The company/stock in great shape and position. MA is a keeper. Hold it and forget it. No over analyzing on this one.,0.7043
937,Ram does Andrew Left pay well?,0.0421
938,MasterCard experiences more success in Asia.https://www.pymnts.com/news/2018/flipkart-first-in-asia-pacific-to-roll-out-mastercard-digital-enablement-services-for-merchants/,0.5494
939,"There ya go. Was wondering why this stock keeps climbing,without giving me a chance to buy back in on a dip. So I bought back in. Sold the farm. Now it dips. You're welcome.",0.8954
940,apple card is gonna be processed by MA y'all!,-0.2466
941,"I've owned the MVP trifecta for years and I must say that MA and V are getting left out in the cold right now. Neither is still anywhere near their respective highs prior to the March crash. Meanwhile, I've done great with Paypal but Square is really the place to be. Perhaps after a prolonged run, it might be time to rotate out of V and MA and into something else. The dividends are virtually non-existent anyway.",0.6069
942,MA 52-week high is $ 214.28.,-0.0201
943,I bought more at $147.30,-0.0068
944,Very low $300’s on the way. Here we come,-0.2635
945,"Barring any disruption, V and MA will be the next 2 companies to get to $500B in market cap. Wouldn't surprise me if they get to $1T over the next 7 years.",-0.8556
946,No upward momentum,-0.0585
947,"Like the saying, says ""buy on rumor, sell on news""And the news isn't going to be good for the next 2 quarters....",0.8478
948,"As a 19 year old UK investor, this is one of the best stocks I have found. I bought in at $195 and will be holding long term. Looking to buy Visa soon too but wary of a correction. Great stock",0.9046
949,Just read the ER. Fantastic numbers and the stock up about 4%. Contrast that with the Visa. That’s why I said on here many times why I dumped all my Visa into MasterCard. I owned them both and year over year MA always outpaced Visa. Finally had enough of that and put it all into MA.... and haven’t looked back since.,0.8622
950,$0.33 a share quarterly dividends is nicely divisible by 3. Previous split was 10 for 1 at $800 giving $80 shares. I'd bet that a 3 for 1 split happens in april.,0.8661
951,We are poised to break out. We all time high by Easter.,0.4184
952,"Well, in a bad Friday selloff MA survived the hit quite well. I got out of Microsoft and AMD but track my portfolio. My losses were around $2500 on MA, but still in the green for $800.00 for one week. AMD I would be down $15000 today and Microsoft down $5000. so all in all. I don't feel too bad.",-0.88
953,Here is how you make money in the market 1. think about the way the market should move then choose the other direction lol,0.5541
954,I think it will go lower because there are millions of transactions miss just with air travel and cruises and with all the sports cancellation.,-0.5466
955,Target raised to $370 from $320 at Susquehanna.,-0.0253
956,will this stock go down tomorrow when fed cut is out??,-0.4762
957,This should be $260+ after earnings. I can see this popping 10% after a fantastic earnings.,0.647
958,MA & V are among the greatest global businesses on the planet!*** This embrace of cryptocurrency processing on their platforms will be pure gold — by opening the door to trillions of facilitated transactions from merchants and consumers on all continents — for the dynamic duo!,0.7773
959,"Why David and Greg always not happy with MA, too greedy ppl",0.4337
960,https://seekingalpha.com/article/4335468-mastercard-exceptional-long-term-compounding-opportunity-insider-buying?v=1585775420&comments=show,0.0
961,Still waiting for MA and V to have there massive upside day! The day will come soon! Stay long and strong. Continue to add to the portfolio. Will pay off in the long run!!,0.9263
962,Why has this been down of late? You would have thought with banks killing it MA would be at new highs the last few days!,-0.8144
963,MA too good of a stock to sell off 3 days in a row. This will rally later today,0.4804
964,"10 bucks in 10 days, unbelieveable.",-0.0397
965,is it gonna be ok?,0.3083
966,Nice sell off.,0.4869
967,Markets up but it doesn't matter. Everyone is jumping ship.,0.3872
968,Hi (((ma))) anyone going into earning?,0.0044
969,MA to $380 by EOW............dilemna will be do I take some off the table!,-0.3021
970,Regeneron news out tonite the data looks fabulous,0.8196
971,I don't think the market makers will repeat the long squeeze pattern again today. I think they can not do it with Jackson Hole. Wait a few hours then see what will happen to the market. I guess index today will go up triple digits.,0.878
972,I hope you didn’t short this over the weekend.,-0.0011
973,"Can somebody Please turn off the sell programs, just for like 3 days in a row. Thanks",0.8075
974,Tomorrow Amex report.,0.1626
975,"I have a feeling that the block sales is subside now, I see some recovery of MA, I SEE IT IS COMING.",-0.0582
976,Two great days in a row. Let’s see what happens tomorrow and the rest of the week,0.8659
977,"Markets down we flop, markets up we go nowhere...why the resistance?",-0.3814
978,$AXP missed in earnings. Likely that is the reason for the dip below the overall market. $MA $V,-0.251
979,"I bought MA, the day after the IPO in May 2006. I'm up 4400 %. I am going to have to take this stock to the grave. Let my kids pay the Taxes !!!",0.2275
980,"Mastercard just sponsored the opening ceremony for the 2020 League of Legends World Championship in Shanghai, a reminder MA is coming to China in 2021.",0.3924
981,$155 tomorrow!,0.0775
982,this could be huge for MA and could be an easy way for china to show it is opening up its market for US companies.https://finance.yahoo.com/news/mastercard-says-plans-apply-china-054727917.html,0.734
983,"Can you imagine how many swipes ( in person or digitally) MA is going to be seeing Black Friday thru Sunday, could be record setting.",0.4512
984,Great numbers !,0.6588
985,105 next stop,-0.3031
986,It s going back up. Thank God !,0.708
987,The consensus was$1.89 and it came in at $1.96 Not too shoddy,0.0306
988,"Really, what is going on with MA ?Trying to make a sense of it.",-0.2048
989,"I'm still bullish on MA, $300 by the end of the year! ",-0.1283
990,320 is the next stop,-0.3166
991,Sold in May and buy in July,0.129
992,Economy is in deep trouble. Visa and Mastercard are telling you so.,-0.5606
993,In at $317.8531 a share......Road to wealth ...anyone can trade MA and V.,0.0929
994,"Wow! What a bargain here under $300. I don't think it will remain under $300 for too much longer, so load up while you can. Good luck all!",0.9352
995,Buy pullback in MA for huge gains!Mute the noise and buy the bargains!,0.591
996,MA is rocking today!!! Yeah!!!,0.391
997,How can this stock not be at $160+ right now? Makes no sense. Is it fully valued here?,0.4116
998,just recently upgraded from 285 high price to $310. I just bought 600 at the 277 level. Will hold and ride. to earnings.,0.8021
999,Time to take profit.,0.4578
1000,buy order in 225... cant wait.. hated to have to sell it when it hit my 320 target early in the year...,0.7588
1001,What happened here -AH it went up 4%,0.5321
1002,I bought this during its early November dip glad I did.,0.641
1003,Going back to $300 by end of next week,0.0524
1004,"BUY, BUY, BUY...…………..WEEEEEEEEEEEE",0.2595
1005,I find it incredible that every stock I own dropped big at exactly 2:04pm. I won 12 diversified stocks and everyone one dropped at that moment in time.Does anyone else see this in their portfolio?,0.8161
1006,Mastercard Joins Forces with Verifone and Global Payments to Enhance EMV ExperienceMastercard is joining forces with payments industry leaders to enhance and expedite the consumer checkout experience leveraging the company’s M/Chip Fast technology. M/Chip Fast prioritizes the parts of a transaction critical to security to speed chip checkout times.,0.8044
1007,Why the drop today... any insight?,-0.246
1008,"Load up now before it gets to $500 in a few years. Reminds me of $MA during its early IPO days. Wasn't following the market 12 years ago, so missed on that monster. Got in on the ground floor for $SQ as to not make the same mistake again.",0.4929
1009,I'll take a large pepperoni please!,0.3917
1010,"This just in, Folks have stopped using their credit cards and gone to all cash !! NOT.!!! This price drop is ridiculous now.",-0.5282
1011,MA has crossed over into the oversold zone!- Buy before Q4 earnings call for huge gains!,0.6452
1012,Buy the dip in MA!!!,0.2663
1013,good opportunity for buy!,0.7616
1014,"8 years from now, I'm buying a treat from some profit. Maybe a Porsche 911.",0.8496
1015,MA is breaking out!!! GO MA GO!!!,-0.7972
1016,What a terrible week for MA and V. Hopefully uptrend starts next week!! Two of the greatest companies of our future!!,0.7613
1017,$MA Upgraded by Bank of America Neutral » Buy USD 400,-0.2717
1018,"By tomorrow every thing will come back to normal, may be late today. It is non issue for the market. FUNDAMENTAL, COMES FIRST, THEN THE ECONOMIC OF US. THEN TECHNICAL. IT IS A MASS PSYCHOLOGY 101. LOL",-0.7631
1019,Beating revised down lowered estimates is not a big deal. The high price of the stock says its already baked in. I say it goes down or stays flat at best.,0.3057
1020,I think a bunch of Green Day’s ahead. Strong finish to the month of May. Keep longs going.,0.5383
1021,Steve last time MA split was a 10 for 1 split at 800,0.0856
1022,Sell it dead money bloated,-0.8008
1023,What about this threat to MA and V by Europe to come up with their own payment system to compete?,-0.2953
1024,Going to finish in the red watch.....,-0.3941
1025,Short Squeeze. this is going lower,-0.5788
1026,Have you noticed $ma always does a bit better than $v,0.5786
1027,Earnings date changed?,0.0812
1028,Wow not recovering at all today!,0.6681
1029,Who is selling MA into a rally?,-0.3346
1030,what the analyst say about the earning tomorrow,0.1549
1031,Let's take out the 52 week high! Let's go $400!!!,0.5887
1032,300 end of the year,-0.0585
1033,BUY any dip at opening bell for HUGE gains!!!- MA Earnings was a total blowout!,0.8359
1034,Will Close all time high tomorrow?,0.0854
1035,All time high in the works for this truly one of a kind FinTech. And we’re just getting started. :)),0.9082
1036,"Even after the recent sell off, MA is still extremely overvalued. I made eight times my money investing in MA from 2011 to 2018. I'm looking forward to buying it back, but not at existing valuations.",0.0083
1037,Stocks drop in Dec. profit takers. Wait for a great discount.,0.7812
1038,"Don't see any problem with MA! Bought 100 shares in 2007 at $47.00 per share, and it'll be a nice wedding gift for my daughter when she gets married ",0.9185
1039,MA is up 7.08% to 253.86,-0.08
1040,Looks like I’m going to be right. Not going under $200 again! Only up from here. Shout outs to the ones who bought around low!!!! Onward and upward from here! Kill it MA!!,-0.4944
1041,Buy USMJ before march,0.1498
1042,lot of folks pumping on here. I would sell half now and take some profits.,0.6257
1043,"I'm curious as to when the Network International IPO will happen. Very smart move by Mastercard to get in early. Reminds me of Visa investing in Square in 2011, before their IPO.",0.877
1044,"it is 2,15 pm ..did not see any rise in price here....Hellooooooooooooo...we were at $293 when it dropped to $259 ....how can this be a reliable investment..",0.0762
1045,Who Won't Pay Rent to MAC:21 Mar - 122 Mar - 223 Mar -1224 Mar -3925 Mar - 12326 Mar -31227 Mar - 34528 Mar - 45929 Mar - 612.....,0.4806
1046,Crazy selling but this happened yesterday with Microsoft.,-0.0069
1047,"Consumers still strong, retail blow out at Walmart.....all signals MA back over $280 next week.",0.4816
1048,buy on the dip,0.357
1049,Good report from Visa sends this higher.,0.6833
1050,time to reup :),0.4697
1051,Ah-- worries about foreign currency hit. That has a habit of reversing itself so the good fundamentals will win out. Buying opportunity.,0.8531
1052,On to $300. Big move upwards now to New Years.,0.651
1053,Which is better MA or V,0.183
1054,"Earlier in the year I was in and out of MA @ $220 with about a 12%+ gain in 60 days. However, MA strength surprised me and I went back in for 300 shares 7 days later after it had moved up to $230! Granted not a large holding, but MA has been on a tear since January 2019 when I started watching it / buying into it.. Since then I sold some calls trying to protect my gain and lower my cost basis but covering the first call at $260, added about $5 to my cost basis to get to the June 2020 $285's that were sporting a hefty $23 premium. I could not resist. My cost basis is now @ $220 but given how strong MA has since the beginning of Mar, perhaps I will have to roll them up again even though my break even point is now ~$310. Looking for some perspective from y'all who have been in MA for some time.. It looks like MA pressure is increasing to sustain this kind of momentum. I have loved the ""short 6 mo ride up but fearful about the bottom falling out. Whisper numbers indicates a very small surprise upside from the forecasted $1.82 and a forecast PT of $310 so my thought was that there was a great deal of upside to MA already built in and I was there already with my call for the top end and bottom side protection to ~$255. Thoughts?",0.99
1055,Down $7? Good I love a buying opportunity.,0.876
1056,usually 8-8:30 earnings call at 9am,0.2352
1057,Then it's better to get Bankruptcy in earning as it's going down in such a good earning results .,0.4156
1058,Anyone knows? Any update? Any guess? EPS?,0.4019
1059,Over $300!!!!!,-0.378
1060,Am I the only 1 loading up @ these levels. Hold & Buy on big dips.Accumulated over 500 shares now.,0.6229
1061,"V is embracing crypto, it's beyond debate that MA will follow suit.",0.0009
1062,Santa clause is coming to toooooooown,0.029
1063,Bellow 50MA WHATS NEXT???,-0.617
1064,Look what I said weeks ago and last week. Who said it was going under $220??? Looks like no chance of hitting those prices again! Here we go longs!! Short squeeze and back up to $280 by end of the week. Onslaught and up!! Yeeee hawww!,0.6725
1065,It got over bought on the vaccine news and is now giving some back on concerns over the huge second wave and how it will impact spending and employment. Put an order in @ $315-320.,0.7901
1066,Awesome breakout  MA was about time!,0.8451
1067,"This may hit around 350 by end of December. This stock is one of the best for long-term hold, but at the moment it’s heavily struggling. Even to come back to its pre-COVID price, 330, it will take it a few months.",0.1277
1068,"Just a blip on the radar brahs, move along...",0.4543
1069,MA reached an all time high at 235.13,0.0757
1070,What’s the price target on this now? 350?,0.1587
1071,Reading through the ER these are fantastic numbers and growth. We’ll see what the CC says but first blush this is a blockbuster ER. Congrats ASB !,0.9709
1072,"The Payoneer Digital Purchasing Mastercard streamlines the way SMBs use their earnings to invest back into growing their businesses, bringing value to digital marketplaces and platforms too.*** Ma is setting up it’s alliances that will allow its business to soar as the global economy opens!",0.8682
1073,I owned MA. I think to buy more MA and V. I am waiting for an entry point.,-0.4678
1074,Over $300 before the end of this month!,-0.1517
1075,Mastercard might be able to enter China with today's US-China deal. Cramer says buy!,0.6971
