,Recent headlines and conversations for UA,Polarity
1249,"Well, what did we think of Plank on Mad Money?",-0.1621
1250,"Not an investor but definitely smart timing. Right before holiday, everyone will forget!",0.8683
1251,can this really continue to grow at this rate??,0.2199
1252,The only people wearing under armour are little kids and older wanna be tough guys in their 60s,-0.1379
1253,I'm long as long gets. It will go up I travel all over the world and I see more and more ua . Mexico loves ua by the way . Mexico City airport looks like a ua store,0.9065
1254,BTW..... UAA cant keep the Curry 4 Magic on the shelves in China. On back order for 6 months.. thats in China. People blowing up social media trying to get a pair.. look it up. Short UAA please... youre gonna owe Ameritrade 100% of your current balance. Dummies,0.7355
1255,Just don't get it.......great 3rd quarter report etc etc. Someone on the inside knows something we don't know------as usual. How far get it drop today??? Sitting here watching and waiting to make a buy....,0.7598
1256,Supply chain disrupted due to corona virus. This is headed to below 15$. Time to back up the truck at below $15...,0.4479
1257,Covered my short yesterday near the lows then reshorted it at end of day on the reasons why I said I shorted it to begin with confirmed by investors day comments from CEO. Another restsiker reporter AH yesterday on GarageBand numbers and a huge miss in ref and earnings. Broke consumers living on credit will not buy UA products like many where think they will,0.7774
1258,"The press is on the Nike bandwagon, they don't even talk about the Nike. Oregon project or how China is boycotting Nike.",0.1503
1259,Their new 300$ shoes sold on out their website within minutes of opening wow wow wow,0.9337
1260,i SOLD my calls half position @200% profit and seems too early.,0.6561
1261,No sign of support in sight,0.1392
1262,"International Asia Market for UA - Check this out2016 Sales in Asia to date - $188MM2017 Sales in Asia to date - $309MM That is a 63.9% growth. Asia market for UA is such an untapped market that people don't even realize. Even if there is a small decline the next coming years in the US market, if you look at the Asian market 5 years from now let's say a conservative 50% increase in sales yoy which is def doable, you will get $2b+ in sales for 3 operating quarters. No doubt Curry will have a influence in China market for sales which will help contribute to the UA international bottom line. If you guys are ever in Asia, check out some UA retail stores but most importantly look at the kids playing basketball in China and what Jerseys they are wearing and who their favorite bball player is. Kobe is gone and kids love Curry. That's just a fact. US market will eventually pan itself out but it is the Asia market that eventually will be the money maker in the long run.",0.9838
1263,"And i was not a shorter, i thought this would happen but i cannot invest in something what is soooo ugly. Lululemon is the new thing here in europe also",-0.2791
1264,Sam Poser is a moron,-0.4939
1265,"Upgrades are so bogus with nothing to drive it.Every time I’ve seen these upgrades, or downgrades, the stock went exactly the opposite way.",0.366
1266,Glad I bought in pre earnings under $18. This is a good brand and UA continues to innovate. Long term hold.,0.9224
1267,they beat eps,0.2442
1268,"My family will never purchase any additional UA products. Plank is a grand standing idiot. If he thinks he is taking the moral high ground , then he is a fool.",0.3491
1269,WHERE DO YOU THINK UAA WILL STAND AFTER ER?,0.4161
1270,This company is still a mess! - Disastrous past 3 years in relation to earning calls - Strip club scandal(s) - Executives leaving/getting fired - Ugly shoe line that is not improving,-0.8603
1271,37 FPE with a PEG 2.33...this thing still has some down side!,-0.32
1272,Kevin Plank will NEVER do it. He won't invest in a money losing proposition like UA. He has made his money from it and is now running it into the ground.,0.4944
1273,Aeropostale part 2,0.0247
1274,Boycott Nike. Buy Under Armour.,-0.2543
1275,NKE has obviously helped UAA,0.0262
1276,"I think that Q1 is going to show some good sales, last 4 were good as well,",0.8097
1277,earnings season UA good for 11 bux,0.5387
1278,lol spending shareholder money to let it rain at strip clubs. no wonder the stock price is so low,0.1326
1279,The earnings are quite great?! Expected -600Mio and it was just -150Mio. That‘s quite an outlook for the next quarters and years to come. ,0.1847
1280,Curry 4 Shoes seem to be selling well.,0.2506
1281,Every time I think about buying this a buffet quote comes to mind. Be greedy when others are fearful. Think I’m gonna add to my positions today.,0.2379
1282,"ALL EYES ON ME.......PLEASE VOTE ON THIS PROPOSAL.VOTE ""THUMBS UP"" IF YOU WANT KEVIN PLANK FIRED.THANKS FOR VOTING.",0.5885
1283,The cowardice displayed by the UA CEO in abandoning Americans and President Trump like a pathetic coward - - - made me liquidate my team's 26000 newly purchased shares. Under Armour is now uninvestable until and Kevin Plank is gone.Plank is a detestable girlie man...horrible human being. I wouldn't want him associating with anyone in my family. President Trump should find a way to punish him further.,-0.8117
1284,"LOL! Another article from Motley Fool. These guys are complete clowns. They are continuing to double down on that stupid short bet. Sending their renders into losing their money. Hey Motley Idiots, this stock already has a 27% short float. You're about to get bagged!",0.4506
1285,"UAA discloses cv will have negative impact on earnings, fall big. They don’t have near the exposure oversees which has hurt them. Nike on the other hand discloses nothing about cv impact, has huge exposure overseas and goes up, crazy",0.0363
1286,UA cleated featured in super bowl ... that is good Plank!,0.778
1287,"Can someone please explain the following:Respectfully kneeling as a peaceful protest to the well documented problem of police brutality = Traitor.Trump insulting gold star parents, bashing and disrespecting a war hero (McCain) and selling us out to the Russians = Making America Great Again.Something is terribly wrong here?",-0.8465
1288,uaa back to 22 next week,0.084
1289,In the end the people who stand with trump will get the last laugh,0.5146
1290,I see this reaching $7 soon,0.223
1291,"UAA at $18.68??... it's time to BUY (I'm not kidding). Don't listen to the idiot-""analysts"" who say otherwise. UA is still growing 9% (much higher than Nike), and on a price to sales basis, UA is 70% cheaper than Nike, and 20% cheaper than Adidas! BUY now, you'll be up 80% a year or so from now.",0.9087
1292,I think UA blows out revenue numbers. All I see is UA apparel at my gym in one of the middle country red states.,0.479
1293,"Here's the thing with UA, it might drift lower until it performs better, but once any minor turnaround or positive news or upgrades hit, it will pop 20-30% due to being a big name. Personally I think they should move out of shoes and focus on clothing. I am seeing it everywhere from the gym, to high school games, to pro games, to kids and think they have a strong product. Time will tell. Long 1600 shares @ 15.98 purchase price.",0.9882
1294,New HOVRs just released today!,0.3315
1295,2020-11-02 Wedbush Christopher Svezia Maintains Neutral Raises from 10.0000 to 13.00002020-11-02 Stifel Jim Duffy Upgrades HoldBuy Raises from 11.0000 to 17.00002020-11-02 KeyBanc Edward Yruma Maintains Overweight Raises from 16.0000 to 17.0000,0.0083
1296,anyone surprised this is rallying the day after Plank is #$%$ off his athletics about his Trump comment,0.4308
1297,"Make better shoes! I compare hiking boots, court shoes and urban hikers to Danner, Nike, Columbia and Merrel. All 4 are much better than UA. Hire a couple of experts from these companies. Over pay if you have to. If they don't turn the product around, get new experts. This can be done.",0.9021
1298,"As a publicly traded company, wouldn't UA have been required to disclose the probe when it first started over 2 years ago? Or did they and the news is just resurfacing? Can't claim to know anything about disclosure requirements, but I'd be very surprised if it's optional especially given it's a federal investigation as opposed to some he said she said civil claim.",-0.1461
1299,I took some pictures from Macys - very messy UA section and Addidas already encroachs in,0.0527
1300,"inventory gonna be the key, along with guidance. good luck longs , I'll cover around 12.40",0.6115
1301,"So let me get this straight. Stock is up because KP told Crammmer that he has been ignoring the company for years. That's like saying we had a huge fire but it wasn't as bad as the news made it out to be. OMG, longs are desperate.",0.5907
1302,Have you guys noticed this stock went up in June and July every year since its IPO?,0.6683
1303,UA needs to penetrate the European and Asian markets to get back on track. The way to do this is with a major sponsorship of a soccer team.,0.078
1304,"And hiring all these newbees, just putting em further in debt!!",-0.4003
1305,I think we will see 17$ today...solid quarterly earnings. Lets do it!,0.1238
1306,"I correct myself, nike does make boots, but I dont know anyone who owns them.",0.3794
1307,That’s what they get for hiding it. It’s a broken company now. This is “do not touch”,-0.5103
1308,Investments and analyzing retail is my business. I am good at it. UA has the best brand name recognition of anyretail product. My wife worked as a manager in the highest grossing store they have. This company should be shamed for the way it is managed top (Kevin Plank) down. It is squandering opportunities at a precious time in a retail company'sdevelopment.,0.9252
1309,John did you short this stock so low?.. why did you do that man?!..,-0.3341
1310,"q4 could be worst see this crashingbelow $7 a share ,",-0.4222
1311,5 years from now UAA will either be at minimal double what it is trading now or zero. I'm betting on at least a double.,0.631
1312,Now the libtards want to discriminate against strippers! Sickening.,-0.6563
1313,AH up 20% what is the news????,0.6679
1314,"Sky is falling? Typical bashing when people should be accumulating UAA! The real investors know the truth. Free paid media news is not really free. You follow them, you are enriching somebody but not yourself.",0.84
1315,whats the difference between UA and UAA??,-0.1113
1316,bought so much average down to 15.55,-0.123
1317,Real stock value is actually projected at a high of $15,0.625
1318,dismal sales to crash under armour,-0.788
1319,You're a absolute fool if you think Under Armour is going anywhere. Theres a reason Nike hasnt bought UAA... its because they cant you fools! They cant get the shares! Plank and the board are quietly accumulating their stock back and in 24 months UAA will be so expensive youll puke. Dont be a dead money fool...use your brain. Nobodys buying Under Armour... Pfffff as if! Biggest lie ive ever heard,0.5597
1320,"SOLD! There just isnt anything positive going on with this company. Order 3 things from their web site and it comes in 3 different shipments. The web site has more different items than Ebay, their best selling items probably sell less than 100. They dont have their logistics in order at all. I do see people wearing their clothing, and I like everything I have from them, but that doesnt mean the stock is a good buy. I just dont see anything positive here and dont see that Monday's earnings report is going to be anything but completely horrible with no light at the end of this never ending tunnel of doom other than an oncoming train if you are so unfortunate to own the common.",0.9627
1321,"when is earnings date, I thought it was today pre market",0.3505
1322,UA is down 10.07% to 6.70,-0.2462
1323,"the report is not good but people are still buying,",0.6759
1324,Why are Class C shares trading at a price a few dollars lower than regular UA shares? Seems like those of us who owned UA pre-split are screwed. The Class C share price does not seem to move at all?,0.7883
1325,Careful ppl...... Analysts Bearish sentiment on UA still Extremely high,-0.5164
1326,This stock is in no-mans land... wouldn't touch it till at least summer '18.,0.247
1327,It all goes back to Steph Curry's injury! LOL,0.2921
1328,I just wonder how much stock is Stephen Curry broker buying today ?,0.4987
1329,Dumped all as I can ... wont be trapped when it falls to $13 again,0.0607
1330,Ua going down with all the other spoiled athletes. Just watch steph curry just gave his middle finger to america. He shoots a basketball. He is a nothing,0.5692
1331,They will do ok not great,0.7522
1332,"Hey again guys... this caught my eye again since it's so down today... should I go back to shorting this garbage? Was a nice profit last time around ,)",0.8606
1333,overvalued i think for now. LT not sure,-0.055
1334,Will be RED soon what happened?,-0.4394
1335,OMG THIS IS EN FUEGO!!!! ONLY $44 A SHARE OFF ITS HIGH!!! BACK UP THE TRUCK!!! HOUSTON WE ARE READY FOR LIFTOFF!!!,0.9785
1336,shorties put in some work today. good luck tomorrow all,0.7653
1337,Soon $22,0.0011
1338,I went in the White House with nothing I came out a multi millionaire. Clintons,0.2975
1339,Why are we up today??,0.3955
1340,UA have a spike surprise. buy buy buy. can u smell what the UA is cooking. I could.. ,0.5896
1341,$9 stock,0.1899
1342,"AFTER WHATS BEING SAID , UAA NEEDS TO GET A M&A DEAL, OR SIMPLY BOT. TAKES CARE OF THE SHORTS TAKES CARE OF THE SPACE SUIT IDIOT MAYBE WE GET $22 or a Macy's stock",0.913
1343,The stock price has been awful the past few months but showing some small strength lately. It has lost its way but still has some branding power with Tom Brady and others. I am staying with it. It would be a good fit for LULU and at a cheap price.,0.9783
1344,I just need to see 20-21 and hopefully ER keeps momo going higher.,0.8041
1345,"i like how uaa is green today, of all the days",0.4191
1346,Nice Report. Expectations were so low. Need to do this again in current quarter. Results continue to improve. Credibility is restored. Valuation continues to improve. Traders want momentum up - and down. They have short term memories and have already put the fall mess in the rearview. Shorts will be covering at the open and should drive higher.,0.7165
1347,UAA reached a 52 Week high at 23.47,0.3561
1348,"$10.73 once, i think we should sue BOA ANALysts",-0.015
1349,I think earnings come out next week...best guess on how much UAA is down for the quarter?,0.2045
1350,Just Lost All Respect for this company.....taking co-workers and others to strip clubs with the company money.....WOW....beyond tacky and a waste of investors monies,-0.0145
1351,A few large share price upgrades and UA crawls along the bottom of its earnings bounce. Majority of those buying this are the ones who believe the upgrades. I do not. Please show me anything in global data or in the US that shows robust strength. Consumers more tapped out on debt that ever and are pulling in on credit card use with higher int rates. Someone is selling you the shares you are eager to buy. Ask yourself who? I'm on my 2nd short in UA since the earning bounce.It isn't moving higher for a reason. Smarter $ selling you the shares you want.,0.975
1352,Next resistance is at 21.75 aprox,-0.0459
1353,"buy on any weakness, the trend is changing on the stock, we will keep going higher and higher, my next target is $23-24 range.",0.5139
1354,only g ays and school teachers wear under armour,0.1315
1355,buy it under $10. it's not worth $14 or $15,0.3333
1356,"Don't really understand how such a good product does so poorly as far as pps, maybe time to change up the management team or stop paying so much for endorsements. I know in my sons high school they have dropped Nike and gone with ua. I see ua everywhere so it's selling but can't tell by their stock",0.7076
1357,"The 3 day EMA crossed the 8. Good sign for an increase now,",0.7809
1358,"#UA closing 2000-3000 retail doors. Not 200-300, but 2-3k doors.....do your own due diligence.",0.411
1359,"Really 20,s hmmmMay be few months down..",0.0277
1360,"UA are too tight, too slow and don't want to expand there product rapidly. It's not even worldwide as far as getting their apparel out there to be bought. It is not at full capacity. Wish the big dogs at UA would move it. The name UA sells itself.",0.9478
1361,"This company’s future is in the hands of future ownership. Also, shoes that aren’t ugly as sin will help.",-0.3418
1362,"what's the difference between ua and uaa, votes?",-0.0191
1363,bought more!,0.0
1364,There is around $1 billion dollars that still has to cover. Any added buying pressure is really going to lift the stock. Guys like Sam Poser are going to cover in the 20's and lose their firms tons of money. I think he needs to be avoid talking about fashion/apparel/sports.,0.3281
1365,"70% of their sales now go thru discounters, no one wants it",0.0298
1366,"My prediction: UA will beat expections by a lot, but the stock will still go down and John will still call UA garbage",-0.2068
1367,Well darn it again. I am so good at consistently buying at the worst possible time. There must be a way to make money on this,0.7405
1368,List of SOME UA Athletes:1) Tom Brady2) Julio Jones3) Cam Newton4) Bryce Harper5) Clayton Kershaw6) Aaron Judge7) Steph Curry8) Jordan Spieth9) Michael Phelps10) The Rock,0.7738
1369,"Push It, Push it....",-0.073
1370,Definitely something shady going on. Just looking at the numbers. Look at the net income and compare it to their peers. They are definitely hiding money to save on taxes.,0.7621
1371,$8-$11 stock,0.1899
1372,I bought three UA hoodies over the weekend. I thought the styling and fabrics were much better than the other brands. Now I am considering the stock.,0.6672
1373,"I don't know about you but the gym I go to people only wear UA & Nike. Adidas is scarce. Honestly IMO Under Armour used to be an ugly brand with no big athletes wearing it. Now I regard UA as one of the best, if not my favorite, brand. I think peoples perceptions are being changed about the brand and people are loading up on Under Armour. Also, I'm 25 years old just an FYI.",0.9723
1374,Kohl's - discount clothes & discount stocks.,0.287
1375,WS recognizes that the game is played by companies that know how to make money.,0.4465
1376,open bid below $9 on Wednesday get ready for ascary scary crash crash below $9 opening below $9,-0.8685
1377,"Steph curry endorsement, upgrades from JP Morgan, good earnings momentum. AU stock price flat. What gives. I’m waiting to unload.",0.769
1378,Kevin plank is confident...he hasn't bought a single share. Z,-0.1834
1379,"earnings obviously will not beat. or maybe they will but not by much. guidance will probably be good, with dropping ucla and cal. that's a huge savings. Their online ordering system is getting better, however the shipping is terrible. Turn around time for online returns, extremely terrible. it took me 1 month to get credit for a return. They should concentrate more online ordering platform instead of in store purchases, like department stores. save money on inventory and on shipping. We might be in this epidemic situation for many years.",0.9671
1380,UA will be Hot during holiday season.They shake you out first with bad news after exaggerated Bad News....Fear Fear Fear....By January Nothing but UPSIDE SURPRISE......so people jump on the bandwagon for the next Gold Rush.We are dealing w human Greed and Fear.,-0.4812
1381,UA currently has a market cap of approximately 1/18th of NIKE yet UA's stock price per earnings is not even double that of NIKE...I'm holding and buying the dips.,0.6795
1382,"HERE IS THIER PROBLEM THIER STUFF IS NOT COOL ANYMORE,ALOT OF PEOPLE DON'T WANT TO WEAR THIERSTUFF",0.0517
1383,Under Armour is up 5.30% to 16.85,0.1223
1384,Down $100 k on this stock. Never in my life could predict I'd get crushed this badly. The pain I'm feeling is just miserable. Praying this company does something to turn it around or issue a statement.... something,-0.7607
1385,Wow.. tanking.. head fake. .,-0.5627
1386,"Up here in the great north , I am biking a lot and so many bikers , joggers whomever are wearing Under Armour, this is nothing new but at least now they are not buying it in discount stores. Give UA a few more years and UA stock price will be looking like Nike or Lululemon. ,",0.9334
1387,They should produce some watches ... like garmin. The HOVR is amazing,0.7976
1388,Welcome to the new reebok...at least let got a billion from it...hasnt rebought a single share,0.7016
1389,Up $4-$5 tomorrow,0.1885
1390,How about a nice pull back opportunity? Anything below 32 a share seems like a steal heading into the holiday season for me.,0.8514
1391,"On Monday night, Curry took 11 three-point shots in a game against the Philadelphia 76ers. He missed all of them. It’s only the fourth time in NBA history that a player has gone 0-11 or worse from three-point range in a single game, according to ESPN.",-0.6574
1392,Earnings will be the end of the teens for this stock .,0.0339
1393,"Stephen Curry will drop UA soon and go for Nike or Adidas. No athlete wants to be a part of a failing brand, or at least a failing stock. Think of how much money Steph has lost from this deal. The stock depreciation took away a good chunk of the money he made from the contract deal. Once he drops UA it is likely others will follow suit. Steph can no longer save the UA brand.",-0.5539
1394,Why is this company losing money?? LOL,0.4201
1395,"4Mvp, is 8 comment in 20 minutes really necessary. This is a conversation board, not somewhere you hang out when your bored.",0.4677
1396,Risk Reward 2 up 10 downYou decide Lmao,0.822
1397,"Relax people - the company isn't dead or dying, they just aren't the same upward tear they were before.. You'll be fine. Just hold long term..",0.9185
1398,"No doubt the shyster lawyers will jump all over this. There will be class action lawsuits. At the end of the day, shareholders will lose more.",-0.854
1399,Hey guys that was not a great report. the accountants tried their best to make things look good. All they have done is spent more money to achieve a greater loss.,0.9427
1400,"NKE's market cap is reaching 100B, ADDYY 43B and LULU 10B.UA is just 5,6BI don't think UA will be the next NKE, but it makes sense that 5-10 years from now UA can be at least a 20B company, mainly due to international growth.That's a x4 investment.Rough numbers but just buy and hold :)",0.8704
1401,"better earnings, less expenses, less taxes...I think it's a good outlook",0.6936
1402,Growing revenue and profits year over year with a PE in the 40s...... seems undervalued to me.,0.6417
1403,Is UA Fkd?,0.0
1404,Upgrades coming....retail coming back...load up!,0.3036
1405,"Under Armour stock is GOING TO ZERO. EVERY WEEK IS ANOTHER NEW 52 WEEK LOW.KEVIN PLANK IS THE ABSOLUTE WORST CEO EVER!!!!!PLEASE RESIGN KEVIN, BEFORE YOU DESTROY WHAT IS LEFT OF THIS COMPANY'S MARKET VALUE.",-0.4472
1406,"Not sure if Richard knows what he is talking about. I go to the gym and see people of all ages wearing UA gear. I see it all over equipment and uniforms while watching the tube. The one thing I have noticed, I don't see many women wearing the UA logo. I think they need to get into soccer more so they can get more into the Euro and Africa.",0.8856
1407,"This is Extremely OVERSOLD. The stores are doing GREAT. The brand is GREAT. It will rebound to $20's soon. Remember, HOLIDAY SHOPPING SEASONS are ongoing and GOOD for UA. Long and Strong!",0.9849
1408,Wondering if UA getting out of the College Area?,0.1371
1409,2.5 year old issue. old news with no effects on current or forward earnings or cash flow.,-0.0127
1410,doesn't Under Armour have a new contract with MLB that starts in 2020?,-0.1834
1411,Lol nice I keep adding shares to Uaa love this one long,0.9471
1412,Under armor is done,-0.1391
1413,https://www.cnbc.com/2018/02/13/under-armour-just-had-one-of-its-best-days-ever-but-we-wouldnt-touch-it-with-a-10-foot-pole-says-trader.html?__source=yahoo%7Cfinance%7Cheadline%7Cstory%7C&par=yahoo&yptr=yahoo,0.0
1414,"Lol mike, you are a fat loser. I see now you are desperate by posting old articles from last year to prove your point. Lololol",0.0145
1415,my only regret is. i did not buy more,-0.1347
1416,"Who in godsname would wear those colors, those yankees from under armour should work with the american flag! Those are the best sold colors worldwide, but no lets use yellow the ugliest yellow ever",-0.7252
1417,"why pay so much for clothes with logos. there are alot of great clothes out there at reasonable prices without logos. Nike, under armour and the other popular brands are overpriced. I wonder what a under armour or Nike shirt or shoes would retail for if there were no logos on them?",0.8481
1418,just muted john and the last 100 posts disappeared,0.3071
1419,Under Armour is selling at 75x forward earnings. Looks expensive especially with Nike doing more direct sales and increasing market share-,0.5261
1420,"Entered the June 1st exp 16.5 calls @ $1.25 , feels like a solid entry , asset was at $17.30 . Only paying about $50 in premium. Will keep my stop loss around $.85 , any other active option traders with an opinion?",0.8396
1421,"UAA is down .56 on 66.000 shares in AH. It looks like some folks smarter than Gshaun and Martin, know how to make money on this dog.",0.8715
1422,"He said, He is going to be like Jeff Bezos. That case $1,000/share",0.5747
1423,Under Armour is up 4.92% to 18.67,0.1223
1424,Under Armour: No Basis For Accounting Probe Fears $UAA https://seekingalpha.com/article/4307830,-0.8328
1425,WHER DO U GUYZ THINK UAA WILL STAND AFTER ER????,-0.2519
1426,Nike earnings a bit soft-see how this hits UA tomorrow,0.1072
1427,UA new line of clothing to be called - poverty sporting performance wear,-0.3344
1428,"SELL ALL US STOCKS AT THESE INSANE VALUATIONS, PEAKED PRICES!More FAKE recovery hopes and Money Printing TO PUMP The Stock Prices to new record prices! NOBODY CARES ABOUT ABSURD VALUATIONS, and COLLAPSING ECONOMY!The US Government is Printing Money and PUMPING the Stock prices Artificially, despite Collapsing Economy, Spreading Pandemic Coronavirus, Huge Corporate Loss, Skyrocketing Corporate and National Debt, Skyrocketing Unemployment, Parabolically rising inflation, Absurd stock Valuation, and the Cold War between the US and the Rest of the World.US Stocks must be DOWN by 90% from their current ABSURD levels.Look at the US Stock Valuation Multiples!!! Check out P/S, P/B, P/E, P/CF, D/E and other Ratios. US Stock Market is a COMPLETE SCAM! You see how easily they are PUMPING the Stock prices on FAKE Speculations, but they don't let the stock prices to go down on TERRIBLE DATA and FACTS!Even BANKRUPT Boeing, Cruise and Airline stocks are getting PUMPED like crazy!It is all about PUMPING the US Stock prices and quick and Free Capital Gains!American made Coronavirus was a tool to make quick and massive Capital gains in the US Stock Casino!I am up $50 Million today alone! Valuations are INSANE!NO NEED TO WORK! Only fools would work, while there is a FREE MONEY GIVEAWAY in the US Stock Market!Ignore COLLAPSING ECONOMY! It is all about Quick and FREE CAPITAL Gains through Artificial Stock PUMPING!Sell your home, furniture and food, buy random stocks in the US Stock Market and you will be a BILLIONAIRE in a few days!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP",0.9792
1429,Dive!Dive!Dive!,0.0
1430,Wow.. down down down..,-0.4463
1431,They should rename this stock Under Water.,0.1988
1432,UAA have no money to pay salary dude?,-0.2241
1433,Why?,0.0413
1434,https://www.underarmour.com/en-us/mens-ua-hovr-phantom-connected-running-shoes/pid3000004-002,0.0
1435,UAA is up 7.64% to 10.43,0.1818
1436,"Open letter to Under wAre longs. STOP using sleazy marketing tactics to sell your Chinese junk to kids. Your junk is the same as all the other Chinese junk. As is the case with all junk dealers, you try all sorts of branding tricks to mesmerize kids into buying your junk. You try to make them feel inferior if the buy the competitors' junk, and superior if they buy your junk.Stop it. Stop the brain swizzling and targeted ads. You know that kids are impressionable, and impressionable is the only tool you have to sell your junk. Stop it.",-0.7795
1437,Before 12-12-2018 UAA above 25 $,0.3511
1438,Plank selling rest of his shares!,0.7803
1439,17.2-18 today - IMO,0.2868
1440,Going to $31,-0.0046
1441,Going to close strong. Could see 23.50-24.00. Ive been right on this one. Sell now at your own risk.,0.5563
1442,Law firm investigation of UA’s board of Directors,0.4833
1443,"Stock upsideWall Street doesn’t see a further upside to Under Armour stock or for any of its close competitors. UAA stock is, in fact, projected to fall 31% over the next 12 months. Nike, Lululemon, and Columbia Sportswear are expected to fall 10%, 4%, and 3%, respectively, over the next 12 months.",0.5066
1444,Another upgrade this morning from Cowan & Co.,0.3386
1445,"Vraiphil is full of itHoe about oil company shares or bank, way worse. They are all the same",0.0644
1446,This increase is well overdue. Can see it hitting $17 soon,0.3831
1447,"Cutting to get to profitability made sense. Finally beating expectations that had previously been re-stated down 3x is not worth throwing a parade. It only shows that they are figuring out how to do IR correctly. Now they have to figure out how to invest to grow, something they haven't done in roughly 3 years. With Frisk standing firmly on the investment switch, it'll be a challenge but something they will eventually have to do for any real growth. Interesting to watch develop over next 4 quarters or so.",0.9065
1448,"good to see incompetent executives leave. now its plank's turn to sell UA to Amazon so he can go back to play moon shinning and motel 6. UA is a great brand, it deserves better than ""i lost focus"" after dropping more than 50% value",0.9264
1449,"Though not an investor in UA, just thought you all may be interested that the company's products are making inroads among Brazilians (I live in Bz half the year). The Bzn market is huge and they have plenty of $$ to spend on fashion (capital of plastic surgery). I think it is just the beginning of things down here.",0.794
1450,People who workout for the most part are independent thinkers not brainwashed by the media brainwashing and race baiting. I see everyone at my gym wearing UA products and the stores are packed is all the research I need. Spring is here and people are flocking back to gyms at record levels driving sales. UA is eating Nikes Lunch WE KNOW,0.8842
1451,"The writing has been on the wall for a few quarters...poor strategy and leadership along with poor product has driven this once star into the ground. As I have said before, when is the BOD and C-level team going to be held accountable? They literally have made the wrong decision at every turn over the past 10 quarters.",0.4278
1452,Revenue beat but at the expense of lower margins.,-0.5068
1453,Sell now .... Don't be left holding the Bag ..... Sound Familiar ?,-0.3517
1454,"Revenue estimates at 1.13B are too low. This is under Q3 of 2019 and look at what happened with LULU, DKS, and NKE sales. All tanked in 2nd quarter with a huge rebound 3rd quarter. Trying to value this off earnings, when negative or close to 0 is a fool's mistake. NKE trades 4x sales, LULU 10x sales, UA 1x sales.",-0.2291
1455,"Now that we have settled with the SEC and cleaned our books from prior torment, expect record earnings. Nike and Adidas ain't got nothing on $UA. $UA has already taken some market-share. Expect record earnings.",0.6724
1456,To everyone who is saying that no one wears under armour and that theyre second tear need to understand that it doesnt need to beat or get near nike or adidas for you to make money lol,0.8515
1457,"Well we have tim coppens on who can elevate the brand, and the rock. Lets have a former wwf wrestler design his collection haha what a joke!",0.9237
1458,All it will take for this stock to be trading in the $35-$50 range is one upgrade and the next earnings beat in August. This thing will be flying!!,0.6422
1459,Lots of discounts out there at retail for UA.. North America still stagnate?? Will Frisk's plan ever take hold or is doubt creeping in? My guess is Larose (MD for NA) is the next exec thrown overboard by Frisk and his internal followers.They've been finding ways to rid exec payroll since he got there in 2017 for both cost savings as well as new blood that are more his team vs Plank.,0.7194
1460,The new look for Yahoo Finance is awful! PLEASE bring back the old one.,0.4599
1461,F plank take care of your wallet,0.6559
1462,Misty Copeland released....highly paid to bad mouth UA...good riddance...,-0.5516
1463,"let's hope for a beat and strong guidance otherwise, it's down a few bucks",0.7455
1464,UAA is up 11.24% to 11.58,0.1818
1465,WHY IS THERE UA AND UAA,0.1664
1466,I did sell most of my calls.. Just kept few in case of breakout to 27-29 in next 5 weeks.,0.7618
1467,Thoughts on earnings? Tuesday morning right?,0.2051
1468,UAA is down 15.17% to 9.17,-0.2462
1469,Pre-market looks nice,0.4722
1470,write $16.5 put is better,0.5667
1471,"Mr. Kevin A. Plank Chairman, CEO & Founder simply is useless. If this company is to survive, this man has to go. If this step is not taken immediately you will surely see after some sideways movement at this new level, 9 to 10 share as the next stop. If you think there is a 37 million plus short out there for nothing on this name, just take a look at the chart and you will perfectly understand. As the year comes to an end no one will want to own this name so pressure will continue.",0.9322
1472,Sometimes we can OVER think the market... forget about Kohls/DSW and all the above! The brand has their #1 Guy and their #1 product on prime time TV in a rubber match against the #1 player in the world! And UA is up. Not a lot to think about! ,0.596
1473,Currys vs jordans..anyone?,-0.061
1474,Big bounce. 10m miss. Peanuts to a blue chip retailer. Int’l sales fab. Up up and gone.,0.7349
1475,Manipulation at it's best.,0.4541
1476,OK. Morgan Stanley didn't do very well on the research analyst and used a wrong statement against Under Armour! I don't care Nike because i love Under Armour the unique's design for better athlete sportswear. The shirts and pants and shoes make me feel special.,0.843
1477,13B down to 5B. How long it will get back to 13B. Take your $$$ out and put it somewhere else.,0.446
