,Recent headlines and conversations for CSCO,Polarity
780,joe's nasdaq is awesome they're calling joe the tech wrecker he's a career failure,0.6756
781,"Your Presidents Office at 35,000 Feet.",0.2841
782,The King of Debtwho am I?,-0.0468
783,Bidet is friend to coyotes and drug dealersas well as chinahere comes the fentanyl again,0.7764
784,"My Dad went to Normandy, France.... landed on the beach there to fight what the gop is today.....",0.0057
785,"Economy on life support under a demtard potus, can't survive without 0% interest rates.",0.6735
786,"Hey Joe, the stock market needs to go up not down. Hahaha.",0.8661
787,"MASA, serious question, what do you do for a living?",-0.0304
788,Tech struggling again Joe is a career failure Nothing more,-0.1839
789,mares your guy won now you can quit posting here and pretending you invest go back to playing the race card maga,0.8308
790,HEY MARES SNIBBLE SNIBBLE PORKY!!!,0.3902
791,Demtard post disappearing faster than home bois after deys loot a Nike outlet Snicker,0.1408
792,Don't think it is going out for a while Mares. Double IO overhaul is going to take awhile. Lake is kinda slushy anyways.,0.4183
793,"S&P, Russell 2K and Nasdaq close Green. Covid relief on the way!",0.5216
794,Dementia Joe told North Korea We have nukes North Korea said we have stairs Snicker,0.8985
795,Kevin McCarthy: Mitch McConnell has 29% approval because Americans 'do not want these socialist ideas',0.5699
796,"Mares, you should put the Paul ID back in the drawer. Paul ID is in the single digit IQ category.",0.8669
797,one demtard that worked on joe's campaign said she promised thousands of broke demtards a 2000.00 check now joe can't deliver broke demtard trash across the country are fuming,0.2789
798,Dat be duh true Or something like thatLets talk about stocks now,0.7928
799,"this is a sad outfit that has devolved into being the KMart of digital/hardware/software innovation ... layers of team leads reporting to section managers reporting to category managers reporting to AVPs reporting to VPs, yada yada yada ... revenue/employee is a joke ... hold for the dividend and thats it, if it breaks $55 within the next 6 months i will be thrilled ... Chuck Robbins is a magna #$%$ laude graduate of the Mitch McConnel School of Excitement and wont take this org anywhere but sideways ... every portfolio needs one vanilla ice cream and this is mine",0.9375
800,Nothing but bagholders in Byedungs economy,-0.246
801,Facts have no merit in Libtird World. Lol,0.5079
802,Joe is triumphant.Donny is defeated.This is reality.,0.458
803,Buy in at 42.,0.0876
804,My TSLA short is doing well.,-0.2291
805,mares wondering how much GME he can buy if he lays off the ripple for a week..hmmmm,0.4063
806,Fled Cruz of TexasNew name.,0.1264
807,make America great,0.6315
808,Joe created jobs Roflmao Joke of the year,0.8864
809,I hope Nike has enough inventory for the peaceful Kenosha protest Lmao,0.8378
810,"So, to fight global warming, we need to transition to solar energy. But how do solar panels work under 12 feet of snow, demtards?",0.6677
811,Joe has opened the borders to allow all sorts of radical Islamists in our country. Yet you demtards want to defund law enforcement?,0.7851
812,Upgraded to Overweight at JPMorgan. Price target raised from $50 to $55.,-0.1207
813,Mars pretends to be a landowner. Hahahhaa,-0.1017
814,Nunes says Newsom recall in California has good chance when 'left starts eating their own',0.472
815,Did Joe wipe out student debt like he promised?,0.7903
816,Sold Cisco after several years. Never moves much but always goes down on earning .I finally got out with a small profit after being down since I bought it.,0.5387
817,will that 1400.00 be deducted from my reparations check ???? thanks,0.5021
818,Who said I wouldn’t short the nasdaq ??Lmao We’re down 400 points since the demtard made that great call,0.702
819,Higher gas prices basically eats away at the stimmy checks.,0.2326
820,"‘I love the Saudis’: said the Florida fella, ""they give me millions of $$""He even bragged to Woodward how he ""saved"" the Saudi Prince, defended him against US intel...The Saudi Prince has bragged of having Jared in his pocket, too.",0.7748
821,She be TAP Dancing?,-0.3133
822,What do you know...the Y*who Nzes already de_le_ ted my postabout Boss ton can_selling an add vance class....too many W-Hites...knot enough Non's W'hs,0.4446
823,"Ossoff believes he has won too, gives victory speech.",0.8243
824,"Sen. Bernie Sanders told Axios on Tuesday he’s consulted with the White House about how to prepare for the next round of spending, and he's ready to do it immediately via reconciliation — a process he controls as chair of the Senate Budget Committee.",-0.1029
825,Nasdaq down 10% in two weeks Winning Lmao,0.7336
826,You be enjoy postin to yousef again las nite Mares? HUH?,0.7631
827,Gas has gone up sixty cents at the pumps. Wait till the bill comes for the fiasco at the border!!! We have a fool in the WH.,-0.7306
828,"It was the Windmills........lol.....as Minnesota, Norway, Canada, Iceland, Sweden have no problems. MAGA duped again by Alternative Facts.",-0.6889
829,The American $20 bill with Hairy’et Tubbalard on it will be the misted hated bill in Americans wallet.,-0.5462
830,easy to make money shorting the stock market with Joe as president,0.8284
831,Gaso is up .50/gal in just the last 5 weeksbidet will have the working poor paying 4+/gal like his buddy did,0.1309
832,Coldest February on record for my area When does that glo bull warming thing happen ???Does hunter need to be paid for his advice??Snicker,0.5257
833,How does a drug addict earn 6-7 figures in consulting fees?,0.3117
834,guys remain patient it may take 20 years to undo the mess joe has created in only 45 days,0.6386
835,Mares family tree is short quite a few branches....Jess sayin!!!,-0.5748
836,"Thanks to the recent examples of fake global warming, we have seen that green energy is worthless.",-0.0659
837,"Mars and his BF got engaged, they are so excited!",0.7853
838,Rack Em Toby!!!,0.255
839,Cisco to $80,-0.0046
840,All the whining about off topic posts and no csco posts in over 8 hoursQED,0.088
841,BIG DEAL REEEKING!!!,0.4115
842,Joes economy will be painful. The only news coming out of the WH for quite awhile will be BAD NEWS.,-0.729
843,Too many excuses from the Maga crowd.Obama made no excuses - he just got things done.Say long - dow 36k coming,0.4854
844,I for one will never accept this,0.5033
845,This is all wreekie and Rudy we’re taught So sad Lmao,0.2273
846,free education free money free food free housing free transportation but white e is the problem,0.6942
847,Fun Fact: Joe got the most votes in history.Good job!,0.8225
848,"How is dictator bidet's ""unity"" coming along?LOL",0.0531
849,"WHY would anybody ever hire a dem?they are only concerned with the paycheck, not doing a good job",0.7764
850,now it's green mares are you using real time quotes ????,0.3626
851,The royals would have vetted Meghan more but they thought she was there to clean the bathrooms Snicker,0.7734
852,Keep pretending Hot Pockets!,0.3613
853,Joe in charge-Markets Crumbling.,0.5636
854,"But, but, Mar a Lago. LOL",0.7464
855,The city says I can get the vaccine nowbuti'm thinkingthe 2nd mouse gets the cheese,0.7259
856,My. Aetna is spewing 100s of millions metric tons of CO2 as we speak. Libtirds should do their part and jump in to slow the flow.,0.0794
857,Sell the fact...the fact that Joe is a Russian asset,0.7769
858,they are calling joe the tech wreckhe's a 48 year career failure,0.1596
859,"added a few shares today, 44.8. Of that, .37 is dividend. If it drops down more tomorrow ex-div, I'll buy some more. Still well below FV, whether there's E. increases in FY21 or not. Works for me.%^)",0.5508
860,AT YOUR EXPENSE MARES!!!,-0.3606
861,"Typical angry MAGAtard. Resorts to personal attacks. BTW, that’s violation of the TOS you agreed to. But we know MAGA can’t follow rules or keep their word",-0.5292
862,"They should put Harriet Tubman’s image on those $2,000 stimulus checks. And then never mail them out.",0.2771
863,Hey Dims how is the Schiff show working out for ya? Jess wondering?,0.3855
864,"Lucky charms, they're magically deliciousthe same thing masa says about trouser trout",0.7188
865,"CSCO is a good company, but its stock is a dog! I sold my shares today. Good luck to longs!",0.9494
866,Howie and Tyler say you give a heck of a lap dance Mares!!! I bet you do!!!,-0.3306
867,There's an inventio over there that mars has had for years,0.0075
868,The dems put a bridge to Silicon Valley in the stimulus bill That will certainly help the broke starving people in this country Great job Joe,0.7247
869,I Wednesday Bingo Day at mar a Lago?I know they have tons of activities.,0.0894
870,Can they use the race card in England??I’m told they care less than we do Snicker,0.7853
871,"Who knew DJT was a fraud? Many, many people IMO.",-0.4112
872,Bidet and okenyan will have added more debt than all past presidents combinedand all we got was masked singers,-0.3146
873,‘Where’s my Diet Coke damit’,0.2228
874,CNBC says the fed may not be able to fix joes mess,0.1061
875,A federal North Carolina prosecutor’s office that has been investigating allegations of voter-related fraud said on Friday that 24 more people have been charged over the past 18 months.,-0.4798
876,There went the Top Post!!! UH HUH!,-0.5388
877,Bye bye Dow 30k. Hello Dow 10k.,-0.3646
878,The market has reacted as if trillions went into ityetmost companies will still barely meetbecause people just don't forget,0.2674
879,Don't click on those links from Hot Pockets as they have the virus,0.4135
880,Bombshell DOCUMENTARY of evidence of election riggingso many knowledgeable people,-0.0807
881,"By the midterms, Americans will be fully aware of the destruction to our Country at the hands of the Demtird Party.",-0.3371
882,William's 'Robert' and 'rafael'...,0.0247
883,The Bidung stock market is a debt fueled pump n dump extravaganza!,-0.5665
884,My oil & tanker stocks are doing really well....picked up X0_M @ 33 giving me 10+% dividend. Price target at 80....thank you papa_joe.....now if he closes more pipelines the energy stocks will take off...! YESWhen will the DEM's implement AOC's green energy plan to replace the 20 million barrels the US needs EACH DAY... Clinton did do it.... Obama didn't do it....and old Jo will do with China tells him to do...,0.8247
885,"There is a giant ""P"" shoved up Mars' asp. Pretty noisy too...queefy...sources say.",0.5663
886,Instead of sending any more money to dem crime ridden citiesmaybe Joe should tell themlearn to codeLOL,0.1879
887,Gosh you fellas still loving the Con Man?I find that strongly funny,0.8675
888,Pete Butgiggle wants to raise gas taxes nationally.,0.2598
889,I sold all my stocks on nov2 glad i did Dem bag holders,0.391
890,why CSCO not able to cross 50!!,0.4279
891,Cisco has so much money... they just throwing it at Acacia whatevs lol..... wow ,0.6629
892,"#GOAT: Florida Governor Pledges To Put An End To GOP Censorship""Governor DeSantis is the best governor in the nation. He is the future of the Republican Party. DeSantis is being relentlessly smeared by the MSM, because they know he can one day be elected president. All rational Americans should get behind Governor DeSantis wholeheartedly. Even if you don’t live in Florida.""",0.8898
893,"We need more affirmative action in key occupations, like medicine and engineering. Lols.",0.4921
894,"I'm gonna consult for the energy industry, I know nothing about it, and get paid hundreds of millions from hostile nations. lolz",0.7624
895,Some scientists talking about another ice age So are we warming or cooling ?Should we ask CY’s friend Greta fruitbat,0.7842
896,Why did CSCO agree to over pay for Acacia... I know they need the growth but that's going to put major constraints on profits for at least a year! I sold half my shares to cover a possible SP drop.,0.6488
897,Cy Cal3 minutes agoWhy do all the terrible diseases originate in africa?Lots of animals carry diseases,-0.477
898,Is Manchelle still drilling Barry in the but?,0.1536
899,The Markets Celebrate the End of the Donny Doughnuts Era.,0.3859
900,"The left also has a strange sense of ownership over the public offices it holds. Perhaps that is why when leftists launch a campaign to support the underprivileged, they make it look like they are paying for it out of their own pocket. But no, I have bad news for Gen Z: It’s actually yours.Thus, the chances of a government growing too large and becoming a burden on the nation are infinite. Sometimes a Reagan shows up, and the government flies lightly, but on other occasions an Obama emerges, and everything government is suddenly overweight, preventing the nation from taking flight and thus discouraging companies, frustrating workers and annulling the freedom of the individual in so many little things that a normal citizen does not even have time to count them.",-0.521
901,"82-year-old Vietnam vet beats armed intruder to death: 'That guy picked the wrong house'An 82-year-old Vietnam veteran defended himself, his wife, and his property after an armed intruder entered his home over the weekend, killing the intruder by bludgeoning him to death.---------------------------------------Always like to end the day on a good note...one less POSt on the planet....",-0.5621
902,jerome we need more money,0.038
903,Super-duper day in the markets fellas!,-0.0857
904,mario6 minutes agopaying down debtsthat is a stimulatederpReally?? Who does it help when you pay off a 5 year old credit card???,0.6392
905,Looks like Joe has destroyed the greatest stock market bull run in history.,0.8546
906,Keep waiting for opportunities. Holography is worth a long term investment $CSCO $WIMI,0.8476
907,stuck in the get oh for 50 years and they will continue to vote dem deys will be stuck in the get oh another 50 years maybe the statues will save them ???? snicker,0.3874
908,Is the FED already pumping money into the market ALA OBAMA and OLE YELLER?,-0.6874
909,Not known for their originality!Lol,0.1474
910,Shoppers Start your Engines!,0.1129
911,Texans will never forget the Angel from NYC,-0.2763
912,"C’mon Joe, don’t you understand what’s going on here?",0.6579
913,"New York lawmakers strip Gov. Cuomo of emergency Covid powers as sexual harassment, death data scandals roil state",-0.902
914,Demtard Anonymous' parents are so proud of him. They could have never dreamed of their child growing up to own the CSCO message board. Other kids became doctors and engineers. But Demtard Anonymous followed his dreams.,0.9194
915,"June 1, 2020: at least 61 businesses were damaged or destroyed across Seattle. Just one day. Not once did the libnut media ever call for the national guard or use the word ""mob.""",0.101
916,You ever think about another site Reeeekie. Romper Room is just down the web. Ought to be right up to your level.,0.6417
917,Rodney Joe will steal a lot of tax money to fund hunters crack habit MABAmake America broke again,-0.6394
918,Hillary said to never concede.,-0.2295
919,every home boi in the country bees buying lebrons and nike even missed earningslmao joe is a failure,0.5148
920,"eddie is gonna try again, but my hopes aren't high hahahahahahahahahhaha",0.5884
921,"HR 1, the For the People Act. However, there’s one major difference this year—this misleadingly named bill is no longer dead on arrival in a Republican Senate or White House.Now that leftists hold the reins of power, Democrat leadership has doubled down on this anti-democratic bill, aiming to use its razor-thin majority in Congress to establish permanent and unopposed domination of our national elections.HR 1, a bill whose number indicates the highest level of priority for Democrats, does nothing to address the numerous crises we’re facing. It is silent on the ongoing pandemic, the millions of Americans still unemployed, our unstable and unsecured southern border, and the multitude of children suffering at home because they’re not in school.Instead, HR 1 is packed full of mandates to guarantee Democrats control future elections—all under the guise of “election reform.”",-0.3531
922,If this was blm ANTIFA they would have burned the place to the ground by now. Give me a break! These are peaceful protesters.,-0.1535
923,Dems are the party that does nothing but reward bad behavior,0.171
924,Bet your Johns don't appreciate your posting their pictures Connie!!!,-0.457
925,10% for the big guyThat’s 10% of our tax money,-0.0217
926,CSCO downgrades are coming IMO. I am getting out. Look for a pullback to hi 30’s.,0.3629
927,Wreekie is back. How did your inner and outer Labia transplants go? I’ll bet you can’t wait to start making money again.,0.6658
928,mario19 minutes agoi think they should cap it at 50k incomemares i didn't ask about a cap how much will each check be for ??????,-0.8081
929,I made a bundle shorting the Nasdaq this week.The squirrel eaters are not reality based IMO,0.0697
930,"Jan 17th baby, can’t wait!!!That’s when I celebrate MLK day, because I work on Monday!",0.7111
931,Goldman Sachs lifts US GDP forecast to 6.6% in 2021 on Biden's $1.9 trillion stimulus package,-0.4509
932,"By the end of 2020, the Trump administration had ordered at least 800 million vaccine doses, according to the Government Accountability Office. As The Times noted, Kaiser Health News reported that this number of doses would be enough for 200 million Americans with authorized vaccines and more than enough to vaccinate 400 million people if all vaccines were fully tested and approved.As much as Biden might brag about his responsiveness to COVID-19, it was the Trump administration that laid the foundations for the work the current administration is attempting to do. The Biden administration has benefitted massively from Trump’s Operation Warp Speed, which accelerated the typical vaccine development process by about five years.",0.9687
933,The NYFD couldn't put Wreeekie out with half the precincts fire equipment. A real BLAZIN FLAMER!!!,-0.4838
934,When you're in debt 28 trillionit's time to send out more money for failures,-0.5917
935,Joe's Covid plan is for everyone to catch Covid.,0.3105
936,"Even Jerry ""No Nads"" Nadler wants Cuomo to resign",-0.5731
937,The sweetest sound on earth is a mousetrap going off in the other roomsurely notthe morning call to jihad,0.2074
938,Why doesn't Congress abolish all of our immigration laws? They want to make the entire 3rd world population into American citizens.,0.6391
939,Hey Mares Delete Delete Delete hehehehehehehehe,0.1219
940,Johnny Law catches the Con ManWhat a run that fella had - better that Billy the Kid!,0.4571
941,Now the criminal trials begin.it's going to be a long haul.,0.4586
942,High oil prices keeps poorer people around the world buying cheap chinese stuff,0.3512
943,What party set cops on fire last summer??Thanks,0.3026
944,"When will the Demwits let Joe think of himself, take a question or two, and stop propping him up in front of that teleprompter. Very un-presidential.",0.3017
945,Joe loves to bend over for China.,0.8123
946,Give Hunter and his dad their day in court.,0.4286
947,Did Bidung sign an executive order requiring the market to crash? Lolz.,0.6265
948,Wreekie I see you deleted your futures post lol Good boi,0.7249
949,"My name is wreeki. I like CSCO, but I like men even more.-Wreekie",0.657
950,Dr Jill (pfft) said she’d skin a hundred babies in her first hundred days if she got in the WH. What’s the current count?,0.4964
951,"Your still ""Number Two"" here Tweeekie and always will be!",0.1562
952,Terrific buying opportunity.Invest and enjoy!,0.8311
953,recall joey b now before we become a 3rd world country,-0.0676
954,futures are dropping mares are you sure the market is going to turn green ???,0.4802
955,Our new POTUS continues to have difficulty putting two sentences together.His ultra liberal VP is anxiously waiting in the wings.- Thy Willby Dunn,0.001
956,Nasdaq soars 3%.,0.0
957,Thank you Powell!,0.4752
958,Wouldn't be proud of a stolen CHINA election Mares. No real victory there.,-0.0812
959,last year at this time they said fredo would be a great president now he will be lucky to get a job at walmart snicker,0.8619
960,"Quick, crashmaster joe, do some EOs",0.6692
961,GME lol,0.4215
962,Gov. DeSantis to order flags lowered after Rush Limbaugh’s deathI would make Rush required listening for high school students so they learn HOW to thinknotwhat to think,0.4311
963,Powell has zero faith in Joe!,0.774
964,Nick... Middle schoolers take Civics classes. Maybe you should have stayed in school.,0.2882
965,Why do demtards think the central bank is supposed to fix racism and the climate change hoax?,-0.7861
966,Yes! Blue skies! Everything is aligned for a once in a generation Boom!,0.6683
967,Yawn. Another new market high for Bidenomics.If you can't make money now - you should stop trying.Cheers!,0.286
968,The point of no return/throwing good money after badwhat are we going to sell to the world to get some of that borrowed money back?,0.2914
969,FO Mares!!! BYE!!!,-0.3821
970,Sign of defeat? So give it up and leave Sty!!!,-0.3469
971,"If dems were sure there was nothing illegal about the election, they would open an investigation just to shove it in DT's facesowhassup?",-0.2464
972,Sad thing is we are the closest thing to friends the mattress stain has!!!,0.2348
973,Nearly a 10% dividend raise. Buy the dip.,0.5801
974,"By the bye.....while in FL, went to one of their many gun shows yesterday....talked to several vendors...they said business was FABULOUS....I wonder why.....No I don't.....",-0.214
975,Nasdaq up .01%Is that a rally?,0.0977
976,"Which is more fun? William's rafael, mario, mars, or wreeking boobie?All deranged figments of Williams imagination and psychosis.",0.5534
977,"JO-Bhen's prezidency is really 0_bar_ma II......the Ray-sis, Mark_is that he is",0.1226
978,"Reekie, you need professional help.",0.5848
979,obama created jobs roflmao,0.6144
980,"Mars, after getting a call from his husband's divorce attorney",0.5825
981,)))))))I would be ashamed to call myself a liberal today after what you have done.(((((((,-0.1288
982,cy admits society has failed the poorest elements of society and wants to invest in their education and job opportunities a kids first choice in life is not selling drugs ... it is the last option,0.1703
983,“Have you ever noticed how all composite pictures of wanted criminals resemble Jesse Jackson?”turn the heat up.... simmer on that Rush,-0.5988
984,Perdue and Loffler can now start a hedge fund.... for inside trading,0.0881
985,This is a wonderful buying opp.have a great day!,0.8874
986,"For the left, ""taking the road less traveled""looks more like driving over a cliff",0.1554
987,10% for the big guy,0.1833
988,"$INTC $WIMI $CSCO this can go forever, it’ll stop at some point, but it’s taking the stock back to months and months, it will take forever to recover.",0.2289
989,We know know wreekie is deleting post He said he accidentally put willby on ignore That’s because he was trying to delete willbys post and he hit mute by accident You can help by reporting all wreekies post Maga,0.1197
990,"poor mares, no friends",-0.296
991,Everybody here has seen you handed your axe Marez. Now go away!!!,0.3274
992,To follow up... What do you think tax accountants are for?,0.0325
993,Kinda takes someting outta youz celebration eh Mares?,0.2687
994,alex jones wrote his thesis on wind power... that is why these Yee Haws are so informed,0.1861
995,WATCH: CPAC crowd erupts in jeers and boos after hosts ask them to wear maskMorons IMO.,0.4603
996,Markets fall will pressure GQP Congress to support our Presidents Stimulus,-0.4074
997,"Warnock and Ossoff will be sworn in tomorrow afternoon by Vice President Harris. By tomorrow night the good guys will have control of the White House, the House, and the Senate.",0.1092
998,"Man up, CSCO delivered better than expected, and raised the div. Stop your whining that infrastructure is flat lol. The pandemic is ending and so will flat infrastructure spending. Buy.",0.6717
999,He is flopping,0.1213
1000,"DONT DONTBUYIN YET WAIT BEVERYVERY PATIENT PUT IN ABID BELOW $35 YOU GET IT, after bad numbers again could get downgraded anytime now anyday nowthen watchthisfreefallloff thecliff and crash andcrashbelow $35 it is fifth quarterin a row in no no no growth in revenue anotherbadbad quarter herecomethescaryscary crashcrashback below $35beveryvery afraid to lossalotlot moremoney",-0.6913
1001,kev took the van down to home depot to select his employees for today? he will be back shortly,0.4211
1002,that being said... they did abandon the ACL gas line... which to me for long term goals and energy needs seemed like a poor decision..,0.2016
1003,Somebody forgot to flush the John!!!,-0.5273
1004,han job just told me he got his 600 but doesn't need it roflmao han job if you received the 600 it's because you need the 600 maga,0.3391
1005,Word is the GOP will impeach Kamala first,-0.2295
1006,WHAT DIFFERENCE LEADERSHIP MAKES -- JOE BIDEN WILL HAVE ENOUGH VACCINE AVAILABLE BY END OF MAY !!! JOE BIDEN IS SAVING LIVES BIG TIME !!!,0.9783
1007,kev claims he has 15 day workers.... that is if he goes by home depot and picks them up.... SI? AMIGO.... why not 30 kev... make it sound good,0.532
1008,"Trending: Drive a Lib out to the Country, and come back alone.",0.3949
1009,You usually work those conventions right Wreeeekie?,0.2417
1010,i grow trees.... there is a plant down the road that pelletizes the wood fiber and puts them on a boat for europe... they burn them for electricitygreen is good.... puts money in my wallet,-0.0532
1011,Will Joe sign an executive order to ensure we have free and fair elections? Of course not.,0.9395
1012,"Demtirds lie.President Joe Biden claimed on the campaign trail that he would not raise taxes on individuals making less than $400,000 annually, but his administration now admits that the number could actually be much lower with tax hikes on the horizon.A tax increase is coming for some individuals and for major corporations, just as was expected from Biden and Democrats. The federal government needs more funds to ramp up its planned spending, which includes another round of massive legislation. This opens up a big opportunity for the GOP, but we’ll get to that later.Bloomberg reported this week: “Unlike the $1.9 trillion Covid-19 stimulus act, the next initiative, which is expected to be even bigger, won’t rely just on government debt as a funding source. While it’s been increasingly clear that tax hikes will be a component — Treasury Secretary Janet Yellen has said at least part of the next bill will have to be paid for, and pointed to higher rates — key advisers are now making preparations for a package of measures that could include an increase in both the corporate tax rate and the individual rate for high earners.”",0.9778
1013,Let’s Celebrate,0.5719
1014,Wreekie was thinking about Rush and had to have some time alone.....,0.1419
1015,Mares loves to self-censor. Good dog.,0.7771
1016,Did results leak? Big drop in the last 5 mins,-0.5327
1017,Sources say Joe is tuckered out from his 10 minute speech today. He already went to bed.,0.6479
1018,The market is timid despite all the pumping,-0.0707
1019,How many more months before they throw the switch on Joes implant? Hairyas knee pad queen is getting impatient.,-0.2597
1020,Mares did you ever think about devoting your posts to BAC or did they run you off over there too you Phony Peter Oscar Sally!!!,0.8055
1021,Joe sure is delivering on the vaccine... he had a plan and it wasn't blaming the states and playing golf,0.9132
1022,U.S. Students Trail Way Behind Chinese Counterparts in Worldwide ExamU.S. teens are far behind their Chinese counterparts in an exam taken by students around the world-----------------The 'new democrats' coming in will take the low paying jobs and the high paying jobs will be taken over by the Chinese.....Are you SnowRooms starting to see the picture....or is the light still 'off' upstairs???,-0.1439
1023,Joe says Libtirds won’t work for a living so we need millions of new workers.,0.6985
1024,"Today - after make-up and hair do - a beautiful brunch with virgin bloody marys, a walk to the dining room forsome praise then hit the links early to get back to an early dinner. Life in Mar a Lago is outstanding.",0.9038
1025,Green on all indices=buy buy buy$$$$$$$$$$$$$$$$$$$$$$$$$$$,0.1787
1026,Parler partially reappears with support from Russian technology firm,0.7904
1027,"my favorite demtard quote "" Im getting the 1400 but i don't need it ""roflmao x 100000i know basic math is hard for you demtards but, if you're getting the 1400.00 you NEED it snicker",0.002
1028,i hope the dow does come down.. i have 500k i need to invest.... i already own enough bonds.. sad thing is i will have another big capital gain for 2021.... maybe i can ride by home depot pick up some day laborers and pretend i have a company like kev,0.9297
1029,Looks like they're cheating again! Reports: Dominion Machines Breaking Down in Several Georgia GOP Precincts; Voters Told Workers Will Scan Ballots Later,-0.7161
1030,Dallas official says Texas governor hasn’t even called him amid the crisis — but the White House has,-0.5146
1031,Everyone is expressing grave concern about what Joe is allowing to happen at our Borders. Many are saying we no longer have a Country.,0.1436
1032,Masks for another YEAR?WHERE are all the slip and fall attorneys?,-0.6868
1033,mars5 hours ago$CSCO conversationTerrific buying opportunity.Invest and enjoy!now he's shortLOL,0.3584
1034,q says Mars landing pics are from some high school kids computer,0.2811
1035,"Demtard logic: After we impose lockdowns to destroy 100% of your livelihood, we give you back 6% economic growth and you should be greatful.",-0.2674
1036,Today there is a terrific brunch being served at Mar a Lag.perhaps some gold and an early dinner.Nice and quiet.,0.7763
1037,Why do Democrats make accusations and never have any evidence to back it up?,0.0538
1038,Don't you have some sausage to smoke STY?,-0.2491
1039,Is Kev ever right?,0.0135
1040,FAANG crashes everyday under joehe is a failure loved by broke failures,-0.6671
1041,Byedung will take stocks to record lows!,-0.2128
1042,"It's common knowledge that Democrats held slaves and Republicans freed them. So to this day, why do 80% of them vote for the very people and ideology that enslaved them?",0.6958
1043,Make no mistake. This Insurrection was premeditated. People were wearing T-Shirts with “Civil War—January 6th” emblazoned on the front,-0.6494
1044,"Cisco under 46 with the divi seems like a good long term play, they've bee dropping for years, but maybe a turn around in 2022?? Thoughts??",0.8078
1045,"World leaders are happy with bydung, like this leader",0.8364
1046,100% William!https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/156058311_1032426574257151_8012121924271752631_n.jpg?_nc_cat=108&ccb=3&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=c0qeAge7G44AX9rEw2q&_nc_ht=scontent-iad3-1.xx&tp=14&oh=c6f6f0de361b767b76d320089d395ad1&oe=60627479$csco,0.0
1047,"Let me as a simple question, since this is a financial board. How many of you own 401k, ira, roth ira, real estate, homes, cars? Without selling any of them, how many of you pay income tax on any of the above?Mic drop...",0.8825
1048,"Yes, the markets are soaring since Election Day.",0.4455
1049,Red Fish Green Fish some Fish Blue Fish Eh Mares?,-0.2318
1050,"Bye_hen now being pushed to shut down Dakota Pipelines.....YES!!!Still need 19.6 million barrels of oil EACH DAY to run the US economy....will have to come from other countries....or transport it by rail (more expensive, costly and dangerous)....best to get it from other countries....that way my TANKER stocks will really go UP, UP,UP--------------------------------------------------'any of you Snowrooms figure out how many wind, solar, battery farms you'll need to GO GREEN???Call AOC she has a ""GREEN PLAN""...she even has a 'green train' plan..... I want to be the 1st to take the LA to Oahu 'green train'....hope I don't get sea sick...",0.8202
1051,Somewhere along the line you libs got the idea that we fear you. We fear you panty waists NOT!!!,-0.6232
1052,Sullivan on Face the Nation.. China and the WHO have not been forthcoming with all the data on covid,0.2972
1053,MAGA is easily duped. For 3 days they believed the Frozen windmill story.,0.0921
1054,Will fredo the want to be mafia king put a contract out the the girls accusing him ?Don’t worry girls fredo has an alligator mouth with a hummingbird asp Snicker,-0.708
1055,absolutely pence can reject the fraudulent election results it's in the constitution,-0.7341
1056,Markets are celebrating the return of normalcy and decency,0.5616
1057,Spending bills can be passed through reconciliation. If you really want to get it done.,0.0427
1058,You know what Mares if I were you I would get even with Yahoo and I wouldn't post here anymore!!! That'll teach em!!! UH HUH!!!,0.296
1059,All them folks that stayed up all night looking at this screen sure liked your posts Puto Reeeeking!,0.711
1060,How many Dims did they catch in South Texas for voter fraud recently Mares? Since you are keeping up with it thought you might know?,-0.7665
1061,When KO said try to be less whitemars repliedthat's impossible,-0.1455
1062,"I don’t understand why the expectations are so off with this company. Stock will beat earnings but wall st will say say blah blah blah and sell off - I will then buy more, I will receive the dividend, stock will move up towards earnings, rinse and repeat. This is a slow grower, invest elsewhere if want a different result",0.8048
1063,Whatever Bo Snerdley said!lol,0.5011
1064,"The GOP opposes, ""cancel culture,"" so what is their response to the impeachment? Try and cancel the seven senators who have a spine.",-0.6533
1065,I don’t know if this is true or not Cuomo is getting a movie made of his life ?Titled Granny killers from New York,0.2051
1066,Go way Mares!!!,-0.2314
1067,Entire Staff of Nevada Democratic Party Quits After Socialists Take Over. Can you say REVOLUTION?,0.6322
1068,Mares we can't see you you are invisable.,-0.0847
1069,Good thing. Fredo isn’t working the border No telling how he would mentor those young illegals,0.6071
1070,Seems like CSCO always drops after earnings,0.4296
1071,Our duly elected President of the United States.,0.3891
1072,"Why are we seeing more people not wearing a mask? Well, today I watched a Senate hearing on C-SPAN. The number of people in the United States that have been hospitalized with the China Virus two weeks after receiving their second vaccination? ZERO.",0.9041
1073,JP Morgan says Joe could add another 12% this year!,0.8296
1074,You earned it Mares!!! Enjoy!!!,0.6909
1075,Okenyan's shovel ready bull ship taught the 'dan' types nothing,0.582
1076,Don’t worry about the failing economy and job losses Harriet on a 20.00 is much more important Snicker,-0.815
1077,The royals told Meghan to clean the bathrooms Lol,0.6554
1078,The White House residence was moved to the basement. Plugs stays nice and warm with power from the GAS powered plant.You go Pluggy boy.,0.8965
