,Recent headlines and conversations for GS,Polarity
341,"A president like Trump who lies constantly can’t lead the people in a crisisYou can’t preside over something that’s likely to take 200,000 lives and pat yourself on the back. In fact, Trump said just yesterday that he’s “feeling good” that “only” a few hundred thousand Americans may perish.",0.1571
342,He’s supposed to take me to red lobster $AMZN $WFC $EVOK $VRX $GS,-0.245
343,Donnie withdrawal of troops from Afghanistan and IraqDraws applause from our ENEMIESEven some actionIn Baghdad (see below)Esper had communicated that the move was ill-advised...That the Military were opposed to itSO DONNIE FIRED HIMhttps://www.washingtonpost.com/world/iraq-rockets-after-us-drawdown/2020/11/17/adaa012a-2911-11eb-9c21-3cc501d0981f_story.html,-0.3436
344,What happened to all these upgrades for GS?Apr-10-18 Initiated Bernstein Outperform Jan-18-18 Reiterated Barclays Equal Weight $308 → $289Jan-02-18 Reiterated Barclays Equal Weight $262 → $308,0.1899
345,Overvalued jumk,-0.25
346,Knowledge,0.3427
347,Great arbitrage opportunityBitcoin USA: 16700 (on coinbase)Bitcoin Japan: 19900 (on bithumb)$3200 spreadgood volume: 1000 BTC = $3.2 MILLION PROFIT,0.91
348,Build More Wall.,0.1162
349,The AmeriCONS and their vassal EuroCONS need a distraction,-0.3751
350,"Can anybody tell me and many other investor's where to look for ""All Countries On 1 Site"" of what Foreign Currencies that each own""s, if not why not ????? This might help every world investor to see in real time where and why bet's are placed in this casino of a market !!!!! It would help all small investor's and even large investor's to understand the, trade and open border crowd's political stand when they speak !!!!! Might save them some investment money too. If you find this information in 1 area, pass it on to the world instead of listening to all of the ""Group Think #$%$"" !!!!! God Bless The USA.",0.9804
351,Down how many days in a row now?,-0.2495
352,$NIO longs. Here is the $NIO Facebook page:https://www.facebook.com/groups/2726152097412663/?multi_permalinks=3684464338248096&notif_id=1596364515630107&notif_t=group_highlights&ref=notif,-0.0608
353,"Great start to Donnie's New Year...And THAT ""January Effect""...Between the Trump Wall SHUTDOWN...And Lighthizer saying ""MORE TARIFFS""...Should SOON be testing NEW LOWS from DecemberStart looking for those Dow 20K hats...Will need them this quarter",0.797
354,"CHARGED THE IRS $2500 FOR EACH HAIRCUT, I ONLY PAY $25",-0.7273
355,"Why in the World would Anyone trust D's to make extremely complex decisions about the U.S. Economy, International Policy, Defense and the Earth's Climate when they can't even understand the much simpler issues relating to Just Enhancing The Security Of Our Southern Border and the Safety Of Our Border Agents?????https://www-bbc-co-uk.cdn.ampproject.org/v/s/www.bbc.co.uk/news/amp/technology-47152051?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCCAE%3D#referrer=https%3A%2F%2Fwww.google.com&amp_tf=From%20%251%24s",0.8564
356,Short this into the ground,-0.5346
357,"CON MAN TRUMP SAYS deal with China is still possible, but tariffs are an 'excellent' alternative",0.3686
358,"Virus deaths top 80K...More than any other country in the world..Soon 100K PLUSAnd Donnie talks about testing supplies availability...Even these are UNTRUTHSDonnie was asked about deaths at yesterday's presser...Instead of his boasts about testing...'most in the world'...ABRUPTLY CANCELED PRESSERWALKED AWAY, IRRITATEDCan ONLY handle ADORING TrumpRats",0.8896
359,JP Morgan is being sold into this rally red or almost red..What do they know that you don’t ?,0.211
360,Highland park nj thinks it is Israel banning a book favoring BDS,0.6757
361,"The DOJ rebuffs Donnie...No Donald...You may be President but we are in-charge of Law-enforcement, OT TRADEIf Huawei broke the lawCannot trade the CFO in trade talksNO LEVERAGE",-0.1354
362,SCM gives $GS a buy recommendation.,0.1856
363,wrote 240 puts,0.0
364,DT GS forever!!!!!!!!!!!!!!!!!,0.5281
365,Hope for humanity only at the table to communicate and reason,0.467
366,"$NIO nothing gonna stop this , good ER and delivery $$$$ soon",0.8627
367,"RELIGION OF PROTESTJudaism was and remains the world’s great religion of protest. The heroes of faith did not accept; they protested. They were willing to confront God himself. Abraham said, “Shall the Judge of all the earth not do justice?” (Gen. 18:25). Moses said, “Why have you done evil to this people?” (Ex. 5:22). Jeremiah said, “Why are the wicked at ease?” (Jer. 12:1). That is how God wants us to respond. Judaism is God’s call to human responsibility. The highest achievement is to become God’s partner in the work of creation.When Adam and Eve sinned, God called out “Where are you?” As Rabbi Shneur Zalman of Liadi, the first Lubavitcher Rebbe, pointed out, this call was not directed only to the first humans. It echoes in every generation. God gave us freedom, but with freedom comes responsibility. God teaches us what we ought to do but he does not do it for us. With rare exceptions, God does not intervene in history. He acts through us, not to us. His is the voice that tells us, as He told Cain before he committed his crime, that we can resist the evil within us as well as the evil that surrounds us.The responsible life is a life that responds. The Hebrew for responsibility, achrayut, comes from the word acher, meaning an “other.” Our great Other is God himself, calling us to use the freedom He gave us, to make the world that is more like the world that ought to be. The great question, to which the life we lead is the answer, is, which voice will we listen to? The voice of desire, as in the case of Adam and Eve? The voice of anger as in the case of Cain? Or the voice of God calling on us to make this a more just and gracious world? [1] For a discussion, see http://en.wikipedia.org/wiki/Murder_of_Kitty_Genovese.Tagged with: 5774adam & eveBereishitcain & abelconversationcovenantcovenant & conversation 5774judaismleadersleadershipreligion of protestresponsibilitytorahFEATURED PAGECovenant & Conversation: Family EditionCovenant & Conversation is kindly sponsored by The Maurice Wohl Charitable Foundation. The Family Edition is kindly sponsored anonymously. … Read moreCOVENANT & CONVERSATIONCrossing the Sea (Beshallach 5780) Download the accompanying Family Edition here! Our parsha begins with an apparently simple proposition: When Pharaoh let the people go, God did not lead them on the road through the land of the Philistines, though that was shorter For God said, “If they face war, they might change their minds and return to Egypt” So God led the people around by the desert road... Read moreAll Covenant & Conversation >VIDEOS“Today’s politicians are too political” – Rabbi Sacks on BBC NewsnightOn Wednesday 22nd May, Rabbi Sacks was interviewed by Emily Maitlis for BBC Newsnight where he discussed the state of … Read moreAll Videos >WRITINGMorality matters more than ever in a world divided by fear and faithlessnessWhat happens to national identity when everything holding a nation together disintegrates or disappears What happens to society when the focus of a culture is on the self and its icon, the “selfie” What happens when Google filters and Facebook friends divide us into non-communicating sects of the like-minded And what happens to morality when the mantra is no longer “We’re all in this... Read moreAll Writing >BOOKSCovenant & Conversation: A Weekly Reading of the Jewish BibleThe Torah is an encounter between past and present, moment and eternity, that frames Jewish consciousness. In this first volume … Read moreAll Books >Contact:Office of Rabbi SacksPO Box 72007LondonNW6 6RWTel: +44(0)20 7286 6391info@rabbisacks.orgAboutSubscribeHouse of LordsSupport our workContact UsThis website is dedicated in the memory of Brian Roden, Benjamin Ben Joel HaCohen z”l. 2020 Rabbi Sacks. All rights reserved. The Office of Rabbi Sacks is kindly supported by The Covenant & Conversation Trust.To offer you the best possible service, this website utilises cookies. Please",0.9993
368,The Day the Earth Stood Still -,0.0647
369,I honestly can't believe what I'm seeing (GS) according to (CNBC) had an awesome quarter and I thought that the roof was coming down from all the hype that was happening but then again that's what we get paid to do on (CNBC ) BBBBOOOOYYYYAAAA,0.3316
370,I WOULD LIKE TO THANK EVERYONE ON THE MNKD MESSAGE BOARD FOR MAKING THIS ALL POSSIBLE. I COULD NOT HAVE DONE IT WITHOUT YOU.$WFC $GS $KODK $VRX,0.6761
371,Is GOLDMAN about to have a LEHMAN Moment ?,-0.1105
372,Don't panic and keep buying stocks.,0.5249
373,GIL AND JUDY BROKE UP,-0.243
374,GS is undervalued now imho target $300,-0.0578
375,Apple buying back $100 billion of its stock...We know how that benefits the ONE-PERCENTERSBUTHow does that benefit Main StreetOnce again...the 99-percenters LOSE,0.6289
376,Perhaps Goldman may want to rethink their stock buy back strategy now?,0.4608
377,Saturday Night Fever • Night Fever • Bee Gees,0.067
378,Margin call Monday coming up,0.2669
379,I'm not buying any of GS's stocks that they are trying to unload on the public today. Sorry.,0.0727
380,"The Boston Globe is apparently retracting the reported results of a DNA test for Senator Elizabeth Warren. The test actually proved that Ms. Warren was among the 'Whitest' Americans. Oh, well...",0.6621
381,Fred: you asked “ where is all this antisemitism ?”Pittsburgh  Pauline ️,0.0747
382,The Raven,-0.0157
383,"Manhattan Apartment Listings Soar, Pu/manhattan-apartment-listings-soar-pushing-vacancies-to-a-recordCopyright  BloombergQuint",0.3678
384,see quotes on censorship how it precludes progrsss,-0.2193
385,Note to Donnie...Why bother spending money on attorneys...For Impeachment TrialThe Senate GOPhers...Are still in your gripSave the money for Tax attorneysAnd BK filings,-0.5738
386,"Goldman says ""No Bubble.""Goldman paid $5,000,000,000 for their part in causing the '08 crash.",-0.6142
387,Xi lowers the yuan...Ball is in your court DonnieThe Chinese are much better negotiatorsThan you can ever hope to beTHE ART OF THE NO DEAL,0.4154
388,Like the way u talk Henry!,0.5081
389,"The real near-term risk to the market is that Election results will not be settled or could be disputed into January 2021 as millions of votes get subject to hand re-counting and signature verification. I would not expect Trump to go quietly, nor, should he lose, in any way help the Biden team to transition. Biden could spend much of his first year in office ""untangling the knots"" and putting his agenda on hold in the middle of a pandemic.",0.8677
390,Another DOWN day for Goldie...Even as the markets closed higher,-0.3629
391,More not so good news telling us saving the wall streeters was Obama's biggest mistake. Now you know why he's getting all kinds of payback. https://finance.yahoo.com/news/fed-doesn-t-want-another-110000351.html,0.4612
392,"After filtering most of the weak hands shorts and huge amount of take profit $NIO is still green , we Hold $NIO... we HoldBtw goldmansux nice name",0.7638
393,Way oversold,0.0365
394,"CAN'T WAIT! March 23, 2020. Next event begins at 5:30 PM EDT. Upcoming Events. 5:30 PM EDT. Members of the Coronavirus Task Force Hold a Press Briefing.",-0.159
395,"these guys are crooksOn Thursday, Archegos asked banks handling its business to meet to hash out a strategy to liquidate its holdings, said a person familiar with the meeting. The firm's largest positions had turned sharply negative following a long run-up. A proposal emerged for all the banks to hold off on large trades and to talk further over the weekend, but the call ended without any agreement.On Friday morning, banks started seizing Archegos' stock, and Goldman Sachs started selling in size. It quickly became clear there would be little to no coordination among the banks.Goldman and Morgan each raced to liquidate positions tied to Archegos.The discussion among so-called prime brokerages was extremely unusual and has happened only a handful of times in recent memory, in some cases averting liquidations.The decision to sell early helped insulate Goldman from losses that have hit other banks. Goldman expects the results of the Archegos account to be ""immaterial"" to its financial results for the first quarter ending this week, according to a person familiar with the matter.",0.7234
396,270 put now 1.67 ... sell that,0.1417
397,The Donald calls on NFL to suspend a player...'Ratings WAY DOWN'But Donnie...YOUR ratings are way downShould you suspend yourselfAPPLAUSE APPLAUSE APPLAUSE,0.6636
398,"On the way Trump should Plan to pay for Public Work's in the ""Big Sanctuary Cities"", how about by them selling bond's to investor's ????? Many live in them and really don't like to see everything falling apart on their turf, ""BUY THOSE PUBLIC WORK'S BOND'S"" to see a little beauty when you look out your window's and in your limo's. God Bless The USA.",0.902
399,GRAND FINALE: 143 PARDONS SOLD AT $200.000. EACH CASH,0.8083
400,"Why the US can afford ""Medicare-for-all""...Lets ADD UP all the money spent on Medical Insurance...And I mean INCLUDE not just what individuals pay...But also what Corporations pay...Now add up ALL that is spent on Medical care...And the Corporations NO LONGER have to pay for Medical Insurance...YUP...Instead of asking ""Can we AFFORD it""...The question we should be asking...""HOW CAN WE PAY FOR IT""Hey, just look at how much we spend on MILITARY...Does ANYONE ever ask...""Can we AFFORD it""...NAY, we just add more to the BUDGET",0.9726
401,Ray Dalio says it’s just like the 1930s for investors right now,0.6079
402,Crash imminent?,-0.3318
403,Donnie is way behind in the polls...Even in swing states...Will he RESIGN for health reasons...Appoint Pence as President...Get PARDONEDLike Nixon and Ford,-0.0287
404,Donnie did NOT wear a mask at the Ford factory...Despite being told to do so...As it is State LawThe State Police should have denied him entryAnd left him at the gateHe is NOT above the lawLAWLESSNESS SHOULD NOT BE TOLERATED,0.6961
405,Should be back to $220,0.1176
406,$TBT $C $JPM $GS $AXP $DFS keep an eye on treasury yields. Long end looks to rising while financial stocks diverge. Could make for a good entry.,0.9396
407,"Just a reflectionmust be dealt with.“The most important thing to remember,” she continues, “is that while it may feel like you are at the mercy of the world, you are not. Because the world around you is merely a reflection of what’s inside you—your thoughts. So what feels like an entire world that isn’t ready, isn’t really a world at all. It’s just you. And when you change, you will notice that the world outside has changed too.”You Have Changed",0.9417
408,NEW ERA FOR ISRAEL???????? SCRUTINY HEREWITH,-0.5096
409,"William2 days agoWelcome to ""The Pelosi Rally"" the race to the bottom. Wait for ""Maxine the Mouth"" to destroy the banking system starting in three weeks. Only 8000 points to go. The Libtards are coming. Hide your wallet like all the foreign money leaving the U.S",0.4964
410,"WOWU.S. Senator Bernie Sanders announced during one of his recent stump speeches that if he is elected U.S. President, he will withhold all U.S. Aid to Israel until they free Palestinians from ""Occupy"" status and promote peace with the new Palestine ! This would be a complete reversal of President Trump's Policy, led by his son-in-law Kushner, who has moved the Israeli Embassy to Jerusalem and taken the Golan Heights from Syria and given it to Israel ! What choice did Abbas have but to do what he did today?AOC has thrown her complete support behind Bernie Sanders ! This could be the miracle that Palestine has been waiting for since 1948 when President Truman allowed War against Palestinians by Israeli Military backed by America ! Nov 11, 2019.ReplyShare4 Likes",0.9038
411,Big money wants the dow red today. There's nothing wrong with GS.,-0.4035
412,"""How many workers should give their lives to increase the GDP""I'll take a wild guess:2000nt",0.3953
413,HELLO London.... Headed out from Heathrow to the cityPub dinner tonight with Asha/JehangirSee y'all later,0.4831
414,GS and the rest of the market may have gotten as much out of the positive vaccine developments as they can for now. There is a lot that could hit the fan before now and Jan. 20. Calm is not a word I would associate with the next 62 days.,0.9722
415,"GS is a good company if you want to wait 3 years to see any meaningful profits. The last thing you want to hear a company say is to be patient. With the 10 year @ 1.56 yield you would be smart to dump it today before it falls back to 220, then 211.",0.9383
416,France & Germany to buy medical cannabis from Israel.Micks won’t buy oranges.,0.4035
417,Is Mark Cuban going on the Board of Directors of Axe Capital?,-0.1401
418,In a Landmark Decision Today the Supreme Court Voted in Favor of Using a 'States Rights' Argument to Overturn a Four Decades Old Law Unrelated to Abortion. Pro-Life Groups Are Ecstatic that this Precedent Could Lay the Groundwork to Also Allow Overturning Row v. Wade. 61+ Million Unnecessarily Silenced Tiny Screaming Voices Agree...,0.8219
419,STOCK MARKET RECORD STOCKS New 52 Week High 46 New 52 Week Low 248,0.5903
420,"LT will be glad to learn that the IIBR (Israeli Institute of Biological Research) which reports directly to PM Netanyahu and works through the IDF has just filed for International Patents for 8 New Corona Virus Antibodies. 7 of the 8 have been field tested and exhibit very good activity against the Virus, but the 8th one which is described as a monoclonal antibody has been field tested and shown to have exceptionally good activity against the Virus. It is expected that these antibodies will be combined into a single therapy treatment for futher field testing...",0.9737
421,"It is time to break up Goldman Sachs. Public lead IPO underwriting, ""committed to the middle market"", mutual funds, ETF, private banking, wealth management, etc. while they have good products in most segments, overall they have become just like everyone else.",0.9437
422,"Now for the Market rocketing and the dollar falling and the Federal Reserve Not Addressing The Value of The Dollar Dropping, INFLATION WILL BE A FARSE ON ALL CITIZEN'S PAYING HIGHER PRICES FOR EVERYTHING IN THE FUTURE BUT THE WEALTHY WHO OWN THE MAJOR PART OF THE MARKET WILL CONTINUE TO SPREAD THE GAP WIDER BEWTWEEN THE HIGH AND THE LOW !!!!! I still like SILVER for the small investor compared to gold because, it has more value when making new and old technology and most alloy's used for future product's. God Bless The USA.",0.7986
423,The SINKING goldieTo catch a falling knife,-0.4307
424,"USA TAX MONIESJERUSALEM— Israeli Prime Minister Benjamin Netanyahu did not react with equanimity when, after three years of investigations, the indictments finally came. Railing at the Israeli public on television, with no press allowed, Netanyahu savaged Israel’s police and judiciary and all but called for insurrection, repeatedly demanding that “the investigators be investigated!”As he spoke, the same words were tweeted from his official account. “They never were pursuing the truth!” an ashen Netanyahu yelled. “They were pursuing me!”Netanyahu Lost. His Enemies Won. But Who Can Govern Israel?The indictments capped an extraordinary day in Israeli history, as Attorney General Avichai Mandelblit announced Thursday evening that Israeli Prime Minister Benjamin Netanyahu will be indicted for bribery, fraud and breach of trust in three criminal cases.It is the first time in Israeli history a prime minister has been indicted while serving.The dramatic announcement came less than 24 hours after another unprecedented moment in Israeli history, the failure of both candidates chosen by the president to form a government.“Today is a sad and difficult day,” Attorney General Mandedlblit said in an extraordinary press conference in Jerusalem, declaring his devotion to the rule of law and his respect for many of the prime minister’s achieve",0.872
425,I WOULD LIKE TO DEDICATE THIS SONG AFREZZA! I LOVE YOU! https://www.youtube.com/watch?v=7F37r50VUTQ$VRX $WFC $ARNA $GS $EVOK $KODK,0.8974
426,Cry wolf no longer has meaning,-0.6326
427,This is crazy!!,-0.4396
428,Democrats hoping for Penetrator Joe to suffer a massive stroke so Cuomo will run.,0.5592
429,"We did not all come over on the same ship, but we are all in the same boat.",0.1489
430,GS = GLOBAL SCANDAL...$2 BILLION SETTLEMENT....,-0.0945
431,"Hahahahaha look at this new $NIO board. Nio is more like a new religion than just another stock.I'm downgrading this $GS scam a downgrade, price target 7$,why? ""Investors are too optimistic"" – Master Fang, stpd mrn who tries to dictate the prices.",0.0735
432,Goldman says buy Real Estate. Does that include REITs.,0.3378
433,"Inability to see realitieswhat it might feel like to be looked at with prejudice.I would later read the Scottish philosopher Alasdair MacIntyre, who in After Virtue (1981) describes humans as narrative beings, who need to ask ourselves ‘of what stories do I find myself a part?’ For MacIntyre: we all approach our circumstances as bearers of a particular social identity … I belong to this clan, that tribe, this nation … As such I inherit from the past of my family, my city, my tribe, my nation, a variety of debts … and obligations.",0.6746
434,"when Margin hit last friday, GS and MS liquidated stocks. Other oversea banks are screwed since our Friday is their Saturday.",-0.4421
435,Its always the darkest before the dawn???,0.2955
436,"Just a little over three hours ago President Trump signed a Full Authorization to both FUND & BUILD another 115 Mile Section of the 'WALL' in Texas. The D's are Funding the 'Wall' and neither they nor the MSM realize it yet. Not only don't they realize it but they can't even Explain to the American People WHY Building the 'Wall' is such a bad idea. The longer it takes to clearly explain WHY their opposition to the 'Wall' is so extreme that they are willing to tank the American Economy over it the more likely that they will not only reap Negative Consequences of this huge Strategic Political Mistake in the Next Election, but also will end up funding the entire $25B price tag for the Current Enhanced Border Security Plan. Don't forget that there are many D's on record who specifically previously ADMITTED that they were going to DELIBERATELY try to tank the American Economy in order to oppose and try to embarrass President Trump. Lt Couldn't Explain WHY Building the 'Wall' is such a bad idea, maybe someone else can?",0.1411
437,"Although rate hike helped banks and insurance, I am a little worried about how fast JPM and GS climbed recently. any thoughts? Please save ideology statements, technical analysis help",0.6554
438,"The (ridiculous) arguments made by those who say the 'Wall' Doesn't Work, fail to even begin to take into account the opinion of the World's most experienced experts in this area, ICE Agents, who say that not only does the a 'Wall' work, but these same ICE Agents want a 'Wall' built for both their own safety and also to slow down the ability of illegal immigrants to cross the U.S. Southern Border. In addition the 'Wall' would provide the physical structural framework for numerous types of electronic surveillance technoogies. Finally, the very construction, maintenance and surveillance efforts which will be implemented in conjunction with the 'Wall' will assist in the effort to build satisfactory access roads for Border Security Personnel to do their jobs properly!!!!!",0.9284
439,Trump issues orders banning TikTok and WeChat from operating in 45 days if they are not sold by Chinese parent companies. Could this be Good or Bad for $NIO? Your Thoughts? https://www.cnn.com/2020/08/06/politics/trump-executive-order-tiktok/index.html,-0.1628
440,"Stawks up on Rate cut projections...YES, rate cuts coming...BUT that is in response to RECESSION comingRECESSION and STAWKS work in opposite directionsSELL IT WITH ALL YOUR MONIES",-0.5697
441,I JUST SOLD MELI AND MADE 50 POINTS TODAY $1373,0.6146
442,$NIO board still not working. what a shame,-0.2797
443,Powell to Donnie...'I have a FOUR YEAR TERM...And I intend to serve it out.The BIGGER question is...Will Donnie still be around...At the end of Powell's termI THINK NOT(Four and Out for Donnie),0.027
444,Can anyone here share how the stock moved only 2.34% after a BLOW OUT quarter? Anyone?,0.7914
445,"The Lying Blinking Amoral Donald...TOTALLY consumed by Cohen testimony...Just like the MOB...He knows when one of his ""inside guys"" spill the beans...It ain't Just Smoke...There is a HUGE FIRETrying EVER so hard...To bring down Cohen's ""inside story""...With FALSE statements of PARDONs...Has NOW opened himself up...TO BEARING FALSE WITNESS HIMSELFAnyone with brains...Can see Donnie's ANXIETY and DILEMMAYUP...He knows he's cooked...It ain't about His words against Cohen's...ITS ABOUT CORROBORATIVE EVIDENCETHE REAL STAKES...The Trump Organization will be in Bankruptcy...SOON ENOUGH",-0.6475
446,Sweet Dow Jones rally at the close nearing 200 points up and Goldman Sachs not far from day low,0.44
447,"Good today and yesterday market, Monday could be ugly session as TSLA testing $600 and will even test $550",-0.2538
448,"Pre market is down again below 200. I am beyond sick with this stock. Up a little, down a lot. 6 months ago it was 200. 6 months later while everything else went up 25 percent. It’s still stop at 200. GS. When can u give yourself a upgrade? Bad karma???? I just want my $$ back at this point. U can keep my profit.",0.5598
449,Whoever can get into China's financial market will profit .... the trend is there ... 50% rally next year,0.5685
450,"WE question Israel wants peaceWhile the objection was supposedly based on security concerns, Netanyahu and his allies made clear that they reject even the basic principle that Israeli and Palestinian losses could be compared, or that it is appropriate for our two peoples to mourn together.Thankfully, the decision was overturned (again) by the Israeli Supreme Court, ruling that the ceremony in no way poses a danger to the Israeli public and further highlighting the necessity to safeguard Israeli democracy and freedom of expression.The decision stated: “There are 99 paths to commemoration, 99 ways to express grief. Here lies the core of free expression, of personal autonomy, which grants to every person the right to write and shape their life story in their own way…”Last night, I chose to mourn in a way that is the most meaningful for me and to exercise my democratic right to freedom of expression.Each year, the ceremony concludes with the Arab-Jewish Women’s Choir, Rana’s rendition of Chava Alberstein’s “Chad Gadya (One Goat).” And each year, I am deeply moved and motivated by these Arab and Jewish women singing together the words: “How long will the cycle of horror last? Victor and victim, beater and beaten; When will this madness stop?”This madness won’t stop on its own. Only by working together can we bring this bloodshed to an end once and for all.",0.8622
451,LT seen at Starbucks claiming to be an essential worker for a free coffee.,-0.1211
452,$NIO this algo selling is really aggresive.. someone sold a few hundred thousand shares at the market price.they want it down as low as possible,-0.1496
453,"Buy gold suicide mission unfoldingAlarming trends“So that means with $1.3 trillion increase in national debt it actually means that the debt went up by 6% of GDP. So the forecast out here by the CBO — they use the official statistics of the government — but the statistics do not include the loans for the Social Security system and those loans take the national debt growth to 6% of GDP. If we put quantitative tightening on top of that, we’re talking about something close to $2 trillion of accumulation of the national debt increase and the quantitative tightening at a maximum.”",0.1349
454,I see GS going to 220 minimum,-0.0341
455,The 6 Best Climate Change Stocks To Buy Right Now! For more https://youtu.be/7VWGOAMd1Dk,0.7165
456,WHO CREATES ILL WILL???????????????? MAN ON THE MOON???????????????,-0.3175
457,Thanks fed i can buy my overvalued stock back $bac $jpm $gs,0.4068
458,Dialogue impossible on this board who owns it???,-0.1524
459,Great time to buy before earnings!,0.75
460,"Lt hasn't President Trump the greatest man ever, thrown you over hisxwall",0.6464
461,Back to 200 within the next 1-2 weeks,0.0462
462,Anyone looking for the 30-year below 1.0% next week?,-0.1771
463,Public denied access to brutality now taking place in west bank . videos cannot be shown,-0.7459
464,Trump won’t abide by tri-state area’s new quarantine during weekend visit to golf club in New Jersey,0.3214
465,if goldman goes under America be better,0.3895
466,"Wilbur Ross says, Donnie's trade wars...Will have 'Trivial' impact on pricesAnd where exactly did Wilbur get his Finance and/or Economics degrees...At his adopted country of SINGAPORERoss 'won'Gary Cohn 'lost'I trust Cohn more than Ross...Cohn is a Goldie heeb",0.7285
467,rocks versus automatic weapons at the border Let 's hear it for peace and goodwill toward man,0.4567
468,goldman sachs updated price target is 250 huge losses incoming! sell now and buy puts easiest 100 percent play of your life,0.8023
469,Hopes are too high for this NK Summit. I believe NK wants restitution and we don't have it to give.,0.539
470,"Recro Pharma stock price target raised to $15 from $9 at OppenheimerApr. 4, 2019 at 12:40 p.m. ET by Tomi KilgoreRecro Pharma stock price target cut to $9 from $19 at OppenheimerMar. 25, 2019 at 8:32 a.m. ET by Tomi Kilgore",0.5462
471,Please God let someone else mend the world,0.6323
472,"Even as the nation celebrates Thanksgiving...The Donald ""Narcissus"" Trump...Can't let goYes GOPhers...Your LEADER needs to beCOMMITTEDGobble Gobble",0.7616
473,Wish I could have traded that little pop. Confusing talk from the fed.,0.2691
474,Trading is way down as the markets can only rise up. #Gravity,0.1289
475,I definitely like GS at 200.,0.6338
476,$NIO shorts should learn to know when they are burnt toast and to place their fresh slices of bread elsewhere.,-0.3512
477,"Berkshire is ready to take more losses. GS has to deal with U.S., EURO, Malaysia, etc. Singapore is safe. Good news is nobody will go to jail.https://www.cnbc.com/2018/12/21/malaysia-seeks-7point5-billion-in-reparations-from-goldman-sachs-ft.html",0.8012
478,Goldie Sacks just blew it's load.....and has revealed it's shooting blanks.....,-0.3531
479,How to be a victim this minute???????????????,-0.4533
480,$180 ... that is reasonable imho,0.0293
481,GS COOKING THE EARNINGS AGAIN. ALL CROKKKS,0.0692
482,If you aren't 100% in crypto. You don't know how to invest.,0.2162
483,MS CORTEZ BIG PLANS TO END SLAUGHTER AT THE BORDER,-0.1127
484,What is the difference between a communist and a Democrat?,0.0147
485,"Keep listening to the lies! They make money pumping constantly, you buy at the highs!!!",0.3911
486,"Way to go Dan Nathan on First Trades. Your ""sell"" recommendation is right on the money along with #$%$ Bove's ""sell"" call which was issued when Goldman was trading around 235. With Mr. Nathan's call expect 275 by next week.",0.7327
487,"JMO, but the following Documents a Major Trojan Horse-Like Political Mistake the D's are now making in Encouraging Far-Left-Socialist-'Squad'-Like-Pro-Iranian-Anti-Israel D' Legislators to be Welcomed AND Fully Assimilated into the D' Party...https://m.jpost.com/Middle-East/Senior-Iranian-commander-The-Islamic-republic-is-on-Israels-borders-597725",0.6988
