,Recent headlines and conversations for IBM,Polarity
1099,The stock is ex dividend today. No manipulation.,-0.0861
1100,"About one and a half months ago, I started mentioned how ridiculous it is that mighty IBM has been taken over by a relative unknown Zoom. at 100b.Well in a mere 5 weeks, Zoom is now worth 140b , and mighty IBM with top AI, cloud , quantum and all the bombastic terms is still stuck at 100b. So now even 3 rd tier companies are leaving IBM in the dust.So what should we compare IBM with next , fastly teledoc ?",0.1928
1101,I STILL IMHO EXPECT BY YEARS END A SLIGHT DIVIDEND INCREASE FOR THE 25YR MARK.,0.4386
1102,Oct report coming soon-lets hope RED HAT delivers.,0.4169
1103,great dividend pay more than bank interest rate for CDs.,0.8205
1104,Maybe finally time to buy? Could be the next Microsoft. When Ballmer finally left.,0.3771
1105,dividend safe?,0.5312
1106,"It's official IBM has officially become an Indian company.Country General Manager,Company Name IBM India Pvt Ltd Company Location Jeddah, SA https://www.linkedin.com/jobs/view/1517380284/",0.5162
1107,Do you think this has anything to do with Zacks comments?,0.3037
1108,I cannot believe all the companies that blew past IBM in the last 10 years...,-0.0279
1109,Was interested in IBM until they added Cohn. Not sure if I will buy the dip now after this bozo move!,0.7754
1110,Global Finance is next,-0.0338
1111,"IBM will break $130 today, and $135 after tomorrows earnings call. If we can get a lower resistance level of $130, then $135 will be the next level. If that is reached, we will test the $140 level. Great dividend for such a good value Stock price.",0.9285
1112,"IBM announced yet another massive layoff (2,000). They have been having layoffs of this magnitude every year for the past 6 years. Layoffs are never good. I was once fooled by words like “transformation”, and “inflection point”. No more...",-0.3156
1113,"MON APR 12, 2021 / 9:55 AM EDTIBM to name infrastructure services business 'Kyndryl' after spinoff (Reuters) - International Business Machines Corp said on Monday its managed infrastructure services business would be called ""Kyndryl"" after a planned spinoff into a public company later this year.The plan to separate was announced in 2020, and followed years of the Big Blue trimming its legacy businesses as it focused on its cloud offerings to counter slowing software sales and seasonal demand for its mainframe servers.Arvind Krishna, who took over as chief executive officer from Ginni Rometty in April last year, had earlier said IBM's software and solutions portfolio will account for the majority of company revenue after the separation.",0.9239
1114,"The market is so good for IBM, the earnings and revenue is the same as last year, that means IBM stops the bleeding. So the market awards IBM>",0.5842
1115,double digits soon....ibm is 10-15 yrs late for cloud tech,-0.0594
1116,u til the board takes action...IBM will.continue to languish in the 130 range. let's hope the economy remains good so it does not drop further. if a Democrat gets elected in 2020..the stock market will crash and IBM will go down faster than stormy Daniels,-0.2193
1117,IBM has always been at the forefront of technology. It makes sense for a technologist to come back in and take the reigns. I can’t wait to see IBM get back to its roots.,0.346
1118,"Nobody is talking about IBM's involvement in developing ""Blockchain"" technology. Yesterday the market cap of cryptocurriencies broke thru 1Trillion USD's for the first time. Bitcoin sold off when COVID spooked entire world markets and broke below $4,000 in March 2020. Yesterday Bitcoin broke thru $38,000 & has been on a tear since breaking its ATH, than busting thru 20K. Blockchain adoption is very real & the US Treasury announced this week that it will allow blockchain payments in the banking industry. Here is some foundational info on IBM's Blockchain Involvement & a big part is in the banking industry. https://www.ibm.com/blockchain/industries/financial-services",0.9047
1119,rometty is finally out. yaaaaay,0.2233
1120,"IBM is strong in research, and Patents creation. The CEO will unleash the power of the patents, and should monetize the patents and accelerate the reach of the patents and simply collect the royalties for many years to come.",0.9278
1121,This stock is really tough to watch anymore,0.2554
1122,This new format is terrible,-0.395
1123,Any recent comments on splitting up the company? It was a big positive when first announced. Not sure of the timing.,0.8349
1124,I know no one wants to hear the word SPLIT but I would like to see it so I can buy it lower and watch it grow.,0.7582
1125,I was always told - be careful what you wish for. Hope this is positive news.,0.9012
1126,Best stock buy in the market. IBM has re-invented itself and is poised to accelerate its growth in hybrid cloud. Red Hat acquisition was a brilliant move. Plus the 5% dividend is an added plum as it growth its stock price. The ultimate long term thinking company.,0.9739
1127,"IBM is a company that prides itself on performance measurements for all of it's employees, and over the last few decades has been ruthless in slashing any/all employees who do not measure up (and, sadly, many that do). It's pretty sad that after almost 6 years of the most pitiful leadership in the company's history, not only does Ginny Rometti keep her job, but she is awarded massive bonuses on top of it. This is beyond hypocrisy, this is borderline insanity. And this is why the stock is where it is, with little hope of recovery under the current leadership.",0.9483
1128,Ginni is amazing!,0.6239
1129,"There's so much fluff PR coming out this morning, I for a moment thought it started snowing.",0.6097
1130,IBM Super computer calculating in less than 1 second than any other companies.,0.7212
1131,"some short sellers got the div date wrong?IBM's own release ""... pay to the registered stockholders of 8/9/2019 …""",-0.3601
1132,IBM has gained a hugh market share and mind share with Redhat. Every cloud customer is now a IBM customer. IBM has 100 cloud market share always since Windows are dieding,0.7287
1133,ibm going to 200,-0.0046
1134,Stock price is lower today then September of 2001. That sums it up.,0.1972
1135,i think the news will be good enough to boost the stock price after the bell. even if the stock price stays the same you get a big fat dividend for holding it. better than a 30 year treasury paying 1%.,0.949
1136,What IBM really needs is an Asian/middle Eastern male CEO. Like a Satya nadella from Microsoft or a Jensen Huang from Nvidia. White CEO's demand way too much compensation for not doing much of anything (example Jeff Immelt),0.6012
1137,GAP FILLED don't understand WHY but always gets filled. OK like many things in LIFE I don't understand that is one of them. GB Main frame keep your bank account from getting HACKED,0.7105
1138,Going under $100 soon. They will cut dividend next quarter,-0.235
1139,Finally- liberation day for the languished stock price. BoD should have done this years ago but thankfully it's done. Up 10 tomorrow on the relief rally and upgrades as the future is finally bright and company now driven by someone who knows how to get it done - an experienced technician.,0.9648
1140,Is it possible for a stock to be up after ex dividend date?,0.5029
1141,"I won’t pretend to know more than Jim Chanos except I do recall him saying, some time ago, that Tesla was a good short. We all know what happen to that short for Jim! I get the sense, from that article, that he is suggesting some accounting “trickery” with IBM to make their EPS look legit. If IBM gets near $120.00, I’m considering a limit order on 100 shares. They have been faithful with their dividend!",0.7977
1142,"IBM will continue to lose contract bids because of inflated costs added to each contract for 4 layers of management who add no value to the end product. when IBM was successful and winning in the market, there was 2 layers of mgmt.",0.6626
1143,no other big tech company is more in need of leadership replacement then big blue which their investors are feeling again and again 'blue'.,0.3474
1144,Red Hat and new leadership will move IBM-they held back on CC.When next report comes we will see money come in. Enjoy DIV,0.5966
1145,"Ginny fired , quit, replaced ""who cares gone"" stock up $50 points, beyond terrible doesn't fully explain what shareholders are putting up with",-0.1504
1146,$132 now. Keep moving,0.4762
1147,"It's PANIC time! IBM just keeps going lower, what happened to $180.....",-0.7109
1148,"current CEO perhaps the worse IN HISTORY, Her being fired or quits, would jump the price of shares to $190 or mkt. cap where this terrible ceo took over 7 years ago",-0.9046
1149,gee a almost 20 point move in the week following Rome try being removed. the sun may shine on this stock again,0.5182
1150,Still think IBM will hit 400.00 a share within two years buying all I can!,0.5461
1151,This is what happens when you run a company hyper-MBA style for decades and then hire a couple technical people after it's already too late.,0.6298
1152,Traders see IBM is better than MSFT in values,0.6884
1153,"Just buy IBM and add as it drops. Five years from now, you will be glad you did. Too much good news priced in on other tech stocks.",0.8969
1154,So much for doom and gloom. Bang on the eps report. Big blue looks like it has turned the corner finally.,-0.2334
1155,Wonder how many people were let go to make those numbers. That was a big leap from 3rd qtr numbers... And with billions going for the merger of red hat..makes me think something or someone paid the price.,0.5947
1156,"I bought on 2/5 @152.79 saw it go up on 2/6 on the news about the CEO swap to 158 and change now it's down -5.1% in six trading sessions, I don't know I thought it was a good trade at the time I wish the new CEO all the best.",0.847
1157,10 pe for 2019! I’ll take some more tomorrow,0.2558
1158,Buffet is out,0.2638
1159,Arvind please flatten the IBM organization. It is bloated with way too many VP’s and too many MBA’ that add little value to IBM’s bottom line. Half it the VP’s at IBM could be let go with no negative impact on revenue! Do it today! That will signal real change to Walk Street!,-0.7366
1160,No new considerable product with MC of 200 nillion$ compare to 20 billion$ MC of AMD with cutting edge products . NVDA got 90 billion$ market cap losing marketshares to 7nm products of AMD too.$NVDA $INTC $IBM $AAPL $GOOGL $FB $MSFT,-0.669
1161,Valueline maintains IBM in their Dividend Portfolio.,0.2146
1162,$$$ DIVIDEND SHARES...1 share for Every 45 shares owned. I'm probably the ONLY Cryptocurrency STOCK to Finish GREEN this WEEK ( 4 % ) because my Token is backed by GOLD....AABBG. Stock payout planned first week of May.,0.9461
1163,IBM is clearly being accumulated. Great to see. 5 year high is $194. Hopefully IBM will go back to these levels. I did 3 buys already and will follow IBM up.,0.9028
1164,AMD is not just safer investment than gold or government securities. It's a substential gaining investment over all competition and semis including tech dinosaur $ibm .. so consider carefilly selling $intc $nvda $mu $tsla highly pumped sgares to buy AMD including long leaps call options. Never short term to avoid high manipulation untill AMD's ER end of April. But watch out for manipulation to add more if such .. ! Good luck to all longs.,0.9541
1165,I see this stock rising 10% today. That could be $158.,0.6924
1166,Typical overreaction from the market. Revenue is down less than 1% during an economic catastrophe and the market sells off 6.5%. This rebounds tomorrow.,-0.7941
1167,"How's that mainframe supply chain security? With the hardware security problems coming out of China these days, there may be renewed interest in IBM's mainframe (assuming it's still built in NY).",0.8309
1168,"wow these comments are hilarious. How do you all think this is a ceo problem and not just a market problem how many companies are making new 52 week lows everyday like jnj,apple,ip fedex and so on good companies at that",0.8023
1169,TSLA is now worth four times as much as IBM.,0.3215
1170,The first decision a new venture makes is often a forecast of the eventual success or failure of that venture. (Exhibit A: John McCain choosing Sarah Palin for VP). So...naming yourselves Kyndryl? Doesn't bode well!,0.6708
1171,"Why people don't understand the impact on the economy due to the COVID-19? How long it will take to bring the economy back in place? When the earning comes out, everyone will be fleeing the market and crash the market. Invest wisely.",0.5162
1172,"Not even one of IBM's Board of Directors has any background in anything that IBM does! Here is the link:https://www.ibm.com/investor/governance/board-of-directors.html Amazing that the IBM stock holders have elected these non-value add and unqualified talents to guide IBM to a greater competitiveness and increase shareholders value!! Looks like IBM could meet the fate of Sears, Eastman Kodak, GE, Xerox, Toys 'R' Us et al. unless some drastic change in management takes place ASAP! JMHO......... Tex",0.9493
1173,"First Ginny now Arvind, the demise of IBM continues.. I've noticed the headlines of Redhat have diminished and that might imply Redhat has met the challenge of a massive bureaucracy. It's time to move this investment money elsewhere.",-0.2417
1174,I could see 10 billion at most 15 billions but 34 billion nuts .,-0.4389
1175,"AI could be the 21st century's biggest new industry.Long a focal point of science fiction, AI is no longer a curious theme to ponder for the distant future; it's here. The best artificial intelligence stocks to buy already use processes like machine learning and neural networks on a daily basis. In fact, if you took away AI capabilities from the following companies, their profitability would instantly plummet – and three of them are trillion-dollar businesses, underscoring the new technology's importance to 2021's economy. The growth of artificial intelligence is also enviable; a 2020 report from Grand View Research estimated the global market size to be $39.9 billion in 2019 and projected a 42.2% compound annual growth rate between 2020 and 2027. Here are 10 AI companies making waves right now.",0.9822
1176,New quantum cloud is going make this run to $160-$180,0.2685
1177,"IBM down again. It now has less asset worth than a fast food restaurant, I Look for them to announce a dividend reduction at the next shareholder meeting in March because I dont think the board has its shareholders best interests and will NOT fire Rommety. Like GE's board who had to fire Immelt before the company fell into bankruptcy IBM BOD content to take their fee and stock for doing NOTHING! Vote them out!",0.9673
1178,"Another PC candidate destroying a company nothing new happens all the time.The first rule of the game in today,s world when a PC takes over get out ASAP your 1st. loss will be your best.The overall destruction of shareholder value by the PC crowd is virtually unblemished.",-0.8524
1179,earning not to bad. I will buy it when it drop,-0.6221
1180,"GOING to CLOSE in the GREEN TODAY...IBM and AABB Cryptocurrency..."" newschain asia broadband "" @^@)",0.1116
1181,"IBM is currently growing its core businesses which include cloud computing, AI and blockchain technology which includes cryptocurrency transactions. The potential for massive gains is here and real. Revenues are flattening and once one quarter shows a rising revenue stream the stock will take off to $200 before you can blink. BUYING BIG at these prices all the way to $150 which IS the base.",0.9638
1182,"still shy trading ...we need some ""serious"" analyst to confirm that IBM stock goes to 6000 or 7000...like Argus research who still keeps us on HOLD and in the same time TSLA on 900 is BUY for them ... :D",0.8032
1183,5% dividend is awesome!,0.7114
1184,With a forward PE of 10 and a dividend of 4.5% and EPS growth (driven by higher margin cloud investments) you accumulate IBM here. In 3 years will be $190. Good luck!,0.9094
1185,Bank of Thailand Launches World's First Government Savings Bond on IBM Blockchain Technology,-0.2171
1186,WOW!! You downgrade it here UBS? Brilliant!!,0.8644
1187,"Never been much of a believer in IBM, but when it dropped to $95, I loaded up on the promise of Watson and Blockchain initiatives. It was sitting at around $130 and then heard all the bad news about failed blockchain and started to drop fast and I sold around $119 taking my profits.. the minute I sold it turned round and was back up to $145 in less than a 60 days... :( I want to be long in this segment... I am very diversified including a good mix of real estate, industrials, retail but I like to hand pick my winners in the high growth tech space already having nice position in MSFT, Google, Amazon and NVIDIA.. I see IBM as too big, slow, old and carrying all the bones of it's ancestors.. when they do win it seems to be through size and position and not nimble ingenuity .. Anyways, not owning IBM really bugs me.. almost like a dark horse bet. waiting for spot to get back in and trying to forget I sold at $119.",0.9812
1188,"I am up by $250 Million since March 2020 thanks to the US Government and the Stock PUMPING Festival in the US that has started in March 2020! NOBODY Needs to work anymore! JUST BUY the US Stocks to get 300-400% RISK-FREE RETURN in a few weeks! THE US STOCK MARKET is a FREE MONEY ATM! BUY STOCKS AND GET QUICK RICH! Everyone will be a BILLIONAIRE! Even Janitors will have at least $50 Million in their Broker Accounts! EVERYBODY IS ALL IN! THERE IS NO RISK OF LOSING MONEY! 2-3% DAILY CAPITAL GAINS is a NEW RISK-FREE RATE OF RETURN Guaranteed by FED!Buy the US Stocks at these INSANE LEVELS TO GET QUICK RICH! Nobody cares about Absurd Valuations!EU, Russia, China, Turkey, India vow to create alternative reserve currency to ditch the US dollar, as the US Government continues to Print unlimited Dollars to PUMP the US Stock Prices artificially! DESPITE Tanking Corporate Revenues, ABSURD Valuations, Record Corporate Loss, Record high Corporate and National Debt, Record Stock Dilutions, Collapsing Economy, Pandemic, Upcoming and Ongoing wars, Political polarization, limited real resources, intensive competition drying growth opportunities, the US Government continues to PUMP the US Stock BUBBLE artificially! Everyone knows that the US Stock Market is a Fraudulent system! It will COLLAPSE BIG TIME very soon!The US Government is PUMPING Oil Prices artificially, DESPITE Shrinking Demand and Exponentially rising supply! Oil price went up from $1.00 to $60.00 in no time FOR NO REASON, thanks to FED. Soon, Oil will be USELESS and WORTHLESS, but the US Market Makers are seeing commodities as PUMP and DUMP Schemes!!!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $XPEV",0.6518
1189,"RED HAT people showing up all phases of IBM, bigger deals than PLTR on the horizon, $150 very quickly on stock",0.2133
1190,Bitcoin is up more in the last 7 weeks than IBM is up in the last 20 years. And it makes nothing!,0.5988
1191,I have seen many similar cases: $PBR at $2ish. ($125B in debt...never to get out and rebound..etc...) $CAR at $20s vs book$7 ...V shape or double bottom rebound. Loaded up $GE ...unlikely $7-8 super bearish short sellers' wet dream wish. Some said $PBR and $CAR...$C were all going to $1. Recall $IBM? $7-8 book or just for the $making units like Aero and health...but in reality no one can get $GE at that price...no one will sell $GE AT THAT $7-8 book... if no $GE aerospace technology.....there would be no great USA! Too important to fail! This is a re-test of recent low...it will just go steadily higher per internal technicals. BUY BUY BUY.,0.9485
1192,Great way to unlock shareholder value. Nice going IBM management. Nice going. Big Blue and “NewCo” shall rise again.,0.923
1193,did ibm announce dividend date and amount for november yet? just another variable to worry.,0.1821
1194,Back down to $130 next week. Buckle up folks we are late cycle and anything goes here. Risky days ahead,-0.5542
1195,Hard to understand why anyone would be surprised by this. The last quarter was bad too. The stock only went up because it wasn’t quite as bad as expected. It was obvious the mainframe sales helped drive the slight yearly revenue increase and additionally obvious they wouldn’t save the day this time. Stop expecting the CEO to be even adequate. She has failed consistently for 7 years. Why would you expect her to magically succeed now or at any time in the future? She talks a good show but never delivers. How much more of your money do you want her to destroy?,0.5942
1196,"Call Warren Buffet, the genius stock investor, to ask him what to do with IBM, he'll tell you.",0.6605
1197,IBM Slated to earn 12.41 next year. Historic pe is 15 times earnings put a 13.3 handle on that 165 per share. Numbers never lie. Ibm also reducing its debt. New Ceo made a politically correct move with face recognition imho Besides was not making much if any money on it.Amzn is also doing the same now.Llastly Fidelity top tech fund holds a top ten position in IBM. Always do your own dd but i am holding all of my Ibm shares. Good luck.,0.963
1198,"Great Intel news re selling Chip division for about $9 Billion, IBM also has different hidden assets it could sell to surface value. This INTC news bodes well for incredibly cheap IBM. Market is insane now, ZOOM worth more than IBM with only a small fraction of revenue and no profits. Ultimately, many of these growth at ANY price investments will crash and burn (as they always do). Solid free cash flow generating companies (dividend aristocrat as well) will do just fine. Short term thinking and investing is a recipe for very poor investing over the long run. Bullish",0.965
1199,days to manipulate earnings figures aka financial engineering for cos like IBM r finally over..I.e borrowing cheap money to buy back stocks or pay dividends is gone.. its okay back time now.. short or buy puts,0.5094
1200,Are you guys part of (http://tradenow.xyz)? They just talked about IBM,0.2847
1201,Who is really at the helm of this company. Elmer Fud?,-0.1839
1202,"I'm long still, but it is super frustrating.",0.5828
1203,Moving in the right direction. $117 to $136 pretty good. Looking for $150,0.7915
1204,Still undervalued,0.0428
1205,IBM is a totally new company since the past 3 years. I have seen the changes firsthand. More amazing things have happened in the past 3 years than in the previous 20 combined. This should be a $200 stock. It's brightest days are still ahead.,0.8836
1206,Ginni Rometty turns 61 today. Why is she still running this company?,0.5418
1207,I dont understand why the market hates ibm so much. it's not that bad and financials improving every day. yet it is constantly beat up,0.2507
1208,Insiders are buying big time. This should move up to $125.00 by end of week and then $135.00 bu end of month.,0.6058
1209,"the run from 117 to 140 back to 125 then the plunge to 117 is a complete cycle and seems rigged, they used earnings to drop it like a lead balloon",-0.6761
1210,6.00 dividend....,0.0
1211,at least were not Facebook! LMAO,0.7211
1212,The only difference between this stock and the Titanic is the Titanic had a band.,-0.5241
1213,IBM continues stock buy back and will increase earning per share as capital spending will increase for business for this year and next,0.7502
1214,IBM the rock in my portfolio.,0.5928
1215,Not good today but it can go back to $150 before end of the year!,0.4505
1216,i like ibm a d i like the 6 buck div,0.749
1217,Anyone know any cheap stocks with good future? I’m new to stocks,0.7503
1218,They should have kept Redhat as is and should have expanded its business .IBM cloud have merge with REDHAT as well .,0.4994
1219,So far the new Ceo is doing a fine job imho. Clear vision. Any stock can be manipulated look at the Wolf of Wall st. TGT was 48 a share a couple of years ago and people sold at the bottom. Over time earnings and pps must converge. So when we earn over 13 dollars a share again apply a conservative 13.3 multiple and we get 173 a share. Once IBM imho shows sustained growth again new highs will follow. Long term investors should not check the pps everyday and avoid these message boards if you have a weak stomach. Me i buy every chance i can at these levels.,0.9546
1220,"I used to work at IBM in the licensing group: you could see this coming. The company is a ""dead man walking"", and puts diversity above business. Expect that the dividend will be cut + no more share buybacks, and there will be a write down of goodwill for the Redhat acquisition. The financial engineering will only provide a smokescreen for so long - in fact, the bright light of truth is beginning to show it for what it is, borderline fraud!",0.8117
1221,vote your proxy to vote out bod and rommety before IBM becomes the next ge,0.7862
1222,LOL JUST SAYING WITH LITTLE GROWTH IN 2019 I WOULD SEE 140 B4 180 IMO! IF CISCO RECENT CLOUD GROWTH SLOWED WON'T THAT ALSO B THE CASE FOR IBM'S? BUFFETT GOT OUT 4 A REASON.,0.9548
1223,"When you leave and stock pops 7 bucks, that’s your legacy! Bye Ginni",0.1548
1224,SHORTING IBM HERE SHORT GUYS IM SHORTING 5000 SHARES,-0.1112
1225,The IBM bull is ready to gore its way to the SP500 chart from dog of the Dow to Bull of the Dow for 2021. Welcomes to join IBM’s bull run!,0.8424
1226,Getting real tired of the lack of performance. New management - maybe via AAPL buyout.,-0.2464
1227,"IBM needs to build things that people need. An affordable hybrid or electric car, an IBM Phone, Washer and dryer ( lol ) and a really good services business to support these devices. lets call it IBD = international business devices.",0.9185
1228,"Individually, we cant do much as the execs and big money people hold a LOT of IBM stock. Unless we all vote our small amount of shares to stop the BOD from being re-elected, they will get re-elected and the pain will continue. Watch closely. If the BOD does not act, VOTE YOUR SHARES to get THEM OUT.",0.9465
1229,"Apparently, IBM is still appealing to retirees who are too distracted by quarterly dividend payments to realize their principal is constantly declining. They would be better off in CDs.",0.5648
1230,"IBM: gap down: MAJOR correction in the card, look for 145$",-0.7025
1231,New IBM Cloud commercial out;IBM Cloud: The Most Open and Flexible Cloud,-0.1759
1232,"Bought IBM in the early 90's. Two splits later and dollar cost averaging every month since then I now own 10,500 shares. Ten years ago I was up $1 million. Now my profit is only half that although my stake is higher. The Rometty years have been a disaster and the BOD have contributed nothing. One poster claims the stock will hit $175 quickly. This is a pipe dream. I will settle for that if it takes 5 years. More likely to decline I am sorry to say. I am holding for the dividend since my yield on my average cost per share is around 9%. Let's hope there is something in future that brings up the share price but right now I don't see it.",0.923
1233,Look towards the split up of Hewlett-Packard to see future results of IBM. Hpe and hpq stock price. GLTA,0.7483
1234,Time for IBM to have a run like VIAC,0.5381
1235,How are Ginny’s “strategic imperatives” working out? Has the turn around happened yet? I know it’s only been 5+ years since the “transformation” started. But thought I would check in and see how it’s doing?,0.364
1236,30% growth in cloud? Can't say this is good for IBM's competitors.,0.5816
1237,"The market has spoken...Rometty cost to shareholders this last couple of weeks: about $40 a share. One recallsFiorina and her purchase of Compaq, which almost deep-sixed HP...sheer arrogance...After multiple times being named the worst CEO in the S&P, she could have retired quietly (at 61 she is over the traditional age of IBM retirementfor executives, which is 60). Instead, she decide on a ""brilliant"" move...putting the company and hundreds of thousands of employees and retirees at risk.",0.5
1238,This is so painful. Why does Ginni still have a job???,-0.4447
1239,$200 a share by xmas. Ya baby,0.7724
1240,1 % growth ??????....wow...what a powerhouse......that's a rounding error anywhere else,-0.3443
1241,You better all prepare yourself for IBM to be removed from the DOW. IBM no longer is a fair representation of an IT company. They would better put MSFT instead.,0.8504
1242,Bit uneasy about the aug monthly 150 calls I am holding. Should I buy put to hedge it or should I sell it tomorrow morning at whatever price? Any advice is highly appreciated,0.7238
1243,"This thing could turnaround in time it's been a mean machine before, great dividend too.",0.7506
1244,This dog has the potential to drop well below 130 before the day is over.,-0.0529
1245,"MY BUY TARGET WAS 118, but since they paid 15 billion more for red hat than market, I have now lowered the entry point to 103.I hate when companies overpay for acquisitions. 10-15% may be justified but 50-100 is not.Good Luckcontinue to wait.",0.0456
1246,"stock is absolutely oversold, 122-128 is fair range. that said, azure 50% you growth is a slap in IBM execs' faces. IBM cloud saw 10% you growth with all kinds of financial engineering, reorg magics. Growth driven name Redhat grew only 19%. Hybrid cloud my f. as. Even if the market is big, IBM wouldn't be able to be the one who grabs it.",0.9235
1247,"IBM could be a leader in block chain tech, which is the future of all transactions.",-0.1974
1248,"Companies that bought these products are in a bad place. First they will now have to deal with a curry house directly and secondly and more importantly, they can be sure there will be no more updates. What they have is now end of life. HCL is not a SW developer, they can't maintain nor update the software.",0.151
1249,I bought in at 90,-0.0464
1250,I agree with the Ceo that cutting the work force. IBM has way to many employees and that would help their bottom line. Now is the time for once to put the shareholders first.,0.4879
1251,This purchase marks the start of RedHat losing its supposed independence.,-0.0887
1252,IBM: Inflection Point On The Horizon $IBMhttps://seekingalpha.com/article/4199327,-0.0374
1253,Dividend date?,0.1339
1254,They will be spinning off services later this year. I think I'll make a few shekels off the divy and the spinoff. Every other stock is just too expensive.,0.86
1255,You can always count on IBM to “you know what” the Market rally,0.1779
1256,"Maybe RHT ceo takes over by end of month as IBM directors worry about their lack of fiduciary concern for us shareholders, OFF the charts up when they throw the mouthy CEO OUT , has anybody watched how much she babbles when given MICROPHONE?",0.2663
1257,Get ready tomorrow I saw after market reach $8 more for 5 min.,0.319
1258,I'm betting this earnings report will cause a significant swing in its price.\,0.4456
1259,"Reading today’s transcript of MS conference, would not be shocked if Whitehurst becomes CEO of the company. Impressive discussion.",0.861
1260,IBM shows strength as it approaches its ex-dividend date. GLTA.,0.8675
1261,"GSK dividend higher and has UPSIDE...IBM going to $111. Sorry, just reading the chart, I am not short.",0.671
1262,It is pity that how guys on tv push it down despite good results and low pe and dividends. They run after ridiculous amazon and Netflix and soon. Sentiment is so bad in ibm,-0.5888
1263,IBM future are based on hyped up estimates.,0.2748
1264,">>Vaccine Passports Have Arrived in New York. Here’s How to Fight Back. New York partnered with IBM to launch Excelsior Pass. The digital pass is portrayed as part of the state’s “safe reopening” plan, but is it really just a plan by Big Tech, Big Pharma and the government to commercialize personal health data?- Read more at The Defender",0.9091
1265,IBM to fund companies assisting other businesses in blockchain ledger applications.It appears that any company adopting blockchain applications becomes IBM dependent.https://finance.yahoo.com/news/ibm-comcast-ventures-back-fund-160000318.html,0.2377
1266,"The wh prediction made by Morgan Stanley's Katie Huberty that she sees the stock going to 198 is modest PE ratio of 14.29. A 14 PE of a giant like IBM is low for a company in the lead on AI, blockchain, security, quantum computing and other new technologies and services. IBM will show a lot of cloud growth because the offer more integrated services for the cloud.Assuming IRS delivers on revenue and net income progress on their high growth sectors, the 14 PE would be far too low.I personally think, that good revenue and net income progress for 1Q2018 will justify a PE of 18 - that would bring the stock up to $250. I am merely making the point that Huberty's forward 14 PE in justifying $198 is low. We shall see the progress they are making in their next report in mid-April. These is also some speculation that IBM will increase its dividend in April. The bottom line: the stock is a strong buy at current levels. We can all agree that if IBM delivers, as expected on its current advanced and cutting edge technologies, the IBM PE can go much higher. Assuming a forward PE of something like 18 (reasonable when compared to similar growth companies), the stock can ride up easily to $250. My point here is only that $198 can",0.9956
1267,Can we finally see 150 ?,0.1267
1268,https://www.fool.com/investing/2020/07/16/verizon-and-ibm-will-partner-on-5g-and-ai.aspx,0.0
1269,"I’ve officially concluded that SBI & IBM are the greatest, safest way to own all this Crypto - Block Chain mania. Things are just starting to heat up folks...",0.8203
1270,"What’s the chances that several of IBM’s R&D and offerings have been hard to monetize until recently?When you look at AI, block chain, automation and the addition, although a little late to the party, cloud and hybrid cloud, it seems IBM is poised to capitalize heavily for the next 5-10 years.The growth in fintech, crypto, e-commerce and the push to automate assembly lines with smart AI, and big data analysis needs, leads me to believe that the next 10 years could be IBM’s return to a leader in technology",0.9041
1271,Inept ceo now the company and lack of innovation. New ceo and acquisitions to save the day,0.6791
1272,@Jack I sure hope you've covered and went long. Today was a lucky second chance after you've missed last week's $41. By the way i hope you've sold $huya and $ibm ... not a good holding. ... especially Huya.,0.9526
1273,"wow, how is it possible that IBm can drop so quickly after the run yesterday, I just bought back at 126.47 ...where is the run i am in",0.6584
1274,Get ready for 120's after ER.,0.683
1275,IBM dropped below its resistance level of 130. BAD NEWS! Ginny needs to step down or the BOD replaced!,-0.4745
1276,Alert! Cloud growth accelerating! 23% vs. 16% growth! IBM going to all time high coming out of this pandemic!!!!Still true 4 days later!,0.9163
1277,Facebook not secure ? What a surprise ? From inception the US Government and many new it was not secure. But to give out private info was not expected ? What a great show today.,0.9455
1278,Nice move. Heading towards $125 !,0.495
1279,The CEO is just sad. Sad.,-0.6117
1280,"Wow, mind boggling premium. IBM shareholders - sad, Redhat shareholders - Happy.IBM will acquire all of the issued and outstanding common shares of Red Hat for $190.00 per share in cash,",0.8735
1281,KO signs long cloud with IBM-Red Hat.,0.448
1282,The dividend is $6.00 per year,0.2426
1283,"It's not a bad idea to buy back IBM now, a value stock with high dividend yield and very high growth potential.",0.838
1284,"IBM looks good for going forward, long and sustainable rebound. Happy trading and good luck to all.",0.9421
