,Recent headlines and conversations for BA,Polarity
391,will be up huge on earnings and guidance so buy now while you can.,0.7215
392,This is absolutely horrible to be so far negative when the DJIA is up nearly a percent,-0.6649
393,I need more money from Shorts today. Pleeeeeese ,0.2277
394,"I inherited - three working vaccines - vaccines distribution plans - secured border- peaceful Middle East - V shape recovery - energy surplus I improved most of that through 6 and counting trillions - 40% population highly doubt vaccines - 30% popular fully vaccinated - record migrants month over month- all out war in Middle East - higher unemployment - humongous inflation - 40% higher gas price- 300% higher price on everything - cancel culture fever- school closed until I stop wearing mask- record debts Thanks god for cnn, nbc, msnbc, wapo, and all other leftist media who is willing to hide the truth. Thank you yahoo for deleting my posts",0.9383
395,I give all my money to Boeing because Boeing protects my money and the country.,0.5475
396,"This story just repeats itself, getting old and tiresome.",0.232
397,"The stock is going to remain extremely range bound and pressured until the Max electrical problem is fixed, it's really as simple as that. No Max deliveries until that happens, and that is going to have a severely negative effect on April deliveries, Boeing already warned the market about that. And now we're 10 days into May and still no approved fix, so you're seeing 30% of May deliveries being impacted. Let this go to the end of this week and you'll be seeing half of May deliveries impacted. That's a lot of monthly revenue BA is losing. To get the stock price to accelerate upward, the market needs something tangible like resumed deliveries and resumed revenue. Until that happens, most big fund traders aren't going to speculate on BA. The Max electrical issue is dragging on long enough that it's probably going to have a measurably negative impact on 2Q earnings, especially if we get all the way to the end of May and still don't have a fix. Speculation and gambling isn't what fund managers are paid to do. Once the fix is approved, the price will head back upwards.",0.079
398,"OMG, Short interest increased by 5 folds! What's going on!!!!",0.3372
399,"$350 this summer, minimum. Get ready longs, BA will SOAR LIKE AN EAGLE!!!",0.8991
400,BA was never bubbles and always undervalued and now one of the best stock to buy.,0.8307
401,It could have been worse but it held close to 229. Once again index selling was responsible for the decline and not fundamentals. Tech selling really got the rout going and the turnaround there looked more like a dead cat bounce after extreme selling the last several days. I will be surprised if the Nasdaq selling is over.....,-0.7161
402,"The stocks I beefed up using money pulled from Boeing position were up Friday and Monday about 5%is each for both days. So yes, I feel okay about pulling back from overweight to just a full position. Still feel good about BA, bit feel good about other companies too. .",0.957
403,"Buy now, next Earnings Report will send BA to the MOON.",0.4993
404,Market cap........... 148 billionEnterprise value.. 187 billionStart a position right here...Right now.,-0.5125
405,That gd pullback was HD manipulation. All insiders new the story b4 we did,0.2036
406,We are hearing rumblings of a ceasefire in the Middle East.,0.2221
407,It’s on a tear,0.3853
408,"Needs to break 249.5 and hold above to break the upper descending trendline. If it does, we will go higher in the coming days.",-0.3078
409,"Had to go take a leak, is Boeing still up $6 today????",-0.3503
410,united Airlines told Forbes it is removing 16 of its 30 Boeing 737 MAX aircraft from its schedule and that it will “work closely” with the FAA and Boeing to determine when they can return to service.,0.3291
411,Been on this board from 145 entry :),0.6695
412,TSA post pandemic high. Many flights for summer fully booked,0.2335
413,"Boeing is going to wind up on top of the market shortly. Too many good things going, let alone huge travel increases. Don't fight it. Thank me later.",0.8147
414,Southwest order is worth $11B dollars or 1/12 of the market cap of Boeing. This stock is severely undervalued,-0.2905
415,Boeing went from $278 to $220 and a plane  didn’t even crash  off the coast of Bali,-0.0916
416,"""Southwest Airlines (LUV) released earnings that beat expectations on Thursday morning, and CEO Gary Kelly told Yahoo Finance Live that his mood is ""euphoric"" as passengers return to the skies.""Prepare for pushback from the gate and get ready for takeoff...",0.8267
417,May see $278 again in APR guys!,0.3067
418,"Surprise, surprise, surprise...down $7.00 from HoD to go red. Welcome to the Blowing stock way. Always a head fake to stir the libido.",0.2005
419,Sell sell sell,0.2073
420,Definitely trolling for a bottom. MACD is tantalizingly close to going positive and the stock held 220. Getting no help from the index sellers. I suspect that a good chunk of the gambling money that has been dumped into Bitcoin as it was going up was being leveraged out of margin accounts that had all the assets that have been dumped lately.,0.7456
421,737 max fix....LOL!,-0.1638
422,"1k at 228 today.... More tomorrow, hopefully.",0.3985
423,BUY AND HOLD. No reason to sell for now. Economy has yet to reopen amd this is the best stock for it!,0.7131
424,"The longer Max 737 remains grounded due to ""Nothing Burger"" quick fixes electrical issues, the quicker BA will reach $220!",-0.1672
425,"Right back to $241 tomorrow. The DOW crashed today, not BA.",0.1526
426,"OMG, OMG,OMG-what will happen now ""UPDATE 1-FAA auditing Boeing minor design change process after 737 MAX issueDavid ShepardsonThu., April 29, 2021, 4:25 p.m.",-0.6498
427,"247 back to 243.50 down 3.50 in 22 minutes of trade on heavy volume,,, this is an easy short back to 237 50 dma,,,",-0.4506
428,"Almost 2,000,000 passengers! This calls for a celebration.",0.1078
429,Anyone who is not buying now Need his/her to be examined,0.3758
430,"Still buying,averaging down,only choice I have,to low to sell!!!!!",-0.3578
431,"It’s been 6 months since FAA approved Max 737, still no words from China. Any ideas/news on progress ?",0.715
432,BA will bounce back over $250 next week. Only 2 people posted in the last 2 hours? I love it!$400 on the way.,0.647
433,15 coco/Iam accounts muted and this board is like a morgue. It's beautiful. It was all 1 guy.,0.8898
434,Boeing to experiment with recreational marijuana as ecofuel for grounded Dreamliners,0.5256
435,"If there is going to be dow rally this year boeing will lead it, it was beaten up hard, not only by covid, holding since april 2020, will hold until 2023.",-0.0451
436,Added here,-0.0452
437,"Breaking “ Boeing's 737 Max electrical problem faces further scrutiny: reportClaudia AssisWed, May 5, 2021, 11:59 AM·1 min ”",-0.7404
438,john below with 19 brand new posts. Good morning Iam/coco/brian/Tevline/Steve.,0.4138
439,"I think our government will give this company to the Chinese as a thank you gift for COVID19 rather than bail it out again. Shareholders, bondholders, well the folks in DC now think you are rich and this is the way to spread the (in this case UNWEALTH) around!",0.8802
440,"Omg, another one: ""ReutersFAA auditing Boeing minor design change process after 737 MAX issue""",-0.1577
441,Lord Dak DEMANDS $235 today!,0.0966
442,"Emirates could swap Boeing 777x for smaller Dreamliners, chairman saysReuters May 17, 2021 08:22:00 AM ET DUBAI, May 17 (Reuters) - Emirates could swap some of its order for 126 Boeing 777X jets for smaller 787 Dreamliners as part of a sweeping review of its future fleet requirements, its chairman said on Monday.""We are assessing our fleet requirement as we speak,"" Sheikh Ahmed bin Saeed al-Maktoum told reporters in Dubai.",-0.833
443,Boeing!!,0.0
444,Thank You Shorts!,0.5296
445,"Baird says add to Boeing on any weakness due to 'tiny fix' needed for MAX jets 10:06 BA After Boeing announced a temporary grounding of certain 737 MAX aircraft from a small batch of production aircraft that may or may not have proper fastening on a backup power system within the flight deck, Baird analyst Peter Arment said that ""on the surface"" this appears to be ""a very minor issue"" that will require a ""tiny fix."" The analyst, who thinks the grounding could last as little as a few hours or potentially a few days, would look to add to Boeing positions on this headline risk, especially given what he sees as the progress being made on overall deliveries. Arment keeps an Outperform rating and $306 price target on Boeing shares.",0.9115
446,BA continues to lead in technology and innovation like the OSPREY,0.592
447,hahahahhaahaha won't be drop to $212 lowest point,-0.2451
448,Easy 299 by August,0.4506
449,"RED DOW JONES.1,850,000 TSA passenger checkpoint record. Stay patient and you will be rewarded.",0.4905
450,"To meet future demand for long-haul connectivity, especially to North America and Europe, Boeing forecasts a market for 260 new wide-body airplanes such as the 787 Dreamliner. Carriers in the South Asian nation are expected to need 1,960 new single-aisle airplanes over the next 20 years.",-0.4599
451,"If you look at this from 270s and onward, there is still incredible value in BA long term. Sry I dont day trade. There is $100 to $150 upside in this stock over 2022 and beyond. BA will continue to have a great flow of MAX aircraft, defense contracts, and even exposure to air and space programs. You have Asia markets, Southwest, Airtravel returning, and other airlines taking advantage of the current market to get the fuel efficient MAX. There is a lot to look at as a long term investor FROM THIS POINT.",0.9769
452,Anyone besides me nervous about holding this into earnings?? Bought at 217 and already lost profits not selling at 275.,0.541
453,"Spring is the best month for Trave/Leisure stocks including homebuilders like NAIL LEN DHI TOL RCL UAL BA, etc. Check them out!",0.8961
454,"Hey shorts, you don't scare me, I have been loading up for a year and a half now, she would have to drop below 129 to affect me. And that ain't happening, thus the reason I loaded up when others were scared. In the words of the great @Charlie gonna Charlie "" #dropsmic """,0.7534
455,"@Anthony, inventory of planes is facing lengthy and costly fixes including the nothing burger electrical issues!!!!",-0.3158
456,Once again a nascent rally wiped out by index selling that started with the capitulation of the largest Nasdaq stocks that took the Dow down close to 300 points. The puts I have limit the damage. It's been the same story for three months now.....,-0.6151
457,"As always, Jin and associates gone into hiding!",-0.2537
458,I changed my mind. not 330 and not 400. 430!. been holding Boeing ever since May last year~,0.6541
459,"Boeing received the following orders in March:Southwest Airlines ordered 100 Boeing 737 MAX aircraft.United Airlines (UAL) ordered 25 Boeing 737 MAX aircraft.Alaska Airlines (ALK) ordered 32 Boeing 737 MAX aircraft.777 Partners ordered 24 Boeing 737 MAX aircraft.An unidentified customer ordered 3 Boeing 737 MAX aircraft.A Business Jet/VIP customer ordered 1 Boeing 737 MAX aircraft.The Australian Navy ordered 2 Boeing P-8s, the anti-submarine warfare and reconnaissance variant of the Boeing 737 Next Generation.The US Navy ordered 9 Boeing P-8s.",-0.921
460,"Everyone is so hyper focused on the 737 max situation, it will come as a Total Shock to Capital Markets when they land that Spacecraft Contract: It will Shoot up $80 in a single day,---and mark my words shorts: one day it will be at 886$ per share and you won't even be able to believe your eyes and will curse yourself saying ""And to think i was shorting it in the 200s and not listening to Ashley and buying the dips.""",-0.4001
461,the pump before the dump once again,-0.2251
462,"Hello, Frank/Annoymous/Dave/Jon and all other associates, I hope you are taking advantage of the discounted price, right!!!",0.815
463,"the pumping is over, !! and the bubble is about to pop!!",-0.4251
464,"Well, airlines and cruise lines are getting hit as well. The United earnings were particularly unsettling because there has been no return of business travel.",0.8323
465,$500 stock soon.,0.191
466,"If it can hold up here for an appreciable time, both shorts and the 227.50 call sellers are going to have to start thinking about covering, which will obviously put more upward pressure on the price. Let's see how it goes. Still got an hour and 40 minutes to go, and $0.50 isn't much of a ceiling. I'd say if it can break through 228.50 or 229, there's a really good chance of it holding there.",0.8958
467,Jobless claims fall to pandemic era low.,-0.7754
468,227 Wont Hold!!.........LOL!! Down 7.50 for the week...LOL!!,0.4332
469,$200 before $300. Place your bets.,0.0173
470,"Yesterday, Tim Clark revealed that the Boeing 777-9 will be essential for Emirates when the Airbus A380 is gradually retired. Clark pointed out the slot constraints at major hub airports, tied with the capacity of other available aircraft, saying that the 777-9 is the only place that Emirates can go.",0.7544
471,I dipped a toe in this morning will begin adding Lil at a time. Starting to look like a solid support area,0.654
472,"The Mighty Jin Dak promised you all $250 by Easter, and how did that work out? The 5'2"" huggable Dak promises you $424 by Thanksgiving. Expect it.",0.8588
473,Boeing fired 65 people over the last year for racist or discriminatory activity.,-0.8154
474,"TSA checkpoint travel numbers,4/22/2021 1,509,649 traveler!",-0.1184
475,219.84 AH...LOL!! THE TEENS ARE HERE!!,-0.7226
476,"There will be several things to look at when the earnings are reported. The earnings will look awful but once you get past that most people will be focusing on cash Levels, debt Reduction, order backlog , revenue forecast.....",0.6253
477,Impeach CornPop before he destroys the US,-0.4747
478,Alaska Air Group said Wednesday it will order 13 more Boeing 737 MAXs for its Alaska Airlines mainline fleet and 17 new Embraer 175s for its regional jet fleet.,0.6685
479,"Loaded May 28, 230 calls at 2.40 and 2.45. Expecting 100% gain end of this week.",0.4959
480,Pension fund is 97.6% funded. Thank you for boosting the price of Boeing stock.,0.7452
481,"Delta Airlines had to cancel nearly 100 flights on Sunday and Monday, due to staffing shortages. The airline carried more than a million passengers in the past few days, the highest number since before the pandemic began.",0.1233
482,Good buy BA MSFT ENPH today indeed!,0.6475
483,Airlines offer Mainers more flight choices as they brace for busy summer!https://bangordailynews.com/2021/04/21/business/maine-airports-new-flights-reflect-pent-up-demand-to-travel-amid-pandemic/,0.4152
484,"1,491,435 traveled through TSA checkpoints yesterday. More airplanes will be needed!!",-0.2184
485,Looking forward to the next 2 year.,-0.0024
486,7k shares to sell at 222.35 AH...LOL 2 million dollars worth,0.5634
487,338 this summer. easy,0.4346
488,The March deliveries prove the world is preparing for travel. Boeing will boost at a faster pace from here on. Any less than $325-$350 day is totally undervalued.,0.4269
489,Wall Street is so nice to let people buy shares under $300. This is hilarious to watch the bears out on a two hour inspection of an electrical wire that powers a back up generator. Meanwhile the delivery numbers and the resumption of air travel is here. Now. Boeing under $300 is a no brainer addition.,0.9433
490,Add to your position of BABA Great buying opportunity On Sale !,0.9109
491,So you thought Stimulus payment is free money? No sir. Someone has to pay it back,0.4531
492,"you ppl sure do like to pay up for stocks. BA has a ton of debt. i know, lets play rookie retail again tomorrow morning!! yeah we bid BA up at the open and get all excited then about 2 hours after the opening bell it starts falling and the pros take your money. yeah, lets see if you even get that far!! lol",0.9545
493,if they have 1 plane crash this will be trading 175.00 in a couple hours!,-0.4371
494,They wanted to dump it and they did it. The question is whether the dumping is over now? Anyway bought a ton of 280 June calls. If they keep dumping my wife will divorce me.,-0.6942
495,"Come on, hold the gain",0.5473
496,"Press release says they are ""replacing Boeing silos from the long overdue project that has sunk $50 bil into it................this sounds really bad........if they are losing their leadership position with the GOVERNMENT at a time when their other sales are questionable at best.............and $64 BILLION in debt..............I am out.........made money $800 trading last week, but bought 200 shares at $240 at the close. yesterday.................",0.5633
497,"S&P back at yesterday mornings levels, when boing was trading 228-229......LOL!!Continued Gross Under Performance, this stock id dying a slow steady death",0.3015
498,Due you guys realize the actual battle of a few of longs went thru. I was calling 300 back in November under 150. If you go back and see when I bought . Shorts that’s 120 bucks in 5 months . The beatings we gave them. Ba now is 350 guys if not 500 so load up I did last Friday and do not panic not a time this yr have we not come off highs to lower prices to make the higher prices look like you were a genius. Congrats to all longs it’s been a honour to put my money to work to help drive the price up. We’re all a team and as a Grouo we could make a difference and we surly have,0.969
499,It's a sting operation. coco brian Iam jake etc. all get paid to troll the forums. How funny is that? Sounds illegal.,0.4644
500,Is Boeing still $278? Not near a PC ,-0.0327
501,Yup Boeing has lost billions in sales still losing not selling maxs but stock is up from 140 to 260 for what )))),0.4741
502,"Banned since 2019, Boeing 737 Max allowed to overfly India with DGCA nod",-0.4535
503,Friday's setting up to be another red day. Count on it,0.4157
504,"Travel demand ticks up, hotel rates rise!https://www.cnbc.com/2021/04/28/hotel-rates-on-the-rise-as-travel-demand-ticks-up.html",0.3362
505,MM fading the stock before earning. look at pattern and volume. Classic,0.0018
506,Most likely some good news are coming out,0.6546
507,at what point does this reclaim $400 - should probably happen fast.,0.3115
508,The Boeing news feed must have been written by Debbie Downer.,-0.0454
509,"RED DOW, just buy more. Thank me next week.",0.2146
510,Shorts just one thing . Are you willing to wait all weekend fir more vaccines and more planes getting ready to fly? Yes we all know what your all hoping for. Not going to happen. Cover now or take a beating next week .,0.8772
511,beautiful day to trade BA. nothing but a beautiful downtrend the last 3 1/2 hours.,0.6638
512,BUY BUY BUY !!!!,0.7863
513,"Not that it should matter, but, I delete everything with a gif.",0.122
514,Does the equity sell come Monday?Hope not. Why is stock up if Cramer said pain thru quarter.,0.0029
515,$275-$285 within 10 working days.,-0.0055
516,"Jinny, oh great one...what's your prediction for tomorrow? I say red, but possible green by under a buck to give you some hope",0.8814
517,i'm thinking 260+ by june,0.0514
518,"LRG, stocks., Iam, Steve, Tevlin, jake, john, johnny, etc.All 1 fake poster with multiple accounts.",-0.3894
519,Joanne try for GM Nissan Toyota Mazda there's some death traps for you sweetheart and everybody drives them,0.5104
520,I see no catalyst in near term except the electric issue got resolved,0.0973
521,That chic was right...Mind med is up 30 percent this morning....thx girl u the bestBig coin to be made for sure.Better than BOEING,0.6782
522,"Smith also said in his statement that Boeing has no current plans to draw on its credit revolvers, ""as we continue to be confident that we have sufficient liquidity and are not planning to increase our debt levels.”",0.5776
523,"""Friday marked the busiest day for American airports in nearly 13 months""!BOING! Goes Boeing.Good luck...",0.1505
524,Joe Bidens economy,0.4639
525,"Boeing should be at 1000,where else can you buy a U.S.jet,BOEING is bigger than tesla !!!!!",0.5184
526,Airbus has even a bigger sale. Go buy Airbus. These two companies own the market and both will be back quick.,0.3425
527,Lots of money will be coming Boeing's way. All signs indicate travel season is going to be the biggest we have seen in decades.,-0.0375
528,"Amazon to Loft 3,236 Satellites Using Boeing-Lockheed Booster",0.1734
529,"Here we go $231 hold on guys, read the SPR nees",0.0983
530,"awww back to 230. No worries though, it is trending to 180 in no time. Over three months, there has been no tiny tiny order for max. The world has moved on and gotten over the troubling max, which is prone to kiss the ground rather than be up in the sky. On the other hand, airlines took a lesson from the pandemic: they can do a lot more with less thus avoid having to purchase more airplanes.",0.167
531,"Neos, Italy’s second-largest Italian airline has received official approval from the US Department of Transportation to operate scheduled passenger flights to and from the United States. Twice-weekly ""Covid-Tested"" flights will begin on 27 June, connecting New York with Milan, Italy’s center for business, fashion, shopping, design and architecture, and also the ideal starting point for exploring the rest of Italy and much of the European community. With traditional Italian hospitality and ultra-modern Boeing 787 Dreamliners, NEOS will certainly prove very popular for the 2021 travel season!”",0.8644
532,Buying as much as I can.,0.3611
533,US in Decline.......Boeing in Decline... that simple...LOL!,-0.1517
534,Air Travel Is Already Back to Normal in Some Places. Here’s Where.https://www.nytimes.com/2021/04/01/upshot/flights-rebounding-vacations.html,0.1406
535,Boeing   trivia:WHAT FALLS FASTER? Boeing planes out of the sky OR it’s stock price?,0.5013
536,"Boeing is the 11th-largest holding in the newly launched ARK Space Exploration & Innovation ETF (NYSEMKT:ARKX). As the world's second-largest maker of commercial airplanes and a leading aerospace company, Boeing has a clear role to play in the burgeoning space industry. Boeing's Defense, Space, and Security segment is a prime contractor for NASA's Space Launch System, a heavy-lift rocket for human space exploration. Boeing also builds satellites and software systems for commercial, military, and scientific exploration.",0.9833
537,Prediction 6 month BA will touch $300 to $325 price target,-0.2206
538,"April 1 (Reuters) - Fiji Airways said on Thursday it had received approval from its national aviation regulator to return its Boeing Co 737 MAX planes to service after a two-year grounding following two deadly crashes.The airline is the first operator in the Asia-Pacific region to confirm that its national regulator will allow flights to resume following additional crew training, including in the carrier's 737 MAX flight simulator.Australia and Japan had already approved the return of the 737 MAX and New Zealand on a case by case basis, but those countries do not have locally-based operators.",0.7063
539,"should be at 1000,,only reputable company to buy a jet",0.3705
540,I hope that’s the last problem expected a leap on this news,0.172
541,Boeing is going blast through $300 before May ends.,0.3886
542,BOEING GOOD,0.4404
543,here goes the run for RED!!,-0.3963
544,""" FAA is likely to ask for inspection on all Max 737 irrespective of the batch""",-0.0768
545,"Well Zachs which never gives Boeing any positives, is finally changing. It's admitting that the 737 has positive potential for Boeing and companies connected to it. In other words the success of Boeing is inevitable, sad that person has to read between the lines.",0.8965
546,"Buckle up Boeing Army : it will be a bumpy ride to $1,000 per share.",0.7133
547,amazed there atr way more puts then calls this week. 1st time in almost a year,0.4782
548,Shorts you got fooled . Yes we dropped just to let us buy and away we go soon . Cover cover cover push to 300 very soon,0.0961
549,Squeeze today will take us to 250 earnings will take us to 260+,0.1252
550,Problems fixe. Open the flood gate for deliveries,-0.3427
551,I have a sneaky suspicion weak will panic sell shorts will bet on ba going lower to find out we turn green green green all today...,-0.8598
552,Motley Fool hate for proven companies comes through as usual. They need to peddle their own stocks like luckin coffee and hate when something they don’t own comes through.,-0.2645
553,Boeing Gets Ready To Resume 737 MAX Productionhttps://simpleflying.com/boeing-737-max-production-restart/?utm_source=dlvr.it&utm_medium=twitter,0.0752
554,"The new Alaska Air deal comes just a day after Boeing said it sold 100 new 737 MAX-7 jets to long-time customer Southwest Airlines, in its biggest order win since the safety ban was lifted.Earlier this month, the planemaker won orders for 24 of the 737-8 model from a backer of Canadian low-cost carrier Flair Airlines.The 737-9 is expected to use 20% less fuel and reduce emissions by 20% per seat compared with airplanes it replaces, Boeing said in a statement.",0.9594
555,off 14.00 in 5 hours of trade!!....................LOL!,-0.244
556,sell,0.0704
557,Love the military / defense aspect of this company: that revenue could continue to go up,0.7322
558,sure keep selling,0.3914
559,Congratulation longs! It only gets better from here on.,0.8277
560,today is the last day to buy low right now. I am buying in every few seconds,0.1022
561,People in this chat talk about everything but Boeing! at least it's not the Microsoft chat always talking about dumb conspiracy theories around Bill Gates lmao.,-0.1708
562,"COVID is front and center today as the WHO says the virus is at its worst almost since the pandemic began....Naturally the worldwide recovery is at risk and the sky is falling. So is Boeing, Airlines, oil Stocks, recreation and cruise lines. All I will say is buy if you can....",0.861
563,There is now a lot of talk about a 3rd COVID wave with Canada tightening its borders and going into lock down. This news may put pressure on BA sp this Monday morning. Seems much negative news coming out lately to quash BA share price,-0.2497
564,Let’s all pray for a southwest order over the weekend of 300 to 400 planes  this will open up Monday over $300,0.5203
565,"“SEATTLE/PARIS (Reuters) -Planemaker Boeing has drawn up preliminary plans for a fresh sprint in 737 MAX output to as many as 42 jets a month in fall 2022, industry sources said.The plans would extend the U.S. company's recovery from overlapping safety and COVID-19 crises and lift output beyond an early 2022 target of 31 a month, which the sources said Boeing aims to reach in March.",0.8372
566,"Boeing should hit $375 by 4th of July, wouldn't you say?",-0.023
567,"Negative news is part of any company. If you can't handle that, get out of the aerospace sector and go fly a kite.Much safer for you...",0.6326
568,I love getting a window seat on UP days. The view is spectacular... ,0.8144
569,"American isn't alone in rebuilding its business. Southwest Airlines said Thursday it needs all flight attendants back at work this summer, and it is recalling the 2,700 who are on voluntary leaves of absence. After temporarily furloughing crewmembers, United is back to hiring, offering jobs to 300 new pilots. And Delta is bringing back about 400 of its pilots.",0.3164
570,"BA was heading to $300 on the resurgence of 737 Max flying and new orders for planes. Then both AAL and UAL CEO's came on CNBC to downplay the ""back to normal trade"" by saying that the future is unknown (no kidding) and that Business Travelers are still lagging.Instead of promoting travel, talking up the vaccines, exploding pent of demand...........they opt to be negative, non-committal and wet blankets.WHY? Lower expectations are easier to beat? If they are afraid to lay out plans to meet an improving COVID environment....they should stay home and stay off TV.",0.9482
571,Shorts scourge of the Earth,0.0691
572,"Do you think that flying will stop forever? Buy now, tomorrow is too late.",-0.3234
573,The quarterly is more about what is projected and if there is any concerns about the electrical or production issues. The rating analyst are well aware of the expected financials. Lets see how the forecast looks. I am long on this one for a while.,0.7672
574,"Get ready, 200 is coming sooner than you think.",0.6257
575,Boeing borrows 6 trillion money and buys its own shares.,0.4319
576,RED,-0.2444
577,so good bought in $224 19k shares,0.6054
578,"Up $60 last week, today down $3, tomorrow up $10. Dak loves money!",0.7025
579,mute Jin the spammer,-0.5041
580,BA will be a rising GREEN MACHINE today!,0.7683
581,Rip John,0.3947
582,"30k call options traded hands on the $260 strikes expiring this Friday, and almost 35k on the $255 strikes. Probably ends the week in between those two numbers",-0.3851
583,"down on big volume on new orders....LOL that my friends is NOT GOOD,, add to shorts its goining much lower",0.7161
584,cant hold 225.00 and the pumper croud is calling 260 next week...LOL!! this is hilarious!!,0.4869
585,even the bears wanna hit the beaches.,-0.073
586,"Boeing‘s Defense, Space & Security division reported $7.2 billion in revenue in its first quarter 2021 (Q1) financial results, reflecting a 19% jump from the same period in 2020. The division also increased its operating margin to 5.6%. However, most of these gains were due to increased orders for military aircraft.The division’s backlog now stands at $61 billion, of which 31% represents orders from customers outside the United States.",0.948
587,Expert breaks down travel deals as demand for vacation increases!https://abc7chicago.com/air-travel-flights-vacation-spots-cheap-airfare/10509844/,-0.6012
588,Update: Cramer's charitable fund only trimmed Boing holding and didn't sell off the entire position!,0.7895
589,"You are staring at a $5000 stock, do you realize this?",0.4801
590,"Classic BYDEN Market, Red Futures. You know, god forbid we go to bed with some ease since January. Thanks Prez 46, looking forward to your unemployment report this week you train wreck.",0.0497
591,"I bet we see $260 next week. Too much good news for Boeing coming out, including TSA travel numbers.",0.674
592,Just checked down 61 cents. R we in trouble ?,-0.5093
593,Boeing inks new deal with Group Aeromexico today for sale of 24 Max and 4 787 Dreamliners. News released at 3:45 on 04/23/2021,0.5981
594,"Hold on, the travel industry is booming however the media isn't talking about it. Boeing stock will catch up after Memorial Day!You will see $300 soon. You heard it here.",0.6229
595,I would rather own Apple! The 737 MAX and pandemic will make this stock unprofitable for years!,-0.1733
596,Orders keep coming because the whole world's old airplanes needs replacement. The minor electrical problems will be fixed within 4 weeks guys!,-0.4803
597,Johnn wants us to PREY our stock goes up.. BWAHAHAHAHAHAHAHAHA Johnn.. U went golfing for 20 minutes? LOLOL another lie,-0.0055
598,"Hey Jin, since your so knowlegedeable of Boeing Stock Price. Do u believe it only goes up never down in price ?",0.5893
599,Did you read the Sell Point article? As the company make Calhoun a hero after revealing the grounding wiring problem. I don’t remember anything like this in the companies history. Could another problem exist? Yes,0.8395
600,Recovering already,0.0852
601,155 more plane options also........ It is huge!!!,0.504
602,decent earnings and investors giving boeing some slack as recovery and vaccination is underway. Next earnings will have to be blowout as more plane orders come in imo,0.7783
603,Added 500 on the dip.,0.2406
604,BA held up pretty well.,0.7214
605,Cannot hold $224. P Oand S,0.0031
606,Be greedy when everyone is fearful.,-0.6194
607,"$245=$250 tomorrow, lol.",0.4232
608,"Boeing factories picking up, cancelations decreasing, deliveries increasing, travel increasing...lookin good longs!!!Boeing !!!",0.6841
609,Can't wait for the rebound!,0.242
610,Option expiry and some good news to help the option buyers. now wait for the bad news on monday,0.6804
611,Forever RED!!,-0.525
612,"A close observation of Delta Air Lines’ scheduled New York to Los Angeles reveals that the airline has upgraded the aircraft it primarily uses on the route. Previously, Delta had been flying mostly Boeing 767-300ER aircraft. Recently, and in the near term, the airline has upgraded many of those flights to Boeing 767-400ERs, which offer a much better passenger experience. However, Delta has not yet indicated if these planes are here to stay on the route, but there is a strong argument for the upgrade of plane type to stay.",0.6254
613,"ARK INVEST TO LAUNCH SPACE ETF. TRADING STARTS TOMORROW, March 29, 2021. Top holdings by weight include:Lockheed Martin — 4.5 % Boeing — 3.6 % $Ba $Lmt $Arkx",0.696
614,Whats with all the red this morning? lost all the gains from yesterday,-0.1227
615,"Coco, Johnn, Salamander ,i am and all the other personalities ....Good Job! You got your .61 cents",0.314
616,"As we said Uncle Joe can't do anything like he hasn't done in 51 years. We knew his ride on the coattails of his predecessor would end and it is. Inflation is up. Gasoline is back to pre-2017 prices. Groceries are up. And this is taking care of the poor and middle class? Guess who benefits from all these disaters. Yup, the rich democrats",0.9381
617,this thing wants RED for the 3rd time today!!...LOL!,-0.5144
618,"Always drops in the last half hour, what the f is wrong with this stock.",-0.1891
619,Electrical issues resolved planes are back in service.,0.1967
620,Cramer says he likes more stocks now ‘than I can ever recall.’,0.5808
621,Shorts are...,0.084
622,"Is BA heading to another plane crash .? with chain of negative news coming , will a terrible big news come this month",-0.7573
623,270 this week?,0.0623
624,this mornings 229.74...is a long way away!!.......7.00.....Pooooooooooooooooofff!!! GONE!!...LOL!!,0.6311
625,shorts win!! Again!!,0.7518
626,https://www.msn.com/en-us/travel/news/american-unveils-17-new-routes-goes-all-boeing-777-between-miami-and-jfk-in-big-summer-expansion/ar-BB1fDQYE,0.0
627,Boeing stock up $2.92. Gamestop stock up $22.46......and there's a problem with inflation???? OK,0.7465
628,The travel increases we have experienced over the past couple of weeks will drive BA up. The analysts will notice and increase their targets. We all know this stock should be sitting around $365-$380 today but need to be patient.,0.6397
629,"Thanks to my favorite short, note is is just one 1 (with multiple accounts):coco, brian, salamander, johnn, and Iam.",0.6917
630,Chart indicating that BA is heading toward $245 - $250 before you see $280 again!,0.3606
631,thought this was headed back to 230.00??...LOL!,0.2094
632,Why we not 233 as I have ore shares to buy. Oh well why the bounce. Shorts did you bet lol. Did I not say cover to 300,0.8433
633,"Welcome to the Boeing chat room. We are currently experiencing a high volume of trolls due to the pandemic. Please remain in your seats, enjoy the complimentary beverages, and enjoy your flight to $400",0.9378
634,$800 stock,0.1899
635,"BOEING STRONG, $300 in 3 weeks.The great One will call it ""3 in 3""",0.8632
636,"Still like BA but don't feel it is more than a double over the next 2-3 years so not quite as excited as some of you. Long Hold, though.",0.9293
637,$325 by 4th of July.,0.0063
