,Recent headlines and conversations for COST,Polarity
1254,"Stock Market is a scam in itself lol I’m convinced. They put out a ton of positive articles on COST beating, it beats, then tanks. Smfh",0.4665
1255,"so I love shopping there, does that make it a buy?",0.8436
1256,I see a GREEN close today.,0.2277
1257,BS downgrade. Bernstein is a moron and has no clue. He admits to missing the run up over the past few years. He’s probably loading up now.,-0.1466
1258,"I don't really understand the impact of the Amazon deal on Costco. Costco gets the majority of their profits from membership fees, I thought.",0.5615
1259,Buyer246.00,0.0
1260,I have never heard from such an informed message board. Dividend is payable tomorrow. How many times must that be repeated over and over. How could those who are informed invest in this market!,0.4646
1261,Missed on both side,-0.2733
1262,Another upgrade with a price target of $370.,0.2431
1263,Thanks for 167.30told u its a BBBBUUUUUUYYYYYYYYYYYYAMAZON trying OLD tricks again ...............................simply not working for COST.,0.4236
1264,"Costco on line is open for non-essential items, also we can shop online for produce and grocery's Costco best deal on the glove, did I hear they're opening a second Costco in China?Oh oh! I hope they'll do social distancing.",0.92
1265,Finally Up,0.2592
1266,"Once consumers have enough toilet paper and canned tuna (Kirkland is the best) they will stop shopping. They are not buying a tv, camera, prepared foods, or other luxury items. Sales will slump.",0.5157
1267,"Costco announced the quarterly dividend on 8/13, payable on 9/13. But no special dividend which is typically announced with the quarterly dividend. Could they be holding it back because of the possible recession and self-inflicted trade war with China?",0.3773
1268,let's get that ^$20,0.0126
1269,its a BEAR RALLY.........................................dont be fooled here.,-0.6765
1270,I sold. I love this company but shares will suffer as news gets worse. I start back in near 250.,-0.3979
1271,"3 days in a row, three decent day trades",0.1697
1272,Order in to buy 1st tranche at $295.,0.1218
1273,COST alwaysBOUNCES BACK in a hurry................................,0.014
1274,Train is leaving......................................hope you took advantage of the dips.....................380.00++++++,0.4093
1275,up up and away............................. forget other stocks........................just buy on the dips...............................,0.4433
1276,last chance to add under300.00,0.3967
1277,PE getting rich...,0.2413
1278,Costco Wholesale is down 4.92% to 366.70,0.3316
1279,I belive Costco will report increased sales and earnings. I also think this will be the last time increased sales will be reported as the previous years numbers harbor the pandemic induced panic buying. Though earnings should remain strong. A lot of whiners have complained of the wage increase. At Costco (as most places) very few hourly estimates are at the base wage. If you have worked at Costco over six months you have advanced on the pay scale. Small minded individuals are complaining of the $1.00 per hour raise the vast majority of Costco workers received. since they rescinded the covid combat pay ($2.00 per hour) received for the past year it is actually a pay cut. this will undoubtedly contribute to earnings.,0.7304
1280,COMPS UP 7% !!! Earnings BEAT. BUY BUY BUY,0.8994
1281,what is wrong with our stock?,-0.2582
1282,"Free delivery on orders over 35.00 plus tip to the driver. Wife has avoided going shopping in public. I'm happy camper, the M&M's are on the way. Just have to stay long with COST.",0.9493
1283,Every storm ends and I'm convinced that we're very close to hitting the bottom. Nothing fundamentally wrong with this company so don't worry. It's down $50 or 12% down from its highs which Isn't much on a grand scale. Patience is a virtue.,0.6446
1284,if Costco would only get toilet paper back in stock ,0.1406
1285,"Wow i am very surprised that this didn't sky rocket like Nike, walmart, Target, Aapl, Kroger, Carrier, etc.... What a joke.",0.81
1286,"Masks ok but why not gloves too? Touching all that stuff in there then get in your car, take your mask off and touch all over your car. Head scratcher.",0.1657
1287,Told youBUY THE SILLY DIPS..................................,0.0101
1288,"It seems to become more and more frequent that every time a company releases good earnings, the share price collapses...",0.6815
1289,Costco stock falls on sales miss; retailer says it found 'material weakness',-0.3047
1290,wow. whats up with COST? WMT or BABA planning to buy COST ? What explains this sudden interest ?Never thought would break even in one day! Loving it.,0.9063
1291,Lots of BIG BOYS buying today,0.5516
1292,"The special dividend ($10) is supposed to be paid for holders of COST today.Tomorrow, Dec 3 is ex-div date for the special dividend and not today.",0.847
1293,This stock is going up $6 minimum after Q4 earnings report.,0.4908
1294,"Costco Building going up in busy shopping district in North East Davenport,Iowa",0.8485
1295,Dead Stock on a day w a 600 point rise,-0.556
1296,cosco is making good money.. this is only down cause estimates were wrong.. not cause performance was bad,-0.0447
1297,I bet my entire 401k on Costco after the experts down graded them after Amazon bought Whole Foods. Thank you Costco.,0.4016
1298,"i make a lot purchases on Amazon. But there is no way that Amazon can compete based on shipping costs the absolute efficiency of driving ones SUV and loading up a monster cart with everything you need. I didn't think I needed Costco until last month when I saved a ton of money on New mattress, in addition to my regular purchases of nitrate free Turkey bacon, chocolate covered almonds, and don't forget that independant anaslysis of fake olive oil shows Kirkland brand organic olive oil is much better quality than what whole foodies selling.",0.9574
1299,"Moody's article out stating amazon actually weaker than Costco, walmart even best buy. Amazon while dominant in e-commerce, e-commerce only is 10% of retail. and their growth has been at the expense of profit. a good read.",0.9539
1300,Costco stores are full no matter what time of the day you go!!Looks like it be a record breaking quarter,0.5975
1301,I lost $1500 in stock values while I was in line at Costco,0.3953
1302,Falling knife. 182 is next resistance.,-0.7871
1303,"Don't give up on COST so easily! In addition to being a good long-term investment, its fundamentals are quite solid for this quarter, which indicates that there may still be a correction and a good appreciation in the short term (before the earnings date, March 4).",0.9087
1304,"Who the Fud Duck is selling at this price??? Why? Great price, super company who is making Money! $170 in 2 weeks!",0.8727
1305,Just put $30k into costco stock and let it sit for the next 10 years and also too moved all $140k of my 401k into costco stock hopefully when I retire 15 years later costco will double that amount for me to pay off my house,0.8655
1306,LMAO When people bash a stock that's going up.,0.8228
1307,Keep dropping. ha hah ahewww,0.4333
1308,up only $1.10 ? I guess I'll survive. You have to have patients,0.4812
1309,one of the only green stocks today you know this means they smash earnings,0.5205
1310,CORONAVIRUS OUTBREAKS AT CROWDED SUPERMARKETS,-0.2659
1311,why is the stock down today? I thought ex date was 5/10,0.1556
1312,"The fight between Amazon and walmart will destory every company that fails to adapt to the customer. Good day to be a customer, bad day to be any company that is not those 2.",-0.5323
1313,"In my two cents if COST put a "" KIRKLAND "" on an apple it will sold like a brand.",0.4251
1314,LOOK for afternoon sell off..............................buy orders ready 300-306.00,0.3237
1315,"It looks like everything is being manipulated in a downward trend, from stocks with strong balance sheets to precious metals. Where is the oversight? The stock market has truly become a lawless, wild west.",0.9049
1316,well I did it...sadly I sold everything time to move on..I bought at $275 a while back..so above water...but costco my favorite...but the company needs a new CEO and they fail to see that,0.5611
1317,What time is the earning report?,0.1875
1318,Ill be holding Kirkland toilet paper for the next 12 years :),0.1891
1319,"Believe yourself and hold, you can't loss more. 400 coming after ER",0.7124
1320,"I have a new theory on why COST dropped so much today (-$9.45 or -2.46%).Monday: demand for the $10 Special Dividend bid the price up +$3.29.Tuesday: opening stock price adjusted down by $10 but price was subsequently bid up +$5.79 due to widespread confusion on purchase date to be dividend eligible (see multiple posts Re: Ex-Div, Date of Record, etc).Wednesday: stock was down -$4.06, normal fluctuation or some selling after 6 consecutive days of increases.Today: most retail stocks (WMT, TGT, BBY) were down just under -1.0% due to estimates of lower than expected holiday sales, but COST was down -2.5%. This extra -1.5%, or #$%$75, could be due to Costco's November sales, which were only slightly below Sep & Oct, but I suspect most was attributable to those who unwittingly bought on Tue or Wed thinking they were eligible for the dividend and began dumping the stock.Does this sound reasonable? If so, it would explain Thursday's drop and provides a strong case for a quick and sharp recovery.",0.8232
1321,hello emperor nice to see you on board getting ready for the run,0.7957
1322,Targets are ALL over 400+++,-0.3019
1323,"FWIW, I just rolled up to the July $267.5 PUTs for $3.00.....8 contracts. Am getting ready to exit the $265's on a drop this afternoon.",0.6969
1324,FREE SAMPLES. ONLINE GROCERYRISE RISE RISE RISE RISE RISE RISE,0.4898
1325,today job report coming also .......and its bad ...dont know what impact it will have on market,-0.3396
1326,"everyone satisfied yet,,,costco is not effected by amazon at all,,,",0.6114
1327,The rest of today and Friday are BOT'S buying.,0.7995
1328,"Looking at Costco stock since mid 90s, up 1700%. Great. But then compare to Amazon over same time period, it’s up over 66,000%. Makes Costco look like a flat line. And an overpriced one right now based on PE and PEG.",0.9018
1329,waiting357.00,0.0
1330,Riley... What r u talking about?... $183 per share.. The price goes up... And what's up with the gas price and trade war?,0.2594
1331,"With trepidation, since i recently chastised hairbag for a bad call, i beleive the August earnings (still over a week away) will come in similar to July and I feel they will come in at a 12 - 14% increase over August a year ago.",-0.248
1332,$202.00 to $215.00 by end of month,0.0054
1333,Lady and gentleman. Last chance to get on the $$ wagon. Earnings will be announced aftermarket on Thursday. It will jump to $260 in Friday morning.,0.5652
1334,Monday morning any good news could rip markets higher.Their senate draft plan willPut markets put into the track?This is like hitting with hammer on good stocks Which are actually doing good in this environmentBuy all stocks and do not scared cats,0.91
1335,"I'm ok with the raise in minimum wage, im really against this mgmt team that has let hedge funds and shorts the ability to destroy the stock.they should all be fired, and the new mgmt buy back shares",0.7379
1336,The worst thing is it can go to zero!,-0.6415
1337,https://finance.yahoo.com/news/buy-costco-cost-stock-makes-153819148.html,0.0
1338,Selling outdated food.,-0.2926
1339,Feel very bad for the ones who sold their shares :( BACK TO $180 next week WEEEEEEEEEEEEEEEEEEEEEEEEEE,-0.5849
1340,Under $300 for sure today,0.341
1341,"because of that HUGE dividend,,,its a stupid play to buy on that last friday,,since its dropping $7 today,,,no benefit to ya,,,buy low and sell before it goes EX DIV",0.6622
1342,"Kirkland xo $46.99 aged 12 to 21 yrs, Kirkland 27 yrs blended Scotch whiskey $49.99 , cheap gas and organic food. Sorry amazon, this is the reason Costco gets 10% of my $50k salary every year.",0.4144
1343,On lunch going to get worse!,-0.462
1344,Alright I'm done playing this. Gonna wait til it hits 280 again.,0.577
1345,Five days ago we indicated that this week we are looking for a break out over resistance around $63.48 next leg up $65.80Have a great week.,0.6169
1346,why red? its gonna hit earnings 330+ soon!,-0.1884
1347,Love Costco to shop but there are better places to invest.,0.8549
1348,congrats to all who bought,0.5334
1349,The suspense is killing me....Any whisper numbers?,-0.4389
1350,"Massive growth potential, just bought",0.5543
1351,AH drop..figures we can't start driving this back up..geezus I decent day..10 more red days coming.,0.4029
1352,Costco declares a .70 cent dividend for next quarter. Keep up the good work,0.7487
1353,This is why Costco is so successful. Customers who shop there are smart. You won't see this type of behavior at Wal*Mart....,0.8985
1354,"Costco gives awards for ceo and other on 13 September almost 120 thousands shares as bonus, but on this way they reduced the shares value More shares and 0.00 cost and they can sale it next day It’s some thing wrong with that",0.9237
1355,"Too risky, don't buy, don't sell....",-0.256
1356,"Slaughter time LOL,LOL,LOL CON man CRAMER LOL, LOL,LOL",0.705
1357,"cost, HD, wmt and low have 50percent down, their price raise so high was very surprising, because their p/e too high and profit margin too low, all things price have peaked, so all things price will go down in future, plus people trending shopping online,",0.8657
1358,every single stock I own was green today...except manure costco,0.2618
1359,we just might have a $20 down day the way its looking,0.0013
1360,What sort of swing do you think a real good beat would create?+10.....+20....+30?,0.723
1361,It’s not A store! COST e-commerce covers the entire China with 1.5 billion ppl! Membership fee business model works best in this environment! COST will fill the position which AMZN can’t reach in China!,0.8112
1362,i'm ready for $300 a share.,0.5775
1363,I am going to be in at 100$,-0.0454
1364,Looking for more SILLY dips to add to positions.....................COST always rebounds.....................................,0.4517
1365,"this should be up huge in after hours, nothing but good in the report",0.7824
1366,Getting frustrated is what they want. I am frustrated now but I know better to not let it get the bestof me. The market knows how to flush out excessive margin and that is what this maybe now because the stock is acting extremely weird! Never buy stocks on margin!,0.5494
1367,Costco goes to $300 by July.,0.0095
1368,Ughhhhh....looks like I’m losing $40k tomorrow. Lucky my back up retirement plan is 9mm to the head.,0.5879
1369,https://seekingalpha.com/news/3580833-costco-teed-up-berkshire-hathaway-target,0.0
1370,people just dont like this stock over $300,0.5974
1371,COST Sampling coming back !!!!!!!!!!!!!!!!!!!!!!!!!!!look for the SILLY DIPS as buy opportunity.,0.729
1372,"I would like to recommend, Costco to MGMT, Costco whole sales store would open to the public, but with 1 condition, non member will pay additional 10%, above marked price witn, debit card or cash only, will bring in store net revenue and profit, to additional 10% to 15% or upto 20% per store.Only until pandemic time is over, also it will increase membership easy 10% to 15%, renewal.I would see with in a years, just as what amazon did it for trial period in the begining stage.",0.9695
1373,"I bought Costco at $150. a share a number of years ago. I bought because I could never find a time when there weren’t line ups. I liked the products and they pay their employees fairly with benefits. I liked the idea of the dividend, too. All those things remain the same. This is a great stock to have and to hold...",0.9501
1374,295.00FILLED !,0.0
1375,"Shorted at 284, will cover around 260 before earnings. This pos is over-bloated with a PE of 35. Nothing wrong with the company stock too expensive imo",0.1209
1376,"The stock itself is so boring, but after video clip, it is another bull stock that breaks out the trading range. On Friday it assures that the wild break out is confirmed. The only question is how high can COST go higher. I guess 15-20% from base 280s can be done with a few more clips from China and earnings report.",0.9355
1377,Futures up slightly!,0.2561
1378,No mask for me. It is not an enjoyable place to shop anymore. Sold my shares.,0.7346
1379,If Costco announces that they're going to focus on improving their ecommerce can you imagine how quickly this stock will rise,0.6544
1380,"PEOPLE ITS A GIFT HERE , it’s not a 1 time purchase people will continue to shop and hoard , wether it’s CV, earthquake, hurricane etc all over the WORLD .",0.9305
1381,COST rules the world,-0.2086
1382,When is the ER?,0.5199
1383,2 mins for er,0.3773
1384,Awful day! Who could have guesses?!,-0.4978
1385,this is going down on er date,0.1931
1386,3 cents WOWWWW ha ha ha aha hah,0.8649
1387,"I have been a Costco shareholder since the early 1990s with a single digit cost basis. This stock alone has made me wealthy. There have been many stock market fluctuations in 30 years and I rode them out. I am an investor not a trader. Asking every day why a stock goes up or down or being concerned about a week long downtrend will drive you crazy. If you want exposure to retail stocks, then Costco is a good choice in my opinion. Traders should look at momentum stocks not this type of retail stock. Having been an investor for 60 years I made my money over time, not in a week. Sometimes you get lucky and make money fast, but that doesn't happen very often. I luckily invested in the Magellan Fund in 1965 and reinvested annual payouts. So think long term and don't get fixated on short term fluctuations in a specific stock or the market as a whole. If you believe in the U.S. economy, then in the long run you will be rewarded.",0.9722
1388,Best stock to hold,0.7109
1389,"From a blog in 2007 ""Drive one vehicle, split the cost of gas. “Costco size” inflation I say. Be efficient with the dollar, save on food and gas the Costco way, plus you get a free meal with all the delicious finger snacks they distribute. Bottom line is you do not have to shop at Costco to buy Costco if know what I am saying stock pickers.""",0.9737
1390,"KEEP THAT POSITIVE ATTITUDE. NEVER QUESTION MGT AS TO WHY THEY DID WHAT THEY DO. KEEP QUIET AFTER ALL AS SOMEONE NOTED EARLIER...COST is not going to go down forever. It is one of the best run companies in the world and the business model is rockstar material. The stock price will eventually reflect this again. Wall Street doesn't always reward the etc... "" I PERSONALLY LIKE THIS PRICE. 300 AND LOWER IS THE GOAL. TO LOOSE %25 OF ITS VALUE IN LESS THAN 3 MONTHS...WHAT DO YOU THINK ? I THINK WE CAN MAKE IT.",0.9891
1391,Hopefully this makes up for kroger,0.5517
1392,all. all. hey. . . can we do,0.2291
1393,"Costco needs to implement rations on toilet paper, hand sanitizer and other cleaning supplies that are popular. Those 30 roll toilet paper packs should be limited to one per customer per month. Maybe send a coupon to each member that they must have to purchase.",0.8207
1394,Cramer says COST is a BUY .200+++++,0.1792
1395,If people breaking doors to enter makes you sell then I wish you the best of luck.,0.8611
1396,Numbers are GREAT !Analysts are expecting the impossible.........,0.7239
1397,Targets increased 210.0,0.2732
1398,nothing yet,0.0965
1399,Just go opposite of what Hairbag says and you’ll make some money,0.2857
1400,When will this year's special divined payout?,0.7686
1401,what's the chance this drops to 225-230 so I can get in long? heheh,0.6024
1402,Added on dip today50 units in total now,0.3297
1403,"Define miss, after accounting for .22 tax issue, they reported profits of 2.69 at the very top of analysts' expectations, in regards to revenues, pretty much in-line. Same stor sales supposedly missed, but wow, 5.1% increase, that must have been one heck of an expected number. Just saying, I know the media and analysts want a recession, but the numbers tell quite the opposite of a story. It may be down, but it sure the heck ain't out.",0.9348
1404,This VIRUS will be defeated !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Research making huge moves !,0.5284
1405,Costco would be 340 in less than 6 months.Just wait for the numbers. for next quarter.,0.2086
1406,Do you think cost will give out special bonus dividend this year?,0.8257
1407,buyer of the DUPS,-0.2403
1408,Giving back yesterday's $5 gain.,0.7204
1409,TARGET428.00,0.0
1410,"Look at $CHWY, it started negatively after IPO. Now it is in a coud nine . $STIC. $Bark is selling on $AMZN $COST Costco and all major Pet Stors. i.e Petco. They are going internationally. They use AI to automate its website. Think long term. Think how many pet owners, will buy anything for their dogs. They may go into pet insurance as well. Do not be miopic. Look through binoculars.  Cheers",0.9647
1411,https://www.barrons.com/articles/costco-february-same-store-sales-earnings-coronavirus-51583445707?siteid=yhoof2&yptr=yahoo,0.0
1412,"For sure -- it wont slip. Wish I did a call option, but o well. Going going...",0.6352
1413,Nothing in CNBC,0.4132
1414,Shop-rite much better store & u don't have to buy 2 dozen of one item.costblo is not worth the price.,0.6897
1415,unfortunately most of you longs will get burnt in the short term. Why? because 70% of their sales right now is food and food has the lowest margin of ebit of almost all sectors. I know...i own 2 food companies. The stock will drop to $170...maybe lower and will likely rocket to $500 within 5 years. But don't expect this to happen within 90 days. Do not hope trade. Caveat emptor.,-0.7804
1416,cost decemebr sales is sooo great,0.6042
1417,Thought this was an interesting take on Costco vs. The Virus...just a FYIhttps://investorplace.com/2020/03/costco-stock-is-a-safe-harbor-from-the-coronavirus-panic/,0.3641
1418,When are the monthly sales numbers coming out?,0.1546
1419,Looks like all retailers are taking a hit today for no reason. That's the crazy stock market for you.,0.0547
1420,Finally some real movement since the China news.,0.5697
1421,"I want the SEC to investigate and want a congressional hearing because this has been so manipulated for the past few weeks. Nevermind, I forgot it is only when retail does it!",0.182
1422,COST does what it does best ...........RECOVERS..................Its a Buy and HOLD here.nothing has changed .shorts soon to cover.,0.548
1423,awesome!,0.6588
1424,Bought Costco stocks @151 yesterday. I love this company. My family and I always buy foods and gas here. We save money. We also get double cash back from our membership and Citi card. I should've invested in this company when the stock was only $39 nine years ago,0.9391
1425,If it only turns out half as successful as Taiwan has been for them it will continue to grow and be a huge success. One out of 5 families in Taiwan have Costco memberships. They loved the guaranteed quality of USDA beef versus what they were getting before Costco arrived. Their meat departments are bigger than comparable US Costcos for that reason. My guess is you will see the same thing in China if more Costcos open there.,0.9611
1426,Definitely closing green today. Many upgrades with target boost.,0.5769
1427,"hey Kenny mason, besides dunkin being down big again today, I couldn't find any more stocks that were negative",-0.4956
1428,"cost needs to just quit announcing monthly sales, if you know anything about costco sales and earnings, they are always great numbers..but never good enough for wall st.",0.884
1429,Glued to screen all morning. Finally go in and avg $320ish after watching all morning.....all morning. Thinking I didn’t buy it at $324. Yippee! Then it promptly drops. You’re welcome.,0.7333
1430,AMZN not doing well lately too.,0.493
1431,"Bought Costco on this nice dip/opportunity. Now, can't wait for the pandemic to end so they start having samples again, and full food court menu.",0.8301
1432,Its going green.,0.0693
1433,Great stock! I would start to accumulate under 350. Still has room to fall,0.7721
1434,"just read that a deal in principle has been done with china. nothing signed, just in principle. this should send the markets higher tomorrow, which means COST most likely goes up with it.",0.704
1435,BUY BUY BUY,0.3739
1436,Next stop 248.00,-0.3031
1437,"The media is all in on the 'short and distort'. Where is the SEC? Oh right, freedom of press. Only it doesn't apply to anyone with a conservative bend.",0.7614
1438,Told youbuy these silly dips...................................300+ soon,0.0364
1439,costco finally gettin the love it deserves,0.6975
1440,thanks china for making this stock go up,0.7347
1441,-$10 drop today for no reason,-0.4674
1442,Time to get out,0.1745
1443,In the tank again,-0.4008
1444,158-160. big support hold,0.4833
1445,can't believe it still has no strength to go up . Somebody not covered yet?,0.2701
1446,Thanks for my BUY 295.00,0.6528
1447,wow!! great buying opportunity..,0.8906
1448,This stock just bleeds me money everyday.,0.2988
1449,"Start from $15 to $16, $1 raise for new hire is nothing, how many new hires Costco has?",0.7386
1450,full out bullish chart,0.6778
1451,"costco is getting set up to be killed....its 3% off its all time highs....when the hoarding ends, which it will, people will be not hiding here any longer...if we go into a depression , it will lose a third off its value just due to circumstances and lowering of ppe....theres no logical way other than DOWN",-0.8494
1452,The price going down AH makes no sense at all!,-0.2326
1453,REGARDLESS OF PARKING LOTS....COSTCO GOING DOWN TO $104 SINCE LOW DIVIDEND AND GROWTH IS OVER,0.1176
1454,230 soon?,0.0011
1455,"Monday morning,,,opening bell,, 150,000 shares and down $1,,,what manipulation",-0.2402
1456,"such a great company. They did this probably being one of the most responsible companies regarding the virus and at times limiting their own sales restricting customers in the store. There a machine with a moral compass, rare",0.8857
1457,break 230,-0.25
1458,Is it on ?,0.0359
1459,Love to say Costco the only up and up today but this too is a dream that will pull back a little hopefully not too much,0.906
1460,biggest problem with this company is having enough cashiers and parking for the daily onslaught of happy shoppers.I love shopping there as much as I love the stock. win win.,0.9749
1461,Do you suppose Costco directors forgot the div meeting?,0.2045
1462,Down 14% YTD. I don’t think I have ever seen it gain that much in a year’s time. Absolutely ,0.6547
1463,The stock is overpriced so it will take time for earnings to catch up.,0.3975
1464,Sup yall... probably a stupid question but will there b a CC w/guidance? Had heard that costco doesn't offer guidance... true?,-0.5582
1465,Is this true that COST doesn't give forward guidance? I'm new to COST and I have never knew anyone else to do this.,0.2444
1466,hoping the board of directors will see the horrific performance this ceo has given then these past few months and will replace him,-0.2601
1467,COST is the one to HOOOOOOOLD here !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.3409
1468,Good short.....,0.4404
1469,Waiting to add 299.00,0.2148
1470,costco bombed,0.0
1471,The hangover of WholeFoods/Amazon is wearing off. We were $180 before and are well on our way back there. Same great company Costco has always been and will continue to be. Hard to find a 10% gain positive outlook elsewhere.,0.9144
1472,"BINGO!Analyst Actions: RBC Capital Adjusts Costco Wholesale's Price Target to $439 From $419, Maintains Outperform RatingMT Newswires–8:21 AM",0.2526
1473,buy this quality stock for raining date. long.,0.6835
1474,WHY SO FLAT THEY BEAT ON EARNINGS,0.3166
1475,"""Tariffs are expected to cost American households up to $1,000 per year when the next round goes into effect on September 1, according to a new note by J.P. Morgan.""Yeah, isn't everyone enjoying their Donald Trump tax reform money???",0.3229
1476,numbers seem good,0.4429
1477,Got back in at $310.XX,0.0112
1478,Costco reports earnings this week and should put an end to this selling. I call an great up week for Costco stock. Upswing!,0.8517
1479,"Does anyone think Costco""s stock deserved to be down 9.98? The margins were down, but earnings beat by quite a bit. Amazon hardly has profit so what is wrong with Costco actually making good money and paying a dividend which Amazon will probably never be able to pay since they hardly make money. BOYCOTT THE CANCER THAT IS AMAZON.",0.3549
1480,"COST is in the race to become a short-term winner and is very likely to reach $ 390 before the earnings date, according to Zacks, COST is projected to report earnings of $2.37 per share, which would represent year-over-year growth of 12.86%. Meanwhile, our latest consensus estimate is calling for revenue of $43.53 billion, up 11.41% from the prior-year quarter. Looking at the full year, our Zacks Consensus Estimates suggest analysts are expecting earnings of $9.95 per share and revenue of $184.12 billion. These totals would mark changes of +12.43% and +10.41%, respectively, from last year.It is also worth noting that COST currently has a PEG ratio of 4.17. This popular metric is similar to the widely-known P/E ratio, with the difference being that the PEG ratio also takes into account the company's expected earnings growth rate. The Retail - Discount Stores was holding an average PEG ratio of 2.53 at yesterday's closing price.",0.9605
1481,Dow goes way under 20000 tomorrow with Apple massive revenue miss and terrible mfg. data in US.,-0.4977
1482,"wow, Kenny holding on to rite aid as it plummeted, and now getting bought out by walgreens for less than he paid for it? that guy has the worst investing skills ever",0.7077
1483,did anyone see how much this CEO pig makes?,-0.0179
1484,well over reaction from the market. A slight miss only.,0.1734
1485,"BJ,,,, big week of gains ahead in WTRH, june 16th finally here Crooked Market Maker.",0.3577
1486,Costco expects items returned from freaking customers,-0.3743
1487,I shop at costco more often than regular supermarket. It is always packed,0.5219
1488,up up and away........................thanks again for theSILLY DIPS.,0.4068
1489,Membership fees to Increase !,0.3765
1490,"Love Costco at this price and their special dividends. If the economy starts to tank, COST memberships are the last thing people cancel. Cheap gas and lunch make it worth the buy.",0.7806
1491,there is not enough upside for the risk with Amazon. only 200 targets,0.4807
1492,"I've been watching COST for a long time, and finally pulled the trigger <$300. Was hoping for $280, but don't know if it'll ever get there. I'm long this! GLTA longing!",0.9348
1493,This is a long term hold. I’m not sweating it. You don’t trade Costco you own it,0.7576
1494,"Saw in Forbes yesterday morning that Costco now offers a gift registry through MyRegistry.com, hopefully that will help boost the stock value a bit.",0.9197
1495,Hang Drumpf,0.1576
1496,"Waiting for 280""s to add some more.",0.3208
1497,Oppenheimer BUYING here today !what a bunch of SCAMS !,-0.3289
1498,Productivity -2.5 vs -5.5 was much better than expected,0.4462
1499,Costco,0.0
1500,"Costco stock has dropped a little,while their parking lots are still full and the $$$$$$$$$$$$$$$$$$ keep flowing in. How could any sane shareholder be afraid of bezos and whole foods?? There's no competition there....",0.517
1501,"""Costco Wholesale (COST) PT Raised to $295 at Oppenheimer""",0.4189
1502,"PUTS, PUTS, PUTS!!!",0.0
1503,just bought 10 shares,0.3856
1504,"Market makers selling down because in April they are releasing March sales figures. Go to there investor relations on their site, they release this figure every year in April. The sales will be through the roof.",0.0436
1505,"come on costco,,i need 160,,, my calls will be worth a fortune,, i also have the 157,50 puts, but a good run will help more,,if it tanks i make some but its close to a wash .. lets go COSTCo,,,,,just a quick run to 160",0.915
1506,"Blue chip company to keep long term. People like me are just Costco addicts - it's a system that WORKS. Glad I bought it at the dip around $158 - what a bargain! Holding fast for now, may buy more if it dips under $180",0.9399
1507,Anyone knows when will be the special dividend to be given? Thanks,0.7128
1508,COST should have at least the same PE as AMZN.,0.1245
1509,where gonna need a bigger store,-0.0756
1510,I've been investing in Costco for last 7 years. A lot. To the point of OCD. Love that company. I've seen drops like that before. Perfect time to buy. They open 10-12 stores a year. Renewal rate is 93%. Happy Holidays everyone! Special Dividend in 2019!,0.9691
1511,Save some cash to do some BUYING ...................................................,0.7725
1512,any guess of tomorrow's earning?,0.1368
1513,"damn,,,come on costco,,,170 is needed by tomorrow early on,,, lets run ,,,i am long tons of Calls,,made my money by selling half of them already but want the other half to be real big returns,,,,bought stock today at 168,,lets run it",0.8752
1514,anyone think this will ever get green again?,0.081
1515,Oh no. Membership fee will go up two rotisserie chickens ,-0.2175
1516,crooks pump-price up-crooks short-price down-crooks buy back,0.1886
1517,"Guess this could be indirectly related to trump...he destroys economy, feds need to save it, market goes up",-0.0047
1518,"I'm literally in the Costco parking lot and the entire lot is full of cars, everyone sitting in their cars.. It's the calm before the storm. Lol! Idk how this stock hasn't just kaboomed.",0.8133
1519,"I bought COST after the ""experts"" sold off because they were suggesting Amazon was going to destroy Costco's valuation.It was a nice dip to get in on. I'm a long time loyal customer and admire how they treat their employees not to mention me.",0.896
1520,COST...If you liked it at $393 you could really love it at $314. Really sad that a great company has just been hammered so badly.,0.766
1521,"Great news in the monthly sales figures! to the moon alice, to the moon... GLTA",0.833
1522,COST. Y’all can pound sand. And your face Burka Stazi at the doors? Or getting yelled at for sitting on a $3200 patio set. I told the specimen yelling at me that you want me to buy this without sitting on it first? It looked at me like I was speaking Esperanto. WA based company? I expected nothing less than hysterics.,-0.1809
1523,"Costco Wholesale Corp. (COST) said Thursday profit rose in the fiscal second quarter, lifted by rising sales, as the warehouse retail chain saw a boost from consumers stockpiling on items in light of coronavirus fears.Net income rose to $931 million during the quarter ended Feb. 16 from $889 million during the same period last year. On a per-share basis, Costco earned $2.10, compared with $2.01 a year earlier. Analysts polled by FactSet were expecting reported earnings of $2.05 a share.",0.9504
1524,The ones who sold today will regret it. Mark my words,-0.407
1525,"This piece of the US real estate market is flashing a warning sign:https://www.cnn.com/2019/08/29/investing/real-estate-warning/index.html--------------------------------------------Yup, recession has already begun...",-0.5622
1526,With good earnings and expectations. How could this happen? Any ideas?,0.6177
1527,Imagine if Macy’s had a + 11% comp sales ,0.022
1528,thia needs to stay above 365 to go up again,0.4921
1529,"More companies and school close for next week, people should buy more supplies for next week in this weekend. Buy buy buy!",0.6736
1530,What’s going on here?!,0.1022
1531,Up tomorrow,0.1885
1532,Apparently the CC is not good news. Selling off after being green (barely) earlier! Not a good sign.,0.8745
1533,Will be back to 300 in a week,-0.0299
1534,Thanks for the272.00 today !,0.5478
