,Recent headlines and conversations for K,Polarity
202,"They keep taking down the net weight of the products to give consumers less value. Sometimes they also raise the price. Customers are noticing and not buying as much imo. Be careful. Kelloggs playing a trick on its own customers hoping they don't notice. How about giving more for less instead of less for more, Kelloggs?",0.9268
203,"For those who think the company is an acquisition target worth several-fold the current valuation, I have a very simple four-part question that nobody is willing to answer:(1) What IS it actually worth?(2) What is the numerical basis of your valuation?(3) Who would be willing to pay that?(4) Why?If you’re speculating with $k’s of your personal wealth that the company is “a takeover target” and is actually worth 2 or 3 or 4x or more, then you must surely have a rational reason other than seeing Phil LeBeau do a report on CNBC. The outlets run stories on flying cars at least once a quarter as well but they have no meaning. What is the analytical reason why you have faith in the exploding value of a company with…-Technology purchased from the same automotive supply base available to every auto maker-No real market penetration, with “potential” business based on (a) a ~30% opportunity for a struggling and yet-funded Federal project and (b) a stack of non-binding LOIs-Massive CapEx and R&D spending ahead should the dog actually catch the car-Consistent 200%+ Costs vs Revenue BEFORE R&D or SG&A-Cash burn of $13M/qtr and $10M remaining cash as of 3/31.-A current value of $127MThis isn’t about who else owns shares, why you hate short-selling and think it should be outlawed, why it’s been worth way more in the past, what news service likes it, etc. The questions are: How much, the basis of how much, who would spend that, and why?",0.9867
204,You want to know who I would never want to see naked? That beast Michelle O ! Of course I'm gay so I have a problem with any naked women.,0.6031
205,Lying liberal Elizabeth A.k.a. Pocahontas grilled.https://m.youtube.com/watch?v=rau0A5w3OVI&itct=CBAQpDAYASITCL2AyJCMvdICFci-vgodRtsMOjIHcmVsYXRlZEiohsKBz42j9k0%3D,-0.5267
206,K is up 5.15% to 56.32,0.1818
207,#DumpKelloggs,0.0
208,Obama Worst President in modern times. He makes Jimmy Carter look good,-0.402
209,Most of the stuff this company makes is junk food,-0.1624
210,"I cannot bring myself to purchase products from a company who wants to censor my news. If Kellogg's were a news organization and its political biases were written on their chests, I could excuse their editorial biases, but I would not buy or read their rag. Whoever the imbecile is that made the decision to try to censor the news should step down from this organization and enter politics, or start their own news magazine. They have no business censoring my news, though.",-0.4606
211,"i own K, GIS, and CPB ... i will say on historical basis GIS has outperformed K and CPB. Going forward who knows ..",0.4015
212,"June $60 calls volume on fuego today, ",0.2607
213,When will these companies learn it is bad business to alienate their customers. How foolish.,-0.7143
214,"The company's sales are falling or at least not growing and for a political stance, they remove their advertising form the eyes of 19 million viewers per month. I wonder if they were asleep when the election numbers came in. As a former investor, 19 minutes ago, I've given up. Project K and ZBB might help the margins on an interim basis, but they won't help sales unless the investors never see the savings because they went into advertising to make up for the lost Breibart ads.",0.8676
215,"Hillary Clinton LoversStill have One last question for liberals what happened to all those Madame president postings they disappeared November 9, 2016.After Hillary Crushing Defeat and her blue wall ended her landslide win both Hillary, liberal polls and all bias liberal Fake News said she would win. They forgot to tell Trump.",0.0786
216,"Remember : It Took Obama 2,920 Days to 'Diminish America's Standing' — and Trump 77 Days to Fix It ",-0.3908
217,"With a Beta of only .60, this stock has to be one of the most boring stocks there is. For those thinking that this is a good buying opportunity, don't worry if you miss out, it's not going anywhere anytime soon. While you watch the rabbits run, you have this turtle just walking along. I like this stock, but it's a snoozer to watch.",0.8764
218,Want in on some hot income producing stocks that have been overlooked by everyone else? Just go to https://getstockdorks.blogspot.com/ .,0.389
219,honestly it not a sexy stock but it has held up better than most of my portfolio,0.9023
220,Israeli officers now know that the commander-in-chief of their American counterparts is clearly compromised read more: http://www.haaretz.com/israel-news/.premium-1.789674,0.5083
221,New CEO time,0.3122
222,When will these leftist CEO be thrown out? A business is there to sell products not enter politics.,0.4707
223,"Does anyone else chuckle when looking at the Kelloggs ticker after hours and see ""Post"" by the stock price. Haha Post cereal always gets the final say!",0.8243
224,Here are 5- failures that stand in stark contrast to the fictions Obama has been spreading about his legacy:Job growth was actually bad. ...Obamacare didn't cover 20 million people. ...Obama crippled the Democratic Party. ...Race relations are worse ... much worse. ...The most scandalous modern presidency.,-0.9
225,Does Stimulus package impacts my this snail investment? do people eat more cereals after getting money?,0.5117
226,"Is Battle Creek Michigan next?Dearborn Michigan is already a US Muslim city and Obama wants to bring in 100,000 more Syrian refugees who are Muslims into the USA  So how many of them will want to kill Americans because their terrorist. Thank God Obama only has 14 days left in office. Pray for president Trump he has a big mess to clean up.",-0.3862
227,"Cant break out over the overheard, downward sloping trendline from 72.99. The 6th try failed AGAIN today...... .",-0.7042
228,we are better off not being in Venezuela,0.4818
229,"I believe K is tracking downward ,toward it's 52 week low. I stopped buying their premium cereal months ago.Many others have joined the boycott. I'm hopping it drops to the $40.00 range.",-0.6136
230,Snowflake liberals like fritz nothing but a bunch of crybabies because they lost the election they control nothing in Washington DC. And they'll keep losing elections because of morons like fritz the spammer,-0.842
231,Do you think this EPS next Y of 4.28 is showing us a buy signal now on K? I mean its not the end all be all of indicators but its definitely a good guide stick from my experience. google aw-esomeSTOCKS - they offer pretty good trade alerrts. you dont have to trade their tickers but it definetly helps you recognize possible patterns for stocks you're trading.,0.9804
232,"Look at the Five-year chart , this is the safest stock out there and with a 4% dividend I'm all in the earnings could be nice on top of it all. 65-70 by summer.",0.8787
233,This is what happens when yountry to cater to the welfare market!,0.1252
234,K reached a 52 Week high at 68.19,0.3561
235,Crazy Hillary wanted to be President.Thank God she lost.https://m.youtube.com/watch?v=OqbDBRWb63s&itct=CAsQpDAYBiITCLv3kdGGvtICFcttqgodvQIN_DIHcmVsYXRlZEjHgeyFm8ucyYwB,0.1545
236,Trump is a winner and Liberals are cry babies and losers. Now try harder in 2020 ok loser fritz,-0.7156
237,Liar Hillary Clinton slept well as 4 Brave Americans died in Libya Embassy. Then she lied about the whole incident and so did Obama.https://m.youtube.com/watch?v=lV-QblDLi_o&itct=CBEQpDAYACITCIOz_JerwNICFQNfqgod7eQIBjIHcmVsYXRlZEiZ5af7xemE-p0B,-0.6009
238,"Lying Loser clown Chuck Schumer and crazy Nancy Pelosi caught on tape talking to Russians. They only whispered to the russians during the 2012 election wasn't enough,.. Schumer, Pelosi, Al Freaken caught having election influence meetings with russians too. Hypocrites democrat liberals.https://www.youtube.com/watch?v=NlJbANFUgZ8",-0.5321
239,I sold two weeks ago. Glad I did. This cereal is going down in milk.,0.2211
240,Liberals and gays favorite fake news queen.https://m.youtube.com/watch?v=rQn6GG6sf2A&itct=CBAQpDAYASITCPny-LDNztMCFQm6qgodEdoE0DIHcmVsYXRlZEiDtsGW7JqqjGY%3D,0.1058
241,I think K should not put black cartoons on cerial boxes anymore. that will help get the stock up past 75,0.6857
242,"Obama's good buddy - ABSOLUTLY DISGRACEFUL THUG PROPSERING OFF BLACK PEOPLE, HE HAS DONE NOTHING TO HELP BALCK AMERICANS BUT CAUSE VIOLENCE AS HE SOAKS IN THE WEALTH. FIT PEERFECT INTO THE DNC. http://www.newsmax.com/Newsfront/al-sharpton-confronted-activists-baltimore/2017/01/16/id/768841/",0.8214
243,"Kellogs does business with Billionaire George Soros, who share's their values.George Soros has financed the black lives matter, and provided paid protesters for Hillary over the summer.He is now bankrolling Jill Stein's recount scam to disrupt American democracy.Good luck selling your pesticide, GMO, product's to European socialist's.",-0.4815
244,Fritz / you're correct Obama was the worst president in modern times and the biggest liar,-0.8331
245,"Maybe if the CEO s spent more time running the company instead of plaing politics with the Kellogg foundation, we'd have better numbers. Is this guy related to Jeff Immeldt?",0.798
246,"I am tired of all companies trying to dictate social/moral standards. I can seek guidance of my choice in any manner Ichoos. a,pray",-0.2095
247,Something fishy going on here. Iranian Muslim Valerie Jarrett moved into Obama Washington DC home this week. Very weird to me. But now you know why Obama made such a horrible deal with Iran.https://m.youtube.com/watch?v=1kDk6KwV65U&itct=CBEQpDAYACITCOixzaC8vdICFVWdqgodTQgOAzIGcmVsbWZ1SM6Ep7Gs7qjLKg%3D%3D,-0.6077
248,K is down 8.25% to 58.41,-0.2462
249,More trouble for Obama and his IRS stooges that may warrant a new investigation. Isn't it funny how all these documents are showing up as the Obama toadies are are being drained from the swamp?http://www.washingtonexaminer.com/irs-has-7000-unreleased-documents-related-to-conservative-and-tea-party-targeting/article/2616837,-0.8226
250,Fritz- your boy Obama now ranked 5th worst President of all times. I think he makes Jimmy Carter look good.,-0.0645
251,"This company is a perfect example of everything that's wrong with the market. It has a PE ratio far better than most of the stocks on fire right now like Tesla, Amazon, and Zoom. They pay more in their dividends too. They have a proven track record during recessions and their current sales is proof that they are killing it again. Yet somehow the stock is stagnant.",0.0469
252,"Down -7.5%, why ?",-0.2037
253,Sore loser snowflakes favorite map still. Yes indeed--President TRUMP....the GREATEST EVER...better get Mt. RUSHMORE READY boys !! Here's the county by county ELECTION RESULTS AGAIN....WHAT a WIN !!http://imgur.com/hWJk55W,0.9298
254, democrat supporters are such idiots could be why they keep losing elections from coast-to-coast. Watch video is proof. https://m.youtube.com/watch?v=-XB2RJW87dg&itct=CBAQpDAYASITCNvDksnmxNICFYuvqgodhFoLqjIGcmVsbWZ1SKm9k_zMk7fr7wE%3D,0.5154
255,"Don't worree, be happeehttps://www.youtube.com/watch?v=P36x8rTb3jI",-0.0042
256,New CEO and board of directors time!!!! Why are we giving Bryant 16 million in options for doing a #$%$ job?,0.7855
257,is this a buy at this point??,0.2123
258,Down almost 7% in after hours,-0.3296
259,"LOL, this is not KHC but people are selling like the two are linked.",0.6925
260,KEEP THE BOYCOTT GOING!,-0.2938
261,Is this why Valerie Jarrett moved into Obama rental house in Washington DC? https://m.youtube.com/watch?v=nsKKNhW_eDc&itct=CAwQpDAYBSITCLmf_fbAtdMCFQjqqgodUNcOBDIHcmVsYXRlZEi4_pfF483Ms28%3D,-0.5163
262,My favorite picture.http://cdn.xl.thumbs.canstockphoto.com/canstock20690229.jpg,0.4844
263,Dividend could be boosted up a lil,0.6429
264,Next BYND. Mark my words! Long live longs!,0.5485
265,this is a slow moving stock,0.3336
266,Wow! Obama Pot smoking daughter just like daddy. https://m.youtube.com/watch?v=kSaPOPVaTo4&itct=CA4QpDAYAyITCOyNjbzgp9MCFYk6qgodx-cO5jIGcmVsbWZ1SNm28-SY2JmFXQ%3D%3D,0.8698
267,A golupa of approximate estimates should foreshadow the plethora of irrelevant nonsense that so many business networks are relaying about the imminent growth of this amazing stock with so much upward potential.,0.8775
268,Twnk buying Keebler ????,0.4695
269,$K Deutsche Bank lowers to $70www.stocktargetadvisor.com/blog/deutsche-bank-lowered-target-on-kellogg-companyknye-to-70-from-75/,-0.1799
270,K is up 5.31% to 59.26,0.1818
271,This is my savings account with 3% yield,0.0848
272,This is going to get dropped as soon as vacc distro begins.. sell and buy cvs and wba,0.0991
273,New CEOCleaning up the balance sheetLaid off almost all of the sales forceShedding all the trucks looks like Kellog will be sold,0.4485
274,honestly I'm had this for a while it's going nowhere..,0.5882
275,I am sure they are going to post huge sales and earnings,0.6423
276,President Trump is doing a great job making me rich you every day.,0.8253
277,"btw, did the right ever fawn over obama's record arms deals with the Saudis?http://www.reuters.com/article/us-usa-saudi-security-idUSKCN11D2JQ",0.1194
278,https://m.youtube.com/watch?v=6rVUcI08QY8&itct=CA4QpDAYAyITCLiRytCG-NMCFUjFqgodD5AD8DIGcmVsbWZ1SIDXw_bgn-CaKQ%3D%3D,0.0
279,"some tea people think only 'privileged' children, for example deserve health insurance and access to healthcare.Only in America, I guess.Most rich democracies regard health insurance and healthcare as a right, not a privilege. Regarding healthcare a a privilege is immoral, some tea are steeped in immorality.",0.9121
280,Why K's ceo salary is $3M+ and Post's ceo only $1M+?,0.1935
281,Democrats must have found some covid in a box of cereal....,0.0824
282,I'm going to pull a Taco Bell andMake a run for the boarder!https://www.youtube.com/watch?v=91m_1Jz528U,0.2116
283,K is up 4.97% to 65.67,0.1818
284,"The chart is horrible on this stock, has been in a slide since last summer.",-0.5786
285,Yes Trump still doing a great job cleaning up the Obama poop ,0.7558
286,"Trump"" ""election is rigged""More people vote for Hillary, the majority vote against Trump.as for the electoral college... take the example of Pennsylvania.... trump wins by 0.7% of votes but gets all 20 electoral votes...and even with how screwed up that is Trump'e electoral win was way below average.. about 10th from the bottom.....and ntm.. gop ajoles like trump whined and lied about Obama legitimacy for 8 years....Trump has the lowest approval of any US prez in 1st hundred days ever.and he has failed most all of the goals he set for himself for the first 100 days Trump has so far failed to pass any of the 10 pieces of legislation on the contract he announced in October.https://thinkprogress.org/donald-trumps-100-days-of-broken-promises-a4c116bbb2b4",-0.7602
287,Drats. I’m long the $60 calls,0.4357
288,Post market it will become $100....such a snail,-0.1863
289,Classless Obama shames himselfhttps://m.youtube.com/watch?v=vpa9Kfafarw,-0.4912
290,"Debbie Wasserman Shultz, Bob Menandez, Hillary Clinton and Clinton Money laundering Foundation to name a few. Tip of the rat criminals iceberg Bob Mueller needs to also investigate. But will anyone?",-0.4805
291,My company will NO LONGER be buying any products from Kellogg's due to being a Hillary pimped company,-0.22
292,Corrupt lying Obama only someone with Low I.Q. Would believe or trust.https://m.youtube.com/watch?v=UyIHeEobrKc,-0.6815
293, Paul Krugman gives Rachel Maddow a dose of reality. Makes her look like the fool she is. https://m.youtube.com/watch?v=0W7BpPnCw4M&itct=CBAQpDAYASITCLCjxpOa-NICFQOdqgodCb4F3DIHcmVsYXRlZEjLtfO-tOXvwccB,-0.221
294,"fritz reminder:Democrat Party of Losers now.Under incompetent President Obama, Democrats lost 986 state legislature seats, 12 governors, 69 House seats, 13 Senate seats. Oh, Democrats lost the White House, too.Democrats should hate Obama by now. Keep posting your liberal nonsense keep losing. Dead party now.",-0.9621
295,https://youtu.be/N1VlnjHjAms,0.0
296,"YAHOO- You are garbage! First you take away your online games for unknown reasons. Now you F@#$K the finance comments page up, by calling it ""conversations"". No need to come back to you guys anymore. Its garbage!",0.7717
297,Trump is making America great again. Trump continues to work hard for the tough issues... especially large tax breaks for middle Class. Keeping jobs in America.https://www.yahoo.com/news/trump-rallies-the-faithful-in-the-war-on-christmas-100006224.html,0.1036
298,You guys see this?http://www.vulture.com/2017/04/michael-moore-knows-when-donald-trump-will-be-impeached.html,0.0754
299,So Obama RATS WILL BE JUMPING OFF THE SHIP AND LOCKED UP.https://www.youtube.com/watch?v=NL8MHFgOLqo&feature=youtu.be,0.4113
300,Sandler downgrades Kellogg on weak growthwww.stocktargetadvisor.com/blog/piper-sandler-downgrades-kelloggknye-on-weak-growth/,-0.5851
301,"Fake News is a joke. ABC, NBC, MSNBC, CBS, CNN all bias liberal daily news you cannot trust. MSNBC lying Brian Williams and gay Rachel Maddow suffering total meltdown after having to call Trump our next president. Boy where those to liberal losers wrong. https://m.youtube.com/watch?v=2oZpTzTL9cU&itct=CAcQpDAYCiITCOePyuqovdICFYmTqgod_DEPGDIHcmVsYXRlZEjM9MPAnu3E7lI%3D",-0.6369
302,K is down 4.93% to 56.46,-0.2462
303,"After Kellogg played politics by donating Millions to the anti Trump Democrat fund, I cannot support them by buying any of the products they sell!",0.1589
304,Trump is doing a great job keeping us safe making America great again get over it crybaby sore loser Democrats.,0.6704
305,bought at 57 and sold at 63 .... a bit regretting....,0.0116
306,"Why would any responsible parent let their kids eat this ""scrum""The top ten worst, ranked by percent sugar by weight:1Kellogg's Honey Smacks55.6%2Post Golden Crisp51.9%3Kellogg's Froot Loops Marshmallow48.3%4Quaker Oats Cap'n Crunch's OOPS! All Berries46.9%5Quaker Oats Cap'n Crunch Original44.4%6Quaker Oats Oh!s44.4%7Kellogg's Smorz43.3%8Kellogg's Apple Jacks42.9%9Quaker Oats Cap'n Crunch's Crunch Berries42.3%10Kellogg's Froot Loops Original41.4",0.7428
307,Do you think this eps estimate for next quarter of 0.99 is showing us a buy signal now on K? I mean its not the end all be all of indicators but its definitely a good guide stick from my experience. I started receiving notifications from aawesomestocks the other week and so far they have presented interesting new trade ideas.,0.955
308,Why does Kellog always put their sugar cereal (e.g. frosted corn flakes) on sale but never things like plain corn flakes?,0.5097
309,The slide continues and will only get much worse. Q4 is a train wreck. Get ready for low 60's,-0.7433
310,"Is Battle Creek Michigan next?Yep--Dearborn Michigan is already a US Muslim city and Obama wants to bring in 100,000 more Syrian refugees who are Muslims how many of them will be terrorist?",-0.8369
311,Fun fact: 7x the avg. daily volume is short this stock.,0.6531
312,"Now Bill Clinton sees Hillary as a bitter and confused loser and as a dedicated husband offered advice which Hillary rejected without reading. Looks like Bill joins an ever growing group who think Hillary, with her 70+ excuses for losing and childish blame everyone else anger, has receded into her own little ""Wonderland"" and may be beyond help .http://www.dailymail.co.uk/news/article-4965858/Bill-Hillary-Clinton-haven-t-spoken-months.html?ITO=applenews",-0.8101
313,"Remember this sad fact:: Which is the Big Black Stain on the USA The conservative estimate regarding the number of baby killing abortions since Roe v. Wade is 54,000,000. That’s nine times Hitler’s holocaust. Assisted suicide was recently made legal in the state of California. The death penalty remains a blight on many of our states. This US Holocaust has to end. Hell will be full of the butchers that have done this and participated in killing these helpless little babies.",-0.9662
314,Someone knows something we don't,0.2052
315,God Bless the USA and God Bless President Trump who is being attacked daily by Fake News and hated filled angry liberals who keep losing elections from coast to coast,-0.2521
316,KHC is a much better value than K.,0.6776
317,"More deplorables.Michael D. Riley, 34, was charged with unlawful use of a weapon by a felon, possession of a controlled substance and child endangerment. He was scheduled to appear in bond court Saturday.Firearms and drugs were recovered from the home, police said, and the parents were taken into police custody.Chicago police spokesman Anthony Guglielmi called the shooting a ""travesty"" in a tweet Thursday night. He said the children were left alone in ""deplorable conditions"" in the home where the shooting occurred.Source: Parents Charged in 3-Year-Old's Accidental 'Cops and Robbers' Shooting | NBC Chicago http://www.nbcchicago.com/news/local/father-charged-boy-shooting-englewood-416467253.html#ixzz4biP45nz8 Follow us: @nbcchicago on Twitter | nbcchicago on FacebookShocker I know!",-0.8886
318,"Senior VP of R&D announced loads of new products, increasing interest in health and safety, strong focus on plant based",0.8834
319,Join the Boycott of all Kellogg products. They are a left wing liberal organization that opposes American values. Support Breitbart News.,0.4935
320,"Never forget--- Lying Obama, Hillary, Susan Rice, along with many democrats did mass coverup. Liberal lying press gave corrupt Obama a free pass. 4- Brave American 's died. Sad but 100% truehttps://reclaimourrepublic.wordpress.com/2017/02/16/video-new-docs-mb-obama-hillary-knew-benghazi-attack-not-caused-by-protests/",-0.509
321,Latest study indicates that I was correct all along about carbon credits doing almost nothing to reduce CO2. Anyone think Al Gore will refund those he scammed? https://insideclimatenews.org/news/19042017/cabon-emissions-credits-paris-climate-agreement?utm_source=twitter&utm_medium=social,0.637
322,Pepsi has been running lately... I wouldn't be surprised if Kellogg runs next,-0.0271
323,"Very difficult to see K not making a big run north. Yo you should really check out Awe-Som.e.Sto-cks., they seem on point with their stocks.",0.7219
324,"Why is K up big today, 1/25?",0.3926
325,"Somewhat off topic here, but obviously people here are investors. I would appreciate your opinions/advice. My brother and I recently inherited an IRA ($80,000) and it is to be divided equally between us. My sister was left off as a beneficiary which I felt was unjust and I want to give her half of the 1/3 I feel she deserves (Approximately $13,333). However, I am going to responsible for state and federal income taxes on the $40,000. My wife and I are in the Federal 22% taxable income bracket and the 6% State income tax bracket. Would I be right in reducing my sister's share by 28% since it appears I have to pay that much in tax on the $40,000? Thank you.",0.976
326,"I sold my entire stake in General Mills and put the proceeds into Kellogg's to consolidate my portfolio into fewer holdings. (I still have PEP, MDLZ, P&G as well in consumser defensives)-earnings beat-organic growthstrategic acquisitions and divestments-Good selection of plant based offerings (morningstar, Kashi, incogmeato)-innovative management-higher dividend yield than general mills-smaller market cap than general mills.Am I crazy?",0.7018
327,When does private equity enter? I suspect this year sometime.,-0.4154
328,Steaming down.. will be lower at end of week. Don’t buy until it’s below 57,-0.4571
329,"Wow, no comments in over two months. That speaks volumes.",0.2589
330,"40% of all workers in LA County (10.2 million people) are working for cash; and not paying taxes. This is because they are predominantly illegal immigrants, working without a green card.(Donald Trump was right)",-0.6928
331,I love Eric Clapton songs!https://www.youtube.com/watch?v=a7jAieAn5GE&list=RDTaWt6Vu0evs&index=8,0.6696
332,Remember Watergate Nixon lies. Now it is Obama gang of liars turn.https://m.youtube.com/watch?v=UNbFoRu1IRI&itct=CBEQpDAYACITCLSv3drSwNICFdaeqgodOd0EcjIGcmVsbWZ1SMO49-6u16KFIw%3D%3D,-0.609
333,Cheez It or Pringles for the weekend?,0.1075
334,"LOL don't agree with the political view of the company, Its just that people need to eat...Everyone eats..$$",0.403
335,"Fritz-- with 4,332 spams on Wal-Mart board and Liberal bias Yahoo lets the moron continue posting his liberal lies and trash 24/7 flag and report the mentally sick poster to Yahoo.",-0.7455
336, So Is Obama the anti christ ? You decide. Post comments too.https://m.youtube.com/watch?v=ftOaqW6C-d4&itct=CA4QpDAYACITCPrm7oqi8tMCFUsjqgod3UwFeTIHcmVsYXRlZEjPwvSA69yM6nM%3D,-0.354
337,The boycott is working. Sales are falling and the stock is down 16%,-0.499
338,Why do people like Barack Obama and most Democrats support baby killing abortion. Yet they're against the death penalty for convicted murderers?,-0.9261
339,Just sold my stock and me and my family will boycott everyone of their products!!!,0.3652
340,Here are 5- failures that stand in stark contrast to the fictions Obama has been spreading about his legacy:Job growth was actually bad for 8 yearsWorst GNP of any modern day President under 2% all 8 years for incompetent Obama Obamacare didn't cover 20 million people. ...Obama crippled the Democratic Party. ...Race relations are worse ... much worse. ...The most scandalous modern presidency.,-0.9398
341,Worth watch The crooked couple. I say Thank God Hillary lost.https://m.youtube.com/watch?v=GgewhoZcn9Y,0.7194
342,This CEO is even worse than his predecessor! Another new CEO needed!,0.2427
343,"Terrible sale at fire sale prices IMO... WHY? I don't get why they needed to do this now. Not to mention, shows how inept they were when buying Keebler many years back. I recently bought a small amount of K and this has me questioning my decision. Will wait for more info to come out before making final decision on next moves.",0.7808
344,"How much is Brett Arends getting paid by the hedgies to pump this ""latest revelation on fake meat burgers?"" He's only posted the article 3 consecutive days. It is your gift to get out before Kellogg's posts a profit warning.",0.4853
345,Mr. Magoo says- Most corrupt couple in the past 50 years to have power inside the beltway. American voters should be happy 4 years of Clinton's after 8 years of Obama's incompetence would be a National Disaster. Thank God she lost.https://m.youtube.com/watch?v=F5JapU0Vf44,0.6887
346,"Kellogg CEO, John A. Bryant, should be fired and thrown in a bowl of soggy corn flakes.",-0.6705
347,Pervert Bill Clinton was Impeached for lying about the mess he made on Monica' s dress. Yet bias liberal press looks at Dirty Bill Clinton as a god. He was a National Disgrace liberal media hypocrites. https://m.youtube.com/watch?v=EZSHEsVcDkM&itct=CAgQpDAYCSITCPjcjvOItNMCFcSxqgodpOkOezIHcmVsYXRlZEi81f20n6Wvy74B,-0.8536
348,"complete idiotsalienating half of America b/c of radical left leanings of some of the executives, STOOOOPID!!!",-0.3537
349,I ditto Paul ...morningstar farms has lots of growth ahead ...veggie meat is here to stay ..cows are very happy ...investors should be too..,0.7692
350,What a beautiful stock!,0.7246
351,Kellogs stepped on their diycks because of their libterd Breitbart deal.Message to the CEO: Make cereal and stay out of politics!Financially you will suffer due to this stupidity!,-0.6381
352,ran on the high...be back to rebuy plus some after the drop,0.3378
353,Why has Kellogg's Foundation been selling huge quantities of stock at regular intervals?,0.4785
354,Managing to lose 9% of shareholder value in 24 hours doesn't exactly indicate good management/ earnings guidance?,-0.3335
355,Great buy at this price,0.7184
356,"So, what do you guys thinkTrump is going to do today to get myliberal panties in a wad?",0.2046
357,"Obama is sick - Pray for him. By Mayo Clinic Staff definition of Obamas illness. Obama has a Narcissistic personality disorder is a mental disorder in which people have an inflated sense of their own importance, a deep need for admiration and a lack of empathy for others. But behind this mask of ultraconfidence lies a fragile self-esteem that's vulnerable to the slightest criticism.",-0.9176
358,Crybaby Hillary wanted to be president thank God she lost. Now Hillary is a two-time loser. I hope she runs again in 2020 that'll make her a three-time loserhttps://m.youtube.com/watch?v=V-UWA3vri1o,0.5782
359,The liberal losers at fake news MSNBC are not laughing anymore.https://m.youtube.com/watch?v=tQgq_R13V3s,-0.418
360,I bought 2000 shares at $9.75 last week and another 2000 shares at $8.80. I hope that this is the right move. I need to cash out and hopefully make a few $K sometime in May to pay my kid college expenses.,0.8737
361,MADARCHOD STOCK,0.1899
362,KZIA Positive Interim Efficacy Data from GDC-0084 Phase II Study in Glioblastoma 3 Million Share Float https://finance.yahoo.com/news/positive-interim-efficacy-data-gdc-230000905.html,0.7888
363,"I've had my eye on this as it keeps popping up on some screens I run but it keeps heading south. Consensus undervalued here by $10-$15, low beta, good yield and the only negatives being reported are insider selling - primarily by the Kellogg Trust Foundation at around 83,000 shares at a pop. I'll continue to wait and keep my eye on this until it starts heading back north.",0.9655
364,Goodbye Kellogg's,-0.2756
365,"You know President Trump is doing good job when you see all those liberal heads exploding. No matter how many marches they conduct, or what amounts to the sky is falling paranoia, the beat goes on, and I mean Beat. The left wing stooges are trying to up end the Trump Presidency, but there is nothing there to prop it. Buck up, 4 years of thrashing and bashing in vain, to the delight of conservatives. Liberals are cry baby sore losers that now control nothing.",-0.4083
366,still under 'pressure'..... trummpy the lying conman might now fire the special prosecutor.... coverup coverup coverup his crimeshttps://www.nytimes.com/2017/05/19/us/politics/trump-russia-comey.html?_r=0,-0.4564
367,"Do not buy Kellogg’s products! They promote hard lefty causes. We refuse to buy any of their products due to their politics. As an aside, why are they so vociferous into politics? Doesn’t make sense.",0.3283
368,"New health bar - Roundup and oats ---on sale , also PPB beef , 10 pounds for a dollar--we cant shop at whole foods , so we eat dirt-- Geno-cide of the poor black babies---ROUNDUP in oats -----",-0.6095
369,Poor Hillary 2 time loser and aging fast https://m.youtube.com/watch?v=OXOiTaC1pw4,-0.7577
370,K is down 5.13% to 65.42,-0.2462
371,A little reality in history for you......http://www.christianheadlines.com/columnists/breakpoint/how-evangelical-christianity-saved-the-university-of-virginia.html,-0.259
372,"K & PEP are now in the ""No Buy Zone"". Hasta la vista baby !",-0.173
373,why it is down today? market support?,0.3652
374,"I love this company...I eat a lot of its products.I like what they're doing to branch out into growing food categories (vegetarian/vegan).I like that they are acquisitioning food companies in emerging markets and divesting from low margin companies.But damn do they have a hard time managing their debt. With such a high divvy (which I also like), they can't meaningfully pay it down and will be perpetually stuck in a cycle of debt servicing and restricted cash flow.In their defense, their restructuring has cost a fair penny but I need to see better results before feeling comfortable returning to this stock. Just look at that awful current ratio...",0.8235
375,Deplorable!http://dailycaller.com/2017/03/11/proof-hillary-clinton-ran-the-most-deplorable-presidential-campaign-in-modern-history/,0.0
376,K reached a 52 Week high at 67.85,0.3561
377,If we are to go off the RSI then you could argue that a pull back next day or so could occur on K before rallying up. Ive been struggling with this stock lately. Some of my other trades have been from AWEsome-Stocks-s which are working out pretty well.,0.9059
378, muslim Valerie Jarrett corrupt evil as Obama she was Obamas puppet master.https://m.youtube.com/watch?v=Rs6sV3iwYVI,-0.7042
379,"Real Special K, You sell a product to customers why make any customers angry ? Sell your product, use the money to fund what you value, don't tick off 20 million people that is stupid.",0.4144
380,"I actually intended to buy shares of K. Whew. Dodged that bullet. GIS is the one to own.Plus, I don't want politics for breakfast. I don't want my food produced by rabid activists of any party.",0.7896
381, Mr. Magoo says- Obama lied so many times I lost count. And Is now Lying about wiretapping Trump Tower. Obamas a pathological liar. https://m.youtube.com/watch?v=G7kmIWGUiO0&itct=CAoQpDAYByITCLmApdOvxdICFdHRqgodzrgGnTIGcmVsbWZ1SKm9k_zMk7fr7wE%3D,-0.8504
382,Hopefully Trump will build a wall around this chithole.http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170311-story.html,0.3377
383,Remember when gay loser fake news queen Rachel Maddow predicted Hillary to win by a landslide. Now watch the video and the smirk on her face get wiped off as Trump wins.https://m.youtube.com/watch?v=Ut0TaegQ-kw,-0.291
384,"Sad but 100% true, Obama biggest lying corrupt president in modern times.https://m.youtube.com/watch?v=NBzDb8UB8yA&itct=CA0QpDAYByITCIW4yI2xo9YCFQqJqgode0oFvTIKd2F0Y2gtdnJlY0jlgpGEyN2L-lU%3D",-0.6911
