,Recent headlines and conversations for COST,Polarity
1335,Did Costco just put out a special dividend,0.66
1336,Look at the quick snap back from today's low! U see.... this will rocket back up in no time! People panic for nothing lol. Long term this is a guarantee bet at these levels. A sure thing!!!,0.8164
1337,"I have owned this stock for a few years and you have to love it. Good chance for another special dividend this year too. However, based on the P/E, I am starting to get scared its a little overvalued",0.8956
1338,"COST is way undervalued here , just a screaming BUY for me, less competition is good for COST !!!!!",0.3194
1339,"Costco is no more than 8% off its high. So, those who own this stock could get out anytime without too much problem. If one thinks there is another stock would perform better than Costco, why not cash out and invest that other stock. If you are above water, you would make a gain and if you are under, the max you would lose is 8% (if you purchased COST at its high). One could use the lost as tax write off also. While everyone can express his opinions but if one does not do anything, nothing will change. I am not advising people to get out of Costco as I am not qualified to give advice. I just want to point out that you can do something about this. Bitch and Moan about this stock will not do a thing.",0.9404
1340,See bargains everywhere bef X'masDIS and COST are winners,0.3927
1341,Just put $30k into costco stock and let it sit for the next 10 years and also too moved all $140k of my 401k into costco stock hopefully when I retire 15 years later costco will double that amount for me to pay off my house,0.8655
1342,Cramer says Costco pricing is cheap imo even though i shop rhere. for some things is this costco is usualy 30 percent more expensive than lots of stores,0.7897
1343,The most frustrating stock on my portfolio right now...this needs to be at $400 right now,-0.1283
1344,I am sure Costco did not plan to open one store. This is just a pilot project and appears to have tremendous success. Many more stores will start popping in different cities in China. I doubled my investment yesterday. I think Costco growth will accelerate from now on.,0.9558
1345,Stocks goes up $10... and then pays divided....going down $10.,-0.0695
1346,"typical....earnings will crash too... lets just say amzn, or tsla had close to 16% gain... their stock would be really really booming on the news",0.1377
1347,Costco ROCKS andthat ain't no lie my friends....,0.3656
1348,"Up 45% for the FY. Solid stock in this uneasy market. Executed .15 above EPS, missed on revs according to analysts....We need a score card to rate analysts and there speculations. Buying more!",0.3265
1349,Cost will get multiple upgrades tomorrow.,-0.117
1350,Best company in the world.,0.6345
1351,"Went to San Jose Costco today, ,as usual can't find any parking..!",0.2674
1352,"COST reports an excellent quarterly earnings and investors immediately throw themselves over a cliff and start dumping stock as if it were toilet paper. Alt this out of fear that Amazon was going to completely swallow every brick and mortar store in existence Just unbelievable. And I used to think I was a novice investor. Not any more. Folks, I want you to keep selling. I'm ready to pick up a few more shares at bargain prices. Thank you for your help.",0.923
1353,ABSURDLY overbought...already at some 12 month targets at $245....buy PUTS....easy money!!!!!!!,0.4017
1354,Long term COST will be in trouble...Report saying nobody under 35 go there (millennials)...,0.1973
1355,BUYERS are coming...................................,0.0
1356,Will be green tomorrow. Very nice report ,0.5065
1357,$400 by September. Sales are accelerating.,0.0141
1358,"Some contend that Costco is overexposed to the California economy due to having so many locations there. Well, 16 new openings planned in the next six months, and only one is in California.https://www.costco.com/new-locations.html",0.5588
1359,It’s called a mkt,-0.1052
1360,"And this drop is just fear that ALL people will start buying groceries from AMZN.... lol Despite excellent earnings the drop is 6%. For me AMZN is very limited at this level so why they try to take grocery business. I think AMZN is more in bad shape than COST. I was at coscto yesterday at 7 pm - couldn't find parking, lineups to tire department, pharmacy, no empty seats at the bar. All cashiers are open, and all of them got huge lineups. Despite low stock I LOVE costco, good price, good value, good return policy, good selections (no 100 items of the same things but just 1 or 2 that are on top). At Costco you can buy blindly anything.AMZN - you never see the item, you never touch the item, you spend hours on research of what you buy - get something you don't like, hell to order (limit on this or that), hell to return the item.",0.9891
1361,US patent approval for THC breathalyzer 3.0? What's the COST of BLO?,0.7253
1362,"COST, need to adapt asap AMD 7nm superior secure technologies vs Intels old antique 14nm flaw products with more than 80 patches...……….. old technologies kills sales...…..",-0.0649
1363,tomorrow will be green 100% they're going to have a phenomenal earnings report probably 5 to $6 earnings because Costco where I'm at is all sold out of toilet paper water Clorox wipes I even went to Fred Meyers sold out of Clorox wipes people are buying so much stuff stocking up on the coronavirus it's going to be a phenomenal report,0.8571
1364,"you think I'm joking, but if Biden wins..$300 coming",0.3085
1365,next stop330.00+,-0.0083
1366,"Costco announced the quarterly dividend on 8/13, payable on 9/13. But no special dividend which is typically announced with the quarterly dividend. Could they be holding it back because of the possible recession and self-inflicted trade war with China?",0.2945
1367,I believe the other Costco’s customers think like me. We buy anything from someone else when Costco doesn’t have it.,0.7426
1368,the lines at costco is so long. 1 plus one wait. buy buy buy,0.8701
1369,"The special dividend ($10) is supposed to be paid for holders of COST today.Tomorrow, Dec 3 is ex-div date for the special dividend and not today.",0.847
1370,tomorrow we beat the 52wk high?,0.4246
1371,COST SHOULD BE UP $8 TODAY NOT THIS LEVEL VERY CHEAP,0.9241
1372,"Just take a drive to your local Costco ,The parking lot and lines speaks for themselves",0.4974
1373,"Sturdy E-commerce SalesConsumers’ increased shift to online purchasing owing to the coronavirus outbreak seems to have worked in favor of the company. Costco operates e-commerce sites in the United States, Canada, the U.K., Mexico, Korea, Taiwan, Japan and Australia.The company’s e-commerce sales have been showcasing a sharp increase owing to the rising stay-at-home trend to maintain social distance amid the pandemic. We note that e-commerce comparable sales soared 91.1% for the retail month of October, the four weeks ended Nov 1, 2020. This followed an increase of 90.3%, 101.9%, 75.3% and 85.8% in the months of September, August, July and June, respectively.",0.951
1374,"Dear Little Stevie- please explain to us exactly what you do to make a living, your last grade completed and how much you make a year. This should be good....",0.8051
1375,should be a good ER,0.7525
1376,I shop at costco more often than regular supermarket. It is always packed,0.5219
1377,Costco employee from head office in Seattle died from COVID-19 on Sunday. RIP.,0.231
1378,"as an outsider looking in, Costco is on one of my watchlists, I have never seen costco with red numbers over the last 4 months. Its always green. Quite amazing",0.6139
1379,Special divvy coming ! Woohoo!,0.737
1380,Not a concern. Revenue up year after year. Loyal customers and more stores keep this moving forward.,0.7568
1381,All analysts predict this to be at least $400. The low estimate is $343...we are trading well below that at $325 and dropping. How does this keep dropping every single day...???,-0.1418
1382,"Building my positions here, nice",0.5952
1383,S. California 12 o’clock noon two hours after they’ve been open line was still wrapped around to the back of Costco their earnings are going to be off the charts look for a special year in dividends for long-term shareholders,0.1312
1384,Costco is the place always packed with shoppers. The stock COST is the stock fit in as buy-and-hold forever. Don’t trust Wells Fargo. Buying more with today’s hiccup.,0.8675
1385,Reviewed Costco's balance sheet after quarterly report. Reduced LT debt by $2 billion with cash on hand. Smart move from a we'll run company,0.5376
1386,Great buy under 350,0.6577
1387,"Well there you have it, Costco just surpassed Disney as the ""Happiest Place on Earth"".",0.8612
1388,"Costco Wholesale Corp.'s (COST) comparable sales rose in the double digits for the fourth quarter and the company logged revenue that beat analysts' consensus.Comparable sales -- an important measure of retail growth -- increased 11.4% for the quarter. The company said adjusted comparable sales rose 14.1%.Costco's total revenue was $53.38 billion, 12% higher than a year ago. Analysts expected $52.11 billion.The retailer's profit for the quarter that ended Aug. 30 was $1.39 billion, or $3.13 a share. The comparable quarter a year ago, Costco had a profit of $1.1 billion or $2.47 a share.",0.9697
1389,Ratings increased for COSTaverage 365.00,0.2822
1390,Don't read too much into afterhours trading. Costco will be one of few survivors when all this is done. Think long term.,0.5379
1391,When will people learn it’s a buy and hold.,0.3168
1392,"On $10 dividend news, stock only rose, $2+plus.rest of t, about $8 is still on the table for people to grab on to.",0.5935
1393,why is it dropping?,0.0498
1394,COST the only one in theGREEN,0.0576
1395,"CFO Galanti mentioned recent tax windfall will trickle down to employees. wonder if it will be in line with what walmart, southwest, etc. offered up to their employees...",0.5616
1396,will this stock ever take off again?,0.211
1397,Would love to see stock split,0.7714
1398,Costco will be at 300 easily by the end of the year,0.2071
1399,Alright... I ve had a lot good feedback how Costco stock is overvalued. So my next question is...Where does the stock go after earnings?,0.3079
1400,"Folks remember Any time a Stock takes a dip, Buy as many Shares you can and that also will make your averages look better and also you will profit better. You dont get this type of opportunity all the time. So take advantage of it and Buy buy.",0.97
1401,Buyer233.08,0.0
1402,FKFKFKFKKF! My calls would have been in the money!!! FKFKFKFU ALL’,0.3369
1403,$costco hand sanitizer deal with $NEPT,0.5863
1404,Anyone hear rumors about COST being considered an acquisition by Berkshire? I saw Bloomberg article suggesting it.,0.6675
1405,sold everything yesterday..just knowing how costco always dumps on earnings,-0.2724
1406,Good earnings,0.4974
1407,Target stock drops pulling down Walmart and Costco,0.1745
1408,If Costco announces that they're going to focus on improving their ecommerce can you imagine how quickly this stock will rise,0.6544
1409,"Costco Lifting Minimum Wage to $16 Per Hour, $1 Over Amazon, Walmart, and TargetThey would NOT be doing this if profits were low................................................jmho",0.8245
1410,Take advantage of this PANIC sell off COST is doing better the expected.....Loading up on any weaknesses............Target are 340.00-348.00,0.1159
1411,a great time to buy,0.6889
1412,Another upgrade with a price target of $370.,0.2431
1413,Please tell me does COST share price automatically reduce by $10 per share when the special dividend is paid on the 11th? Thank You.,0.8896
1414,330 tomorrow.,0.0024
1415,"Great company but disappointing stock. As the economy opens back up and the money flows into recovery stocks, COST may suffer more declines unfortunately.",-0.8799
1416,COST upgraded @ BMO360.00-365.00,-0.1897
1417,Away we go................................................COST is a no brainier here .................... look for more UPGRADES soon.,-0.3749
1418,BOOM!,0.3164
1419,"A millionaire through Costco stock, that is! I retired from Costco after 37 years!! Great company!!!",0.786
1420,All time high today. It is on its way to 300 this year plus the special dividend. GO COST,0.7132
1421,"I'm not sure this can be called investing anymore, its more like getting slaughtered..doesn't seem like anyone is interested in this stock anymore..once the best stock to have in your portfolio",0.9489
1422,Hopefully this makes up for kroger,0.5517
1423,"From a blog in 2007 ""Drive one vehicle, split the cost of gas. “Costco size” inflation I say. Be efficient with the dollar, save on food and gas the Costco way, plus you get a free meal with all the delicious finger snacks they distribute. Bottom line is you do not have to shop at Costco to buy Costco if know what I am saying stock pickers.""",0.9737
1424,Adios! Had to bail out today. The bleeding just continues in a high priced stock. Too much dead money to just keep holding. Price of stock ran too high.,0.6297
1425,To management: This family is fed up with your face mask gestapo employees. Saw one Costco door woman (Plano TX) berate a family while a Costco employee pranced by without a mask. It either applies to all or no one. Double standards are for politicians. Not for someone buying eggs. Either change or we’re done shopping until you do.,0.8638
1426,so thumbs up for up...thumbs down for down...vote,-0.0394
1427,"Look at the volume Volume 3,868,020Avg. Volume 2,597,675It will be pop up.",0.5154
1428,"cost got ahead of itself way too rich, priced even above perfection, good company/business modeldecent entry point ~$170",0.8939
1429,what happened? beat it went up and then back down,0.2329
1430,"""Facing farmer anger, Trump scrambles Cabinet to brainstorm on biofuel policy: sources""https://finance.yahoo.com/news/trump-meet-usda-epa-chiefs-144212084.html----------------------------------Gee, I thought the FARMERS were 'happy' ????!??!??!?(Some people here will believe everything Trump tells them!)",-0.8523
1431,up it goes,0.1943
1432,"Costco is very hot today with another ""Baird"" raises PT up to $325Analyst Actions: Baird Raises Price Target For Costco Wholesale to $325 From $290, Reiterates Outperform Rating",0.7618
1433,300 at open,-0.0794
1434,Wish I saved some dry powder for this.,0.7374
1435,"Looking at Costco stock since mid 90s, up 1700%. Great. But then compare to Amazon over same time period, it’s up over 66,000%. Makes Costco look like a flat line. And an overpriced one right now based on PE and PEG.",0.884
1436,"So I am at my local COST at 10:30 this morning. We have an absolute monsoon occurring. The parking lot is more full than I expected given the storm. It is a location with their own liquor store and gas. I ask a middle management type what has happened since the switch to Visa, by asking first about liquor and then about gas and then about the main store. He very enthusiastically says that each part has enjoyed increased traffic and revenues. I have posted a couple of times here that I thought the increases would happen. COST has made itself one of my largest positions, and I think we will be outperforming for at least 3-5 years ahead. That is how real wealth is created.",0.9759
1437,"This company is the Amazon of retail warehouse shopping. Will continue to prosper regardless of socio-economic conditions - pre or post Covid. They earn the majority of revenue from memberships, not product margin. Nobody is going to cancel their membership just because there's an approved vaccine. Today is just an excuse for some to take profits.",0.9599
1438,LMAO When people bash a stock that's going up.,0.8228
1439,The ones who sold today will regret it. Mark my words,-0.407
1440,AWWW... I'll pay lunch for all longies tomorrow. Sweet!,0.4773
1441,CostCo shares jump 2.7% after strong November sales numbersBUY and HOLD easy 200 plus....................,0.8145
1442,Take advantage of the SILLY DIPS.................. COST always pops back up !,0.5471
1443,any chance for splits?,0.283
1444,Glad I sold a little ahead of the release but still sitting on 400 shares! They were priced for perfection unfortunately!,0.8427
1445,Costco and Walmart stores are very empty of people. We went shopping yesterday and it was a big supersize because I thought we had to wait in a long line.,0.8116
1446,"For the four-week reporting month of February, ended February 28, 2021, the Company reported net sales of $14.05 billion, an increase of 15.2 percent from $12.20 billion last year. For the twenty-six week period ended February 28, 2021, net sales were $93.16 billion, an increase of 15.4 percent from $80.76 billion last year.",0.7762
1447,"SFIO poised to move 2500% or more. It was taken over for it's stock symbol by a much larger corporation. It's basically a soft IPO and at the price, taking advantage is a no brainier. It's easily a $5.00 stock within the next year.",0.8565
1448,Buy buy buy too cheap,0.6309
1449,After gme ive been sitting on cash and looking for good opportunities. After noticing most retail is being shorted Costco is the opposite. Not to mention I believe this is currently undervalued and should bounce off resistance. I saw comments on here about a split? Is that confirmed? I was also digging and found their e-commerce grew around 70% which was much higher than Walmart. I think I will be adding to cost with my gme earnings. Pls share your thoughts and observations,0.93
1450,No mention that the Costco website started selling Apple computers yesterday. Rolling out to all warehouses in the Spring. Should be a boost to future sales and earnings,0.4879
1451,200-206.00 a buy here.,0.0888
1452,Seriously doubt comments on a Yahoo message board move markets,-0.2488
1453,Membership continues to grow above expectations !,0.4244
1454,Patience. Buy good quality!,0.6727
1455,COST should be $500 better than $1770 AMZN.,0.3904
1456,Look for the dips..............BBUUUUUUUYYYYYYYYYYYYYYYY,-0.0732
1457,Waiting for some sale price291.00 area,0.1838
1458,Wait for FIRE SALE.........................then start some buying.,0.0095
1459,perfect time to buy. been watching Costco for awhile and biggest dip it has had is like 1 to 2 bucks and it recovers quick and goes green. also earnings is coming up. this should recover nicely.,0.9368
1460,don't just buy into this for the dividend.. thats a wash... but into this for a keeper..November sales release coming up on Wednesday...Christmas sales coming up..this will be over $400 in no time...,-0.0314
1461,"earnings for some reason always fail, I think wall St. expects too much",-0.061
1462,where'd those people go that were waiting for under 200?,0.0724
1463,Earnings whisperer estimates a beat by .02,0.2926
1464,if we really are in for a economic downturn in 2019 cheap buckets of food should do well amirite,0.2484
1465,"almost impossible to find a company that can have a good earnings report, getting old actually",0.5386
1466,"Costco (COST) remained unfazed by competition, reporting stellar sales and earnings growth in 2018. On average, Costco’s monthly comps have increased 9.2% in the first ten months of 2018—which is exceptional, given the heightened competition.We expect Costco to sustain its solid growth momentum in both sales and earnings in the coming quarters. Costco’s investment in pricing to widen its value gap with peers is likely to drive traffic and, in turn, comps. Meanwhile, expanded offerings and a high membership renewal rate should further support the comps growth rate.",0.9703
1467,"I am looking at the charts (peaks and valleys) and we had the last downside point when Amazon announced they were taking over Whole Foods. At this time, that merger has done little to threaten Costco's business as one can see the rapid rise in cost's share price following that news. I see Costco fully recovered and on track to report stellar sales in this busy retail season. I am predicting that Cost will hit $200 after Thursday's closing session. jmho",0.2997
1468,Don't let your shares be stolen. Big things coming. https://www.yicaiglobal.com/news/us-retailer-costco-to-base-fifth-china-mall-in-shenzhen,-0.5757
1469,Good numbers I wonder why it’s falling. Is it the covid costs to keep store operating?,0.3872
1470,2 stops: 280 then 300,-0.1861
1471,Check out (http://Pick-stocks.com). They just mentioned COST in the daily newsletter.,0.4285
1472,Thanks for theDIPS......................................... again,0.4697
1473,"I was waiting for cost to go under 300, the day it did I overslept and missed it. Never smoking that stuff at night anymore!",0.418
1474,300++++ coming................................,0.0
1475,Trump does it again!https://finance.yahoo.com/news/costco-misses-2q-profit-forecasts-212518528.html,-0.0792
1476,Let's get to 260 today ,0.0849
1477,AMZN is nothing compared to COST.,-0.0828
1478,Has anyone heard when the second costco is opening in China? Last few articles I have seen said late 2020 or beginning 2021,-0.0236
1479,Costco Wholesale reached an all time high at 373.46,0.6874
1480,356.00-357.00waiting.....................................................,0.0
1481,"Look for dips,,,, as another buy opportunity......................",0.1645
1482,Love the smell of SHORTS BURNING............................,0.6955
1483,Just go opposite of what Hairbag says and you’ll make some money,0.2857
1484,18% over a year ago and 107% on lineamazing,-0.0412
1485,"buy coronovirus stocks like SPEX, VXRT, NNVC, INO etc for making profit. instead of loosing.",0.8137
1486,Great quater! just hold tight!,0.8091
1487,Welcome to the retail panic party. Please leave your shares at the door while we watch FOMO kick in,0.727
1488,Analyst Actions: Loop Capital Adjusts Costco Wholesale's Price Target to $425 from $415 Keeps Buy RatingBY MT Newswires— 9:19 AM ET 12/03/2020,-0.0705
1489,Special dividend s historically run in the $5-$7 range,0.5065
1490,Stockguru compares Costco to dollar treePut your helmet back on and get on the short bus,-0.4021
1491,"Costco has earned a stature and respect from the entire economic spectrum. That’s incredible. You can feel it when you think of it in relation to target or Walmart. They may all sell the same thing, but all folks will né comfortable buying them from Costco while some may not want to buy them from target or Walmart. But will this difference continue after Walmart I’m On my way! eta the Amazon model of annual membership free and free and fast shipping? I think lots more people will buy Walmart because of it. And that means that Costco will Jane yo compete and do the same thing. Will Costco be able to pull it off ....considering that Costco members already pay an annual membership fee? That seems like a big question that needs an answer. Any thought?",0.9936
1492,Recent stimulus checks to individuals have been fueling demand. The impact of same was visible in the company’s January’s sales results that exceeded analysts’ expectations. Look for another stimulus package soon .,-0.2929
1493,"$290.22, buy 100 more.",0.1332
1494,UPS had a huge day up almost $18...waiting for costco to break out,0.4236
1495,blowout earnings next week! they will hit it out of the ballpark.,0.4475
1496,Costco break out happening. 420 by 4/20,-0.0934
1497,Cramer said todayCOST and AAPL are a must hold .,0.0372
1498,there is no special dividend. get over it,0.2708
1499,"How does it make sense that Costco is trading at the same price/Market Cap that it was pre-covid? It was a covid winner and it's reveune is up signficantly, yet it trades at the same price???",0.5644
1500,looking for a dip,0.2392
1501,let us collect until earnings in two days.,-0.1147
1502,"New all-time @ 271+!!On the special dividend - many holders would rather they didn't do that. I know that they do it because they want to control their growth, and therefore have too much cash, but I would rather thry kept the $$$, as I will get taxed, with too much of it disappearing to the Feds and the State.",0.7143
1503,Thoughts about Monday?,0.0293
1504,cost may have reached its peak..time to talk splitting,0.3231
1505,"I'm confident in us longs, but I'm afraid of a pullback due to weak hands on a red day for the market",0.0983
1506,"COST is too cheap at this price, you will not see COST at this price on Oct 3rd.",0.2001
1507,Im concerned that Costco is starting to only stock the items that makes them biggest margins which means im seeing the quality items that are slightly pricier head out door never to appear again and the lower end take that space. For well to do that irks me it may make sense for company as a whole but im shopping in one of their highest end area stores and if trend continues will be a big problem for me. don't want this to turn into a slightly upscaled sams club that would be a disaster. other ominous clouds are their fresh products go bad super fast in my experience. also preprepared foods are awful. again I get it they are kowtowing to lowest common denominator who like huge bulk low price screw the top quality. just not good for me.,0.8875
1508,Are HFT Bots Jumping on COST? https://seekingalpha.com/instablog/15663412-joe_retail/5220402-costco-falling-victim-algorithmic-trading,-0.3556
1509,"Nearly 1% of the float is short. Shares Short (Feb 26, 2021) = 4.21 million. It's not Gamestop, but we should continue to see decent moves up for a little while.",0.5172
1510,this is going down on er date,0.1931
1511,COST AMZN WMT AAPL WILL BE LAGGING FROM THE REST BECAUSE PEOPLE ARE SPENDING LESS MONEY NOW AND WILL BE FOR AWHILE,0.3326
1512,COST is stillUNDERVALUED !!!!!!!!!!!!!!!! 400+++,-0.4435
1513,It’s not A store! COST e-commerce covers the entire China with 1.5 billion ppl! Membership fee business model works best in this environment! COST will fill the position which AMZN can’t reach in China!,0.8112
1514,Implied move is +/- 3.2% following earnings based on the June 1st straddle.,0.0368
1515,People who have memberships will always keep them . Amazon will not and cannot change that. Oh ! My 3 kids need milk today do I wait to get it from amazon tomorrow ? No I shop for it today  also the average house hold is bigger today and the demographics have changed to a population with more kids . Costco will do just fine . Don't be worried,0.9094
1516,Kindly clarify which date is for special dividend. PR & SEC filing shows EOD December 2nd. If you are holder on December 2nd at the closing you are entitled for the special dividend. some says the date is November 30th. how can the date be different from SEC filing? Also as many stated here the price is expected to drop by $10 after the dividend date? what are your views? please help. I am planning to buy 300 shares on Dec. 2nd and plan to close my position on 3rd December before the market close.,0.9791
1517,"Awesome, no Friday sell-off for a change! LOL",0.7426
1518,Target increased 238.00,0.2046
1519,Costco will have tough time in coming months....This is exactly what I have said earlier in the year that Costco is relying too heavily on retail stores and not on e-commerce...though with continued pandemic more users are moving away from Costco to Amazon and Walmart...Both Amazon and Walmart have tremendous online channels and super fast delivery....Costco has lot of catch up do and the Q1 2020 uptick in sales may not last...hope for the best for it;s investor...but be cautious...https://www.fool.com/investing/2020/06/01/why-costco-could-be-a-loser-in-the-e-commerce-boom.aspx,0.9639
1520,Quite surprised seeing Costco stock declining as much as it has. Didn't think it would happen tbh. Is it valuation? No interest anymore? Sector rotation into more valued stocks? Maybe as some here haven't mentioned....Costco should split it's stock.,0.8178
1521,Any words on official special dividend,0.5171
1522,Option market is showing this has more downside to it. But will add more shares if it tanks more..Costco is a good company ..,0.83
1523,The sales numbers must be good. Up 5 AH.,0.7329
1524,"When you look at earnings, COST is not cheap. When you look at sales it is quite cheap..price to sales of 0.82 and enterprise value to sales of 0.81. PE doesn't tell the whole story and is often the most useless way to value a company.",0.7749
1525,Up she goes,0.3891
1526,BUY before you miss out,0.3886
1527,OppenheimerXYZ RATES THIS Outperform CitiXZZ Neutral Target $36007.02JEFFREY DAHMER GREAT PLACE TO MEET PEOPLE NICKS LUNCHEON SPECIAL Equal Weight $8999340,0.8021
1528,"Just a penny missed. The trade war tomorrow will bring it home. The Chinese loved Costco there! More stores will be opened there for sure.The company's total revenue rose to $37.04 billion from $35.07 billion. Analysts, on average, had expected $37.25 billion, according to IBES data from Refinitiv.",0.5416
1529,Dividen would be Nice,0.4616
1530,"a few months ago costco could shake off a bad day, or a weak earnings report..now it will just crumble.",-0.8527
1531,"Have to love this stock as well as shopping there. I've owned the stock since the early 1990s with a cost basis in the single digits, so won't sell, so my kids can get a step up basis when I die, as I am 90. I have experience one of their stock splits and I think it is time for another so normal investors can buy a 100 share lot. Costco has been one of my better investments.",0.9593
1532,Cup and handle chart formation very bullish,0.6241
1533,Worldwide wholesaler that's NOT in CHINA and is growing double digits with 7% increase in US comps. NOW that is a BUY BUY BUY.....,0.9378
1534,Up almost $80 a share since March low's. Makes me wonder why it even dropped so much from Dec 2020 to feb 2021? makes no sense unless cheaper shares for the elite?,0.349
1535,Bahahaha NOW cramer says buy costco LOL,0.726
1536,"Under 290.00 is a ""GIFT"" .........................wont last long .",0.365
1537,https://www.marketwatch.com/story/traffic-at-walmart-costco-and-target-falls-for-the-first-time-in-weeks-as-coronavirus-stockpiling-behavior-shifts-2020-03-31?siteid=yhoof2&yptr=yahoo,0.0
1538,LOW LOW Volume on this pullback !positive ..............................290.00 I start buying,0.5229
1539,"Diet Ice Tea. In Feb. Costco quit carrying diet ice tea which was a big seller. Was 9.75 for 35 bottles, and was great.I think it was greed that caused this to happen. Now they offer an organic ice tea-----some concept, how can you produce ""organic"" ice tea, sounds like bs to me. Bring back the $9.75 cases of diet ice tea.",0.3027
1540,why is yahoo showing this closed up $11..is that the special dividend they speak of,0.5555
1541,BJs misses = bad news for COST,-0.69
1542,Those who bought the dip will reap the rewards rest of the way !!!,0.8824
1543,Excellent company but Costco's stock is rather boring. I got in at $303 in the first half of 2020 and will be looking to sell once the stock sell will qualify for long-term capital gains treatment.,0.5732
1544,Spent over $550 yesterday at Costco,-0.0885
1545,what happened? It is stock price dropped like cliff,0.345
1546,Hedge funds...loading here,-0.1255
1547,"Read the reasons companies DONT split stocks anymore..you can whistle Dixie before any well known company will split stocks...just look at chipholti restaurant stock at over $800 they have no reason to split and neither does Costco. If that’s what your waiting for, your in for a rude awakening my friend. Just be grateful for Costco going up with good dividends and collect your $$..look back and see when ANY big company split? Not happening buddy!,,",0.9483
1548,Will be back to 300 in a week,-0.0299
1549,"IF U SHORT COVER LOOK AT VIX CHART ITS ABOUT GO DOWN MORE BECAUSE 50 DA MA ABOUT GO DOWN BELOW 200 DA MA ON VIX,,,,DOW GOING TO GO HIGHER SO IS COST",-0.8639
1550,Buy COST as its low risk on tariffs......................................,-0.4713
1551,Bernstein is telling everyone what they already know. AMZN is also overpriced by much more than COST so what. People are willing to pay up for the best.,0.8355
1552,"Under 300.00 aBARGAIN.....................................COST always recovers faster then others, mark my word.",0.0223
1553,what's going on with cost stock? why is this going down?!!!,0.5438
1554,recently I got interested in this stock. Is it importing any goods from China?,0.7059
1555,"Visit your local Costco to decide for yourself if Costco is making money. Packed store this past Friday morning before noon in Orlando area. Unbelievable! People love Costco. Not sure if any of you see that in your area but ours is always busy with filled carts, including mine.",0.8664
1556,"As of today the 6 month & 1 year return is over 22%. Can't complain about that. At some point in 2021, Cost will surpass well above $400.",0.7305
1557,i found a feather in my baby spinach from Costco yesterday! do they not check their food before selling it to families?,0.5156
1558,"my biggest blunder in the stock market was selling my john deere stock at the beginning of the pandemic, and buying costco..although Costco was doing well during the pandemic, john deere has doubled, costco shrunk from 393 dollars my dilemma was not getting out of this, I dint see me here much longer",0.6828
1559,just accumulating as a stock split coming i believe ; day before went to Costco at 10Am - packed i like to go around lunch time and get the great hot dog and soda for 1.50 hahaha merry xmas to all and accumulate folks a no brainer,0.9704
1560,"This one is tough to call, but I'm LONG for a small play.",0.8743
1561,BUY these exaggerated massive panic selling...................................................,-0.3551
1562,Costco just breached the 200-day moving average with lower high and lower lows.,-0.1549
1563,What just happened for the sudden drop?,-0.144
1564,Frak Frak Frak! Stellar earnings... And this fickle flu¢king market reacts like this?!?,0.6575
1565,does anyone know the reddit revolutions phone number?,0.1326
1566,"THIS STOCK PRESENTLY HAS A P.E. OVER 33. MANY SEE IT AS HAS TO FALL FURTHER DOWN BELOW 30, WHICH WOULD MEAN ANOTHER 30 POINTS SHED. AVERAGE PE IS APPROX 18.STILL THINK ITS A GREAT BUY AND GOING TO 400 ?",0.2824
1567,The best timing to load up more!Institutions are accumulating...COST is going to surge back!,0.8742
1568,Expect the stock to go up steadily till 310 pre earnings and 320+ post earnings,0.6905
1569,A lot of selling don’t buy yet it’s still on a downward trend wait until it stabilized I think would be around 149 or 150 ....,0.4775
1570,why is this sinking?,0.0641
1571,Bought in on the sale this morning,0.1477
1572,Is there any announcement about the next dividend payout amount and the date?,0.7293
1573,"Go DIS, much cheaper!Impossible to see green COST today!",-0.2189
1574,Sales soar@ COST !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.4435
1575,Bottom for Costco is 165,-0.2002
1576,Target Raised .........................................,-0.0748
1577,"COST , top pick for 2021Buy on any weakness here.",-0.2504
1578,Is it possible we see green today?,0.1168
1579,"Let's go to $340 this week, shall we? It's time for the rebound.",0.3256
1580,"You know you need a new CEO when you miss earnings by 20%! No excuses...you screwed up and need to be replaced ASAP! The S&P gained 25% in a year and this is down for the past year! Total embarrassment to the management, you can talk about giving your employee more...what about your shareholders? You gave us a lousy $10 dividend but took $70 of the stock price so go suck it",-0.5115
1581,"This is confusing ...Total revenue rose 10.2 percent to $35.07 billion, missing estimates of $34.80 billion, according to IBES data from Refinitiv.",-0.3476
1582,What are you guys complaining about...........It's UP 10% for the year...........and that is what stocks bring usually.,0.3559
1583,At least Berkshire gave it some good news yesterday.,0.5836
1584,COST is strong and will bounce back sooner than later. All the Amazon hype is clearly an over-reaction.,0.5457
1585,"It is now time to start moving 401k's out of the market. Time for the people not to get screwed over by Wall Street for once. Sell at the top and not at the bottom. My recession checks are showing all the signs of people stating to hoard money. Move your 401k's to safety Sell at the top for once , If things change you can always move back in but you can not always sell at the top",0.7898
1586,PE still lowNot top yet,0.433
1587,90.9% membership renewal rate in the US. That's Apple-grade customer loyalty.,0.4217
1588,choo choo,0.5966
1589,Did Buffet buy back in at low $300's? I bet he did.,0.1426
1590,"FAUCI getting paid $$$ under the table from DEMOCRAPS , to make Trump look bad.",-0.6082
1591,"This is the time to jump in, not out!!! It has over 15% correction already. Don't expect more.",0.3693
