,Recent headlines and conversations for NOV,Polarity
270,Activepennystocks too. More bull s!!! promoting.,0.5357
271,When are the damn earnings released? Suspense!!!,-0.4888
272,This is garbage! 3rd qtr result just released below 2nd qtr guidance. Not improved like HAL and SLB. High risk of its debts declared junk. Sell.,0.7358
273,The management needs to cut cost or this stock will stay at this price for years to come! If they cut cost the stock would be much higher at this point in the cycle.,0.1383
274,Anyone listen to the conference call?,0.5983
275,NOV to Buy Diamond Offshore Merger ALERTS,0.2257
276,"We are looking goooood for Tuesday. The stock held tight, without a big huge drop going into the long weekend. If any oil related news happens on the weekend, stock will be ready to react on Tuesday. Much good news on the economy reopening in more locations will be in the news, and oil storage will likely show a bigger drop at Cushing on Wednesday via API or Thursday via EIA. People have more time to mull over stocks to buy for Tuesday, as well as institutional buyers adjusting portfolio's. I would be somewhat disappointed to not see NOV and BKR move higher. At least $13.25",0.8992
277,"National Oilwell Varco EPS in-line, beats on revenuehttp://www.seekingalpha.com/news/3328269",0.2494
278,Another reason YAHOO finance target prices are not worth the paper they are written on.,0.5475
279,NOV is up 10.51% to 9.36,-0.0466
280,Hard to beleive we have no one following this stock....NOV and BKR has quite of bit of upward room to move.,0.7079
281,Weather and covid are temporary. Use the dip to buy more. $20+ before year end. There is a lot of pent up demand for NOV products/services due to low spendings in 2020.,0.1108
282,"Last time oil was at this level, NOV was way higher. What is going on?",0.2143
283,"If this goes below $20, is there a law about mailing poo to the board of directors, attn. CEO?",0.341
284,National Oilwell Varco is down 9.26% to 10.97,-0.0238
285,nov balance sheet best in sector,0.502
286,Any News?,0.133
287,"You may not know this, but Bill Clinton is short MNKD stock.$amd $nvda $hmny $sny $nov $jcp $nbev",-0.5803
288,National Oilwell Varco reached a 52 Week low at 9.62,0.0819
289,ge setting up bid behind the seens,0.4376
290,we're at like over a decade low...,0.3684
291,So much for that. Revenue warming? this stock sucks the big one. For the CEO. Get this sold. Garbage,0.4142
292,NOV reached a new 52 Week High at 42.69,0.2323
293,"With increasing presence of Electric Vehicles, especially Tesla, which reduces demand for crude oils. Oil prices will likely remain low for very long time. As a result, there is less incentive for drillers to drill new oil wells and invest in drilling equipment providers like NOV. A trade shorting NOV and longing TSLA will likely be profitable.",0.2863
294,This stock sucks and I'm a bag holder....,-0.2207
295,I told you...,0.0
296,Delete every one of them.,0.1527
297,NOV reached a 52 Week low at 20.57,-0.3548
298,22 i will buy,0.0458
299,https://seekingalpha.com/article/4299625-national-oilwell-cost-cuts-drive-q3-results,0.0
300,Here come the buy out's. Hopefully NOV is on the block.,-0.1688
301,Going back to March 18th on this stock look at the 3 or 6 month graph.....the lowest lows keep getting higher and higher. And the price swings throughout the day can be as great as $1 or more. Its impossible to not make money on this stock provided you watch it carefully and hit it at the right point.,0.8533
302,"***** has anyone heard any rumor about results in the field for the E-FRAC system with their partner, NEX?? Should have results by now........maybe they will save it for the next conference call....*****deepsub",0.9063
303,"real ? is when oil will go up..... based on media : never, because if oil price up than US shale is up and again we go down.... Any thoughts?",0.4744
304,NOV is up 4.91% to 27.78,-0.0466
305,National Oilwell Varco is up 9.76% to 16.92,0.3834
306,Overbought. I can still see my message here from less than a month ago when NOV was at $8. Now at $14 it is 75% higher. Congratulations longs. Long term still looks good however short term most oil stocks are now overbought. The effects of the vaccine on the bottom line will take at least a year. Between now and then we have at least 2 more bad quarters for the oil industry.,0.8473
307,Is NOV really that dependent on offshore that they need $80+/barrel to move the needle? This is painful.,-0.5225
308,"I talked to a long-time resident of oil & gas country in Eastern NM. Been through a lot of energy cycles. This person thinks this one is about to turn. One person's opinion, so do your own due diligence. I'll probably add to NOV if in the low 30s.",0.6902
309,Every month 1 or 3 messages :) Hot stock :(,0.3147
310,"Another 52 week low. Fire management, it sell the company. No shareholder value",-0.1607
311,NOV reached a 52 Week low at 8.26,-0.3548
312,National Oilwell Varco is down 8.37% to 15.51,-0.0238
313,"Earnings will continue to improve as customers resume capital spending, but I believe a recovery will likely be a long and uneven one.",0.7992
314,NOV is down 5.02% to 22.89,-0.4368
315,this is going up!!!!!!!,0.3086
316,NOV is up 6.34% to $32.52,-0.0466
317,Better load up while it's below 40,0.6821
318,NOV reached a new 52 Week High at 48.98,0.2323
319,"Moving higher on heavy volume, couldn't find any news, not sure what is going on but I told you NOV has yet to catch up with its peers by going to $18 - $20. If we're lucky and it overshoots we may see $22.",0.8334
320,NOV reached a 52 Week low at $30.20,-0.3548
321,National Oilwell Varco is up 8.44% to 12.08,0.3834
322,National Oilwell Varco is up 6.91% to 13.93,0.3834
323,NOV is down 5.42% to 22.53,-0.4368
324,"NIce day for one of my ""hedges"" against paying higher prices at the pump!",0.5994
325,"Oil just cruised over $60 a barrel, something is in the works !",-0.3454
326,NOV reached a 52 Week low at 17.33,-0.3548
327,"I have voted Williams and, in fact, the majority of the board OUT each of the past three years as this once proud company continued to plummet. They continue to be there! WHAT ELSE MUST BE DONE TO GET THEM OUT??!! Do we need to go so far as to contact the SEC and other regulatory agencies to investigate them and intercede???!! They are LITERALLY FINANCIALLY DESTROYING SHAREHOLDERS WITH THEIR INCOMPETENCE AND INDIFFERENCE. This is BEYOND immoral and Unethical. SOMETHING MUST BE DONE BEFORE IT IS TOO LATE!!!",-0.7046
328,ment 17 year low on share price,0.1368
329,"good report, much improvement over last quarter. on the way back.",0.7411
330,"Sweet Jesus, they finally announced a share repurchase of $500 million in Nov 6th. Finally!!!! At least it's something.",0.8869
331,17 year on share price,0.3889
332,Rumor has NOV buying Denali fiberglass. Here is another fiberglass company they will ruin.,-0.2464
333,"How many companies do you know that amidst the worst slump in the industry's history, not only are not issuing debt / using additional financing, but actually using their massive cash flow to buy back their bonds? I think NOV's conservative approach to dividend payment and focus on improving the balance sheet is going to pay off big time one the industry recovers. Definitely one of my top picks - easily a triple from here ($8) when cv is history and the oil industry recovers.",0.9859
334,"As the oil prices stabilize, we should see oil companies invest in capital equipment which should go well for companies like NOV.",0.4486
335,According to Buffet people will not fly means they will drive. Buy VLO and psx,0.5103
336,Is anybody in here???,-0.2159
