,Recent headlines and conversations for UNH,Polarity
809,Staying long until 4/16. 99% confident UNH will beat estimates again.,0.7918
810,This is a short conspiracy led by goldie,-0.7516
811,"Jeffries had a deal with shorting - went on a slashing spree - hope they gave out that list of who they were slashing to the right folks to prosper. Thanks Jeffries! Seriously - what's the basis of the UNH slash. And a few others around the market?Deal with China coming, jobless numbers are hot, housing numbers hot, etc.. ? what up",0.803
812,At $300 UNH is a 20 PE. When people sell you have to avoid until the dust clears. Bottom could be $210 or less.,-0.0317
813,Didn't expect this! OUCH,-0.741
814,Medicare for all will not happen! Could they reduce the age to be Medicare eligible...yes. This would be more business for UNH!,-0.284
815,no reason but rumors UNH is just fine. A CASH MACHINE,0.3095
816,seems oversold,0.047
817,Hello biggest holding!,0.5156
818,Get ready...here comes $400 tomorrow!!!,0.2332
819,Still looks cheap unbelievably,0.3807
820,Overbought!,0.0798
821,Should be going up to 400 soon,0.2438
822,Weak hand just dump and be gone already,-0.111
823,"After the recent bloodbath, I thought I was doing good adding at $219 this morning! Should have known better!",0.7236
824,"What to expect after today CC at noon, will there be any statements to drive the stock higher? Looking for a jump once the decent results from report and any comments from execs are digested to $315, and a gradual move to $330.",0.8874
825,Who is it that is selling this stock relentlessly for weeks? They continue to sit on the ask and not allow it to move. Why are they manipulating this stock so aggressively and obvious to anyone watching.,0.4599
826,Sell the rally.,-0.0378
827,"It is time to buy UNH, because it will blow out the earnings estimate again. Earnings growth over 20% with dividends. One of Dow 30 which still not disappoint the investors more than 10 years. I bought it since it is 23-24 in 2011-2012",0.6476
828,way oversold here.....UNH has a 1% exposure to the ruling to overturn obamacare......which will be certainly be reversed on appeal.,0.7981
829,Should start the earning ride this week...,0.4171
830,UNH is on Sales again. The market is down trend today but I believe UNH at this price should have the support a lot from the investors. The earnings in April will prove that UNH is the REAL DEAL.,0.7994
831,Geez....didn't go down as much as the general market because Bernie got 2 stents put in. Just think what would happen if Pocahontas got Indian fever.,0.3547
832,"Money still pours in health care sector. HUM, ANTM, AET all are green except UNH. I think UNH will go green today by the closed time.",0.461
833,Long and strong started a position at 239.80,0.7971
834,UNH is set to beat estimates by a penny. I don't worry about today's performance.,0.668
835,This is the stock to buy and hold it for your retirement.,0.2925
836,UNH robbed people ... time to act,0.2296
837,"Comrade Bernie is rising and looks to be the potential Dem candidate. As he does better, look out below! What would be a reasonable nibbling point - $250’s?",0.8087
838,235 is a good entry point. Buy.,0.5532
839,Question ! What is the possibility that Health-care Insurers will cover CBD Products ?,-0.4741
840,Go Biden - bullish UNH,0.1962
841,Way way way oversold. Purchased some June $250 calls. Easy $$$,0.5236
842,risky so xlf add banks for the div,0.0101
843,"no news, what happened to the stock today?",0.0829
844,No wonder hedge funds cannot beat an index ETF. Who in his right mind would sell UNH at these prices based on a soon to RIP Bernie?,0.3367
845,"is it a surprise the fed picked super tuesday to show strength? how else to show the necessity to dump bernie....if bernie shows any viability this market, this economy, and this country tanks.... this fed will support capitalism and dominant economy....by all means.",0.7568
846,I am disappointed to see the stock down about 7% from the post earnings bump to $360 following the reiteration of guidance and analyst price target raises. I suspect two possible culprits. 1. Fear over a resurgent virus if the mutant(s) strain takes hold. 2. Fear of a proposal by Biden that will negatively effect the biz model.,-0.8691
847,Stock was under 30 a decade ago. Anyone think Americans are getting shafted?,0.2894
848,Should stop the market till the end of virus...,-0.3435
849,"UNH is a great stock and I have held it a long time and have enjoyed great results with it. Like many of you I have dramatically reduced my position to a token amount due to the political situation. I agree with others on here that Elizabeth Warren is not electable next year but I also believe the US healthcare system is corrupt, is not effectively serving the best interests of the American public and in desperate need of large scale changes/reforms. I am also concerned that these recent actions to impeach Trump will place some serious shade on Joe Biden. If that happens, Pocahontas could very well be the Democrats candidate next fall. If that happens, look out below for UNH and the rest of the healtcare industry stocks at least until the Dems are slaughtered in the 2020 elections.",0.988
850,From down in nonstop fashion from 270 to 212 to up from 212 to 278 without a single pullback.That’s not a natural organic stock trading but a calculated manipulated stock move. It was hated at 220 and loved at 270. Strange,-0.1691
851,Will the socialists blow up our momentum tonight? I’m sure they will all be trying to out do each other,0.5716
852,Health stocks are pricy,0.0878
853,Can HUMA n HiLLIARly rescue and SAVE the un-affordable Care disaster ?????????What a matched team . What great well known renown husbands.,0.9481
854,Worst thing that could have happened to this stock is to be included in the Dow Jones,-0.4828
855,Something is bad wrong here,-0.7561
856,Long term buy all the way to the bank. It is very hard to get the stock at discount like today.,0.7735
857,"If it hits 214, it's gonna slide bad.",-0.709
858,"what Trump doesn't destroy, the Democrats are sure to destroy themselves ; Invest in healthcare ? Good luck.",0.9371
859,Tenet Healthcare Corp. (THC) 14.78-1.91 (-11.41%)As of 2:36PM EDT. Market open.,0.1321
860,"It is no-brainer to buy UNH last Friday. Compare UNH and ANTM. size, P/E growth rate, dividends and history. Lawsuit will take years and end up nothing because every thing goes by code, it is standard process which every health care does it. Whoever lets go the stock on Friday is idiot. Think commonsense and logic, don't let the scrum bags mislead you that lawsuit is big deal.",0.3832
861,"Maybe it's a good stock but UNH is an awful company. The customer service is abysmal. My wife applied for insurance and they sent her a letter saying they got a report from some Milliscripts company that said she had a heart condition and so they are jacking up her rates. The insane thing is that my wife does not have a heart condition but UNH will not say how of why they concluded she did. There is an appeal process but she needs to send them 2 years of medical records and a bunch of other things---which will be time consuming and expensive. The fact that UNH won't identify what evidence they came up with regarding this imagined heart condition is disgusting. Maybe we do need Medicare for All so we get rid of companies like UNH that torture their ""customers"".",0.9852
862,Fighting back to green at close,-0.3496
863,"i will conceed eric was right about unh dipping more and more and more..selling yeaterday my holdings!!saying that, i still wonder if buying somewhere near the lows will be smart???",0.7065
864,"Is everyone forgetting that the major cost of healthcare is the hospitals and doctors, NOT the insurance company?",0.5074
865,AMZN BRK JPM have proven they can't shake health care insurance yet...Go UNH!!!,-0.3411
866,When you compare UNH #6 fortune company $243 to CVS Aetna #8 fortune company $65.70 I believe Aetna CVS is a better buy long term. Both have good dividends.,0.8822
867,Don't miss the opportunity to buy UNH today. The earnings will beat the estimate again.UNH already raises the earnings guide line and raise the dividends.It is no-brainer stock.,0.704
868,I told you so...https://www.marketwatch.com/story/unitedhealth-surges-toward-record-as-bernie-sanders-nh-win-seen-bolstering-trumps-re-election-chances-2020-02-12?siteid=yhoof2&yptr=yahoo,0.0772
869,slow day. LOL,0.4032
870,Numbers look great year over year. Im buying. Looks like a sale to me.,0.8501
871,Options show a finish +/- at $250,-0.1313
872,"not bad, not bad at all",-0.7737
873,Just buy the damn no brainer stock and forget it for 2 years. I guarantee you that It will be higher than 300. The Dow will be new high again as soon as BA can fix the software problem and start to build 737 Max. It will take a few more month. US can not keeps BA on the sideline for more than 3 months because it will screw GDP. It is all economic stupid.,-0.767
874,"Other than stealing money from hard working Americans, What the EFF does an insurance company do?",-0.4481
875,Order filled at $256.50,0.3707
876,"All market index DOW, S&P, NASDAW had a Golden Cross in April, UNH had a Death Cross in late Fed and 50-day moving average is trending down, this does not look good. If UNH is going down while market is booming at all time high, imagine what will happen to UNH when market has a pull back or a correction which could happen soon. UNH will probably drop to $180, that's a 25% drop from today's opening price.",-0.5052
877,Humana up 5.00. Not Unh,0.2316
878,Just curious: Won’t corona claims dry all profits?,0.5523
879,Understandable that there are concerns but this looks like a major sale on a very strong company. Does America really want Washington bureaucrats deciding if we're eligible for surgery?,0.8627
880,It’s going back up; always so interesting to follow this stock,0.6922
881,why down how does Cigna affect,-0.1435
882,The WORK is under way for UNH. It looks like YO-YO today. I bought call 270 early when CI went up like a rocket.,0.8599
883,glitch?again,0.0
884,"Instead of 275+, now I see 280 first thing in the morning, I BELIEVE.",0.3255
885,Why no new Ex-Div date posted yet? Does UNH tend to announce this much loser to the date than further ahead of time?,-0.2558
886,This stock is garbage. No buyers at any level. All breakout are false and quickly sold. The stock is complete junk and if it ever get to 236 again sell it,0.5057
887,"I had bought UNH as a best in class buy and hold stock. Should I stick with the plan or take my losses and leave? thumbs up stay, thumbs down leave",0.7157
888,"Selloff overdone. Medicare for all suffers from the Moviepass effect - it's great until people paying for everything run out of patience and money. Meanwhile, UNH mgmt will continue to execute.",0.7201
889,support may be at 251-ish,0.4388
890,"oh come on UNH, get in the green.",0.0449
891,Medicare for All is a pipe dream. The medicare system is already on the verge of running out of money by 2026. How is medicare for all realistic? UNH is a strong buy now. All the way back to 250 next week.,0.7869
892,"very predictable, up in the morning and red at close. sad",-0.615
893,"It will not be long for the tide to turn around, because after looking all Dow 30, UNH is the cheapest and a lot less risky than AAPL or BA.",0.5827
894,HAHAHHAHAHA AHA I GET MY NEW CAR HELL YEAH HELL YEAH,-0.3802
895,20 times worse than other PBMS,-0.2907
896,Why is it dropping?,0.0498
897,It appears to have broken above the 50 dma as their next quarterly report approaches. Unless there is more news from AMZN-JPM-Berkshire on the health insurance front and Drumpf doesn't crush the market with more idiocy it could run back up to $245-250 in a few months.,0.5386
898,Wow this thing is truly bottomless. 220 isna sure thing,0.8526
899,Healthcare stocks do better on average from May through September. Why the big drop today? Did universal coverage hearing today cause this 6 point drop???,0.9009
900,UNH at the current price is a bargain. Very good value. Div. Growth. I bought near the close on Friday. Happy to be in it again.,0.9205
901,Let’s not all get too giddy. UNH is back to 300 but is it all UNH or isn’t most stocks at highs? It took 125 sp500 points and unh just broke above where it was 3 weeks ago.Sure if SP 500 goes up another 100-200 points this will see 310-320. If SP500 loses 100 points this is back to 285,-0.3898
902,Anthem up 6.50. Cigna up 3.5 percent . UNH has become the dog,0.3933
903,"Centrist, just change insurers ..... 100 hours on the phone ???",0.2616
904,"""I bought this stock at low price blah blah blah and now im retiring hip hip hurray."" Lmao good job bots",0.8605
905,See you people thought I was just being negative but I had good reason to be negative as you now see. Kinda sucks for you people to hold a stock for 2 years and it’s down,-0.6273
906,can someone help me explain why this stock is down since yesterday???,0.6269
907,Health stocks are way ahead expensive... too risky now,-0.225
908,https://www.cnbc.com/2019/04/17/unitedhealth-has-lost-34-billion-in-market-cap-but-could-be-a-buy.html,0.0
909,If the Trump/Republicans had tried to make ACA better to work for all no one would see these drops. The Dems would not be able to make a big issue. I think it’s the arrogant right wing idea not to let any Obama policy to succeed. Wasted so much time fighting it.,-0.9122
910,The Bottom LineUnitedHealth stock looks ready to clear 2018 resistance in an uptrend that could eventually reach $500.,0.7635
911,Need good number tomorrow because the market tends to bail out.,0.3795
912,The low into the single digits held it back at the close. Good consolidation around $217. Likely to break through tomorrow.,-0.0522
913,Feel the Bern as they say,0.0713
914,Wait for 260...,0.1284
915,"Boeing: Something Has To Give https://seekingalpha.com/article/4242154?source=ansh $BA, $DIA, $UNH, $V",0.0976
916,Fireworks tomorrow morning for UNH.,0.0316
917,Everyone should like free health care. No one has to pay. And it only costs the government $43 trillion over 10 years. It's free. Only those rich evil taxpayers have to pay anything. Tax those evil taxpayers at a 101% rate and no one has to work and pay for health insurance.,0.7163
918,Can’t wait for karma to catch up to united healthcare. Hiking premiums then denying procedures and drugs people need. How anyone can support that is beyond me. Soon the chickens will come home to roost,0.8767
919,The depressed stock price is all about FOW...........Fear of Warren.,-0.1846
920,A beat and raise and it looks like it will hit a week low.,0.4661
921,$235-240 after earnings on Tuesday morning,0.0689
922,Are we going back to $230 next month?,0.1141
923,"I don’t want the government touching health care anymore, I think the dems have ruined it for the rest of us. Don’t enjoy paying those Premiums... do you?",0.8681
924,this is trash,-0.1697
925,The MOST Favorable Outcome of ACA / Obama-care is best explained this way. When the ACA was enacted / incorporated March 2010 UNH was trading at $30/share. Today $330!!! - Cui Bono? Usual Suspects as usual.,-0.9372
926,"It is too early or what. I am out of UNH early yesterday and come back again, because i think UNH can do much better this quarter.",0.7163
927,I'm a buyer at 222. No sooner.,-0.3365
928,Looks like a great quarter to me,0.7691
929,This dog won’t hunt,-0.0283
930,Once a stock becomes this broken technically it become a feedback loop and builds on itself. UNH is heading much much lower because as you can see even down from 265 there are no buyers for this stock: even management won’t do the share buyback they promised. This management team is stupid,0.4542
931,Love UNH,0.6369
932,Load up and it is ready to rocket to the sky,0.8812
933,If this is due to Cramer...then these sellers are too dumb to own UNH,-0.3451
934,All this because Jerome Powell is a stubborn fool that has allowed a 49 year bond to trade lower than the feds fund rates. Why the coward trump doesn’t move to remove Powell an sthe entire fed board shows what a fool trump is also,-0.9077
935,This roller coaster is making me dizzy,0.1118
936,Before Obamacare my UHC high deductible plan was $250 a month. It just increased another 20% this year to $953. I am very conservative but I want a single payer system for one simple reason. To put UNH out of business. Cut out the middle man and let groups of doctors and hospitals contract directly with the federal government. It can't be any worse than what we have now.,0.8077
937,Cigna up 10.40 since Thursday’s close lol. Unh would have to gain 16.00 just to catch up. This stock is a chump stock. Worst of breed,0.9039
938,MFA... At least that's what Bloomberg is saying. UNH is their stock of the hour.,0.3865
939,The stock is so high for no reasons!! It's almost like the bitcoin bubble!,0.6307
940,This is going to 240. Coronavirus I factions are going to skyrocket in the US and we have an incompetent president.,0.155
941,What a bull!,0.0886
942,What a great stock. No matter where you buy it you know it’s going up. Seize the opportunity,0.8241
943,"This is looking more and more like a buying opportunity. Do you really think that an exec unloading 50,000 shares is cause for panic?",0.746
944,"not surprised at all. grabbing this in the 220s was a guaranteed safe bet, and if you already owned it in the red, a guaranteed 100% recovery. never ever sell this stock in the red. ever.",0.6532
945,Down almost 4% in the past 5 days. Humana was down over 6% in the same period. Hold on for more.,-0.5044
946,Stupid me. It looked like it might hold on to the gains today. Nope. Selling is relentless.,0.2736
947,"It is time to step in, it is no brainer stock and all the peers are OK today.",0.424
948,"disappointing, as long as there's Amazon there will always be possible bad news",-0.2905
949,"Are investors that frightened of the Medicare for All rhetoric out of the Democratic camp? They must be, can't really explain it any other way. I know people are adding now, but if it is Medicare-for-All that's scaring people, we could see a lot more of this until Bernie inevitably drops out of the race. Which is why I'm so confused in the first place, Bernie has no shot. Why are investors still hesitant?",-0.7165
950,"Eric you are a loser, unh is a great bargain at this price, if you had any stones at all you would realize it and buy, but you obviously only want to trash this stock, bet you have zero in the markets, just bored with your pathetic life",0.2258
951,target @140 ... at most - policy dependent,-0.3604
952,"so, the geniuses in Congress acknowledge 1 million lost jobs from Medicare for all. the plan sets aside some money for these people to ""transition""...when the growth engine of jobs for the last 10 years grinds to a halt, what do these dipshits think will happen to the economy???",0.3973
953,No way this is worth it.,-0.0565
954,Low volume...people may be on vacation already...,-0.2424
955,time to pull out,0.2524
956,Give us a green day,0.11
957,"The DOW roars 235 points & UNH collapse's 6%. Something is terribly wrong here. Stop all the ""buy the dip"" #$%$. Run hard & run fast. Whatever the really news is has leaked & us bagholdsers won't find out until the earnings release at which point UNH will promptly drop below $200. Don't shoot the messenger",-0.7478
958,The after hours movement shows how ridiculously oversold this was today.,-0.1842
959,"Time to get out from this market soon. Sooner you get out, the better that you won’t be involved in the crash",0.5901
960,Wow $10 swing at the open. This thing isn’t done going down.,0.4162
961,UNH forget to tip the market maker today?,-0.1928
962,Good entry point here,0.4359
963,Asoko214,0.0
964,"Eric is a meathead who goes to the various boards where the stock is down and then he bashes the stock. He's neither long or, short anything. He's mental.",0.41
965,The only sector that will perform worse this year than the HC sector is the energy sector,0.1362
966,any guess of why there's been a significant insider selling over the past 3 months? I don't like seeing the chairman and a Lead director selling this much so close to the Q4 financials results scheduled for early this next Jan.,0.3132
967,New Value LIne:https://research.valueline.com/api/report?documentID=2185-VL_20210305_VLIS_UNH_3950_01-46JFHR090C1LHNIF68I72NVQ9R&symbol=UNH,0.411
968,anyone here trading $UNH?,0.0463
969,Here comes the fade into the close. Time to buy!,-0.1818
970,Money in the bank.,-0.0709
971,Don't let the shorts con you out of your shares. UNH is a money machine.,0.4205
972,Kamala Harris will ultimately choose not to have single payer Medicare for all.... Its very evident!!,-0.2922
973,"As you can see, the new mandate on lowering drug prices, is really going to boost the price of this stock!",0.7304
974,Dropping non stop. At this rate it can go down 20 pts unreal!!!,-0.5827
975,Super Tuesday voters have spoken. Destruction of our capital markets and the prosperity they generate is not in our future.,0.2826
976,"It is disaster for the Longs. It is unbelievable, the market makers just pull the rabbit out of the hat again. There are so many call at 265,270. They just clean them up.",0.5975
977,Quotes are still crazy... Just saw this: 219.87+1.37 (+0.63%) At close: 3:59PM EDT 229.48 0.00 (0.00%) After hours: 4:56PM EDT,-0.3704
978,What was that?,0.0351
979,This seller never stops,-0.0761
980,"The healthcare market segment has been beaten down to be the worst performer in 2019. Doesn't matter what part of healthcare you look at. For example, equipment manufacturers have taken the same hit as insurance companies. This just tells you that what is happening is not going to continue for healthcare companies in general. Companies who make and sell healthcare equipment and disposables will not be hit by a possible change in the insurance market. Demand for health services and the related need for equipment continues to grow in the US as an aging population and growing population increase the need. So, I am going to hold onto UNH and my other healthcare stocks as the current depressed situation will too pass.",0.9126
981,bought more for Christmas,0.26
982,Feeling the Bern yet?,0.0952
983,word must be getting out on earnings already.,0.4574
984,"I hope some are selling the top, you will wish you did. Find the exit while you can...",0.8101
985,"The market is general is over-extended, while not directly related to investments in CV, pull up the charts from the S&P and catch this panic sell off. $AAPL, $FB, $SPY, $UNH, $NVDA. The correction is happening. There is nothing “evil” about shorting a falling market. Money is literally falling like rain. Use $SPY as your barometer and bank some puts or equities short swings to grow your account. Look at any of these I mentioned and see for yourself before commenting something stupid . I made out great shorting $UNH and $AAPL this week. Just a friendly suggestion.",0.8428
986,Aunte Em Aunte Em,0.0748
987,Maybe he pulled a bill clinton...had to get him out quick.,0.3974
988,This is as good as it gets. UNH is a bloated pig with massive downside.,-0.4333
989,"I don't understand why UNH does not follow the market. I just wait for UNH to go down 2-3 points, I need some cheap price. I guess UNH will hit 270 by the 3rd week of July.",0.4507
990,Unh- hard to believe they beat,0.1942
991,"Come on UNH, buy Walgreens. It's cheap",0.4869
992,"THIS IS A GIFT-Healthcare is not going to change anytime soon. The target may be big Pharma and pharmacy benefit managers but this will not hurt UNH. When drug prices go down, so do our costs. Optum has already announced that rebates will go to patients so we are proactive on that front. What is driving the price is FEAR. In my thirty years of investing I have learned that other peoples Fear leads to great profits. Be brave and ride this out.",0.9392
993,"This is the real question: ""Do you have the stomach to hold through the upcoming turmoil of the election years?""",-0.2193
994,"Typical Friday short covering. Will it carryover to next week? Still ten days out from Earnings, so will we see a runup before?",-0.2574
995,I just love how the brokers front run everyones trades with their computer trading,0.7587
996,In at 250 today... Will double down is it goes lower.,-0.3485
997,"The Orange Nightmare has made the market uninvestible. No group of stocks is safe from an unexpected, idiotic tweet.",-0.6249
998,"Mad money and Cramer still like UNH. I don't care, but alot of people follow them like sheep.",0.083
999,Going greenGo UNH ! $$,0.0
1000,Shorts Squeeze big time. I heard about screams out of the shorts.,0.2954
1001,"THIS MAKES NO SENSE- I am a retired ophthalmologist and dealt with UNH for most of my 30 year career. As a physician, they were by far the toughest HMO to deal with. They were always managing costs, fighting md's to use generics, etc. As an investor it makes no sense to me why the stock is getting hammered today. We are never going to get medicare for all in the next 5 to 10 years. It won't happen, no chance. Even if Trump loses in 2020 and somehow the Dems get it passed, the government is not prepared to manage 300 million lives!!!! (They can't even run the post office, how are they going to manage healthcare?) The reality of the situation is that if we ever do get medicare for all, the government will be forced to farm out tens of millions of covered lives to HMO's. In that case, they will use UNH. UNH makes more profit from their Medicare Advantage plans than anything else. With earnings just a few days away, only thing I can think of is a leak of bad news. In that case, think the stock is still undervalued at these levels. Reminds me of Fedex. They badly missed their numbers a few weeks ago, and within days the stock was back up. Am I missing something? Please let me know.",-0.3769
1002,let's power through 300!!!,0.698
1003,unh is a bargain.... not wise to sell it... naysayers not always sane...,0.6106
1004,"why is 308, 309 such a hard resistance to punch through?",0.1572
1005,Any body care for Medicare for all ??,0.4965
1006,Totally helpless stock. Every little slight bounce is sold off immediately and the lower Lows continue even when the markets are up a lot. Boy Lizzy Warren and crazy Bernie sure killed this stock,-0.6207
1007,I'm no analyst but man to stop this thing....nevermind you wont. Slow progress but earnings will keep piling in.,-0.3433
1008,Sell this rally! Last chance...,-0.1197
1009,Time to buy,0.1484
1010,"prepare for 242.50 or higher, today.",0.2315
1011,so happy i sold my position weeks ago fell through my stop other prospects keep me out.,0.8181
1012,It hurts though’ do you think it can still go back to 225?,-0.2643
1013,UNH is good to hold for LONG term investor. It is very sleepy if you are option trader.,0.8186
1014,A perfect buffet buy,0.6905
1015,"this is very frustrating, market is flying and this #$%$ tanks... not good",0.0999
1016,Watch the market makers who try to take you to the top and let you hang dry. I like the sector but stock itself trading like YOYO. I will buy UNH when it is red only.,0.8892
1017,"Here it goes again, sell into the close....too funny, they are really FN the day traders. Endo of month, options exp, fake congress meeting to say they are gonna do something about rebates and nationalize health care, but in the end, do nothing but manipulate the market. I am sure congress and their buddies trade on the fake news",0.1211
1018,Buy the dip,0.3345
1019,#eric Get a grip on reality. You have just been taken to the cleaners!,-0.1947
1020,"UNH is one of the big PBM, with Trump withdrew from the issue. UNH will be so happy. UNH will report earnings on Thursday morning, I guess UNH will hit bullseye as usual.",0.8109
1021,"I hear that Uncle Bernie is going to stop calling himself a socialist. Instead, in order to get the military vote, he's going take a gamble and call himself a National Socialist...and, changing the name of the Democratic Party to ""The National Socialist American Workers Party""...",0.851
1022,Giving it all back. Bummer...,0.3769
1023,"BARRONS recommends a BUY for UNH since yesterday. Someone knew in advance yesterday, this is the real reason UNH pop up yesterday and today.",0.7809
1024,sits right below tech breakout 220... grrrr,0.5587
1025,A lot of shareholders are probably looking to get out and this small 2 day bump that was gave them just that.,0.4139
1026,YTD UNH is down 6% while the NASDQ is up 13% and the overall market is up too. Since it seems there is no news at least for the public there seems to be something going on. The down trend has been long enough to raise concern that it may not be just market cycles. Any thoughts?,0.8696
1027,If this gaps down tomorrow it will likely go straight to 235.00. About a 70 percent chance of a down open since it was so weak at the close. Or there may be about a 30 percent chance this opens up by a 1.00 -1.50. If so it will reverse within 10 minutes and then go to 235. Either way this pos is in trouble because the market hates it and it has no real buy interest,-0.4546
1028,What did I tell you. This stock is totally broken garbage. I told you it was going much much lower and it lost 1.30 in the next 5 minutes,-0.6702
1029,Pumpers have taken over the board.... Sigh.,-0.0823
1030,Overbought. Be careful.,0.163
1031,Back to the 50 dma. A positive sign.,0.6608
1032,Foookin junk. Stock is junk,-0.4836
1033,"IT IS NO BRAINER STOCK, IF YOU DON'T BUY UNH AT THIS PRICE, YOU WILL KICK YOURSELF ON OCT 17.",0.775
1034,Punished for good earnings?,0.0669
1035,disgusting,-0.5267
1036,"eric sounds like a person full of negative thoughts, or he has lost so much on unh, that he hates unh more then he hates trump...???",-0.6873
1037,"dow up 400, UNH down. Dow up 100, UNH down again. Dow down just 60 points.....UNH down $3.00Stock is pathetic. Funds selling",-0.7697
1038,"This is bianary choice. If you believe in Medicare for All will be implemented with a Democrat in office you should sell all healthcare insurance companies now. If you think there is little chance that Medicare for All will actually happen then hold. Elizabeth Warren has the best of the Medicare for All plans and how she thinks she will pay for it. But, remember healthcare is 20% of the entire US economy with embeded private sector companies virtually everywhere. She has not thought about what will happen to all the companies that will no longer be relevant with a Medicare for All plan. Think about all the insurance companies which are public and will kill the stockholders and employees. What will happen? Also, whe wants to reduce the cost of perscription drugs by 70%! What! That would be great but then what happens to all of the big phara companies? Again, what happens. It is just too much to consider. It would take a generation to implement a plan that might work.",0.9574
1039,Where’s all the posters? Great day today,0.6637
1040,Perhaps now you understand the meaning of Sell the Rally?,0.1573
1041,Worst stock in the world,-0.5548
1042,UNH will go way higher tmrw paybe close to $240.........GLTA,0.2479
1043,"I'm going to keep my October 16 calls ($7000 worth.) Big gamble, will either be worth 20k tomorrow or zero. I hope I'm not being to dumb. Any thoughts?",0.4315
1044,"The market makers did ti again. WOW, I can not believe it that UNH will be red early in the morning. UNH is the number one in DOW 30. WMT can not be new high, that is surprise me a lot.",0.8822
1045,"CV-19 will leave a lot of UNH policy holders with surprise ER bills. Trump let his ""surprise medical bill"" bill sink into the swamp. Now he'll be feeling the Bern.",0.7799
1046,Geddie Up !,0.2561
1047,"What a bunch of panicked sheep. You would think a bill had passed today. Thank you sellers, easy buy here.",0.6067
1048,$600 by Halloween.,0.1299
1049,Tommy - what the hell are you talking about? Are you a pessimist? Do you have a crystal ball? United Health is a great company.,0.6381
1050,"Yep, it's acting like a complete BUM. What is wrong with this thing? Acts like it has some sort of disease...",-0.4329
1051,What happened to UNH today? Good earnings report. Yet the stock tanks. It has been flat for past quarter. I am selling tomorrow.,0.7084
1052,That was a gift,0.4414
1053,Same #$%$ hedge fund punks keep shorting. Don?t rush in or else they?ll short after each uphill,-0.6348
1054,WBA RAD UNH SECTOR ALL GREENANOTHER UNDER PERFORMANCE. 37 OF 41,-0.0919
1055,Can you imagine what would happen if something occurred that actually effected the business? Cuz nothing has.,0.5285
1056,Great decision to sell this at 241.70 this morning. Stock is dead. I will buy it back if it reaches 241.75. No need to catch a falling knife. The market will be down tomorrow,-0.413
1057,350 on the way!,0.0763
1058,"Just make it simple, just buy UNH as long as AAPL and MSFT are in green, because both of them are in DOW 30, and are in top 5. UNH right now is the number one in DOW,",0.8042
1059,Harris is for Medicare for all. Is that bad for UNH? Any opinions. Is she looking for the destruction of private I surance,-0.7352
1060,Those 245 strikes must be the play. Typical Wall Street. Stock is dead. Congrats whoever is holding this down toy have been able to do it,0.3475
1061,"The big boys manipulate UNH at full tilt. I watch it joyfully. It looks like a lot of big mutual funds take turn to buy and sell. XLV is positive but UNH is negative, let's see how UNH will end at the close today.",0.211
1062,As the highest priced DOW component I hope the board considers a 2 for 1 in 2021,0.6894
1063,"Is Bloomberg running to defeat Warren and save the Wall Street types from her Wealth Tax? This could spark a backlash and generate even more support for her. I like both of them as an alternative to Stumpy. I believe either could beat him. We'll see who Stumpy focuses his attention on today in Sunrise as he Stumps in Florida. But in any case, UNH is highly overbought and set up for a major crash. Looking for at least a ten to twenty percent crash on any favorable news about Warren.",0.9311
1064,I think the quick spike is due to AG Barr's testimony about the ACA.,-0.7956
1065,30 Trillion???Ask Red Bernie for a loan!,-0.4202
1066,"healthcare bloodbath....Vote for Uncle Bernie...Just make sure that you don't own ANY healthcare stocks or, Big Tech...",0.7263
1067,Is everyone short squeezing in this week before the earnings report next week!?,-0.2711
1068,funny how this stock moved up by the same amount more or less yesterday with no big news,0.6908
1069,Today was to be expected. Hoping to finish the week above 233 tho,0.546
1070,wait for morning dip tomorrow to get back in?,0.3807
1071,UNH type companies squeeze so much money from our system that the government need to step in and offer the same services of UNH at no profits. The government will need to manufacture generic drugs at no profits to squeeze the cost down,0.1431
1072,Man... i always buy at the wrong times,-0.3425
1073,I'm always glad to see experts like Tommy to tell me what stocks to buy. (Or sell.),0.7423
1074,"Normal insurance markets, like vehicle, have seen their costs plummet, and they're 'refunding' future premiums to prevent a price war (this is really a price cut). Consumers so far are too dumb to do the math for vehicle insurers and are glad they're getting a 'refund'. Healthcare is not paid by individuals, so the healthcare companies or HMO doctors will keep the excess profit.",0.854
1075,This stock is down following a great earnings report ! Is the run over?,0.7706
1076,UNH = Chinese water torture,-0.6365
1077,$220 did not hold.....see if $214 holds.....,0.0678
1078,220 come to papa,-0.0472
1079,Sky high medical insurance is going to fuel single payer system. Insurance companies got greedy,0.6668
1080,We all were waiting for the post earnings bounce. I guess the smart money knew the market was going to sell the market no matter what the earnings were so sellers are getting out ahead of it.,0.4353
1081,"selloff yesterday was ridiculous and unwarranted. should've been up $5-$10 yesterday on earnings/ revenue/ and upped guidance.that was a market manipulated selloff. it's as if market is pricing in bernie sanders as being official nominee with AOC as his vice presidential running mate! come on. get real. we r so far off from that. we r gonna fill the gap and rally big time up today and for next few days. those that didnt buy yesterday will regret great buying opporrunity. actually UNH fell considerably less than other insurers. up, up, and away today",0.8694
1082,300 by mid December,-0.0007
1083,Buy before the earnings on 07/17! Don't b sorry!! Will hit way over $260 GLTA.........,0.4468
