,Recent headlines and conversations for DAL,Polarity
498,"May be opening at $30 : time to jump all in. Weak Q2 priced in. Low fuel contracts secured. People need to fly on business and personal, once it’s safe to do so. We can only go up from here. Back to $35+ soon.",0.7934
499,Big rebound coming tomorrow!!!One good news from the vaccine is all takes to get back to $34 plus.,0.9443
500,"Airline stock went up 35% to 45% past 7 days since I made the call. Did anyone heed the advice belowHW Graff, Sr. trading savant6 days ago$TVIX conversationBuy $DAL, TSA data jumping, Trump called to end china dispute, lots of countries Lift inbound flight ban starting June. Airplanes are full again",0.4453
501,buy now flying to the moon everyday!,0.2936
502,DAL will hit $50 this week.,-0.0443
503,"On April 29, 2020, Delta Air Lines, Inc. (“Delta,” “we, “us” or our”) completed our previously announced offering of senior secured notes due 2025 (the “Notes”) in a private placement conducted pursuant to Rule 144A and Regulation S under the Securities Act of 1933, as amended (the “Securities Act”). The aggregate principal amount of the Notes issued in the offering was increased to $3.5 billion from the $1.5 billion originally sought, and the interest rate on the Notes is 7.000% per year. We intend to use the net proceeds from the offering, together with borrowings under the New Credit Facility (as defined below), for general corporate purposes and to support our liquidity position.",0.9592
504,DAL has lost $5 in 5 days from an absurdly low level to start with. Time for this destruction to end here. DAL is going to emerge stronger than ever once this ends.,-0.1597
505,See a crash coming. Sold my DAL. Wait for cheaper shares.,0.2357
506,"TSA passenger's count nearing 800,000 thousand a day. It is breaking free as people are seeing the corona virus is out there and everyone will likely get it before a vaccine is available. it is a matter of days before vounts will be a million. people want to live with the virus risk and live free to travel and enjoy life.",0.9712
507,Don't worry guys I sold yesterday all my DAL at a huge loss so it's going up from now on...,0.5591
508,"Delta announced today that it will be overstaffed by 7,000 pilots. Delta only has 14,000 total pilots. Delta also will be permanently retiring all 18 of its Boeing 777 long-haul international flight planes. This appears to indicate that Delta will no longer fly long international flights in the future. If one is trying to read the tea leaves, these are clearly not good signs.",0.8937
509,"Its a good company selling a product / service that is not going away. It is a needed sector that the government needs to do all in its power to sustain. It is gaining since the lows... its just a saw blade style of gain. Do a running average on it since the fall. The companies are not going to be back to 100% for some time. Unless you know of a way to talk people back into planes, and open up the world to travel again.",0.9557
510,And tomorrow buffet will tell us how he’s sticking with the airlines and stock will go up.,0.3656
511,I see that Yahoo has the price target working again and now it’s at $72. That’s a big number.,0.3442
512,Can we see 60 today,0.1264
513,Join (http://Thetraderguide.com) and you’ll discover why I don’t look anywhere else for my winning trades. These guys know what they are doing. Join them now.,0.8668
514,"today is the day!tsa numbers rising every day of the week compared to the week before. 0.75 million achieved, 1 million matter of days.guys remember if there were reasons in early june for this stock to hit 37, then I dont see which of those factors have changed so drastically for this not to reach that figure now.yes case count in few states hit highs, but fatality rate is nowhere near to what we faced in previous months.great news on treatments, vaccines, and awareness in general.delta here we go now! 30 by end of week",0.15
515,yeah a dividend cut when there dividend payout ratio is 20 %of there earnings hilarious. with travel over the holidays supposed to be record breaking and the economy doing well Delta is going to kill earnings the next few quarters and raise there dividend with no problem.,0.5477
516,Good time to buy??,0.5915
517,the racist mlb needed an excuse to pull out of Atlanta because they didn’t want their patrons cars burned in the parking lot of the baseball stadium so Now it’s in a safer area where people actually don’t do things like that. there’s the real reason for ya!,0.1912
518,35 by friday,0.0812
519,When the country actually opens up the pent up demand to travel will accrue to DAL since they have the most US routes and are acknowledged the #1 airline. They will do well as will Starwood.,0.5897
520,Flying numbers will only go up from here. It can’t get worse. It’s pretty safe with new policies in place.,0.6476
521,Dal is green 8 of 9 days now. If were green again tomorrow I'm thinking red is due. Green AH now.,0.436
522,"My bad, here is a link to the bonuses delta employees got in February of 2020, and ones they received in previous years. https://www.today.com/news/delta-give-employees-1-6-billion-profit-sharing-bonuses-t172177",-0.0039
523,"Delta signing for more federal aid means only they wish to reserve that option, NOT that they will necessarily take the aid.",0.5871
524,there will be buyers for DAL at these levels for sure.,0.3541
525,Buy before the ex-dividend. It's a clear buy.,0.5688
526,This would be 28 todayOne month chart shows where its heading glta,0.5668
527,covid round 2....,-0.1048
528,Just need to see 60 then I'll sit on a 58.50 Stop....,0.2308
529,Less competition for DAL if either AA or United file for bankruptcy since they have weaker balance sheet than DAL,0.2873
530,Don’t feel sorry! Experienced investors know this is a long term game. These are just paper losses,0.2472
531,"Futures open on a Sunday at 6 PM at -200. Thats very red for a Sunday afternoon futures. Unless there are some massive news like the Fed pumping trillions again, tomorrow there will be a massacre",0.611
532,Whats going on I thought DAL was going to fly today?,0.2352
533,Just buy and hold. Airline recovery is a certainty post Covid vaccine. $60 price target within next 12 months.,0.8768
534,"Well... that was exceptionally encouraging. I bought in at $26.41 and within 24 hours i'm up over $2 per share. My younger self would've taken the money and ran but i'm a bit past those habits. One reason I was hanging back was because I travel internationally a lot - with the coronavirus pandemic being the exception of course - and I was waiting to see if it would affect DAL stock when EU countries reopened their borders to travel. That starts today, and there has been a great deal of press coverage about it this past week so I took the plunge - and to quote George Peppard: ""I love it when a plan comes together"". DAL has a lot of affiliate partners in the Eu so I expected their stock to jump if the June 3 plan was enacted and luckily for me (us) it was. Here's to all of us in this and mad props to DAL for the best possible start to the recovery. And yes, international travel is going again with anumber of resrictions in place depending on the country of origin; Brasil, China etc. of course being a no-go. It is perfectly possible to travel outside the US now if you have your affairs in order and manage the trip ahead of time.",0.9961
535,Shareholders of delta will be wiped out June 1st.... Friend of mines wife works right under ceo.... Sorry for the bad news folks.... You will be compensated for your losses with one free carry on piece of luggage if you fly before bankruptcy is declared....sorry,0.5752
536,"Can't ""cancel"" earnings... Delayed usually equals bad news. Market closed Friday so if this runs into late tomorrow I'm closing my position in anticipation of a Chapter 11 announcement on Monday. We will see...",-0.6226
537,dont miss it guys buy on dips this could only go higher.Nobody can stop the recovery its in your face already no need to be stubborn,-0.664
538,"its typical manipulation, it make up in final 2 hours.",0.1193
539,astonishing!it's not latejust buy this ticket and get on the rocketwelcome aboard,0.3386
540,Over 26 close,-0.1767
541,Delta continues to see slow but steady increase in passenger volumes two weeks into the summer travel season,0.7669
542,I think the majority of people who know Cramer exists trade diametrically against him at this point. Doing so yields 20+% returns,-0.0682
543,The vaccine is rolling. Air travel is back in,0.3297
544,"PE in single digits. Good dividend, good earnings so far.",0.8209
545,$JETS $UAL $LUV $AAL Delta bringing back beer and wine to flights - never understood the reason in the first place but always smart to keep the customer happy https://twitter.com/Clifton_Capital/status/1278059682502828032,0.8667
546,Zombie company,-0.2731
547,Can delta make actual money at only 50 percent of passenger capacity due to social distancing on top of reducing 90 percent of flights? also delta is forced to pay every unnecesaary worker as per stimulus bill provision.,0.3629
548,Already jumping in after hours. This is going to be interesting.,0.4093
549,Wow! ,0.6239
550,Bought some after sell off after I found out they don't have any Supermax planes. Hope it goes down again like to buy more.,0.7215
551,It’s all in the patterns. I seen this and jumped in and I’m not a pro - DOUBLE BOTTOM POP ! Many eyes seen this one coming .,0.6187
552,4:57 EST last trade $27.93 904K traded.,0.6013
553,EVERYDAY DOWN BUY 1 STOCK EVERY DAY,0.0907
554,"Whole lotta short postions panicking all over the various airline boards right now. Too funny - you had to know this was coming guys. When economy reopens airlines are critical for business. They wont/cant fail, you knew they were gonna get bailed out and go up!",-0.6751
555,We pilots makin $500k a year now.,0.1171
556,Might go dow a little today it being Friday. This will up to $27 premarket on Monday. No worries,-0.408
557,Management is current checking to insure all insiders and family members have exited their positions. Once it's confirmed they will release the earnings. Please be patient.,0.7426
558,Cramer says sell. IDi0t was probably shorting DAL.,0.1608
559,The rocket is fueled and ready for blast off. The premarket price action today is similar to AAL’s from yesterday. A short squeeze may be underway. IMHO. Holding on until it gets past $45 then taking my profits.,0.8783
560,Steven Mcuchin and Donald Trump said progress had been made with the airlines and a great announcement will be coming soon when responding to a reporters question about the airlines ! Watch yesterdays white House press conference 13/04 ,0.9046
561,Anyone who doesn't buy into these dips is delusional. With certainty these will go back up after the virus scare. People aren't going back to traveling by horses.,0.0661
562,"so much speculation in so many names, Tesla, Disney, Space stocks, etc....reality here! ",0.1519
563,"Without a doubt, and for all I share my viewpoint. The premier airline in its class and best of breed is Delta! In all the other classes delta ranks in the top 3. Delta is a winner for all, bears make money and bulls make money. Investor's are and will be rewarded. Just hold to your shares as you are riding a winner. Delta was a 60ish a share in Feb-Mar and now with pax counts up and will get continue rising facing a quick uptick to 40 before Delta's 2nd quarter's result. My research indicates revenue on the rise and cost cutting measures are down. Add passengers now rising and additional flights to make up for the unoccupy middle seat strategy. Additional 1000 flights for newly open routes, no doubts Delta is leading the pact. Enjoy your shares as monetary blessings are on your way.",0.9925
564,States opening now and people booking Thanksgiving trips at a higher rate than last year makes you wonder why would anyone sell now.,0.611
565,Hmm to put 5k in DAL and take a stake or not.. ?,0.2529
566,Dal,0.0
567,"41.60 will be tested tomorrow, possibly early next week, If we have a big squeeze, you could see 45 before next earnings call, goodluck",0.3652
568,Lol Buffett bought more,0.635
569,27 today. Please,0.3827
570,really just holding out for a dip to buy before their earnings report in mid January. any guesses on a price dip or best time to buy in the near future?,0.9399
571,"Bunch of high school dropped out in here, Holy Christmas what a new era brings, shout out to you Youngin got to sharpen up invest long term and you will thank me...good luck!",0.9151
572,"In order to improve our community experience, we are temporarily suspending article commenting until after President TRUMP wins re-electionJoe and the Hoe - Sniff and Blow tour is almost over!",0.8448
573,why is it rising lately? what did I miss?,0.6589
574,Added on the panic.,-0.5032
575,Hello $30+ today. Hold tight.,0.3756
576,"Can see DAL at $10. Bail out or not. US Gov't will not fully fund the bailout. Non essential service compared to BA, due to its military and space programs",-0.1427
577,Good entry point for another profitable swing; DAL $34+ by end of next week.,0.7431
578,"Delta (airlines) analysis Pre Covid-19 airlines - paid dividends - Paying down debt- Profitable - CustomersPost COVID-19 - no more dividends - Raising huge amounts of debt- Government has a financial position - Cash burn of 30-50 million a month- No profits- 70-80 percent passenger load from pre-Covid- Airlines have said unlikely to return to normal for 3 or more years- Equity issue dilution - Unemployment at 16%- Infections spiking in several states offers future uncertainty for closing and restrictions Pre Covid, Delta was trading around $60. It’s currently trading just under $30. At $60, the economy was at near perfect. Macro economics are far worse now. Even when (or if) a vaccine becomes available and air travel goes back to pre-Covid levels, the debt load, equity dilution and government stakeholder, makes airlines unattractive for any foreseeable future. Unless stock prices fall much further. There is still a high risk of bankruptcy from more than one airline. At $30 this stock appears a value trap and is overvalued. Value would be in the low teens with a price target of $12.50.",-0.2557
579,"TSA Passenger count yesterday was 25.5% of prior year, which was a record since March 21st. Yesterday's 25.5% was 3.1 points higher than last Monday's 22.4%.Delta only projected 25% this summer, and we're already at 25% now.$DAL $LUV $UAL $AAL $ALK $SAVE $JBLU",0.5353
580,Buffet still has 59 million shares of Delta. he has 72 million to begin with. got rid of 13m. I wouldn't look to far into this. If people panic sell then he can buy those 13 right back at a bargain price... lol,0.7625
581,This will go up when Congress approves the stimulus package. My guest is next week,0.4674
582,"I made a video about: Warren Buffett’s - Berkshire Hathaway Sells All of Its Airlines Shares ! $AAL, $DAL, $LUV, $UALCheck it on YouTube: ""https://www.youtube.com/watch?v=zdYZfNiN8Q8""What to do with airlines stocks right now?",0.6225
583,Hard to believe we are back under $33 again. added more today as a result.,0.1267
584,Love this stop went all in holidays will br huge,0.7515
585,Boycott Delta and Coke.,-0.2056
586,I m ready to buy Delta but shall I wait for a way lower price like $17? what do you think guys?,0.7073
587,I am making money while the stock price is going down but I don't have a short position.Why is that?Booger,0.5705
588,If astra Zeneca vaccine is successful Monday these stocks are going up 20 percent delta is going to 35,0.8977
589,"So the Woke CEO Ed Bastian receives a $17,000,000 salary per year while his subjects earn a median salary of $ 26,000. How's that racial Equity working out for you?",0.3327
590,Buy the dip hold till next summer easy$48 from here,0.2941
591,share price should be down to $3 bu next week..GL!,0.2609
592,If the social justice warriors don't wreck what is left of the airlines the mandated vaccine passports will. Trade accordingly.,0.8633
593,Check out this rising wedge we got goin ;),0.6798
594,20 months of liquidity and we see a vaccine in the next 3 to 4. I like the chances of 100% return in 24 months,0.8164
595,Bye Delta.,-0.2793
596,"A best in breed consistently profitable business hampered only by a temporary exogenous shock.... Berkshire has been wrong a lot in recent years, and they are wrong again now.",0.8606
597,Missed expected by worse. Yet pre trading higher lol.,0.0851
598,"Flying on Delta and they also serve Coke...No thanks, I'd rather go visit my mother-in-law...",0.3357
599,out pos mgmt,0.3472
600,"Why is everybody acting like warren owned 90% of this thing? It hit these levels after he closed out... If you’re scared of somebody selling, you shouldn’t have ever bought it.",0.1817
601,USA.,0.0977
602,Not worth 40% in 2 days. Watch red soon.,0.1608
603,Bankruptcy again,-0.2212
604,Who didn’t already know delta was going to drop 90% revenue? Who truly thought they’d be back up and running before June/July? They will have to weather this issue for months and it will take a year to regain their revenue. Doesn’t make them a $5 stock. Markets look 1 year out anyway. I bet we see drops to $16 out of fear and then a surge to the low 30s again in July/aug,0.7893
605,Jump down,-0.0106
606,Monday futures up extending rally. All good news from here.,0.5551
607,Pelosi just bought a boatload of DAL.,0.0997
608,Business travel will never recover to pre-pandemic levels. CEO ignorant and more concerned about politics than a healthy bottom line. Not a great combination for long-term success.,0.8461
609,Why would anyone buy this before earnings knowing that half of global airlines are about to go bankrupt.,-0.2858
610,Load up here on BA - all small airplanes companies who went bankrupt or retired old planes creates opportunities for new sales transactions for BA - then Space and Defense production- This stock is about to break out.. chart says it all and options are also heading that way! Boeing strong and $DAL $UAL $NCLH $CCL $RCL $EADSY enjoy the ride guys!,0.9461
611,"I sold 800 shares of Delta that I had bought at an average of about $15/had it for many years/enjoyedthe dividend. I have since bought back 200 shares at less than I sold it for. I'll be a buyer on Mondayif it nosedives, which I don't believe it will. I look for it to be up a$1-2 at the end of the day.",0.6906
612,here we go $DAL $59 a share,0.28
613,some airlines may fail. DAL will clearly not be one of them. Good luck shorting here. This will not even last one day down here.,0.6815
614,Guess who is buying their debt........and forgetting about it........guess.....,0.4483
615,Just put together another itinerary for Italy in July. Tried to make the same itinerary this time last week and the only options were Turkish airlines flying into Istanbul (not a bad flight actually but a VERY unfriendly airport) and now there are tons of Delta/KLM/Virgin flights available and no Turkish airlines flights. So Delta is definitely ramping up their operations. I trust this kind of progress %100 more than anything an analyst says. I see boots on the ground progress.,0.9343
616,There are at least 8 to 10 aliases here trying to mislead people.,-0.2013
617,The propaganda coming out of London won’t stop the airlines,-0.3903
618,easily $40 by eoy,0.527
619,muted jason and the bots. More institutions and hedge funds will pile in soon as travel sector is continually in an upward recovery,0.6947
620,not low enough,-0.1967
621,"why down with big volume. DAL does not have any MAX, bookings good? ? ?",0.489
622,Last time you will see this stock under 23. Going up big demand. Crazy tsa numbers.,-0.0673
623,"A new record of number of people passing through TSA on Thursday: 576,514I can see 600K+ by upcoming Monday.",0.6256
624,"Buffett is a legendary investor. But, he is human and makes mistakes like everyone else. The airline industry is a great example.",0.9212
625,DAL target price $50 before end of 2020.,-0.0137
626,Bought it 45 in March for dividend now like to sell and like to buy MO for income any thought I am 73,0.8091
627,The negative narrative articles continue as MarketWatch tries to help shots cover. BUY the DIP!!,0.4651
628,No crying when this comes down faster than a Lead Balloon later today or early next week....,-0.7386
629,Can’t wait for the earnings call.,0.2739
630,Big risk after American earnings but I think delta may be a great buy prior to earnings,0.8232
631,I sold took my little profit. See no hope anymore. They are debt loaded. Bankruptcy is the only way to clean the company. $UAL,0.4717
632,"I think Delta is strong and good itself as other people mentioned, but there are many negative factors that we can’t ignore like Covid-19.",-0.2022
633,"The pullback is a discount. The fear is unwarranted. Delta is the only airline I bought due to its good management and cash, compared to other airlines. Southwest is the only other. These two give me the most confident out of all of the airlines to survive and stay healthy through the pandemic. This is not March all over again....the panic selling yesterday was not warranted IMO. Delta has processes in place like many businesses to keep their customers safe. Delta is slowly returning to normal. We're on a path to recovery. You're buying DAL for the price in 3-6 months. Keep buying and holding.",0.9584
634,if DAL really wanted to appeal to customers they would follow vietjet's model https://www.businessinsider.com/vietjet-bikini-airline-market-cap-surpasses-vietnam-airlines-2017-3,0.5154
635,Over 10 july calls made. Easy money in the bag.,0.2507
636,Is DAL serving food back in first and business class or people flying to Europe in business for 6k still get peanuts for 11 hours ? thanks!,0.5774
637,meanwhile TSLA makes 0 money ever and trades near $1000 a share.,0.4072
638,"The executives saying ""Delta will survive this"" in the conference call will send this stock up 20%. The expectations are so low and priced in. Mark my words.",0.3144
639,Is this still cheap?,0.3986
640,Powell wants us to be scared because his daughter had a really good time with a foreigner and now he wants people to stay at home and not go out anywhere and restrict airlines from international travel,0.6194
641,Plane crashed in Pakistan with 107 people on board this morning,0.2556
642,Buy more or sell and buy overhyped overpriced NVidia? I tend to hold Dal or buy more. Its a risk. But if successful it's a goldmine.,0.7823
643,hold!!!!!! go down $17,-0.4833
644,is stock gonna tank cuz expected earning is bad?,-0.61
645,"what happens between earnings releases is the recovery story takes over...optimism and secondary data show improvement....cold water will be thrown on the rally with the next earnings release, but until then mid 50s is likely.",0.1039
646,Do we need an ID to board a Delta flight?,0.6455
647,This can easily touch $40 on Monday. The market will continue to rally based on Covid vaccine being on the horizon and Covid being a thing of the past. The Airlines and Travel stocks have taken significant hit over the last 7 months. There are many catalyst news this week that would keep this stock going up.,0.9191
648,"Flying is coming back, airlines will fly full planes again in the future, but current shareholders may be wiped out before demand recovers. Investing in Delta at this price is no fee money. Chance of bankruptcy is real.",0.0263
649,Buy on dip!,0.4278
650,buy more on any significant dips from here as DAL is the best airline to own.,0.8113
651,My chart and some bullish ideas on DAL.https://www.tradingview.com/chart/DAL/h0eZVbmr-DAL-Long/,0.4863
652,"If you guys are really obsessed with buying an airline wait for the price to come down. You can't keep ignoring the debt and decreasing revenue. Also its probable that one or two will go bankrupt. Southwest is a little better positioned because they barely have international flights which will resume a lot later than national.JetBlue has a very good pre covid19 balance sheet. Less debt, more cash on hand comparable to their whole sheet and very important, less inventory now that less is better for the next 18 months.It means they dont need to pickup that much debt and they will have s higher percentage of their feel working when things pick up.If JetBlue goes below 6 dollars that could be a very decent entry point.",0.8909
653,So Buffet dumped the market yesterday to buy dips?,-0.1922
654,The bottom did not drop out!!! Ahahahahah all of you put holders are left with nada,-0.417
655,"Berkshire Hathaway mentions DAL as one of their major holdings but of the $25 billion they lost (on paper at least in part) in q4 2018, DAL was not part of that loss. DAL is expanding and profiting at every turn. Oil prices have reached their highs for this year according to experts, all good for the airline industry. Lots of upside from here for DAL.",0.8062
656,"$DAL $BA $CCL $MGM Post 80-150% stock gains, while the underlying businesses are DEMISING...https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-25-20-intl-hnk/index.html",0.6028
657,"It is unfortunate. Probably even world world II didn't do this much damage. Travel industry is completely decimated. Airlines especially. Those thousands of planes are garaged but the monthly installments are still on. Each plane is $250 million. Delta probably pays billions each month for plane financing. Revenue is pretty much zero every day now. I think it will be a great opportunity for airlines industry to seek BK protection to get rid off those loans. Of course, it will wipe out common shares. Be careful. Don't fall for ""it appears so cheap"" mentality. Actually, this stock is down only 50%. Many tech stocks are down more than 50% even though those companies are still operating. Delta is a good candidate for BK.",0.9759
658,"guys delta vastly undervalued. it's going to hit 40 before end of month, and 31 by today!",0.1002
659,Losing billions is bullish now,-0.1824
660,"Q2, now behind us,,that was the bottom,,,, shorts are now looking up a mountain of doom!!!",-0.3475
661,$dal,0.0
662,"Question for everyone, if you had $1200 what stock would you buy",0.3785
663,"Georgia already backing up from the opening as cases are skyrocketing.People were getting relaxed before.History repeats itself. During the Spanish flu pandemic people complained about social distancing. It was called the anti mask league. The result was a second wave that killed even more.Now DEATH is coming for the ultra optimist.Airlines will suffer. Bankrupcies for some, almost penny stock status for others.",-0.9552
664,Shorted at $35 will add in if it goes to $38 - good luck to me. Nobody is flying for a LONG time. This industry is in a very bad place right now and for many months going forward.,0.8536
665,Quite concerned after seeing that video of passengers praying with the engine gone on a delta flight. Spreading fast. Obviously doesn’t have to do with this stocks financials but I believe it’ll have some effect,0.5948
666,Buyers will support DAL here and it will not go much lower. Way too cheap.,0.3674
667,This will open at high $26 or low $27 Monday. Missed opportunity for those that didn't pick up shares cheap on Friday.,0.0143
668,Well good luck America with your Covid cases and flying I’m glad for once to be in Canada.,0.9074
669,Buffet fumbles again. Airline are flying higher than prices he sold at. Headed back to pre-virus levels by Sept.,0.515
670,"Don't just boycott Delta, sell your Delta shares of stock.And if you must hold onto them, file a complaint with the SEC that they are forfeiting a third of their business, and violating their fiduciary duty to stockholders, who own the company. It was the ATF, directed by Obama in 2010, that legalized bump stocks.",0.4993
671,Did anyone see the DB upgrade with a $70 price target? That's easily doable.,0.4644
672,Delta didn’t receive a loan from the government!!!! My puts are about to print lol 7 airlines got one delta didn’t,0.6731
673,"So, you all had 9 hours today to sell and very few did, and now they expect you to do so in AH after they drag the bid lower again? Yeah, right. Good luck with that.",0.8529
674,"This Monday morning, on the European markets Airbus and airlines are markedly up. Bodes well for the American market too",0.2753
675,"is this it, bottom? strong feeling it is",0.4809
676,"so the way oil stocks have run up why don""t you think airlines can""t. this is America we like to get out and do things. these stock are going to fly. at least by 50 percent off their lows.",0.7908
677,Outside for a decent amount of time this past weekend. Noticed a significant uptick in planes flying overhead. TSA numbers support it too!,0.8224
678,"Speaking of fundamentals and not numbers I still don't understand why the stock market panic has reached levels of colapse in just a few months ... ... One thing that is obvious is that one of the industries that will recover the fastest is the air industry, and especially with high demand, given that the whole world has postponed its travels for after the disappearance of the pandemic.... I don't want to be overly optimistic, but with the number of advanced medical institutions around the world working simultaneously on a medical solution for this disease and the number of governments providing financial support for the cause, the solution to the crisis should not be past this summer or september like much. . Historically, man has always overcome these epidemics, and with the high technology of our times, it should not be the exception ...",0.9814
679,i am tired of watching these airlines stocks upside down. Best business model? Buy low sell high in a very short amount of time. They are going up again and then down and so on. This is not an exception my friends. It has been happening over and over again with this pandemic. Good luck,0.8552
680,this drop will never hold. DAL is closing at day highs.,-0.4799
681,"If history repeats itself, airliners dip on the day Buffet opens his mouth then quickly bounce back and gain 10% within the next 2 days.",0.692
682,I'm buying a lot on this pullback. Market is future looking and the second half of 2021 and beyond looks very good!,0.8343
683,"Skyw feeds for delta and all major airlines, will come out bigger after picking up trans and compass routes. Goldman predicted they would profit and grow from crisis",-0.0349
684,I GOT ANOTHER ONE FOR YOU. BUY FORD STOCK. TRUST ME. WHY? BECAUSE EVERYONE SAYS DONT.,0.8732
685,last time they reported earnings I thought they were great and I initiated a position and it started declining instantly before marching back towards $60. I expect something similar this time around. Fine with either outcome as I'll buy the dips or enjoy the gains.,0.9156
686,anything under 20 looks a gift for these.me and my frnd had total of 6 tickets cancelled they ans 1 minute and refunded right away even though we didn't purchased directly from delta website.what I am trying to tell is this is the only airline can refund back to credit card and also they have enough customer service team .that tells they will have lot of returning business and also they have funds to use,0.8269
687,democratic operatives are spreading LIES about the new voting laws in Georgia. then dumb CEOs don't do their research and follow along.we don't live in the United States of Delta Airlines. we live in a Constitutional Republic. I will find other airlines to fly.,-0.6271
688,Might break through $20 today airlines looking strong today,0.4691
689,"sellers at 48....the short and long story is this....short term it will likely trade between 45 and 55...maybe it sees 40 before 60, but over the next few years it makes it back to 60. The indicator that we are back to normal will be the dividend.",0.2068
690,Going up. That’s all,0.1664
691,"PE ttm now 8.8 on Yahoo, 8.5 on fidelity. Dal has room to fly here. Finally back over 50 per share again today on heavy volume, nearly 13 million shares traded. Dal outperfermoded all airlines today! Let's roll Delta!",0.8207
692,Is it a buy at this level?,0.4345
693,5 billion loss in Q2 vs 17.9 billion market cap ... I know that the price is an expectation of future earnings but those are losses for a while.,-0.5251
694,Oil about to break $10 a barrel WTI! My gawd 12 pack of beer cost more!,0.4045
695,Skyrockets in flight!!! ,-0.3089
696,"Most governors have suggested that businesses should declare bankruptcy, referring to Senate Majority Leader Mitch McConnell’s comments on Thursday. I think, its a really great idea.",0.7753
697,TSA passenger count's trend has increased for the past 11 days after falling for the prior 10 days in a row (as measured by percent of same day 2019). Aug 2020 is 29.8% of (70.2% less than) MTD Aug 2019.TSA Passenger Count by month:2020 Mar: 48.3% of 2019 Mar2020 Apr: 4.7% of 2019 Apr2020 May: 9.6% of 2019 May2020 Jun: 18.9% of 2019 Jun2020 Jul: 26.1% of 2019 Jul2020 Aug: 29.8% of 2019 Aug (higher due to Sat-Sun only)TSA Passenger Count by day:Sun Aug 2: 29.7% of same day in 2019. +1.9 points (+6%) versus same day last week in 2020.Sat Aug 1: 29.9% of same day in 2019. +2.5 points (+9%) versus same day last week in 2020.Fri Jul 31: 28.1% of same day in 2019. +1.6 points (+6%) versus same day last week in 2020.Thu Jul 30: 26.2% of same day in 2019. +0.1 points (+2%) versus same day last week in 2020.Wed Jul 29: 22.5% of same day in 2019. +0.3 points (0%) versus same day last week in 2020.Tue Jul 28: 22.0% of same day in 2019. +0.8 points (+1%) versus same day last week in 2020.Mon Jul 27: 26.8% of same day in 2019. +0.4 points (+1%) versus same day last week in 2020.Sun Jul 26: 27.8% of same day in 2019. +0.4 points (+1%) versus same day last week in 2020.Sat Jul 25: 27.4% of same day in 2019. +0.5 points (+0%) versus same day last week in 2020.Fri Jul 24: 26.5% of same day in 2019. +0.6 points (+1%) versus same day last week in 2020.$DAL $LUV $UAL $AAL $ALK $SAVE $JBLU $SABR,-0.8928
698,"I flew Delta on Wednesday and Saturday. The plane on Wednesday was nearly full; on Saturday of a holiday weekend, about half full. The airports were busy but not packed. Seems like business is getting better.",0.9139
699,What happens if Trump loses in novermber? I only bring this up because Pelosi was trying to get the Senate to pass the emissions on the airlines. I dont see how any business is going to prosper with as far left as they want to go.,0.2322
700,"I just bought more shares as soon as the market opened. The market overreacts so much. The company continues to increase everywhere and a very slight miss on revenue expectations (still up 22%) causes a +4% dip. Ridiculous. I'll be happy to increase my number of shares, get some dividend money and sell for 58 or more sometime next year.",0.9034
701,Delta southwest and UAL are prob the strongest airline that will weather Covid 19.,0.4351
702,"Even with the negative reports, the price is staying within its range for the past three weeks. This is a discount price right now; any good news will take this above $35.",0.5843
703,I have fell head over heal’s for my PREDISENT Joseph Phinneus Baden!!!Watching him give the State of the Onion (without a maks for sum reason) and I’m am so PROUD of him. Anyone with Bi in there name is number one in my list. Captain BoTHE CAPTAINOut!,0.9014
704,Airlines still the most oversold sector of the market. Buy while you can.,0.4446
705,Cases are continuing to soar. Hopefully air travel will be banned soon ;),0.2775
706,Up to 60 should now be a problem.,-0.1601
707,No one talking about our awesome pop high today? sheesh what does it take?! Go Delta Go!,0.8805
708,Looks like folks are loading up before the pps gets to high.,0.6373
709,"costs continue to be reduced, Outdated 777's will be replaced most likely with more efficient models like the 737 MAX. No time to give your stock away down here.",-0.1812
710,"It's my opinion that these airlines will not survive. No one is flying and probably will not be flying much for a long time to come. Therefore, No customers while burning money is not sustainable no matter how much money the government throws at them. Like many here, I thought I would open a position while the airlines were at these levels. I decided to cut it loose after only holding overnight. The chance of Bankruptcy (wiping out all shareholders) is to big a risk making the airline sector uninvestable IMO. Good luck to you folks that are long. I now realize why many people do not like investing in airlines me being one of them. Be careful adding to your positions.",0.9508
711,New base $24. Wouldn't be a surprise to revisit $27 next week.,0.1915
712,Senate just bailed out the airlines. Thanks Mitch!,0.5664
713,Stop trading and hold for large gains from here.,0.1828
714,almost hit 1mil travelers yesterday. Slow and steady recovery,0.4799
715,Not sure what y'all really expected here? This was one of the easiest plays I've seen in a long time.,0.871
716,"Last 8 trading days, green red green red green red green red. There could be a pattern here! Green tomorrow? ",-0.6478
717,"The Liberals agenda is working. No air travel:-(. Redistribution of wealth, no cows, and everyone gets a check in the mail",0.0484
718,The Constitution is clear who decides voter rules in each state. The Georgia legislature used their constitutional obligation to modify the GA rules to make sure voting is fair and equal. To do nothing would have been to perpetuate the mess and accusations of the past. Efforts against GA are an act of sedition to our Constitution.,-0.1576
719,ignore the tulip and bubble posts..its china propaganda...,-0.2808
