,Recent headlines and conversations for CSCO,Polarity
1166,"True, oil is plunging. Too much supply",0.3118
1167,LOOKS like the LIbtrolls boycott isn't working...BHWAHWHAWAHAHAHAHAHAAHA !!Chick-fil-A on course to become the 3rd-largest fast food chain in the U.S.Chick-fil-A on course to become the 3rd-largest fast food chain in the U.S.Chick-fil-A on course to become the 3rd-largest fast food chain in the U.S.,-0.6599
1168,"Mares has its Jersey on, fo sho!Will Dems Support ICE or 'Put on Their Nancy Pelosi Jersey' and 'Vote the Party Line?'",0.8264
1169,"All that stimulus money , yet VIOLENT crime is UP?WHO is doing most of it??",-0.8809
1170,Why are millions of college Libtirds gathering massless for Spring Break? Liberals have been creating super spreader events from the beginning of the pandemic. The left can’t follow common sense guidelines.,0.7654
1171,"sammy puts the ""Q"" in that acronym they use.",0.0177
1172,I can’t wait until we segregate the country Republicans / dems Who will they blame for being broke failures???,-0.7544
1173,Stock market is redder than chicago streets after a peaceful druve-by,0.5673
1174,RUMP AND GHOOLIANI,0.0247
1175,https://www.wokv.com/video/hot-video/five-teens-caught-doorbell-camera-leaving-home-teen-shot-and-killed-police-say/rn5Ksw5zoaMetvchdMAytO/flags and statues made us do it,0.0616
1176,Listening to Chuck Robbins interviewed by Jim Cramer - and reading between the lines - $CSCO forward guidance in my opinion is total BS. I think perhaps to lower stock price for purpose of buy back.,0.4465
1177,there are 11.8 NEW voters who don't get polled who will remember to vote in 2020,0.5428
1178,"At least now, if a company beats by a penny, it will be because of the future growth potentialand notsome plastic banana gimmickLOL",0.5193
1179,"Joe Biden’s handlers several days ago agreed to a pre-debate inspection for electronic earpieces but today abruptly reversed themselves and declined. Biden’s handlers have asked for multiple breaks during the debate, which President Trump doesn’t need, so we have rejected that request,"" Trump campaign spokesman Tim Murtaugh said. ""On top of the refusal to take a drug test, it seems pretty obvious that the Biden team is looking for any safety net they can find in the hours leading up to the debate. With his 47 years as a failed Washington politician, how much help does Biden want",0.8808
1180,Trump underperformed Obama in year one.This is absolute fact.,0.1066
1181,gas prices surging taxes rising and joe destroyed a perfect stock market but hey you're going to get a 1400.00 check yippee,0.8062
1182,DearSmegma is upset that President Trump called Obozo's JV creation a bunch of losers.Poor flamer suffers from sploogie rage.,-0.7766
1183,"More than a year after election President Trump approval way better than Obozo's. And Obozo had the fawning, enchanted lib media propping him up 24/7/365.",0.8779
1184,Something the self-declared genius didn't count on: B.1.617.2,0.112
1185,"SELL ALL US Stocks in this TULIP MANIA BUBBLE! A HEAVY CORRECTION IS IMMINENT! The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3700.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!The US Government is PUMPING Oil Prices artificially, DESPITE Shrinking Demand and Exponentially rising supply! Oil price went up from $1.00 to $60.00 in no time FOR NO REASON, thanks to FED. Soon, Oil will be USELESS and WORTHLESS, but the US Market Makers are seeing commodities as PUMP and DUMP Schemes!!!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QShttps://www.businessinsider.com/national-debt-problem-of-free-money-stimulus-checks-covid-relief-2021-1?r=DE&IR=T",-0.9952
1186,great markets...dems have nothing..,0.6315
1187,"will the infra-structure has fiber internet to the home for $39.95 a month? Yes, we want at least 1Gbits/sec to the home",0.6866
1188,WHAT WHAT: US Mail Found in Ditch in Rural Wisconsin — Included Absentee Ballots,0.0936
1189,There aren't enough jobs for your kidssoold coot brings in MORE,0.0297
1190,Covid deaths +500k but other causes of deaths -500k. Follow the science.,0.4728
1191,"The goods-producing sector, however, posted a back-to-back month of net payroll declines in February,""working"" from home doesn't bring $$ back to this country",0.062
1192,I have a wife - I don;t have a GF,0.3115
1193,Where is wreekie? Is he busy making millions at his lumber mill or spending the $5600 that he and his family qualified for because they don't make millions.,0.3982
1194,Wreekie has crabs?,0.0
1195,Mike is going to buy every Black in NY a sixpack of Colt 45 to regain their confidence.,0.7838
1196,White House Press Sec: Trump ‘Put a Stop’ to Briefing Because Reporters Were Being MeanLOL,-0.3472
1197,Mares insists Hillary the winner of the 2016 Presidential Election.,0.5385
1198,democrats hate when i remind them that the community organizer experiment failed and the fed had to step in and save the market snicker,-0.7207
1199,#CracksMeUp when a $1 trillion rescue package was held hostage by democrats because it ‘wasn’t enough special interest’ money,0.7897
1200,mars/mares/mario is all excitedhe FINALLY didn't get one all wrongLOL,0.0718
1201,Our new POTUS has created quite a crisis. The surge to our wide open southern border is quickly escalating.- Thy Willby Dunn,-0.2692
1202,"Joe: Man, this is not easy. Lots of stuff put in front of me that I just don’t understand. I just sign the stuff so I can go nap.",0.8882
1203,"WowLook at the futures, it’s clear real Americans love trump",0.7631
1204,Barbie dolls should include little plastic male parts in case Barbie wants to transition.,0.3544
1205,"This stock has crashed every earnings recently. Maybe this time it holds its own. Writing covered calls, 56s. Figure they go worthless at least with such a large open interest. If it crashes I just hold and wait. If it rallies well it probably won't go past 56 and if it does that's ok too.",0.8857
1206,"Disillusioned by how Democrats handled 2020, some New York City residents are dumping the Democratic party and voting Republican.",-0.2793
1207,$60 and more is coming in the next few weeks! Hold tight long suffering stockholders.,0.3611
1208,When did you get a boat Mares?,0.1673
1209,Relax guys it’s ok to put kids in the Obama cages Joe painted them with butterflies,0.8195
1210,hmmm looks like Bolton could be charged for mis use of top secrect gov data oh nose snicker,-0.0153
1211,Freddy needs interaction trying everything he can to get responses. LOL,0.618
1212,Obama certainly did his best to stir up racism in the U.S.,0.1183
1213,A guy with no stocks posting about stocks. Lmao,0.5228
1214,The delusion started early today: fredomares: Trump has yet to commit to any debates btw.,0.3922
1215,"My definition of white privilege''knowing that we brought everything that everybody wants or needs, to fruitionvoodoo din do nuffins",0.2577
1216,'mis-guessing future events'adorable!,0.1429
1217,First 100 Days. A President Hillary Clinton would be hospitalized by now.Thank God for the wisdom of the Electoral College.,0.6967
1218,Low T might be the reason for bidet's dementiahe sounded like a grandma last nightandgrandma made the border a crisis AGAIN,-0.4532
1219,Deleting post again Let’s do it,0.0893
1220,America started the process of becoming great again as soon as Obama moved out of the Whitehouse. He wasn't about to let the country grow and prosper on his watch.,0.7995
1221,Somebody leave the gate open on their woodpile?,0.0775
1222,Understand this Richard. Trump trails Obama in both job creation and market gains.You old fellas need to understand 'percentages',0.3249
1223,"Don Jr... they may find past crimes, they may find current crimes...we have committed so many... besides tRump are above the law",0.581
1224,Can't ya just see the sweat beading up and the flashing ivories!!! UH HUH!,-0.2896
1225,Dave’s post disappearing faster then his parents once the gubment check stopped Snicker,-0.413
1226,You guys are really funny! Super witty and such.Doing great work!,0.9171
1227,"Obama's goal was to bring America to its knees through a policy of managed decline. Democrats were ready to blindly follow him right off the cliff.Now, Uncle Joe is picking up where he left off.",0.6275
1228,Up! Up! Soaring,0.4682
1229,"Willby Dunn52 seconds agoAmazing. All the male ""asylum seekers"" claim to be 17...no matter how thick their beards are and how deep their voices are.- Thy Willby Dunnwillby, soon they will all identify as 13 year old girls snicker",-0.4482
1230,"Well, well, well.....House Oversight Committee Republicans on Tuesday formally called for an immediate hearing on security breaches at the State Department during Hillary Clinton's leadership, after the department said Monday it had uncovered ""multiple security incidents"" involving more than a dozen employees.In a letter to Committee Chairman Elijah Cummings, D-Md., ranking committee Republicans Jim Jordan, Mark Meadows and Jody Hice said State Department officials conducting the ongoing security review into the matter should testify.""We request a hearing to examine widespread security protocol breaches at the State Department concerning former Secretary Hillary Clinton’s private email server,"" the Republicans wrote. ""The unorthodox and unsecure arrangement she maintained exposed classified, national security and diplomatic-sensitive information to a myriad of risks and related issues.",0.9555
1231,IT HAPPENED AGAIN! New Jersey Republicans Receive Mail-In Ballots With ONLY DEMOCRAT CHOICES,0.6979
1232,oh my my! watch the shorty pies bail.,0.1994
1233,Mares buds from the corn exchange. Steenk finger buds that is!,0.1372
1234,"How many human caused fires will the fruitcakes blame on human caused Globull Warming this fire season? Yes, there has always been a fire season, tornado season, hurricane season, etc.",0.3852
1235,"How about that....Every time I refer to the left stream non_nus Me_d_a as...Tray,ors my msg gets d_le_id",0.2516
1236,how can we get the market to be positive for 2020?can we solicit Obama's help? he had a great Dow track record - 19000 points gained,0.9387
1237,Oil prices coming Dow nicely,0.3486
1238,"KO says try to be less white, rodneysodo a carjacking ,holdup, or drive by tonight",0.2916
1239,Dems already rigging the next election!!!,0.2537
1240,"A Trump presidency, Paul Krugman predicted, would tank markets and spur global recession.Now a year later, markets on longest winning streak since 1959 and global economy is surging.BTW, Paul Krugman is Dotards financial advisor....hahahahahahahahahaha",0.0737
1241,new NC Rep to report to Speaker Pelosi,0.2658
1242,"I am tempted to buy a lot of shares of CSCO. Talk me into it, or out of it, please. It seems like a dead company. Am I wrong?",0.1146
1243,I’ll be in Battle Creek today.,-0.3458
1244,"When a party tells you how smart they are , then creates a crisis at the borderjust like they have in every city they controlit's about time to askWHY?",0.7169
1245,The point of no return/throwing good money after badwhat are we going to sell to the world to get some of that borrowed money back?,0.2914
1246,Be the day!!!,0.2525
1247,"Dem Cities - A shooting inside an Indianapolis apartment left four people dead Wednesday night in the latest act of violence to strike the community, authorities said.Officers responded around 10:30 p.m. to reports of shots fired at a complex on the city’s northeast side, where they found three men and one woman with apparent gunshot wounds, Indianapolis Police Assistant Chief Chris Bailey said.All four were pronounced dead at the scene, but no names or details about the circumstances of the deaths were immediately released. No information about a possible suspect or suspects was released.",-0.9673
1248,Why post picture of dog logs!!!,0.2428
1249,"mares is a whiner:mares16,051 whiney posts.",-0.3182
1250,mares where do you see the nasdaq going today ??? i would like to take the opposite side of your trade,0.563
1251,The Build Back Better Infrastructure Plan will be unveiled this Wednesday in Pittsburgh. US Steel (X) has run up nicely but still has room.,0.7774
1252,"Great news, any American can get a vaccine May 1st. Illegals can get a vaccine NOW.",0.9604
1253,How convenient that Joe can shift the news cycle towards gun control and away from his failing economy and his border crisis?,-0.7702
1254,they should hand out free guns and ammo in chicagothat way we all winyou're welcome,0.8999
1255,"Remember, Hilary said there will be no civility until we’re back in control Buy violent crime is up on average 80% across the country Maybe she meant until she’s back in control???Snicker",-0.5814
1256,let's close over 52$,-0.1767
1257,Todd4 hours ago$CSCO conversationThis is a great BoredJust in case you missed it,0.5649
1258,"3 days ago = ""I have total authority"". Did Pompeo give him a speed class on Civics?yesterday - “You’re going to call your own shots,” Trump told U.S. governors. “We’ll be standing right alongside of you and we’re going to get our country open.”",0.3647
1259,has that weasel william ever admitted he was wrong on the stock marketwrong on hillarywrong on total Solar Eclipsesjust wrong?,0.0417
1260,Obama's goal was to lay waste to all that millions of Americans hold dear.Democrats blindly followed him.,-0.4
1261,The Fact That Kamala Harris Said She Believed Bidens Accusers and Then Accepted His VP Offer Shows That Her Integrity Is For Sale.,0.8404
1262,Has Cy Sam checked the board these last few hours ? Lmao. Great board monitor. The best,0.9312
1263,Rejoice!!!Facebook killer is dead. One less Obozo voter ruining America.,-0.9101
1264,It will close $53's today ...,-0.074
1265,I find it amusing that I have fanboys.Have a super day!,0.8009
1266,Cisco $50 today ,0.0783
1267,Don't think it is going out for a while Mares. Double IO overhaul is going to take awhile. Lake is kinda slushy anyways.,0.4183
1268,If you turn your charts upside down Joes market is the greatest in history Snicker,0.6587
1269,Barr and Durham must investigate Obama and Biden too.,-0.3113
1270,PO Mares jess cant get no respeck!!! HUH UH!!!,-0.8471
1271,Made my first purchase today and feeling good about holding this long term.,0.8914
1272,Kid Rock donates $10 million to Covid treatment,0.6804
1273,SUPREME COURT TO GO CONSERVATIVE FOR A MINIMUM OF A GENERATION,0.8197
1274,if you cut a potato in half does that make it gender neutral ?????thanks,-0.4313
1275,I was hoping to add more shares for $50 today. looks like that won't happen.,0.8272
1276,Trump speech at Michigan rally interrupted by ‘We love you’ chantA crowd had a similar chant recently in North Carolina,0.677
1277,S&P is more important for 401K investors,0.2118
1278,I think your days of successful posting are DONE!!! William!!!,0.74
1279,Can they use the race card in England??I’m told they care less than we do Snicker,0.7853
1280,$CSCO $WIMI $NIO I don't care what the futures are doing at the moment. Nothing will stop massive influx of buying products very soon. Make the bears homeless,-0.3534
1281,I sincerely hope Joe runs for reelection. Hahahaha.,0.9017
1282,"china's export rise 3.3% in julyimports fall 5.5%so..... I didnt go to Wharton... and clearly wasn't top of any class, but I am going to go out a limb and say Dotard is not winning the trade war",0.2727
1283,Nasdaq futures turned green then dropped hard once Joe started talking We should lock him in the border cages,0.6067
1284,DJT at the brunch line at Mar a Lago.He has been in a foul mood.,0.0065
1285,It's hard for working people just to stay home. How do mares & wreekie do it.,0.3867
1286,Funny watching those kids boo her off stage. Shouldn’t the 3rd lady stick to stripping ?,0.363
1287,The DIMocrat Party continues to operate in full crisis mode.,-0.0626
1288,"If they put college TAs in the schools, they could all open and most of the childcare dilemma would be overthey've had months to think of this",-0.0276
1289,"Trump golfing today , tomorrow and Sundayyou got conned",0.0926
1290,"Didn't Joe say we should all have shotguns, and should always fire warning shots at anyone threatening us?",-0.8626
1291,the market loved his speech real traders know he is still president,0.6235
1292,White House pulls Tanden nomination. MAGA.,-0.0739
1293,"trump's great market... my fidelity account is the same as it was a year agoi am paying 1% on their managed account to move sidewaysand it is because the dow has moved sideways, everytime it moves up.... it goes right back down",0.6279
1294,The left has full and forever ownership of Cancel Culture mentality. Enjoy!,0.7345
1295,https://pbs.twimg.com/media/EHgbmbTWoAA6DFG?format=jpg&name=4096x4096,0.0
1296,"mares 3 hours ago$CSCO conversationso,,,,, down 500 today?Dow 3026,451.52+11.59(+0.04%)",-0.242
1297,"Need funny, AZ. vote recount!",0.6532
1298,OUT OF THE DEM POPULATION HOW MANY KNOW THEIR ABC'S? IS IT ABOVE 70% ?,0.6575
1299,Another Big Ole Dog Log!!! UH HUH!!!,-0.6434
1300,will someone help this company get their stock price to $100,0.6312
1301,"Next quarter earning 's gonna be downhill due to bad guidance of EPS .....It sees EPS coming in at $0.81-$0.83, light of consensus for $0.85.",-0.5818
1302,"Remember when mario claimed to eat Naval officerwhen in reality, he tended boilers in the bowels of foreign flagged cargo ships as a union merchant marine.",0.3589
1303,Obama spent more than all president's before him combined.,-0.0591
1304,Not sure what it is that causes your posts meme queen. But I bet it is hard to spell!!!,-0.2527
1305,"Mario likes the ""CORN"" he gets behind the Corn Exchange!!! Doncha Mario!!!",0.6263
1306,Obama - America's first president to openly hate America.This is a fact and cannot be denied.,-0.3536
1307,THANK GOD ABORTION WAS ILLEGAL WHEN I WAS BORN....MY PARENTS WOULD HAVE GONE THROUGH WITH IT....THEY TELL ME THAT TO THIS DAY,0.1821
1308,Pelosi says unaccompanied children arriving at U.S.-Mexico border is a ‘humanitarian crisis’. THANKS JOE,0.8456
1309,"Trump rages that FOX has put folks with a liberal stance on the air He doesn't want that - FOX is an alt right network, says The Chosen One",-0.5811
1310,It’s was easy to predict the tech crash No I’m not psychic Joe is just a career failure I was expected Maga,-0.0068
1311,"So much money wasted on people who never kept a budget , or paid taxes, or lived within their means is an affront to the decent people",-0.2965
1312,Today is the day the Manhattan DA got the Tax Records.Anything to do with the sell-off? Let's discuss.,0.4354
1313,Drudge might need to update folks on something IMPORTANTLOL,0.1497
1314,Trump's going to give Alaska to Russia. And let Jared Kushner run the country. They are just too funny!,0.8002
1315,Which one of you meat heads broke the board this time?,-0.1235
1316,Putting Hot Pockets on Iggy was a great decision IMO,0.8073
1317,"Dave, Stan, Winr, Mars. The Demtard can't think of fake yahoo IDs with more than 4 letters at a time. Hooked on phonics worked for him.",-0.1924
1318,The most transparent WH has blocked the media from reporting on the border crisis. Lolz.,0.0181
1319,Year to DateShot & Killed: 224Shot & Wounded: 1077Total Shot: 1301Total Homicides: 239in just chicongoyetsome people are still talking about the capitol,-0.3032
1320,"The Democratic party champions taking ever-increasing tax money from the pockets of those who work to give to those who won’t work, even if they have the opportunity to do so.- Thy Willby Dunn",0.8795
1321,"JOE WINS AT EVERYTHING, KIDS ARE EXTREMELY TIRED OF IT",0.6702
1322,DJT may have delayed response to Capitol riot : Ex-FBI agent,-0.598
1323,And its still posting nonstop4 hours ago$CSCO conversationLOL!41 DAYS LEFT FOR MAGA$CSCO conversationOK too much fun for one daygotta gosee ya,0.7032
1324,FAKE NEWS CNN WRONG AGAINAll evidence points to COVID-19 coming directly from Wuhan labs !!!,-0.7225
1325,Mario dances every time I type something. Dance my puppet!,-0.176
1326,"It's true, Democrat Mayors have the highest crime rates in their Cities.",0.0361
1327,Covid-19 stimulus has virtually nothing to do with Covid.,0.1508
1328,Kamala Harris is standing by. Ready anytime MAGA wants.,0.2687
1329,"It's true, oil moved up nicely today. lol",0.8347
1330,Nasdaq soars 3%.,0.0
1331,Dow 40k coming.God Bless.,0.4215
1332,I see he got an early start with the liberal/leftist nonsense.,-0.2242
1333,"A RepubliCON lawyer argues at the Supreme Court that if the Voting Rights Act is not gutted, how are RepubliCONs supposed to win? The suppression is on record in front of the Highest Court in the land.",0.9558
1334,mario12 minutes agoThat Maga fella Tom Brady is WINNING lollol he is too old nowhe will retirePoster says Tom took her back to his house one day and just when she started to feel all warm a fuzzy he asked her to clean the bathroom,0.9055
1335,Gas prices are stable....but we are running out of the stuff.....,0.3594
1336,I’ve been to Arizona City.,0.0573
1337,Reminder: DJT nearly doubled the unemployment rate.I know he doesnt take responsibility - but it happened on his watch,0.1238
1338,Fraudahontas,0.0
1339,"Marijuana farms contributing to climate change, research showsCannabis not so green due to indoor growing energy demandwhat will you do?lol",0.7995
1340,just say no to returning to offices...so you can be at the adult daycare.. remote work all the way,-0.1471
1341,Bill de Blasio Thinks ‘More Truth Will Come Out’ About Andrew Cuomo’s ‘Pattern of Abuse’,0.2058
1342,"LOL! Now we know why nancy pants caved!Senator Lindsey Graham has created a new reality for House Speaker Nancy Pelosi.Graham has written a powerful resolution which Senate Majority Leader Mitch McConnell joined in co-sponsoring. Together they have attracted 50 co-sponsors – which means with Vice President Pence supporting them they would win a vote to dismiss any phony impeachment from the House that failed to meet a key standard of fairness.The resolution: “calls on the House of Representatives, prior to proceeding any further with its impeachment investigation into President Trump, to vote to initiate a formal impeachment inquiry; calls on the House of Representatives to provide President Trump, like every other American, with due process, to include the ability to confront his accusers, call witnesses on his behalf, and have a basic understanding of the accusations against him that would form any basis for impeachment; and calls on the House of Representatives to provide members of the minority with the ability to participate fully in all proceedings and have equal authority to issue subpoenas and other compulsory process.”Faced with this new reality, Speaker Pelosi suddenly ended months of avoiding a vote on the impeachment process and announced today that the House would vote this week.",0.9495
1343,nike said everything was stolen except work shoes and job applications,-0.5051
1344,stay triggered pajama boys when I'm a fangett keyboard warrior stuck in a basement I go to a yahoo message board to get chyt on by other people,0.1751
1345,Wow....you'd think you're reading comments on #politico or #thehill.....you right and left wing nuts are just that.....NUTS....I've muted more people in past 5 minutes than I have in 2 decades on these boards. #CSCO a great company btw....,0.7748
1346,Texas is truly a Free State! MAGA!,0.7912
1347,"Black Chicago Police chief said it was not a hate crime. Talk about bias. Graphic footage captured on Facebook Live shows a mentally handicapped white man being tortured in Chicago by African-American assailants as they laugh and express their disgust for white people and President-elect Donald Trump.Chicago police announced on Wednesday evening that they had arrested four people in connection with the crime, according to Fox 32.The video, taken by a woman identified on Facebook as “Brittany Herring,” shows a white man tied up with tape across his mouth. The victim is shown being repeatedly hit, sliced at with a knife, berated and his clothes ripped off.Read more: http://dailycaller.com/2017/01/04/fk-donald-trump-fk-white-people-4-people-in-custody-after-man-kidnapped-tortured-on-facebook-live/#ixzz4Uu4HkwNd",-0.9653
1348,"One might think that the neroes would have learned to obey cops ordersbut what they actually learned is that ,if they create a scene, they might get off due to a technicalityer,a most of the time",0.6142
1349,The Latest: BuzzFeed Stands by Reporting on Disputed Storyhttps://www.usnews.com/news/politics/articles/2019-01-18/the-latest-buzzfeed-stands-by-reporting-on-disputed-story,-0.1386
1350,LOL!https://www.bizpacreview.com/2018/07/02/democrats-leaving-the-party-in-droves-as-walkaway-campaign-gains-real-momentum-650543,0.0
1351,"Why does Facebook and Twitter allow terrorists to have a voice, but not American citizens?",0.1429
1352,"About 3 M go on unemployment every month, not for a week or two, but so long that they need benefits extended to Nov",0.8141
1353,"""We don't want no more police,"" the woman questioning him continued. ""Is that clear? We don't want people with guns toting around in our communities, shooting us down."" Tell that to the gangs that take control of your neighborhood.",0.1336
1354,Our new POTUS continues to have difficulty putting two sentences together.His ultra liberal VP is anxiously waiting in the wings.- Thy Willby Dunn,0.001
1355,"Obama fostered corruption at the highest levels of the FBI, the Justice Department and, of course, the IRS.",0.4571
1356,"Criminals are catch-and-released to hurt more people, but stopping them is bad because it's a violation of THEIR rights.",-0.9379
1357,Giuliani to be indicted for campaign violations and foreign agent malpractice,-0.6149
1358,"The human toll of President Joe Biden’s failed border policies is staggering as a report claims on child migrant center in Texas is at 729 percent capacity while children are forced to sleep on the floor.Biden, who Mexican President Andres Manuel Lopez Obrador recently called the “migrant president,” account to Reuters, has taken what was a stable region on the border under former President Donald Trump and transformed it into an outright humanitarian crisis.His administration, of course, avoids using the word “crisis” when describing the situation.",0.8388
1359,"How the 1st US city to fund reparations for Black residents is making amendsUp to $25,000 per eligible resident for housing will be distributed this year.-------------------------------------------------------I agree with Reparations....you Snowrooms who had nothing to do with Slavery should pay reparations to people who may or may not had relatives who were slaves....after all you SnowRooms are white so your guilty....of being white....PS....Still waiting for my $1,400...the wife and I want our reparations also...",-0.3037
1360,The market is timid despite all the pumping,-0.0707
1361,Not going to get much posting in so go for it!!!,0.258
1362,There goes licorice!!! Forevuh!!!,0.3748
1363,It's a new week. It's frightening to think what new poor decisions our current CIC will make. - Thy Willby Dunn,-0.6712
1364,Imagine how bad race relations would be if those mean statues were still standing Roflnao You people bees ignant,0.1777
1365,If we need to tear down statues rooted in racism we should also dissolve the DNC which is rooted in racism.,-0.8049
1366,We can thank the ingenuity of educated Americans for today’s markets.,0.5639
1367,HEY BRETTE HONEYim mares and Im right here tiger,0.669
1368,The sheep are drooling over Joes Bravo Sierra. It ain’t happening anytime soon.,0.4268
1369,Joe did a great job with raising his kids. Name any other crack head who has made millions as an energy consultant. Lolz,0.9287
1370,"Fellow Conservative -- Thanks to the Scalia Court's ruling in Citizens United v. Federal Election Commission, a decision that reversed century-old campaign finance restrictions and enabled corporations and other outside groups to spend unlimited funds on elections we are entering into what will certainly be one of the MOST EXPENSIVE RUNOFF RACES in U.S. history. Which is great for corporate America and the Oligarchs. And as conservatives we back them 100% against the whims of the Little People (aka American Citizens).",0.9686
1371,"Armed Services chair Jim Inhofe sold a handful of stocks on Jan 27, three days after a private all-senator briefing on the coronavirus. And indeed, those stocks have fallen in value by 20-33% since then. This is the most troubling of the examples pointed out since last night.https://pbs.twimg.com/media/ETjjfkDWoAIlvng?format=jpg&name=small",-0.5854
1372,HiJoe Won.Markets up.,0.1862
1373,Too Funny.40 DAYS LEFT FOR MAGA29 minutes ago$CSCO conversationheaded out teamGF then watching replay of Tiger golf,0.5293
1374,Dats Right He Is!!!,0.3184
1375,"Why can other countries enforce their immigration laws, but not the US? Thanks.",0.6893
1376,"'Historic' snowstorm to pummel Wyoming, Coloradoyou knowbecause of warminglol",-0.0125
1377,The sun has risen and the Son has risen.Peace be with you.- Thy Willby Dunn,0.2414
1378,CBS didn’t make enough to cover costs on the airing of the Markel Debacle. CBS to re-run the interview with hopes of breaking even. No cares about Oprah or the chamber maid.,0.3365
1379,"50,399, and the beat goes on....MAGA",0.2131
1380,Good News! FDA approves Pfizer Vaccines for Children. 12 and up,0.8866
1381,Trump with Hannity now https://pbs.twimg.com/media/EST6f2ZU0AEElXk?format=jpg&name=small,0.0614
1382,We need more statistics on the deathsI'm thinking the most vulnerable were those with a low metabolism who's greatest stress test was a walk to the mailbox,-0.1729
1383,"Mario was given a handicap at an early age. ""A FORK"".",-0.1009
1384,nasdaq dropping fast now no one sees a future with joe in charge,0.6121
1385,Bill Taylor is a GOP.,-0.3247
1386,The royals said Meghan was brought in to have a 24/7 janitor,-0.046
1387,TRump's $45K for golf carts to play golf this weekend would pay for 255 ventilators,0.6123
1388,they call it creature comfort it's a new trend to relieve stress demtards are laying down and making out with cows these people are sick we must separate the country NOW,0.6895
1389,House GOP chairman in competitive district announces retirementLOLOLZ,-0.2984
1390,"Despite recent spikes in coronavirus cases and hospitalizations across the country, South Dakota Gov. Kristi Noem (R) said Monday that the thousands of people planning to listen to President Donald Trump speak at Mount Rushmore this week will not be required to practice social distancing.",-0.5481
1391,In just 4 months this Administration has done more damage to the DemocRATic Party then they've done to themselves in the last 4 years. Joe gets stuff done! lmao,0.8266
1392,"Fancy that, a 20% price target upgrade from Goldman. Buy.",0.3259
1393,"20 States Send Letter to Senate Leaders Promising Swift Consequences if HR1 Passes. This group of top law enforcement officers wrote that “it is difficult to imagine a legislative proposal more threatening to election integrity and voter confidence.” They make the case that H.R. 1 strips the state legislatures of their constitutionally granted authority to determine how elections will be held in their states.Indiana Attorney General Todd Rokita, the leader of this group and the first signer of the letter, issued a statement to Fox News which read in part, “This monstrosity of a bill betrays the Constitution, dangerously federalizes state elections, and undermines the integrity of the ballot box. As a former chief election officer, and now an Attorney General, I know this would be a disaster for election integrity and confidence in the processes that have been developed over time to instill confidence in the idea of ‘one person, one vote.’”",0.9656
1394,Cisco Systems to Buy Sedonasys Systems For Undisclosed SumBY MT Newswires— 12:06 PM ET 05/11/2021,0.0395
1395,"LETS GO - In shocking news last night (that some people have speculated is related to the recent firing of Geoffrey Berman), Ghislaine Maxwell, the co-conspirator, manager, and socialite who facilitated the sex trafficking network of Jeffrey Epstein was arrested by the FBI and (no surprise here) the DOJ from the Southern District Of New York.See, Berman (part of the deep state/lawfare crowd) was the Justice Department attorney for the SDNY. He was fired less than two weeks ago by William Barr… now, a known predator has been arrested.Coincidence?",0.16
1396,Are we building back better yet?,0.6443
1397,I’m glad Lyndsay figured it out. I was gettin worried about the little feller for a while there,0.6078
1398,cnbc says get ready for tax hikes,0.4194
1399,I don't think they like you very much either Mares. Tsk tsk,-0.2094
