,Recent headlines and conversations for DVA,Polarity
227,"Railway Pension Investments Ltd boosted its position in shares of Davita Inc (NYSE:DVA) by 12.6% in the 3rd quarter, according to its most recent disclosure with the Securities & Exchange Commission. The firm owned 74,656 shares of the company’s stock after buying an additional 8,341 shares during the quarter. Railway Pension Investments Ltd’s holdings in Davita were worth $4,260,000 as of its most recent filing with the Securities & Exchange Commission.Other hedge funds and other institutional investors have also recently bought and sold shares of the company. Oppenheimer & Co. Inc. lifted its stake in Davita by 1.6% in the second quarter. Oppenheimer & Co. Inc. now owns 12,600 shares of the company’s stock worth $709,000 after acquiring an additional 201 shares during the period. Coastline Trust Co lifted its stake in Davita by 2.2% in the third quarter. Coastline Trust Co now owns 10,210 shares of the company’s stock worth $583,000 after acquiring an additional 220 shares during the period. Creative Planning lifted its stake in Davita by 3.6% in the second quarter. Creative Planning now owns 7,231 shares of the company’s stock worth $407,000 after acquiring an additional 250 shares during the period. Commonwealth Equity Services LLC lifted its stake in Davita by 2.3% in the second quarter. Commonwealth Equity Services LLC now owns 11,337 shares of the company’s stock worth $637,000 after acquiring an additional 251 shares during the period. Finally, CSat Investment Advisory L.P. lifted its stake in Davita by 30.4% in the second quarter. CSat Investment Advisory L.P. now owns 1,167 shares of the company’s stock worth $66,000 after acquiring an additional 272 shares during the period. 87.60% of the stock is owned by institutional investors.",0.9979
228,"Bought 1 lone Jan 2021 37.50 on 7/9/19 for 18.00Sold today for 21.50 - 25% in 3 days!Artificially low due to concerns about Wed Trump comments re dialysis, then the news wasn't' so bad - or more accurately no changes in the very short term.Certainly makes me with I had purchased more of those calls. I still own some purchased earlier as stock replacement that I had purchased so that could sell some common next bump which is what I did.Trying to keep some cash on hand in this crazy market with Trump, China, N Korea, fed rates.And it would only take one successful terrorist event in the US to tank the market for a while. Have to believe there have been close calls that the good guys foiled. They have been doing an outstanding job.Good luck folks!",0.9295
229,"PEOPLE WARNING: DAVITA HAS NO PROBLEM WITH FRAUD,,,,, FRAUD IS THERE BUSINESS,,,,,,,,, MEDICARE FRAUD, BUSINESS FRAUD, AND NOW STOCK FRAUD,,,,, WITH THE NAJARIAN BROTHERS,,,,,,,,, CNBC NAJARIAN FRAUD,,,,,,, THESE BROTHERS ARE NOT TO BE TRUSTED,,,,,, PEOPLE DO NOT INVEST WITH THESE TWO THIEVES ....... THE CALL $66.00 JAN16 2019 IS A FRAUD.",-0.9033
230,Cigna. partnership will bring another source if revenue for davita see you guys in the 80s and 90s,0.6584
231,Going to fall after earnings. Sold yesterday. Good luck,0.6274
232,DVA reached a 52 Week high at 77.76,0.3561
233,"In all likelihood buffet will increase his stake in the coming quarter, this is a long term buy",0.7645
234,i m new to this stock..any news to share?,0.4616
235,DaVita reached an all time high at 112.10,0.3228
236,"COVID Risk?Is there a risk to DVA business model because of COVID? dialysis patients are in tight proximity in dialysis centers with 20-30 other patients for 4 hours per session three (3) days per week. The medical staff work at multiple clinics and could potentially transmit disease. Most clinics are in metropolitan areas. End stage renal disease patients requiring dialysis are mostly over 65 years of age and have underlying medical conditions such as hypertension, diabetes, immunosuppression and are often overweight. Similar profile for those at greatest risk of serious COVID infections.The map of dialysis locations nation wide looks a lot like the map of confirmed COVID cases https://www.optum.com/solutions/population-health/clinical-management/medical-benefit-management/kidney-solutions.htmlWhat is DaVita doing to protect their fragile patients? What is the rate of COVID positive care givers in dialysis clinics? Does DaVita provide infection rate information to their patients? Do the air handling systems in the dialysis clinics have HEPA filters?",0.9788
237,WOW Peter DVA is really ripping up...huh ????,0.7439
238,Trying this for the 1st time. Few shares won’t hurt,-0.2426
239,DVA should break $70 before Y/E based on expected forward earnings and WB lifting % owned. Buy,0.2145
240,Close to 6 million shares short. Likely short covering action today. Proceeds from sale to be used for share repurchases.,-0.219
241,Warren Buffet started selling,0.2116
242,hope to stay above 60..,0.6435
243,Forward PE of 9.65 is cheap. I see aging demographic as a tailwind. The health care system with a splited house will continue .,0.739
244,DaVita is down 4.94% to 107.73,-0.2462
245,stock looks cheap at these levels. Good time to get in?,0.7218
246,DVA is up 6.07% to 72.82,0.1818
247,I reshorted what i covered at $123 today at $126.19......i keep making money on this pig...and mean while FMS the much cheaper dialysis company keeps climbing towards my price target of $50 in the next few weeks...DVA will continue heading back to $114 to $118,0.633
248,"There are a couple risks related to covid. Increased cost of service, risk to employees and clients and in the longer term ....How many souls are lost to this hideous disease ?....... What does post COVID look like?",0.2821
249,Buy the Dip,0.3345
250,Bazinga.... DVA Sell target $51.https://www.benzinga.com/analyst-ratings/analyst-color/17/10/10155866/american-kidney-fund-legal-issues-a-major-overhang-for-,-0.0044
251,hello,0.0093
252,why is this going down ?,-0.1821
253,if this is still down tomorrow... I'm going to buy a bunch more....,0.0522
254,DVA reached a 52 Week high at 82.49,0.3561
255,Article recommend to buy DVA from analysts indicates that it is cheap with forward p/e of 10.x,0.7945
256,"THE DAVITA FRAUD IS REAL,,,,,,,,,, SECOND TIME DAVITA LIKES FRAUD",-0.6869
257,luv this stock....,-0.0234
258,"Insane value, even at $50, Warren B buy is unwise",0.148
259,"DVA remains the top value play in the sector, and has a lot of room to run— given its leading metrics manifested in its very clean and attractive balance sheet!",0.896
260,Why up today?,0.2956
261,How to sell on dutch auction ?,0.0432
262,"I only bought this because it was a Buffet stock,200shares on a dip in August.After a stock buyback,this sale could be a route to a takeover or going private.Definitely a hold right now ,if it was January I might sell but already too many capital gains this year to pay taxes on.",0.7261
263,DVA reached a 52 Week low at 47.76,-0.1464
264,"What does Berkshire and other billion dollar hedge funds see in this company? Either the market is inefficient and can't price this security, or there is something many disagree on. Is it litigation risk? Healthcare reform risk? Company seems to throw off good cash flow. Anyone?",0.4116
265,It's time for the Office of Inspector General to investigate for racketeering and money laundering under the Rico act. Going down down down.,-0.7106
266,Anything new here? Seems like they are restating the same concerns. Biggest issue was the large move in price target.,0.1744
267,DaVita is down 5.14% to 82.83,-0.2462
268,DVA reached a new 52 Week High at 74.03,0.4256
269,DVA is up 4.93% to 53.86,0.1818
270,BTSC .07 good bitcoin (2400) play stock,0.7998
271,My average after commissions is avg price of 126.01...tomorrow i should be profitable on this short should eventually drop to $93to $96 by mid year....market is starting to fall apart so it might even be accelerated even more its starting with the Nasdaq and eventually almost everything will collapse except super cheap stocks like FMS that will settle in the $40 to $50 range,0.6551
272,DaVita reached an all time high at 93.61,0.3228
273,Down to 53.05 2.27 so I just put a buy in for 52.65 to buy back the trading shares I sold yesterday at 56.53.I see no news on Yahoo or AMTD or finviz.,0.5045
274,DVA is up 5.16% to $53.61,0.1818
275,"Someone called into Cramer tonight about DVA. He said bye.Didn't say anything abotu recent run, or the Berkshire stake.Actually his comments I think made it sound like a growth stock. Or more growth than I am expecting.Nothing about low margins, or that all the profit comes from the sliver of Insurance Money because the gov't reimbursement isn't much.I'm still long, have sold some trading shares along the way. And have one lone Jan 2021 37.50 call is up 75% that I bought with proceeds of selling profitable common lower than where we are now.All the common I still hold is green.""scale in, scale out, online commissions are cheap""",0.961
276,DaVita is down 5.17% to 86.41,-0.2462
277,Warren buffet holds 20 percent of DVA,0.3415
278,Had a good run . Maybe a pullback to where it broke out $90,0.6264
279,DaVita is up 4.94% to 81.39,0.1818
280,"#$%$ - up 4.8% to 53079 on no real newsAn article about DVA being one of Berkshire's 2 stocks near 52 week low.Some SPAM.Some click bait.But nothing I'd consider substantialIt's been over 54.00 today on jsut slightly higher than average volume.I bough back the Jan 65 calls I wrote at 4.00 for 2.00 and will rewrite them given the chance.FMS up .5% on 1/3 averaged volume here at 2:25 EST and no new news there either.Overall market up like 1% after a rough week so far. S%P & NASDAQ up 1%, Dow .75% due to BA I'd imagine..",0.9602
281,"THE DAVITA FRAUD AND TANKING OF DAVITA, NAJARIAN CALL FRAUD IS NOT OVER,,,,,,,, DAVITA CALL FRAUD",-0.9312
282,DaVita is down 4.93% to 81.43,-0.2462
283,"told you longs yesterday this is going down hard with big miss, i'll hold my short shares",-0.3961
284,Forward 9.87 P/E is ridiculously low for the moat,-0.6651
285,DVA is down 5.31% to 67.55,-0.2462
286,DVA reached a 52 Week low at 43.73,-0.1464
287,"Just had to add!63.75 today in the selloff. DVA down 1%, many (and averages) more like 2%.So for a stock with no dividend and serious debt and constant insurance reimbursement worries it's holding up well.Don't recall if Berkshire can buy any more with their current agreement or not.Overall still down on DVA. Just have too much AWK and still think dialysis (including home dialysis) is only going to grow.",0.8497
288,"So, over a week ago, Chanos said that the company was committing insurance fraud and what has the company said to refute this...NOTHING!",-0.5918
289,coming soon to the john oliver show on hbo free advertisement for the greatest dialysis company the world has seen. watch and be amazed. this sunday or next sunday.,0.9058
290,up 12%=stable ??,0.2718
291,Play the rebound in DVA stock for huge gains!- DVA is a $150 stock currently trading at a big discount at this current bargain basement trading levels!,0.8941
292,Was this recent run-up in a decent market mostly the fact that the sale in Colorado went thru?,0.7405
293,Hows that short working out Chanos!! Time to get a real job!,-0.538
294,"analyst price target average at 67. I guess that the one time write off has gone, It is about to get an upgrade.",0.6845
295,DVA reached an all time high at 86.48,0.3228
296,Forward PE and valuation are very attractive,0.6066
297,"Shorted an additional 50,000 at 129.22",0.2004
298,Sold my position for now.i will stand sideline for a while. Thanks United Health!,0.8458
299,Game up for DVA? Seemed like it was only a matter of time.,0.6247
300,cvs eyes kidney patients.,0.0
301,Robert and Peter whose better BUFFET the DINO or ME ?,0.7167
302,DaVita is down 4.97% to 73.86,-0.2462
303,"Still potential tax loss selling by individuals but I added some yesterday and todayI don't see a compelling reason to be in a hurry. It may run into yearend as folks may have sold or be selling and needing to wait their 30 days.DVA has been disappointing. Not like folks have a choice about getting Dialysis. I owned some stock in a company their competitor recently purchased that specialized in at home dialysis.And both of the guys WEB gave money to run to see who may replace him bought DVA independently or each other and that was why Berkshire had to start to file about DVA becasue their ownership was so great. I believe there is some kind of standstill in place though isn't there?Anyways may be time to start to nibble..""scale in, scale out, online commissions are cheap""",0.9888
304,Company release just muddies the picture - so much Govt assistance!!!! Finally clamps coming down?,-0.4011
305,Official NICKNAME Ceremony...i pronounce you ROBERT THE WRONG and you sir PETER THE SHEEP !,-0.7449
306,up up up,0.4943
307,DVA is down 6.41% to 70.07,-0.2462
308,"There a is potential 30% upside in DVA stock from these current trading levels!- Savvy investors should employ an accumulation strategy on this persistent weakness in anticipation of next. week’s DVA earnings report!*** Ignore the manipulative short trading, and back up the truck on this phenomenal DVA buying opportunity!!!!",0.8099
309,DaVita is up 6.81% to 79.04,0.1818
310,"DAVITA ,,,,, FRAUD...... NAJARIAN BROTHERS...FRAUD....... $66.00 CALLSBY JAN 16, 2019.......... FRAUD, CALL,,,,,, DAVITA FRAUD",-0.8374
311,2021 EPS guidance ahead of consensus at the midpoint.,-0.4166
312,"THE DAVITA FRAUD,,,,,,AND NAJARIAN BROTHER FRAUD CALLS",-0.5445
313,I would say the election results prior to earnings saved DVA's #$%$ or else this would have been in the 50s.,0.4949
314,WOW thank goodness we received that 6 month old news item from PETER that a 91 year old dinosaur bought this pig 6 months ago....he probably sold a ton in early Q1 of this year when it was $125 now PETER is telling everyone to buy this pig.....see you in the 90's,0.8853
315,"bitcoin going down equals stock market going down equals DVA going into 90's....if DVA goes to $130 i have another 30,000 shares to short this pig",-0.434
316,Seems like a Yes vote on Prop. 8 is going strong and gaining. Not good for DVA. Millions spent by DVA on a losing proposition will hurt their bottom line even more.,0.6174
317,yo,0.1089
318,DVA reached a 52 Week low at $50.23,-0.1464
319,"PEOPLE PULLING THERE MONIES FROM THE NAJARIAN BROTHERS,,,,,,,,, HOW CAN ANYONE TRUST A LIER BROTHERS WITH YOUR MONEY.......DAVITA FRAUD,,,,,,,,,,, 66.00 DOLLAR CALL OF DAVITA BY JAN16 ,2019DAVITA FRAUD",0.6626
320,DVA is up 5.68% to 71.40,0.1818
321,DaVita is up 7.30% to 84.63,0.1818
322,DaVita is down 6.49% to 72.49,-0.2462
323,DaVita reached an all time high at 101.29,0.3228
324,Listen to the Freakonomics podcast on dialysis. Davita does some shady stuff.,0.2485
325,DVA reached a new 52 Week High at 77.47,0.4256
326,DaVita is down 4.99% to 112.88,-0.2462
327,DVA is up 6.07% to 69.50,0.1818
328,"Wow, I bought 2000 shared when it dipped to 55 with the fund I sold RAD with a big loss. Hope it will cover some of the loss from RAD",0.7607
329,The most encouraging news for those Long is the aggressive share buyback program at these low prices!,0.8453
330,$49 coming this week,0.1251
331,"How many shares do you think DVA has already bought back at these levels from weak holders, given the company's $1.500 billion buyback authorization (12% of the market cap)?",0.3572
332,long DVA anyways,0.3691
333,Have you seen all the TV ads about kidney dialysis patients getting infected and killed at clinics? DVA is killing people. lawsuits en masse to come.,-0.9119
334,Why is this down big today? Cant find any news,-0.1111
335,Super low volume pullback. Weak hands selling or just a little reasonable profit taking. No worries $120 in next few months regardless of economy.,0.2091
336,DVA is currently trading in the “extreme value discount” level!,0.5771
337,Nice Beat!Going up and up!,0.7138
338,"By this morning I have purchased back most of the DVA I sold earlier, and added a little more SQ.Watching SPY, KLIC, JPM to add.Got lucky with DVA in one account it's been excellent trading especially considering that I really view DVA as a long term hold.5/19/18 bought small lot 64.7511/7/18 sold 4 lots 75.5511/8/18 bought lot 69.7511/13/18 bought lot 65.4612/10/18 bought lot 57.53(10% lower than last buy)In another account I have similar1/11/18 sold 4 lots 78.68bought lot 5/3/18 63.53so I may have more buying to do to finish replacement. Been looking at calls alsoTax loss selling HAS to be an issue as this market continues to deteriorate rapidly.3rd account a couple of lots from March 2017 avg 68 I added a lot 11/20 59.53.I'm now at about 10% of my Portfolio and overall the shares I hold are down 8%. Now I have booked decent profits though this doesn't reflect.In the end I always wondered why DVA doesn't pay a dividend. Huge cash flow, almost a utility. No choice but to have Dialysis and basically it's a duopoly. WEB's new guys both loved DVA and I sold some when Berkshire had to file how much DVA they owned and other folks jumped in.Basically Tarif's won't effect DVA. Taxes won't negatively effect DVA.No choice but to have Dialysis if you need it.Tax loss selling has to be a major factor IMO right now.""Scale in, scale out, online commissions are cheap""Good luck folks!",0.9844
339,"I covered 20,000 shares at $123.39 shorted at $129.22....that's how it's done cowards Robbie and Petey",0.3141
340,We are now at December 2013 price levels. My only guess why we are down 25% from the high is the imminent election of Hillary and the possible damage she might do to the healthcare/pharma sector.,0.2934
341,JUST HOW BIG COULD THE FRAUD BE DAVITA,-0.4543
342,"Like everyone else, I'm finding countless articles about CVS buying Davita for $4.9B sometime next year. Has anyone found anything more concrete? How much that works out to per share? Roughly when next year is the acquisition going thru?",0.9155
343,"Added some at 54.53 in very rare for em pre-market buy on news about at-home DialysisRemember that Frenesius(sp?) just was allowed to complete their purchase of NXTM that has to my knowledge still the only small at home unit for Dialysis including overnight.I used to own NXTM - a decent amount until I saw the moves mgmt was making to continue their personal gravy train at the expense of stock holders. By the time the buyout came I didn't own many shares. Infact one of the worst moved NXTM had made was giving away too much of the company and a board seat to the fella they bought the tubing set business off of and is what they had to sell off to have the buyout be allowed.If DVA continues to slide I'll hope to buy back my Jan 65 calls that I wrote for half price and likely will still add some common.There are always stories and sometimes referendum's abotu Dialysis. But there still arent' many altrernatives to Dialysis or the 2 large Company's in this space.Good luck folks!""scale in, scale out, online commissions are cheap""I may flip today's pre-market shares for a couple bucks more today given the chance.",0.9634
344,My post last night about price movement after hours after ER has disappeared!,0.509
345,DVA is up 4.96% to 81.47,0.1818
346,"Earnings release in the pre-Market opening should be a barn burner, and should take DVA to new all time highs!*** Good idea to get ahead of the upward surge!",0.8363
347,"It should go down this morning, because of the Jim Chanos""s accusation. it is big fraud, that is why the stock did not go any where lately,",-0.4456
348,DAVITA FRAUD WITH NAJARIAN BROTHER IS STARTING TO TAKE HOLD.........,-0.5029
349,The number of diabetic people are increasing,0.0793
350,THE DAVITA CALL TO $66.00 MADE BY THE NAJARIANS.... IS A FRAUD.,-0.7192
351,News is the election in CA. Ballot asks for price controls on dialysis centers. DVA et.al spending heavily for a NO vote.,-0.1991
352,Dva dropping to low 90 watch,-0.1153
353,Where are those cowards Pete and Robert ????? Hiding? Embarrassed ?,-0.4861
354,"LEE COOPERMAN,,,, DO THE RIGHT THING IN YOUR LIFE,,,,,,,, TURN YOURSELF IN AND AMIT TO THE FRAUD.....",-0.0604
355,"Okay, profit taking is fine, but; DVA has finally filled out to its authentic and fair trading level.- By fair trading projections, DVA stock should be at $125. ",0.9339
356,DVA is down 4.92% to 44.61,-0.2462
357,Bought a call today - rather than selling one.May add more later Jan 2021Crazy Market. China shouldn't have much specific effect here.I don't know if DVA gets any consumables from China. Or whatever 3rd party they buy from has items made in China.Does it effect anyone else like this. Just typing China and Medical Device in the same sentence gave me the shivers!,0.9644
358,"OVERSOLD bear raid in effect for this trading session!*** Buy DVA on weakness — the company is on pace to report its strongest Qtr in a matter of days!- This is a great entry point to obtain huge gains, for enterprising and retail investors — in the face of brazen pre earnings short trading raid!",0.9642
359,"Berkshire Hathaway (BRK.B +1.4%) (BRK.A +1.4%) discloses a 33% stake in Davita (DVA -0.7%), up from 31.7% in a filing dated Sept. 21, 2020.",0.4184
360,"I have no idea, was going to ask the same questions",-0.4608
361,DVA is down 5.94% to 70.67,-0.2462
362,"JAN 16, 2019 FRAUD CALL, DAVITA, AND NAJARIAN FRAUD CALL OF $66.00 IS A FRAUD,,,,,,, THIS IS DAVITA SECOND FRAUD",-0.8213
363,"DAVITA FRAUD AND THE NAJARIAN BROTHERS WAS VERY REAL $66.00 CALLS BY JAN16,2019........LITIGATION ATTORNEYS ARE GOING TO FILE.",-0.2929
364,TIMBER !!!!!!!!!!,-0.7237
365,DaVita reached an all time high at 115.31,0.3228
366,DaVita reached an all time high at 105.11,0.3228
367,"NOW LETS GET TO THE DAVITA FRAUD,,,,,, THIS IS THERE SECOND FRAUD ATTEMPT TO FRAUD THE INVESTORS,,,,,, THE NAJARIAN BROTHERS WHERE BOUGHT BY DAVITA TO COMMIT THIS FRAUD CALL BUYING OF 66.00 BY JAN 16,2019 WAS A FRAUD CALL BY THE NAJARIAN BROTHERS ON CNBC,,,,,,, DAVITA LIKES FRAUD,,,,,, FRAUD PAYS GOOD,,,,,,,, YOU WHERE TAKEN BY DAVITA FRAUD",-0.9307
368,DVA is on sale at these levels!This company still remains the best value play in the sectorwhen you compare all the “key analytical fundamentals” to its competitors.,0.8771
369,DVA is down 5.24% to $66.74,-0.2462
370,"Friday closed about 58, Tuesday shortly after open it's at 52 on no news!No news on AMTD or Yahoo atleast.Crazy!I recently sold some trading shares since I have purchased Jan 2021 37.50 already that were up significantly so I was doing the old ""stock replacement"" strategy.I mean a lot of big players can certainly move this around. Question is why. And should us individual Investors be concerned about any issues other than a large holder(s) potentially dumping.",0.7191
371,DVA reached a 52 Week low at $49.09,-0.1464
372,DVA reached a new 52 Week High at 78.37,0.4256
